microcebus gene name,human gene name
GATM,GATM
KLC2,KLC2
SFXN3,SFXN3
ABHD5,ABHD5
NUP188,NUP188
ST6GALNAC5,ST6GALNAC5
B3GAT2,B3GAT2
MYO5A,MYO5A
IST1,IST1
CUTC,CUTC
HAPLN1,HAPLN1
CHERP,CHERP
ZNF462,ZNF462
NANP,NANP
SCAMP5,SCAMP5
ITCH,ITCH
HSPA13,HSPA13
HTR2A,HTR2A
TWSG1,TWSG1
NTMT1,NTMT1
CCDC124,CCDC124
GRIN3A,GRIN3A
INTS9,INTS9
BNIP3L,BNIP3L
SYT12,SYT12
TMEM94,TMEM94
STOML2,STOML2
DIRAS1,DIRAS1
COMMD9,COMMD9
PIGC,PIGC
FAM200C,FAM200C
ADAM10,ADAM10
MIR152,MIR152
NDRG2,NDRG2
SMG7,SMG7
RELCH,RELCH
RBMS2,RBMS2
PARP8,PARP8
PTPRO,PTPRO
TMUB2,TMUB2
NPAS4,NPAS4
UPF2,UPF2
CSRNP2,CSRNP2
ORAI3,ORAI3
VGLL4,VGLL4
STARD7,STARD7
CHAC1,CHAC1
CRCP,CRCP
CYB561D2,CYB561D2
ECRG4,ECRG4
PSMC2,PSMC2
NFIA,NFIA
MOSPD2,MOSPD2
MTCL3,MTCL3
BOD1,BOD1
RABIF,RABIF
PSMD12,PSMD12
CCDC85C,CCDC85C
ATL3,ATL3
ZDHHC24,ZDHHC24
MAP3K8,MAP3K8
RNF113A,RNF113A
PDX1,PDX1
IDH3G,IDH3G
RAB18,RAB18
LAMC1,LAMC1
KMT5B,KMT5B
RAB27A,RAB27A
RAB28,RAB28
PDE11A,PDE11A
KIF5B,KIF5B
STK3,STK3
APP,APP
NUP205,NUP205
KCTD12,KCTD12
HSPB8,HSPB8
MIR582,MIR582
POGLUT1,POGLUT1
URGCP,URGCP
DLG3,DLG3
ADGRB1,ADGRB1
RCN1,RCN1
NCLN,NCLN
CHAC2,CHAC2
MUSK,MUSK
OTX1,OTX1
GABRP,GABRP
MLLT6,MLLT6
COL11A2,COL11A2
TTPAL,TTPAL
RB1,RB1
MYL6B,MYL6B
PCOLCE2,PCOLCE2
CDH23,CDH23
DNAJB5,DNAJB5
DIXDC1,DIXDC1
MAPK4,MAPK4
DHX33,DHX33
KCNJ11,KCNJ11
SRPX,SRPX
ITPR3,ITPR3
ENOX1,ENOX1
PTPN6,PTPN6
RRAS,RRAS
RNF167,RNF167
TMED10,TMED10
OSBPL11,OSBPL11
WEE1,WEE1
RYR3,RYR3
COL11A1,COL11A1
ATP13A1,ATP13A1
C1QTNF5,C1QTNF5
ADCY2,ADCY2
LOXL3,LOXL3
DNAJB1,DNAJB1
HMGCLL1,HMGCLL1
RFC4,RFC4
NEK8,NEK8
ODC1,ODC1
TMEM41B,TMEM41B
SNORD7,SNORD7
HSPA14,HSPA14
RBM3,RBM3
SRSF4,SRSF4
KCNJ15,KCNJ15
LCLAT1,LCLAT1
MON1A,MON1A
SCN1B,SCN1B
SEMA3E,SEMA3E
CSNK1D,CSNK1D
ZMIZ2,ZMIZ2
LMNA,LMNA
STAT1,STAT1
DRAM2,DRAM2
ITM2B,ITM2B
ADPGK,ADPGK
KCNJ14,KCNJ14
ELOB,ELOB
YIF1B,YIF1B
STAT5B,STAT5B
ACP2,ACP2
MDH2,MDH2
ERBB3,ERBB3
CNPY3,CNPY3
MYO1E,MYO1E
CLOCK,CLOCK
STX16,STX16
UVRAG,UVRAG
LONRF1,LONRF1
PFKFB2,PFKFB2
TOX2,TOX2
MYH4,MYH4
SYP,SYP
SLC35A1,SLC35A1
SORL1,SORL1
SLC17A8,SLC17A8
UBE4A,UBE4A
FSD1L,FSD1L
KBTBD8,KBTBD8
SCRT1,SCRT1
ACSS2,ACSS2
ATN1,ATN1
GABRR1,GABRR1
ADSS2,ADSS2
HS3ST4,HS3ST4
CDKN2C,CDKN2C
DPAGT1,DPAGT1
DNAJC25,DNAJC25
MIR374A,MIR374A
GIPC3,GIPC3
MTX3,MTX3
KCNA7,KCNA7
HSPA4,HSPA4
RPRML,RPRML
TGDS,TGDS
HSF4,HSF4
SMAP1,SMAP1
YLPM1,YLPM1
PAK5,PAK5
TCEA2,TCEA2
KCNA3,KCNA3
PIK3CG,PIK3CG
TMED4,TMED4
STRADA,STRADA
DLK2,DLK2
ATP6V0D1,ATP6V0D1
SECISBP2L,SECISBP2L
PDHB,PDHB
GFRA1,GFRA1
ASB1,ASB1
KCNS3,KCNS3
RPIA,RPIA
INO80D,INO80D
WASF3,WASF3
TMEM267,TMEM267
NIPAL3,NIPAL3
ZNF787,ZNF787
DNAJC18,DNAJC18
GCC1,GCC1
ZC3H12B,ZC3H12B
ZBTB7A,ZBTB7A
RSRC1,RSRC1
CCDC88A,CCDC88A
ELF5,ELF5
PARD6A,PARD6A
PGP,PGP
LRCH1,LRCH1
NPR1,NPR1
PHF8,PHF8
ABCA1,ABCA1
SH3BP5L,SH3BP5L
ST3GAL4,ST3GAL4
SLC22A15,SLC22A15
GARRE1,GARRE1
FBXO28,FBXO28
ID1,ID1
DCAF6,DCAF6
KAT2B,KAT2B
ISM1,ISM1
DAB1,DAB1
TAOK2,TAOK2
UBA5,UBA5
C3orf70,C3orf70
ELFN2,ELFN2
MEGF11,MEGF11
DEXI,DEXI
GIGYF2,GIGYF2
MAPK8IP1,MAPK8IP1
TLX1,TLX1
EXOC7,EXOC7
RBBP5,RBBP5
IMMP1L,IMMP1L
WDR91,WDR91
SPAST,SPAST
SCHIP1,SCHIP1
TM2D2,TM2D2
DOP1A,DOP1A
ALS2,ALS2
PDHA1,PDHA1
CALCRL,CALCRL
CYP26A1,CYP26A1
CTTNBP2NL,CTTNBP2NL
BEND3,BEND3
SHISA2,SHISA2
EPC1,EPC1
EXOC3,EXOC3
EPHB3,EPHB3
BMPER,BMPER
NPR3,NPR3
PLPP7,PLPP7
RAB11FIP4,RAB11FIP4
ZNF704,ZNF704
WDR5B,WDR5B
ERGIC2,ERGIC2
RPF2,RPF2
ASH2L,ASH2L
CETN3,CETN3
DDX27,DDX27
UGT8,UGT8
RAB3GAP2,RAB3GAP2
GFPT2,GFPT2
HK2,HK2
TENT4B,TENT4B
ERN1,ERN1
RMC1,RMC1
CSNK2B,CSNK2B
PPP1R10,PPP1R10
EPN1,EPN1
TRIM37,TRIM37
GRB14,GRB14
TBC1D10C,TBC1D10C
WIPI1,WIPI1
TMOD3,TMOD3
PTPRR,PTPRR
AMN1,AMN1
RNF170,RNF170
TAF6L,TAF6L
KDM3B,KDM3B
RNF123,RNF123
FIBIN,FIBIN
DUSP26,DUSP26
NABP2,NABP2
DHX36,DHX36
RCN3,RCN3
MIR320A,MIR320A
FOXF2,FOXF2
DNAJB9,DNAJB9
NEK2,NEK2
HGD,HGD
OTUD7B,OTUD7B
C8orf88,C8orf88
RABGEF1,RABGEF1
NFKBIA,NFKBIA
VAC14,VAC14
P2RX3,P2RX3
ATG2B,ATG2B
SEMA5A,SEMA5A
MIR196A1,MIR196A1
PFN1,PFN1
HOXB3,HOXB3
MSX1,MSX1
EZR,EZR
RASSF2,RASSF2
NUP37,NUP37
CAMKV,CAMKV
KCTD20,KCTD20
DOLK,DOLK
HOXD11,HOXD11
E2F6,E2F6
SIX4,SIX4
GPD1,GPD1
GGNBP2,GGNBP2
SLC12A2,SLC12A2
DOCK5,DOCK5
STRADB,STRADB
ZNF641,ZNF641
RBL1,RBL1
VWC2,VWC2
CYTH3,CYTH3
CARTPT,CARTPT
CAPG,CAPG
GALE,GALE
SYN3,SYN3
PCDH20,PCDH20
MAF1,MAF1
ATCAY,ATCAY
MAG,MAG
FBXO44,FBXO44
SNORA8,SNORA8
NCOA5,NCOA5
LRCH2,LRCH2
RNF14,RNF14
PPIL2,PPIL2
SCAMP3,SCAMP3
AKT2,AKT2
CIB4,CIB4
PAK4,PAK4
MCC,MCC
CDIP1,CDIP1
PAFAH1B3,PAFAH1B3
TNNT2,TNNT2
DMXL2,DMXL2
NOTCH2,NOTCH2
HEATR5B,HEATR5B
PLEKHA3,PLEKHA3
FBXL15,FBXL15
KCNB2,KCNB2
NRP1,NRP1
SAE1,SAE1
DHPS,DHPS
ILKAP,ILKAP
DOCK9,DOCK9
SEPTIN7,SEPTIN7
ATG4D,ATG4D
ARFGEF3,ARFGEF3
BCL9L,BCL9L
WFIKKN2,WFIKKN2
DMBX1,DMBX1
KMT2E,KMT2E
PCBD1,PCBD1
TTC17,TTC17
GPR162,GPR162
GJA4,GJA4
GUCY1A1,GUCY1A1
BMF,BMF
SNORD116,SNORD116-14
CRABP2,CRABP2
MIR20B,MIR20B
FAM3A,FAM3A
ANKRD17,ANKRD17
PLEKHH2,PLEKHH2
OGDHL,OGDHL
ZNRF2,ZNRF2
EXOSC3,EXOSC3
LAMB1,LAMB1
LGI1,LGI1
CNNM1,CNNM1
RHEBL1,RHEBL1
TIPRL,TIPRL
PYCR2,PYCR2
CSNK1G3,CSNK1G3
COL4A5,COL4A5
VPS26C,VPS26C
MINK1,MINK1
EXOC2,EXOC2
AKAP10,AKAP10
IPO8,IPO8
INPP4B,INPP4B
TM9SF3,TM9SF3
CDKL4,CDKL4
FRS2,FRS2
MAP3K3,MAP3K3
IMPACT,IMPACT
MRPS36,KGD4
C1QTNF3,C1QTNF3
DRAP1,DRAP1
CCNB2,CCNB2
CANX,CANX
PSME2,PSME2
ADPRS,ADPRS
SNORD88C,SNORD88C
MIR449A,MIR449A
MANF,MANF
PPP4R3B,PPP4R3B
MIR410,MIR410
RALGAPA1,RALGAPA1
NCOA6,NCOA6
GIGYF1,GIGYF1
ELAC1,ELAC1
GAL3ST3,GAL3ST3
GSG1L,GSG1L
NBDY,NBDY
RASSF1,RASSF1
DCHS1,DCHS1
DLX2,DLX2
COG6,COG6
AKAP8L,AKAP8L
SUPT3H,SUPT3H
GTPBP4,GTPBP4
GRHL1,GRHL1
INPP5F,INPP5F
CMTM3,CMTM3
GOT2,GOT2
NPRL3,NPRL3
POU6F1,POU6F1
P4HA3,P4HA3
RGS5,RGS5
SARM1,SARM1
TLNRD1,TLNRD1
KRT5,KRT5
TUBE1,TUBE1
ARHGAP15,ARHGAP15
GNB2,GNB2
LAPTM4B,LAPTM4B
SPCS2,SPCS2
SLC19A2,SLC19A2
SPI1,SPI1
GET4,GET4
SULF1,SULF1
SACM1L,SACM1L
JMJD7,JMJD7
POU1F1,POU1F1
PGM2L1,PGM2L1
GPATCH8,GPATCH8
EGLN2,EGLN2
ECT2,ECT2
SNX7,SNX7
PIGK,PIGK
SHTN1,SHTN1
SLC25A37,SLC25A37
LRRFIP2,LRRFIP2
TRMT11,TRMT11
GDAP1L1,GDAP1L1
TMSB15B,TMSB15C
CITED2,CITED2
HOXD12,HOXD12
FKRP,FKRP
ATR,ATR
NAT10,NAT10
STRAP,STRAP
IRX2,IRX2
TALDO1,TALDO1
AXIN2,AXIN2
ARFRP1,ARFRP1
SYT3,SYT3
ISL2,ISL2
MORC2,MORC2
PTPRG,PTPRG
NUDCD1,NUDCD1
MPZL1,MPZL1
ATOSB,ATOSB
PRKCH,PRKCH
NAV1,NAV1
GGA1,GGA1
NUMBL,NUMBL
CABP1,CABP1
ERO1A,ERO1A
RAB40C,RAB40C
MYB,MYB
GMFG,GMFG
NR2C1,NR2C1
SCN3A,SCN3A
NXPE3,NXPE3
GRHL2,GRHL2
NUP155,NUP155
MIR190B,MIR190B
MNT,MNT
TRIP4,TRIP4
GNG13,GNG13
ZNF322,ZNF322
CHMP6,CHMP6
MIR676,MIR676
CUL4A,CUL4A
DDR1,DDR1
TMEM200A,TMEM200A
SNX29,SNX29
CFAP298,CFAP298
DRD1,DRD1
MFN2,MFN2
PLOD2,PLOD2
DPYD,DPYD
SCAMP1,SCAMP1
TLCD5,TLCD5
HSF2BP,HSF2BP
SCG5,SCG5
FAM43A,FAM43A
RAB11FIP2,RAB11FIP2
ARID4A,ARID4A
MED28,MED28
FAM171B,FAM171B
ORAI2,ORAI2
NOS3,NOS3
JMJD6,JMJD6
NKX6-1,NKX6-1
RAC1,RAC1
SPTBN2,SPTBN2
MGAT3,MGAT3
SLC1A2,SLC1A2
GATA4,GATA4
XPNPEP1,XPNPEP1
BET1L,BET1L
TAF15,TAF15
CASR,CASR
EPHB6,EPHB6
TBCB,TBCB
RNF215,RNF215
RFX2,RFX2
HSPA6,HSPA6
PDRG1,PDRG1
RASL12,RASL12
SNORA13,SNORA13
ZNHIT1,ZNHIT1
TRPM3,TRPM3
TFDP1,TFDP1
NSMAF,NSMAF
CHORDC1,CHORDC1
BBX,BBX
NRP2,NRP2
UCK1,UCK1
IL11,IL11
ARHGEF9,ARHGEF9
LZTR1,LZTR1
SIDT1,SIDT1
SEPTIN11,SEPTIN11
PLEKHO1,PLEKHO1
TWF1,TWF1
MEAF6,MEAF6
WDR20,WDR20
OR6C4,OR6C4
PCK2,PCK2
PNMA1,PNMA1
EIF4A3,EIF4A3
FBXL18,FBXL18
ZBTB10,ZBTB10
WBP1L,WBP1L
CHMP7,CHMP7
ACAP2,ACAP2
ATF7,ATF7
MEIG1,MEIG1
CXCR4,CXCR4
MIR211,MIR211
SNORA41,SNORA41
ACOT11,ACOT11
CDKN1B,CDKN1B
TNFSF11,TNFSF11
TNMD,TNMD
ANK3,ANK3
GTF2A1,GTF2A1
HAPLN2,HAPLN2
SLC43A2,SLC43A2
GPR137B,GPR137B
UNC5B,UNC5B
RRM2B,RRM2B
SZT2,SZT2
DGKD,DGKD
UBN2,UBN2
RUNDC1,RUNDC1
XPO5,XPO5
DDX56,DDX56
SPRED2,SPRED2
ATP6V0D2,ATP6V0D2
B9D2,B9D2
PLEK,PLEK
MADD,MADD
SKIC2,SKIC2
EXT2,EXT2
SNORA62,SNORA62
DYSF,DYSF
PDK1,PDK1
ROBO1,ROBO1
ATG4B,ATG4B
SNORA24B,SNORA24B
PPP4R4,PPP4R4
LRRC58,LRRC58
GYG1,GYG1
CRYZL1,CRYZL1
MAGEH1,MAGEH1
WSCD2,WSCD2
MYL4,MYL4
EPB41L1,EPB41L1
FHIP1B,FHIP1B
ARHGAP44,ARHGAP44
NIPSNAP1,NIPSNAP1
MIR148B,MIR148B
FAM78A,FAM78A
KLF5,KLF5
RPN2,RPN2
MIR223,MIR223
RCHY1,RCHY1
CLSTN2,CLSTN2
APBA2,APBA2
MAP3K11,MAP3K11
NFS1,NFS1
PRR7,PRR7
MKNK2,MKNK2
RGS19,RGS19
PHC2,PHC2
NUP43,NUP43
MIR449B,MIR449B
JDP2,JDP2
MIR155,MIR155
SNORD58A,SNORD58A
CAVIN1,CAVIN1
DPM1,DPM1
HOXA1,HOXA1
HOXA3,HOXA3
NRG3,NRG3
BROX,BROX
RNF10,RNF10
TMEM255A,TMEM255A
GPR75,GPR75
TRIP13,TRIP13
CDK12,CDK12
ALCAM,ALCAM
ADAM11,ADAM11
AUP1,AUP1
PLPPR4,PLPPR4
RAX,RAX
DSP,DSP
NUCB2,NUCB2
TIMM22,TIMM22
SSNA1,SSNA1
FAM13B,FAM13B
SNX12,SNX12
NRL,NRL
ST7,ST7
SLC4A5,SLC4A5
SDHB,SDHB
EIF3A,EIF3A
MYH7B,MYH7B
HTR1F,HTR1F
RALYL,RALYL
SNORA31,SNORA31
ANGPT2,ANGPT2
TMEM38A,TMEM38A
SLC12A9,SLC12A9
KICS2,KICS2
ACVR2B,ACVR2B
CRYBA1,CRYBA1
LYSMD2,LYSMD2
ZZZ3,ZZZ3
TRIQK,TRIQK
STAU2,STAU2
CPSF3,CPSF3
USP38,USP38
WNT16,WNT16
AP3B1,AP3B1
FLCN,FLCN
CEP120,CEP120
AMFR,AMFR
HSPE1,MOB4
ELK3,ELK3
REEP4,REEP4
DDX19B,DDX19B
GPSM2,GPSM2
SLC7A8,SLC7A8
RB1CC1,RB1CC1
SMC5,SMC5
APPL2,APPL2
IRX3,IRX3
XKRX,XKRX
MPP2,MPP2
LYPD6,LYPD6
ZNF385B,ZNF385B
SLC6A4,SLC6A4
KAT2A,KAT2A
SLC25A22,SLC25A22
ATXN3,ATXN3
THSD7A,THSD7A
BRD7,BRD7
SYTL4,SYTL4
EDNRA,EDNRA
PIGS,PIGS
CACNA1E,CACNA1E
ARL4C,ARL4C
KCNIP3,KCNIP3
SLC25A16,SLC25A16
EIF2A,EIF2A
CLASP1,CLASP1
SLC8A3,SLC8A3
PSMB7,PSMB7
CLTA,CLTA
TAOK3,TAOK3
CCR10,CCR10
AMIGO2,AMIGO2
KLHL3,KLHL3
FAM72A,FAM72A
PPARA,PPARA
ZSWIM4,ZSWIM4
LIMK2,LIMK2
PMPCB,PMPCB
SCARNA10,SCARNA10
SCN9A,SCN9A
LZTS2,LZTS2
SIK2,SIK2
MIR671,MIR671
MANBAL,MANBAL
MIR194-1,MIR194-1
MMD2,MMD2
ZNF3,ZNF3
CIB1,CIB1
NRXN3,NRXN3
RPE,RPE
EFNA2,EFNA2
CLUH,CLUH
APEX1,APEX1
EFR3A,EFR3A
CTTN,CTTN
ADRA1A,ADRA1A
GPBP1,GPBP1
RBM10,RBM10
PLEKHA1,PLEKHA1
UBE3B,UBE3B
OPN3,OPN3
ARHGEF10L,ARHGEF10L
NLE1,NLE1
SLC30A3,SLC30A3
KRT85,KRT85
PSD,PSD
ADCY4,ADCY4
ILRUN,ILRUN
CLDN7,CLDN7
RAB38,RAB38
XYLT2,XYLT2
HEY1,HEY1
HOXB13,HOXB13
TTC22,TTC22
ZNF384,ZNF384
SORCS3,SORCS3
CDC37L1,CDC37L1
DPY19L3,DPY19L3
RCC1,RCC1
CTPS2,CTPS2
CLIP4,CLIP4
TMEM131,TMEM131
RNF208,RNF208
SESN3,SESN3
PMPCA,PMPCA
PSMB10,PSMB10
CPEB1,CPEB1
INTS12,INTS12
TXN,TXN
MIR299,MIR299
TSPAN15,TSPAN15
PHC1,PHC1
APLP2,APLP2
ATP11B,ATP11B
TYRO3,TYRO3
ACSL4,ACSL4
CTNNAL1,CTNNAL1
ADAM22,ADAM22
ALAS2,ALAS2
LPCAT4,LPCAT4
AGBL4,AGBL4
OMG,OMG
CUL5,CUL5
GDPD1,GDPD1
NT5DC2,NT5DC2
TPRG1L,TPRG1L
GPT2,GPT2
TTC36,TTC36
NPAS3,NPAS3
UBAC2,UBAC2
ATP6V0A2,ATP6V0A2
GPR12,GPR12
RYR1,RYR1
WDR41,WDR41
PPM1D,PPM1D
BACH2,BACH2
AQP3,AQP3
MEGF8,MEGF8
KCNIP2,KCNIP2
CALR,CALR
ADAMTSL1,ADAMTSL1
TUBGCP3,TUBGCP3
PDCD5,PDCD5
BRI3,BRI3
FAM213A,PRXL2A
CCDC134,CCDC134
ARIH1,ARIH1
TLE2,TLE2
EIF4G1,EIF4G1
CNTN2,CNTN2
SLC35D3,SLC35D3
APPL1,APPL1
UTP4,UTP4
GPN1,GPN1
VPS8,VPS8
SLC9A9,SLC9A9
COL12A1,COL12A1
ANKFY1,ANKFY1
SNORD60,SNORD60
SNORD1A,SNORD1A
AIFM2,AIFM2
UTP15,UTP15
SULF2,SULF2
HCRTR1,HCRTR1
VEGFB,VEGFB
DCAF15,DCAF15
ARHGAP10,ARHGAP10
XXYLT1,XXYLT1
USP30,USP30
ALDH1B1,ALDH1B1
DCTN3,DCTN3
STK17B,STK17B
LIAS,LIAS
TARBP2,TARBP2
CAP1,CAP1
SMARCC1,SMARCC1
PSMD8,PSMD8
AP3B2,AP3B2
GRM7,GRM7
LURAP1L,LURAP1L
TRMT61A,TRMT61A
DPP8,DPP8
TMIE,TMIE
LARS1,LARS1
GPR3,GPR3
USP37,USP37
ARFIP2,ARFIP2
CDK18,CDK18
PRKAG2,PRKAG2
ATP6V0C,ATP6V0C
GPR176,GPR176
MSC,MSC
ATP5L,ATP5MG
UBTD2,UBTD2
RRAGB,RRAGB
FAM117A,FAM117A
FOXA3,FOXA3
SH3PXD2A,SH3PXD2A
RLF,RLF
TEAD1,TEAD1
PSMG1,PSMG1
DAG1,DAG1
PPID,PPID
DUSP3,DUSP3
PABPC4L,PABPC4L
FAM110B,FAM110B
BICRAL,BICRAL
ALDH6A1,ALDH6A1
DPH6,DPH6
LDLRAP1,LDLRAP1
GLT8D2,GLT8D2
ZDHHC15,ZDHHC15
KIFC3,KIFC3
ABHD3,ABHD3
MIF4GD,MIF4GD
ST13,ST13
MIR323B,MIR323B
MAFF,MAFF
PMM2,PMM2
DDOST,DDOST
C7orf25,C7orf25
ATP2C1,ATP2C1
ALDH1A3,ALDH1A3
KIRREL3,KIRREL3
HMX1,HMX1
HSPA12A,HSPA12A
ZNF827,ZNF827
MAEA,MAEA
COL25A1,COL25A1
FUS,FUS
ALOX5,ALOX5
DGAT2,DGAT2
ZNF579,ZNF579
ACVR1B,ACVR1B
LINGO3,LINGO3
CRIP3,CRIP3
MIR133A2,MIR133A2
ARIH2,ARIH2
UFSP2,UFSP2
MAPK12,MAPK12
VARS1,VARS1
ZC3H12C,ZC3H12C
VPS37A,VPS37A
TTC28,TTC28
HRH3,HRH3
MYH13,MYH13
GPCPD1,GPCPD1
MYOG,MYOG
TBC1D8B,TBC1D8B
ZNF22,ZNF22
FLII,FLII
IGF2BP1,IGF2BP1
SPAG6,SPAG6
SCAF1,SCAF1
EPB41,EPB41
MEGF10,MEGF10
CELSR3,CELSR3
MFAP2,MFAP2
CARD19,CARD19
GNPDA1,GNPDA1
SPATA6,SPATA6
FASTK,FASTK
CLPTM1L,CLPTM1L
TRPV3,TRPV3
RINT1,RINT1
PSMD5,PSMD5
TAF6,TAF6
CLIP3,CLIP3
MAP3K7CL,MAP3K7CL
SKOR1,SKOR1
DLD,DLD
GRWD1,GRWD1
GALNT11,GALNT11
RABGGTA,RABGGTA
FOXO4,FOXO4
MFSD14B,MFSD14B
ESRRG,ESRRG
TSC1,TSC1
PSMB5,PSMB5
SLIT3,SLIT3
ANKHD1,ANKHD1
ZNF653,ZNF653
TSPAN33,TSPAN33
NAE1,NAE1
MEX3C,MEX3C
COMMD10,COMMD10
URM1,URM1
KDM3A,KDM3A
AMPD3,AMPD3
EVI5,EVI5
CEP170,CEP170
NAPEPLD,NAPEPLD
HID1,HID1
NEO1,NEO1
ABLIM1,ABLIM1
HIC1,HIC1
CIAO2A,CIAO2A
HSPB6,HSPB6
GPR6,GPR6
EPYC,EPYC
ARHGAP12,ARHGAP12
P2RY12,P2RY12
VAV2,VAV2
ZBTB33,ZBTB33
STAC,STAC
SNORD8,SNORD8
MIR205,MIR205
PDGFB,PDGFB
PTPN3,PTPN3
STX7,STX7
RGL1,RGL1
GFUS,GFUS
ETV3,ETV3
PLCXD2,PLCXD2
NAA30,NAA30
POU6F2,POU6F2
POLDIP3,POLDIP3
ANKMY2,ANKMY2
CDC23,CDC23
HCFC2,HCFC2
ADCY9,ADCY9
SGSM2,SGSM2
GPR137C,GPR137C
PPP1R21,PPP1R21
METTL16,METTL16
ELAVL4,ELAVL4
PXYLP1,PXYLP1
MIR1912,MIR1912
CNIH1,CNIH1
BAMBI,BAMBI
SMIM3,SMIM3
GPR180,GPR180
SLC5A7,SLC5A7
TCEAL7,TCEAL7
APBB3,APBB3
ATF6,ATF6
MYT1L,MYT1L
SNORA19,SNORA19
BTAF1,BTAF1
ZNF48,ZNF48
SLC12A1,SLC12A1
DHX9,DHX9
DIS3,DIS3
GEMIN2,GEMIN2
SPOCK1,SPOCK1
FBXL14,FBXL14
LSM11,LSM11
FNTA,FNTA
MGAT4B,MGAT4B
TMEM120B,TMEM120B
ANKRD1,ANKRD1
SETD9,SETD9
RBBP6,RBBP6
HDGF,HDGF
HDHD2,HDHD2
PTPA,PTPA
MIR10A,MIR10A
PRRG1,PRRG1
NARS1,NARS1
ADAMTS17,ADAMTS17
ABHD12,ABHD12
CLCN3,CLCN3
ABHD8,ABHD8
LHFPL2,LHFPL2
USP4,USP4
BYSL,BYSL
TMEM222,TMEM222
NKX2-1,NKX2-1
TMEM104,TMEM104
CACNB1,CACNB1
ATP1B4,ATP1B4
DRAM1,DRAM1
MTMR10,MTMR10
NRBF2,NRBF2
HNRNPH1,HNRNPH1
CPNE3,CPNE3
PCSK1,PCSK1
MCM3,MCM3
SLC39A10,SLC39A10
ALG2,ALG2
MIR760,MIR760
DMXL1,DMXL1
TUBB6,TUBB6
KCNJ1,KCNJ1
AGPAT3,AGPAT3
DENND4A,DENND4A
BRINP2,BRINP2
COLEC10,COLEC10
SETBP1,SETBP1
CD276,CD276
C11orf68,C11orf68
ZFAND2B,ZFAND2B
ZBTB17,ZBTB17
LGI2,LGI2
ROR1,ROR1
TMBIM6,TMBIM6
USO1,USO1
MAEL,MAEL
GAR1,GAR1
FLOT2,FLOT2
SEMA6B,SEMA6B
PLA2G4A,PLA2G4A
VBP1,VBP1
CPD,CPD
CRYBA2,CRYBA2
UST,UST
HTRA3,HTRA3
ALKBH3,ALKBH3
WDR5,WDR5
ENTREP3,ENTREP3
PREX2,PREX2
MBTD1,MBTD1
SNORD87,SNORD87
NAP1L4,NAP1L4
EIF4EBP1,EIF4EBP1
CLEC16A,CLEC16A
PIGT,PIGT
RNF115,RNF115
PTPN5,PTPN5
AVL9,AVL9
RBCK1,RBCK1
CTPS1,CTPS1
BRIX1,BRIX1
IP6K2,IP6K2
MYO1F,MYO1F
SEC24C,SEC24C
ZFP30,ZFP30
DCAF17,DCAF17
CREB3L1,CREB3L1
RANGAP1,RANGAP1
AZI2,AZI2
CCDC12,CCDC12
MIR200C,MIR200C
ITSN2,ITSN2
CDYL,CDYL
C14orf93,C14orf93
LMAN2L,LMAN2L
CHRNA10,CHRNA10
KMT5A,KMT5A
CISD1,CISD1
EDA,EDA
POLDIP2,POLDIP2
LZIC,LZIC
ABCB7,ABCB7
DES,DES
HOXA10,HOXA10
RCBTB2,RCBTB2
GPR139,GPR139
ECE1,ECE1
RBM24,RBM24
RNF126,RNF126
GRID2IP,GRID2IP
TGFB1,TGFB1
XPNPEP3,XPNPEP3
TMEM134,TMEM134
MICU1,MICU1
PARP11,PARP11
TMTC3,TMTC3
FST,FST
DPP10,DPP10
GATAD2A,GATAD2A
ANKRD63,ANKRD63
DCTN2,DCTN2
CLYBL,CLYBL
TPRKB,TPRKB
SH3KBP1,SH3KBP1
PACC1,PACC1
SGSM3,SGSM3
DPH5,DPH5
PTCH2,PTCH2
OPN5,OPN5
ACAA1,ACAA1
PPM1J,PPM1J
PREB,PREB
RETREG3,RETREG3
MED25,MED25
ANO10,ANO10
NCSTN,NCSTN
GRK2,GRK2
EIF4ENIF1,EIF4ENIF1
BCORL1,BCORL1
WASHC3,WASHC3
MIR542,MIR542
CYSTM1,CYSTM1
HNRNPC,HNRNPC
ELL2,ELL2
SEMA4G,SEMA4G
ANP32B,ANP32B
ADAMTS15,ADAMTS15
ATG14,ATG14
PFKFB3,PFKFB3
MAML3,MAML3
FZD3,FZD3
GABRG1,GABRG1
LPL,LPL
ILDR2,ILDR2
CDIPT,CDIPT
PRTFDC1,PRTFDC1
SRPRB,SRPRB
TEX10,TEX10
PDLIM1,PDLIM1
SEPSECS,SEPSECS
EPHA8,EPHA8
LEMD2,LEMD2
CCDC106,CCDC106
RHO,RHO
ATXN7L2,ATXN7L2
PEA15,PEA15
MID1IP1,MID1IP1
MIR27A,MIR27A
ARID5B,ARID5B
ABHD17C,ABHD17C
GDPD5,GDPD5
TMEM245,TMEM245
IKZF4,IKZF4
CAMTA2,CAMTA2
YTHDF1,YTHDF1
CCNT2,CCNT2
GHSR,GHSR
SLC22A23,SLC22A23
KIFBP,KIFBP
DDIT4,DDIT4
BPNT1,BPNT1
HOMER2,HOMER2
COG4,COG4
PEX13,PEX13
ANKS1A,ANKS1A
NUP160,NUP160
MYBPHL,MYBPHL
SYPL2,SYPL2
YARS1,YARS1
