human gene name,chimpanzee gene name
LRRC41,LRRC41
THRAP3,THRAP3
DDI2,DDI2
MIR4782,MIR4782
S100A13,S100A13
VANGL2,VANGL2
SF3A3,SF3A3
POU3F1,POU3F1
CDC73,CDC73
LYPLA2,LYPLA2
RPE65,RPE65
DESI2,DESI2
TMEM35B,TMEM35B
HP1BP3,HP1BP3
H2AC19,H2AC19
EYA3,EYA3
DHRS3,DHRS3
TMEM125,TMEM125
C1orf210,C1H1orf210
PDIK1L,PDIK1L
ZNF593,ZNF593
GPR61,GPR61
KIFAP3,KIFAP3
PAX7,PAX7
KLHL20,KLHL20
HMGN2,HMGN2
SZRD1,SZRD1
YPEL5,YPEL5
ORMDL1,ORMDL1
TBX19,TBX19
MAD2L2,MAD2L2
GPR88,GPR88
ACBD6,ACBD6
UCK2,UCK2
RIT2,RIT2
UBAC2,UBAC2
GPR12,GPR12
RAB31,RAB31
ETS2,ETS2
KCNJ15,KCNJ15
CELF4,CELF4
CDH7,CDH7
SERTM1,SERTM1
LIF,LIF
MIR4759,MIR4759
MIR548X,MIR548X
CBR1,CBR1
ARK2N,ARK2N
RPRD1A,RPRD1A
ARK2C,ARK2C
RNF152,RNF152
SMAD2,SMAD2
NHLRC3,NHLRC3
ITM2B,ITM2B
MIR15A,ptr-mir-15a
TRPC4,TRPC4
DSTN,DSTN
CBLN2,CBLN2
SLC23A2,SLC23A2
UBL3,UBL3
FAM216B,FAM216B
SNORD43,SNORD43
MIR4535,MIR4535
NALCN,NALCN
MIR3169,MIR3169
SNORD31B,SNORD31
WFDC10A,WFDC10A
KCNB1,KCNB1
GABPA,GABPA
MIR5739,MIR5739
SNORD83A,SNORD83A
SNORD83B,SNORD83B
NF1,NF1
ANKRD17,ANKRD17
CREBBP,CREBBP
MYT1L,MYT1L
DYNC1H1,DYNC1H1
STXBP5,STXBP5
PCDH18,PCDH18
FMNL2,FMNL2
DOCK11,DOCK11
CNKSR2,CNKSR2
HEATR5B,HEATR5B
DDX46,DDX46
FBRS,FBRS
CHD4,CHD4
TRPM7,TRPM7
UBR5,UBR5
CHERP,CHERP
CHD2,CHD2
CLOCK,CLOCK
CAMTA1,CAMTA1
IQGAP1,IQGAP1
MED1,MED1
SP1,SP1
INO80,INO80
ABCC9,ABCC9
ARHGEF12,ARHGEF12
ATP7A,ATP7A
COL2A1,COL2A1
GRIN2B,GRIN2B
COL3A1,COL3A1
RNPEPL1,RNPEPL1
NCOA1,NCOA1
ABCC5,ABCC5
FBN1,FBN1
DDHD2,DDHD2
SRPK2,SRPK2
SBNO1,SBNO1
POLR3A,POLR3A
TENM2,TENM2
MAP3K5,MAP3K5
PHF21A,PHF21A
TNIK,TNIK
PIK3R4,PIK3R4
SYTL4,SYTL4
WDR33,WDR33
EML5,EML5
SASS6,SASS6
ZNF521,ZNF521
NRCAM,NRCAM
CHD5,CHD5
UPF2,UPF2
SIN3A,SIN3A
TPP2,TPP2
STAG1,STAG1
PPFIA2,PPFIA2
CYFIP1,CYFIP1
CCDC88A,CCDC88A
ATP2B2,ATP2B2
EDRF1,EDRF1
ATP6V1A,ATP6V1A
TAOK2,TAOK2
ANO8,ANO8
CAND1,CAND1
GRM5,GRM5
ATP2B4,ATP2B4
PAN2,PAN2
SPTBN1,SPTBN1
LRRTM4,LRRTM4
ATP11B,ATP11B
CTR9,CTR9
JAK1,JAK1
CCAR1,CCAR1
PCDH19,PCDH19
ZFP91,ZFP91
ASAP1,ASAP1
ZNF579,ZNF579
XPO6,XPO6
ADAMTS6,ADAMTS6
SECISBP2L,SECISBP2L
BNC2,BNC2
LMOD2,LMOD2
PLCL1,PLCL1
PHKB,PHKB
SLC4A8,SLC4A8
UBE3C,UBE3C
TSHZ3,TSHZ3
NTNG1,NTNG1
ANKRD52,ANKRD52
ZFR,ZFR
SEMA5A,SEMA5A
XPO1,XPO1
RPS6KC1,RPS6KC1
ZIC2,ZIC2
NPR1,NPR1
NETO2,NETO2
SMARCA5,SMARCA5
USP24,USP24
ATP2A2,ATP2A2
DAGLA,DAGLA
PCDH10,PCDH10
IPO7,IPO7
UBR4,UBR4
KIF5A,KIF5A
PPP1R12A,PPP1R12A
U2SURP,U2SURP
INO80D,INO80D
SMARCAD1,SMARCAD1
IDE,IDE
HIRA,HIRA
DOCK3,DOCK3
RAPGEF4,RAPGEF4
GRID2,GRID2
PRP4K,PRP4K
PCDHAC2,PCDHA2
SCN1A,SCN1A
EPB41L2,EPB41L2
PHF12,PHF12
MBD6,MBD6
SCN2A,SCN2A
SCN3A,SCN3A
EPHA7,EPHA7
RALGAPB,RALGAPB
INTS8,INTS8
KCNH5,KCNH5
USP14,USP14
EIF4ENIF1,EIF4ENIF1
EPHB1,EPHB1
CBLB,CBLB
USP15,USP15
DLGAP3,DLGAP3
DLGAP1,DLGAP1
BICD1,BICD1
EXOC4,EXOC4
MYH3,MYH3
ADAMTS1,ADAMTS1
TBC1D2B,TBC1D2B
PACS1,PACS1
KIF5B,KIF5B
DICER1,DICER1
SLITRK5,SLITRK5
DRP2,DRP2
ERC2,ERC2
THBS3,THBS3
METAP2,METAP2
FBXO10,FBXO10
ANO4,ANO4
ZNF618,ZNF618
MAP3K10,MAP3K10
PSMD1,PSMD1
PLXNA4,PLXNA4
UBR3,UBR3
FOXA1,FOXA1
CADM1,CADM1
DCAF5,DCAF5
CCDC174,CCDC174
NIPBL,NIPBL
TEX10,TEX10
RB1,RB1
FBXO11,FBXO11
SIK2,SIK2
ARFGEF1,ARFGEF1
NR1H2,NR1H2
WWP1,WWP1
BCLAF1,BCLAF1
EXTL3,EXTL3
PAXBP1,PAXBP1
TMTC3,TMTC3
ANO5,ANO5
GRM4,GRM4
CSNK1G3,CSNK1G3
IGF1R,IGF1R
LEMD3,LEMD3
KCNB2,KCNB2
EPS15L1,EPS15L1
SND1,SND1
HACE1,HACE1
FLNC,FLNC
SNAP91,SNAP91
TUBGCP3,TUBGCP3
CTNNA1,CTNNA1
OCRL,OCRL
TAOK3,TAOK3
EML3,EML3
GRIA3,GRIA3
BCL11B,BCL11B
ACO1,ACO1
TTLL7,TTLL7
INTS6,INTS6
PAN3,PAN3
KIDINS220,KIDINS220
HECTD4,HECTD4
VAV2,VAV2
GRAMD1B,GRAMD1B
KDM1A,KDM1A
KLHL29,KLHL29
SPAG4,SPAG4
NDST3,NDST3
MARF1,MARF1
ZBTB10,ZBTB10
EPAS1,EPAS1
AAMP,AAMP
TRPC7,TRPC7
TOP3B,TOP3B
ARHGEF7,ARHGEF7
HECTD3,HECTD3
ITSN1,ITSN1
TTC13,TTC13
ATP6V0A2,ATP6V0A2
RHBDF1,RHBDF1
DDR2,DDR2
LONP2,LONP2
RASA2,RASA2
NLGN3,NLGN3
ESRRA,ESRRA
SLITRK2,SLITRK2
PYGM,PYGM
LZTR1,LZTR1
TFIP11,TFIP11
KAT2A,KAT2A
SLITRK4,SLITRK4
APBA1,APBA1
TRAPPC13,TRAPPC13
STRIP2,STRIP2
KAT2B,KAT2B
ZNF777,ZNF777
JAKMIP1,JAKMIP1
PRICKLE1,PRICKLE1
COG3,COG3
TRIP12,TRIP12
EIF2AK4,EIF2AK4
MARCHF4,MARCHF4
EPS8,EPS8
DDX23,DDX23
TBC1D5,TBC1D5
EIF4A2,EIF4A2
SLC9A2,SLC9A2
PDE4D,PDE4D
OSBP,OSBP
MAF,MAF
PNISR,PNISR
PIK3AP1,PIK3AP1
TSR1,TSR1
DGKB,DGKB
LRRC8C,LRRC8C
RSBN1,RSBN1
NPAS4,NPAS4
CDC5L,CDC5L
EXOC3L2,EXOC3L2
CDH20,CDH20
SART1,SART1
TRPC4AP,TRPC4AP
AFG3L2,AFG3L2
PLAA,PLAA
ACACA,ACACA
CDH12,CDH12
SEL1L,SEL1L
KIF3C,KIF3C
RRM1,RRM1
CDH6,CDH6
NASP,NASP
CCNF,CCNF
ZCCHC2,ZCCHC2
DDX21,DDX21
ERCC3,ERCC3
PPP1R21,PPP1R21
L3MBTL3,L3MBTL3
STRN,STRN
ABLIM1,ABLIM1
CNNM4,CNNM4
SEMA3E,SEMA3E
HCN3,HCN3
NOTCH3,NOTCH3
NFE2L1,NFE2L1
SEMA3A,SEMA3A
SAV1,SAV1
NPY1R,NPY1R
SLIT1,SLIT1
TBC1D16,TBC1D16
ZER1,ZER1
BRINP3,BRINP3
SEC23A,SEC23A
FHIP2A,FHIP2A
HADHA,HADHA
ARID1A,ARID1A
PHTF1,PHTF1
RBM28,RBM28
SEMA4A,SEMA4A
KIRREL1,KIRREL1
RC3H1,RC3H1
HTATSF1,HTATSF1
PWWP2A,PWWP2A
PCSK1,PCSK1
MARK4,MARK4
ZNF184,ZNF184
SEMA3C,SEMA3C
POMT2,POMT2
COL5A2,COL5A2
SGSM3,SGSM3
PLA2G4A,PLA2G4A
CHD7,CHD7
DPY19L1,DPY19L1
KLHL1,KLHL1
MED25,MED25
MTSS2,MTSS2
EXT1,EXT1
KIF2A,KIF2A
NSF,NSF
NAGLU,NAGLU
AQR,AQR
SV2A,SV2A
ZBTB20,ZBTB20
DDX1,DDX1
DDX50,DDX50
MED13L,MED13L
ABTB3,ABTB3
ZC3H14,ZC3H14
KRIT1,KRIT1
MKLN1,MKLN1
PRDM12,PRDM12
RAD54L2,RAD54L2
PHF6,PHF6
CCNT2,CCNT2
SLC6A15,SLC6A15
HOOK1,HOOK1
SLC6A17,SLC6A17
ADD2,ADD2
ARFGEF3,ARFGEF3
EXOC8,EXOC8
PIK3R1,PIK3R1
ZNF219,ZNF219
MCM7,MCM7
NOL11,NOL11
TARS2,TARS2
SAMD4A,SAMD4A
KLHL4,KLHL4
DPY19L3,DPY19L3
LRRC4B,LRRC4B
ZDHHC5,ZDHHC5
BBS7,BBS7
LPO,LPO
HNRNPD,HNRNPD
PUM2,PUM2
USP34,USP34
RUFY1,RUFY1
ISG20L2,ISG20L2
NECAB1,NECAB1
MCU,MCU
PRKCG,PRKCG
ZNF12,ZNF12
TMEM168,TMEM168
RAB3GAP2,RAB3GAP2
LMBRD2,LMBRD2
KCNQ4,KCNQ4
RPH3A,RPH3A
ROCK2,ROCK2
TAB2,TAB2
TSPYL2,TSPYL2
TBC1D14,TBC1D14
LEKR1,LEKR1
E2F5,E2F5
ZNF770,ZNF770
PPP1R37,PPP1R37
RASGRP3,RASGRP3
LPAR6,LPAR6
ATXN1L,ATXN1L
TRIO,TRIO
SCLT1,SCLT1
USP49,USP49
ZBTB48,ZBTB48
PATZ1,PATZ1
CRNKL1,CRNKL1
HSPA12B,HSPA12B
MAMDC2,MAMDC2
RNF6,RNF6
GALC,GALC
CPSF3,CPSF3
PRKCH,PRKCH
PNPLA6,PNPLA6
NSD2,NSD2
GFPT2,GFPT2
CNOT1,CNOT1
ANOS1,ANOS1
HSPA9,HSPA9
MYH14,MYH14
SLC25A12,SLC25A12
KDR,KDR
ADCY9,ADCY9
IFT81,IFT81
GAB2,GAB2
C17orf113,C17H17orf113
FOXO3,FOXO3
FXR2,FXR2
ZBTB33,ZBTB33
GPCPD1,GPCPD1
WDR19,WDR19
ZNF282,ZNF282
FRY,FRY
FAM169A,FAM169A
TRAF7,TRAF7
LRRC45,LRRC45
CLPTM1,CLPTM1
PRPF39,PRPF39
RBM14,RBM4
KDM2B,KDM2B
ENTREP3,ENTREP3
SOS1,SOS1
SOS2,SOS2
SH3KBP1,SH3KBP1
LMNA,LMNA
RNF145,RNF145
ZFC3H1,ZFC3H1
SCN9A,SCN9A
KY,KY
JPH1,JPH1
ZNF81,ZNF81
SPAG9,SPAG9
CACNB2,CACNB2
MMP2,MMP2
MADD,MADD
RAD50,RAD50
KATNB1,KATNB1
VGLL3,VGLL3
TRIM32,TRIM32
FAF1,FAF1
FLRT3,FLRT3
UBASH3B,UBASH3B
AMBRA1,AMBRA1
AVL9,AVL9
TACSTD2,TACSTD2
ARHGAP25,ARHGAP25
SLC9A9,SLC9A9
SUGP1,SUGP1
CHD9,CHD9
HSPA1A,HSPA1B
TMEM62,TMEM62
MCMBP,MCMBP
ZNF699,ZNF699
SLC6A14,SLC6A14
WBP11,WBP11
XKR6,XKR6
PIF1,PIF1
RASAL2,RASAL2
DLG5,DLG5
KLC1,KLC1
PEX5,PEX5
DCTN1,DCTN1
GCLC,GCLC
CACHD1,CACHD1
JMJD1C,JMJD1C
LRFN4,LRFN4
HDLBP,HDLBP
KLHL22,KLHL22
ZNF592,ZNF592
FMR1,FMR1
SOX12,SOX12
RNF112,RNF112
TEC,TEC
PRDM5,PRDM5
MBTD1,MBTD1
SLC7A1,SLC7A1
PIAS3,PIAS3
GAS2,GAS2
LCP1,LCP1
COLGALT2,COLGALT2
ANKRD13B,ANKRD13B
TESK1,TESK1
ATP8B1,ATP8B1
DHRS7C,DHRS7C
ACTR8,ACTR8
ZNF131,ZNF131
KBTBD2,KBTBD2
FRMD6,FRMD6
FOXJ3,FOXJ3
COLGALT1,COLGALT1
PGM2L1,PGM2L1
KLHL6,KLHL6
CFAP52,CFAP52
ZNF93,ZNF93
SLC6A3,SLC6A3
KLHL8,KLHL8
CRTC3,CRTC3
ZAP70,ZAP70
MAP3K2,MAP3K2
ZBTB7C,ZBTB7C
PAPSS2,PAPSS2
ELF1,ELF1
BIRC2,BIRC2
SLC6A2,SLC6A2
GLCE,GLCE
KLHL36,KLHL36
SP2,SP2
LPP,LPP
VCPIP1,VCPIP1
NUMBL,NUMBL
SORCS3,SORCS3
AHCYL2,AHCYL2
NCOR1,NCOR1
DGKH,DGKH
POGK,POGK
KLHL10,KLHL10
NPLOC4,NPLOC4
CARM1,CARM1
TOMM70,TOMM70
DENND6A,DENND6A
TBX18,TBX18
ZNF652,ZNF652
LINGO2,LINGO2
HIPK1,HIPK1
NFE2L2,NFE2L2
BTRC,BTRC
UNC80,UNC80
KLHL15,KLHL15
FBXO46,FBXO46
TBX15,TBX15
SLC13A3,SLC13A3
NOS3,NOS3
GALNTL6,GALNTL6
CASKIN2,CASKIN2
TRIP10,TRIP10
KBTBD8,KBTBD8
UBQLN4,UBQLN4
ANKRD54,ANKRD54
MED26,MED26
HIPK2,HIPK2
KCNH7,KCNH7
CDC23,CDC23
FRMD3,FRMD3
UNC93B1,UNC93B1
KLHL21,KLHL21
MAP3K12,MAP3K12
NF2,NF2
P2RX7,P2RX7
BRD1,BRD1
SETD3,SETD3
MIGA2,MIGA2
RBM47,RBM47
GATAD2B,GATAD2B
ZSWIM5,ZSWIM5
STXBP3,STXBP3
ATIC,ATIC
BRAP,BRAP
LINGO3,LINGO3
SLC6A20,SLC6A20
ZNF703,ZNF703
NPAS1,NPAS1
ZBTB46,ZBTB46
UBQLN1,UBQLN1
ENC1,ENC1
KLHL25,KLHL25
WDFY3,WDFY3
ALAS2,ALAS2
GAB3,GAB3
MAPK4,MAPK4
WASHC4,WASHC4
ZNF92,ZNF92
CRY1,CRY1
AKTIP,AKTIP
MLEC,MLEC
APPBP2,APPBP2
MMP14,MMP14
ATP8A1,ATP8A1
ZNF326,ZNF326
AFF4,AFF4
KCNQ2,KCNQ2
ADCK5,ADCK5
SLC5A7,SLC5A7
TRAPPC14,TRAPPC14
PXK,PXK
NCOA5,NCOA5
XKR7,XKR7
CDKAL1,CDKAL1
CPSF1,CPSF1
CARD11,CARD11
IGF2BP1,IGF2BP1
RELN,RELN
ZNF791,ZNF791
EBF2,EBF2
SNX33,SNX33
NT5E,NT5E
SENP3,SENP3
ATP9B,ATP9B
SLC41A2,SLC41A2
FUBP3,FUBP3
MAN2A1,MAN2A1
NRXN2,NRXN2
MLLT3,MLLT3
RBL2,RBL2
ARSI,ARSI
ZNF583,ZNF583
VDAC3,VDAC3
PPP1R16B,PPP1R16B
SH3PXD2A,SH3PXD2A
TMEM151B,TMEM151B
USP21,USP21
USP39,USP39
EPHA6,EPHA6
SPTLC2,SPTLC2
NOX1,NOX1
ANTXR1,ANTXR1
CPNE8,CPNE8
SLC1A6,SLC1A6
TRIM33,TRIM33
GRK1,GRK1
FBXW11,FBXW11
ZNF460,ZNF460
AK5,AK5
PCF11,PCF11
ASNS,ASNS
TMEM209,TMEM209
AATF,AATF
ADCY1,ADCY1
DCAF10,DCAF10
LRRC71,LRRC71
PUF60,PUF60
DNAJC11,DNAJC11
SPECC1L,SPECC1L
GALNT16,GALNT16
ATL1,ATL1
KLHL23,KLHL23
GLUD1,GLUD1
NLGN2,NLGN2
LGI1,LGI1
STARD13,STARD13
ZC3H13,ZC3H13
UTP18,UTP18
TMEM87A,TMEM87A
HAS2,HAS2
IFT56,IFT56
ZNF564,ZNF564
MCOLN3,MCOLN3
ALS2,ALS2
TRPM8,TRPM8
FERRY3,FERRY3
RELA,RELA
PIK3CG,PIK3CG
TRIM8,TRIM8
ARHGAP30,ARHGAP30
DGCR2,DGCR2
ATG13,ATG13
AP1G1,AP1G1
FASTK,FASTK
ERF,ERF
MGAT4B,MGAT4B
UCKL1,UCKL1
SLC22A15,SLC22A15
ELP3,ELP3
ADCY2,ADCY2
CCT3,CCT3
STK39,STK39
ANKIB1,ANKIB1
CSRNP2,CSRNP2
CHD6,CHD6
NNT,NNT
SRGAP1,SRGAP1
ATF1,ATF1
SLC1A3,SLC1A3
ANKRD13C,ANKRD13C
NPR3,NPR3
EHD4,EHD4
SLC1A5,SLC1A5
STAM,STAM
ZNF136,ZNF136
SNTB2,SNTB2
LMBRD1,LMBRD1
RIMS4,RIMS4
TRIM26,TRIM26
ANAPC4,ANAPC4
SLC16A2,SLC16A2
RO60,RO60
SNTB1,SNTB1
NEMF,NEMF
KPNA1,KPNA1
YLPM1,YLPM1
SOCS6,SOCS6
ALDH6A1,ALDH6A1
PRKCSH,PRKCSH
ARSB,ARSB
ZNF397,ZNF397
NAGS,NAGS
PSMD3,PSMD3
PAF1,PAF1
B4GALNT1,B4GALNT1
TBC1D31,TBC1D31
NETO1,NETO1
DCLRE1B,DCLRE1B
FMO3,FMO3
SETBP1,SETBP1
ZBTB18,ZBTB18
SMARCD2,SMARCD2
TIAM1,TIAM1
NTNG2,NTNG2
MFSD2A,MFSD2A
RBM27,RBM27
PDP2,PDP2
KCNA6,KCNA6
ENTPD3,ENTPD3
ADGRB2,ADGRB2
PPP1R16A,PPP1R16A
ACBD3,ACBD3
ANKRD42,ANKRD42
GLI3,GLI3
ZBTB11,ZBTB11
TBC1D19,TBC1D19
MBTPS1,MBTPS1
USP22,USP22
SLC2A2,SLC2A2
ITGAV,ITGAV
PSAP,PSAP
LRRC1,LRRC1
VANGL1,VANGL1
PGBD5,PGBD5
JRKL,JRKL
DIP2A,DIP2A
UGT3A2,UGT3A2
NPEPL1,NPEPL1
GPT2,GPT2
PLXNC1,PLXNC1
UAP1,UAP1
CYP26C1,CYP26C1
OCLN,OCLN
LRRTM1,LRRTM1
BTBD3,BTBD3
MTREX,MTREX
MEF2D,MEF2D
HYCC1,HYCC1
GADL1,GADL1
ARFGAP2,ARFGAP2
MAN2C1,MAN2C1
CNTN2,CNTN2
KDM5C,KDM5C
MAOB,MAOB
PPIL2,PPIL2
SPATA2,SPATA2
ZFP30,ZFP30
MTMR10,MTMR10
IPO8,IPO8
UNC5CL,UNC5CL
TBX5,TBX5
SERINC4,SERINC4
BACE2,BACE2
USP48,USP48
RNPC3,RNPC3
NECTIN1,NECTIN1
MFSD13A,MFSD13A
PLCG1,PLCG1
SEC24D,SEC24D
DHCR24,DHCR24
CARD10,CARD10
MORC2,MORC2
ZNF445,ZNF445
SLC25A25,SLC25A25
ELAPOR2,ELAPOR2
SLC18A2,SLC18A2
APCDD1,APCDD1
PLRG1,PLRG1
FMNL3,FMNL3
CYP1A1,CYP1A1
ALDH1A3,ALDH1A3
TUBGCP5,TUBGCP5
PSD,PSD
AGL,AGL
CNOT11,CNOT11
RBCK1,RBCK1
INTS5,INTS5
BEST2,BEST2
HARS1,HARS1
CKAP5,CKAP5
EDC3,EDC3
ADGRB3,ADGRB3
UAP1L1,UAP1L1
TOM1L2,TOM1L2
POGLUT3,POGLUT3
NOVA1,NOVA1
KRT85,KRT85
TOX2,TOX2
SLC38A2,SLC38A2
PHF20,PHF20
PLEKHD1,PLEKHD1
LRP1,LRP1
CDK13,CDK13
CYP7A1,CYP7A1
FGFRL1,FGFRL1
DNAJC3,DNAJC3
TRMT2B,TRMT2B
CYP19A1,CYP19A1
LEMD2,LEMD2
FRYL,FRYL
ZFP3,ZFP3
WASF3,WASF3
ABCB7,ABCB7
FADS1,FADS1
BACE1,BACE1
CAMKV,CAMKV
LIPG,LIPG
CEP57,CEP57
KCNK5,KCNK5
SERPIND1,SERPIND1
INA,INA
TMEM67,TMEM67
SLC17A4,SLC17A4
ARHGAP23,ARHGAP23
GLRB,GLRB
CYP26A1,CYP26A1
RETREG1,RETREG1
CDK12,CDK12
DLGAP4,DLGAP4
NOTUM,NOTUM
FIZ1,FIZ1
PLAGL2,PLAGL2
ANKRD34A,ANKRD34A
SGK3,SGK3
SMAD6,SMAD6
CNPY4,CNPY4
SMG8,SMG8
KCNA1,KCNA1
DNAJC7,DNAJC7
SRSF4,SRSF4
KANSL1L,KANSL1L
ACVR1C,ACVR1C
ANKH,ANKH
SLC2A1,SLC2A1
PPIL4,PPIL4
SESN3,SESN3
ATG14,ATG14
SYT9,SYT9
KATNA1,KATNA1
MB21D2,MB21D2
SERPINF2,SERPINF2
NAMPT,NAMPT
KCNS3,KCNS3
MON2,MON2
COG1,COG1
KATNAL1,KATNAL1
SLC35F3,SLC35F3
AP5M1,AP5M1
DENND4C,DENND4C
ERN1,ERN1
SLITRK3,SLITRK3
PTPRM,PTPRM
ZDHHC14,ZDHHC14
SCHIP1,SCHIP1
WDR59,WDR59
STK4,STK4
LPCAT3,LPCAT3
PTPRS,PTPRS
SLC16A4,SLC16A4
RANBP9,RANBP9
LDHD,LDHD
AARS1,AARS1
PIGA,PIGA
TENT2,TENT2
BTBD1,BTBD1
MYH7,MYH7
SHMT1,SHMT1
GSK3A,GSK3A
KRT8,KRT8
ERLEC1,ERLEC1
SEPTIN8,SEPTIN8
HDAC1,HDAC1
BAZ2B,BAZ2B
CELF6,CELF6
AKT2,AKT2
GPR37L1,GPR37L1
CLTC,CLTC
SESN2,SESN2
NR6A1,NR6A1
EDIL3,EDIL3
OSBPL2,OSBPL2
TFCP2L1,TFCP2L1
PAIP1,PAIP1
BCL6B,BCL6B
INTS2,INTS2
MAGEE1,MAGEE1
RLF,RLF
SLC17A2,SLC17A2
POC1B,POC1B
CEP112,CEP112
KCNS2,KCNS2
TMCC3,TMCC3
SMARCAL1,SMARCAL1
TRAK1,TRAK1
ANKRD50,ANKRD50
ATRN,ATRN
COPB1,COPB1
CPE,CPE
CAMK1G,CAMK1G
SLC36A1,SLC36A1
WDSUB1,WDSUB1
ESS2,ESS2
BCL9,BCL9
CNOT4,CNOT4
LPL,LPL
TUBE1,TUBE1
SLC46A2,SLC46A2
FEZF1,FEZF1
XRN2,XRN2
RIC1,RIC1
GPBP1L1,GPBP1L1
RNF14,RNF14
GSS,GSS
INTS10,INTS10
ZSCAN21,ZSCAN21
SERINC3,SERINC3
CAMK4,CAMK4
SLC38A5,SLC38A5
MBOAT7,MBOAT7
PC,PC
IRX2,IRX2
HSPA13,HSPA13
PFKFB1,PFKFB1
HTR2A,HTR2A
MATCAP1,MATCAP1
DENND2D,DENND2D
ZNF609,ZNF609
SNX17,SNX17
EOMES,EOMES
DDX42,DDX42
MORC4,MORC4
SLC25A23,SLC25A23
TRIM75,TRIM75
SCG3,SCG3
TRIT1,TRIT1
SMAD9,SMAD9
GABRG3,GABRG3
FUCA2,FUCA2
GFRA1,GFRA1
CTDSPL2,CTDSPL2
CS,CS
RETREG3,RETREG3
E2F3,E2F3
TACR3,TACR3
MKNK2,MKNK2
CDR2L,CDR2L
TOP2B,TOP2B
GFRA2,GFRA2
DENND2C,DENND2C
RCC1L,RCC1L
NDUFS2,NDUFS2
SUCLA2,SUCLA2
TRMT11,TRMT11
SLC38A7,SLC38A7
HPX,HPX
ICAM5,ICAM5
ERRFI1,ERRFI1
EXOC2,EXOC2
RXRA,RXRA
SEZ6L2,SEZ6L2
RNF216,RNF216
CORO1A,CORO1A
SERINC5,SERINC5
NEU3,NEU3
NUCB1,NUCB1
PORCN,PORCN
USH1G,USH1G
TRPC3,TRPC3
PWP2,PWP2
GRIK3,GRIK3
CHGA,CHGA
TMEM143,TMEM143
FKBP4,FKBP4
KRT27,KRT27
SLC46A1,SLC46A1
ZMYM2,ZMYM2
KRT13,KRT13
SACS,SACS
DOCK2,DOCK2
CARMIL1,CARMIL1
FKBP5,FKBP5
ZNF140,ZNF140
PLA1A,PLA1A
GPAT4,GPAT4
TENM1,TENM1
COL1A2,COL1A2
HEATR3,HEATR3
NT5DC1,NT5DC1
BLMH,BLMH
GDF6,GDF6
GRM8,GRM8
WIPI2,WIPI2
ENPP4,ENPP4
PAH,PAH
EIF2B3,EIF2B3
PLPPR2,PLPPR2
IDH2,IDH2
GPX3,GPX3
DEF8,DEF8
IRF4,IRF4
TEAD2,TEAD2
CHIC1,CHIC1
LANCL2,LANCL2
NFKB2,NFKB2
BECN1,BECN1
DBF4,DBF4
DNAJC13,DNAJC13
SLC9A5,SLC9A5
ACOT9,ACOT9
TBL2,TBL2
AMBN,AMBN
WIPI1,WIPI1
GRWD1,GRWD1
ZNF70,ZNF70
TBC1D10C,TBC1D10C
MYLIP,MYLIP
GDI2,GDI2
HRH3,HRH3
HCN1,HCN1
NEK2,NEK2
MINDY3,MINDY3
TYRO3,TYRO3
TUBGCP4,TUBGCP4
SEMA6B,SEMA6B
GATA3,GATA3
RNFT2,RNFT2
NFAT5,NFAT5
PDE8B,PDE8B
KMT5B,KMT5B
ZMYM4,ZMYM4
TFAP2E,TFAP2E
C5orf22,C5H5orf22
PLVAP,PLVAP
ZMYM6,ZMYM6
NDST1,NDST1
PPARD,PPARD
IP6K1,IP6K1
CHSY3,CHSY3
KDM3B,KDM3B
GABRP,GABRP
ARMH1,ARMH1
SETD4,SETD4
ZMYND10,ZMYND10
SQSTM1,SQSTM1
REPS2,REPS2
FGL2,FGL2
ABHD8,ABHD8
MRPS30,MRPS30
PSMB9,PSMB9
ACP7,ACP7
GCDH,GCDH
COL12A1,COL12A1
PDE5A,PDE5A
ABCC1,ABCC1
FBXO9,FBXO9
SLC10A4,SLC10A4
BYSL,BYSL
PPP4R4,PPP4R4
NIM1K,NIM1K
CFAP58,CFAP58
KCNJ14,KCNJ14
GRM2,GRM2
PM20D2,PM20D2
ANKS6,ANKS6
WWP2,WWP2
RASSF9,RASSF9
ZBTB25,ZBTB25
SMOC1,SMOC1
TEAD3,TEAD3
CMAS,CMAS
ZC3H10,ZC3H10
PRMT2,PRMT2
CCNB1,CCNB1
RNF26,RNF26
INSRR,INSRR
KRT17,KRT17
RAB5A,RAB5A
NPTX1,NPTX1
ASTN1,ASTN1
USP13,USP13
MCM4,MCM4
SUPT6H,SUPT6H
EIF5,EIF5
STRADA,STRADA
SYT11,SYT11
SETDB1,SETDB1
WTIP,WTIP
SH2D3C,SH2D3C
DIPK2A,DIPK2A
MRPS5,MRPS5
ACADL,ACADL
GOT2,GOT2
PER1,PER1
LRP12,LRP12
PHC2,PHC2
DENND5A,DENND5A
NEK1,NEK1
RNF128,RNF128
NVL,NVL
HSPA2,HSPA2
MAPK8,MAPK8
PARP8,PARP8
FLOT1,FLOT1
STK25,STK25
SLC16A13,SLC16A13
IRF8,IRF8
ZC3H15,ZC3H15
ASB4,ASB4
NOTCH1,NOTCH1
PLEKHA2,PLEKHA2
HCRTR1,HCRTR1
CWC25,CWC25
SPATA2L,SPATA2L
SPOCK2,SPOCK2
BMP10,BMP10
HNRNPR,HNRNPR
BAZ1B,BAZ1B
BCR,BCR
ARPP21,ARPP21
