chimpanzee gene name,gorilla gene name
ALDOC,ALDOC
DRG2,DRG2
HOOK1,HOOK1
ALDOB,ALDOB
PPP1R13B,PPP1R13B
P2RY13,P2RY13
ADD2,ADD2
RFFL,RFFL
LRFN5,LRFN5
AGTR2,AGTR2
EXOC8,EXOC8
EGR1,EGR1
TMEM129,TMEM129
EPHX4,EPHX4
CCR10,CCR10
SLC25A3,SLC25A3
SURF6,SURF6
LDHA,LDHA
KCNH3,KCNH3
ACSL6,ACSL6
FBXL18,FBXL18
BBS2,BBS2
MAPK6,MAPK6
SEH1L,SEH1L
CNR2,CNR2
WARS2,WARS2
TRAPPC10,TRAPPC10
NSD3,NSD3
PEX12,PEX12
SANBR,SANBR
HEXIM1,HEXIM1
CCNYL1,CCNYL1
LMAN2L,LMAN2L
DCN,DCN
TRAPPC8,TRAPPC8
ESRP2,ESRP2
FBXO42,FBXO42
PTGER2,PTGER2
IKBKE,IKBKE
GDAP1,GDAP1
DAG1,DAG1
ANKRD50,ANKRD50
SNRNP40,SNRNP40
BORCS6,BORCS6
ANXA13,ANXA13
ACSS2,ACSS2
MYORG,MYORG
HOMER2,HOMER2
RIPOR2,RIPOR2
OTULINL,OTULINL
UBE4A,UBE4A
GNAI2,GNAI2
SLC35D1,SLC35D1
LLGL1,LLGL1
TMCC2,TMCC2
ANKRD28,ANKRD28
CLVS1,CLVS1
RFC2,RFC2
GNAT3,GNAT3
PON3,PON3
VEGFD,VEGFD
GNAT2,GNAT2
BRIX1,BRIX1
TLR8,TLR8
MAP1B,MAP1B
NMD3,NMD3
MDH1,MDH1
MKX,MKX
MTNR1A,MTNR1A
TMEM115,TMEM115
RNF167,RNF167
MOAP1,MOAP1
LPAR2,LPAR2
FAM118B,FAM118B
TMOD2,TMOD2
TMEM30B,TMEM30B
UBA6,UBA6
MBTPS1,MBTPS1
ALOX12B,ALOX12B
NETO2,NETO2
EDC4,EDC4
HHIP,HHIP
ACKR4,ACKR4
RP2,RP2
MCL1,MCL1
KLHDC8A,KLHDC8A
MTHFD2,MTHFD2
GPD1,GPD1
NPR2,NPR2
RPF1,RPF1
FKBPL,FKBPL
IRF2,IRF2
TWF2,TWF2
PAQR7,PAQR7
RSPH14,RSPH14
OPN1SW,OPN1SW
GET3,ASNA1
ERLIN1,ERLIN1
DAGLA,DAGLA
HERC1,HERC1
PAX9,PAX9
LRP2BP,LRP2BP
KMT2A,KMT2A
TFB1M,TFB1M
ANXA1,ANXA1
RAX,RAX
MOS,MOS
SUCLG1,SUCLG1
CDK2,CDK2
ULK2,ULK2
PDGFC,PDGFC
LDLRAD3,LDLRAD3
TMOD4,TMOD4
LNX2,LNX2
NAT10,NAT10
SNX16,SNX16
PCGF2,PCGF2
SRSF6,SRSF6
USP49,USP49
MMS19,MMS19
ALX3,ALX3
HSPA12B,HSPA12B
SYT7,SYT7
RNF113A,RNF113A
CNTN1,CNTN1
BCORL1,BCORL1
TTPAL,TTPAL
SLC39A11,SLC39A11
PTAFR,PTAFR
MDGA2,MDGA2
NSD2,NSD2
THOC6,THOC6
FAM13A,FAM13A
MCMDC2,MCMDC2
RASSF1,RASSF1
GNB4,GNB4
EFNB3,EFNB3
MCHR2,MCHR2
ANOS1,ANOS1
SFXN5,SFXN5
FNBP4,FNBP4
CACNA1G,CACNA1G
KDR,KDR
AUH,AUH
FBP2,FBP2
SNRNP48,SNRNP48
CTSB,CTSB
ZBTB5,ZBTB5
FERMT1,FERMT1
OPA1,OPA1
NAA50,NAA50
LUM,LUM
TFAP4,TFAP4
SLC25A37,SLC25A37
AHSA1,AHSA1
DFFB,DFFB
SLC25A40,SLC25A40
ZFP36L1,ZFP36L1
FBP1,FBP1
UBIAD1,UBIAD1
PHF20,PHF20
PICALM,PICALM
ABHD6,ABHD6
CDC37L1,CDC37L1
PPIL6,PPIL6
PC,PC
MTA2,MTA2
ZBTB16,ZBTB16
PLK3,PLK3
STX18,STX18
ASAP2,ASAP2
OSGEP,OSGEP
METAP1D,METAP1D
DECR1,DECR1
FRYL,FRYL
MMP15,MMP15
PPA2,PPA2
RSRC1,RSRC1
MTAP,MTAP
B3GAT1,B3GAT1
MAT2B,MAT2B
DHDDS,DHDDS
RNF40,RNF40
TUBGCP4,TUBGCP4
ARHGAP19,ARHGAP19
LEO1,LEO1
SLC6A7,SLC6A7
CTSL,CTSL
PADI2,PADI2
HNRNPAB,HNRNPAB
ZNF800,ZNF800
ZNF710,ZNF710
MC4R,MC4R
TP53I3,TP53I3
MGST3,MGST3
KDSR,KDSR
SLC25A16,SLC25A16
TNKS,TNKS
INTS8,INTS8
ZFC3H1,ZFC3H1
RABGGTB,RABGGTB
EMC1,EMC1
GPR18,GPR18
HDC,HDC
TAL1,TAL1
CCDC92,CCDC92
RDH13,RDH13
PPP1CB,PPP1CB
CNOT9,CNOT9
EML4,EML4
CRTAC1,CRTAC1
GPR3,GPR3
ANO10,ANO10
AIP,AIP
HSDL1,HSDL1
ALAD,ALAD
NME9,NME9
RCE1,RCE1
EPHB4,EPHB4
TECTB,TECTB
FTSJ1,FTSJ1
SDSL,SDSL
ZNF574,ZNF574
HEYL,HEYL
PKN2,PKN2
CD247,CD247
TNFRSF21,TNFRSF21
SRPK1,SRPK1
GNB1L,GNB1L
GET4,GET4
RNF121,RNF121
FEM1A,FEM1A
DLGAP3,DLGAP3
ADORA1,ADORA1
NUP37,NUP37
RASSF2,RASSF2
AKR1D1,AKR1D1
RBM15,RBM15
EPHA1,EPHA1
KIT,KIT
STX16,STX16
EXOC4,EXOC4
INSRR,INSRR
NAA25,NAA25
AVL9,AVL9
KIFBP,KIFBP
SLC25A27,SLC25A27
SETDB1,SETDB1
ASB11,ASB11
CLSTN3,CLSTN3
SLC9A9,SLC9A9
PER1,PER1
EPYC,EPYC
F11R,F11R
SFXN2,SFXN2
SFXN1,SFXN1
CXXC5,CXXC5
TAF1,TAF1
AIMP1,AIMP1
SLC25A33,SLC25A33
PLPPR5,PLPPR5
RACK1,RACK1
CORO2B,CORO2B
ALAS1,ALAS1
KLF10,KLF10
DIS3,DIS3
SLITRK5,SLITRK5
CRYL1,CRYL1
ZNF507,ZNF507
ACY3,ACY3
CAD,CAD
METAP2,METAP2
MDGA1,MDGA1
SLC25A42,SLC25A42
TRAK1,TRAK1
BAZ2A,BAZ2A
ASB2,ASB2
SYK,SYK
POU1F1,POU1F1
PPP1R3C,PPP1R3C
OR52E8,OR52E8
DUS4L,DUS4L
ABCC8,ABCC8
APC,APC
TNFAIP1,TNFAIP1
WDR83,WDR83
ABHD11,ABHD11
TSEN34,TSEN34
TYW5,TYW5
NGDN,NGDN
DAZL,DAZL
FRA10AC1,FRA10AC1
KARS1,KARS1
HECW2,HECW2
PIAS3,PIAS3
YIF1B,YIF1B
OR5D14,OR5D14
DUSP2,DUSP2
SFRP1,SFRP1
TMEM131,TMEM131
UNG,UNG
LRRC52,LRRC52
KCNK6,KCNK6
ASPA,ASPA
CDX2,CDX2
TESK1,TESK1
PRKRA,PRKRA
BLTP1,BLTP1
RELCH,RELCH
PURB,PURB
UCP3,UCP3
SGCZ,SGCZ
PPARA,PPARA
ATRX,ATRX
ZNF131,ZNF131
ARFGEF3,ARFGEF3
TMBIM1,TMBIM1
F2,F2
PIM2,PIM2
PGM2L1,PGM2L1
PLD2,PLD2
TREML1,TREML1
ALG9,ALG9
PPCS,PPCS
EXD2,EXD2
TOX4,TOX4
KLHL40,KLHL40
KLHL6,KLHL6
CHIT1,CHIT1
ACTN4,ACTN4
ZMYND8,ZMYND8
SDK2,SDK2
LRATD2,LRATD2
ITK,ITK
GPN2,GPN2
RELL2,RELL2
SDC1,SDC1
ZFPL1,ZFPL1
BAZ2B,BAZ2B
GFRA2,GFRA2
AURKC,AURKC
CALHM5,CALHM5
SLC8A3,SLC8A3
FN3K,FN3K
STOX2,STOX2
VPS33B,VPS33B
SLC2A12,SLC2A12
OTUD7A,OTUD7A
RFX5,RFX5
GTF2H3,GTF2H3
UFD1,UFD1
EHBP1,EHBP1
NRP1,NRP1
CCAR2,CCAR2
HS3ST1,HS3ST1
SLC39A9,SLC39A9
RUNDC1,RUNDC1
ATP13A3,ATP13A3
SLC30A5,SLC30A5
EIF2B1,EIF2B1
WDR20,WDR20
HIVEP2,HIVEP2
HK2,HK2
FNBP1L,FNBP1L
SORCS3,SORCS3
PPP1R9A,PPP1R9A
TMEM74,TMEM74
KIAA1191,KIAA1191
DHX8,DHX8
RNPS1,RNPS1
POGK,POGK
XRCC6,XRCC6
DENND6A,DENND6A
MBP,MBP
GRM4,GRM4
HOXC11,HOXC11
DTWD1,DTWD1
GULP1,GULP1
GALNT11,GALNT11
KCNB2,KCNB2
EIF3L,EIF3L
EPS15L1,EPS15L1
RNF144B,RNF144B
LINGO2,LINGO2
SPARC,SPARC
KAZALD1,KAZALD1
PSMD2,PSMD2
HIPK1,HIPK1
BTRC,BTRC
SNAP91,SNAP91
STX17,STX17
ME3,ME3
IFRD1,IFRD1
SCO1,SCO1
SLC25A15,SLC25A15
ZZZ3,ZZZ3
TASL,TASL
SLC23A1,SLC23A1
KBTBD8,KBTBD8
MYEF2,MYEF2
GGPS1,GGPS1
KLHL24,KLHL24
GPR107,GPR107
GIMAP7,GIMAP7
FFAR1,FFAR1
TAF2,TAF2
HIPK2,HIPK2
KCNH7,KCNH7
TCEA2,TCEA2
ANKRD54,ANKRD54
LPIN2,LPIN2
PTPN6,PTPN6
GRM1,GRM1
OGN,OGN
MYH7,MYH7
REM1,REM1
TMEM164,TMEM164
FAM200C,FAM200C
MIGA2,MIGA2
GATAD2B,GATAD2B
ELF2,ELF2
ACO1,ACO1
PKN3,PKN3
TPCN1,TPCN1
CFTR,CFTR
PACRG,PACRG
ZNF570,ZNF570
ABL2,ABL2
EIF2A,EIF2A
CSRNP1,CSRNP1
NPAS1,NPAS1
SLC11A2,SLC11A2
GDPD2,GDPD2
HAS1,HAS1
KRT222,KRT222
ZC3H12C,ZC3H12C
KLHL25,KLHL25
UBQLN1,UBQLN1
ZC3H14,ZC3H14
YTHDC1,YTHDC1
LRRC38,LRRC38
STIMATE,STIMATE
SPATS2L,SPATS2L
ATR,ATR
ARHGAP17,ARHGAP17
ARHGEF9,ARHGEF9
ALAS2,ALAS2
ZNF496,ZNF496
MAPK4,MAPK4
RARS2,RARS2
THBS1,THBS1
MYBPC1,MYBPC1
CTR9,CTR9
CTPS2,CTPS2
ELMOD2,ELMOD2
NAV2,NAV2
BCOR,BCOR
FZD5,FZD5
SMOX,SMOX
ADCY6,ADCY6
SHC1,SHC1
RSPO3,RSPO3
LRATD1,LRATD1
FOXR1,FOXR1
GCDH,GCDH
PDE5A,PDE5A
EPHB6,EPHB6
TMEM41B,TMEM41B
TSC1,TSC1
ELOVL1,ELOVL1
MAIP1,MAIP1
SIX2,SIX2
GRM2,GRM2
FZD10,FZD10
TSNAX,TSNAX
PIR,PIR
GRXCR1,GRXCR1
VPS45,VPS45
CA8,CA8
POMGNT2,POMGNT2
NR1D2,NR1D2
DLX5,DLX5
PNP,PNP
PPA1,PPA1
GNPDA1,GNPDA1
DMGDH,DMGDH
NRG3,NRG3
ECPAS,ECPAS
NAA16,NAA16
PDCD1,PDCD1
ZNF791,ZNF791
STOM,STOM
SLC25A45,SLC25A45
CNGA4,CNGA4
KCNA3,KCNA3
SQLE,SQLE
PHC1,PHC1
ZNF10,ZNF10
INKA1,INKA1
C1QL2,C1QL2
COG5,COG5
BICDL1,BICDL1
MBD6,MBD6
YTHDC2,YTHDC2
ALKBH3,ALKBH3
CLN8,CLN8
PYCR3,PYCR3
BCL9,BCL9
CSMD3,CSMD3
VPS37B,VPS37B
SYNPR,SYNPR
TNFSF13B,TNFSF13B
GOLPH3L,GOLPH3L
PGM3,PGM3
PLPP1,PLPP1
RIC1,RIC1
MCM3,MCM3
DNMT3B,DNMT3B
SLC4A5,SLC4A5
RABGGTA,RABGGTA
PHF1,PHF1
FBXW5,FBXW5
TSPAN33,TSPAN33
ITGA6,ITGA6
KDM4B,KDM4B
CPNE8,CPNE8
SNRPA,SNRPA
ARHGAP12,ARHGAP12
TNRC6B,TNRC6B
COL4A5,COL4A5
P4HTM,P4HTM
TPP1,TPP1
ZKSCAN1,ZKSCAN1
AXIN2,AXIN2
ZNF460,ZNF460
AK5,AK5
E2F6,E2F6
OSBPL7,OSBPL7
TMEM209,TMEM209
ZFX,ZFX
FASLG,FASLG
LYL1,LYL1
CCDC106,CCDC106
HOXC12,HOXC12
LZTR1,LZTR1
ERC1,ERC1
DENND4C,DENND4C
ATP2B1,ATP2B1
TBC1D24,TBC1D24
CIC,CIC
PLEKHF1,PLEKHF1
NMNAT1,NMNAT1
TJAP1,TJAP1
COL12A1,COL12A1
NUP155,NUP155
CITED2,CITED2
GPC4,GPC4
STRIP2,STRIP2
C1QTNF6,C1QTNF6
PGS1,PGS1
ASB13,ASB13
GRB7,GRB7
VPS53,VPS53
COLEC10,COLEC10
M6PR,M6PR
GABRA4,GABRA4
ZNF777,ZNF777
RSU1,RSU1
UCK1,UCK1
PRICKLE1,PRICKLE1
CBR3,CBR3
CEMIP2,CEMIP2
MCOLN3,MCOLN3
ELFN1,ELFN1
ZNF688,ZNF688
AKT1S1,AKT1S1
BEND3,BEND3
EXOSC8,EXOSC8
FES,FES
SESN1,SESN1
ASCC3,ASCC3
DOP1A,DOP1A
SLC22A11,SLC22A11
COPS7A,COPS7A
NTF3,NTF3
TMEM45B,TMEM45B
NECAP1,NECAP1
TPRG1,TPRG1
NCCRP1,NCCRP1
EIF2AK4,EIF2AK4
SNAPC3,SNAPC3
JADE3,JADE3
SCARNA11,SCARNA11
GCLM,GCLM
PRR7,PRR7
TRIM55,TRIM55
UQCRFS1,UQCRFS1
NT5DC3,NT5DC3
SLC38A4,SLC38A4
SLC22A15,SLC22A15
ZNF768,ZNF768
DDX56,DDX56
RLF,RLF
COL1A2,COL1A2
ZKSCAN4,ZKSCAN4
KITLG,KITLG
DNAJC27,DNAJC27
EFR3B,EFR3B
TBC1D5,TBC1D5
TGM1,TGM1
CCT3,CCT3
PPP1R9B,PPP1R9B
CEMIP,CEMIP
MED13,MED13
TNR,TNR
SBF1,SBF1
EHD2,EHD2
FBXO31,FBXO31
GPR108,GPR108
CHD6,CHD6
SLC12A4,SLC12A4
CREBBP,CREBBP
PRDX4,PRDX4
MRPL10,MRPL10
AQP2,AQP2
SLC1A3,SLC1A3
EHD4,EHD4
ZNF513,ZNF513
ATF1,ATF1
SCARNA12,SCARNA12
FCHO2,FCHO2
SLC45A4,SLC45A4
CASR,CASR
ZNF565,ZNF565
CPSF4,CPSF4
SIAH3,SIAH3
C14orf93,C14orf93
FARP1,FARP1
C1orf74,C1orf74
NAE1,NAE1
CPNE3,CPNE3
WDR19,WDR19
APPL2,APPL2
HCCS,HCCS
ANP32E,ANP32E
DEPDC5,DEPDC5
RGL1,RGL1
ALDH6A1,ALDH6A1
RSBN1,RSBN1
PLXNA3,PLXNA3
POLR3C,POLR3C
ITGB1,ITGB1
MSX2,MSX2
SART1,SART1
MGAT3,MGAT3
B4GALNT1,B4GALNT1
DRAM2,DRAM2
GLIPR1,GLIPR1
CSGALNACT1,CSGALNACT1
OSR1,OSR1
NSMCE1,NSMCE1
EDNRB,EDNRB
MARK1,MARK1
ANK3,ANK3
TIAM1,TIAM1
NAV3,NAV3
PSME3,PSME3
ELF5,ELF5
ST6GAL2,ST6GAL2
ENTPD3,ENTPD3
GABRB3,GABRB3
ATP5F1B,ATP5F1B
ZNF236,ZNF236
NNMT,NNMT
TMEM41A,TMEM41A
GTF3C5,GTF3C5
PSMB4,PSMB4
GPATCH2,GPATCH2
PSMG2,PSMG2
SNAI1,SNAI1
MAOA,MAOA
POLE2,POLE2
SASS6,SASS6
RTP1,RTP1
DRGX,DRGX
RSPO1,RSPO1
C1orf35,C1orf35
ZCCHC17,ZCCHC17
KCTD2,KCTD2
SLC32A1,SLC32A1
PIKFYVE,PIKFYVE
KIAA0319L,KIAA0319L
SCN4A,SCN4A
SEZ6L,SEZ6L
SRRM1,SRRM1
GTPBP3,GTPBP3
HCRT,HCRT
CA13,CA13
SEMA6A,SEMA6A
USP1,USP1
EIF2B4,EIF2B4
KRT71,KRT71
GLYCTK,GLYCTK
TLR2,TLR2
RCHY1,RCHY1
ALKBH2,ALKBH2
PNPO,PNPO
LASP1,LASP1
STX7,STX7
TRIM67,TRIM67
MYO1A,MYO1A
VAC14,VAC14
ZC3H4,ZC3H4
CREB3L2,CREB3L2
CNTN2,CNTN2
DCAF17,DCAF17
UPK1B,UPK1B
ARL14EP,ARL14EP
AMPD1,AMPD1
CD27,CD27
AMBRA1,AMBRA1
TCP11L2,TCP11L2
VIPAS39,VIPAS39
SOX7,SOX7
PEX11B,PEX11B
LRRC3B,LRRC3B
SRD5A1,SRD5A1
DCUN1D2,DCUN1D2
BPGM,BPGM
RGL2,RGL2
PPAT,PPAT
SNTG1,SNTG1
FOXN4,FOXN4
PDZD4,PDZD4
SEMA3E,SEMA3E
RNF170,RNF170
IGFBP4,IGFBP4
CELA1,CELA1
HCN3,HCN3
EBAG9,EBAG9
ABAT,ABAT
EXOC1,EXOC1
ZNF197,ZNF197
AGXT2,AGXT2
SLC7A14,SLC7A14
RGS7BP,RGS7BP
SPCS2,SPCS2
TRIM2,TRIM2
CDADC1,CDADC1
NOL7,NOL7
APH1B,APH1B
FOLR1,FOLR1
COL14A1,COL14A1
MYO18A,MYO18A
ATP6V1B1,ATP6V1B1
ACVR1,ACVR1
KLK15,KLK15
ALDH1A3,ALDH1A3
ENKUR,ENKUR
KCNIP3,KCNIP3
PCGF5,PCGF5
ETV3,ETV3
HEATR5A,HEATR5A
SLC12A6,SLC12A6
SIM1,SIM1
TBC1D16,TBC1D16
PCNX3,PCNX3
REEP3,REEP3
KCTD14,KCTD14
RPL7L1,RPL7L1
DLX1,DLX1
SLC16A14,SLC16A14
LMAN1,LMAN1
MYF5,MYF5
HOXD4,HOXD4
IDE,IDE
CUL2,CUL2
FCHSD2,FCHSD2
CYP4X1,CYP4X1
ESRRB,ESRRB
CREB5,CREB5
CYP27B1,CYP27B1
CDC42EP3,CDC42EP3
TRMT5,TRMT5
BARX1,BARX1
CCDC152,CCDC152
PSME3IP1,PSME3IP1
RBM24,RBM24
CKAP5,CKAP5
MATK,MATK
MYB,MYB
DBT,DBT
DMTF1,DMTF1
MTR,MTR
PPFIA1,PPFIA1
TMC1,TMC1
PRNP,PRNP
MTSS1,MTSS1
SLC38A2,SLC38A2
GABRE,GABRE
PNPLA4,PNPLA4
ODF1,ODF1
MARCHF3,MARCHF3
TMEM51,TMEM51
C1orf43,C1orf43
MFSD14B,MFSD14B
PLOD2,PLOD2
PPARG,PPARG
PPM1J,PPM1J
SLC37A2,SLC37A2
GFAP,GFAP
KLHL5,KLHL5
DENND2A,DENND2A
PTK2B,PTK2B
TGFBR1,TGFBR1
SPINT2,SPINT2
AOC2,AOC2
ZFYVE21,ZFYVE21
PIK3R5,PIK3R5
CYP19A1,CYP19A1
LEMD2,LEMD2
PPM1E,PPM1E
CPS1,CPS1
FAM83F,FAM83F
TAF9B,TAF9B
WASF3,WASF3
ZFP3,ZFP3
LOXL3,LOXL3
RHOT1,RHOT1
PHLDB2,PHLDB2
CDYL2,CDYL2
APCDD1L,APCDD1L
MMUT,MMUT
SPIC,SPIC
ADGRG6,ADGRG6
C3orf70,C3orf70
TNFSF13,TNFSF13
DSP,DSP
ZFHX4,ZFHX4
SKIC2,SKIC2
MED25,MED25
MITD1,MITD1
TNFSF12,TNFSF12
ZNF483,ZNF483
POMT1,POMT1
WASF2,WASF2
ANP32A,ANP32A
PITPNM1,PITPNM1
CRISPLD2,CRISPLD2
TRMT6,TRMT6
CYP26A1,CYP26A1
SCN9A,SCN9A
PPP2R5B,PPP2R5B
RETREG1,RETREG1
WDR7,WDR7
ABCD1,ABCD1
TTC28,TTC28
DLGAP4,DLGAP4
GRXCR2,GRXCR2
NANP,NANP
SLC19A3,SLC19A3
FSD1,FSD1
KIAA1958,KIAA1958
RASL11B,RASL11B
TIMM21,TIMM21
RBM6,RBM6
FN1,FN1
NAGLU,NAGLU
ZBTB8B,ZBTB8B
SHE,SHE
MAP3K4,MAP3K4
CNPY4,CNPY4
COQ10A,COQ10A
NSMCE2,NSMCE2
PHKA2,PHKA2
MPDU1,MPDU1
NIPSNAP3A,NIPSNAP3A
ANGPTL2,ANGPTL2
CEP120,CEP120
ANO1,ANO1
MRC2,MRC2
MYO5B,MYO5B
SESN3,SESN3
SNORA53,SNORA53
MDFI,MDFI
LIN37,LIN37
PMM2,PMM2
SIX6,SIX6
RIC3,RIC3
SYT9,SYT9
KANSL1,KANSL1
PDE4B,PDE4B
SGIP1,SGIP1
SZT2,SZT2
CMBL,CMBL
SLC39A14,SLC39A14
PRRX1,PRRX1
MDM4,MDM4
MTRES1,MTRES1
AIG1,AIG1
PLEKHO2,PLEKHO2
CLRN1,CLRN1
TSPAN6,TSPAN6
ACTL10,ACTL10
C1QA,C1QA
TPMT,TPMT
KATNAL1,KATNAL1
MZF1,MZF1
ELAVL3,ELAVL3
RASGEF1A,RASGEF1A
DDC,DDC
VPS54,VPS54
SLITRK3,SLITRK3
BAG5,BAG5
ANXA7,ANXA7
INO80E,INO80E
ADIPOQ,ADIPOQ
PSMB6,PSMB6
LTB,LTB
RND3,RND3
DCXR,DCXR
N4BP2L1,N4BP2L1
RASGRP2,RASGRP2
TRERF1,TRERF1
JAG1,JAG1
IKBKG,IKBKG
SLC16A4,SLC16A4
STK4,STK4
LPCAT3,LPCAT3
WDR59,WDR59
DTL,DTL
PTPRO,PTPRO
BAP1,BAP1
CTHRC1,CTHRC1
RCAN2,RCAN2
HIPK3,HIPK3
SLC15A2,SLC15A2
STK32C,STK32C
SSPN,SSPN
RWDD1,RWDD1
TRIM68,TRIM68
ZNF639,ZNF639
PREPL,PREPL
SLC6A17,SLC6A17
TERB1,TERB1
PYGL,PYGL
PKD2,PKD2
BRD3,BRD3
MPIG6B,MPIG6B
HOXC8,HOXC8
APIP,APIP
DDX49,DDX49
MRTFA,MRTFA
MICU1,MICU1
TSPAN1,TSPAN1
BRPF3,BRPF3
KCNIP1,KCNIP1
IGSF6,IGSF6
TRIM37,TRIM37
PTPRG,PTPRG
NCKIPSD,NCKIPSD
ZNF219,ZNF219
SHPRH,SHPRH
FGD1,FGD1
THBS4,THBS4
CSKMT,CSKMT
SESN2,SESN2
KRTCAP3,KRTCAP3
PXYLP1,PXYLP1
SETDB2,SETDB2
PLXNA1,PLXNA1
RHCG,RHCG
KLHL4,KLHL4
NEMF,NEMF
OLFM2,OLFM2
EFHD1,EFHD1
IZUMO3,IZUMO3
MATN2,MATN2
SUN2,SUN2
SCARB2,SCARB2
ANKRD49,ANKRD49
ANO4,ANO4
CCDC146,CCDC146
MMP3,MMP3
EPX,EPX
NOD1,NOD1
SYNDIG1L,SYNDIG1L
DOLPP1,DOLPP1
VPS8,VPS8
SPEGNB,SPEGNB
RNMT,RNMT
COQ10B,COQ10B
UBE2R2,UBE2R2
TAF6,TAF6
C1QL4,C1QL4
CD63,CD63
ZC3H6,ZC3H6
PARS2,PARS2
ARID5B,ARID5B
TAB3,TAB3
REXO2,REXO2
TGIF2,TGIF2
RNF14,RNF14
MTCL3,MTCL3
MAP3K14,MAP3K14
ZSCAN21,ZSCAN21
WDR35,WDR35
METTL21A,METTL21A
STX8,STX8
CLIC3,CLIC3
LRRN3,LRRN3
MIR548H3,MIR548H3
WARS1,WARS1
PFKFB1,PFKFB1
DENND2D,DENND2D
PDE2A,PDE2A
BBX,BBX
RAB18,RAB18
RMDN3,RMDN3
NKD1,NKD1
FLT3LG,FLT3LG
TICAM2,TICAM2
MORC3,MORC3
ATG7,ATG7
PELI3,PELI3
ETS2,ETS2
KRT7,KRT7
WNT3A,WNT3A
MROH1,MROH1
ASCL1,ASCL1
KICS2,KICS2
IL6,IL6
SLC25A23,SLC25A23
FNDC4,FNDC4
PLIN3,PLIN3
TRIM11,TRIM11
SORCS1,SORCS1
TRIT1,TRIT1
ERO1B,ERO1B
TTC39C,TTC39C
FNIP1,FNIP1
FOXA3,FOXA3
GCK,GCK
MED7,MED7
TMEM179,TMEM179
HOXA6,HOXA6
NIPAL4,NIPAL4
UVRAG,UVRAG
RETREG3,RETREG3
URGCP,URGCP
NOA1,NOA1
TRIM15,TRIM15
RIOX2,RIOX2
TMEM168,TMEM168
SNX8,SNX8
AK2,AK2
DDIT4,DDIT4
HACD4,HACD4
CHD9,CHD9
CDKN2AIP,CDKN2AIP
BSCL2,BSCL2
CTSC,CTSC
PLAGL1,PLAGL1
SUCLA2,SUCLA2
ZBED1,ZBED1
COA7,COA7
KREMEN2,KREMEN2
PAFAH1B3,PAFAH1B3
NQO2,NQO2
ERRFI1,ERRFI1
PDZD8,PDZD8
SLC15A4,SLC15A4
USH1G,USH1G
CDS1,CDS1
PGAP1,PGAP1
NEU3,NEU3
E2F5,E2F5
PPP1R37,PPP1R37
CALCOCO1,CALCOCO1
TCAF1,TCAF1
GUCY1A1,GUCY1A1
CLDN2,CLDN2
ZMIZ2,ZMIZ2
CAPN9,CAPN9
UBAC2,UBAC2
AP2M1,AP2M1
STEAP4,STEAP4
ZPR1,ZPR1
TMEM143,TMEM143
ZBTB48,ZBTB48
CHRDL1,CHRDL1
PRXL2A,PRXL2A
CHRNB3,CHRNB3
ZMAT4,ZMAT4
NKIRAS2,NKIRAS2
SDAD1,SDAD1
SCAMP4,SCAMP4
MYOF,MYOF
RGMA,RGMA
RAB33B,RAB33B
MAN2A1,MAN2A1
EPB41L4A,EPB41L4A
CARMIL3,CARMIL3
FKBP5,FKBP5
KLF5,KLF5
SLC12A9,SLC12A9
BMPER,BMPER
GALC,GALC
GPSM2,GPSM2
LHFPL2,LHFPL2
THAP2,THAP2
EXOSC9,EXOSC9
LURAP1L,LURAP1L
BLNK,BLNK
PDK1,PDK1
GTF3C2,GTF3C2
E2F7,E2F7
RB1CC1,RB1CC1
SV2B,SV2B
ZNF263,ZNF263
DIXDC1,DIXDC1
TIE1,TIE1
NT5DC1,NT5DC1
DENND11,DENND11
COLQ,COLQ
CWC22,CWC22
TMX3,TMX3
TMED4,TMED4
DAPK3,DAPK3
SPAG7,SPAG7
ZMYND19,ZMYND19
FAM3C,FAM3C
ODR4,ODR4
FAM222B,FAM222B
BCAN,BCAN
MSH6,MSH6
FAM117A,FAM117A
ABCA1,ABCA1
BTBD7,BTBD7
PKMYT1,PKMYT1
MYL10,MYL10
GLRA2,GLRA2
MCM2,MCM2
H1-5,H1-5
GLI3,GLI3
ZNF654,ZNF654
IRF4,IRF4
GPR61,GPR61
NCKAP1L,NCKAP1L
TAF8,TAF8
SNRPB2,SNRPB2
BFAR,BFAR
CLDN8,CLDN8
SMCO3,SMCO3
GSTM3,GSTM3
KRT25,KRT25
MRPS34,MRPS34
LANCL2,LANCL2
FLRT1,FLRT1
MED15,MED15
G6PD,G6PD
CLDN19,CLDN19
FNDC9,FNDC9
TIMP4,TIMP4
CRP,CRP
HOXB6,HOXB6
CBLN2,CBLN2
WWC1,WWC1
ST6GALNAC5,ST6GALNAC5
AMBN,AMBN
DCAF10,DCAF10
MAP3K12,MAP3K12
NTMT1,NTMT1
SOX8,SOX8
PSMD9,PSMD9
DTD1,DTD1
GUF1,GUF1
STYX,STYX
CCDC124,CCDC124
CD19,CD19
MTRF1,MTRF1
GDI2,GDI2
HRH3,HRH3
SENP6,SENP6
GSTA2,GSTA2
CYB561D2,CYB561D2
THAP6,THAP6
TTC9,TTC9
GSTA4,GSTA4
ZNF232,ZNF232
CACNG1,CACNG1
LXN,LXN
HOXC5,HOXC5
CRHR1,CRHR1
ST3GAL3,ST3GAL3
