human gene name,mice gene name
PIM1,Pim1
DLX2,Dlx2
HEPACAM,Hepacam
POLD2,Pold2
NUP188,Nup188
S1PR1,S1pr1
WDR11,Wdr11
KDM5B,Kdm5b
CDIP1,Cdip1
TMEM222,Tmem222
PFKL,Pfkl
AMFR,Amfr
FBXO3,Fbxo3
TECTB,Tectb
KCTD13,Kctd13
IFRD1,Ifrd1
EIF3A,Eif3a
NOS3,Nos3
HK2,Hk2
CDK20,Cdk20
BHMT,Bhmt
STOML2,Stoml2
SYNGR1,Syngr1
EVX2,Evx2
PLD5,Pld5
CXXC5,Cxxc5
SLC25A1,Slc25a1
PPP2R2B,Ppp2r2b
TRIM54,Trim54
UBE2J2,Ube2j2
PCDH8,Pcdh8
ME3,Me3
CAP1,Cap1
FERRY3,D6Wsu163e
DNAJC2,Dnajc2
CLDN11,Cldn11
FKBP3,Fkbp3
CBLN2,Cbln2
CS,Cs
COCH,Coch
PDE7A,Pde7a
SNORD86,Gm23187
ZBTB7C,Zbtb7c
FZD1,Fzd1
NECAP1,Necap1
NAT8L,Nat8l
MAPKAPK2,Mapkapk2
SLC35F5,Slc35f5
MIR448,Mir448
NTMT1,Ntmt1
OPRL1,Oprl1
EFHD2,Efhd2
DOC2A,Doc2a
MAF1,Maf1
NSMF,Nsmf
RELCH,Relch
PHKA1,Phka1
CHST1,Chst1
SYT6,Syt6
HRH3,Hrh3
PELI3,Peli3
COG4,Cog4
ADAMTS10,Adamts10
TMEM115,Tmem115
WNT5B,Wnt5b
PLCG2,Plcg2
MON1A,Mon1a
PNPLA6,Pnpla6
TMEM160,Tmem160
SLAIN2,Slain2
PLAA,Plaa
GSK3A,Gsk3a
MAD2L1,Mad2l1
CUL5,Cul5
ZNF410,Zfp410
ABTB1,Abtb1
HIC1,Hic1
RASL11B,Rasl11b
SCX,Scx
SEMA5A,Sema5a
MME,Mme
MAP2K2,Map2k2
MIR491,Mir491
MIR103A2,Mir103-2
ADGRB1,Adgrb1
FBXO38,Fbxo38
HCN1,Hcn1
ADAM11,Adam11
HCFC1,Hcfc1
IGSF21,Igsf21
SAMD13,Samd13
LRRC14,Lrrc14
DOLPP1,Dolpp1
TMEM59,Tmem59
GNG7,Gng7
PPA1,Ppa1
CIB3,Cib3
VAC14,Vac14
MAFA,Mafa
NFRKB,Nfrkb
TFG,Tfg
PIK3CG,Pik3cg
TBK1,Tbk1
GYS2,Gys2
FBP2,Fbp2
STK16,Stk16
EIF2B1,Eif2b1
REXO2,Rexo2
ENTREP3,Entrep3
VMP1,Vmp1
OLFML3,Olfml3
PRELID3B,Prelid3b
BCL9L,Bcl9l
DCTN3,Dctn3
NDUFS1,Ndufs1
LRP5,Lrp5
STX5,Stx5a
CCDC88A,Ccdc88a
KAZN,Kazn
NME1,Nme1
C1QL2,C1ql2
UBP1,Ubp1
WIPI2,Wipi2
KEAP1,Keap1
ULK3,Ulk3
PAQR8,Paqr8
TTC39C,Ttc39c
LMO2,Lmo2
HOXD11,Hoxd11
BANP,Banp
DNAJB4,Dnajb4
H1-4,H1f4
AKIRIN2,Akirin2
SAMTOR,Bmt2
S100A5,S100a5
GABRR1,Gabrr1
ST13,St13
KIF1C,Kif1c
RNF19B,Rnf19b
AQP1,Aqp1
HBP1,Hbp1
MIR34B,Mir34b
GPC3,Gpc3
NELFB,Nelfb
SLC22A15,Slc22a15
TBC1D25,Tbc1d25
ADAM23,Adam23
NGB,Ngb
SDAD1,Sdad1
UBE2O,Ube2o
ADNP,Adnp
SLIT3,Slit3
KCNJ14,Kcnj14
TNFAIP8L2,Tnfaip8l2
SH3GL1,Sh3gl1
ZDHHC18,Zdhhc18
CPNE3,Cpne3
FBXO10,Fbxo10
EIF2B2,Eif2b2
SIRT7,Sirt7
PDIA6,Pdia6
FXR1,Fxr1
GCN1,Gcn1
APBB2,Apbb2
HOXB7,Hoxb7
ADSL,Adsl
SGK2,Sgk2
FGF10,Fgf10
ERO1B,Ero1b
INA,Ina
ATP6AP2,Atp6ap2
ITGB1BP1,Itgb1bp1
SNX4,Snx4
GTF2E2,Gtf2e2
PGD,Pgd
ARHGAP44,Arhgap44
CELF2,Celf2
SULF2,Sulf2
MYOF,Myof
TPR,Tpr
JRKL,Jrkl
GPD1,Gpd1
PPIB,Ppib
RNPEPL1,Rnpepl1
XKR6,Xkr6
ABCB9,Abcb9
BCR,Bcr
ROBO1,Robo1
MC4R,Mc4r
IMMP1L,Immp1l
BBLN,Bbln
LDHA,Ldha
POLR3D,Polr3d
COMMD2,Commd2
WDR83,Wdr83
PLPPR4,Plppr4
PAPOLG,Papolg
ASL,Asl
CYP26A1,Cyp26a1
GMEB2,Gmeb2
SGSM1,Sgsm1
PEX3,Pex3
DCLK2,Dclk2
NALF2,Nalf2
DTNA,Dtna
DOCK5,Dock5
NUCKS1,Nucks1
DMRTA2,Dmrta2
NANP,Nanp
MPZ,Mpz
DEPDC1B,Depdc1b
EP300,Ep300
TRIM28,Trim28
ALDH1A3,Aldh1a3
INTS10,Ints10
ACAP3,Acap3
TRPC3,Trpc3
SBF2,Sbf2
ETNK1,Etnk1
SOCS2,Socs2
SNORD16,Snord16a
DIRAS1,Diras1
BLACAT1,Gm29695
DUSP14,Dusp14
ASNS,Asns
PSMB4,Psmb4
DNAJB9,Dnajb9
RYK,Ryk
FAM171A2,Fam171a2
WIF1,Wif1
POLR1C,Polr1c
SGSM3,Sgsm3
BCL11B,Bcl11b
ACSL4,Acsl4
DTX4,Dtx4
TMEM255A,Tmem255a
TAF7,Taf7
STAC3,Stac3
CSNK1A1,Csnk1a1
SMYD3,Smyd3
PSMB6,Psmb6
TMCC3,Tmcc3
DGKD,Dgkd
ZFPM2,Zfpm2
YTHDF1,Ythdf1
HNRNPA2B1,Hnrnpa2b1
IFFO1,Iffo1
SYMPK,Sympk
MIR101-1,Mir101a
RNF126,Rnf126
INTS13,Ints13
POLR3C,Polr3c
ABHD6,Abhd6
BCS1L,Bcs1l
AMPD3,Ampd3
COL11A1,Col11a1
ATP1B1,Atp1b1
SESN3,Sesn3
GBF1,Gbf1
CCNI,Ccni
LRRC58,Lrrc58
CCND1,Ccnd1
HNF1B,Hnf1b
TMEFF1,Tmeff1
SLC24A4,Slc24a4
CAMTA1,Camta1
ASB1,Asb1
SAV1,Sav1
STMN3,Stmn3
DPAGT1,Dpagt1
FURIN,Furin
NOS1,Nos1
SYNGR3,Syngr3
NAIF1,Naif1
PARP11,Parp11
PAK5,Pak5
UBE2V1,Ube2v1
RNF138,Rnf138
PDLIM7,Pdlim7
SLC5A3,Slc5a3
NPAS3,Npas3
WIPF2,Wipf2
BNIP1,Bnip1
STAU2,Stau2
CAPN2,Capn2
EXOSC2,Exosc2
ABCD2,Abcd2
GDAP1,Gdap1
WDR12,Wdr12
INO80E,Ino80e
ADAP1,Adap1
SHMT2,Shmt2
MAPK4,Mapk4
CSRNP3,Csrnp3
MAP4K2,Map4k2
KIF21A,Kif21a
POLE3,Pole3
FKRP,Fkrp
ZNF384,Zfp384
ENOPH1,Enoph1
SLC39A1,Slc39a1
C1QTNF5,C1qtnf5
OR4K15,Or4k15
PACSIN2,Pacsin2
MIR29B1,Mir29b-1
FERMT3,Fermt3
RCC1,Rcc1
NELL2,Nell2
ALDH1B1,Aldh1b1
SFRP5,Sfrp5
TRIB1,Trib1
ITK,Itk
SRPK3,Srpk3
NUDC,Nudc
RNF145,Rnf145
ATXN7L3B,Atxn7l3b
TRIM41,Trim41
KCNMB4,Kcnmb4
GPAT3,Gpat3
TRHR,Trhr
P4HB,P4hb
DYNLT1,Dynlt1f
CLCN2,Clcn2
SP2,Sp2
PIGT,Pigt
GPR6,Gpr6
ORC5,Orc5
ANAPC5,Anapc5
MMP24,Mmp24
HEY2,Hey2
G6PD,G6pdx
VPS37D,Vps37d
SARM1,Sarm1
MYL3,Myl3
ZBTB41,Zbtb41
FILIP1,Filip1
PSPH,Psph
STAC2,Stac2
GRM1,Grm1
HMX2,Hmx2
GFUS,Gfus
RC3H1,Rc3h1
SFXN3,Sfxn3
HDAC4,Hdac4
SSTR2,Sstr2
ZNF574,Zfp574
ATP6V1B1,Atp6v1b1
SHANK1,Shank1
KCNB1,Kcnb1
HAL,Hal
SAP130,Sap130
RRAGB,Rragb
MFAP4,Mfap4
DDR1,Ddr1
GFRA2,Gfra2
TRPM8,Trpm8
RANBP17,Ranbp17
PRKAG2,Prkag2
OPA1,Opa1
SPOCK2,Spock2
KBTBD7,Kbtbd7
PPFIA4,Ppfia4
PSMB5,Psmb5
KCNA10,Kcna10
DSE,Dse
PPP1R12A,Ppp1r12a
KLC1,Klc1
SLC16A2,Slc16a2
MSX1,Msx1
MTCH2,Mtch2
CNTNAP2,Cntnap2
SCARNA14,Gm24289
JAK2,Jak2
PSME2,Psme2
RAB37,Rab37
WWOX,Wwox
THAP11,Thap11
WASF3,Wasf3
MAPK8IP3,Mapk8ip3
CIB1,Cib1
MED13,Med13
EEIG2,Eeig2
MYO1F,Myo1f
GAPDH,Gapdh
GPR12,Gpr12
FOXF2,Foxf2
ETS1,Ets1
P2RX3,P2rx3
STX16,Stx16
TMEM151B,Tmem151b
CIMAP1A,Cimap1a
SUB1,Sub1
KCNK10,Kcnk10
KIFC3,Kifc3
CSNK1G1,Csnk1g1
ARHGAP26,Arhgap26
PIK3C2B,Pik3c2b
HMG20B,Hmg20b
SLC25A23,Slc25a23
PLCXD2,Plcxd2
GPX2,Gpx2
OPRK1,Oprk1
DDAH1,Ddah1
LZIC,Lzic
MIR326,Mir326
NUP43,Nup43
FOS,Fos
ZNF385A,Zfp385a
RNF19A,Rnf19a
TLL1,Tll1
ULK2,Ulk2
ANO3,Ano3
EDEM2,Edem2
HOXA3,Hoxa3
CD151,Cd151
CNGA2,Cnga2
FOXK2,Foxk2
EDEM3,Edem3
TGIF2,Tgif2
TMBIM6,Tmbim6
BTG2,Btg2
NEK8,Nek8
TRIM24,Trim24
NCAM2,Ncam2
CREBRF,Crebrf
EHF,Ehf
GGPS1,Ggps1
MKRN1,Mkrn1
IREB2,Ireb2
GTF3C3,Gtf3c3
VPS35L,Vps35l
TSPAN2,Tspan2
CUL4B,Cul4b
G3BP1,G3bp1
TNRC6B,Tnrc6b
GMFG,Gmfg
TPH2,Tph2
UNC5A,Unc5a
NR6A1,Nr6a1
CSTPP1,Cstpp1
NT5C3A,Nt5c3
NDRG1,Ndrg1
MAPK8IP1,Mapk8ip1
BTG3,Btg3
REEP5,Reep5
LRRC8B,Lrrc8b
ACAP2,Acap2
PRDM10,Prdm10
TRAPPC11,Trappc11
MGAT4A,Mgat4a
CASQ1,Casq1
SMAD6,Smad6
RIOK3,Riok3
MTAP,Mtap
NTMT2,Ntmt2
RGS7,Rgs7
GPR3,Gpr3
SHISA9,Shisa9
PHTF1,Phtf1
IDH3B,Idh3b
GCC1,Gcc1
RPL4,Rpl4
SLC6A3,Slc6a3
LEO1,Leo1
FBXL5,Fbxl5
CDH13,Cdh13
RNF123,Rnf123
RPE65,Rpe65
KCTD3,Kctd3
FOXD2,Foxd2
ASB5,Asb5
C5orf24,B230219D22Rik
LYPD1,Lypd1
S100A1,S100a1
TMED9,Tmed9
EXOC2,Exoc2
ZAP70,Zap70
PHF2,Phf2
CDH22,Cdh22
RASL12,Rasl12
KDM4A,Kdm4a
TBX18,Tbx18
NR5A1,Nr5a1
TRPC6,Trpc6
ATXN1L,Atxn1l
PDE2A,Pde2a
STARD3,Stard3
PIGC,Pigc
SEC62,Sec62
SMOC2,Smoc2
BRI3,Bri3
NBL1,Nbl1
PGS1,Pgs1
TUBGCP3,Tubgcp3
PHKG2,Phkg2
GGNBP2,Ggnbp2
GRM6,Grm6
PDHB,Pdhb
FNBP1,Fnbp1
PHTF2,Phtf2
HOXA1,Hoxa1
AAAS,Aaas
KLF13,Klf13
PGAM5,Pgam5
BAG2,Bag2
EML3,Eml3
TFEB,Tfeb
PEX5,Pex5
MMADHC,Mmadhc
IER5L,Ier5l
SLC6A5,Slc6a5
MIR124-2,Mir124a-2
FRMD4B,Frmd4b
PREX2,Prex2
TOX2,Tox2
FRMD6,Frmd6
AKT1S1,Akt1s1
PRPF38B,Prpf38b
STIM2,Stim2
TMEM179,Tmem179
SPNS1,Spns1
RBM15,Rbm15
NUMB,Numb
ANAPC2,Anapc2
DNAAF10,Dnaaf10
CASR,Casr
RXRA,Rxra
FARSB,Farsb
RFK,Rfk
SERF1A,Serf1
OPRD1,Oprd1
DEAF1,Deaf1
MBOAT7,Mboat7
ZBTB5,Zbtb5
NEO1,Neo1
RNF208,Rnf208
CHERP,Cherp
NAV3,Nav3
SLC33A1,Slc33a1
BTBD2,Btbd2
PTCHD4,Ptchd4
STAT1,Stat1
TFCP2L1,Tfcp2l1
FOXF1,Foxf1
XYLT2,Xylt2
GALE,Gale
MICOS10,Micos10
HMGCR,Hmgcr
CTNNA3,Ctnna3
CSTF2,Cstf2
DCAF11,Dcaf11
FRRS1L,Frrs1l
WNT8B,Wnt8b
RECK,Reck
APBA1,Apba1
FKBP9,Fkbp9
MAU2,Mau2
HSPA12B,Hspa12b
GLIPR2,Glipr2
SACS,Sacs
GRAMD1A,Gramd1a
ANAPC4,Anapc4
HGS,Hgs
RABIF,Rabif
IPP,Ipp
CSMD1,Csmd1
DUSP5,Dusp5
JUNB,Junb
SLC25A24,Slc25a24
UAP1,Uap1
ANKS1B,Anks1b
DENND4B,Dennd4b
NR2F6,Nr2f6
ITPKA,Itpka
CRABP2,Crabp2
CCDC28A,Ccdc28a
HSF2,Hsf2
TBKBP1,Tbkbp1
TMEM183A,Tmem183a
PKP3,Pkp3
SNAP91,Snap91
ZMPSTE24,Zmpste24
NPY1R,Npy1r
HSPH1,Hsph1
ALOX5,Alox5
NDST3,Ndst3
VARS1,Vars1
ANKIB1,Ankib1
CAMKK1,Camkk1
SRPX2,Srpx2
DCK,Dck
SH3BGRL2,Sh3bgrl2
BTBD7,Btbd7
AP3B2,Ap3b2
PLD3,Pld3
SETD5,Setd5
ATP11B,Atp11b
VPS8,Vps8
RILPL1,Rilpl1
POMGNT2,Pomgnt2
VTI1A,Vti1a
RRM2B,Rrm2b
GRIPAP1,Gripap1
CCDC85C,Ccdc85c
KDM3B,Kdm3b
RASGRF2,Rasgrf2
MNT,Mnt
EPB41L4A,Epb41l4a
PACS2,Pacs2
OGDH,Ogdh
RNF13,Rnf13
DEF8,Def8
PRDX2,Prdx2
OSGEP,Osgep
CCM2,Ccm2
NCLN,Ncln
PCYOX1L,Pcyox1l
SNTG1,Sntg1
CAPN3,Capn3
PPFIA1,Ppfia1
GPBP1,Gpbp1
JPH1,Jph1
COL8A1,Col8a1
PHKB,Phkb
EXOC8,Exoc8
PI15,Pi15
DNAJC27,Dnajc27
DMBX1,Dmbx1
LSM14A,Lsm14a
DNAJB14,Dnajb14
GPX4,Gpx4
ITPK1,Itpk1
FBXL4,Fbxl4
GAR1,Gar1
RNF139,Rnf139
DIP2A,Dip2a
ESRRB,Esrrb
SMG7,Smg7
PDP1,Pdp1
GARRE1,Garre1
TAF5L,Taf5l
PPT2,Ppt2
C1GALT1C1,C1galt1c1
GINS1,Gins1
RAB29,Rab29
ABCA2,Abca2
PITPNM1,Pitpnm1
ATN1,Atn1
ACO1,Aco1
GRIN3A,Grin3a
MAP3K8,Map3k8
RAB11FIP2,Rab11fip2
CCDC102A,Ccdc102a
DPYSL4,Dpysl4
GTF2H3,Gtf2h3
B3GALNT1,B3galnt1
UBE3C,Ube3c
GTF3C4,Gtf3c4
AP4M1,Ap4m1
CACNB4,Cacnb4
BAP1,Bap1
CDH24,Cdh24
ELAPOR2,Elapor2
HOXB13,Hoxb13
TAL1,Tal1
MTA3,Mta3
CADM2,Cadm2
SLC39A9,Slc39a9
PDE6B,Pde6b
SKIC2,Skic2
SKI,Ski
NELL1,Nell1
CDR2L,Cdr2l
TMEM134,Tmem134
EVX1,Evx1
MBD6,Mbd6
PGM2L1,Pgm2l1
DOP1A,Dop1a
KIDINS220,Kidins220
CANX,Canx
LPCAT4,Lpcat4
CNTNAP1,Cntnap1
LENG8,Leng8
ATRN,Atrn
KIRREL1,Kirrel1
MAF,Maf
FOXC1,Foxc1
ESRP2,Esrp2
CLDN14,Cldn14
MRTO4,Mrto4
SCN9A,Scn9a
SMYD2,Smyd2
GLTP,Gltp
SEC14L2,Sec14l2
MKNK2,Mknk2
NATD1,Natd1
DAG1,Dag1
GTF2E1,Gtf2e1
TRIP13,Trip13
SLC12A1,Slc12a1
THRAP3,Thrap3
SHB,Shb
PNN,Pnn
PRCC,Prcc
TUFM,Tufm
AFDN,Afdn
DYNC2H1,Dync2h1
CDX2,Cdx2
FGF6,Fgf6
DDX17,Ddx17
POGZ,Pogz
FAM131A,Fam131a
TBX4,Tbx4
LZTS3,Lzts3
SMG5,Smg5
GPD2,Gpd2
TTC17,Ttc17
STMN4,Stmn4
FUBP3,Fubp3
FBXL12,Fbxl12
CLDN10,Cldn10
RAB23,Rab23
GFRA1,Gfra1
ENTPD4,Entpd4
PRR12,Prr12
USP25,Usp25
SPRED1,Spred1
MIF4GD,Mif4gd
PTPRS,Ptprs
CEBPE,Cebpe
MARK3,Mark3
TNRC6A,Tnrc6a
POU6F2,Pou6f2
TBL1Y,Tbl1x
AKR1A1,Akr1a1
MIDN,Midn
OR51E1,Or51e1
PEX14,Pex14
PPIG,Ppig
CHRNA7,Chrna7
ABI2,Abi2
TNR,Tnr
WAPL,Wapl
CLINT1,Clint1
CNGA4,Cnga4
AUTS2,Auts2
CACYBP,Cacybp
MYL1,Myl1
SLC12A9,Slc12a9
ABHD12,Abhd12
MIR505,Mir505
DAPP1,Dapp1
PDZD4,Pdzd4
TFAP2E,Tfap2e
SLC38A1,Slc38a1
SNTB1,Sntb1
PRICKLE1,Prickle1
SMIM32,Smim32
KCNE3,Kcne3
BLVRB,Blvrb
SORL1,Sorl1
ERFL,Erfl
PLK3,Plk3
CAMKV,Camkv
KLHL8,Klhl8
QDPR,Qdpr
DNAJA4,Dnaja4
PCDHAC2,Pcdhac2
ISM1,Ism1
BLMH,Blmh
SMOC1,Smoc1
R3HDM2,R3hdm2
SEL1L,Sel1l
MAP2K7,Map2k7
TMSB4Y,Tmsb4x
DGCR2,Dgcr2
DENND2B,Dennd2b
NRP1,Nrp1
C3orf70,2510009E07Rik
BMP5,Bmp5
FAM43B,Fam43b
OTUD7A,Otud7a
WT1,Wt1
OGDHL,Ogdhl
TBC1D20,Tbc1d20
EMC1,Emc1
MLLT10,Mllt10
PHKG1,Phkg1
UGT8,Ugt8a
CYBB,Cybb
DNAL1,Dnal1
ARB2A,Arb2a
MIP,Mip
MTHFD1,Mthfd1
SLC6A6,Slc6a6
RWDD2A,Rwdd2a
THAP1,Thap1
FSD1,Fsd1
NABP2,Nabp2
EIPR1,Eipr1
ARHGEF3,Arhgef3
ATP6V0D2,Atp6v0d2
ERN1,Ern1
TENT5A,Tent5a
EIF2A,Eif2a
PSMB1,Psmb1
NRIP3,Nrip3
EDRF1,Edrf1
LATS1,Lats1
VAV1,Vav1
LRRC1,Lrrc1
GADD45B,Gadd45b
FXYD6,Fxyd6
UNC45A,Unc45a
PCDHGC5,Pcdhgc5
KANSL3,Kansl3
MKNK1,Mknk1
ACAP1,Acap1
GATA4,Gata4
TRPV3,Trpv3
GET1,Get1
LIMK2,Limk2
ERP44,Erp44
SCRT1,Scrt1
C1QTNF3,C1qtnf3
SHANK3,Shank3
DHX33,Dhx33
SGSM2,Sgsm2
MFSD11,Mfsd11
ACER2,Acer2
CLTA,Clta
ATG14,Atg14
GATAD1,Gatad1
MCM3,Mcm3
ZNF608,Zfp608
PAQR9,Paqr9
TEAD2,Tead2
FBLN5,Fbln5
HOXD4,Hoxd4
NTRK2,Ntrk2
BAMBI,Bambi
TOMM40,Tomm40
DDX25,Ddx25
IRX5,Irx5
AFF4,Aff4
DICER1,Dicer1
URM1,Urm1
KCNAB3,Kcnab3
S100A4,S100a4
PDIA3,Pdia3
CHEK1,Chek1
CABP5,Cabp5
PLEKHA8,Plekha8
PLSCR3,Plscr3
TSPAN6,Tspan6
SCYL2,Scyl2
HCN2,Hcn2
KCNJ13,Kcnj13
NAP1L4,Nap1l4
ADAMTS15,Adamts15
PEX11B,Pex11b
SULF1,Sulf1
TRAM1,Tram1
ADH5,Adh5
CACUL1,Cacul1
VPS13D,Vps13d
LMBRD1,Lmbrd1
PPAT,Ppat
AGTR1,Agtr1b
NUP205,Nup205
TWSG1,Twsg1
UBE2S,Ube2s
DCAF13,Dcaf13
ARFGEF3,Arfgef3
PGBD5,Pgbd5
TOMM70,Tomm70a
CCIN,Ccin
SYNDIG1,Syndig1
SLC25A20,Slc25a20
LPAR6,Lpar6
SNORA35B,Gm25107
SRP9,Srp9
PHC3,Phc3
FH,Fh1
KDM2B,Kdm2b
PLEKHH3,Plekhh3
GPT2,Gpt2
HNRNPA1,Hnrnpa1
FER,Fer
ATP8A2,Atp8a2
PRKD1,Prkd1
IQSEC1,Iqsec1
MIR135A2,Mir135a-2
TMEM43,Tmem43
PKDCC,Pkdcc
HOMER2,Homer2
RHOJ,Rhoj
ZNF639,Zfp639
CRLF3,Crlf3
SHKBP1,Shkbp1
DNAJC6,Dnajc6
ZNF462,Zfp462
MCMBP,Mcmbp
ELOVL5,Elovl5
LAMC1,Lamc1
ADGRA3,Adgra3
ALCAM,Alcam
ANKHD1,Ankhd1
ANGPTL1,Angptl1
MAP4K4,Map4k4
ANXA5,Anxa5
TLX2,Tlx2
PHF13,Phf13
LGR4,Lgr4
AKIRIN1,Akirin1
AEBP2,Aebp2
SUCLG2,Suclg2
DYSF,Dysf
ZMAT5,Zmat5
LPL,Lpl
RNF115,Rnf115
RCN2,Rcn2
RIC1,Ric1
AFG3L2,Afg3l2
DOCK10,Dock10
ZBTB43,Zbtb43
FBXO33,Fbxo33
SLC5A7,Slc5a7
MTSS2,Mtss2
ARC,Arc
UBXN1,Ubxn1
YKT6,Ykt6
SYT10,Syt10
TEK,Tek
SEMA3D,Sema3d
TEAD4,Tead4
GJB2,Gjb2
FMC1,Fmc1
FHIP1B,Fhip1b
MPP1,Mpp1
ACSL3,Acsl3
UROD,Urod
REEP2,Reep2
PSME3IP1,Psme3ip1
PARD6A,Pard6a
FNDC3B,Fndc3b
MAGEH1,Mageh1
PAK4,Pak4
GPR161,Gpr161
TCF15,Tcf15
NAA25,Naa25
ACVR1C,Acvr1c
SKIDA1,Skida1
IFT81,Ift81
NECTIN3,Nectin3
AMPD1,Ampd1
NPAS4,Npas4
KCNG1,Kcng1
FKBP14,Fkbp14
RHOF,Rhof
BORCS8,Borcs8
CHAD,Chad
GPR137B,Gpr137b
FOXO1,Foxo1
PHOSPHO1,Phospho1
EPHA2,Epha2
DPP3,Dpp3
THAP7,Thap7
ZNF436,Zfp46
BICC1,Bicc1
SMOX,Smox
FHIP2A,Fhip2a
BARHL2,Barhl2
FBXL17,Fbxl17
MIR148B,Mir148b
EPC1,Epc1
RPS6KB2,Rps6kb2
ATG16L1,Atg16l1
GCHFR,Gchfr
SMIM39,Smim39
SHISA3,Shisa3
TRIM67,Trim67
CLPTM1L,Clptm1l
TRIR,Trir
CAVIN1,Cavin1
TENT4A,Tent4a
OPCML,Opcml
DMXL2,Dmxl2
SNTA1,Snta1
PDK4,Pdk4
CDYL,Cdyl
MAP3K10,Map3k10
MIER3,Mier3
HM13,H13
GLIS2,Glis2
SPRY4,Spry4
SAE1,Sae1
CHST14,Chst14
TRABD,Trabd
ACKR3,Ackr3
TRAPPC3L,Trappc3l
KCNA6,Kcna6
UPK1A,Upk1a
MGAT3,Mgat3
OR51E2,Or51e2
GPAM,Gpam
APLP2,Aplp2
A1CF,A1cf
RIMS2,Rims2
CBL,Cbl
LTA4H,Lta4h
STX8,Stx8
RNF38,Rnf38
ZNF787,Zfp787
PSMD10,Psmd10
CRIP2,Crip2
HNRNPA0,Hnrnpa0
NPY,Npy
CLUH,Cluh
NUP35,Nup35
LAMB1,Lamb1
NOMO1,Nomo1
SLC37A4,Slc37a4
SLC25A16,Slc25a16
KDSR,Kdsr
CHMP6,Chmp6
TENT2,Tent2
MCM7,Mcm7
LOXL3,Loxl3
NR2F1,Nr2f1
PRR16,Prr16
FNBP1L,Fnbp1l
CLMP,Clmp
RNF146,Rnf146
HCRTR1,Hcrtr1
ANKRD40,Ankrd40
NACC2,Nacc2
CELF5,Celf5
TRIM71,Trim71
TRPS1,Trps1
FOXP4,Foxp4
ADIPOR2,Adipor2
DDIT4L,Ddit4l
NCOA5,Ncoa5
PPP1R10,Ppp1r10
DACH1,Dach1
KCNJ1,Kcnj1
XXYLT1,Xxylt1
RAB3GAP1,Rab3gap1
TESK1,Tesk1
TMEM132E,Tmem132e
ROBO2,Robo2
ZDHHC6,Zdhhc6
XPNPEP1,Xpnpep1
C11orf68,AI837181
LOXHD1,Loxhd1
EMSY,Emsy
ACSS2,Acss2
ATP9B,Atp9b
BTBD3,Btbd3
TUSC2,Tusc2
GABRP,Gabrp
AJUBA,Ajuba
NUP160,Nup160
TMX2,Tmx2
LRP12,Lrp12
PSEN1,Psen1
ARHGAP24,Arhgap24
NAB1,Nab1
RFX7,Rfx7
KRT85,Krt85
BMPER,Bmper
SNORA2B,Snora2b
TOLLIP,Tollip
SNORD94,Snord94
DNAJB12,Dnajb12
DCTD,Dctd
TMED10,Tmed10
TIPARP,Tiparp
TIE1,Tie1
DHRS11,Dhrs11
NARS1,Nars1
FZD10,Fzd10
TAF6L,Taf6l
SKOR1,Skor1
SFRP4,Sfrp4
ITGB1BP2,Itgb1bp2
RNF167,Rnf167
SLC7A8,Slc7a8
KATNA1,Katna1
RRAD,Rrad
CAPG,Capg
MIR128-1,Mir128-1
SPRING1,Spring1
RCN3,Rcn3
BRMS1,Brms1
EPS15L1,Eps15l1
LTBP3,Ltbp3
SNX21,Snx21
ESS2,Ess2
PADI2,Padi2
BTBD17,Btbd17
STX18,Stx18
TRIM37,Trim37
VTI1B,Vti1b
SRPX,Srpx
SH3YL1,Sh3yl1
ITSN2,Itsn2
PRRG1,Prrg1
SMO,Smo
SLC25A14,Slc25a14
OTC,Otc
TRIM9,Trim9
TLCD5,Tlcd5
LRRC55,Lrrc55
GPCPD1,Gpcpd1
PTBP3,Ptbp3
MIR504,Mir504
MIR193B,Mir193b
ABHD3,Abhd3
RNF157,Rnf157
MIR302C,Mir302c
NBDY,Nbdy
RCOR1,Rcor1
DLG2,Dlg2
KCNA3,Kcna3
MAPK12,Mapk12
NETO2,Neto2
PCDH18,Pcdh18
DCHS1,Dchs1
RASSF2,Rassf2
LYSET,Lyset
TNNI3,Tnni3
DCP2,Dcp2
TBX3,Tbx3
C7orf25,AW209491
WSB1,Wsb1
FOXJ1,Foxj1
SOX3,Sox3
TOMT,Tomt
RRP9,Rrp9
RALGPS2,Ralgps2
VPS54,Vps54
RUNX2,Runx2
TRNT1,Trnt1
ADD2,Add2
FAM81A,Fam81a
SMARCAD1,Smarcad1
NFATC4,Nfatc4
GIT2,Git2
CSGALNACT2,Csgalnact2
CDH4,Cdh4
DBP,Dbp
RAB11FIP4,Rab11fip4
APPL2,Appl2
YIPF5,Yipf5
OR6B1,Or6b1
JADE1,Jade1
KIN,Kin
SLC9A1,Slc9a1
FYTTD1,Fyttd1
FSD1L,Fsd1l
FNTA,Fnta
MEF2C,Mef2c
TBCA,Tbca
ABRACL,Abracl
WFIKKN2,Wfikkn2
PAK6,Pak6
EXOSC9,Exosc9
HGD,Hgd
HOOK1,Hook1
GLRX5,Glrx5
ABHD17A,Abhd17a
OR5AR1,Or5ar1
LRATD2,Lratd2
MIGA2,Miga2
DPP6,Dpp6
FLCN,Flcn
EN1,En1
EMC8,Emc8
USP20,Usp20
SLC9A6,Slc9a6
