gorilla gene name,rhesus_macaque gene name
MAP2K6,MAP2K6
RAG2,RAG2
MOV10,MOV10
DPP6,DPP6
EIF4A3,EIF4A3
STYX,STYX
ZNF70,ZNF70
PSMD9,PSMD9
RUNDC1,RUNDC1
HTR1B,HTR1B
PPP1R21,PPP1R21
HECTD2,HECTD2
SLC26A4,SLC26A4
FAM184A,FAM184A
ANKRD12,ANKRD12
FAM163A,FAM163A
FBXO9,FBXO9
KIF20A,KIF20A
RALGAPA1,RALGAPA1
RAB31,RAB31
EIF2B1,EIF2B1
CSMD1,CSMD1
EXOC1,EXOC1
SPART,SPART
ggo-mir-448,mml-mir-448
GSTA4,GSTA4
XK,XK
TTC9,TTC9
RNaseP_nuc,RNaseP_nuc
NEMP1,NEMP1
CYB561D2,CYB561D2
TMEM54,TMEM54
GATAD2A,GATAD2A
LRRFIP2,LRRFIP2
GABRA4,GABRA4
ADCK1,ADCK1
RSPO2,RSPO2
ENOSF1,ENOSF1
GCC1,GCC1
KIAA0232,KIAA0232
STEAP3,STEAP3
STOML2,STOML2
ZNF770,ZNF770
UFSP2,UFSP2
SANBR,SANBR
SLC17A4,SLC17A4
SELENOT,SELENOT
USP5,USP5
SYT5,SYT5
THSD7A,THSD7A
ZNF81,ZNF81
PRR7,PRR7
NSD1,NSD1
BCKDK,BCKDK
EXOSC3,EXOSC3
SCD5,SCD5
ggo-mir-181a-2,mml-mir-181a-2
ggo-mir-10b,mml-mir-10b
ggo-mir-205,mml-mir-205
NECAP1,NECAP1
AIP,AIP
PLCG2,PLCG2
SAP30,SAP30
CD28,CD28
PTPRT,PTPRT
PTGS2,PTGS2
PDE11A,PDE11A
HIPK2,HIPK2
PHC1,PHC1
RAP1GAP2,RAP1GAP2
URGCP,URGCP
PTPRR,PTPRR
MAP3K15,MAP3K15
SLC38A4,SLC38A4
CFAP97D1,CFAP97D1
E2F2,E2F2
AFF2,AFF2
SMG6,SMG6
SYPL2,SYPL2
DNER,DNER
IFT46,IFT46
GCM1,GCM1
TAF10,TAF10
SPINDOC,SPINDOC
CCN1,CCN1
CDC45,CDC45
OCIAD1,OCIAD1
FAM167B,FAM167B
FZD6,FZD6
SHPRH,SHPRH
TMEM253,TMEM253
MMS19,MMS19
FAM110D,FAM110D
TERF2,TERF2
TIE1,TIE1
SKIC2,SKIC2
PAM,PAM
ZNF197,ZNF197
NT5C2,NT5C2
ABCA4,ABCA4
UBOX5,UBOX5
DLGAP2,DLGAP2
CDK12,CDK12
LOXHD1,LOXHD1
ZC3H11A,ZC3H11A
GHRH,GHRH
CAV2,CAV2
S1PR3,S1PR3
SARDH,SARDH
NR1H4,NR1H4
CEP83,CEP83
PAX3,PAX3
CCNT2,CCNT2
NLE1,NLE1
TECTA,TBCEL
NPTX2,NPTX2
ARHGEF11,ARHGEF11
ARFGEF2,ARFGEF2
ETV3,ETV3
DLAT,DLAT
SIAH3,SIAH3
EYA2,EYA2
ENTPD4,ENTPD4
HAND1,HAND1
SCN2B,SCN2B
PLPP6,PLPP6
SH3PXD2A,SH3PXD2A
TRABD,TRABD
PARD6G,PARD6G
ACTBL2,ACTBL2
BRD8,BRD8
DTX3,DTX3
EHF,EHF
RBKS,RBKS
MYADM,MYADM
GANAB,GANAB
SYT3,SYT3
CRYZL1,CRYZL1
FBXW11,FBXW11
ZBTB24,ZBTB24
HCCS,HCCS
TSSK3,TSSK3
MTHFD2,MTHFD2
UNC13A,UNC13A
PHF14,PHF14
DDX5,DDX5
RASSF4,RASSF4
BOLA3,BOLA3
SERTM1,SERTM1
SOCS1,SOCS1
KLHL9,KLHL9
EI24,EI24
HTR2B,HTR2B
ZEB1,ZEB1
RAB3IP,RAB3IP
NUBP1,NUBP1
CIP2A,CIP2A
SOST,SOST
EGLN1,EGLN1
CHRNA9,CHRNA9
NAV2,NAV2
SLC18A3,SLC18A3
RASL12,RASL12
DKK1,DKK1
DCAF10,DCAF10
ACOT8,ACOT8
TBC1D15,TBC1D15
ITSN2,ITSN2
ZEB2,ZEB2
PLEKHA2,PLEKHA2
PGBD4,PGBD4
GRIN3A,GRIN3A
LNX2,LNX2
LRRC8E,LRRC8E
GRB7,GRB7
UBE2J1,UBE2J1
GLRX,GLRX
STARD13,STARD13
ELOVL6,ELOVL6
CDKN3,CDKN3
RDH5,RDH5
TCIM,TCIM
KIF2A,KIF2A
USH1C,USH1C
HUWE1,HUWE1
SCUBE3,SCUBE3
PPID,PPID
CA5B,CA5B
TNFSF11,TNFSF11
TP53BP2,TP53BP2
MFSD6,MFSD6
TAF11,TAF11
NTN3,NTN3
DHPS,DHPS
POR,POR
NOTCH3,NOTCH3
OTUD7B,OTUD7B
PREX1,PREX1
INSC,INSC
SGK1,SGK1
STN1,STN1
MAP4K5,MAP4K5
ZMYM4,ZMYM4
TRAK1,TRAK1
YTHDC1,YTHDC1
CTSA,CTSA
DAZL,DAZL
PGAP2,PGAP2
WDR83,WDR83
RTN4RL2,RTN4RL2
KCNA5,KCNA5
SCN4A,SCN4A
ORC2,ORC2
NRAP,NRAP
IFIT2,IFIT2
ITPR3,ITPR3
EDEM3,EDEM3
GRWD1,GRWD1
ARHGAP10,ARHGAP10
TXLNG,TXLNG
NRM,NRM
SLC39A11,SLC39A11
C15orf61,C7H15orf61
SYT10,SYT10
RAP2A,RAP2A
NCK2,NCK2
GABBR2,GABBR2
MXD4,MXD4
AUTS2,AUTS2
CD40LG,CD40LG
OSBPL3,OSBPL3
COLGALT2,COLGALT2
GRHL3,GRHL3
MATN1,MATN1
PDE4A,PDE4A
GBA3,GBA3
GADL1,GADL1
KIRREL1,KIRREL1
LACTBL1,LACTBL1
KIF1C,KIF1C
TIMM29,TIMM29
THEM6,THEM6
COQ6,COQ6
IFT52,IFT52
MAGI3,MAGI3
SRRM2,SRRM2
TCP11L2,TCP11L2
CLN6,CLN6
PCK1,PCK1
CCDC91,CCDC91
USE1,USE1
INTS12,INTS12
SNORD53B,SNORD53B
FAM120A,FAM120A
TIMP1,TIMP1
FBXL4,FBXL4
SPRYD4,SPRYD4
CLDN11,CLDN11
TRAF3,TRAF3
CCR10,CCR10
IL36RN,IL36RN
PPP1R17,PPP1R17
SLC16A3,SLC16A3
ABHD2,ABHD2
DLL1,DLL1
ABCC9,ABCC9
GATA1,GATA1
TRERF1,TRERF1
TNRC6A,TNRC6A
VPS41,VPS41
PDIA4,PDIA4
ISM1,ISM1
PEF1,PEF1
SPATA6,SPATA6
GAL3ST3,GAL3ST3
ETFDH,ETFDH
BIRC2,BIRC2
SNAPC3,SNAPC3
SLC7A6,SLC7A6
EBPL,EBPL
GABRG2,GABRG2
KIF5C,KIF5C
GCDH,GCDH
FOLR1,FOLR1
PDK4,PDK4
TBRG1,TBRG1
KIAA0513,KIAA0513
ZBTB11,ZBTB11
SPMAP1,SPMAP1
TMEM35B,TMEM35B
EPGN,EPGN
ERRFI1,ERRFI1
SEMA4F,SEMA4F
CAPN3,CAPN3
COL14A1,COL14A1
PEX12,PEX12
GUCY1B1,GUCY1B1
NIPAL1,NIPAL1
TDG,TDG
GPR155,GPR155
ODC1,ODC1
ALDH1A3,ALDH1A3
LANCL1,LANCL1
ANKRD55,ANKRD55
TGM1,TGM1
ABRAXAS1,ABRAXAS1
CNGA2,CNGA2
MYRF,MYRF
G6PC1,G6PC1
PGM2,PGM2
MIR496,mml-mir-496
MRPL57,MRPL57
PRIMA1,PRIMA1
DMGDH,DMGDH
UBN2,UBN2
MIPEP,MIPEP
SDAD1,SDAD1
PODN,PODN
AKAP10,AKAP10
NFX1,NFX1
OCRL,OCRL
IKZF3,IKZF3
RHBG,RHBG
PPARGC1A,PPARGC1A
OTULINL,OTULINL
FNBP4,FNBP4
MAN2A1,MAN2A1
MARVELD2,MARVELD2
PHACTR3,PHACTR3
PRRC2A,PRRC2A
DPCD,DPCD
HERPUD2,HERPUD2
MRGBP,MRGBP
WDR44,WDR44
GSX2,GSX2
PRR16,PRR16
PIGT,PIGT
TTC21B,TTC21B
NCOA5,NCOA5
ZNF157,ZNF157
BIN3,BIN3
NPHP3,NPHP3
LONP1,LONP1
S100A3,S100A3
RNF144B,RNF144B
Vault,Vault
MYO6,MYO6
KCNH1,KCNH1
FLVCR1,FLVCR1
PIGS,PIGS
TMEM51,TMEM51
ADD3,ADD3
SLC6A9,SLC6A9
BRIX1,BRIX1
ZFYVE21,ZFYVE21
PEX13,PEX13
CHST3,CHST3
NR1H3,NR1H3
LECT2,LECT2
PEA15,PEA15
PDGFRB,PDGFRB
VGLL3,VGLL3
ITGA2,ITGA2
TNFSF15,TNFSF15
MCTP2,MCTP2
TRIM54,TRIM54
MAML2,MAML2
SLC37A4,SLC37A4
TMED8,TMED8
ZBTB20,ZBTB20
ATG4A,ATG4A
MAK16,MAK16
MIR450A,mml-mir-450a-2
LTC4S,LTC4S
COL28A1,COL28A1
TLR7,TLR7
HOXA2,HOXA2
INTS9,INTS9
ZNF382,ZNF382
MBTPS1,MBTPS1
P2RX1,P2RX1
LIPA,LIPA
POLA2,POLA2
WDR19,WDR19
EML5,EML5
C13orf42,C17H13orf42
MYOG,MYOG
BLTP1,BLTP1
STOML1,STOML1
RAPGEF4,RAPGEF4
ZSCAN16,ZSCAN16
PIEZO2,PIEZO2
TKTL1,TKTL1
ADCY9,ADCY9
CASQ1,CASQ1
SLC19A2,SLC19A2
IAH1,IAH1
TES,TES
SMIM14,SMIM14
SNORD16,SNORD16
INKA2,INKA2
FAM219B,FAM219B
ggo-mir-146a,mml-mir-146a
PIGC,PIGC
ARGLU1,ARGLU1
SLC39A3,DIRAS1
SLITRK6,SLITRK6
CYP2U1,CYP2U1
WFS1,WFS1
NEK2,NEK2
CALCRL,CALCRL
EFNB1,EFNB1
FHIP1B,FHIP1B
NCKAP5L,NCKAP5L
ATAD2,ATAD2
LARP1B,LARP1B
NHLRC1,NHLRC1
TNFAIP3,TNFAIP3
ECRG4,ECRG4
CAMLG,CAMLG
CRYAA,CRYAA
CAPN9,CAPN9
ADARB2,ADARB2
TOPBP1,TOPBP1
PHAX,PHAX
AGBL5,AGBL5
UBLCP1,UBLCP1
COG2,COG2
ZCCHC9,ZCCHC9
MACO1,MACO1
STIP1,STIP1
LRRK1,LRRK1
AZI2,AZI2
GNG11,GNG11
SLC17A8,SLC17A8
USP1,USP1
SNAPC1,SNAPC1
TTC39A,TTC39A
CLRN1,CLRN1
S100A2,S100A2
ACSS3,ACSS3
STX19,STX19
ADAMTS5,ADAMTS5
RGR,RGR
SIDT1,SIDT1
ALAS2,ALAS2
SYNJ1,SYNJ1
BICRAL,BICRAL
SNX15,SNX15
ADAMTS18,ADAMTS18
YIF1A,YIF1A
TBC1D7,TBC1D7
PTPN12,PTPN12
NRSN1,NRSN1
LPIN1,LPIN1
ALDH6A1,ALDH6A1
QNG1,QNG1
MFAP3,MFAP3
GSE1,GSE1
ASCC2,ASCC2
GSTCD,GSTCD
DTL,DTL
GAS2L1,GAS2L1
CTBP1,CTBP1
ICAM5,ICAM5
OXTR,OXTR
DAPK1,DAPK1
LMOD3,LMOD3
SPECC1,SPECC1
IFT57,IFT57
IGFBP3,IGFBP3
ASGR1,ASGR1
TMEM38B,TMEM38B
AGBL3,AGBL3
ANP32E,ANP32E
LCP2,LCP2
SNORD5,SNORD5
PLEKHM2,PLEKHM2
SP9,SP9
PHKA1,PHKA1
ATP7A,ATP7A
FMO1,FMO1
VAX2,VAX2
PARP1,PARP1
PTK2,PTK2
TP53INP1,TP53INP1
ZBTB4,ZBTB4
KCNN3,KCNN3
SNX6,SNX6
SUV39H2,SUV39H2
USP47,USP47
ZNF335,ZNF335
VIRMA,VIRMA
TMEM19,TMEM19
DLX4,DLX4
SHCBP1,SHCBP1
MORN3,MORN3
NID1,NID1
TBC1D16,TBC1D16
TLL1,TLL1
UTP15,UTP15
PGM2L1,PGM2L1
SERBP1,SERBP1
DPP4,DPP4
ZYX,ZYX
SPDEF,SPDEF
C1QL2,C1QL2
NCF2,NCF2
KMT2A,KMT2A
HPS3,HPS3
COL13A1,COL13A1
C6orf120,C4H6orf120
ST18,ST18
APPL2,APPL2
HSP90B1,HSP90B1
SCIN,SCIN
GPC5,GPC5
SLC2A12,SLC2A12
LPCAT4,LPCAT4
SYNDIG1L,SYNDIG1L
PCDH20,PCDH20
ARHGAP19,ARHGAP19
ST3GAL4,ST3GAL4
TMEM132A,TMEM132A
ATP6V0A2,ATP6V0A2
CDH5,CDH5
ACE,ACE
VPS37B,VPS37B
PLPP1,PLPP1
C2orf88,C12H2orf88
METTL23,METTL23
EAPP,EAPP
ZBTB39,ZBTB39
CALHM5,CALHM5
IBTK,IBTK
ENTPD1,ENTPD1
KCNN4,KCNN4
CGRRF1,CGRRF1
LDHAL6A,LDHAL6A
DSE,DSE
GSS,GSS
PCSK1N,PCSK1N
RUSC2,RUSC2
INTS10,INTS10
DNAH8,DNAH8
THAP11,THAP11
TLE1,TLE1
NEUROD4,NEUROD4
TMEM205,TMEM205
TANK,TANK
HCRTR1,HCRTR1
NUP133,NUP133
EID2,EID2
VPS51,VPS51
USP10,USP10
GFI1B,GFI1B
C1QTNF2,C1QTNF2
SCARNA10,SCARNA10
GRM7,GRM7
PTGES2,PTGES2
ADGRG6,ADGRG6
BMP10,BMP10
FBXO5,FBXO5
MOSPD2,MOSPD2
ARID3B,ARID3B
CAPSL,CAPSL
FSTL5,FSTL5
BCL11B,BCL11B
DAG1,DAG1
HOXB1,HOXB1
SLF1,SLF1
HCN3,HCN3
ACBD6,ACBD6
EXOSC5,EXOSC5
TRABD2B,TRABD2B
MIR432,mml-mir-432
MIR802,mml-mir-802
LIPM,LIPM
GATM,GATM
JOSD2,JOSD2
EBF4,EBF4
BMP2K,BMP2K
NSUN6,NSUN6
KRT7,KRT7
GYS2,GYS2
P2RY6,P2RY6
KIF13B,KIF13B
GPR137B,GPR137B
NOL7,NOL7
RUSF1,RUSF1
RFESD,RFESD
F2RL2,F2RL2
CYP24A1,CYP24A1
DNAH6,DNAH6
COL25A1,COL25A1
COQ5,COQ5
CCDC174,CCDC174
SRRM1,SRRM1
FASLG,FASLG
NEXMIF,NEXMIF
NFE2,NFE2
NELFA,NELFA
MKNK1,MKNK1
PTPN23,PTPN23
GNPTAB,GNPTAB
CUL3,CUL3
POLDIP2,POLDIP2
RBFOX3,RBFOX3
MIEF2,MIEF2
SNORD83B,SNORD83B
STK17B,STK17B
KYNU,KYNU
CCN2,CCN2
GAPVD1,GAPVD1
SSTR3,SSTR3
RASSF5,RASSF5
GLG1,GLG1
SLC13A4,SLC13A4
GLP1R,GLP1R
HS6ST2,HS6ST2
NKX2-5,NKX2-5
ZNF202,ZNF202
P4HB,P4HB
VEPH1,VEPH1
SLC16A9,SLC16A9
DNAH7,DNAH7
SFXN3,SFXN3
ZFHX3,ZFHX3
KREMEN2,KREMEN2
NUDT12,NUDT12
SNCAIP,SNCAIP
CCNB1IP1,CCNB1IP1
TMEM53,TMEM53
XRN1,XRN1
HNRNPH3,HNRNPH3
CPS1,CPS1
SLC45A3,SLC45A3
ZNF385B,ZNF385B
PPP1R37,PPP1R37
COL9A1,COL9A1
ADRB2,ADRB2
PRTG,PRTG
ARFGAP1,ARFGAP1
CRHBP,CRHBP
WWOX,WWOX
HOXA7,HOXA7
NMD3,NMD3
SLC5A5,SLC5A5
FICD,FICD
KRT27,KRT27
EHD3,EHD3
GOT1,GOT1
CALD1,CALD1
MORC3,MORC3
SEMA6C,SEMA6C
RNF113A,RNF113A
CHRNB3,CHRNB3
ATP1B2,ATP1B2
SLC12A3,SLC12A3
TDRD7,TDRD7
EPB41L4A,EPB41L4A
CYP19A1,CYP19A1
TESK2,TESK2
GLMN,GLMN
GNL2,GNL2
PPP2R5B,PPP2R5B
SNORD94,SNORD94
MAU2,MAU2
ZMYND12,ZMYND12
C21orf91,C3H21orf91
EFR3A,EFR3A
CHN2,CHN2
ZNF583,ZNF583
LUC7L2,LUC7L2
ABCA12,ABCA12
GDF6,GDF6
ADPRS,ADPRS
MIR449A,mml-mir-449a
SH2B3,SH2B3
CACNA2D4,CACNA2D4
ERCC6L,ERCC6L
SLC6A20,SLC6A20
LIPG,LIPG
SUOX,SUOX
KCNV2,KCNV2
UNC13D,UNC13D
KYAT3,KYAT3
MCMDC2,MCMDC2
NHSL2,NHSL2
RFXAP,RFXAP
RANBP17,RANBP17
NEUROG2,NEUROG2
EIF2A,EIF2A
CRAMP1,CRAMP1
TIMM44,TIMM44
TGFBR3,TGFBR3
IKZF1,IKZF1
POC1A,POC1A
GORASP2,GORASP2
ATP6V1E2,ATP6V1E2
TMEM204,TMEM204
BCL11A,BCL11A
GAB3,GAB3
OR52A5,OR52A5
ST6GAL1,ST6GAL1
PEAR1,PEAR1
PTK2B,PTK2B
KCNQ1,KCNQ1
NSUN2,NSUN2
AGL,AGL
RHBDF2,RHBDF2
KRT25,KRT25
SCARNA18B,SCARNA18B
SNORA55,SNORA55
FRA10AC1,FRA10AC1
SAG,SAG
SLC35E2B,SLC35E2
PSPH,PSPH
LRRC15,LRRC15
CTTNBP2,CTTNBP2
CHRNG,CHRNG
ACTN3,ACTN3
HEXIM1,HEXIM1
DCN,DCN
NTN4,NTN4
ARFGEF3,ARFGEF3
MYOCD,MYOCD
WSCD2,WSCD2
GOLM2,GOLM2
ADI1,ADI1
SLC9B2,SLC9B2
UGP2,UGP2
STRN4,STRN4
NAE1,NAE1
SKP2,SKP2
STAC,STAC
CDCA3,CDCA3
ZNF558,ZNF558
SNORA5A,SNORA5A
EFNB2,EFNB2
TMOD2,TMOD2
ICA1,ICA1
CENPB,CENPB
CASKIN2,CASKIN2
IAPP,IAPP
OTOS,OTOS
CPXM2,CPXM2
PDGFRA,PDGFRA
SIM2,SIM2
PHF24,PHF24
ATP1B4,ATP1B4
GALNT6,GALNT6
CACNG1,CACNG1
YES1,YES1
TTC27,TTC27
ALOXE3,ALOXE3
PAPSS1,PAPSS1
LRRC36,LRRC36
ENO3,ENO3
LRBA,LRBA
TMEM60,TMEM60
SNORA13,SNORA13
SMARCA4,SMARCA4
GUCY2F,GUCY2F
SHISA6,SHISA6
PTDSS2,PTDSS2
UTP6,UTP6
IFT122,IFT122
LOXL1,LOXL1
KDF1,KDF1
SLC7A3,SLC7A3
RP9,RP9
ANKFN1,ANKFN1
LRRC32,LRRC32
DHX29,DHX29
PSMD5,PSMD5
INTS1,INTS1
PLXDC2,PLXDC2
GYG1,GYG1
SNIP1,SNIP1
ARC,ARC
FABP4,FABP4
SQSTM1,SQSTM1
HTR6,HTR6
SNORA63,SNORA63
MPV17,MPV17
LBR,LBR
CHST6,CHST6
IPO11,IPO11
MOAP1,MOAP1
CLSTN3,CLSTN3
CEP135,CEP135
DEF8,DEF8
DGKZ,DGKZ
ALG3,ALG3
CIDEB,CIDEB
RHBDL1,RHBDL1
ADGRB2,ADGRB2
SNORA41,SNORA41
SNU13,SNU13
MUSK,MUSK
CLEC2L,CLEC2L
C15orf62,C7H15orf62
PMPCA,PMPCA
TRIM10,TRIM10
LMOD2,LMOD2
SLC5A10,SLC5A10
ZNF200,ZNF200
ANKRD27,ANKRD27
PROKR1,PROKR1
SOS2,SOS2
GPD1,GPD1
RAB42,RAB42
EGR4,EGR4
MFN1,MFN1
ST6GALNAC3,ST6GALNAC3
ZNF12,ZNF12
SMCR8,SMCR8
CHM,CHM
ITPR1,ITPR1
DDX21,KIFBP
PNPO,PNPO
STX7,STX7
PTPN1,PTPN1
PNPT1,PNPT1
TCEA3,TCEA3
TSEN15,TSEN15
SLC16A1,SLC16A1
FSHR,FSHR
ZNF609,ZNF609
PLCH1,PLCH1
PUF60,PUF60
HOXB7,HOXB7
CACTIN,CACTIN
PAQR7,PAQR7
COASY,COASY
COL16A1,COL16A1
IRF8,IRF8
DCAF17,DCAF17
DOCK11,DOCK11
E2F5,E2F5
LRP10,LRP10
IPO4,IPO4
SOS1,SOS1
LTB4R2,LTB4R2
FGF19,FGF19
HADHB,HADHB
PLAT,PLAT
YLPM1,YLPM1
KCNC1,KCNC1
EPB41L5,EPB41L5
POFUT1,POFUT1
IGSF11,IGSF11
ELK4,ELK4
QRFPR,QRFPR
PRSS56,PRSS56
LDB3,LDB3
SNORD127,SNORD127
CHAF1B,CHAF1B
MIR188,mml-mir-188
SNORD35A,SNORD35A
MIR125A,mml-mir-125a
SNORA56,SNORA56
SNORD71,SNORD71
LIM2,LIM2
LRRC71,LRRC71
RBP3,RBP3
GREB1L,GREB1L
TNNT2,TNNT2
A1CF,A1CF
P3H2,P3H2
ZNF250,ZNF250
CCSER1,CCSER1
SLC25A35,SLC25A35
BARX2,BARX2
CBX4,CBX4
METTL4,METTL4
PCCA,PCCA
TSC22D1,TSC22D1
ZNF618,ZNF618
OSTC,OSTC
SCAND3,SCAND3
EPN2,EPN2
IFT70A,IFT70A
CAPZA3,CAPZA3
TMEM63A,TMEM63A
OBI1,OBI1
FIGN,FIGN
ACACB,ACACB
DDX39A,DDX39A
PRDX3,PRDX3
HDAC7,HDAC7
CD2BP2,CD2BP2
EPG5,EPG5
TRIM7,TRIM7
ENTPD3,ENTPD3
TSPAN31,TSPAN31
MCOLN3,MCOLN3
NDNF,NDNF
ZNF576,ZNF576
SMIM35,SMIM35
POLR1A,POLR1A
ELP2,ELP2
COL6A2,COL6A2
MICU3,MICU3
ATP8B4,ATP8B4
BBS2,BBS2
PPIC,PPIC
CHST8,CHST8
MAPK9,MAPK9
SENP8,SENP8
VPS54,VPS54
SETD2,SETD2
IGBP1,IGBP1
THSD4,THSD4
PTH1R,PTH1R
RPL7L1,RPL7L1
ERBIN,ERBIN
SNORA40,SNORA40
PKN3,PKN3
PTH2R,PTH2R
MPI,MPI
HEATR5A,HEATR5A
PACRG,PACRG
SLC7A5,SLC7A5
MDH2,MDH2
RXYLT1,RXYLT1
WNK3,WNK3
CWC22,CWC22
CTTNBP2NL,CTTNBP2NL
CLDN7,CLDN7
SLC4A4,SLC4A4
FERMT2,FERMT2
TP53RK,TP53RK
WFIKKN1,WFIKKN1
KRT222,KRT222
LRP2,LRP2
CRY2,CRY2
RRH,RRH
MTMR3,MTMR3
LACTB,LACTB
PPP3CA,PPP3CA
ATP2C1,ATP2C1
ZNF445,ZNF445
SREBF1,SREBF1
CUL9,CUL9
DMBX1,DMBX1
MIR489,mml-mir-489
LRRC38,LRRC38
SNORD33,SNORD33
ggo-mir-25,mml-mir-25
MANEA,MANEA
TTC7A,TTC7A
CNTN6,CNTN6
NBAS,NBAS
GPR151,GPR151
DHRS13,DHRS13
TBC1D4,TBC1D4
TIAM2,TIAM2
PAMR1,PAMR1
KDM4B,KDM4B
DIAPH3,DIAPH3
CYB561D1,CYB561D1
TEKT1,TEKT1
TM7SF2,TM7SF2
HSPBP1,HSPBP1
RFTN2,RFTN2
PPT2,EGFL8
HMCN1,HMCN1
TEX2,TEX2
EIF2D,EIF2D
AQP3,AQP3
MYO1D,MYO1D
GDF5,GDF5
SCARNA22,SCARNA22
MAP1LC3A,MAP1LC3A
CDH22,CDH22
ERCC4,ERCC4
RFT1,RFT1
DIP2B,DIP2B
TCEANC2,TCEANC2
FGF6,FGF6
TRAF1,TRAF1
VEGFD,VEGFD
PLD1,PLD1
PDCD11,PDCD11
BTBD19,BTBD19
PCDH12,PCDH12
CPO,CPO
CCDC149,CCDC149
KRT73,KRT73
TNC,TNC
MAP2,MAP2
NELFCD,NELFCD
MYL2,MYL2
SEMA7A,SEMA7A
ZFP36,ZFP36
KPNA5,KPNA5
PRC1,PRC1
SEZ6,SEZ6
FGFR1,FGFR1
MADD,MADD
TRIM45,TRIM45
BNC1,BNC1
LIG4,LIG4
ZMYM6,ZMYM6
TM2D1,TM2D1
CCDC88C,CCDC88C
RDH8,RDH8
VIL1,VIL1
GPT,GPT
FAM133A,FAM133A
PRCP,PRCP
ZNF410,ZNF410
GOLIM4,GOLIM4
RSBN1L,RSBN1L
AXIN1,AXIN1
ATPAF2,ATPAF2
ODR4,ODR4
WDR5B,WDR5B
TBXT,TBXT
PRPF4,PRPF4
SLC15A4,SLC15A4
DNAJC21,DNAJC21
MEX3B,MEX3B
MET,MET
DISP1,DISP1
ERF,ERF
ANKRD34C,ANKRD34C
SLC22A3,SLC22A3
MARS1,MARS1
CNNM1,CNNM1
SRRM4,SRRM4
LAMA4,LAMA4
HAL,HAL
DEDD2,DEDD2
MCM4,MCM4
WNT2B,WNT2B
LTA,LTA
VPREB3,VPREB3
FUT11,FUT11
EFNA1,EFNA1
GNRHR,GNRHR
CD83,CD83
MIR185,mml-mir-185
LSM10,LSM10
IER3IP1,IER3IP1
KCTD2,KCTD2
EGFR,EGFR
HOXB13,HOXB13
CDHR1,CDHR1
GRIN2D,GRIN2D
MOXD1,MOXD1
ALKBH3,ALKBH3
LRRC47,LRRC47
PNMA8C,PNMA8C
SNORA73,SNORA73
PTPRN,PTPRN
MYBL1,MYBL1
BTK,BTK
NVL,NVL
DPH2,DPH2
MTMR10,MTMR10
ITPRIP,ITPRIP
PRSS12,PRSS12
MKKS,MKKS
NCOA6,NCOA6
TMEM132D,TMEM132D
ST6GAL2,ST6GAL2
KLHL3,KLHL3
DCST2,DCST2
ABI3,ABI3
CPXM1,CPXM1
ATXN1,ATXN1
SLC25A29,SLC25A29
SLC16A13,SLC16A13
RTKN2,RTKN2
LPCAT3,LPCAT3
ANXA10,ANXA10
MIR16-2,mml-mir-16-2
SYF2,SYF2
ABCD3,ABCD3
SEC24A,SEC24A
MGAT1,MGAT1
PNMA2,PNMA2
FBXW5,FBXW5
SLC66A3,SLC66A3
RAPGEF2,RAPGEF2
CXXC5,CXXC5
PRPF31,PRPF31
DEGS2,DEGS2
CDKL5,CDKL5
C2CD2L,C2CD2L
ATP8B1,ATP8B1
ZNF697,ZNF697
FAM241B,FAM241B
WBP11,WBP11
GRIP1,GRIP1
SLC2A2,SLC2A2
RTN4RL1,RTN4RL1
GBA2,GBA2
TRMT2A,TRMT2A
WDHD1,WDHD1
IRS1,IRS1
NFE2L2,NFE2L2
GTPBP3,GTPBP3
NOL10,NOL10
ALDH4A1,ALDH4A1
SF3A3,SF3A3
ZNF322,ZNF322
RAI14,RAI14
IFIT5,IFIT5
PDCL2,PDCL2
ABCC4,ABCC4
KBTBD4,KBTBD4
NUP210,NUP210
ZNF460,ZNF460
MFNG,MFNG
TOR2A,TOR2A
TMUB2,TMUB2
MTMR4,MTMR4
SLC1A5,SLC1A5
DNASE2B,DNASE2B
AFF3,AFF3
PGAP1,PGAP1
CYP11A1,CYP11A1
PRPF19,PRPF19
FRMPD3,FRMPD3
TOP3A,TOP3A
EXD2,EXD2
SCML2,SCML2
BCL2,BCL2
MIDEAS,MIDEAS
SLC25A19,SLC25A19
ZMYND10,ZMYND10
ggo-mir-100,mml-mir-100
GPR15,GPR15
ggo-mir-93,mml-mir-93
UMPS,UMPS
AP5S1,AP5S1
SPATA2,SPATA2
COL6A3,COL6A3
QKI,QKI
MAPK6,MAPK6
DDX59,DDX59
LRIG3,LRIG3
SARAF,SARAF
SUPT5H,SUPT5H
ORAI2,ORAI2
GGCX,GGCX
SNTB1,SNTB1
KLF8,KLF8
ZNF507,ZNF507
NUBPL,NUBPL
SLK,SLK
DNAH1,DNAH1
PHKG1,PHKG1
NMNAT1,NMNAT1
AXIN2,AXIN2
MRTO4,MRTO4
ANKAR,ANKAR
IPCEF1,IPCEF1
TNFSF18,TNFSF18
LIPN,LIPN
PCDHB3,PCDHB3
HPGDS,HPGDS
CCNB2,CCNB2
CRADD,CRADD
DNAJC5B,DNAJC5B
KLHL5,KLHL5
TBCCD1,TBCCD1
PTGER2,PTGER2
SEPTIN12,SEPTIN12
IKBKE,IKBKE
IFT81,IFT81
KCNH6,KCNH6
RDH11,RDH11
TMEM88,TMEM88
