rhesus_macaque gene name,human gene name
ACVRL1,ACVRL1
CACNA2D2,CACNA2D2
FOXN2,FOXN2
SP7,SP7
DIPK1B,DIPK1B
QRFPR,QRFPR
SNTB1,SNTB1
CPNE5,CPNE5
NRBF2,NRBF2
NT5E,NT5E
RAB3GAP2,RAB3GAP2
SLC4A7,SLC4A7
ATP9B,ATP9B
SCN2B,SCN2B
GOT2,GOT2
HAND1,HAND1
MPZL2,MPZL2
AKAP8L,AKAP8L
DNAJC18,DNAJC18
GPR87,GPR87
DCTN4,DCTN4
LRP12,LRP12
PDHX,PDHX
SLC30A4,SLC30A4
ZYX,ZYX
ZNF384,ZNF384
NPTXR,NPTXR
KTN1,KTN1
RPL10L,RPL10L
ATP6V0A2,ATP6V0A2
KCNK5,KCNK5
PKMYT1,PKMYT1
NEURL2,NEURL2
MIOX,MIOX
STOX2,STOX2
HSPA1L,HSPA1L
ZBTB47,ZBTB47
ADAMTS8,ADAMTS8
MYO1F,MYO1F
CAVIN1,CAVIN1
RAD9A,RAD9A
NRP1,NRP1
mml-mir-30a,MIR30A
TRMT6,TRMT6
SNORD49A,SNORD49A
SNORD56,SNORD56
mml-mir-208a,MIR208A
TRAF3,TRAF3
mml-mir-199a-2,MIR199A1
EBAG9,EBAG9
SNORD65C,SNORD65C
LLGL1,LLGL1
SNORA53,SNORA53
TCAIM,TCAIM
ZMIZ2,ZMIZ2
BAZ1A,BAZ1A
FKRP,FKRP
ZBTB8B,ZBTB8B
NME5,NME5
SPATA2L,SPATA2L
MTA2,MTA2
PLEK2,PLEK2
TAOK2,TAOK2
S1PR2,S1PR2
LYPD1,LYPD1
C1D,C1D
VTCN1,VTCN1
ACP2,ACP2
COL4A5,COL4A5
NECAB1,NECAB1
CEP120,CEP120
SPRING1,SPRING1
FIBIN,FIBIN
SDF2,SDF2
RPL13,RPL13
FGF20,FGF20
NABP2,NABP2
HOXC12,HOXC12
USP20,USP20
ZBTB38,ZBTB38
CADPS2,CADPS2
LBX1,LBX1
NRXN1,NRXN1
SPTLC2,SPTLC2
TDRKH,TDRKH
CHST15,CHST15
SIKE1,SIKE1
SDK2,SDK2
DACT3,DACT3
SNORD123,SNORD123
ST3GAL2,ST3GAL2
SNORD104,SNORD104
PLD3,PLD3
SNORD50B,SNORD50B
COG7,COG7
CBX4,CBX4
PTRHD1,PTRHD1
SLC6A4,SLC6A4
POP7,POP7
SETD3,SETD3
NSD2,NSD2
SLC7A1,SLC7A1
BCS1L,BCS1L
FAM200C,FAM200C
GALR1,GALR1
FRMPD3,FRMPD3
TCEAL9,TCEAL9
SATB2,SATB2
ZHX2,ZHX2
FERMT2,FERMT2
LRP1B,LRP1B
MXD4,MXD4
NTSR1,NTSR1
METTL5,METTL5
STRADB,STRADB
HMX1,HMX1
KCNQ4,KCNQ4
CNIH4,CNIH4
SCAF4,SCAF4
SIPA1,SIPA1
ZZZ3,ZZZ3
NKAP,NKAP
IPMK,IPMK
KRT31,KRT31
ZFAND6,ZFAND6
TMEM222,TMEM222
MKRN2,MKRN2
CTNND2,CTNND2
PIK3R2,PIK3R2
NKX6-2,NKX6-2
CCNB1IP1,CCNB1IP1
GABRA4,GABRA4
COLEC10,COLEC10
REPS2,REPS2
PRPH2,PRPH2
SUCLG1,SUCLG1
SFRP4,SFRP4
ZNF420,ZNF420
LARS1,LARS1
YTHDC1,YTHDC1
ANGPTL7,ANGPTL7
ELFN1,ELFN1
SNORD38B,SNORD38B
mml-mir-20b,MIR20B
METTL1,METTL1
CHST12,CHST12
GIGYF1,GIGYF1
SP3,SP3
CSMD2,CSMD2
CSE1L,CSE1L
FAM193A,FAM193A
CLASP2,CLASP2
FRMD4B,FRMD4B
PRR7,PRR7
NCOA6,NCOA6
ZNF668,ZNF668
ABCC8,ABCC8
NRIP3,NRIP3
AOC2,AOC2
GLI3,GLI3
BLVRB,BLVRB
MXD3,MXD3
MPV17L2,MPV17L2
FGF4,FGF4
MSC,MSC
PRKCA,PRKCA
ABCA2,ABCA2
CSMD1,CSMD1
ANO8,ANO8
LGI3,LGI3
SNORA75,SNORA75
ABHD4,ABHD4
TTPAL,TTPAL
LMOD2,LMOD2
PPP1R2,PPP1R2
NIPAL1,NIPAL1
POC1B,POC1B
FOXD3,FOXD3
GRM1,GRM1
ABCA3,ABCA3
TMEM94,TMEM94
PAK6,PAK6
PLA2G4A,PLA2G4A
TMEM121B,TMEM121B
MEMO1,MEMO1
GATC,GATC
SNAPIN,SNAPIN
H3-4,H3-4
SLC36A1,SLC36A1
NEUROG2,NEUROG2
SNORD95,SNORD95
LTA4H,LTA4H
POU6F1,POU6F1
CACNA1F,CACNA1F
STEAP1,STEAP1
WSB2,WSB2
SLC66A2,SLC66A2
TERF2,TERF2
ITGAV,ITGAV
CDK18,CDK18
ATG4D,ATG4D
BRF1,BRF1
CCBE1,CCBE1
NPR3,NPR3
PRICKLE1,PRICKLE1
SLC25A37,SLC25A37
RNF10,RNF10
CAMK4,CAMK4
SERINC3,SERINC3
SNORA46,SNORA46
SNORA55,SNORA55
HSD11B2,HSD11B2
UNC5B,UNC5B
CISD2,CISD2
ADO,ADO
ACTR5,ACTR5
ELL2,ELL2
CDC37L1,CDC37L1
CASR,CASR
ALDH7A1,ALDH7A1
UBN2,UBN2
SLC66A3,SLC66A3
PTTG1,PTTG1
RHBDL3,RHBDL3
PLEKHA1,PLEKHA1
GATAD1,GATAD1
ITGA1,ITGA1
SKIDA1,SKIDA1
PPM1D,PPM1D
GPR82,GPR82
ADARB2,ADARB2
PEX13,PEX13
HS6ST3,HS6ST3
SYNGAP1,SYNGAP1
ATP6AP1,ATP6AP1
ARHGEF12,ARHGEF12
SLC9B2,SLC9B2
MTREX,MTREX
DPT,DPT
SNORA71,SNORA60
ARHGDIB,ARHGDIB
TMEM100,TMEM100
SNORA74,SNORA74B
SNORD64,SNORD64
TTC14,TTC14
SNORD52,SNORD52
CDCA3,CDCA3
NWD2,NWD2
APBA1,APBA1
HCCS,HCCS
KCNG3,KCNG3
CHRNA5,CHRNA5
CERT1,CERT1
SPATA20,SPATA20
CPEB2,CPEB2
APP,APP
RAF1,RAF1
PKD2,PKD2
OVOL1,OVOL1
TP53BP2,TP53BP2
LRCH2,LRCH2
OPRM1,OPRM1
DRD3,DRD3
SCAPER,SCAPER
KRT19,KRT19
GEMIN6,GEMIN6
GSK3B,GSK3B
ASH2L,ASH2L
TRIP10,TRIP10
GPR174,GPR174
FBXO25,FBXO25
RETREG3,RETREG3
RAPGEF2,RAPGEF2
NHLH1,NHLH1
TMEM60,TMEM60
FAU,FAU
URGCP,URGCP
INTS6L,INTS6L
DSTYK,DSTYK
GABRR2,GABRR2
CDR2L,CDR2L
RNF139,RNF139
FOXB2,FOXB2
EEFSEC,EEFSEC
NEUROD4,NEUROD4
CASQ1,CASQ1
VPS37A,VPS37A
B3GNT2,B3GNT2
ZNFX1,ZNFX1
OGN,OGN
TEK,TEK
CCNT1,CCNT1
PHC2,PHC2
NUP107,NUP107
CRTC2,CRTC2
CRTAC1,CRTAC1
SVBP,SVBP
DXO,DXO
PMP2,PMP2
SLC38A7,SLC38A7
CDKN1B,CDKN1B
SNORA36A,SNORA36A
SOCS2,SOCS2
SNORA72,SNORA72
BAZ1B,BAZ1B
FAM171B,FAM171B
SLC9A8,SLC9A8
TTC13,TTC13
CHD1,CHD1
SIPA1L3,SIPA1L3
CACNA1D,CACNA1D
POLE2,POLE2
SLC30A6,SLC30A6
KIAA0040,KIAA0040
ATIC,ATIC
DRGX,DRGX
COG6,COG6
EDEM1,EDEM1
ABCA5,ABCA5
C14H11orf87,C11orf87
MAP3K15,MAP3K15
NIPA1,NIPA1
KRT27,KRT27
PPM1M,PPM1M
FKBP4,FKBP4
CHRM3,CHRM3
GRK5,GRK5
MYBL1,MYBL1
MAP3K9,MAP3K9
PRKD1,PRKD1
CDC25A,CDC25A
NAPEPLD,NAPEPLD
SLC1A1,SLC1A1
SDAD1,SDAD1
MYL4,MYL4
RCN3,RCN3
HTR2C,HTR2C
RHBG,RHBG
SEMA3F,SEMA3F
EIF4G1,EIF4G1
RNF146,RNF146
MCM7,MCM7
KCNQ5,KCNQ5
BORCS5,BORCS5
COG1,COG1
BCKDHB,BCKDHB
CARMIL3,CARMIL3
TRAK2,TRAK2
POR,POR
LASP1,LASP1
ZNF250,ZNF250
RASSF2,RASSF2
EDA,EDA
HS3ST4,HS3ST4
CERS6,CERS6
DGCR8,DGCR8
MMP23,MMP23B
BLMH,BLMH
C17H13orf42,C13orf42
SNORA3A,SNORA3A
MAS1,MAS1
STX16,STX16
SNORA33,SNORA33
INSRR,INSRR
CAPN1,CAPN1
BBS4,BBS4
ABHD17B,ABHD17B
TMX3,TMX3
ALK,ALK
NUDCD1,NUDCD1
ARHGEF38,ARHGEF38
ALDH9A1,ALDH9A1
SNORA31,SNORA31
SLCO1C1,SLCO1C1
INPP5F,INPP5F
ZNF567,ZNF567
PRPF6,PRPF6
NYAP1,NYAP1
TWF1,TWF1
TNR,TNR
FKBP10,FKBP10
HINFP,HINFP
CLEC11A,CLEC11A
GCC1,GCC1
RELA,RELA
SLC25A13,SLC25A13
CASP2,CASP2
FBXO10,FBXO10
STK39,STK39
FAM91A1,FAM91A1
CARD10,CARD10
GAB2,GAB2
TUBB1,TUBB1
CBLN1,CBLN1
PERP,PERP
CDCA7,CDCA7
SNX4,SNX4
DBNDD2,DBNDD2
UGT8,UGT8
EDEM2,EDEM2
RARS2,RARS2
GLCCI1,GLCCI1
SFXN3,SFXN3
FZD6,FZD6
PLXND1,PLXND1
NFAT5,NFAT5
ORC2,ORC2
MIGA1,MIGA1
DPP6,DPP6
ADAD1,ADAD1
SNORA11F,SNORA11F
DUSP9,DUSP9
TBX19,TBX19
SNORA40B,SNORA40B
SNORA35,SNORA35
NOP10,NOP10
SNORD43,SNORD43
NOC3L,NOC3L
RNF214,RNF214
GGA1,GGA1
WSCD1,WSCD1
KCNA3,KCNA3
CPNE4,CPNE4
SLC7A7,SLC7A7
ADAMTS19,ADAMTS19
RB1CC1,RB1CC1
ALOX12B,ALOX12B
CEP83,CEP83
DENND4A,DENND4A
DISP2,DISP2
QPCTL,QPCTL
C4H6orf120,C6orf120
PRELP,PRELP
MTMR4,MTMR4
IKZF3,IKZF3
HSPA14,HSPA14
TRIM26,TRIM26
LPAR2,LPAR2
RNF19B,RNF19B
RDH5,RDH5
NEK2,NEK2
HRH3,HRH3
SCARB2,SCARB2
SPINDOC,SPINDOC
EMILIN1,EMILIN1
CCN1,CCN1
SCARNA15,SCARNA15
H2BC1,H2BC1
NCAPG2,NCAPG2
AGBL3,AGBL3
HCRTR2,HCRTR2
TNFSF11,TNFSF11
NTPCR,NTPCR
FOS,FOS
CILK1,CILK1
FARP1,FARP1
SORL1,SORL1
FAM193B,FAM193B
ZNF583,ZNF583
RDH12,RDH12
TMEM132E,TMEM132E
MARCHF4,MARCHF4
MAP4K1,MAP4K1
PLXNC1,PLXNC1
UPF2,UPF2
PRKCH,PRKCH
PCYOX1,PCYOX1
KRT81,KRT81
TMEM51,TMEM51
SALL1,SALL1
SNORD22,SNORD22
COX17,COX17
NXPH3,NXPH3
SGPP1,SGPP1
NPPC,NPPC
SNORA28,SNORA28
ZNF593OS,ZNF593OS
SLC25A32,SLC25A32
C11H12orf57,C12orf57
TMEM205,TMEM205
ZBTB8A,ZBTB8A
SCN9A,SCN9A
KDM3A,KDM3A
SPTB,SPTB
WDR3,WDR3
SMC4,SMC4
KIAA0232,KIAA0232
HDX,HDX
SLC13A4,SLC13A4
PHTF2,PHTF2
PRR3,PRR3
SP6,SP6
CHST14,CHST14
SLC1A6,SLC1A6
ARL6IP5,ARL6IP5
DUSP18,DUSP18
SELENOK,SELENOK
ARID4B,ARID4B
SEPSECS,SEPSECS
GAS2,GAS2
BRD1,BRD1
RNF150,RNF150
INTS1,INTS1
GAREM1,GAREM1
TRIM67,TRIM67
PHPT1,PHPT1
TSACC,TSACC
MRPL47,MRPL47
TAOK1,TAOK1
UNC80,UNC80
CIP2A,CIP2A
PIK3C2A,PIK3C2A
UBA1,UBA1
HYOU1,HYOU1
KMT2B,KMT2B
SZT2,SZT2
IL1RAPL2,IL1RAPL2
CIB3,CIB3
F2RL2,F2RL2
TMEM272,TMEM272
PRKG2,PRKG2
GPSM2,GPSM2
IER5L,IER5L
PLEKHH2,PLEKHH2
DHRS7C,DHRS7C
SLC25A36,SLC25A36
SEPTIN11,SEPTIN11
GPALPP1,GPALPP1
YTHDF1,YTHDF1
DCAF10,DCAF10
DIXDC1,DIXDC1
DLGAP2,DLGAP2
ABCA1,ABCA1
EPC2,EPC2
PARD6B,PARD6B
MAEL,MAEL
NME6,NME6
APOLD1,APOLD1
HERC4,HERC4
MNX1,MNX1
DGKH,DGKH
DOP1A,DOP1A
ZCCHC3,ZCCHC3
RAB40AL,RAB40AL
UBA6,UBA6
SHE,SHE
MBOAT1,MBOAT1
NAV2,NAV2
GTF3C5,GTF3C5
CEMIP,CEMIP
RBM4B,RBM4B
BIRC2,BIRC2
EPC1,EPC1
CLIC2,CLIC2
SEMA3A,SEMA3A
CNPY3,CNPY3
ENPP1,ENPP1
ACAP1,ACAP1
STARD7,STARD7
PDGFD,PDGFD
PKDCC,PKDCC
MET,MET
ZFY,ZFY
RRAD,RRAD
PMM2,PMM2
TMUB1,TMUB1
ATP23,ATP23
TEX12,TEX12
WDR37,WDR37
WWP1,WWP1
SNORA62,SNORA62
DMD,DMD
HS3ST1,HS3ST1
SSX2IP,SSX2IP
NEXN,NEXN
SHISA6,SHISA6
PRR5L,PRR5L
DYNC1I1,DYNC1I1
TSC1,TSC1
TRMT1L,TRMT1L
ZDHHC2,ZDHHC2
SLC4A5,SLC4A5
HIVEP2,HIVEP2
SOAT1,SOAT1
DGCR2,DGCR2
AACS,AACS
UHRF1,UHRF1
FBXL17,FBXL17
KLK6,KLK6
RPL22L1,RPL22L1
ARL10,ARL10
HIP1,HIP1
EIF4B,EIF4B
DCAF5,DCAF5
NFKB1,NFKB1
PCNX3,PCNX3
GPR68,GPR68
ROR2,ROR2
SMCHD1,SMCHD1
ADAMTSL1,ADAMTSL1
KRT86,KRT86
TFCP2,TFCP2
LEMD3,LEMD3
CDK12,CDK12
SNORA23,SNORA23
TNNI2,TNNI2
CMTM3,CMTM3
DOCK8,DOCK8
NLE1,NLE1
MYO5B,MYO5B
KIRREL1,KIRREL1
RNF144B,RNF144B
MEDAG,MEDAG
RHBDL2,RHBDL2
SUSD6,SUSD6
STRN4,STRN4
SKP2,SKP2
SPOCK2,SPOCK2
USP33,USP33
LMTK3,LMTK3
MCTP2,MCTP2
FAM241B,FAM241B
MAP3K11,MAP3K11
DBR1,DBR1
CYP2U1,CYP2U1
ZCCHC2,ZCCHC2
LIPM,LIPM
KIF2C,KIF2C
RIPK4,RIPK4
HIPK2,HIPK2
APPL2,APPL2
CCR10,CCR10
UBR1,UBR1
AGK,AGK
PHF14,PHF14
ATP2B4,ATP2B4
PHOSPHO2,PHOSPHO2
RCAN3,RCAN3
PEAK1,PEAK1
SLC25A2,SLC25A2
TASL,TASL
AKAP10,AKAP10
ABRAXAS2,ABRAXAS2
TESK2,TESK2
TNNT2,TNNT2
DNAJC16,DNAJC16
POLDIP3,POLDIP3
LRRFIP2,LRRFIP2
BCL2,BCL2
RSF1,RSF1
PAMR1,PAMR1
PXYLP1,PXYLP1
ZNF136,ZNF136
SAP130,SAP130
XYLT1,XYLT1
MTMR3,MTMR3
PTGS1,PTGS1
DACH2,DACH2
ASIC4,ASIC4
CHRNA9,CHRNA9
COPA,COPA
SKAP2,SKAP2
MAD1L1,MAD1L1
TET3,TET3
PTGFR,PTGFR
NELFCD,NELFCD
RGN,RGN
AFF3,AFF3
C7H14orf93,C14orf93
ITGB4,ITGB4
BTBD17,BTBD17
MRTO4,MRTO4
TTC9B,TTC9B
PREB,PREB
PTPRR,PTPRR
ESRP2,ESRP2
SEPTIN12,SEPTIN12
CERK,CERK
ATP5F1C,ATP5F1C
DDX41,DDX41
SYNDIG1L,SYNDIG1L
TRIP6,TRIP6
CIAO3,CIAO3
RANBP3,RANBP3
CCAR2,CCAR2
LONRF1,LONRF1
ANP32E,ANP32E
TMED2,TMED2
PIGC,PIGC
FEZF1,FEZF1
CNTNAP5,CNTNAP5
SKIC2,SKIC2
SNORA81,SNORA81
PRAF2,PRAF2
C12H2orf69,C2orf69
LINGO4,LINGO4
COLEC12,COLEC12
SEMA4F,SEMA4F
LRP3,LRP3
TPP2,TPP2
PDE8A,PDE8A
SFXN1,SFXN1
TMX2,TMX2
LHX8,LHX8
TMED8,TMED8
MAML2,MAML2
PPP1R13L,PPP1R13L
VSIG8,VSIG8
OSBPL3,OSBPL3
MSH6,MSH6
UACA,UACA
HAPLN1,HAPLN1
SMIM17,SMIM17
LCE5A,LCE5A
CLIC3,CLIC3
ADGRL2,ADGRL2
FOXA1,FOXA1
TOP2A,TOP2A
RNF40,RNF40
SLC35G2,SLC35G2
ZFTA,ZFTA
USP8,USP8
TIMM50,TIMM50
C2CD2L,C2CD2L
THUMPD1,THUMPD1
LHFPL3,LHFPL3
BRD8,BRD8
TSPAN15,TSPAN15
FSD1L,FSD1L
PABPC1L,PABPC1L
MAP1B,MAP1B
MOSPD3,MOSPD3
RGS18,RGS18
DERL3,DERL3
USO1,USO1
ARHGAP25,ARHGAP25
RNF145,RNF145
STAC2,STAC2
BAZ2A,BAZ2A
MKX,MKX
TPPP3,TPPP3
NLN,NLN
NUDT13,NUDT13
MPV17,MPV17
COL3A1,COL3A1
SHOX,SHOX
PDCD4,PDCD4
INSYN1,INSYN1
CCNE1,CCNE1
GRIN2A,GRIN2A
DSCAML1,DSCAML1
PTGR2,PTGR2
RRM2B,RRM2B
NCOR2,NCOR2
CTBP1,CTBP1
SGK1,SGK1
ABHD3,ABHD3
OSER1,OSER1
CHD6,CHD6
PIK3C3,PIK3C3
MYBL2,MYBL2
MYO1E,MYO1E
PDE11A,PDE11A
KLHL28,KLHL28
INTS12,INTS12
METTL13,METTL13
MAML3,MAML3
KRT71,KRT71
PDGFRB,PDGFRB
RGR,RGR
JAK2,JAK2
PCSK7,PCSK7
LRRC7,LRRC7
ARHGEF10L,ARHGEF10L
ZBTB24,ZBTB24
TCEA3,TCEA3
RHO,RHO
RFX6,RFX6
GRXCR1,GRXCR1
LIN52,LIN52
HSPA4L,HSPA4L
GADL1,GADL1
SAG,SAG
TMEM163,TMEM163
PCSK1,PCSK1
MAOB,MAOB
ERRFI1,ERRFI1
VWA8,VWA8
NFATC2,NFATC2
CMTM8,CMTM8
ZFP30,ZFP30
MYL5,MYL5
APBA2,APBA2
KLF13,KLF13
ARID1B,ARID1B
QTRT1,QTRT1
ADRA2C,ADRA2C
GMPR,GMPR
PRTG,PRTG
TMEM144,TMEM144
SCNM1,SCNM1
U5,RNU5F-7P
TSTD1,TSTD1
SLC6A11,SLC6A11
ALDH1B1,ALDH1B1
EPHA5,EPHA5
MEPCE,MEPCE
KEAP1,KEAP1
EXOC1L,EXOC1L
USP49,USP49
PEX5,PEX5
RALGAPB,RALGAPB
TMEM182,TMEM182
NOL7,NOL7
DOCK2,DOCK2
JADE3,JADE3
BLZF1,BLZF1
VIPR1,VIPR1
FKBP5,FKBP5
ZNF140,ZNF140
CNTN3,CNTN3
PTN,PTN
ATP1A3,ATP1A3
HOXC10,HOXC10
TMEM268,TMEM268
SAT1,SAT1
CCDC22,CCDC22
CEP43,CEP43
P2RY12,P2RY12
PHF19,PHF19
SBNO2,SBNO2
EEPD1,EEPD1
TIE1,TIE1
ALDH1A3,ALDH1A3
CCNB2,CCNB2
LIMS1,LIMS3
ABCA4,ABCA4
FHL5,FHL5
SMCR8,SMCR8
TMED4,TMED4
CDR2,CDR2
SNX27,SNX27
ATP8B2,ATP8B2
DNER,DNER
ST3GAL1,ST3GAL1
KCNE4,KCNE4
DCTPP1,DCTPP1
CLOCK,CLOCK
KBTBD12,KBTBD12
RELCH,RELCH
NPY5R,NPY5R
SLC35B1,FAM117A
PPIP5K2,PPIP5K2
DCAF4L1,DCAF4L1
ITGA11,ITGA11
ZDHHC13,ZDHHC13
SNAPC1,SNAPC1
P3H2,P3H2
PWP1,PWP1
GORASP2,GORASP2
C1H1orf210,C1orf210
GJB2,GJB2
FAM222A,FAM222A
FSTL5,FSTL5
ZRANB1,ZRANB1
CABLES2,CABLES2
TBC1D10A,TBC1D10A
EDC3,EDC3
TNFAIP3,TNFAIP3
NHLRC1,NHLRC1
FERMT1,FERMT1
SNX7,SNX7
PPM1E,PPM1E
RANBP10,RANBP10
TSPO,TSPO
SLC2A6,SLC2A6
MDH2,MDH2
LUM,LUM
SLC25A40,SLC25A40
SLC30A1,SLC30A1
SIN3B,SIN3B
CCDC43,CCDC43
USP38,USP38
DTX4,DTX4
BFAR,BFAR
PSPH,PSPH
ZNF157,ZNF157
HTR1A,HTR1A
ST6GALNAC5,ST6GALNAC5
GLG1,GLG1
RRH,RRH
ARHGAP10,ARHGAP10
XXYLT1,XXYLT1
CELSR3,CELSR3
STK16,STK16
FN3K,FN3K
AASS,AASS
WDR19,WDR19
PPP1R9A,PPP1R9A
N4BP1,N4BP1
FNDC9,FNDC9
CCDC106,CCDC106
DAPP1,DAPP1
APOBEC2,APOBEC2
SDHB,SDHB
RPP14,HTD2
PLP1,PLP1
LBR,LBR
HIC2,HIC2
PHACTR3,PHACTR3
MKS1,MKS1
LRRC71,LRRC71
ATP6V0A4,ATP6V0A4
SCUBE3,SCUBE3
RAG2,RAG2
PPP1R3E,PPP1R3E
NAA30,NAA30
GRWD1,GRWD1
PGRMC2,PGRMC2
BICRA,BICRA
HTR1B,HTR1B
TUFT1,TUFT1
MAP3K14,MAP3K14
SOGA3,MTCL3
MCRS1,MCRS1
PAM,PAM
FAM163A,FAM163A
COL4A1,COL4A1
KIF20A,KIF20A
SGTB,SGTB
DLL1,DLL1
CWC27,CWC27
RAB31,RAB31
ZNF670,ZNF670
SEC23IP,SEC23IP
EDEM3,EDEM3
EXOC1,EXOC1
mml-mir-448,MIR448
TTC9,TTC9
SOD2,SOD2
GSTA4,GSTA4
RGL2,RGL2
CYB561D2,CYB561D2
TMEM87A,TMEM87A
XK,XK
TH,TH
ATXN3,ATXN3
EIF2B5,EIF2B5
POFUT1,POFUT1
IQGAP1,IQGAP1
SEMA7A,SEMA7A
UNC13C,UNC13C
HOXA3,HOXA3
ENOSF1,ENOSF1
DCBLD2,DCBLD2
C13H2orf68,C2orf68
E2F4,E2F4
CALCRL,CALCRL
GPX5,GPX5
SYBU,SYBU
ZNF770,ZNF770
UFSP2,UFSP2
GCN1,GCN1
AP3D1,AP3D1
SLC17A4,SLC17A4
UBXN2B,UBXN2B
EPM2A,EPM2A
CPD,CPD
USP5,USP5
ITGB1,ITGB1
LPXN,LPXN
SYT5,SYT5
SLC19A2,SLC19A2
mml-mir-939,MIR939
ZNF81,ZNF81
GRID2IP,GRID2IP
PRRC2B,PRRC2B
SLC22A4,SLC22A4
CDKL1,CDKL1
TOMM7,TOMM7
TLX1,TLX1
INS,INS
CD28,CD28
OMG,OMG
ACER2,ACER2
AIP,AIP
GFI1B,GFI1B
SAP30,SAP30
ZMYND10,ZMYND10
SCD5,SCD5
mml-mir-205,MIR205
EXOSC3,EXOSC3
SCARNA10,SCARNA10
CACNA2D1,CACNA2D1
MYORG,MYORG
DIAPH2,DIAPH2
TRERF1,TRERF1
NRG2,NRG2
AAR2,AAR2
PHC1,PHC1
FAM43B,FAM43B
TTC21B,TTC21B
RBM6,RBM6
LPO,LPO
RAB3GAP1,RAB3GAP1
GCDH,GCDH
TMED10,TMED10
WDR35,WDR35
TPBGL,TPBGL
CFAP70,CFAP70
LACTB,LACTB
CASKIN2,CASKIN2
MAFF,MAFF
CFAP97D1,CFAP97D1
KHDC1,KHDC1
AFF2,AFF2
E2F2,E2F2
TRIM9,TRIM9
S1PR1,S1PR1
HLTF,HLTF
CLDN5,CLDN5
ANKRD63,ANKRD63
U1,RNU1-96P
RFXAP,RFXAP
DENND4C,DENND4C
TMEM260,TMEM260
PCDH20,PCDH20
POLA2,POLA2
ZNF287,ZNF287
FAM167B,FAM167B
LMBR1L,LMBR1L
U2,U2
ADD3,ADD3
RAPGEF3,RAPGEF3
CEP135,CEP135
TFEB,TFEB
OSBPL1A,OSBPL1A
TMEM253,TMEM253
FAM168A,FAM168A
KIT,KIT
SRPRB,SRPRB
AGAP2,AGAP2
SLC30A9,SLC30A9
PRRC2C,PRRC2C
CDH5,CDH5
COL6A1,COL6A1
COMP,COMP
SMURF1,SMURF1
CHST7,CHST7
FGF19,FGF19
CAV2,CAV2
SARDH,SARDH
S1PR3,S1PR3
NKX2-5,NKX2-5
PRCD,PRCD
RFLNA,RFLNA
ZC3H11A,ZC3H11A
NEDD9,NEDD9
QSER1,QSER1
ZBTB11,ZBTB11
SRRM2,SRRM2
CRTC1,CRTC1
DLAT,DLAT
CCNT2,CCNT2
PITPNM2,PITPNM2
MAGI3,MAGI3
ATXN7L2,ATXN7L2
SLC10A6,SLC10A6
PTPRK,PTPRK
U3,U3
TMTC3,TMTC3
SNORA21,SNORA21
TMEM267,TMEM267
PLPP6,PLPP6
WDHD1,WDHD1
XBP1,XBP1
NCOA3,NCOA3
ZBTB20,ZBTB20
DTX3,DTX3
EPYC,EPYC
SHMT1,SHMT1
LY6H,LY6H
MYADM,MYADM
GLA,GLA
ZNF12,ZNF12
MAN1A2,MAN1A2
HOXA2,HOXA2
SLIT3,SLIT3
GPER1,GPER1
DDX5,DDX5
KCNH4,KCNH4
POLD4,POLD4
SERTM1,SERTM1
GCNT1,GCNT1
ELK1,ELK1
TMUB2,TMUB2
SOCS1,SOCS1
FNBP4,FNBP4
XPNPEP1,XPNPEP1
ABCC9,ABCC9
ACER3,ACER3
ATP6V1C2,ATP6V1C2
KCNN4,KCNN4
SKOR2,SKOR2
PARP1,PARP1
ALAS2,ALAS2
RAD54L,RAD54L
NR1D1,NR1D1
KLF10,KLF10
NFX1,NFX1
RPS6KC1,RPS6KC1
YTHDF2,YTHDF2
CMKLR1,CMKLR1
NHSL2,NHSL2
EFNA2,EFNA2
TIMM44,TIMM44
KBTBD4,KBTBD4
ZBED4,ZBED4
DIS3,DIS3
SLC18A3,SLC18A3
RASL12,RASL12
CXHXorf38,CXorf38
COL21A1,COL21A1
PPP1R37,PPP1R37
GATAD2A,GATAD2A
ITSN2,ITSN2
PLEKHA2,PLEKHA2
TENT5B,TENT5B
UBR7,UBR7
ABTB1,ABTB1
FAM184A,FAM184A
CAPN9,CAPN9
LRRC8E,LRRC8E
ERGIC3,ERGIC3
OTUD3,OTUD3
PDPK1,PDPK1
ELOVL6,ELOVL6
GLRX,GLRX
APEX1,APEX1
ATP5IF1,ATP5IF1
FYTTD1,FYTTD1
CHST8,CHST8
YARS2,YARS2
PCDH1,PCDH1
DSEL,DSEL
PUS10,PUS10
OPRL1,OPRL1
VGLL2,VGLL2
CA5B,CA5B
COL14A1,COL14A1
BRPF1,BRPF1
RSBN1L,RSBN1L
VIPAS39,VIPAS39
MFSD6,MFSD6
SNAI1,SNAI1
SBSPON,SBSPON
CLXN,CLXN
GSTCD,GSTCD
RHOF,RHOF
DGKG,DGKG
PLCG2,PLCG2
TOB2,TOB2
OTUD7B,OTUD7B
GSS,GSS
ARMCX2,ARMCX2
RNF112,RNF112
P3H1,P3H1
HYAL2,HYAL2
NPHP3,NPHP3
PGAP2,PGAP2
WDR83,WDR83
ZMAT3,ZMAT3
STX1B,STX1B
SCN4A,SCN4A
NLGN1,NLGN1
CPQ,CPQ
RDX,RDX
ADAT3,ADAT3
MBTPS1,MBTPS1
MYH4,MYH4
EMC10,EMC10
GAS2L1,GAS2L1
