crab_eating_macaque gene name,mice gene name
CAV2,Cav2
BLOC1S1,Bloc1s1
ST6GALNAC5,St6galnac5
GALE,Gale
BDH2,Bdh2
PUM3,Pum3
CNDP2,Cndp2
CSRP1,Csrp1
ATR,Atr
SPRED2,Spred2
SCAMP3,Scamp3
PGM2,Pgm2
OR51G2,Or51g2
APBB3,Apbb3
DMBX1,Dmbx1
BAIAP2,Baiap2
DPY19L1,Dpy19l1
NLRX1,Nlrx1
NIPSNAP1,Nipsnap1
COL4A1,Col4a1
FOSL1,Fosl1
SSBP3,Ssbp3
SLITRK5,Slitrk5
EHF,Ehf
TSHZ2,Tshz2
KDF1,Kdf1
SLC27A4,Slc27a4
SLC4A5,Slc4a5
ANK1,Ank1
TPT1,Tpt1
NEMF,Nemf
GABRA4,Gabra4
METTL13,Mettl13
MEGF11,Megf11
PAPOLG,Papolg
SGSM3,Sgsm3
PIK3C2A,Pik3c2a
NBEAL1,Nbeal1
RUFY1,Rufy1
ERCC8,Ercc8
RPRD2,Rprd2
TRIP10,Trip10
IL36RN,Il36rn
TRAK1,Trak1
XIAP,Xiap
RMC1,Rmc1
EPM2AIP1,Epm2aip1
PDCD7,Pdcd7
MPDU1,Mpdu1
NCOA2,Ncoa2
FES,Fes
GAD2,Gad2
ARL14EP,Arl14ep
HDAC11,Hdac11
RCAN3,Rcan3
CCDC126,Ccdc126
NT5C3B,Nt5c3b
TRAM2,Tram2
MIR100,Mir100
RBBP7,Rbbp7
ADAMTS5,Adamts5
SMG9,Smg9
DPYSL2,Dpysl2
WDR74,Wdr74
NEXN,Nexn
KCTD20,Kctd20
P2RX1,P2rx1
LARS1,Lars1
NOTCH2,Notch2
STOML3,Stoml3
TCF4,Tcf4
RGN,Rgn
ZNF367,Zfp367
CLNS1A,Clns1a
MOSPD2,Mospd2
MEA1,Mea1
NIBAN2,Niban2
SOX13,Sox13
ENAH,Enah
SMAP1,Smap1
NIPAL3,Nipal3
ESR1,Esr1
DVL3,Dvl3
KDM7A,Kdm7a
STX18,Stx18
SNORD26,Gm25894
BBS7,Bbs7
CALML3,Calml3
PCF11,Pcf11
HYOU1,Hyou1
MIR346,Mir346
GALNT2,Galnt2
GREB1L,Greb1l
DMGDH,Dmgdh
ACSS3,Acss3
GOLM2,Golm2
KAT6B,Kat6b
BIN3,Bin3
SPECC1L,Specc1l
RORA,Rora
PTPN2,Ptpn2
TMEM169,Tmem169
SPOUT1,Spout1
ASB2,Asb2
CRYGS,Crygs
TWF1,Twf1
GPR19,Gpr19
NFRKB,Nfrkb
MTMR1,Mtmr1
TEX2,Tex2
PLEKHA7,Plekha7
SIN3B,Sin3b
PCDH7,Pcdh7
LIN9,Lin9
MAEL,Mael
SULF2,Sulf2
ITFG1,Itfg1
ANO3,Ano3
DMRTA2,Dmrta2
ASB6,Asb6
GRHL1,Grhl1
POU2AF1,Pou2af1
TMED10,Tmed10
CNTN6,Cntn6
GATM,Gatm
VAT1,Vat1
ABCA5,Abca5
KCNH4,Kcnh4
OIT3,Oit3
TXNDC9,Txndc9
CCKAR,Cckar
UBR1,Ubr1
SNAP25,Snap25
FLAD1,Flad1
TMEM200A,Tmem200a
PPP1R21,Ppp1r21
SNORA51,Gm24451
SLC34A1,Slc34a1
XKRX,Xkrx
IMPDH1,Impdh1
SYTL4,Sytl4
INHBA,Inhba
SP4,Sp4
AP3B2,Ap3b2
TRIM54,Trim54
MYOG,Myog
RO60,Ro60
CEACAM16,Ceacam16
ACTR1B,Actr1b
CDH13,Cdh13
RGL2,Rgl2
MEIG1,Meig1
IMMT,Immt
CDR2,Cdr2
MVP,Mvp
GNS,Gns
PKDCC,Pkdcc
HES5,Hes5
FICD,Ficd
SYT5,Syt5
MTA3,Mta3
NAPB,Napb
USP30,Usp30
UBXN4,Ubxn4
MTX3,Mtx3
AVIL,Avil
TUFT1,Tuft1
CHRDL1,Chrdl1
ATP7A,Atp7a
ZMYND8,Zmynd8
BABAM1,Babam1
ATXN2L,Atxn2l
TTC9B,Ttc9b
TOB2,Tob2
SYNJ1,Synj1
ACADS,Acads
CCDC88A,Ccdc88a
ACTR5,Actr5
OR2H2,Or2h2
TRAPPC10,Trappc10
DNAJC16,Dnajc16
PIN4,Pin4
ABLIM2,Ablim2
ZBTB25,Zbtb25
TMCC3,Tmcc3
BABAM2,Babam2
CCNB2,Ccnb2
CSTPP1,Cstpp1
RB1CC1,Rb1cc1
AGTPBP1,Agtpbp1
MEIOC,Meioc
GPR34,Gpr34
PSMD5,Psmd5
MRPL15,Mrpl15
TMBIM1,Tmbim1
OR5M9,Or5m9
SEMA3E,Sema3e
SIK3,Sik3
MYRF,Myrf
TANC1,Tanc1
MTHFR,Mthfr
TGFBRAP1,Tgfbrap1
PACS2,Pacs2
GUCY2F,Gucy2f
BRAP,Brap
G6PD,G6pdx
C7orf25,AW209491
RBM8A,Rbm8a
EVA1B,Eva1b
HERPUD2,Herpud2
PDGFB,Pdgfb
DAAM2,Daam2
MCTP1,Mctp1
NUS1,Nus1
CHRNB1,Chrnb1
ERCC2,Ercc2
PSMD8,Psmd8
BTBD3,Btbd3
CAP2,Cap2
MAP3K12,Map3k12
ABCG1,Abcg1
RUNDC3A,Rundc3a
SDF2L1,Sdf2l1
SLITRK6,Slitrk6
FADS3,Fads3
EPX,Epx
TOMM70,Tomm70a
TGDS,Tgds
ATP13A3,Atp13a3
TUFM,Tufm
PSMD3,Psmd3
BRF1,Brf1
RHOBTB1,Rhobtb1
FBXO8,Fbxo8
DGAT2,Dgat2
INSYN1,Insyn1
SLC26A9,Slc26a9
MRC2,Mrc2
PIK3CD,Pik3cd
ZC3H18,Zc3h18
SLC5A2,Slc5a2
TBC1D25,Tbc1d25
OCLN,Ocln
TAPT1,Tapt1
ZMYND10,Zmynd10
DNAH12,Dnah12
AIFM2,Aifm2
SKIDA1,Skida1
SRSF4,Srsf4
HIF1AN,Hif1an
AMIGO1,Amigo1
NHP2,Nhp2
NOC3L,Noc3l
GPR155,Gpr155
NOCT,Noct
COL1A1,Col1a1
EIF3B,Eif3b
SMC6,Smc6
CPLANE2,Cplane2
FAM107A,Fam107a
ZBTB11,Zbtb11
DXO,Dxo
OR51E1,Or51e1
CCNT1,Ccnt1
APMAP,Apmap
SLC7A7,Slc7a7
TMEM182,Tmem182
ORC5,Orc5
ALAS2,Alas2
TMCO3,Tmco3
PAMR1,Pamr1
RGS8,Rgs8
ANXA10,Anxa10
MARS1,Mars1
VPS35L,Vps35l
BZW2,Bzw2
ETV4,Etv4
FAM184A,Fam184a
PHF24,Phf24
DPP10,Dpp10
TET3,Tet3
UBN2,Ubn2
BMP4,Bmp4
PPM1M,Ppm1m
GJA4,Gja4
GNG4,Gng4
PKNOX1,Pknox1
ZC4H2,Zc4h2
GMCL1,Gmcl1
ABCA12,Abca12
YPEL4,Ypel4
PKIG,Pkig
MMS19,Mms19
RBFOX3,Rbfox3
STK38L,Stk38l
SLC35F2,Slc35f2
TECTB,Tectb
PEPD,Pepd
AP4B1,Ap4b1
ZNRD2,Znrd2
PARD6B,Pard6b
SGSH,Sgsh
DYRK3,Dyrk3
RFX7,Rfx7
CRIM1,Crim1
BACH2,Bach2
KLHL35,Klhl35
ANKRD34C,Ankrd34c
AARSD1,Aarsd1
CWC25,Cwc25
ANO10,Ano10
TTBK2,Ttbk2
TMEM199,Tmem199
MET,Met
OVOL2,Ovol2
NUP107,Nup107
TRIM11,Trim11
DNAH5,Dnah5
SEH1L,Seh1l
SMOC1,Smoc1
BRD1,Brd1
ADH5,Adh5
LIAS,Lias
TBC1D17,Tbc1d17
KIFBP,Kifbp
TMEM256,Tmem256
TOP2A,Top2a
CAT,Cat
SOCS2,Socs2
SARNP,Sarnp
DICER1,Dicer1
PLPP3,Plpp3
CEP120,Cep120
FBH1,Fbh1
CCDC184,Ccdc184
MAP3K13,Map3k13
INSRR,Insrr
MICU1,Micu1
EMG1,Emg1
GPR171,Gpr171
CRYZL1,Cryzl1
ATRN,Atrn
TMCO1,Tmco1
ATP5F1E,Atp5f1e
ZBTB39,Zbtb39
LNX2,Lnx2
MTCL3,Mtcl3
CDC42BPB,Cdc42bpb
RNF126,Rnf126
BTF3,Btf3
NLGN2,Nlgn2
SNORD89,Snord89
BAG6,Bag6
SMC4,Smc4
SAMD8,Samd8
DDX49,Ddx49
DHFR,Dhfr
ORC4,Orc4
UBALD2,Ubald2
MAF1,Maf1
ARL8A,Arl8a
PREP,Prep
INPPL1,Inppl1
RNF114,Rnf114
EHBP1,Ehbp1
CHRNG,Chrng
FOXP1,Foxp1
MPV17,Mpv17
HTT,Htt
SNU13,Snu13
DMXL1,Dmxl1
SOSTDC1,Sostdc1
SLC30A9,Slc30a9
MEF2A,Mef2a
FKBP10,Fkbp10
BANP,Banp
CSRP2,Csrp2
SEL1L,Sel1l
GGCX,Ggcx
KIF9,Kif9
TMTC3,Tmtc3
OPA1,Opa1
CYP26A1,Cyp26a1
PYGO1,Pygo1
LRMDA,Lrmda
NUDC,Nudc
COMMD3,Commd3
NMBR,Nmbr
PLA2G12B,Pla2g12b
RALGAPA2,Ralgapa2
CCM2,Ccm2
DDX52,Ddx52
PTPRE,Ptpre
DCPS,Dcps
APLP1,Aplp1
MLX,Mlx
NELL2,Nell2
FAM76A,Fam76a
PHKG1,Phkg1
TYRO3,Tyro3
S1PR2,S1pr2
WDR5,Wdr5
LMAN1,Lman1
DDX4,Ddx4
SLC25A14,Slc25a14
SFMBT1,Sfmbt1
KRT5,Krt5
ARHGEF12,Arhgef12
CKMT2,Ckmt2
PFDN1,Pfdn1
SORT1,Sort1
SEC31A,Sec31a
DHDDS,Dhdds
HNRNPUL2,Hnrnpul2
POC1A,Poc1a
TNFRSF21,Tnfrsf21
CASP2,Casp2
ZPLD1,Zpld1
RTCA,Rtca
SNX1,Snx1
MYO5C,Myo5c
RNF10,Rnf10
YPEL2,Ypel2
RAI2,Rai2
PREX1,Prex1
MYMK,Mymk
TMEM161B,Tmem161b
RAB3GAP2,Rab3gap2
LRRN2,Lrrn2
SYNGR2,Syngr2
TIMM10B,Timm10b
VIL1,Vil1
LRRK1,Lrrk1
SLC38A2,Slc38a2
AP3D1,Ap3d1
PHC3,Phc3
YLPM1,Ylpm1
ADAMTS18,Adamts18
UROD,Urod
COL14A1,Col14a1
LCLAT1,Lclat1
CDYL2,Cdyl2
DDHD2,Ddhd2
CPXM2,Cpxm2
IQGAP2,Iqgap2
G6PC1,G6pc1
CDCP2,Cdcp2
ANKRD39,Ankrd39
EEFSEC,Eefsec
TEX10,Tex10
PGP,Pgp
CORO1B,Coro1b
CDK10,Cdk10
SNORD99,Snord99
TNK2,Tnk2
SUB1,Sub1
KCTD19,Kctd19
ALG3,Alg3
TIMP4,Timp4
RAC2,Rac2
SNORA53,Gm24119
UBFD1,Ubfd1
CDKL1,Cdkl1
TBC1D5,Tbc1d5
MYF5,Myf5
TCF20,Tcf20
TMEM129,Tmem129
MBD5,Mbd5
SELENON,Selenon
HERPUD1,Herpud1
PDSS2,Pdss2
KCNJ14,Kcnj14
RUNDC1,Rundc1
MT-CO1,mt-Co1
CCT7,Cct7
EPN2,Epn2
MRPS34,Mrps34
CDC37L1,Cdc37l1
COPS7B,Cops7b
IRF2,Irf2
SPSB3,Spsb3
ACTG1,Actg1
PDC,Pdc
TMTC4,Tmtc4
RAPGEF3,Rapgef3
EIF1AD,Eif1ad
GLO1,Glo1
SNORA36B,Snora36b
KCNQ1,Kcnq1
LMOD2,Lmod2
WDFY2,Wdfy2
TESK2,Tesk2
CA5B,Car5b
WIPF1,Wipf1
POR,Por
UQCRC1,Uqcrc1
BAHD1,Bahd1
RNF4,Rnf4
DNAJC10,Dnajc10
CRADD,Cradd
CCBE1,Ccbe1
MAN1A1,Man1a
RAB19,Rab19
SLC39A8,Slc39a8
TUBE1,Tube1
AQP2,Aqp2
XKR7,Xkr7
PIP4K2A,Pip4k2a
CYC1,Cyc1
SRF,Srf
GRIN2A,Grin2a
DAB2IP,Dab2ip
MYBPC3,Mybpc3
MYO9A,Myo9a
SEMA4C,Sema4c
HOGA1,Hoga1
FAM219A,Fam219a
NTNG2,Ntng2
FAM163B,Fam163b
BBOX1,Bbox1
HSD17B10,Hsd17b10
RTN4IP1,Rtn4ip1
SMIM14,Smim14
PLCB3,Plcb3
VAV1,Vav1
COL25A1,Col25a1
EIF5B,Eif5b
AGPS,Agps
KLHL30,Klhl30
CPNE7,Cpne7
ATXN1,Atxn1
NR2C1,Nr2c1
PLEKHA6,Plekha6
CRTAP,Crtap
RBM6,Rbm6
NRBF2,Nrbf2
MYBPC1,Mybpc1
DUS2,Dus2
NOL12,Nol12
GPX7,Gpx7
SYNDIG1L,Syndig1l
HADHB,Hadhb
RGS17,Rgs17
EFNA2,Efna2
USP49,Usp49
C1GALT1,C1galt1
DGKG,Dgkg
ME2,Me2
ZFP91,Zfp91
DHCR24,Dhcr24
SMCR8,Smcr8
NDUFS4,Ndufs4
NUAK1,Nuak1
FANK1,Fank1
MCM8,Mcm8
PHF20,Phf20
SLC2A13,Slc2a13
SFXN2,Sfxn2
ARL14EPL,Arl14epl
ATP11C,Atp11c
GTF2I,Gtf2i
CANT1,Cant1
PLEKHD1,Plekhd1
PTPRR,Ptprr
FOXA2,Foxa2
MFSD13A,Mfsd13a
PDGFRL,Pdgfrl
DBN1,Dbn1
SRPK3,Srpk3
ARHGAP12,Arhgap12
BRD9,Brd9
PRTG,Prtg
ZPR1,Zpr1
SEPTIN7,Septin7
QARS1,Qars1
SLC25A47,Slc25a47
NAXE,Naxe
NSMCE4A,Nsmce4a
ARHGEF7,Arhgef7
RAPGEF2,Rapgef2
ACVRL1,Acvrl1
NADK2,Nadk2
XDH,Xdh
PI4K2A,Pi4k2a
TP53INP1,Trp53inp1
ANO1,Ano1
PTF1A,Ptf1a
PWP1,Pwp1
ASAP1,Asap1
MPP3,Mpp3
NR3C1,Nr3c1
EVI5,Evi5
LRIG2,Lrig2
YWHAB,Ywhab
SLC7A6,Slc7a6
MSMO1,Msmo1
ESYT1,Esyt1
PCCB,Pccb
SIX4,Six4
ZBTB48,Zbtb48
HDX,Hdx
UTP15,Utp15
VARS1,Vars1
ACER3,Acer3
PSME3,Psme3
PIP5K1A,Pip5k1a
IGSF11,Igsf11
APC,Apc
LGI2,Lgi2
DEF8,Def8
CA3,Car3
VPS45,Vps45
STXBP2,Stxbp2
NFATC3,Nfatc3
NAP1L4,Nap1l4
ETFRF1,Etfrf1
TRIM29,Trim29
TSPAN7,Tspan7
TMEM88,Tmem88
DNAJB12,Dnajb12
SRPX,Srpx
DLGAP4,Dlgap4
NUDT9,Nudt9
NEDD9,Nedd9
POPDC3,Popdc3
SLC30A3,Slc30a3
KCNJ16,Kcnj16
SLC13A4,Slc13a4
NEUROD4,Neurod4
RCC1L,Rcc1l
B3GALNT2,B3galnt2
PPFIBP2,Ppfibp2
KIF23,Kif23
LOXHD1,Loxhd1
PPME1,Ppme1
GSTM3,Gstm5
LHFPL1,Lhfpl1
MAP1LC3A,Map1lc3a
CHRNE,Chrne
PMP2,Pmp2
MIR196A2,Mir196a-2
PDE10A,Pde10a
CASKIN2,Caskin2
KCNH6,Kcnh6
KRT222,Krt222
LFNG,Lfng
JUN,Jun
KIF19,Kif19a
DPYSL3,Dpysl3
HS3ST6,Hs3st6
GSS,Gss
HIF1A,Hif1a
ZDHHC7,Zdhhc7
IDH3G,Idh3g
BCKDHA,Bckdha
PSMB9,Psmb9
SLC2A4,Slc2a4
NEB,Neb
PTPN14,Ptpn14
ANKFN1,Ankfn1
PIWIL2,Piwil2
ALG5,Alg5
ATP1B4,Atp1b4
SLC25A39,Slc25a39
PPM1E,Ppm1e
ZNF410,Zfp410
PPTC7,Pptc7
SLCO5A1,Slco5a1
MCTP2,Mctp2
FOXO6,Foxo6
CARMIL1,Carmil1
MKS1,Mks1
C11orf54,4931406C07Rik
SSTR4,Sstr4
NGDN,Ngdn
H2AZ2,H2az2
KICS2,Kics2
CACNB2,Cacnb2
HIC2,Hic2
FASTK,Fastk
BCOR,Bcor
CERT1,Cert1
SENP8,Senp8
DNAH10,Dnah10
LRSAM1,Lrsam1
FAH,Fah
LPIN2,Lpin2
MRPL11,Mrpl11
HUNK,Hunk
ENPP2,Enpp2
ME1,Me1
TOR1B,Tor1b
IL17B,Il17b
FECH,Fech
PANX3,Panx3
CCR10,Ccr10
ETS1,Ets1
HTR5A,Htr5a
NEK2,Nek2
SPEF1,Spef1
ZBTB7B,Zbtb7b
KIAA0513,6430548M08Rik
HCK,Hck
ALDOC,Aldoc
PLEKHM2,Plekhm2
INTS6L,Ints6l
TBC1D22B,Tbc1d22b
HIP1R,Hip1r
TWF2,Twf2
FAIM2,Faim2
PRPH2,Prph2
ADAT2,Adat2
RNF111,Rnf111
VGLL3,Vgll3
ASB17,Asb17
RIMKLA,Rimkla
NACC1,Nacc1
PFAS,Pfas
NFE2,Nfe2
PLEKHA2,Plekha2
ANKRD49,Ankrd49
ATG13,Atg13
TMEM268,Tmem268
NDRG1,Ndrg1
CLPB,Clpb
VPS29,Vps29
AMIGO2,Amigo2
PRDM16,Prdm16
OR6N1,Or6n1
MIR96,Mir96
ASIC4,Asic4
UMPS,Umps
SH2D1A,Sh2d1a
CHD6,Chd6
RNPEP,Rnpep
RAB7B,Rab7b
DNAJC5B,Dnajc5b
IFRD2,Ifrd2
AIF1,Aif1
LAMA4,Lama4
HRH3,Hrh3
RASL11A,Rasl11a
NAA16,Naa16
MSH5,Msh5
MYOM2,Myom2
GALNT14,Galnt14
C14orf93,4931414P19Rik
AK5,Ak5
COL26A1,Col26a1
MIR33A,Mir33
PDIA4,Pdia4
NUBPL,Nubpl
GNL1,Gnl1
SIPA1L3,Sipa1l3
UBE3B,Ube3b
RNF115,Rnf115
POU2F2,Pou2f2
CDC45,Cdc45
USP31,Usp31
AAAS,Aaas
RP2,Rp2
PCCA,Pcca
SLC29A2,Slc29a2
TRIM62,Trim62
SLC44A2,Slc44a2
RNF145,Rnf145
SLC12A7,Slc12a7
NDRG2,Ndrg2
CRYM,Crym
BMX,Bmx
GPR161,Gpr161
HOXD9,Hoxd9
ANGEL1,Angel1
HDDC2,Hddc2
CALCRL,Calcrl
PLA2G15,Pla2g15
SCAPER,Scaper
ITGB6,Itgb6
ABL1,Abl1
PTGER4,Ptger4
ZDHHC24,Zdhhc24
SP7,Sp7
TMTC1,Tmtc1
PXYLP1,Pxylp1
SLC26A4,Slc26a4
GPSM3,Gpsm3
GPR174,Gpr174
ACBD3,Acbd3
FOXO4,Foxo4
HMGCS2,Hmgcs2
ZNRF1,Znrf1
C1QL4,C1ql4
NR5A2,Nr5a2
SS18L1,Ss18l1
ANKRD13C,Ankrd13c
RPH3A,Rph3a
ADAMTSL2,Adamtsl2
TRIP4,Trip4
CTTNBP2NL,Cttnbp2nl
RBL1,Rbl1
CCDC42,Ccdc42
TBC1D10C,Tbc1d10c
MTCH2,Mtch2
PTGFR,Ptgfr
TMPRSS7,Tmprss7
TRAF3,Traf3
GUCA1B,Guca1b
PTGR3,Ptgr3
RHBDD2,Rhbdd2
ESRP2,Esrp2
RBBP6,Rbbp6
SP2,Sp2
CCDC171,Ccdc171
NRCAM,Nrcam
APOLD1,Apold1
ACTN1,Actn1
COL1A2,Col1a2
COG6,Cog6
ZNF236,Zfp236
VGLL4,Vgll4
RBCK1,Rbck1
CNTN5,Cntn5
MEF2D,Mef2d
NRL,Nrl
TGFB1I1,Tgfb1i1
TRIM13,Trim13
LDLRAD4,Ldlrad4
SMIM35,Smim35
CDC26,Cdc26
TRERF1,Trerf1
CILP,Cilp
PRDM15,Prdm15
AHCYL2,Ahcyl2
TRAP1,Trap1
HPGD,Hpgd
ERBIN,Erbin
SANBR,Sanbr
MKRN2,Mkrn2
SLC11A1,Slc11a1
REM1,Rem1
TMEM170A,Tmem170
STK10,Stk10
RARS1,Rars1
ADAMTS9,Adamts9
OGA,Oga
SIX2,Six2
THBS2,Thbs2
PRKACB,Prkacb
ARAP3,Arap3
UBR2,Ubr2
ATP6V1F,Atp6v1f
IKZF3,Ikzf3
MOV10,Mov10
LAMB2,Lamb2
FREM2,Frem2
CHCHD5,Chchd5
ZNF654,Zfp654
WNT3,Wnt3
TIMM44,Timm44
UBA6,Uba6
SCRN1,Scrn1
CA13,Car13
PDIA6,Pdia6
ACAA2,Acaa2
B3GNT2,B3gnt2
EXOSC3,Exosc3
ADD1,Add1
RGS21,Rgs21
POLD2,Pold2
DHTKD1,Dhtkd1
PDCL2,Pdcl2
RNF34,Rnf34
USP28,Usp28
ABCA3,Abca3
PCDHB1,Pcdhb1
MOB1A,Mob1a
SH3PXD2B,Sh3pxd2b
DYNC1I2,Dync1i2
RNF130,Rnf130
FXR2,Fxr2
CFAP58,Cfap58
KAT6A,Kat6a
ARID5B,Arid5b
NAV1,Nav1
IRS1,Irs1
ARHGEF10L,Arhgef10l
KRT33A,Krt33a
S100A3,S100a3
CNTN2,Cntn2
ANGPTL7,Angptl7
HMOX2,Hmox2
ISY1,Isy1
LAMA2,Lama2
DCP1A,Dcp1a
ATP6V0D2,Atp6v0d2
PDZD11,Pdzd11
FAM131B,Fam131b
MCCC2,Mccc2
ACP2,Acp2
TSPAN31,Tspan31
GRAMD1A,Gramd1a
LPIN1,Lpin1
USP1,Usp1
ABLIM1,Ablim1
COLEC10,Colec10
PDE12,Pde12
MMP20,Mmp20
DHX9,Dhx9
SLC35A3,Slc35a3
TRMU,Trmu
PRPF31,Prpf31
AFAP1L1,Afap1l1
SPARC,Sparc
MIR16-2,Mir16-2
WNT9B,Wnt9b
GALNT18,Galnt18
GRB7,Grb7
RDH5,Rdh5
MCU,Mcu
BCR,Bcr
NME1,Nme1
IKZF4,Ikzf4
UPK2,Upk2
DHX32,Dhx32
FERMT1,Fermt1
RELL1,Rell1
PODN,Podn
TADA2B,Tada2b
PTDSS2,Ptdss2
GPSM1,Gpsm1
GRPEL1,Grpel1
ALDH8A1,Aldh8a1
USP19,Usp19
RAG2,Rag2
ZNFX1,Znfx1
EPB41L4B,Epb41l4b
CDK5RAP1,Cdk5rap1
EMC7,Emc7
CALCOCO1,Calcoco1
NKX2-5,Nkx2-5
CLUAP1,Cluap1
DGKD,Dgkd
MED25,Med25
TMEM131,Tmem131
MEX3B,Mex3b
SNORA23,Snora23
TNFAIP8,Tnfaip8
MYPN,Mypn
TXLNG,Txlng
GPR75,Gpr75
ZNF768,Zfp768
EIF3F,Eif3f
IQCB1,Iqcb1
SPAST,Spast
HELLS,Hells
MPLKIP,Mplkip
NFATC4,Nfatc4
CASP6,Casp6
ZBTB37,Zbtb37
AP3B1,Ap3b1
ARID1A,Arid1a
RNF216,Rnf216
PHLPP2,Phlpp2
CDKN3,Cdkn3
DND1,Dnd1
NR4A1,Nr4a1
EEF1E1,Eef1e1
SEC14L5,Sec14l5
TDO2,Tdo2
OR51D1,Or51d1
OR4D11,Or4d11
OR8B8,Or8b8
KIAA0232,D5Ertd579e
HEPHL1,Hephl1
TBX6,Tbx6
CDK15,Cdk15
UQCC2,Uqcc2
FOXA3,Foxa3
PCGF6,Pcgf6
SPOCK2,Spock2
MITF,Mitf
MAP3K6,Map3k6
SNORD51,Gm26457
ELOVL7,Elovl7
RELA,Rela
ANKS1A,Anks1
NBEAL2,Nbeal2
ADO,Ado
MYBPC2,Mybpc2
YWHAG,Ywhag
GALR1,Galr1
SHKBP1,Shkbp1
SNAI1,Snai1
KCNQ3,Kcnq3
LUM,Lum
DAW1,Daw1
SNRPB2,Snrpb2
SLC17A2,Slc17a2
FKTN,Fktn
SKIL,Skil
MKRN1,Mkrn1
POLR1B,Polr1b
CALHM2,Calhm2
PTRHD1,Ptrhd1
RIPK4,Ripk4
LRRC30,Lrrc30
WRAP73,Wrap73
LGI4,Lgi4
EBAG9,Ebag9
DPY19L3,Dpy19l3
TRIM26,Trim26
CCDC90B,Ccdc90b
ABHD4,Abhd4
QTRT1,Qtrt1
TRAF6,Traf6
POSTN,Postn
MIF,Mif
HIPK4,Hipk4
GNB1,Gnb1
CEP170,Cep170
FIBCD1,Fibcd1
NRXN2,Nrxn2
PCOLCE2,Pcolce2
OR4D10,Or4d10
FER1L6,Fer1l6
ING1,Ing1
CAMTA2,Camta2
TEAD1,Tead1
CMTR1,Cmtr1
BRD7,Brd7
MRPS25,Mrps25
MARVELD2,Marveld2
DBX1,Dbx1
SNORA41,Snora41
ADAMTS3,Adamts3
SEC24D,Sec24d
IFT46,Ift46
CHRM5,Chrm5
ESYT2,Esyt2
TRIL,Tril
TSPAN17,Tspan17
KRT27,Krt27
SARDH,Sardh
SOX7,Sox7
NALF1,Nalf1
CDAN1,Cdan1
BBS1,Bbs1
ATP5F1D,Atp5f1d
MATN2,Matn2
GALNT11,Galnt11
CYRIB,Cyrib
XPO5,Xpo5
NEUROG1,Neurog1
OTUD4,Otud4
BVES,Bves
CCDC124,Ccdc124
CHMP4C,Chmp4c
PHF14,Phf14
ATP8B1,Atp8b1
VPS37A,Vps37a
AXIN1,Axin1
HINT2,Hint2
SQSTM1,Sqstm1
SUPV3L1,Supv3l1
SH3BGRL,Sh3bgrl
MFSD6,Mfsd6
THEM6,Them6
MYO1H,Myo1h
PHLDB1,Phldb1
DTL,Dtl
YOD1,Yod1
ABHD8,Abhd8
XRN1,Xrn1
ABCC8,Abcc8
STIM2,Stim2
LNX1,Lnx1
CLRN1,Clrn1
COL16A1,Col16a1
S1PR1,S1pr1
DAZL,Dazl
B4GALT1,B4galt1
CEP57,Cep57
OR4E1,Or4e1
CEP290,Cep290
CCNT2,Ccnt2
PANK4,Pank4
WDR55,Wdr55
PRKD2,Prkd2
MIR708,Mir708
NOTUM,Notum
HMCN1,Hmcn1
FSHR,Fshr
NHS,Nhs
EML4,Eml4
ERI3,Eri3
MCHR1,Mchr1
MTF1,Mtf1
SLC35A4,Slc35a4
POP5,Pop5
SNX27,Snx27
SLC6A9,Slc6a9
SLC36A4,Slc36a4
TMF1,Tmf1
MFAP4,Mfap4
IGDCC4,Igdcc4
MIER3,Mier3
STIM1,Stim1
AASS,Aass
RUSC2,Rusc2
APAF1,Apaf1
SAG,Sag
MTMR12,Mtmr12
CLDN18,Cldn18
FGF16,Fgf16
AGPAT1,Agpat1
DNAJC18,Dnajc18
OR10A4,Or10a4
TIGD2,Tigd2
SIDT2,Sidt2
DNPEP,Dnpep
SLC7A1,Slc7a1
TMEM204,Tmem204
TSC1,Tsc1
FHOD3,Fhod3
SH2B1,Sh2b1
CIAO3,Ciao3
EIF2B5,Eif2b5
HEBP1,Hebp1
UNC45A,Unc45a
LYN,Lyn
DUOX1,Duox1
NEK8,Nek8
EXOSC8,Exosc8
AGBL5,Agbl5
CRHBP,Crhbp
TTC14,Ttc14
EIF2AK3,Eif2ak3
ABI2,Abi2
FAM3C,Fam3c
YPEL1,Ypel1
MALT1,Malt1
EPHA1,Epha1
PDZD8,Pdzd8
LMAN2L,Lman2l
UROC1,Uroc1
EPAS1,Epas1
SLC7A2,Slc7a2
TUT4,Tut4
ATG12,Atg12
TMEM64,Tmem64
ATOH8,Atoh8
PHF19,Phf19
PDGFC,Pdgfc
PPP1R13B,Ppp1r13b
PSMD13,Psmd13
HIVEP2,Hivep2
CABP2,Cabp2
SLC1A7,Slc1a7
SESN1,Sesn1
RABGEF1,Rabgef1
CACYBP,Cacybp
ITFG2,Itfg2
ASB15,Asb15
DEPTOR,Deptor
MXD1,Mxd1
SLC16A9,Slc16a9
ALK,Alk
ABCA4,Abca4
OTOR,Otor
TBC1D21,Tbc1d21
P2RY6,P2ry6
AP5S1,Ap5s1
PMP22,Pmp22
OR51I2,Or51i2
AP4M1,Ap4m1
SECISBP2L,Secisbp2l
AIFM1,Aifm1
SNX15,Snx15
