human gene name,pig gene name
ODF1,ODF1
SLAIN2,SLAIN2
EVA1B,EVA1B
SDHA,SDHA
KRR1,KRR1
CCND1,CCND1
GNMT,GNMT
KLC4,KLC4
VCP,VCP
SLC25A22,SLC25A22
IRX1,IRX1
FCHSD2,FCHSD2
ATP6V1D,ATP6V1D
SNX27,SNX27
RAB27A,RAB27A
NOTUM,NOTUM
NFATC4,NFATC4
GATM,GATM
CSRNP2,CSRNP2
HNF1B,HNF1B
LRRC57,LRRC57
GUCD1,GUCD1
MOB3C,MOB3C
TGFBR1,TGFBR1
NOC3L,NOC3L
SPTBN4,SPTBN4
ZBTB8A,ZBTB8A
ANKMY2,ANKMY2
POLB,POLB
SLC25A23,SLC25A23
CDKAL1,CDKAL1
ATXN1L,ATXN1L
IFT80,IFT80
GATA1,GATA1
SULF1,SULF1
ZNF367,ZNF367
NSMF,NSMF
RASSF3,RASSF3
TOP3B,TOP3B
ZBTB5,ZBTB5
ZFPM2,ZFPM2
SH2D1A,SH2D1A
ELL2,ELL2
ACAP1,ACAP1
ACER2,ACER2
ARID1B,ARID1B
CEP120,CEP120
UNC5B,UNC5B
FH,FH
STRBP,STRBP
HOXA10,HOXA10
PIKFYVE,PIKFYVE
NR3C2,NR3C2
POLR3E,POLR3E
LIMK2,LIMK2
E2F4,E2F4
PTF1A,PTF1A
KCTD20,KCTD20
MIR504,ssc-mir-504
KIF23,KIF23
PGD,PGD
MYH13,MYH13
SRXN1,SRXN1
AUP1,AUP1
NR1D2,NR1D2
ATP6V0A2,ATP6V0A2
SNX12,SNX12
ZNF462,ZNF462
MBD3,MBD3
POPDC3,POPDC3
MIR212,MIR212
HSPA14,HSPA14
DDX19B,DDX19B
ATP13A1,ATP13A1
KLHL18,KLHL18
E2F5,E2F5
DAPK3,DAPK3
SLC35F3,SLC35F3
CLDND1,CLDND1
H2BC1,H2BC1
SPECC1L,SPECC1L
TMEM255A,TMEM255A
MFHAS1,MFHAS1
GABRA6,GABRA6
RASGRP1,RASGRP1
CEP19,CEP19
SPCS3,SPCS3
FRS2,FRS2
SPRED1,SPRED1
TEK,TEK
TRMT11,TRMT11
MAK16,MAK16
GRAMD1B,GRAMD1B
TGDS,TGDS
COMMD4,COMMD4
ZNRD2,ZNRD2
PRICKLE1,PRICKLE1
CXCR4,CXCR4
MIR10A,MIR10A
CDYL2,CDYL2
SCAF4,SCAF4
PDZRN3,PDZRN3
NAB1,NAB1
CACNA2D1,CACNA2D1
RNF214,RNF214
GLTP,GLTP
OCRL,OCRL
ATP8B1,ATP8B1
DEF6,DEF6
FAM171A2,FAM171A2
CRLF1,CRLF1
GCC1,GCC1
SVOP,SVOP
SECISBP2L,SECISBP2L
SRRM1,SRRM1
EIF4B,EIF4B
DACT3,DACT3
HCFC2,HCFC2
NXPH3,NXPH3
SH3YL1,SH3YL1
SERTM2,SERTM2
MZT1,MZT1
NFIC,NFIC
PARP1,PARP1
SGCE,SGCE
NPTX2,NPTX2
LIN7B,LIN7B
ANKFY1,ANKFY1
ATP6V0D1,ATP6V0D1
RCN3,RCN3
ZC3H14,ZC3H14
CAMKV,CAMKV
CLK1,CLK1
PDK1,PDK1
PKN1,PKN1
PLCB4,PLCB4
TPR,TPR
CCT3,CCT3
RFX7,RFX7
SCN2B,SCN2B
SLC12A1,SLC12A1
COPG2,COPG2
NRTN,NRTN
M6PR,M6PR
PPP1R12A,PPP1R12A
UPK1B,UPK1B
DPM1,DPM1
HELT,HELT
HOXA7,HOXA7
CSNK1D,CSNK1D
BRI3,BRI3
MKNK2,MKNK2
CLRN1,CLRN1
CLRN2,CLRN2
PGF,PGF
DPP3,DPP3
INPP5F,INPP5F
ALDH1B1,ALDH1B1
ANO8,ANO8
NEK8,NEK8
MIR136,ssc-mir-136
GINS1,GINS1
POGLUT1,POGLUT1
MAP3K10,MAP3K10
CNNM1,CNNM1
CHTOP,CHTOP
HS6ST3,HS6ST3
MDH2,MDH2
CLCN3,CLCN3
IKBKB,IKBKB
ERO1A,ERO1A
DIS3,DIS3
MSC,MSC
TBC1D15,TBC1D15
RASGEF1B,RASGEF1B
ALDH1A2,ALDH1A2
RASL12,RASL12
HPGD,HPGD
RAB31,RAB31
RNF121,RNF121
ARFGAP2,ARFGAP2
GALNT16,GALNT16
ATP2C1,ATP2C1
PSEN2,PSEN2
UBR1,UBR1
SCAMP5,SCAMP5
VGLL2,VGLL2
SLC35F6,SLC35F6
CMC1,CMC1
APEX1,APEX1
ADCY4,ADCY4
RFC2,RFC2
STC1,STC1
SAP30BP,SAP30BP
PPARA,PPARA
TNR,TNR
ERBB3,ERBB3
USP1,USP1
IPO9,IPO9
KMT2E,KMT2E
STYX,STYX
PSMB4,PSMB4
MEIG1,MEIG1
KMT5A,KMT5A
ESRP2,ESRP2
ATP5ME,ATP5ME
NR4A1,NR4A1
ZNF131,ZNF131
LHFPL2,LHFPL2
RNF114,RNF114
SNORA63,SNORA63
WWP2,WWP2
DDOST,DDOST
DMXL2,DMXL2
ALG3,ALG3
SPTLC1,SPTLC1
SV2B,SV2B
OPHN1,OPHN1
BDH2,BDH2
TSPAN31,TSPAN31
CSTF2,CSTF2
LSM11,LSM11
RAPGEF2,RAPGEF2
METTL13,METTL13
MINK1,MINK1
NFATC2,NFATC2
BCS1L,BCS1L
DROSHA,DROSHA
NALF2,NALF2
C15orf61,C15orf61
ALDOB,ALDOB
UBTF,UBTF
MIR125B1,ssc-mir-125b-1
PRTG,PRTG
CSTPP1,CSTPP1
XKR6,XKR6
TOP2A,TOP2A
COL12A1,COL12A1
SSBP2,SSBP2
FHIP2A,FHIP2A
ANO3,ANO3
IMPDH1,IMPDH1
CACNB1,CACNB1
MARCHF2,MARCHF2
VAPB,VAPB
ETV1,ETV1
MAFK,MAFK
CREB3L2,CREB3L2
AMOT,AMOT
NEXN,NEXN
NELFA,NELFA
GAS1,GAS1
SMAD9,SMAD9
ACSL4,ACSL4
GALNT7,GALNT7
WTIP,WTIP
CHD7,CHD7
GABPA,GABPA
LIN28A,LIN28A
EIF4A2,EIF4A2
RNF4,RNF4
ATP2A1,ATP2A1
HOOK3,HOOK3
NPAS4,NPAS4
EXOSC8,EXOSC8
RSPH9,RSPH9
VEGFB,VEGFB
WWP1,WWP1
NDEL1,NDEL1
HACD3,HACD3
SNORD70B,SNORD70B
DAG1,DAG1
GTF2F1,GTF2F1
QKI,QKI
PARL,PARL
RUNX3,RUNX3
ADRA2A,ADRA2A
AFG3L2,AFG3L2
CCDC102A,CCDC102A
GIGYF1,GIGYF1
RINT1,RINT1
RBBP7,RBBP7
OTUD7B,OTUD7B
TOMT,TOMT
DEDD,DEDD
HSP90AA1,HSP90AA1
GPR139,GPR139
SNUPN,SNUPN
AMFR,AMFR
OTUD7A,OTUD7A
MAP3K5,MAP3K5
SYT1,SYT1
VARS1,VARS1
DDX42,DDX42
HMGXB4,HMGXB4
KDM3A,KDM3A
MAT2A,MAT2A
MKX,MKX
ZRANB2,ZRANB2
BGN,BGN
PHC1,PHC1
PWWP2A,PWWP2A
PAQR9,PAQR9
XPNPEP1,XPNPEP1
SNORA2B,SNORA2B
PRIM1,PRIM1
XYLT2,XYLT2
CNOT9,CNOT9
STK39,STK39
JPH1,JPH1
ATP6AP2,ATP6AP2
ATP6V0D2,ATP6V0D2
TMEM160,TMEM160
PKNOX1,PKNOX1
PLEKHB2,PLEKHB2
SYT6,SYT6
KLF13,KLF13
RTL6,RTL6
ARFGEF3,ARFGEF3
PCDHAC2,PCDHAC2
GRXCR1,GRXCR1
SYT11,SYT11
KRT5,KRT5
GPSM2,GPSM2
GLT8D2,GLT8D2
ACAP2,ACAP2
GATA4,GATA4
ZZZ3,ZZZ3
CIC,CIC
ANXA6,ANXA6
BBS7,BBS7
PHEX,PHEX
FN1,FN1
FRMD4A,FRMD4A
ARF4,ARF4
SNORD100,SNORD100
GNG10,GNG10
NOX4,NOX4
REM2,REM2
TUBA8,TUBA8
ATG4C,ATG4C
EVX1,EVX1
NDRG1,NDRG1
PHTF2,PHTF2
RNF144B,RNF144B
MIR186,ssc-mir-186
SCN5A,SCN5A
SLC6A7,SLC6A7
TMEM163,TMEM163
KCNE3,KCNE3
MYF5,MYF5
TMEM131,TMEM131
TGIF2,TGIF2
GTF2IRD1,GTF2IRD1
NFS1,NFS1
BCL9,BCL9
NAMPT,NAMPT
GTF3C4,GTF3C4
NMD3,NMD3
HERPUD2,HERPUD2
LINGO3,LINGO3
LMNA,LMNA
NME6,NME6
SLC8A2,SLC8A2
NRG3,NRG3
EPYC,EPYC
CXXC5,CXXC5
AMPD2,AMPD2
GSX2,GSX2
RUNDC3B,RUNDC3B
GARS1,GARS1
ZNF660,ZNF660
OTC,OTC
SLC35A1,SLC35A1
RMC1,RMC1
NUP160,NUP160
NPAS3,NPAS3
TPCN1,TPCN1
MGAT4A,MGAT4A
KLHL21,KLHL21
DICER1,DICER1
MIR26B,MIR26B
OSBPL7,OSBPL7
CIB4,CIB4
KLHL40,KLHL40
MAP3K13,MAP3K13
PPM1D,PPM1D
KCNK1,KCNK1
PEX16,PEX16
ADH5,ADH5
KIF20A,KIF20A
RAB11FIP4,RAB11FIP4
CDH9,CDH9
ADIPOR2,ADIPOR2
FAM117A,FAM117A
GPAT3,GPAT3
UNC13C,UNC13C
RNF185,RNF185
AUTS2,AUTS2
RAPGEF6,RAPGEF6
SSR1,SSR1
MYO5C,MYO5C
RBP7,RBP7
PLAA,PLAA
MORF4L1,MORF4L1
NYAP2,NYAP2
TBX21,TBX21
ZNF653,ZNF653
EED,EED
DUSP5,DUSP5
POLD1,POLD1
C1QTNF4,C1QTNF4
MYBL1,MYBL1
DNAJB12,DNAJB12
VPS13D,VPS13D
LYSET,LYSET
LGR4,LGR4
NIPAL3,NIPAL3
ALX4,ALX4
STAM2,STAM2
CAMK2G,CAMK2G
RNF167,RNF167
MED22,MED22
ZNF689,ZNF689
SH3PXD2A,SH3PXD2A
WDR70,WDR70
TSPAN33,TSPAN33
BAZ1A,BAZ1A
DOCK6,DOCK6
ARHGAP23,ARHGAP23
NUDT16L1,NUDT16L1
CASQ1,CASQ1
CACNA1F,CACNA1F
TRIM36,TRIM36
CRYZL1,CRYZL1
CLSTN2,CLSTN2
ANKRD63,ANKRD63
GINS3,GINS3
NAA35,NAA35
IFT172,IFT172
KRT85,KRT85
USP20,USP20
CGRRF1,CGRRF1
HSPA5,HSPA5
RSPO3,RSPO3
CPEB1,CPEB1
VTI1B,VTI1B
CARTPT,CARTPT
HGF,HGF
FAM91A1,FAM91A1
CASR,CASR
TNNI2,TNNI2
WDR3,WDR3
COL8A1,COL8A1
NANP,NANP
DENND5A,DENND5A
ERN1,ERN1
HDAC11,HDAC11
NOS1,NOS1
TGIF1,TGIF1
ATXN7L1,ATXN7L1
OLFM3,OLFM3
FLI1,FLI1
ATP8A2,ATP8A2
PMP2,PMP2
SLC38A7,SLC38A7
PPP1R14C,PPP1R14C
AIP,AIP
CAMK1D,CAMK1D
NAV2,NAV2
FNBP1,FNBP1
PGAM5,PGAM5
BTBD17,BTBD17
RIMS1,RIMS1
SLC35E3,SLC35E3
BCR,BCR
INTS2,INTS2
CLINT1,CLINT1
PANK1,PANK1
BTBD10,BTBD10
FEM1A,FEM1A
ZBTB10,ZBTB10
KCNQ2,KCNQ2
UNC5A,UNC5A
RAB1A,RAB1A
GHITM,GHITM
MIR101-1,ssc-mir-101-2
DGKD,DGKD
GMPPA,GMPPA
CSTF2T,CSTF2T
MSI2,MSI2
TBC1D25,TBC1D25
SGSM1,SGSM1
PEDS1,PEDS1
CPD,CPD
MTMR1,MTMR1
SMYD5,SMYD5
CACNA1B,CACNA1B
NRBP1,NRBP1
LMBR1L,LMBR1L
IVNS1ABP,IVNS1ABP
XYLT1,XYLT1
HOMER3,HOMER3
GRID2IP,GRID2IP
NFU1,NFU1
RASA3,RASA3
ZDHHC14,ZDHHC14
RNF14,RNF14
SLCO3A1,SLCO3A1
ABCA2,ABCA2
FBXL4,FBXL4
GPR137,GPR137
NADK2,NADK2
ST6GALNAC5,ST6GALNAC5
MICU1,MICU1
SENP8,SENP8
CNOT10,CNOT10
NUMB,NUMB
ADORA1,ADORA1
PTK2,PTK2
PPP4R2,PPP4R2
GPR180,GPR180
GABRP,GABRP
COLEC10,COLEC10
ACSL3,ACSL3
PPM1J,PPM1J
SLC4A7,SLC4A7
TRIP13,TRIP13
CWC27,CWC27
FAM120A,FAM120A
MAFA,MAFA
PSMD5,PSMD5
POLR2E,POLR2E
CBL,CBL
PXYLP1,PXYLP1
SBF2,SBF2
BAMBI,BAMBI
AGTPBP1,AGTPBP1
PLS1,PLS1
UBAP2L,UBAP2L
HRH3,HRH3
PLCXD2,PLCXD2
TBC1D8B,TBC1D8B
SPNS1,SPNS1
DUSP26,DUSP26
MAP4K1,MAP4K1
KLHL17,KLHL17
PRRT1,PRRT1
DCAF15,DCAF15
DDX55,DDX55
PAX2,PAX2
POLR1B,POLR1B
TLX2,TLX2
LMTK3,LMTK3
GRWD1,GRWD1
CHST7,CHST7
TMEM138,TMEM138
MIR99A,MIR99A
NEDD8,NEDD8
EPHB4,EPHB4
HDHD2,HDHD2
ITGA9,ITGA9
AQP3,AQP3
DARS1,DARS1
MGAT5B,MGAT5B
FKTN,FKTN
SMARCC2,SMARCC2
COPZ2,COPZ2
B3GAT2,B3GAT2
KCNQ3,KCNQ3
STAMBPL1,STAMBPL1
AMIGO1,AMIGO1
MED6,MED6
GPR137B,GPR137B
FMC1,FMC1
SCAPER,SCAPER
PGM2L1,PGM2L1
DENND4A,DENND4A
FES,FES
UBQLN1,UBQLN1
SEMA6B,SEMA6B
C1QTNF7,C1QTNF7
KCNN2,KCNN2
HMX2,HMX2
VPS51,VPS51
AP1M1,AP1M1
PRMT3,PRMT3
PON2,PON2
DPP8,DPP8
PPID,PPID
USP28,USP28
PTH1R,PTH1R
DOCK8,DOCK8
SMCO3,SMCO3
GPAT4,GPAT4
OMG,OMG
ZKSCAN8,ZKSCAN8
CELSR3,CELSR3
SMYD1,SMYD1
ATG2B,ATG2B
BTG2,BTG2
SREBF2,SREBF2
LPCAT4,LPCAT4
SEPTIN7,SEPTIN7
ALG9,ALG9
LAMB1,LAMB1
KIF4A,KIF4A
DPF1,DPF1
MIRLET7G,MIRLET7G
ABCB7,ABCB7
MIR99B,MIR99B
KCNIP3,KCNIP3
STOM,STOM
SNORD72,SNORD72
KSR1,KSR1
RAB11FIP2,RAB11FIP2
CMTM4,CMTM4
NUAK1,NUAK1
SPAST,SPAST
LRRC75A,LRRC75A
SNORA62,SNORA62
CDC16,CDC16
POLE2,POLE2
G3BP1,G3BP1
ABHD18,ABHD18
FAM184A,FAM184A
KCNC3,KCNC3
ENOX1,ENOX1
PCID2,PCID2
MEF2C,MEF2C
BRCC3,BRCC3
ZNF652,ZNF652
CUEDC2,CUEDC2
RAPGEF4,RAPGEF4
ANKRD49,ANKRD49
DESI2,DESI2
FNDC3A,FNDC3A
IRX3,IRX3
CIB1,CIB1
RHOH,RHOH
RAPGEF3,RAPGEF3
HTR1F,HTR1F
LMBRD1,LMBRD1
SPTBN2,SPTBN2
SRM,SRM
NAT8L,NAT8L
MIR214,ssc-mir-214
GTPBP1,GTPBP1
PHTF1,PHTF1
SLC35D1,SLC35D1
GDI2,GDI2
DTX4,DTX4
BCORL1,BCORL1
RPF1,RPF1
MYO5B,MYO5B
ALG6,ALG6
HECTD2,HECTD2
OPRK1,OPRK1
NPR3,NPR3
ZNF532,ZNF532
MIR30C2,ssc-mir-30c-2
NEMF,NEMF
QARS1,QARS1
PPFIA1,PPFIA1
PLD2,PLD2
HKDC1,HKDC1
EEPD1,EEPD1
GNAT2,GNAT2
COMMD9,COMMD9
PIGK,PIGK
RP9,RP9
SLC9A9,SLC9A9
DHX36,DHX36
FOXD1,FOXD1
USP37,USP37
CBLN3,CBLN3
HLTF,HLTF
PTPRK,PTPRK
NUDCD1,NUDCD1
SLC36A4,SLC36A4
BRAP,BRAP
SHMT2,SHMT2
COX17,COX17
C12orf75,C12orf75
PICK1,PICK1
TMEM88,TMEM88
SOST,SOST
XXYLT1,XXYLT1
MAG,MAG
HES7,HES7
ALG8,ALG8
QDPR,QDPR
TARS1,TARS1
NR4A3,NR4A3
RPH3A,RPH3A
ZBTB6,ZBTB6
AP4B1,AP4B1
BRD7,BRD7
ITK,ITK
POGLUT2,POGLUT2
ACTR5,ACTR5
NCKIPSD,NCKIPSD
VPS26B,VPS26B
SCN4A,SCN4A
HSPB7,HSPB7
DUSP15,DUSP15
LYPD1,LYPD1
PNN,PNN
RNF40,RNF40
TRIM72,TRIM72
COLGALT2,COLGALT2
MARK3,MARK3
PHKA2,PHKA2
RNPC3,RNPC3
CACFD1,CACFD1
ZBTB33,ZBTB33
YAF2,YAF2
RBM3,RBM3
LINGO4,LINGO4
LARP6,LARP6
MIR139,MIR139
SH2B1,SH2B1
INTS8,INTS8
UTP4,UTP4
TMEM94,TMEM94
MYOD1,MYOD1
APIP,APIP
GREB1L,GREB1L
ZW10,ZW10
ATP6V0A1,ATP6V0A1
PDXP,PDXP
MRPL15,MRPL15
PCGF6,PCGF6
WDFY1,WDFY1
ORC4,ORC4
TSSK2,TSSK2
ARHGEF6,ARHGEF6
DHX29,DHX29
ZIC4,ZIC4
ATRX,ATRX
UBE4B,UBE4B
DAPP1,DAPP1
LAMP5,LAMP5
ZNF48,ZNF48
CDYL,CDYL
ZBTB44,ZBTB44
MYZAP,MYZAP
SLC7A5,SLC7A5
KIFBP,KIFBP
EXOC3,EXOC3
CLCN7,CLCN7
BCL6B,BCL6B
PDGFB,PDGFB
BMP2,BMP2
TYRO3,TYRO3
STK3,STK3
SREK1IP1,SREK1IP1
SERF1A,SERF1A
ABHD17A,ABHD17A
CCDC91,CCDC91
ATR,ATR
KCNQ5,KCNQ5
XKRX,XKRX
TMEM165,TMEM165
EIF3G,EIF3G
CPNE1,CPNE1
MYH6,MYH6
WBP1L,WBP1L
EIF4EBP3,EIF4EBP3
RAB3C,RAB3C
HACD4,HACD4
ATG4D,ATG4D
DMGDH,DMGDH
CRTC1,CRTC1
HAPLN2,HAPLN2
ZMAT5,ZMAT5
TMEM250,TMEM250
CALR,CALR
COL1A2,COL1A2
KBTBD3,KBTBD3
SEPTIN6,SEPTIN6
PPIB,PPIB
TBCA,TBCA
GPR75,GPR75
GATA6,GATA6
KRT71,KRT71
LFNG,LFNG
SLC6A13,SLC6A13
PRICKLE2,PRICKLE2
FGFR4,FGFR4
BMPER,BMPER
CYP2R1,CYP2R1
CRTC2,CRTC2
HSPB6,HSPB6
SLC1A3,SLC1A3
MPP3,MPP3
GLDC,GLDC
TIMM50,TIMM50
TRIM63,TRIM63
WDR91,WDR91
LRRN3,LRRN3
PFKFB3,PFKFB3
UCK1,UCK1
NACC1,NACC1
HOXB13,HOXB13
HSPA12B,HSPA12B
SLC35C2,SLC35C2
PAIP2B,PAIP2B
TTC7B,TTC7B
GSPT2,GSPT2
OIT3,OIT3
IFT81,IFT81
HSP90AB1,HSP90AB1
DYSF,DYSF
PDCD7,PDCD7
PCSK6,PCSK6
TMEM200B,TMEM200B
EPB41L4B,EPB41L4B
CDK10,CDK10
WDR48,WDR48
WWOX,WWOX
DPM3,DPM3
ARF5,ARF5
MIRLET7A1,ssc-let-7a-2
PDX1,PDX1
RAB3IP,RAB3IP
ADAMTS15,ADAMTS15
CAMTA1,CAMTA1
DLK2,DLK2
SHANK1,SHANK1
MAGED1,MAGED1
CACHD1,CACHD1
FCHO1,FCHO1
GRHL3,GRHL3
FOXK2,FOXK2
RB1,RB1
INAFM2,INAFM2
ZNF410,ZNF410
ZMYND8,ZMYND8
CCDC22,CCDC22
TOX,TOX
GPBP1L1,GPBP1L1
MTMR14,MTMR14
EFEMP1,EFEMP1
MMP15,MMP15
GPATCH8,GPATCH8
CDC123,CDC123
TMTC2,TMTC2
DPF3,DPF3
PDE1B,PDE1B
KTN1,KTN1
CTPS2,CTPS2
SOX7,SOX7
DPY19L3,DPY19L3
SLC24A2,SLC24A2
AICDA,AICDA
KDM5B,KDM5B
DLL4,DLL4
UST,UST
KCNJ16,KCNJ16
E2F6,E2F6
DCBLD2,DCBLD2
PARD3,PARD3
ADGRB1,ADGRB1
TERB2,TERB2
MIR96,ssc-mir-96
PRR16,PRR16
R3HDM1,R3HDM1
RBBP6,RBBP6
PAPOLA,PAPOLA
FOXF2,FOXF2
XRN2,XRN2
FRMD4B,FRMD4B
NAV3,NAV3
ZNF184,ZNF184
SYT4,SYT4
EDEM2,EDEM2
MIR101-2,ssc-mir-101-1
CRLF3,CRLF3
EPC1,EPC1
ITGA10,ITGA10
PRPF40A,PRPF40A
ELMO3,ELMO3
SMOX,SMOX
PGBD5,PGBD5
SLC25A42,SLC25A42
PKD2,PKD2
DENND6A,DENND6A
BRIX1,BRIX1
EFL1,EFL1
PSME2,PSME2
TMC1,TMC1
SRSF4,SRSF4
NRBP2,NRBP2
GCH1,GCH1
OSBPL10,OSBPL10
C11orf68,C11orf68
EXOSC6,EXOSC6
EIF2AK4,EIF2AK4
SCAMP3,SCAMP3
DUSP1,DUSP1
RAB43,RAB43
HTR1B,HTR1B
POC1A,POC1A
RBM12,RBM12
RAB3D,RAB3D
KAT7,KAT7
EEF1AKMT3,EEF1AKMT3
KDM7A,KDM7A
CAP1,CAP1
RPIA,RPIA
NGF,NGF
KCTD11,KCTD11
OPLAH,OPLAH
ATAT1,ATAT1
RCC1,RCC1
DOCK1,DOCK1
TRIM37,TRIM37
KLHL1,KLHL1
NTNG1,NTNG1
SHTN1,SHTN1
DDX1,DDX1
SERTAD4,SERTAD4
SEMA4C,SEMA4C
NUDCD2,NUDCD2
UGGT1,UGGT1
CALHM1,CALHM1
TBX4,TBX4
WDR86,WDR86
PTBP3,PTBP3
LRRC10,LRRC10
MIR148B,MIR148B
LBH,LBH
COMMD3,COMMD3
TYW5,TYW5
KLF10,KLF10
GABRR2,GABRR2
DPH5,DPH5
SNORD24,SNORD24
COMP,COMP
SLC7A11,SLC7A11
RCBTB2,RCBTB2
PRELP,PRELP
PEX12,PEX12
ZFP36L1,ZFP36L1
SETD1A,SETD1A
ATP9B,ATP9B
ZNF383,ZNF383
SLC18A2,SLC18A2
SLC7A10,SLC7A10
EN1,EN1
FSCN1,FSCN1
PPP2R2B,PPP2R2B
DDIT4,DDIT4
FNIP1,FNIP1
ANKRD44,ANKRD44
JARID2,JARID2
PRDX6,PRDX6
SOCS4,SOCS4
ZC3H12B,ZC3H12B
MARCHF4,MARCHF4
PLEKHA1,PLEKHA1
QTRT1,QTRT1
CLEC16A,CLEC16A
ATP1A2,ATP1A2
GABRA2,GABRA2
DCAF6,DCAF6
PDPR,PDPR
TMF1,TMF1
TFDP1,TFDP1
N4BP3,N4BP3
ZFAND1,ZFAND1
GSN,GSN
GALNT13,GALNT13
UTP11,UTP11
WDFY2,WDFY2
IPPK,IPPK
NOTCH3,NOTCH3
PDLIM3,PDLIM3
TCF4,TCF4
CDKL1,CDKL1
PCBP3,PCBP3
NAPA,NAPA
NKAP,NKAP
TTC39A,TTC39A
RRP9,RRP9
FERMT2,FERMT2
THOC1,THOC1
SNORD87,SNORD87
RHOBTB1,RHOBTB1
ZNF385A,ZNF385A
UBE2J2,UBE2J2
APBB3,APBB3
EHMT2,EHMT2
PLOD3,PLOD3
THSD7A,THSD7A
KCNB2,KCNB2
TRAK1,TRAK1
PIM2,PIM2
APPL2,APPL2
CHMP4A,CHMP4A
CHRNB1,CHRNB1
SEZ6L2,SEZ6L2
MKNK1,MKNK1
STK32B,STK32B
MNT,MNT
BACH2,BACH2
SEC24C,SEC24C
GRPR,GRPR
FIZ1,FIZ1
WLS,WLS
PTK7,PTK7
EPHA10,EPHA10
SMIM30,SMIM30
IGFBP7,IGFBP7
FZD8,FZD8
PMEPA1,PMEPA1
MIR383,ssc-mir-383
LRRC8B,LRRC8B
PAM,PAM
PBRM1,PBRM1
TCERG1,TCERG1
MMP2,MMP2
SLC6A15,SLC6A15
ITFG1,ITFG1
ZC3H12C,ZC3H12C
RPL38,RPL38
ERGIC2,ERGIC2
NFATC3,NFATC3
FKBP10,FKBP10
PRDM10,PRDM10
WSB2,WSB2
SMIM32,SMIM32
PIGP,PIGP
SNORD21,SNORD21
UBIAD1,UBIAD1
PRSS23,PRSS23
ADAT2,ADAT2
SLC6A2,SLC6A2
TMEM215,TMEM215
TMED9,TMED9
ASB11,ASB11
ZNF219,ZNF219
DLG4,DLG4
ALAS2,ALAS2
RTCA,RTCA
COPE,COPE
TMSB4Y,TMSB4X
TMEM8B,TMEM8B
PYCR2,PYCR2
SV2C,SV2C
TBX1,TBX1
PRKAR1B,PRKAR1B
NKAPD1,NKAPD1
DCHS1,DCHS1
DGKG,DGKG
SEC24D,SEC24D
FOXD2,FOXD2
ZCCHC3,ZCCHC3
CRHBP,CRHBP
DDX25,DDX25
ALOX5,ALOX5
R3HDM2,R3HDM2
NKX6-3,NKX6-3
SSX2IP,SSX2IP
ECE2,ECE2
ASAP2,ASAP2
TNK2,TNK2
STAT6,STAT6
SNORD65,SNORD65
FOXB2,FOXB2
LMAN2,LMAN2
RUNDC1,RUNDC1
PACS2,PACS2
SYTL4,SYTL4
FGFR2,FGFR2
SAMD14,SAMD14
HMGCR,HMGCR
MIR193B,MIR193B
GRIN3A,GRIN3A
SLC16A2,SLC16A2
USP38,USP38
TMEM179,TMEM179
ANGPT2,ANGPT2
CCDC43,CCDC43
PDE10A,PDE10A
PPARD,PPARD
FAM53C,FAM53C
TOPORS,TOPORS
CCN2,CCN2
GALR1,GALR1
DMRT3,DMRT3
PLA2G12A,PLA2G12A
GTF2H3,GTF2H3
TRIM13,TRIM13
CCNB1IP1,CCNB1IP1
KCNH4,KCNH4
DGKH,DGKH
PAPPA,PAPPA
SYK,SYK
C2CD5,C2CD5
PLD1,PLD1
ATP5F1C,ATP5F1C
NOP56,NOP56
EEF1E1,EEF1E1
ATP5MK,ATP5MK
ASPHD2,ASPHD2
CCDC177,CCDC177
CCAR2,CCAR2
MYO10,MYO10
GPR162,GPR162
LPAR4,LPAR4
RP2,RP2
ABCB9,ABCB9
SERINC1,SERINC1
GPR83,GPR83
SNORD111B,SNORD111B
BCL2,BCL2
WFIKKN2,WFIKKN2
GNPDA1,GNPDA1
ZMAT3,ZMAT3
CCNYL1,CCNYL1
WDR35,WDR35
ZNF777,ZNF777
ZNF182,ZNF182
NAA30,NAA30
TMEM87A,TMEM87A
ADAM22,ADAM22
BBX,BBX
P3H2,P3H2
SUSD6,SUSD6
RNF123,RNF123
ITGA5,ITGA5
MIR708,ssc-mir-708
ANKS6,ANKS6
CARD11,CARD11
ARID4A,ARID4A
SERPINB5,SERPINB5
PRMT6,PRMT6
RNF187,RNF187
OSBPL3,OSBPL3
DTNA,DTNA
FIBCD1,FIBCD1
ARHGAP26,ARHGAP26
KCNA7,KCNA7
CCR4,CCR4
SNORD18B,SNORD18
CNPY3,CNPY3
APLNR,APLNR
VIM,VIM
DSP,DSP
NT5C1A,NT5C1A
ROR2,ROR2
SKP2,SKP2
DPP10,DPP10
PLD3,PLD3
ZNF292,ZNF292
FOXN2,FOXN2
CDKN2AIP,CDKN2AIP
SLC1A7,SLC1A7
GSTA4,GSTA4
ARL10,ARL10
PFKFB4,PFKFB4
VEGFA,VEGFA
FBXO9,FBXO9
PREX1,PREX1
SNORD127,SNORD127
FSHB,FSHB
CCNG2,CCNG2
BROX,BROX
CNEP1R1,CNEP1R1
RHBDF1,RHBDF1
HDAC4,HDAC4
GAD1,GAD1
GABRR1,GABRR1
SLC37A4,SLC37A4
PCDH20,PCDH20
GPI,GPI
PYGL,PYGL
CDH4,CDH4
ACP2,ACP2
FBXO30,FBXO30
