crab_eating_macaque gene name,rhesus_macaque gene name
SRPX,SRPX
SMC1A,SMC1A
RAB14,RAB14
INTS2,INTS2
MIR221,mml-mir-221
DNAAF6,DNAAF6
TAOK2,TAOK2
SERPINB7,SERPINB7
TMEM204,TMEM204
RIBC1,RIBC1
SPINT2,SPINT2
NCBP2L,NCBP2L
SPIB,SPIB
ZCCHC12,ZCCHC12
ZC3H12B,ZC3H12B
RP2,RP2
ATG4A,ATG4A
KDSR,KDSR
RAB33A,RAB33A
MIR223,mml-mir-223
UPF3B,UPF3B
PHF19,PHF19
GPR119,GPR119
RBMX2,RBMX2
FBXW2,FBXW2
SNORD88A,SNORD88A
RELCH,RELCH
CDIPT,CDIPT
RPL39,RPL39
EFNB2,EFNB2
ARGLU1,ARGLU1
OPHN1,OPHN1
CLEC16A,CLEC16A
NDUFA1,NDUFA1
AKAP14,AKAP14
SNORA78,SNORA78
RNF151,RNF151
NKAP,NKAP
SNORD88B,SNORD88B
XPNPEP2,XPNPEP2
SNORD88C,SNORD88C
ZBTB33,ZBTB33
TMEM255A,TMEM255A
ZNF48,ZNF48
SNORA80C,SNORA80C
RAB41,RAB41
RPL28,RPL28
RNF152,RNF152
ZNF768,ZNF768
MIR676,mml-mir-676-1
AWAT2,AWAT2
PRM2,PRM2
PHF8,PHF8
KLK9,KLK9
AWAT1,AWAT1
BRINP1,BRINP1
ARR3,ARR3
C1GALT1C1,C1GALT1C1
TAT,TAT
RAP2C,RAP2C
AP1G1,AP1G1
MIR98,mml-mir-98
MIRLET7F2,mml-let-7f-2
SNORD71,SNORD71
JOSD2,JOSD2
NXT2,NXT2
TRIM32,TRIM32
SNN,SNN
ACSL4,ACSL4
ZNF581,ZNF581
CCDC106,CCDC106
TNFRSF17,TNFRSF17
RSPRY1,RSPRY1
CHST4,CHST4
MIR652,mml-mir-652
ING1,ING1
TLE7,TLE7
CHRDL1,CHRDL1
ZC3H7A,ZC3H7A
ZNF583,ZNF583
PAK3,PAK3
CMTR2,CMTR2
CAPN6,CAPN6
CDYL2,CDYL2
NIP7,NIP7
DCX,DCX
ARHGEF7,ARHGEF7
MIR20B,mml-mir-20b
SNORA11G,SNORA11G
EDDM13,EDDM13
GPC4,GPC4
CYB5B,CYB5B
TEX53,TEX53
DGAT2L6,DGAT2L6
ATP6V1G1,ATP6V1G1
MIR363,MIR363
TRPC5,TRPC5
MIR92A2,mml-mir-92a-2
MIR19B2,mml-mir-19b-2
MIR542,mml-mir-542
TRPC5OS,TRPC5OS
CCDC160,CCDC160
SMIM17,SMIM17
PEG3,PEG3
SF3B3,SF3B3
RLIM,RLIM
MIR365A,MIR365A
MIR450B,mml-mir-450b
SNORA35,SNORA35
MIR450A1,mml-mir-450a-1
MIR505,mml-mir-505
MIR1264,MIR1264
MIR450A2,mml-mir-450a-2
SRP68,SRP68
ARAF,ARAF
MIR140,mml-mir-140
MIR424,MIR424
GALR2,GALR2
SNORD111B,SNORD111B
MIR193B,mml-mir-193b
CCL17,CCL17
ZNF157,ZNF157
SNORA11C,SNORA11C
EIF3K,EIF3K
MAGEH1,MAGEH1
EXOC7,EXOC7
ST3GAL2,ST3GAL2
SDR42E1,SDR42E1
MAGEC2,MAGEC2
USB1,USB1
PRRG3,PRRG3
FATE1,FATE1
CFAP20,CFAP20
ZNF81,ZNF81
RNF157,RNF157
MIR224,mml-mir-224
MIR452,MIR452
MAGEA10,MAGEA10
GABRA3,GABRA3
PBDC1,PBDC1
MAGT1,MAGT1
SLITRK2,SLITRK2
UXT,UXT
MIR891B,mml-mir-891a
MIR105-1,mml-mir-105-1
MIR767,mml-mir-767
ZNF449,ZNF449
MIR105-2,mml-mir-105-2
NLGN3,NLGN3
RGS3,RGS3
PRSS54,PRSS54
GJB1,GJB1
MMGT1,MMGT1
ITGB1BP2,ITGB1BP2
COTL1,COTL1
MRPS12,MRPS12
TAF1,TAF1
PRCD,PRCD
SNORD1C,SNORD1C
MTCP1,MTCP1
SNORD1A,SNORD1A
KIAA0513,KIAA0513
LPAR4,LPAR4
SNORA46,SNORA46
SNORA50A,SNORA50A
GPR174,GPR174
SLC38A7,SLC38A7
JMJD6,JMJD6
RAB39B,RAB39B
SAMD4B,SAMD4B
ACP7,ACP7
TENT5D,TENT5D
MIR934,mml-mir-934
SPRY3,SPRY3
BGN,BGN
TIMP1,TIMP1
CIBAR2,CIBAR2
ERAS,ERAS
RBMX,RBMX
PQBP1,PQBP1
GPR101,GPR101
ZCCHC13,ZCCHC13
POU3F4,POU3F4
PAF1,PAF1
MIR504,mml-mir-504
F9,F9
PIM2,PIM2
CLEC3A,CLEC3A
CFDP1,CFDP1
TFE3,TFE3
CHIC1,CHIC1
MIR374B,mml-mir-374b
GABARAPL2,GABARAPL2
MIR545,mml-mir-545
MIR374A,mml-mir-374a
WDR45,WDR45
KARS1,KARS1
SUPT5H,SUPT5H
EID2B,EID2B
NUDT7,NUDT7
MECP2,MECP2
VAT1L,VAT1L
OGT,OGT
TKTL1,TKTL1
PAGE4,PAGE4
USP27X,USP27X
MIR532,mml-mir-532
MIR188,mml-mir-188
PADI6,PADI6
PGBD2,PGBD2
AK4,AK4
DHX36,DHX36
CTTNBP2NL,CTTNBP2NL
MIR101-1,mml-mir-101-1
GJA5,GJA5
BLZF1,BLZF1
SH2D1B,SH2D1B
MSL2,MSL2
JAK1,JAK1
GATAD2B,GATAD2B
ACP6,ACP6
WDR3,WDR3
KCND3,KCND3
FANCD2OS,FANCD2OS
BRK1,BRK1
BCL9,BCL9
C3orf22,C2H3orf22
KIAA0040,KIAA0040
VHL,VHL
NMNAT2,NMNAT2
YOD1,YOD1
INTS3,INTS3
MME,MME
PADI1,PADI1
MAN1A2,MAN1A2
RAP1A,RAP1A
STRIT1,STRIT1
SYT11,SYT11
DPH3,DPH3
PADI2,PADI2
ROR1,ROR1
DIO1,DIO1
SELL,SELL
KHDC4,KHDC4
SNORA80E,SNORA80E
SEC62,SEC62
RIT1,RIT1
METTL18,METTL18
SNAPIN,SNAPIN
FIRRM,FIRRM
SEC13,SEC13
TGFBR2,TGFBR2
CHTOP,CHTOP
COX20,COX20
STAG1,STAG1
GPR160,GPR160
MFAP2,MFAP2
CSMD3,CSMD3
ZFHX4,ZFHX4
PEAK1,PEAK1
FBN1,FBN1
ATRNL1,ATRNL1
CARMIL3,CARMIL3
TENM1,TENM1
ITPR2,ITPR2
MYO9A,MYO9A
SUCO,SUCO
ZNF462,ZNF462
SMARCC2,SMARCC2
FN1,FN1
PHKA2,PHKA2
NAV2,NAV2
HIVEP2,HIVEP2
AP3D1,AP3D1
GLG1,GLG1
NAV3,NAV3
DNHD1,DNHD1
PCNX1,PCNX1
FAT3,FAT3
SPECC1L,SPECC1L
RET,RET
MYO7A,MYO7A
UNC13C,UNC13C
ASCC3,ASCC3
YLPM1,YLPM1
DNAH1,DNAH1
DNAH6,DNAH6
ATG2B,ATG2B
MYOF,MYOF
SLC12A3,SLC12A3
CKAP5,CKAP5
KAT6A,KAT6A
RNF40,RNF40
SCN3A,SCN3A
JMY,JMY
SCUBE1,SCUBE1
EML6,EML6
HELZ,HELZ
FGD1,FGD1
ZNFX1,ZNFX1
PLXNA4,PLXNA4
MYO5A,MYO5A
SH3PXD2B,SH3PXD2B
EPS15,EPS15
TRPC6,TRPC6
TMEM8B,TMEM8B
PRKD1,PRKD1
C4orf54,C5H4orf54
CBL,CBL
TET3,TET3
INTS6L,INTS6L
ARFGEF2,ARFGEF2
TYRO3,TYRO3
HELLS,HELLS
KDM3B,KDM3B
IFT172,IFT172
MARF1,MARF1
MBD5,MBD5
RADX,RADX
XRN1,XRN1
ABCA3,ABCA3
CLTC,CLTC
MAGED1,MAGED1
STRIP2,STRIP2
EIF4G3,EIF4G3
ATRX,ATRX
RYR2,RYR2
ADAM17,ADAM17
TRPM1,TRPM1
ABCA5,ABCA5
PIK3C2B,PIK3C2B
CHAMP1,CHAMP1
ALK,ALK
GRAMD1A,GRAMD1A
OSBP,OSBP
RAD54L2,RAD54L2
RPS6KA5,RPS6KA5
TAF5,TAF5
MARK1,MARK1
SF3A1,SF3A1
DCAF1,DCAF1
PTPN12,PTPN12
NR3C1,NR3C1
TCF4,TCF4
ARAP3,ARAP3
TOP2A,TOP2A
ADGRB3,ADGRB3
TRIM46,TRIM46
RUSC2,RUSC2
TLK2,TLK2
ARHGAP35,ARHGAP35
WDR7,WDR7
PRRC2B,PRRC2B
CD44,CD44
COL2A1,COL2A1
MID2,MID2
RPRD2,RPRD2
DDX17,DDX17
FBN2,FBN2
A2ML1,A2ML1
EEA1,EEA1
DCC,DCC
PTPRG,PTPRG
DYNC2H1,DYNC2H1
NSD3,NSD3
DSP,DSP
VPS8,VPS8
RNF169,RNF169
EDC4,EDC4
MEGF8,MEGF8
KIF15,KIF15
CNTNAP1,CNTNAP1
USP47,USP47
PPP1R9A,PPP1R9A
PLK2,PLK2
ZNF644,ZNF644
PHF21A,PHF21A
PIK3R4,PIK3R4
CENPE,CENPE
IBTK,IBTK
ZNF827,ZNF827
ACIN1,ACIN1
DNAH7,DNAH7
OS9,OS9
SCAF8,SCAF8
SOS2,SOS2
OTOF,OTOF
CCDC138,CCDC138
MACO1,MACO1
SALL1,SALL1
PODN,PODN
ABCB11,ABCB11
ZNF521,ZNF521
SMPD3,SMPD3
NRCAM,NRCAM
ERBB4,ERBB4
CNTNAP4,CNTNAP4
ACE,ACE
BRD7,BRD7
UBE2O,UBE2O
WEE1,WEE1
SMC4,SMC4
DENND4A,DENND4A
RLF,RLF
RALGAPA1,RALGAPA1
PLEKHA7,PLEKHA7
MTR,MTR
ARID4A,ARID4A
VPS13D,VPS13D
TAF2,TAF2
ANKS1B,ANKS1B
SKIC2,SKIC2
MTA3,MTA3
CAMTA2,CAMTA2
EDRF1,EDRF1
SLC7A3,SLC7A3
PRDM11,PRDM11
RUNDC1,RUNDC1
MAU2,MAU2
CHL1,CHL1
AGTPBP1,AGTPBP1
XRCC6,XRCC6
NR2C1,NR2C1
XPO5,XPO5
CDC23,CDC23
GALNT17,GALNT17
ZBTB38,ZBTB38
NET1,NET1
TDRD1,TDRD1
NOP56,NOP56
PUM1,PUM1
CILP,CILP
SPTBN1,SPTBN1
NBEA,NBEA
ATP11B,ATP11B
ZNF599,ZNF599
UBE3B,UBE3B
ALAS2,ALAS2
LMNB1,LMNB1
CATSPERG,CATSPERG
ACLY,ACLY
SHQ1,SHQ1
CARD11,CARD11
XPO4,XPO4
POLE,POLE
NCAPG2,NCAPG2
FUCA1,FUCA1
IFFO1,IFFO1
PDE3A,PDE3A
BTBD7,BTBD7
SLC4A5,SLC4A5
PCDH18,PCDH18
NCKAP1L,NCKAP1L
INPP5F,INPP5F
ZNF512,ZNF512
ZRANB3,ZRANB3
TEK,TEK
RAD21L1,RAD21L1
LRIG3,LRIG3
ADAMTS6,ADAMTS6
CAMTA1,CAMTA1
CORIN,CORIN
KCNH8,KCNH8
SHISA6,SHISA6
CCDC150,CCDC150
MYO1F,MYO1F
TRIM8,TRIM8
ADAMTSL4,ADAMTSL4
MLLT6,MLLT6
WDR64,WDR64
TTI1,TTI1
MLLT10,MLLT10
RIPK2,RIPK2
DAAM2,DAAM2
PTK7,PTK7
NEMF,NEMF
TECTA,TBCEL
LUZP1,LUZP1
SLC16A2,SLC16A2
XPO1,XPO1
DEPDC5,YWHAH
TET1,TET1
SEC16B,SEC16B
SLF1,SLF1
GEMIN4,GEMIN4
ZBTB11,ZBTB11
TRIM24,TRIM24
ZNF217,ZNF217
NPR2,NPR2
PSPC1,PSPC1
ZSCAN20,ZSCAN20
DAGLA,DAGLA
ERC2,ERC2
C15orf39,C7H15orf39
ZNF692,ZNF692
CREB3L1,CREB3L1
MFSD13A,MFSD13A
CRIM1,CRIM1
NCOA6,NCOA6
TDRD5,TDRD5
CELF1,CELF1
KIF17,DDOST
CNTN3,CNTN3
INO80D,INO80D
CYP4B1,CYP4B1
PSD,PSD
INTS5,INTS5
SNCAIP,SNCAIP
KCNH4,KCNH4
ADGRG2,ADGRG2
SCUBE3,SCUBE3
USP37,USP37
CYP2S1,CYP2S1
PRP4K,PRP4K
ARHGAP5,ARHGAP5
SEC23IP,SEC23IP
DSG3,DSG3
INA,INA
MCTP1,MCTP1
BNC1,BNC1
ZFC3H1,ZFC3H1
DOCK4,DOCK4
CEP120,CEP120
BMP1,BMP1
MYOCD,MYOCD
CHRNE,CHRNE
AMOTL1,AMOTL1
SLC4A9,SLC4A9
RALGAPA2,RALGAPA2
COG1,COG1
SYCP1,SYCP1
LPIN1,LPIN1
PTDSS2,PTDSS2
PTPN4,PTPN4
VPS18,VPS18
FBXO10,FBXO10
HERC1,HERC1
CHD9,CHD9
GANAB,GANAB
MAP3K13,MAP3K13
IREB2,IREB2
KIF5B,KIF5B
ATXN7L1,ATXN7L1
INTS7,INTS7
NR6A1,NR6A1
PAIP1,PAIP1
ENPEP,ENPEP
THBS3,THBS3
SLC25A24,SLC25A24
PCDH20,PCDH20
TRIM21,TRIM21
AP2B1,AP2B1
CNOT1,CNOT1
NYNRIN,NYNRIN
GRIK1,GRIK1
AP1B1,AP1B1
CADM1,CADM1
DNAH8,DNAH8
ACTN3,ACTN3
KDM7A,KDM7A
TEX11,TEX11
DDX42,DDX42
MAP3K12,MAP3K12
ERO1B,ERO1B
PDE11A,PDE11A
LPIN2,LPIN2
ANO6,ANO6
RBM12,CPNE1
MKNK2,MKNK2
DIS3L2,DIS3L2
NRP1,NRP1
SBF2,SBF2
MYO5B,MYO5B
PGAP1,PGAP1
COL9A1,COL9A1
BCLAF1,BCLAF1
SLC14A2,SLC14A2
SACS,SACS
HKDC1,HKDC1
HTR2C,HTR2C
CDH4,CDH4
USP20,USP20
KCNB2,KCNB2
IRF9,IRF9
RAD54B,RAD54B
CHMP7,CHMP7
TMC2,TMC2
CTNNA3,CTNNA3
PARP8,PARP8
MVP,MVP
ELP2,ELP2
NAA15,NAA15
TFAP2A,TFAP2A
TTLL6,TTLL6
KIF20A,KIF20A
CNTNAP2,CNTNAP2
PDE4A,PDE4A
TFAP2E,TFAP2E
ZC3H12C,ZC3H12C
NDST2,NDST2
FAAP100,FAAP100
ATR,ATR
DNM2,DNM2
MLXIPL,MLXIPL
DDX20,DDX20
MYSM1,MYSM1
KLHL29,KLHL29
SNX30,SNX30
HLCS,HLCS
SOBP,SOBP
NDST3,NDST3
ZHX1,ZHX1
MUSK,MUSK
PDCD6IP,PDCD6IP
EML3,EML3
E2F8,E2F8
TXNDC5,BLOC1S5
FOXB2,FOXB2
NPTX2,NPTX2
TRPC7,TRPC7
EIF5,EIF5
TGFBR3,TGFBR3
TTK,TTK
MPHOSPH8,MPHOSPH8
LRRC8D,LRRC8D
CHD1,CHD1
FANCB,FANCB
ZFHX2,ZFHX2
ELK1,ELK1
SYT13,SYT13
STAT2,STAT2
PYGL,PYGL
HDHD5,HDHD5
ALOXE3,ALOXE3
OTUD7B,OTUD7B
USP54,USP54
LRRK2,LRRK2
FYB1,FYB1
FAM91A1,FAM91A1
RNF19A,RNF19A
ATP6V0A1,ATP6V0A1
DUSP7,DUSP7
ATP6V0A4,ATP6V0A4
ADAMTS4,ADAMTS4
SLITRK4,SLITRK4
MSH5,MSH5
LOX,LOX
NEMP2,NEMP2
ADCY8,ADCY8
VEPH1,VEPH1
SIDT1,SIDT1
GPAM,GPAM
TFR2,TFR2
CDH16,CDH16
ALS2,ALS2
TXNDC16,TXNDC16
IHH,IHH
EXOC6,EXOC6
ATF6,ATF6
JAKMIP2,JAKMIP2
DNAH3,DNAH3
TEX13A,TEX13A
SLC35E1,SLC35E1
AVIL,AVIL
PCDHB1,PCDHB1
TGM1,TGM1
CLCN5,CLCN5
RABGAP1L,RABGAP1L
KCTD3,KCTD3
NCOR1,NCOR1
LRRC41,LRRC41
CEP85L,CEP85L
ZBTB49,ZBTB49
CEP78,CEP78
FGFR3,FGFR3
SRCAP,SRCAP
TLE1,TLE1
RSBN1,RSBN1
UBR5,UBR5
RRAGD,RRAGD
ITGB5,ITGB5
STRN3,STRN3
LRRC8E,LRRC8E
TACR2,TACR2
CDH6,CDH6
HID1,HID1
SUPV3L1,SUPV3L1
PCSK7,PCSK7
BRINP2,BRINP2
DNAJC16,DNAJC16
CTNNB1,CTNNB1
TBC1D23,TBC1D23
UGGT1,UGGT1
ARHGEF38,ARHGEF38
GFM2,GFM2
ANKEF1,ANKEF1
SEMA3E,SEMA3E
LONRF1,LONRF1
APEH,APEH
PGAP6,PGAP6
GFM1,GFM1
MAML2,MAML2
ABCB9,ABCB9
AP4B1,AP4B1
FHIP2A,FHIP2A
ITPR3,ITPR3
DYRK1A,DYRK1A
DDX27,DDX27
RALGAPB,RALGAPB
MYB,MYB
ZNF287,ZNF287
CUL4A,CUL4A
DACH1,DACH1
ABCA4,ABCA4
CCDC93,CCDC93
DUSP11,DUSP11
MAML3,MAML3
PWWP2A,PWWP2A
KLHL5,KLHL5
LOXL3,LOXL3
SEMA3C,SEMA3C
FOLH1,FOLH1
ATP7A,ATP7A
APBA2,APBA2
PHEX,PHEX
ZNF493,ZNF493
EZH1,EZH1
PAPOLG,PAPOLG
PKP1,PKP1
MEP1A,MEP1A
EXOC3L1,EXOC3L1
EXOC3,EXOC3
RPS6KA1,RPS6KA1
MAPK6,MAPK6
GRIN3A,GRIN3A
SV2A,SV2A
MFN1,MFN1
ZNF280C,ZNF280C
ZNF84,ZNF84
ZNF251,ZNF251
COL5A1,COL5A1
INTS10,INTS10
MKLN1,MKLN1
NOS1,NOS1
MCM5,MCM5
SYNE1,SYNE1
PTPRM,PTPRM
PHF6,PHF6
NRROS,NRROS
RNF19B,RNF19B
GPR149,GPR149
EPS8L2,EPS8L2
CCNT1,CCNT1
MRC1,MRC1
CCDC18,CCDC18
ADCY2,ADCY2
LNX1,LNX1
GPD2,GPD2
SV2C,SV2C
ADD2,ADD2
MAGI2,MAGI2
EEF2K,EEF2K
EXOC8,EXOC8
MED13,MED13
PIK3R1,PIK3R1
SARM1,SARM1
DECR1,DECR1
LRSAM1,LRSAM1
NFKBIE,NFKBIE
VSX2,VSX2
PRRC2A,PRRC2A
SETDB2,SETDB2
NAAA,NAAA
NUP160,NUP160
LRP2,LRP2
DPY19L3,DPY19L3
IKBKE,IKBKE
EPX,EPX
CALCOCO1,CALCOCO1
FRMD7,FRMD7
SLC12A8,SLC12A8
DLL4,DLL4
NGEF,NGEF
LPO,LPO
OTULINL,OTULINL
ZNF175,ZNF175
TMCC2,TMCC2
KIAA0232,KIAA0232
ITGA3,ITGA3
WDPCP,WDPCP
ZNF132,ZNF132
ESPL1,ESPL1
NLN,NLN
ASTE1,ASTE1
PIKFYVE,PIKFYVE
CFAP206,CFAP206
GYS2,GYS2
KIF27,KIF27
SCAPER,SCAPER
MST1R,MST1R
GLE1,GLE1
ZNF12,ZNF12
ZSCAN32,ZSCAN32
SBNO1,SBNO1
HMX1,HMX1
R3HDM2,R3HDM2
NALCN,NALCN
LMBRD2,LMBRD2
NUFIP2,NUFIP2
USP38,USP38
CNGA3,CNGA3
KIAA0408,KIAA0408
PEX16,PEX16
RTL9,RTL9
VIT,VIT
TAB2,TAB2
ZNF23,ZNF23
TRIM66,TRIM66
SLC28A3,SLC28A3
RELN,RELN
UGT2A1,UGT2A1
MET,MET
LNX2,LNX2
SCNN1G,SCNN1G
ZMYM2,ZMYM2
SLFN12L,SLFN12L
SZT2,SZT2
LRRCC1,LRRCC1
IL1RAP,IL1RAP
ALX3,ALX3
IL1RAPL2,IL1RAPL2
GPSM2,GPSM2
EPB41L4A,EPB41L4A
SETMAR,SETMAR
SPTY2D1,SPTY2D1
RNF103,RNF103
NPC1L1,NPC1L1
MCMDC2,MCMDC2
FOXP4,FOXP4
NOL4L,NOL4L
SLC20A1,SLC20A1
TNR,TNR
KTN1,KTN1
ODF2L,ODF2L
WDTC1,WDTC1
ROCK1,ROCK1
IFT81,IFT81
FNBP4,FNBP4
SLC25A37,SLC25A37
POLR1F,POLR1F
NDC1,NDC1
ZBTB16,ZBTB16
STRBP,STRBP
RIPK1,RIPK1
FAM169A,FAM169A
LCA5L,LCA5L
HPS3,HPS3
TNIP1,TNIP1
RAF1,RAF1
MIA3,MIA3
BFSP1,BFSP1
CNGA2,CNGA2
ARHGAP21,ARHGAP21
PADI3,PADI3
SLC26A7,SLC26A7
SENP2,SENP2
TAL1,PDZK1IP1
ELF4,ELF4
MROH7,MROH7
WDR26,WDR26
MTMR7,MTMR7
ILVBL,ILVBL
ZNF254,ZNF254
POMGNT1,POMGNT1
SCD5,SCD5
NEDD4,NEDD4
HAL,HAL
EDEM1,EDEM1
TMEM232,TMEM232
PTPRR,PTPRR
FBXO2,FBXO2
GREB1L,GREB1L
ABCD4,ABCD4
VGLL3,VGLL3
CHM,CHM
DENND4C,DENND4C
NEK9,NEK9
SLC20A2,SLC20A2
MAK,MAK
ZNF471,ZNF471
SPNS1,SPNS1
TREML2,TREML2
ZNF568,ZNF568
PPFIA1,PPFIA1
IPP,IPP
KNG1,KNG1
PCSK6,PCSK6
SH3TC2,SH3TC2
PDIA4,PDIA4
FBL,FBL
CACNB1,CACNB1
SLCO2A1,SLCO2A1
ASNSD1,ASNSD1
LYST,LYST
LCT,LCT
HECW1,HECW1
ASXL3,ASXL3
IVNS1ABP,IVNS1ABP
MCMBP,MCMBP
NDC80,NDC80
STXBP2,STXBP2
PLS3,PLS3
CUL9,CUL9
MYLK,MYLK
KLKB1,KLKB1
PRPS1,PRPS1
MTOR,MTOR
LCP1,LCP1
BORA,BORA
SPAG17,SPAG17
SULF2,SULF2
GALNT3,GALNT3
ZBTB22,ZBTB22
CEP350,CEP350
IRF5,IRF5
RFXANK,RFXANK
ZNF268,ZNF268
TBC1D9B,TBC1D9B
ADCK2,ADCK2
DCAF8L2,DCAF8L1
SAMHD1,SAMHD1
GRHL2,GRHL2
DHRS7C,DHRS7C
LRRIQ3,LRRIQ3
METRNL,METRNL
PCK1,PCK1
ZDHHC13,ZDHHC13
SLC24A4,SLC24A4
MMS22L,MMS22L
IMPG2,IMPG2
SRRM4,SRRM4
SLC1A7,SLC1A7
RASGRF2,RASGRF2
ZNF687,ZNF687
GLCE,GLCE
SLK,SLK
SLC23A3,SLC23A3
BRD8,BRD8
TRANK1,TRANK1
ZNF613,ZNF613
KRT3,KRT3
KDM5D,KDM5D
DMD,DMD
CCDC24,CCDC24
MIER3,MIER3
ZMIZ2,ZMIZ2
GPR37,GPR37
ZNF276,ZNF276
RGS22,RGS22
FBLN2,FBLN2
BTBD9,BTBD9
CROT,CROT
ARID2,ARID2
SLC5A10,SLC5A10
WDR20,WDR20
KBTBD3,KBTBD3
LTA4H,LTA4H
POU6F1,POU6F1
ADAMTS18,ADAMTS18
ZNF823,ZNF823
DNMT3A,DNMT3A
DENND6A,DENND6A
ALB,ALB
ENTHD1,ENTHD1
HIPK3,HIPK3
C2CD6,C2CD6
TEF,TEF
ZNF652,ZNF652
GRM5,GRM5
MOV10L1,MOV10L1
ANKRD13D,ANKRD13D
DNAI2,DNAI2
MTMR4,MTMR4
NTN1,NTN1
PTGS2,PTGS2
MAP3K1,MAP3K1
TIMELESS,TIMELESS
NEIL3,NEIL3
SLC23A1,SLC23A1
UTP6,UTP6
ABCE1,ABCE1
EFCC1,EFCC1
ILF3,ILF3
USH1C,USH1C
SLC9A5,SLC9A5
MLX,MLX
ATP5F1C,ATP5F1C
LRRC47,LRRC47
OGN,OGN
CLK1,CLK1
FAM186B,FAM186B
SETD3,SETD3
BRD1,BRD1
TACO1,TACO1
LINGO4,LINGO4
PTPN9,PTPN9
MYBPC1,MYBPC1
FRRS1,FRRS1
STXBP3,STXBP3
TOGARAM1,TOGARAM1
ZWILCH,ZWILCH
STS,STS
CCDC192,CCDC192
SPMIP4,SPMIP4
LARS1,LARS1
DCAF11,DCAF11
ADAMTSL1,ADAMTSL1
TC2N,TC2N
SACM1L,SACM1L
PDPR,PDPR
ZBED4,ZBED4
KLHL28,KLHL28
ME2,ME2
FBXO41,FBXO41
ENOX2,ENOX2
POMGNT2,POMGNT2
ACSM4,ACSM4
AKAP6,AKAP6
HEPHL1,HEPHL1
INSC,INSC
RFTN1,RFTN1
ZUP1,ZUP1
KLHL30,KLHL30
PXK,PXK
ZNF791,ZNF791
POLL,POLL
PRTG,PRTG
MROH9,MROH9
ABL1,ABL1
TRIM23,TRIM23
SGSM1,SGSM1
C2orf42,C13H2orf42
ASXL2,ASXL2
MYRF,MYRF
ANLN,ANLN
ADCY3,ADCY3
TRPA1,TRPA1
MAP3K8,MAP3K8
FBXO45,FBXO45
MATCAP2,MATCAP2
TGS1,TGS1
SLC47A1,SLC47A1
SMG9,SMG9
SPATA16,SPATA16
MEGF10,MEGF10
CACNA2D4,CACNA2D4
COL4A6,COL4A6
NOX3,NOX3
RC3H1,RC3H1
LCOR,LCOR
BTBD3,BTBD3
ZNF654,ZNF654
NOX1,NOX1
COL4A5,COL4A5
FAM114A1,FAM114A1
NOSTRIN,NOSTRIN
RSBN1L,RSBN1L
MSH3,MSH3
CFAP70,CFAP70
HABP2,HABP2
TBC1D24,TBC1D24
MKS1,MKS1
C5,C5
FMO4,FMO4
ARMCX5,ARMCX5
GLUD1,GLUD1
TRIM16,TRIM16
CCT8L2,CCT8L2
STARD13,STARD13
RBM41,RBM41
RCBTB2,RCBTB2
CATSPERB,CATSPERB
ADGB,ADGB
CFAP43,CFAP43
EZH2,EZH2
RORA,RORA
CBX2,CBX2
SLC22A3,SLC22A3
FLVCR1,FLVCR1
P4HTM,P4HTM
EIF2AK2,EIF2AK2
SGO1,SGO1
SLC22A1,SLC22A1
CTTNBP2,CTTNBP2
MCOLN3,MCOLN3
SLC45A3,SLC45A3
CCT8,CCT8
ARHGAP36,ARHGAP36
GLI1,GLI1
GNS,GNS
PRR7,PRR7
CPD,CPD
PIGB,PIGB
PALMD,PALMD
HCLS1,HCLS1
RIOK2,RIOK2
FRS2,FRS2
OVOL2,OVOL2
HOMEZ,HOMEZ
MTMR9,MTMR9
LIFR,LIFR
FAM83G,FAM83G
TEDDM1,TEDDM1
SLC22A7,SLC22A7
ETS1,ETS1
PLCL1,PLCL1
GPRASP3,GPRASP3
SLC11A1,SLC11A1
LMOD2,LMOD2
SLC38A4,SLC38A4
BCO1,BCO1
PHKB,PHKB
NSD2,NSD2
ZKSCAN4,ZKSCAN4
KCNV2,KCNV2
OIT3,OIT3
ANXA11,ANXA11
ITGA2B,ITGA2B
IQCH,IQCH
HOXA9,HOXA9
TPRG1L,TPRG1L
PHB1,PHB1
GLCCI1,GLCCI1
MDH1B,MDH1B
DALRD3,DALRD3
TOPORS,TOPORS
SLC1A5,SLC1A5
IGDCC3,IGDCC3
LRIG2,LRIG2
NR5A2,NR5A2
ATOSA,ATOSA
ASH1L,ASH1L
NSD1,NSD1
ENTREP2,ENTREP2
AJUBA,AJUBA
CASP8,CASP8
RO60,RO60
NFATC3,NFATC3
CPNE3,CPNE3
USP53,USP53
GUCY2C,GUCY2C
ZNF518B,ZNF518B
FREM3,FREM3
SOCS6,SOCS6
DOCK5,DOCK5
ANP32E,ANP32E
SPECC1,SPECC1
GP2,GP2
CCDC9B,CCDC9B
AFG3L2,AFG3L2
NCKAP5L,NCKAP5L
CCDC125,TAF9
INVS,INVS
RAG2,RAG2
FMO1,FMO1
CSGALNACT1,CSGALNACT1
FAAH2,FAAH2
CHRM5,CHRM5
ZFP82,ZFP82
KDM4A,KDM4A
CCT6B,CCT6B
STPG2,STPG2
FGR,FGR
TIAM1,TIAM1
SLC45A2,SLC45A2
FURIN,FURIN
SAMD9,SAMD9
GK5,GK5
NMD3,NMD3
PUS10,PUS10
FREM2,FREM2
KIAA0319L,KIAA0319L
GTF3C5,GTF3C5
