mice gene name,frog gene name
Cpne8,cpne8
Grm7,grm7
Onecut1,onecut1
Papola,papola
Atp9b,atp9b
Sstr2,sstr2
Sntg1,sntg1
Atad1,atad1
Ing3,ing3
Xkr4,xkr4
Dhx35,dhx35
Ndst4,ndst4
Gtpbp1,gtpbp1
Bhmt,bhmt
Chsy1,chsy1
Metap2,metap2
Nip7,nip7
Sec14l1,sec14l5
Kat2a,kat2a
Mir1a-2,xtr-mir-1a-1
Rora,rora
Ppwd1,ppwd1
Tmem203,tmem203
Cdh7,cdh7
Hipk1,hipk1
Ppp1r8,ppp1r8
Rims2,rims2
Ddx3x,ddx3x
Rbm47,rbm47
Cnn3,cnn3
Tbc1d19,tbc1d19
Ublcp1,ublcp1
B3gat1,b3gat1
Prkcz,prkcz
Mdh2,mdh2
Aida,aida
Cacna1c,cacna1c
Tll1,tll1
Bckdhb,bckdhb
Dip2a,dip2a
Slc7a14,slc7a14
Slc1a2,slc1a2
Rnf220,rnf220.1
Gabrb3,gabrb3
Neurod6,neurod6
Doc2b,doc2b
Ntrk3,ntrk3
Gpd1l,gpd1l
Tollip,tollip
Tm9sf2,tm9sf2
Fbn2,fbn2
Bmp7,bmp7.1
Gan,gan
Hif1an,hif1an
Prkab1,prkab1
Chd1,chd1
Dnajc7,dnajc7
Rspo2,rspo2
Rps3a1,rps3a
Fgfr1op2,fgfr1op2
Fhl2,fhl2
Erg,erg
Ncbp2,ncbp2
Kcnc2,kcnc2
Ncbp1,ncbp1
Septin8,septin8
Tmem250,tmem250
Chac2,chac2
Smim7,smim7
Fubp3,fubp3
Acvr1b,acvr1b
Kcns2,kcns2
Tent5c,tent5c
Wnt5b,wnt5b
Jag1,jag1
Hnf4a,hnf4a
Styx,styx
Mccc2,mccc2
Ythdf1,ythdf1
Mapk10,mapk10
Cog6,cog6
Pccb,pccb
Pcdh17,pcdh17
Ints13,ints13
Serp2,serp2
Ints2,ints2
Runx2,runx2
Snrk,snrk
Tada2a,tada2a
Gng12,gng12
Mir7-1,xtr-mir-7-1
Wdr35,wdr35
Mob3b,mob3b
Eml1,eml2
Camk2d,camk2d
Mark2,mark2
Dync1i1,dync1i1
Sos2,sos2
Derl1,derl1
Dhx38,dhx38
Mir218-1,MIR218-1
C9orf72,c9orf72
Rhog,rhog
Trim8,trim8
Dazap1,dazap1
Flrt1,flrt1
Dnali1,dnali1
Gmpr,gmpr
Coro2b,coro2b
Mbnl1,mbnl1
Plag1,plag1
Seh1l,seh1l
Angptl2,angptl2
Phtf2,phtf2
Tmem60,tmem60
Wtap,wtap
Ahcyl1,ahcyl1
Snx13,snx13
Crybb2,crybb2
Spryd7,spryd7
Ints7,ints7
Xkr6,xkr6
Hdlbp,hdlbp
Tmco3,tmco3
Tenm1,tenm1
Nkain1,nkain1
Gulp1,gulp1
Ints4,ints4
Galnt2,galnt2
Trpc6,trpc6
Dlg2,dlg2
Slc25a36,slc25a36
Nol4,nol4
Nck2,nck2
Usp32,usp32
Lingo1,lingo1
Erbb4,erbb4
Flii,flii
Zer1,zer1
Gtpbp4,gtpbp4
Rps6,rps6
Plrg1,plrg1
Psma1,psma1
Sin3a,sin3a
Mymk,mymk
Zdhhc14,zdhhc14
Vamp4,vamp4
Foxg1,foxg1
Bzw2,bzw2
Tcf12,tcf12
Zdhhc2,zdhhc2
Arhgap42,arhgap42
Faxc,faxc
Ralgps1,ralgps1
Aldh1l2,aldh1l2
Mir145a,xtr-mir-145
Ctdspl2,ctdspl2
Sv2c,sv2c
Dusp10,dusp10
Wasf1,wasf1
Slc25a3,slc25a3
Cdh11,cdh11
Pdhb,pdhb
Taf2,taf2
Lin9,lin9
Trpc5,trpc5
Zswim5,zswim5
Pacsin2,pacsin2
Nmt1,nmt1
Cpne9,cpne5
Slc4a4,slc4a4
Kirrel3,kirrel3
Pde6d,pde6d
Hoxc9,hoxc9
Sv2a,sv2a
Ucp2,ucp2
Sptlc1,sptlc1
Rapgef2,rapgef2
Slc6a6,slc6a6
Dhrs3,dhrs3
Atp11a,atp11a
Vps45,vps45
Lsm12,lsm12
Gabra2,gabra2
Stk40,stk40
Hspa12a,hspa12a
Sox9,sox9
Slitrk1,slitrk1
Rrm2,rrm2.2
Sema3c,sema3c
Osbpl9,osbpl9
Ube3c,ube3c
Agpat3,agpat3
Man1a2,man1a2
Rad1,rad1
Fau,fau
Map2k7,map2k7
Gad2,gad2
Tlx3,tlx3
Dck,dck.1
Trpm3,trpm3
Vps35l,vps35l
Plpp4,plpp4
Ikzf5,ikzf5
Pou4f1,pou4f1
Pdik1l,pdik1l
Npepps,npepps
Ablim3,ablim3
Spag6,spag6
Tspan3,tspan3
Runx1,runx1
Jup,jup
Mettl14,mettl14
Sec63,sec63
Sh3gl1,sh3gl1
Ppp2r1b,ppp2r1b
Grm5,grm5
Kdsr,kdsr
Slc6a15,slc6a15
Grem1,grem1
Dnajc2,dnajc2
Hnrnpl,hnrnpl
Slc25a22,slc25a22
Slitrk2,mynn
Nrxn3,nrxn3
Taf1,taf1
Prex2,prex2
Zranb2,zranb2
Ryk,ryk
Pgm5,pgm5
Papss2,papss2
Sfxn5,sfxn5
Septin2,septin2
Cdh10,cdh10
Rxra,rxra
Lrrc8c,lrrc8c
Npepl1,npepl1
Ankrd17,ankrd17
Erc2,btbd9
Ubash3b,ubash3b
Dimt1,dimt1
Slc25a20,slc25a20
Dpysl2,dpysl2
Kat2b,kat2b
Sfrp2,sfrp2
Mir143,xtr-mir-143
Mcm6,mcm6
Gtf2h2,gtf2h2
Col1a1,col1a1
Zyg11b,zyg11b
Dld,dld
Gng10,gng10
Rerg,rerg
Psme3,psme3
Pacrg,pacrg
Asap1,asap1
Rtf1,rtf1
Steap2,steap2
Gmfb,gmfb
Pomgnt1,pomgnt1
Rab38,rab38
Tfap4,tfap4
Ogdhl,ogdhl
Atp6v0e,atp6v0e1
Slc43a2,slc43a2
Ralbp1,ralbp1
Tnfaip8,tnfaip8
Tecr,tecr
Fzd10,fzd10
Des,des.1
Ttll1,ttll1
Lars1,lars1
Cnr1,cnr1
Pid1,pid1
Pank4,pank4
Appl1,appl1
Bbs7,bbs7
Sox5,sox5
Pcbd1,pcbd1
Nprl3,nprl3
Klf12,klf12
Gem,gem
Vav2,vav2
Adam10,adam10
Ptbp3,ptbp3
Cit,cit
Alyref,alyref
Zfp330,znf330
Ldlrad4,ldlrad4
Hey1,hey1
Calb2,calb2
Slc1a1,slc1a1
Epha5,epha5
Micu1,micu1
Shox2,shox2
Arhgef7,arhgef7
Epc1,epc1
Tagln,tagln
Gng13,gng13
Ube2j2,ube2j2
Rrm2b,rrm2b
Map2k5,map2k5
Tmtc2,tmtc2
Kcnq2,kcnq2
Gfm1,gfm1
Chd7,chd7
Inpp5a,inpp5a.1
Ints9,ints9
Lrrc8d,lrrc8d
Eno3,eno3
Kif1a,kif1a
Pdp1,pdp1
Gmppb,gmppb
Brpf1,brpf1
Etfdh,etfdh
Tmed7,tmed7
Olfm3,olfm3
Dnaaf10,dnaaf10
Sp4,sp4
Cnot4,cnot4
Cyrib,cyrib
D430019H16Rik,c8h14orf132
Ndrg4,ndrg4
Hk1,hk1
Dicer1,dicer1
Cpsf1,cpsf1
Wnt5a,wnt5a
Alx1,alx1
Tbck,tbck
Spock2,spock2
Fli1,fli1
Serinc1,serinc1.1
Nkiras2,nkiras2
Sertm1,sertm1
Acsl4,acsl4
Ilk,ilk
Ap3d1,ap3d1
Btbd6,btbd6
Abtb3,btbd11
Lrp1,lrp1
Rad21,rad21
Hras,hras
Set,set
Wif1,wif1
Med30,med30
Rfc2,rfc2
Slc25a4,slc25a4
Tom1l2,tom1l2
Anapc11,anapc11
Arl5b,arl5b
Tspan33,tspan33
Pcyt1a,pcyt1a
P2ry1,p2ry1
Ift88,ift88
Sptlc2,sptlc2
Rnf19a,rnf19a
Pde10a,pde10a
Mthfd1,mthfd1
Plcl2,plcl2
Prkcg,prkcg
Frmd6,frmd6
Exoc6b,exoc6b
Cadps2,cadps2
Fut9,fut9
Twf1,twf1
Ube3b,ube3b
Rngtt,alox12b
Mdga2,mdga2
Def8,def8
Hadhb,hadhb
Rab10,rab10
Ebag9,ebag9
Nek6,ereg
Onecut2,onecut2
Smad7,smad7
Timm17a,timm17a
Srsf11,srsf11
Psme4,psme4
Prkcd,prkcd
Nr2f6,nr2f6
Snapin,snapin
Chrm2,chrm2
Cnot10,cnot10
Naa40,naa40
Ciao1,ciao1
Svop,svop
Btaf1,btaf1
Bambi,bambi
Flot2,flot2
Snx14,snx14
Gpm6b,gpm6b
BC005624,c9orf78
Astn1,astn1
Slit1,slit1
Pla2g4a,pla2g4a
Btbd7,btbd7
Tshz1,tshz1
Mob3c,mob3c
Acvr2b,acvr2b
Pik3r1,pik3r1
Qrich1,qrich1
Rnf150,rnf150
Gpr139,gpr139
Sema6a,sema6a
Angpt1,angpt1
Lhx6,lhx6
Mapkapk2,mapkapk2
Kcnk2,kcnk2
Rab12,rab12
Chmp1b2,chmp1b
Kctd4,kctd4
Lasp1,lasp1
Pxdc1,pxdc1
Pde8b,pde8b
Faf1,faf1
Suz12,suz12
Glg1,glg1
Fen1,fen1
Armc1,armc1
Tmem258,tmem258
Ccnk,ccnk
Atp6v1g1,atp6v1g1
Flcn,flcn
Pou6f2,pou6f2
Dpysl5,dpysl5
Git1,git1
Hnrnpll,hnrnpll
Fam91a1,fam91a1
Ets1,ets1
Slc25a10,slc25a10
Hmgb3,hmgb3
Prpf3,prpf3
Arpc3,arpc3
Pde7a,pde7a
Gldc,gldc
Cacna1d,cacna1d
Sgsm1,sgsm1
Slc9a7,slc9a7
Rims3,rims3
Col5a2,col5a2
Afg3l2,afg3l2
Ablim1,ablim1
A1cf,a1cf
Slc44a1,slc44a1
5031439G07Rik,kiaa0930
Nipa2,nipa2
Pi4k2a,pi4k2a
Rcor3,rcor3
Fbxo8,fbxo8
Tmco1,tmco1
Kalrn,kalrn
Dtd1,dtd1
Nrf1,nrf1
Zbtb20,zbtb20
Usp47,usp47
Tmem168,tmem168
Aldoc,aldoc
Rab2b,rab2b
Etv1,etv1
Slc1a7,slc1a7
Btbd2,btbd2
Bdnf,bdnf
Csde1,csde1
Dusp4,dusp4
Lmbrd2,lmbrd2
Psma3,psma3
Wdr59,wdr59
Rab4b,rab4b
Osbpl6,osbpl6
Gtf2f2,gtf2f2
Cog3,cog3
Nf2,nf2
Dctn6,dctn6
Brap,brap
Megf10,megf10
Ccnl1,ccnl1
Vdac2,vdac2
Ptch1,ptch1
Abcg4,abcg4
Uckl1,UCKL1
Chd5,chd5
Col5a1,col5a1
Pde6g,PDE6G
Pan3,pan3
Ppfia3,ppfia3
Slc9a6,slc9a6
Dmap1,dmap1
Gabra5,gabra5
Mtmr1,mtmr1
Nmd3,nmd3
Kcna3,kcna3
Ipo11,ipo11
Fmr1,soho1
Kdm5a,kdm5a
Clasp1,clasp1
Ankrd29,ankrd29
Ube2v1,ube2v1
Slc25a12,slc25a12
Pax9,pax9
Oat,oat
Aars1,aars1
Spsb4,spsb4
Uxs1,uxs1
Pdia6,pdia6
Tbc1d13,tbc1d13
Tox,tox
Cacng4,cacng4
Vkorc1l1,vkorc1l1
Efnb2,efnb2
Fbxo32,fbxo32
Ift122,ift122
Zfyve1,zfyve1
Plcg1,plcg1
Abcc5,abcc5
Tmem127,tmem127
Cnksr2,cnksr2
Ing4,ing4
Cbll1,cbll1
Lypla1,lypla1
Samd8,samd8
Ptprf,ptprf
Cpne3,cpne3
Stxbp6,stxbp6
Slc6a17,slc6a17
Rpl22l1,rpl22l1
Bmp5,bmp5
Clk2,clk2
Hmgcr,hmgcr
Wdfy1,wdfy1
Gbx2,gbx2.1
Gpd2,gpd2
Bicc1,bicc1
Rasa1,rasa1
Meaf6,meaf6
Sod2,sod2
Dpy30,dpy30
Rcl1,rcl1
Hpca,hpca
Foxp1,foxp1
Tspan12,tspan12
Kcng3,kcng3
Rpe65,rpe65
Pax7,pax7
Dcc,dcc
Tbc1d23,tbc1d23
Gm22192,SNORD62
Lhfpl4,lhfpl4
Ints1,ints1
Katnal1,katnal1
Flot1,flot1
Ss18l1,ss18l1
Vps26c,vps26c
Stx16,stx16
Cul4b,cul4b
Carm1,carm1
Cnot3,cnot3
Kcnj1,kcnj1
Slc12a2,slc12a2
Mef2a,mef2a
Fam20b,fam20b
Tube1,tube1
Wwox,wwox
Lrp5,lrp5
Atf3,atf3
Atrnl1,atrnl1
Ercc2,ercc2
Cdh6,cdh6
Ralgps2,ralgps2
Cxxc4,cxxc4
Mlec,mlec
Vps39,vps39
Rapsn,rapsn
Fbn1,fbn1
Crim1,crim1
Mylpf,mylpf
Ptchd4,ptchd4
Slc4a7,slc4a7
Wdr17,wdr17
Capn7,capn7
Dcaf8,dcaf8
Fbxo28,fbxo28
Ipo13,ipo13
Prkd1,prkd1
Mblac2,cetn3
P4ha1,p4ha1
Pde4d,pde4d
Nol10,nol10
Adh5,adh5
Robo2,robo2
Frg1,frg1
Tdo2,tdo2
Top2b,top2b
Med27,med27
Ensa,ensa
Nr5a2,nr5a2
Snrpa,snrpa
Tspan13,tspan13
Atp6v1d,atp6v1d
Nfyb,nfyb
Dagla,dagla
Ankra2,ankra2
Fbxw7,fbxw7
Dpyd,dpyd
Pde1b,pde1b
Stub1,stub1
Picalm,picalm
Rspry1,rspry1
Ythdc2,ythdc2
Ssr1,ssr1
Mbd3,mbd3
Lmbr1,lmbr1
Sox6,sox6
Pigk,pigk
Ccn2,ccn2
Ssbp1,ssbp1
Kcnt1,kcnt1
Mir142,xtr-mir-142-1
Lhx8,lhx8
Timm23,timm23
Emc2,emc2
Ybx1,ybx1
Rhoj,rhoj
Ckb,ckb
Kcnmb2,kcnmb2
Tfg,tfg
Ube4b,ube4b
Lpar6,lpar6
Sgk1,sgk1
Sulf2,sulf2
Snrpc,snrpc
Abhd17a,abhd17a
Lef1,lef1
Ddx5,ddx5
Akirin2,akirin2
Dvl1,dvl1
Ankrd52,ankrd52
Ndnf,ndnf
Myo10,myo10
Abhd2,abhd2
Arl6ip1,arl6ip1
Cep76,cep76
Ino80,ino80
Stk32b,stk32b
Rasd1,rasd1
Rpl27,rpl27
Samd4,samd4a
Gmpr2,gmpr2
Vps36,vps36
Bmpr1a,bmpr1a
Ddr2,ddr2
Dab1,dab1
Rock1,rock1
Kcnip2,kcnip2
Srpk2,srpk3
Rad54l,rad54l
Ss18,ss18
Frs2,frs2
Brsk2,brsk2
Hnf4g,hnf4g
Etnk1,etnk1
Ctdsp2,ctdsp2
Cib2,cib2
Slitrk3,slitrk3
Ppp2r5b,ppp2r5b
Prkag1,prkag1
Rab2a,rab2a
Jph3,jph3
Med31,med31
Hapln1,hapln1
Kcnk3,kcnk3
Sucla2,sucla2
Exoc6,exoc6
Mir125a,xtr-mir-125a
Phkb,phkb
Med14,med14
Hectd2,hectd2
Slc17a8,slc17a8
Ctdspl,ctdspl
Hspa4,hspa4
Parvb,parvb
Dync1li1,dync1li1
Asb5,asb5
Fer,fer
Slc7a11,slc7a11
Yars1,yars1
Ehd2,ehd2
Rgs5,rgs5
Pxk,pxk
Macir,macir
Cacnb2,cacnb2
Lgi1,lgi1
Sars1,sars1
Adsl,adsl
Cry2,cry2
Rere,rere
Dlx6,dlx6
Jkamp,jkamp
Lrrn1,lrrn1
Pum2,pum2
Camk1d,camk1d
Slc35f4,slc35f4
Slc18a2,SLC18A2
Cryba1,cryba1
Thoc2,thoc2
Med16,med16
Vma21,vma21
Smarcd1,smarcd1
Cers6,cers6
Pfn2,pfn2
Ankrd46,ankrd46
Abca1,abca1
Tpst1,tpst1
Med13,med13
Itgb1,itgb1
Sh3glb2,sh3glb2
Tram1,tram1
Cyld,cyld
Pxdn,pxdn
Hpse2,hpse2
Arhgap26,arhgap26
Cog5,cog5
Lhx4,lhx4
Faf2,faf2
Cdh12,cdh12
Nxn,nxn
Cirbp,cirbp
Kcnh7,kcnh7
Cav1,cav1
Hipk2,hipk2
Slc7a5,slc7a5
Aldh1a3,aldh1a3
Fgf2,fgf2
Nadk,nadk
Efr3b,efr3b
Suclg2,suclg2
Ass1,ass1
Opa1,opa1
Slc10a7,slc10a7
Sgcz,sgcz
Zdhhc9,zdhhc9
Cdkl1,cdkl1
Tecta,tecta.1
Atad3a,atad3a
Cps1,cps1
Tmem135,tmem135
Slc2a13,slc2a13
Capsl,capsl
Ttc28,ttc28
Dock2,dock2
Vmp1,vmp1
Rab24,rab24
Rhot1,rhot1
Sec11c,sec11c
Gls,gls
Aldh6a1,aldh6a1
Cog4,cog4
Rab34,rab34
Tnnt1,tnnt1
Ppp2r5a,ppp2r5a
Rasal2,rasal2
Cplx3,lman1l
Pcnx1,pcnx1
Ttc13,ttc13
Fsd1l,fsd1l
Sdad1,sdad1
Nipbl,nipbl
Crebl2,crebl2
Srm,srm
Prdm6,prdm6
Col11a1,col5a3
Grhl1,grhl1
Ubr3,ubr3
Tkt,tkt
Eeig2,fam102b
Itch,dynlrb1
Pcdh10,pcdh10
Apba1,apba1
Ckap5,ckap5
Mtpn,mtpn
Med7,med7
Apbb2,apbb2
Rarg,rarg
Rbms1,rbms1
Khdrbs3,khdrbs3
Hdgfl3,hdgfl3
Kics2,kics2
Syt4,slc52a1
Epb41l4a,epb41l4a
Grk6,grk6
Aldh2,aldh2
Lias,lias
Sav1,sav1
Apip,apip
Rictor,rictor
Pcbp2,pcbp3
Flrt3,flrt3
Flnb,flnb
Spryd3,spryd3
Plppr4,plppr4
Sema6d,sema6d
Ncln,ncln
Dcaf13,dcaf13
Slc6a9,slc6a9
Galr1,galr1
Abcd2,abcd2
Arl15,arl15
Vac14,vac14
Lim2,lim2
Rpn1,rpn1
Ammecr1,ammecr1
Zpld1,zpld1
Pkp4,pkp4
Hcn1,hcn1
Slit3,slit3
Pmpca,pmpca
Pdk1,pdk1
Chd2,chd2
Wdr19,wdr19
Wsb1,wsb1
Pcyt1b,pcyt1b
Fst,fst
Stxbp5l,stxbp5l
Sgcb,sgcb
Stom,stom
St8sia2,st8sia2
Tomm70a,tomm70
Ckmt1,ckmt1b
Smyd2,smyd2
Shmt2,shmt2
Tapt1,tapt1
Ckm,ckm
Rab13,rab13
Cdk11b,cdk11b
Csk,csk
Clvs1,clvs1
Etfb,etfb
Slc35g2,slc35g2
Pax2,pax2
Lrfn5,lrfn5
Dnajc5,dnajc5
Stk11,stk11
Zc3h15,zc3h15
Galnt18,galnt18
Usp25,usp25
Herc4,herc4
Yme1l1,yme1l1
Mip,mip
Rsu1,rsu1
Gabpa,gabpa
Psat1,psat1
Ptpa,ptpa
Borcs5,borcs5
Snx30,snx30
Arsi,arsi
Car8,ca8
Ankib1,ankib1
Prdm5,prdm5
Rarb,rarb
Magt1,magt1
Rhobtb1,rhobtb1
Eml4,eml4
B4galt6,b4galt6
Adcy3,dnajc27
Gnat2,gnat2
Laptm4b,laptm4b
Eif2b2,eif2b2
Sgce,sgce
Wdr12,wdr12
Kcnn2,kcnn2
Prep,prep
Exosc2,exosc2
Socs5,socs5
Exoc2,exoc2
Slc41a2,slc41a2
Kidins220,kidins220
Sap30bp,sap30bp
Ppat,krt55
Myo1d,myo1d
Ryr1,ryr1
Chchd4,chchd4
Banp,znf516
Slc35f1,slc35f1
Czib,czib
Trpc4ap,trpc4ap
Nell2,nell2
Naa50,naa50
Rcor1,rcor1
Rock2,rock2
Dnah5,dnah5
Cope,cope
Acvr1,acvr1
Ddx17,ddx17
Trak1,trak1
Thbs3,thbs3
Igsf21,igsf21
Traf3,traf3
Scp2,scp2
Hmgcs1,hmgcs1
Atg16l1,atg16l1
Setd7,setd7
Necab1,necab1
Brsk1,brsk1
Kif21a,kif21a
Kctd3,kctd3
Gins1,gins1
Mir128-1,xtr-mir-128-1
Zswim8,zswim8
Trhr,trhr
Lingo2,lingo2
Ampd2,ampd2
Rbp1,rbp1
Adamts6,adamts6
Dpf3,dpf3
Mnat1,mnat1
Ccnyl1,ccnyl1
Tes,tes
Ero1b,ero1b
Nelfcd,gnas
Klhl29,klhl29
Degs1,degs1
mt-Co3,cox3
Stmn1,stmn1
Shmt1,gli2
Gins2,gins2
Taf5l,taf5l
Dlgap1,dlgap1
Mtmr7,mtmr7
Depdc5,depdc5
Gabrr2,GABRR2
Eif3b,eif3b
Plcl1,plcl1
Nup155,nup155
Got1,got1
Ube4a,ube4a
Trappc9,trappc9
Rnf141,rnf141
Apba2,apba2
Pspc1,pspc1
Pln,pln
Rps6ka6,rps6ka6
Park7,park7
Tmod1,tmod1
Abcb7,abcb7
Aldh1l1,aldh1l1
Snap91,snap91
Zfhx4,zfhx4
Ttc8,ttc8
Tox3,tox3
Zic3,zic3
Ilrun,ilrun
Thoc1,thoc1
Nacc2,nacc2
Ror2,ror2
Adipor2,adipor2
Vim,vim
Zmat2,zmat2
Tmcc3,tmcc3
Ptprg,ptprg
Dlx5,dlx5
Dnajb4,dnajb4
Atp2a3,atp2a3
Adss2,adss2
Tbx5,tbx5
Mir29c,xtr-mir-29c
Ppm1b,ppm1b
Slc35a1,slc35a1
Pigu,pigu
Rpl4,rpl4
Acap2,acap2
Lhfpl3,lhfpl3
Grhl2,grhl2
Aff4,aff4
Nmnat2,nmnat2
Atic,atic
Wdtc1,wdtc1
Zbtb8os,zbtb8os
Lnx2,lnx2
Hprt1,hprt1
Rundc3a,rundc3a
Hgs,hgs
Ndst2,ndst2
Braf,braf
Zfp711,znf711
Ntf3,ntf3
Erp44,erp44
Gpc6,gpc6
Kcnab1,kcnab1
Sp9,sp9
Adap1,adap1
Lgi2,lgi2
Dlg3,dlg3
Rc3h1,rc3h1
Edem3,edem3
Wnt11,wnt11
Wdr11,wdr11
Rgs7bp,rgs7bp
Nfs1,nfs1
Crmp1,crmp1
Cpne7,cpne7
Sptssa,sptssa
Meig1,meig1
Mettl3,mettl3
Fbp1,fbp1
Anxa2,anxa2
Spg7,spg7
Crtc1,crtc1
Mmp2,mmp2
St3gal3,st3gal3
Eaf1,eaf1
Strap,strap
Csmd1,csmd1
Farsb,farsb
Klc1,klc1
Trpc4,trpc4
Brd3,brd3
Gtf2e2,gtf2e2
Nav3,nav3
Lhfpl2,lhfpl2
Cbx5,cbx5
Scube1,scube1
Ythdc1,ythdc1
Clock,clock
Mknk2,mknk2
Fhip2a,fhip2a
Dctn2,dctn2
Foxn3,foxn3
Fnbp1,fnbp1
Ccn1,ccn1
Tpi1,tpi1
Epha6,epha6
Dock3,dock3
Anapc5,anapc5
Wdr1,wdr1
Gcat,gcat
Srp72,srp72
Ndufv2,ndufv2
Cdh2,cdh2
Ube2c,ube2c
Anp32a,anp32a
Grm1,grm1
Trpm7,trpm7
Agl,agl
Zfp207,znf207
Lzic,lzic
Otof,otof
Phf21a,phf21a
Bnc2,bnc2
Cdk2,cdk2
Rab3gap1,rab3gap1
Hibadh,hibadh
Crygn,crygn
Nkx6-2,nkx6-2
Api5,api5
Eif1,eif1
Arhgap5,arhgap5
Uroc1,uroc1
Sgip1,sgip1
Mcm3,zmcm3
Sipa1l1,sipa1l1
Psmb1,psmb1
Unc5b,unc5b
Tubgcp2,tubgcp2
Klf7,klf7
Unc50,unc50
Zbtb37,zbtb37
Map4k5,a2ml1
Cct2,cct2
Ptpn21,ptpn21
Slc16a3,slc16a3
Immp2l,immp2l
Btbd1,btbd1
Trp63,tp63
Bmp1,bmp1
Adhfe1,adhfe1
Jak2,jak2
Atp11b,atp11b
Cblb,cblb
Mitf,mitf
Dpp8,dpp8
Serbp1,serbp1
Tbcel,tbcel
Cdc42bpa,cdc42bpa
Slc41a1,slc41a1
Pank1,pank1
Slc35b4,slc35b4
Ece1,ece1
Dym,dym
Wac,wac
Prickle2,prickle2
Adgra3,adgra3
Kdelr3,kdelr3
Vta1,vta1
Sf3b4,sf3b4
Supt7l,supt7l
Barhl2,barhl2
Iars1,iars1
Fam168a,fam168a
Kcnj9,kcnj9
Nos1,nos1
Tubb1,tubb1
Mtmr9,mtmr9
Gtf2a1,gtf2a1
Rabep1,rabep1
Med28,med28
Lrp1b,LRP1B
Yipf3,yipf3
Kin,kin
Dcaf12,dcaf12
Fat3,fat3
Colec11,colec11
Csrp3,csrp3
Aqp3,aqp3
Mcu,mcu
Csgalnact1,csgalnact1
Uba5,uba5
Srp68,srp68
Ip6k2,ip6k2
Aplp2,aplp2
Wnt2,wnt2
Slc12a6,slc12a6
Kdm2b,kdm2b
Chordc1,chordc1
Slc49a4,slc49a4
Eif2b1,eif2b1
Klhl31,klhl31
Csnk1g2,csnk1g2
Nptx1,nptx1
Ppil2,ppil2
Dpm1,dpm1
Kctd7,kctd7
Vps25,vps25
Eef1g,eef1g
Dclk2,dclk2
Nap1l4,nap1l4
Pfdn1,pfdn1
Klhdc10,klhdc10
Rhoh,rhoh
Mpp7,mpp7
Rnf115,rnf115
Pip5k1c,pip5k1c
Arpp19,arpp19
Dgcr8,dgcr8
Idh3g,idh3g
Grip1,grip1
Relch,relch
Hira,hira
Lrrc28,lrrc28
Magi2,magi2
Yap1,yap1
Stmn2,stmn2
Bpnt1,bpnt1
Fbxl21,fbxl21p
Gck,gck
Sardh,sardh
Ascc3,ascc3
C1ql4,c1ql4
Kcnip4,kcnip4
Kcnk10,kcnk10
Trap1,trap1
Adgrl1,adgrl1
Sms,sms
Arhgap24,arhgap24
Ubald2,ubald2
Syt6,syt6
Nog,nog
Rogdi,rogdi
Usp13,usp13
Mkx,mkx
Arhgap35,arhgap35
Slc7a9,slc7a9
Srp14,srp14
Dmgdh,dmgdh
Cdh20,cdh20
Igf2bp3,igf2bp3
Fmnl3,fmnl3
Golph3l,golph3l
Fbp2,fbp2
Pafah1b2,pafah1b2
Rpl6,rpl6
Pitx1,pitx1
Acap3,acap3
Wwtr1,wwtr1
Tcerg1,rbm27
Tmem240,tmem240
Qars1,qars1
Neurod1,neurod1
Nae1,nae1
Hgd,hgd
Atcay,atcay
Pde7b,pde7b
Aqr,aqr
Gdap1l1,gdap1l1
Rprm,rprm
Ndufb9,ndufb9
Rxrb,rxrb
Nono,nono
Gatad2b,gatad2b
Trpv4,trpv4
Ints10,ints10
Rab3d,rab3d
Slc35b3,slc35b3
Mtnr1a,mtnr1a
Sh3glb1,sh3glb1
Spring1,spring1
Phip,phip
Atp2b4,atp2b2
Grpr,grpr
Arrb2,arrb2
Lrp12,lrp12
Rbp2,rbp2
Tmtc3,tmtc3
Ezh1,ezh1
Antxr1,antxr1
Htr1b,htr1b
Entpd4,entpd4
Sacs,sacs
Ppara,ppara
Elmod1,elmod1
Ctnnbl1,ctnnbl1
Ivd,ivd
Wwp1,wwp1
Gpr75,gpr75
Mllt3,mllt3
Rasgrp3,rasgrp3
Ric1,ric1
Mir92b,xtr-mir-92b
Arb2a,fam172a
Nipsnap1,nipsnap1
Pard3,pard3
Mc5r,mc5r
Cpne2,cpne2
Vcpip1,vcpip1
Slc5a1,slc5a1.1
Abcf3,abcf3
Slc6a5,slc6a5
Sf3a2,sf3a2
Phf10,phf10
Hnrnpa2b1,hnrnpa2b1
Htt,htt
Slc6a2,slc6a2
Pcyt2,pcyt2
Bcs1l,bcs1l
Sox1,sox1
Pcgf5,pcgf5
Bace1,bace1
Rab33b,rab33b
Klhl4,klhl4
Kars1,kars1
Asap2,asap2
Zic2,zic2
Gnmt,gnmt
Tmem196,tmem196
Gucy1a2,gucy1a2
Elovl5,elovl5
Cdc42bpb,cdc42bpb
Rnf123,rnf123
Vcl,vcl
Rragc,mycbp
Prkag2,prkag2
Prickle1,prickle1
Nwd2,nwd2
Tmem204,tmem204
Gch1,gch1
Setd3,setd3
Dnah12,dnah12
Odc1,odc1
Npy1r,npy1r
Asns,asns
Krr1,krr1
Cacna2d1,cacna2d1
Sbf2,sbf2
Tmem117,tmem117
