rhesus_macaque gene name,commonmarmoset gene name
LACTB,LACTB
IRAK4,IRAK4
PHAF1,PHAF1
PLPPR2,PLPPR2
FAM50B,FAM50B
GJB4,GJB4
KIF2C,KIF2C
CERS2,CERS2
ATP13A3,ATP13A3
REPS2,REPS2
STK38,STK38
MAK16,MAK16
ITGB4,ITGB4
PERP,PERP
MSH6,MSH6
FAM81A,FAM81A
RAB19,RAB19
PNPT1,PNPT1
METTL13,METTL13
USB1,USB1
FCSK,FCSK
ZBTB4,ZBTB4
NDC1,TMEM48
NIBAN2,NIBAN2
ITGA6,ITGA6
KCNS1,KCNS1
LRRK2,LRRK2
AASS,AASS
LPL,LPL
TGM1,TGM1
HACD1,PTPLA
ATP5F1D,ATP5D
SNORD27,SNORD27
OR6C1,OR6C1
MSH4,MSH4
PAMR1,PAMR1
CCNB1,CCNB1
TSG101,TSG101
DIPK1B,DIPK1B
GREB1L,GREB1L
PRRC2B,PRRC2B
DNAH2,DNAH2
ZDHHC9,ZDHHC9
AMER2,AMER2
PAM,PAM
PPIP5K1,PPIP5K1
GSN,GSN
CLINT1,CLINT1
DNAJB9,DNAJB9
PMPCA,PMPCA
UBQLN2,UBQLN2
FNBP1,FNBP1
VPS33A,VPS33A
FBXO11,FBXO11
PRUNE1,PRUNE1
HEATR5A,HEATR5A
NELL2,NELL2
ZC3H11A,ZC3H11A
GUCY1A2,GUCY1A2
RANBP10,RANBP10
PGP,PGP
INO80B,INO80B
DNAJB11,DNAJB11
PAK4,PAK4
CCKBR,CCKBR
SYNDIG1L,SYNDIG1L
SLC10A4,SLC10A4
LACTBL1,LACTBL1
SREK1IP1,SREK1IP1
SHANK2,SHANK2
BRD8,BRD8
PPP1R3B,PPP1R3B
EXOSC9,EXOSC9
NRP1,NRP1
SDHAF2,SDHAF2
GSS,GSS
CBR4,CBR4
RRAD,RRAD
ST6GALNAC6,ST6GALNAC6
AURKA,AURKA
CAMK4,CAMK4
RDH8,RDH8
AGBL5,AGBL5
ABCD1,ABCD1
KCNJ6,KCNJ6
DGKB,DGKB
WNT2B,WNT2B
ATOH1,ATOH1
CLIC3,CLIC3
ZNF507,ZNF507
PTPRA,PTPRA
USP10,USP10
NOTCH1,NOTCH1
ZNF607,ZNF607
PTPN3,PTPN3
MDGA1,MDGA1
LPAR3,LPAR3
PNMA1,PNMA1
RASSF10,RASSF10
MAGI3,MAGI3
VWA8,VWA8
COQ8A,COQ8A
ARL6IP5,ARL6IP5
CPT2,CPT2
CACNB3,CACNB3
ATAD2,ATAD2
PRICKLE2,PRICKLE2
RAI14,RAI14
NPAS2,NPAS2
ZNF140,ZNF140
FOXK1,FOXK1
KDF1,KDF1
GUCY1B1,GUCY1B1
FILIP1,FILIP1
GAS2,GAS2
DDX27,DDX27
ZFP91,ZFP91
XDH,XDH
RAB30,RAB30
GPR6,GPR6
SPTBN2,SPTBN2
FERMT1,FERMT1
LATS2,LATS2
SCRN3,SCRN3
CERS1,CERS1
RP2,RP2
ADAMTS19,ADAMTS19
NSD1,NSD1
GLMN,GLMN
ARFIP2,ARFIP2
DENND1A,DENND1A
LAMA2,LAMA2
ANKRD27,ANKRD27
ATP11C,ATP11C
ZNF174,ZNF174
IPO13,IPO13
C16H17orf113,C17orf113
GLE1,GLE1
FUBP3,FUBP3
SETD1A,SETD1A
LRRC10,LRRC10
ADRB1,ADRB1
UROD,UROD
RBM33,RBM33
TM7SF2,TM7SF2
PRTG,PRTG
SGPP1,SGPP1
CTU1,CTU1
LCP1,LCP1
LRFN5,LRFN5
MYO1E,MYO1E
NRIP3,NRIP3
NLE1,NLE1
IL21,IL21
TMEM245,TMEM245
MYO9A,MYO9A
PRKX,PRKX
MTMR3,MTMR3
DOCK5,DOCK5
RARS2,RARS2
SRCAP,SRCAP
DIP2C,DIP2C
SAG,SAG
MOXD1,MOXD1
IPMK,IPMK
TNNT2,TNNT2
SLC30A1,SLC30A1
ARHGAP25,ARHGAP25
PPFIA4,PPFIA4
SLC38A3,SLC38A3
MCM3,MCM3
SPINDOC,C11orf84
ARHGEF19,ARHGEF19
RANGRF,RANGRF
ODC1,ODC1
BPIFC,BPIL2
SMC6,SMC6
SNORD89,SNORD89
NRXN3,NRXN3
ANOS1,ANOS1
ABCF3,ABCF3
EXOSC3,EXOSC3
SMAD7,SMAD7
PIK3AP1,PIK3AP1
SNORD31,SNORD31
HOXA7,HOXA7
FDX1,FDX1
LRR1,LRR1
POLA2,POLA2
SETD9,C5ORF35
AFF3,AFF3
TUT4,ZCCHC11
TTLL7,TTLL7
AMPD1,AMPD1
SLC22A4,SLC22A4
SNX14,SNX14
TBC1D10C,TBC1D10C
ABRAXAS2,ABRAXAS2
SCAPER,SCAPER
PLCE1,PLCE1
TERF2,TERF2
CDC45,CDC45
NDN,NDN
RASSF4,RASSF4
RFX5,RFX5
NUP98,NUP98
ADSS2,ADSS
TMED5,TMED5
FASTK,FASTK
MRGPRF,MRGPRF
TRMT1L,TRMT1L
H2AZ2,H2AZ2
TBX6,TBX6
ULK1,ULK1
PFN3,PFN3
SNORA2C,SNORA2C
SOCS7,SOCS7
ARR3,ARR3
MEN1,MEN1
PHTF1,PHTF1
SNX15,SNX15
TIMM10B,TIMM10B
LGMN,LGMN
MYOD1,MYOD1
CROCC,CROCC
SPRY4,SPRY4
SF3A2,SF3A2
PLD2,PLD2
NTN3,NTN3
RTCA,RTCA
PIK3C2A,PIK3C2A
NXPH4,NXPH4
SLC12A2,SLC12A2
SEMA6D,SEMA6D
BCL3,BCL3
SNX21,SNX21
SLC7A7,SLC7A7
DNAH1,DNAH1
SETD2,SETD2
EIF4EBP3,ANKHD1
WARS1,WARS1
HEATR3,HEATR3
MCHR2,MCHR2
PLXNA1,PLXNA1
LCP2,LCP2
SCAND3,SCAND3
CDH8,CDH8
RUSC2,RUSC2
PLEKHA6,PLEKHA6
FAM3C,FAM3C
KDM5C,KDM5C
ITGA8,ITGA8
TSPAN15,TSPAN15
TSGA10,TSGA10
KLHL38,KLHL38
CLCN7,CLCN7
FOSL1,FOSL1
SLC22A8,SLC22A8
TMEM183A,TMEM183A
ANO1,ANO1
CALR,CALR
TRUB1,TRUB1
SLC20A1,SLC20A1
NVL,NVL
ZNF830,ZNF830
SAC3D1,SAC3D1
KBTBD8,KBTBD8
HOXD12,HOXD12
CYB5RL,CYB5RL
C16H17orf67,C17orf67
SQOR,SQOR
FHOD3,FHOD3
RSBN1L,RSBN1L
DIAPH3,DIAPH3
ANKRD12,ANKRD12
RRH,RRH
EIF4H,EIF4H
NYNRIN,NYNRIN
SLC43A2,SLC43A2
KIDINS220,KIDINS220
EPHA8,EPHA8
LRP1B,LRP1B
LMOD3,LMOD3
DNER,DNER
MAML2,MAML2
SLC7A6,SLC7A6
TDRD7,TDRD7
ANKRD34B,ANKRD34B
COL6A1,COL6A1
PTPN2,PTPN2
SIAH3,SIAH3
OLFML1,OLFML1
MTA3,MTA3
NSMAF,NSMAF
DLAT,DLAT
TRIM45,TRIM45
ABRA,ABRA
KRT82,KRT82
mml-mir-135a-1,cja-mir-135
TBL2,TBL2
CBX4,CBX4
REPIN1,REPIN1
SLK,SLK
SLC29A2,SLC29A2
GLYR1,GLYR1
MRPL13,MRPL13
LCLAT1,LCLAT1
MYO5C,MYO5C
CCR7,CCR7
AXIN1,AXIN1
FCHSD1,FCHSD1
NOP56,NOP56
GALNT6,GALNT6
CDYL2,CDYL2
DICER1,DICER1
CACNG1,CACNG1
TMEM54,TMEM54
NOC3L,NOC3L
ZNF536,ZNF536
SMC2,SMC2
PSEN2,PSEN2
PARG,PARG
DNTT,DNTT
B4GALT1,B4GALT1
MAP4K3,MAP4K3
ALKBH6,ALKBH6
FMO1,FMO1
RCOR2,RCOR2
ZDHHC23,ZDHHC23
ITGAV,ITGAV
GNL2,RSPO1
CDX2,CDX2
DPYD,DPYD
UCK1,UCK1
DOCK6,DOCK6
ZNF521,ZNF521
PRDM2,PRDM2
ACOT9,ACOT9
MYMK,MYMK
FKBP7,FKBP7
SSPN,SSPN
MDK,MDK
POR,POR
DPM1,DPM1
BTBD7,BTBD7
B3GNT8,B3GNT8
FANCD2OS,FANCD2OS
DPH5,DPH5
TPR,TPR
MEIG1,MEIG1
TP53INP2,TP53INP2
KREMEN2,KREMEN2
PMP2,PMP2
ISCA2,ISCA2
SLC35F2,SLC35F2
CHRNG,CHRNG
ARHGEF12,ARHGEF12
WDR46,WDR46
PRMT9,PRMT9
TIGD7,TIGD7
CEMIP2,CEMIP2
PPP1R37,PPP1R37
FOXN1,FOXN1
NHLRC1,NHLRC1
NCOA3,NCOA3
MECR,MECR
ROM1,ROM1
LMNB2,LMNB2
CILP,CILP
WDR36,WDR36
PHOSPHO2,PHOSPHO2
SEPTIN11,SEPTIN11
LAMA4,LAMA4
ZNF581,ZNF581
ZNF583,ZNF583
UNC45A,UNC45A
OXR1,OXR1
AWAT1,AWAT1
TRIM10,TRIM10
PRIMA1,PRIMA1
ZDHHC24,ZDHHC24
FHL5,FHL5
DENND2D,DENND2D
SNORA38B,SNORA38B
ZC3HC1,ZC3HC1
DENND2C,DENND2C
SLC5A8,SLC5A8
ADRA2C,ADRA2C
FBXW5,FBXW5
RNGTT,RNGTT
NCOR2,NCOR2
STRC,STRC
ABLIM3,ABLIM3
SLC22A3,SLC22A3
SKI,SKI
FYN,FYN
ERC2,ERC2
PRLHR,PRLHR
DBR1,DBR1
NSMF,NSMF
MRPS21,MRPS21
SLC25A46,SLC25A46
CDKN2AIPNL,CDKN2AIPNL
DNAI1,DNAI1
SLC24A5,SLC24A5
TMED8,TMED8
HSPA14,HSPA14
CAMSAP1,CAMSAP1
ATOH7,ATOH7
RGS9,RGS9
NCKAP5L,NCKAP5L
WDR59,WDR59
CDC7,CDC7
ANAPC1,ANAPC1
SZT2,SZT2
ZNF444,ZNF444
EDA,EDA
TRIM50,TRIM50
SPATA2,SPATA2
SNORD29,SNORD29
GPHB5,GPHB5
PLA2G12B,PLA2G12B
TFEB,TFEB
FSCN3,FSCN3
PRKCG,PRKCG
BLZF1,BLZF1
ZNF366,ZNF366
PPM1K,PPM1K
BLTP3B,BLTP3B
U3,U3
TERF2IP,TERF2IP
LECT2,LECT2
TUBD1,TUBD1
ATXN1L,ATXN1L
CALHM1,CALHM1
TIAM2,TIAM2
ZNF382,ZNF382
TMEM132D,TMEM132D
AGTPBP1,AGTPBP1
JMJD6,JMJD6
FASLG,FASLG
SLC22A5,SLC22A5
DNAH5,DNAH5
MPP3,MPP3
PROK2,PROK2
CPLANE2,CPLANE2
WHRN,WHRN
SLC37A4,SLC37A4
TUBGCP4,TUBGCP4
AMOTL2,AMOTL2
CBLL1,CBLL1
SLC5A2,SLC5A2
NFKB1,NFKB1
SNORA53,SNORA53
HSPB3,HSPB3
MFN2,MFN2
ZNF654,ZNF654
RHBDD2,RHBDD2
MMP13,MMP13
CHD1L,CHD1L
LAMB2,LAMB2
DAPL1,DAPL1
DDX18,DDX18
PTPRQ,PTPRQ
DHX34,DHX34
UBE2Q1,UBE2Q1
UST,UST
ARHGEF25,ARHGEF25
TMEM39B,TMEM39B
CEP70,CEP70
AP4E1,AP4E1
EIF3F,EIF3F
SHANK3,SHANK3
FBH1,FBH1
TMEM216,TMEM216
KCNK13,KCNK13
EFHD1,EFHD1
AASDHPPT,AASDHPPT
NSF,NSF
MSGN1,MSGN1
GRK7,GRK7
SLC27A1,SLC27A1
DOCK11,DOCK11
NEU1,NEU1
CKAP4,CKAP4
BRWD1,BRWD1
MYO1H,MYO1H
UFD1,UFD1
BCORL1,BCORL1
ZNF576,ZNF576
ZHX3,ZHX3
GPR183,GPR183
SLC31A1,SLC31A1
NRAP,NRAP
DPYSL2,DPYSL2
ADAT2,ADAT2
PEX13,PEX13
CDAN1,CDAN1
SAMD4A,SAMD4A
NUP210,NUP210
NME5,NME5
MESD,MESD
STEAP1,STEAP1
SLC16A3,SLC16A3
CARD10,CARD10
SPOP,SPOP
TPD52,TPD52
MCM6,MCM6
RIPK2,RIPK2
OVOL2,OVOL2
TUBGCP3,TUBGCP3
CTSA,CTSA
RASD2,RASD2
IL17RD,IL17RD
CEP135,CEP135
SLC6A20,SLC6A20
XRCC1,XRCC1
FGF20,FGF20
ABCG2,ABCG2
P3H2,P3H2
GCNT4,GCNT4
E2F6,E2F6
ATF6B,ATF6B
CDK15,CDK15
ACSM5,ACSM5
HEPHL1,HEPHL1
SENP1,SENP1
BOLL,BOLL
MON1A,MON1A
PHYHIP,PHYHIP
IKBKE,IKBKE
USP5,USP5
WDR44,WDR44
KIRREL3,KIRREL3
MTHFD2,MTHFD2
FOXO4,FOXO4
OPN5,OPN5
MDFIC2,MDFIC2
ZNF236,ZNF236
MTHFD1L,MTHFD1L
OBSL1,OBSL1
PDE4A,PDE4A
MAP3K5,MAP3K5
CHRNE,CHRNE
ELF4,ELF4
PRRG3,PRRG3
DTD2,DTD2
MVB12A,MVB12A
SLC16A8,SLC16A8
TSEN34,TSEN34
AVPI1,AVPI1
TMEM205,TMEM205
ERRFI1,ERRFI1
ZAP70,ZAP70
FRS2,FRS2
RFX4,RFX4
TBC1D30,TBC1D30
KCTD10,KCTD10
GJC2,GJC2
BRF2,BRF2
STOML1,STOML1
MYLK,MYLK
MSMO1,MSMO1
RFXAP,RFXAP
PITPNM2,PITPNM2
ARHGAP29,ARHGAP29
MRPL16,MRPL16
KCNC3,KCNC3
SYAP1,SYAP1
RBPMS2,RBPMS2
ABI3,ABI3
PLK3,PLK3
FAM163A,FAM163A
EFR3B,EFR3B
SNORA14B,SNORA14B
SPTLC3,SPTLC3
ARV1,ARV1
KLC3,KLC3
TMEM266,TMEM266
SNIP1,SNIP1
DOCK3,DOCK3
CCNT1,CCNT1
MYOM3,MYOM3
C1H1orf216,C1orf216
CHST1,CHST1
NKX3-2,NKX3-2
GRIA4,GRIA4
MGA,MGA
OR6X1,OR6X1
OR52A1,OR52A1
SIRT1,SIRT1
COL1A2,COL1A2
TRIL,TRIL
CHST6,CHST6
CDH2,CDH2
IQGAP3,IQGAP3
ATG2A,ATG2A
PLEK2,PLEK2
SLC9A9,SLC9A9
YARS2,YARS2
COL8A1,COL8A1
GRWD1,GRWD1
GLB1L,GLB1L
GOLIM4,GOLIM4
PUM2,PUM2
TM2D1,TM2D1
CRH,CRH
GPX4,GPX4
SLC23A2,SLC23A2
CTTNBP2NL,CTTNBP2NL
POU6F2,POU6F2
NME6,NME6
ANGPT2,ANGPT2
SPIC,SPIC
STK32C,STK32C
TNRC18,TNRC18
TSHR,TSHR
RXYLT1,RXYLT1
MORC3,MORC3
DHX40,DHX40
OLFML2A,OLFML2A
GPR45,GPR45
AKAP6,AKAP6
LRP8,LRP8
FLCN,FLCN
MAP3K12,MAP3K12
STYXL2,STYXL2
MTF1,MTF1
ZNF644,ZNF644
CHRNA6,CHRNA6
DACH1,DACH1
WFIKKN2,WFIKKN2
KTN1,KTN1
BASP1,BASP1
ZFP3,ZFP3
LRIG1,LRIG1
CCDC43,CCDC43
HOOK2,HOOK2
GRAMD1B,GRAMD1B
TBC1D9B,TBC1D9B
CNGA4,CNGA4
NDUFS4,NDUFS4
TGFB1,TGFB1
TOGARAM1,TOGARAM1
LPIN1,LPIN1
P2RY6,P2RY6
SVOPL,SVOPL
U1,U1
MDFIC,MDFIC
SNORD121A,SNORD121A
SLAIN1,SLAIN1
WDHD1,WDHD1
IFT81,IFT81
INTU,INTU
NCAPG,NCAPG
ITPRIP,ITPRIP
ATXN2,ATXN2
KCNA5,KCNA5
CHRNA10,CHRNA10
PSPH,PSPH
SERPINE2,SERPINE2
RAX2,RAX2
SQSTM1,SQSTM1
CNTNAP4,CNTNAP4
NEURL2,NEURL2
CPXM2,CPXM2
PTGIS,PTGIS
STAM2,STAM2
ANKS1A,ANKS1A
SCAMP3,SCAMP3
CNOT4,CNOT4
TRIM56,TRIM56
DCP1A,DCP1A
TTC21B,TTC21B
MAT2A,MAT2A
RASGRP4,RASGRP4
GKAP1,GKAP1
GBA3,GBA3
TRAIP,TRAIP
FABP4,FABP4
ZNF432,ZNF432
SLF1,SLF1
AACS,AACS
THSD4,THSD4
PARP2,PARP2
RECK,RECK
SRSF4,SRSF4
TLL1,TLL1
NALF1,NALF1
DCBLD2,DCBLD2
TTC22,TTC22
MET,MET
ACP5,ACP5
RTKN2,RTKN2
COG5,COG5
PAK6,PAK6
DRD3,DRD3
ATP1B1,ATP1B1
COL28A1,COL28A1
NAA50,NAA50
TRABD2B,TRABD2B
CAV2,CAV2
SLC35E2,SLC35E2B
IKZF1,IKZF1
KCTD6,KCTD6
DCAF1,DCAF1
ROBO1,ROBO1
LARP4,LARP4
GTF3C4,GTF3C4
FAIM2,FAIM2
MYH11,MYH11
RASGRP1,RASGRP1
B3GALT4,B3GALT4
TRPC7,TRPC7
DARS2,DARS2
PCED1A,PCED1A
SLC5A11,SLC5A11
RABEP1,RABEP1
CACNA2D4,CACNA2D4
KCTD19,KCTD19
HOXB4,HOXB4
TULP1,TULP1
TM4SF18,TM4SF18
STAC,STAC
COPE,COPE
KERA,KERA
RNF114,RNF114
ICAM5,ICAM5
CAPN8,CAPN8
SYT16,SYT16
GJB6,GJB6
CYP26C1,CYP26C1
B4GALT6,B4GALT6
MMP14,MMP14
VEZT,VEZT
EVA1C,EVA1C
ME2,ME2
TBC1D15,TBC1D15
PTPN14,PTPN14
CCNE2,CCNE2
ZFYVE9,ZFYVE9
MYOC,MYOC
GLDN,GLDN
HTT,HTT
CPNE8,CPNE8
PDCL2,PDCL2
CTTN,CTTN
DCN,DCN
NIT2,NIT2
ZNF136,ZNF136
WNT2,WNT2
ATG12,ATG12
OXSM,OXSM
AP5S1,AP5S1
TMED6,TMED6
BLOC1S3,BLOC1S3
SENP2,SENP2
POLG,POLG
PLD1,PLD1
CLTA,CLTA
CHAF1B,CHAF1B
COL5A3,COL5A3
SHC4,SHC4
GPR17,GPR17
NSUN6,NSUN6
MAPKBP1,MAPKBP1
PSMB9,PSMB9
PARD3B,PARD3B
GCDH,GCDH
TEKT1,TEKT1
METTL9,METTL9
RASSF3,RASSF3
FKBPL,FKBPL
MRPS12,MRPS12
HSPA12A,HSPA12A
GPT,GPT
SPRYD3,SPRYD3
ZFYVE26,ZFYVE26
GIGYF1,GIGYF1
ARAP3,ARAP3
PRKCSH,PRKCSH
ANKRD34C,ANKRD34C
CSAD,CSAD
FAM219B,FAM219B
VGLL3,VGLL3
CLGN,CLGN
WNK1,WNK1
NPC1,NPC1
STOM,STOM
PPP1R13L,PPP1R13L
SCUBE1,SCUBE1
OR52A5,OR52A5
S100G,S100G
CMTR2,CMTR2
POLR2C,POLR2C
SHMT2,SHMT2
TAT,TAT
SCML2,SCML2
PDZRN4,PDZRN4
KLF15,KLF15
ADAMTSL2,ADAMTSL2
PHKG1,PHKG1
DCP2,DCP2
ALCAM,ALCAM
TRAFD1,TRAFD1
TBL3,TBL3
HDGF,HDGF
ACVRL1,ACVRL1
ZBTB22,ZBTB22
KIAA0319L,KIAA0319L
DEDD,DEDD
SMIM17,SMIM17
LRRC24,LRRC24
MKKS,MKKS
SLC25A29,SLC25A29
ZFP62,ZFP62
MAPK7,MAPK7
PRDM13,PRDM13
FGF19,FGF19
INTS14,INTS14
STX12,PPP1R8
THUMPD1,THUMPD1
ATP6V1E2,ATP6V1E2
TSR1,TSR1
SRPK1,SRPK1
S100A2,S100A2
FGD4,FGD4
THAP9,THAP9
OAZ3,OAZ3
RGS9BP,RGS9BP
EHMT2,EHMT2
HAPLN2,HAPLN2
MIOX,MIOX
CACNA1I,CACNA1I
CLEC11A,CLEC11A
MPZL2,MPZL2
TEKT2,TEKT2
TGFBR3,TGFBR3
SETMAR,SETMAR
PTPN13,PTPN13
ETS2,ETS2
CCT2,CCT2
ADAMTSL3,ADAMTSL3
FAM171B,FAM171B
CCNE1,CCNE1
CALD1,CALD1
BBS2,BBS2
NCF1,NCF1
DMTN,DMTN
SUGP2,SUGP2
BYSL,BYSL
DNAJC1,DNAJC1
IPO4,IPO4
SLC44A5,SLC44A5
DOP1B,DOP1B
GRIA2,GRIA2
NBEAL1,NBEAL1
SLC26A7,SLC26A7
SLC30A8,SLC30A8
PDPK1,PDPK1
ZNF540,ZNF540
ANO3,ANO3
LARP7,LARP7
TFEC,TFEC
VAT1,VAT1
LIG4,LIG4
NTN4,NTN4
IL36RN,IL36RN
AP5M1,AP5M1
GLYCTK,GLYCTK
CABLES1,CABLES1
TBK1,TBK1
ZMYM6,ZMYM6
UFSP2,UFSP2
ABCB5,ABCB5
RAVER2,RAVER2
ZC3HAV1L,ZC3HAV1L
GLS2,GLS2
NFU1,NFU1
HNRNPLL,HNRNPLL
ZNF687,ZNF687
DPAGT1,DPAGT1
NUP85,NUP85
SCARNA18B,SCARNA18B
NHS,NHS
NMNAT1,NMNAT1
PLEKHM3,PLEKHM3
CRAT,CRAT
FBXL14,FBXL14
STIM2,STIM2
USP4,USP4
E2F8,E2F8
LEAP2,LEAP2
KDM4C,KDM4C
ATP11A,ATP11A
EOGT,EOGT
ZNF219,ZNF219
PFAS,PFAS
HK3,HK3
MPI,MPI
LRRC8D,LRRC8D
PAQR7,PAQR7
NDUFAF7,NDUFAF7
CERCAM,CERCAM
FRA10AC1,FRA10AC1
OR4N2,OR4N2
PDCD11,PDCD11
NAA35,NAA35
WDR6,WDR6
TAAR5,taar5
TRIM29,TRIM29
GPN1,GPN1
SDHAF1,SDHAF1
PTH,PTH
TRAF7,TRAF7
MAP1LC3A,MAP1LC3A
PCCA,PCCA
LDB2,LDB2
SYT12,SYT12
PLXNA3,PLXNA3
GPR151,GPR151
CARD9,CARD9
HEATR1,HEATR1
RBP2,RBP2
SELENOM,SELENOM
ITGA7,ITGA7
TIMM17A,TIMM17A
LCMT1,LCMT1
CASKIN2,CASKIN2
ZBTB47,ZBTB47
TMEM260,TMEM260
TECPR1,TECPR1
MAP1B,MAP1B
HS6ST2,HS6ST2
RHBG,RHBG
KIAA0232,KIAA0232
MSH5,MSH5
CHRAC1,CHRAC1
LHX8,LHX8
ZKSCAN5,ZKSCAN5
SLC15A3,SLC15A3
NALF2,NALF2
FOXE1,FOXE1
SLC38A1,SLC38A1
FXR2,FXR2
CASC3,CASC3
ATG9B,ATG9B
FOXC2,FOXC2
KRTAP17-1,KRTAP17-1
ATP1B4,ATP1B4
ODF2,ODF2
CALML6,CALML6
ADRA2A,ADRA2A
PALMD,PALMD
RGS1,RGS1
OAZ1,OAZ1
S100P,S100P
STAR,STAR
ARTN,ARTN
CAMKMT,CAMKMT
WWC2,WWC2
CCDC80,CCDC80
PKMYT1,PKMYT1
PADI3,PADI3
LCAT,LCAT
MMUT,MMUT
CNR2,CNR2
SLC35B4,SLC35B4
CTBP2,CTBP2
OSBPL1A,OSBPL1A
EXOSC5,EXOSC5
TPM2,TPM2
DHX32,DHX32
FILIP1L,FILIP1L
STAT5A,STAT5A
SLC45A2,SLC45A2
CREBRF,CREBRF
NGEF,NGEF
TMEM271,TMEM271
INPP5D,INPP5D
DPP8,DPP8
ERLEC1,ERLEC1
CAPN9,CAPN9
GLI2,GLI2
TTC36,TTC36
NBAS,NBAS
TP73,TP73
TPPP2,TPPP2
FAM76A,FAM76A
HOXA4,HOXA4
ATN1,ATN1
TRMT2A,TRMT2A
LRIT1,LRIT1
MAN1C1,MAN1C1
DNASE2B,DNASE2B
ITCH,ITCH
SLC38A9,SLC38A9
MRTFB,MRTFB
FRMD5,FRMD5
MBNL3,MBNL3
SAFB2,SAFB2
AHDC1,AHDC1
PDAP1,PDAP1
MTHFR,MTHFR
CRMP1,CRMP1
CGN,CGN
SSH2,SSH2
VXN,VXN
TIMP1,TIMP1
MBIP,MBIP
CYP27B1,CYP27B1
UTRN,UTRN
SSBP4,SSBP4
TP53BP1,TP53BP1
MED27,MED27
ATCAY,ATCAY
RTP1,RTP1
GFM1,GFM1
HRH1,HRH1
DAPK2,DAPK2
TCF7L2,TCF7L2
RCC1,RCC1
GBA1,GBA1
MYL10,MYL10
SKIC3,SKIC3
RNF145,RNF145
SNORD110,SNORD110
RBPJL,RBPSUHL
AFG1L,LACE1
SLC38A2,SLC38A2
AP2A1,AP2A1
MYBPC3,MYBPC3
MCHR1,MCHR1
RAD1,RAD1
FGF4,FGF4
GPR65,GPR65
SOX4,SOX4
DMRT3,DMRT3
ETFBKMT,METTL20
SPIB,SPIB
ELAPOR2,ELAPOR2
ARAP2,ARAP2
MYO3B,MYO3B
QPRT,QPRT
PLEKHH1,PLEKHH1
CCDC106,CCDC106
TADA3,TADA3
TRIM68,TRIM68
DNAJC10,DNAJC10
CRAMP1,CRAMP1L
SLA2,SLA2
CACNG6,CACNG6
AMELX,AMELX
PKN3,PKN3
C16H17orf75,C17orf75
PDE6B,PDE6B
SALL4,SALL4
HARS1,HARS1
CDCP2,CDCP2
BACH1,BACH1
CEMIP,CEMIP
MYOM2,MYOM2
MIEF2,MIEF2
PPP1R12C,PPP1R12C
PTK7,PTK7
CHI3L2,CHI3L2
E2F7,E2F7
DEUP1,DEUP1
TMEM214,TMEM214
ITIH3,ITIH3
SLC22A7,SLC22A7
GPR68,GPR68
TMEM209,TMEM209
NETO1,NETO1
MICAL3,MICAL3
DCT,DCT
LINGO2,LINGO2
CHKA,CHKA
TLN2,TLN2
ILDR1,ILDR1
PRKDC,PRKDC
ACKR3,ACKR3
SEMA6B,SEMA6B
PYROXD1,PYROXD1
NIT1,NIT1
FUT11,FUT11
SLC35D1,SLC35D1
KNTC1,KNTC1
ADGRG6,ADGRG6
TPP2,TPP2
CBX6,CBX6
IDH3A,IDH3A
TUBB2B,TUBB2B
MANEA,MANEA
TMEM238,TMEM238
P4HTM,P4HTM
UGP2,UGP2
DNMT3B,DNMT3B
CDHR1,CDHR1
TMEM86A,TMEM86A
TSHZ1,TSHZ1
B3GALT9,B3GALT9
POLA1,POLA1
RNF167,RNF167
VWA5B2,VWA5B2
AQP9,AQP9
FSHB,FSHB
BBOX1,BBOX1
mml-mir-122a,MIR122
ZFHX2,ZFHX2
CCIN,CCIN
OR10P1,OR10P1
TBC1D5,TBC1D5
KLHL34,KLHL34
CHTOP,CHTOP
IGSF9,IGSF9
PPP2R5D,PPP2R5D
PAPPA,PAPPA
TYRO3,TYRO3
LURAP1,LURAP1
PCDH12,PCDH12
AIF1,AIF1
LRRFIP2,LRRFIP2
GPC2,GPC2
SEZ6,SEZ6
PTTG1,PTTG1
APH1B,APH1B
ZFAND2B,ZFAND2B
CREB3L4,CREB3L4
MGAT5B,MGAT5B
PHGR1,PHGR1
NME9,NME9
ANKS6,ANKS6
INVS,INVS
ANK1,ANK1
KBTBD13,KBTBD13
HMCES,HMCES
SPIRE2,SPIRE2
ZNF365,ZNF365
OR51E1,OR51E1
TPBGL,TPBGL
EPN3,EPN3
SLC4A1AP,SLC4A1AP
VCPKMT,VCPKMT
TMF1,TMF1
MMP28,MMP28
PEX16,PEX16
NEDD9,NEDD9
SNORD57,SNORD57
CLN3,CLN3
C6H5orf15,C5orf15
U5,U5
LRIG2,LRIG2
PTPRZ1,PTPRZ1
GTPBP4,GTPBP4
ITGA10,ITGA10
CC2D2A,CC2D2A
ZDHHC18,ZDHHC18
ACADVL,ACADVL
NCAM2,NCAM2
MED29,MED29
RAD54B,RAD54B
SSTR3,SSTR3
ZNF565,ZNF565
UBXN7,UBXN7
ADD3,ADD3
BNC1,BNC1
DUOX1,DUOX1
AASDH,AASDH
LPCAT2,LPCAT2
NEUROG2,NEUROG2
ASAH2,ASAH2
ZNF823,ZNF823
DPH2,DPH2
USP54,USP54
ELF5,ELF5
ITIH5,ITIH5
TMEM121B,TMEM121B
ALG2,ALG2
ATM,ATM
CASP2,CASP2
ATP5MC1,ATP5G1
ABCB11,ABCB11
