zebrafish gene name,frog gene name
MIR143,xtr-mir-143
DNAH2,dnah2
TCEA1,tcea1
WLS,wls
SLC6A5,slc6a5
dnajc3a,dnajc3
NKIRAS1,nkiras1
LMAN2,lman2
GDAP2,gdap2
GATA3,gata3
LIAS,lias
HOXC12,hoxc12
FBP2,fbp2
snord29,SNORD29
SSBP1,ssbp1
AMDHD1,amdhd1
mir126a,xtr-mir-126
ZCRB1,zcrb1
FGFRL1,fgfrl1
CDC42BPB,cdc42bpb
KIN,kin
ANAPC10,anapc10
MRPS14,mrps14
MKX,mkx
HNRNPDL,hnrnpdl
SMC4,smc4
TSHZ3,tshz3
DEGS2,degs2
MIR145,xtr-mir-145
SYT2,syt2
pvalb3,ocm4.3
ACAA1,acaa1
ARHGDIA,arhgdia
mir125b-3,xtr-mir-125b-2
HEY2,hey2
TTC21B,ttc21b
PRKCQ,prkcq
PPM1B,ppm1b
DPYS,dpys
PTCHD1,ptchd1
atg9b,atg9b
dhrs12,dhrs12
dnai2b,dnai2
ETV1,etv1
FKBP14,fkbp14
GALNT17,galnt17
ZPLD1,zpld1
DMRTA2,dmrta2
ABCB6,abcb6
slc7a11,slc7a11
BIN3,bin3
DIAPH2,diaph2
LRFN2,lrfn2
SUZ12,suz12
HOXC6,hoxc6
GRIN2A,grin2a
PHLDA1,phlda1
ROR2,ror2
CRMP1,crmp1
MBLAC2,cetn3
ALPL,alpl
CHST2,chst2
CSRP3,csrp3
HNRNPK,hnrnpk
NPAS3,npas3
CNOT10,cnot10
GAS2,gas2
ZMYND11,zmynd11
TXNRD2,txnrd2
HOMER1,homer1
PLA2G4A,pla2g4a
PCGF5,pcgf5
MEGF10,megf10
GHSR,ghsr
RBP1,rbp1
DGAT2,dgat2
INTS14,ints14
RHOH,rhoh
celf5a,celf5
KCNK2,kcnk2
PPARA,ppara
PFDN1,pfdn1
TARDBP,tardbp
ARHGAP5,arhgap5
PDE6C,pde6c
TMEM184A,tmem184a
PACSIN1,pacsin1
TMEM120A,tmem120a
CRYZ,cryz
FGF14,fgf14
NETO2,neto2
TPRG1L,tprg1l
SRP68,srp68
GLCE,glce
ERBB4,erbb4
LFNG,lfng
wnt11f2,wnt11b
ZFHX4,zfhx4
LOXL2,loxl2
gabrb1,gabrb1
SMIM14,smim14
BOK,bok
GPR45,gpr45
EDIL3,edil3
NEURL1,neurl1
HMGB2,hmgb2
KCNJ5,kcnj5
FIGN,fign
FERRY3,c12orf4
TRIM67,trim67
NDST4,ndst3
PAX1,pax1
SGCB,sgcb
GSX2,gsx2
mir196d,xtr-mir-196b
EMC8,emc8
PPM1L,ppm1l
KIF23,kif23
CAMK1D,camk1d
ZNF503,znf503
HECW1,hecw1
PAX9,pax9
prkcg,prkcg
CNR1,cnr1
DUSP4,dusp4
STX18,stx18
PPIB,ppib
COL1A2,col1a2
GLYR1,glyr1
FEV,fev
STAU1,stau1
ADAMTS10,adamts10
STRN3,strn3
NT5C1B,nt5c1a
TRPV4,trpv4
PGBD5,pgbd5
AASS,aass
ATG4B,atg4b
MID1IP1,mid1ip1
JPH1,jph1
LHX8,lhx8
KRR1,krr1
pck2,pck2
COQ8A,coq8a
DMXL2,dmxl2
ADGRB3,adgrb3
MYL1,myl1
KIF21A,kif21a
RASGRP3,rasgrp3
USP33,usp33
ISM1,ncoa1
LCTL,lctl
SPTSSA,sptssa
MPP7,mpp7
RGS20,rgs20
CTDSPL2,ctdspl2
MRPL15,mrpl15
DYM,dym
DYSF,DYSF
RALY,raly
ETFA,etfa
CAV1,cav1
mxd1,mxd1
tpte,tpte2
mir135c-1,xtr-mir-135-2
DOK6,DOK6
GSG1L,gsg1l
TKT,tkt
TUSC2,tusc2
DPF3,dpf3
GNS,gns
SRP72,srp72
SLC33A1,pomp
GSN,gsn
IRX1,irx1
TTLL7,ttll7
ARK2C,rnf165
FAHD1,fahd1
ALX4,alx4
LRRTM1,lrrtm1
AGAP1,agap1
EN2,en2
HACD3,hacd3
GCN1,gcn1
ACSL5,acsl5
DSCC1,dscc1
SLC7A9,slc7a9
DPH5,dph5
SUPT7L,supt7l
SPTLC3,sptlc3
GRAMD4,gramd4
FST,fst
ADAMTS3,adamts3
GABRA6,gabra6
VAX1,vax1
eef1a1l3,42Sp50
TBC1D22A,tbc1d22a
CYP2R1,cyp2r1
CDH2,cdh2
scdb,scd
GRHL1,grhl1
MIR489,xtr-mir-489
GTF2F2,gtf2f2
AAMDC,aamdc
ABHD17B,abhd17b
SOCS6,socs6
CYRIB,cyrib
MLLT1,mllt1
SRGAP2B,srgap2
DCTN2,dctn2
SEMA3F,sema3f
TMEM163,tmem163
DRD2,drd2
CNGA3,cnga3
SLC41A2,slc41a2
SEC22A,sec22a
PABIR1,pabir3
PDIA5,pdia5
RNF150,rnf150
HOXB5,hoxb5
LTA4H,lta4h
OCA2,cela2a
ITGB1BP1,itgb1bp1
DLX5,dlx5
ASPG,aspg
BEST2,best2
GALNT3,galnt3
DMGDH,dmgdh
GJA8,gja8
MEGF11,megf11
WIF1,wif1
KCNG2,kcng2
FICD,ficd
dre-mir-205,xtr-mir-205a
WDR3,wdr3
TMTC2,tmtc2
CACNA1A,cacna1a
IQGAP2,iqgap2
SLC5A7,slc5a7
RP2,rp2
SLC38A4,slc38a4
rab18a,rab18
HNF4G,hnf4g
LRRC58,lrrc58
SMOX,smox
JPH3,jph3
hcn2b,hcn2
MRPL13,mrpl13
CNGA1,cnga1
ANKMY2,ankmy2
ALDH9A1,aldh9a1
ZAP70,zap70
SLC38A2,slc38a2
BNIP2,bnip2
lck,lck
KCNB1,kcnb1
FSCN1,fscn1
CPEB2,cpeb2
FSD1,fsd1
SUPV3L1,supv3l1
TRMU,trmu
MT-ND4,nd4
CCDC85B,ccdc85b
svip,svip
MIR208A,xtr-mir-208
MTMR1,mtmr1
USH1G,ush1g
OPN5,opn5
HAO1,hao1
NTNG2,ntng2
CHSY3,chsy3
antxr1c,znf300
RCBTB1,rcbtb1
LARS1,lars1
SAMD4A,samd4a
ARL15,arl15
TRMT61A,trmt61a
SNX33,snx33
CYLD,cyld
PHF6,phf6
zgc:113531,vwc2l.2
NDRG1,ndrg1
CDK5,cdk5
RIOK3,riok3
SGK2,sgk2
TENM3,tenm3
MNAT1,mnat1
FAIM,faim
MEST,mest
PRPF40A,prpf40a
GRXCR1,grxcr1
SLC49A4,slc49a4
DNMT3A,dnmt3a
ROBO3,robo3
FARS2,fars2
TM4SF4,XB5965330 [provisional]
GALK2,galk2
COX7A2L,cox7a2l
ALX1,alx1
PFKFB3,pfkfb3
PCDH18,pcdh18
CWC27,cwc27
ASIC4,asic4
TNFAIP8L2,tnfaip8l2
HMGCLL1,hmgcll1
TXNRD3,chst13
TM9SF4,tm9sf4
TIMM8B,timm8b
WIPI1,wipi1
STAR,star
ints6,ints6
lgi1b,lgi1
AUH,auh
drd6b,drd1c
MIR135A2,xtr-mir-135-1
B4GALT7,b4galt7
ABHD6,abhd6
RPF1,rpf1
SWAP70,swap70
dapk2a,dapk2
SHH,shh
tmem276b,tmem178.2
COMMD2,commd2
SYNPR,synpr
DTNA,dtna
FAXC,faxc
RDH14,rdh14
TMEM263,tmem263
SETD7,setd7
KYAT3,kyat3
DOCK9,dock9
SAV1,sav1
MZT1,mzt1
ECT2,ect2
GLRA3,glra3
SYK,syk
DGAT1,dgat1
COX7A2,cox7a2
RCOR1,rcor1
PAX3,pax3
TP63,tp63
OLFML2A,olfml2a
HOXD4,hoxd4
PUDP,pudp
ZNG1F,cbwd2
SEMA6D,sema6d
SNUPN,snupn
CFAP52,cfap52
GPT2,gpt2
POMGNT2,pomgnt2
VTI1A,vti1a
MIR363,xtr-mir-363
POFUT1,pofut1
dre-mir-10b-2,xtr-mir-10c
LRBA,lrba
STK39,stk39
GARRE1,garre1
EFEMP2,efemp2
EGR2,egr2
GALNS,galns
MCU,mcu
MNX1,mnx1
GSTZ1,gstz1
SH3BP5,sh3bp5
HTRA3,htra3
ATG13,atg13
VIM,vim
DAZAP1,dazap1
TYW1B,tyw1
CLCN2,clcn2
FGF20,fgf20
NRXN3,nrxn3
SNORD54,SNORD54
SLC40A1,slc40a1
GRK1,grk1
CBL,cbl
PTPN9,ptpn9
CALCR,calcr
NACC1,nacc1
PRIM2,prim2
GABPA,gabpa
DLX2,dlx2
CHAT,chat
CPVL,cpvl
FBXO9,fbxo9
S1PR1,s1pr1
TBXT,tbxt
FHL1,fhl1
DMRT3,dmrt3
SEC63,sec63
TCEA2,tcea3
ACOX3,acox3
SP8,sp8
NSUN2,nsun2
TPRA1,tpra1
RHOF,rhof
ADRA1D,adra1d
PXN,pxn
NPFFR2,npffr2
PPP1R12A,ppp1r12a
GRPEL1,grpel1
SDF2L1,sdf2l1
KCNIP4,kcnip4
EBPL,ebpl
MTMR14,mtmr14
KCNA4,kcna4
SATB1,satb1
OXTR,oxtr
WASL,wasl
KLF6,klf6
acss2l,acss2.2
dre-mir-338-1,xtr-mir-338-2
DAB1,dab1
B3GAT2,b3gat2
COLEC11,colec11
HPSE2,hpse2
mir187,xtr-mir-187
MEOX2,meox2
FAXDC2,faxdc2
SLC25A46,slc25a46
NR6A1,nr6a1
KCNB2,kcnb2
KIDINS220,kidins220
POU1F1,pou1f1
WASF1,wasf1
MAGI1,magi1
PMP22,pmp22
ZNRF2,znrf2
RAB33B,rab33b
LMAN1,lman1
EXOSC7,exosc7
TNFAIP6,tnfaip6
cimap1b,odf3
PDE1A,pde1a
ADRA2A,adra2a
zgc:63587,septin5
TTC39A,ttc39a
TSHZ1,tshz1
SORCS2,sorcs2
IMMP2L,immp2l
ACSBG2,acsbg2
HOXB9,hoxb9
ATF3,atf3
TRIM8,trim8
PBDC1,pbdc1
TMCO3,tmco3
CHORDC1,chordc1
RGR,rgr
DOCK8,dock8
CHRM4,chrm4
PLPPR4,plppr4
EFNB1,efnb1
RPA1,rpa1
OSBPL11,osbpl11
DRGX,drgx
FLVCR1,flvcr1
PLCB4,plcb4
IRX4,irx4
ERLEC1,erlec1
ATG7,atg7
HACL1,colq
DBT,dbt
RTCA,rtca
ENOX1,enox1
SPSB1,SPSB1
scn1laa,scn1a
ST6GALNAC5,st6galnac5
BCR,casp2
AKR1A1,akr1a1
DCT,dct
ELOVL2,elovl2
ANKRD52,ankrd52
PLCG1,plcg1
PIK3CB,pik3cb
OPRK1,oprk1
ACOT9,acot9
GJA3,gja3
SPECC1L,specc1l
DNAJB12,dnajb12
LSM1,lsm1
OTC,otc
GFI1,gfi1
NME7,nme7
ADRB1,ADRB1
ADRA2C,adra2c
CACNA1B,CACNA1B
VPS8,vps8
SFRP5,sfrp5
CBFA2T2,cbfa2t2
KCTD12,kctd12
SNORA62,SNORA62
ABCA4,abca4
INA,ina
L2HGDH,l2hgdh
SLMAP,slmap
KDM2B,kdm2b
CAMKK1,camkk1
NAALAD2,folh1
MBTPS2,mbtps2
FEM1C,fem1c
PHYH,phyh
DHX40,dhx40
NADK2,nadk2
ADORA2B,adora2b
PID1,pid1
EOGT,eogt
DNAJC15,dnajc15
QDPR,qdpr
PAQR3,paqr3
SLC15A4,slc15a4
VLDLR,vldlr
TMTC4,tmtc4
TTYH3,ttyh3
ELOVL7,elovl7
FARP1,farp1
UGT8,ugt8
CLOCK,clock
ARFIP1,arfip1
CYB5R2,cyb5r2
GAB2,gab2
slc7a2,slc7a2.1
CCN4,ccn4
FOSL2,fosl2
LMLN,lmln
mgst3b,XB5796436 [provisional:mgst3]
GPR50,mtnr1c
MYO18A,MYO18A
OPRL1,oprl1
EXOSC8,exosc8
PRP4K,prpf4b
pcmtl,XB5997770 [provisional]
SLC12A3,psmd5
DLG5,dlg5
SLC5A11,slc5a11
TMEM259,tmem259
SH3BGRL2,sh3bgrl2
ppa1a,ppa2
KLHL12,klhl12
LGI2,lgi2
ANKDD1A,ankdd1a
CHMP6,chmp6
DPYSL4,dpysl4
DHRS11,dhrs11
SCAPER,scaper
TRIM54,TRIM54
DGKZ,dgkz
cables1,cables1
SEMA5B,sema5b
CORO1C,coro1c
SMIM20,smim20
AK5,ak5
STX12,stx12
ACSBG1,acsbg1
MORN5,morn5
WASHC3,washc3
si:dkey-90l8.3,lmo4.2
DCN,dcn
si:dkey-246g23.2,slc66a2.2
trpm1b,trpm1
TSPAN12,tspan12
SLC25A15,slc25a15.2
ugl,XB5866417 [provisional]
NTRK2,ntrk2
FANCI,fanci
SLC35B1,slc35b1
HTR3A,htr3a
mir454b,xtr-mir-454
si:zfos-2326c3.2,nrk
GATB,gatb
WASH6P,washc1
EFNB2,efnb2
FSTL1,fstl1
NRN1,nrn1
TCF15,tcf15
WTIP,wtip
HSPB7,hspb7
OSBPL1A,osbpl1a
GPR153,gpr153
SLC2A5,slc2a5
ITPR2,itpr2
frzb,frzb
OTX1,otx1
TFG,tfg
CBLB,cblb
IRX2,irx2
BHLHE22,bhlhe22
TNFAIP8L3,tnfaip8l3
ZDHHC14,zdhhc14
ACAP3,acap3
SCHIP1,schip1
WEE1,wee1
TMEM200A,tmem200a
SOX11,sox11
TRHR,trhr
MC4R,MC4R
PGP,pgp
MAN2A1,man2a1
BMPR2,bmpr2
MIOX,miox
DOLK,dolk
PRICKLE2,prickle2
MRPS2,mrps2
PPID,ppid
TBCD,tbcd
VASH2,vash2
wnt2,wnt2
TACR1,tacr1
SLC24A4,slc24a4
PTPRG,ptprg
NUP188,nup188
GABPB1,gabpb1
PRKG2,prkg2
UBE2D1,tfam
GJB6,gjb2
SLC35E2B,slc35e2b
WWTR1,wwtr1
IRX3,irx3
CCN1,ccn1
IDI1,idi1
PHIP,phip
PIBF1,pibf1
MAST2,mast2
SNTB1,sntb1
UNC5C,unc5c
MCHR2,mchr2
CDK2AP1,cdk2ap1
RAPGEF1,rapgef1
CCBE1,ccbe1
QRSL1,qrsl1
SV2B,sv2b
ANO10,ano10
RBM26,rbm26
NAV3,nav3
PHYHD1,phyhd1
CLNS1A,clns1a
GFM2,gfm2
ATP10A,atp10a
AGXT,agxt
DEXI,DEXI
LSM14A,lsm14a
LMNB1,lmnb1
RGP1,rgp1
WNT16,wnt16
MIDN,midn
NAV2,nav2
GPR27,gpr27
ABCG5,abcg5
SERINC4,serinc4
LMBRD1,lmbrd1
ERCC4,ercc4
APBA1,apba1
MYO1H,myo1h
GPR135,gpr135
ARL13B,arl13b
CREBBP,crebbp
RBKS,rbks
SUPT20H,supt20h
BMP4,bmp4
NXPH2,rbm38
BMP6,bmp6
HIC2,hic2
GADD45A,gadd45a
ACVR1C,acvr1c
AMACR,amacr
acp1,acp1
SOCS3,socs3
MIR223,xtr-mir-223
CYP4V2,cyp4v2.2
zgc:171844,bmerb1l
ESS2,ess2
SUMO1,sumo1
SGTB,sgtb
HERC3,herc3
KATNAL2,katnal2
TUBD1,tubd1
FBN2,fbn2
MRPS5,mrps5
EPDR1,epdr1
FAT1,fat1
LPIN2,lpin2
CBX5,cbx5
CRTAC1,crtac1
MPV17L2,mpv17l2
FGF8,fgf8
CACNA2D1,cacna2d1
zgc:86896,arpc1a
ANO8,ano8
NOC3L,noc3l
AP1S3,ap1s3
FGF3,fgf3
ODAD2,odad2
BCAT1,bcat1
PCSK1,pcsk1
RUNX3,runx3
SGIP1,sgip1
ENKUR,enkur
TNNI2,tnni2
prkag3b,prkag3
ABCB4,abcb1
PCIF1,pcif1
CACNA1I,cacna1i
NBAS,nbas
DPP6,dpp6
TBCA,tbca
TMEM63C,tmem63c
RASL11B,rasl11b
FUNDC1,fundc1
STAMBPL1,stambpl1
PDCD4,pdcd4
RALGAPA2,ralgapa2
ADARB2,adarb2
SLC24A5,slc24a5
FECH,fech
ANXA6,anxa6
KLHL17,klhl17
RHBDL2,rhbdl2
BLTP2,kiaa0100
GLRX5,glrx5
MFSD2A,mfsd2a
CHTF8,chtf8
CAP1,cap1
CHD7,chd7
ENAH,enah
HELZ,eaf2
EMC1,emc1
HBS1L,hbs1l
JAK1,jak1
HDDC2,hddc2
SOX4,sox4
PRRC1,prrc1
TTPAL,ttpal
ARPP19,arpp19
PRCP,prcp
MOGAT2,mogat2.2
ANO5,ano5
RXFP1,rxfp1
prtfdc1b,prtfdc1
LRATD1,lratd1
LNX2,lnx2
TPCN1,TPCN1
histh1l3,XB5900552
HEXB,hexb
CASZ1,casz1
NRP1,nrp1
TMEM64,tmem64
RGS19,rgs19
ANP32E,anp32e
STAU2,stau2
PHEX,phex
CDK15,cdk15
TMC1,tmc2
MYEF2,myef2
TOX,tox
JAKMIP3,jakmip3
LSG1,lsg1
TOX3,tox3
SAMTOR,bmt2
UBE2J1,ube2j1
PRKCH,prkch
ANXA2,anxa2
CHPT1,chpt1
arhgef6,arhgef6
KLHL40,klhl40
FEZF1,fezf1
COL12A1,col12a1
ATCAY,atcay
PRDM13,prdm13
NVL,nvl
EDNRA,ednra
serinc2,serinc2
HTATIP2,htatip2
LARS2,lars2
HAO2,hao2
COQ6,coq6
GREM1,grem1
FKBP4,fkbp4
THBS4,thbs4
NTMT2,ntmt2
SAE1,sae1
RBMS1,rbms1
RASSF4,rassf4
FOXB2,foxb2
FOXL3,foxl3-ot1
BORCS8,borcs8
ZFHX3,zfhx3
UQCC1,uqcc1
ARHGAP1,arhgap1
UTP11,utp11
NTMT1,ntmt1
DNAJC10,dnajc10
HAS1,has1l
ATP8A1,atp8a1
TRAK1,trak1
GUCY1A2,gucy1a2
LYSET,tmem251
LDLRAD4,ldlrad4
DRAP1,drap1
ACSS3,acss3
APRT,aprt
CPT1B,cpt1b
IFRD1,ifrd1
PALD1,pald1
ZBTB37,zbtb37
MELK,melk
RPP30,rpp30
COA7,coa7
MIR24-1,xtr-mir-24a
TRIM37,trim37
cax1,XB5937757 [provisional]
NKX2-5,nkx2-5
DIPK1A,dipk1a
FGF6,fgf6
LEO1,leo1
mir190b,xtr-mir-190
ENPP2,enpp2
MLLT3,mllt3
AGTPBP1,agtpbp1
VIPR1,vipr1
SLC27A6,slc27a6
RNF34,rnf34
BICC1,bicc1
AGMAT,agmat
SP4,sp4
FAM222A,fam222a
cdh6,cdh6
ECHDC2,echdc2
PSMB9,psmb9
CASP7,casp7
SLIRP,slirp
ALG2,alg2
SCCPDH,sccpdh.2
KCNC1,kcnc1
AVPR1A,avpr1a
WDR7,wdr7
MTMR7,mtmr7
WAC,wac
CLGN,clgn
PLPPR5,plppr5
GNG11,gngt1
SEC23IP,sec23ip
BROX,brox
EFHC2,efhc2
ELMOD2,elmod2
SEC24D,sec24d
PIK3CG,prkar2b
TACR3,tacr3
TASP1,tasp1
DSE,dse
C7H16orf87,c16orf87
foxd1,foxd1
DGKI,dgki
LPGAT1,lpgat1
CBR1,cbr1.3
DGCR2,dgcr2
IGSF21,igsf21
PPT1,ppt1
ULK1,ulk1
IRX5,irx5
VRK1,vrk1
CRLF3,crlf3
COX4I1,cox4i1
MARS1,mars1
MRPL3,mrpl3
MRPL45,mrpl45
NHLRC2,nhlrc2
TBC1D4,tbc1d4
TMEM144,tmem144
SSTR2,sstr2
NET1,net1
si:dkey-13p1.4,tmem151b
MINDY2,mindy2
IFFO2,iffo2
CNTN5,cntn5
pex3,pex3
CDC14A,cdc14a
ARL6IP5,arl6ip5
SLC25A28,slc25a28
OTUD7B,otud7b
dre-mir-146b-1,xtr-mir-146b
ACOT11,acot11
KLHDC4,klhdc4
pde8a,pde8a
BABAM1,babam1
COL14A1,alox15b
SERINC5,serinc5
gad3,gad1.2
ADAMTS15,adamts15
ZNF143,znf143
TMOD4,tmod4
AEBP2,aebp2
SLC30A1,slc30a1
VPS13A,vps13a
ADAMTS5,adamts5
HS6ST2,hs6st2
GPR157,gpr157
SLC7A3,slc7a3
MYOM1,myom1
fras1,fras1
NR2C2AP,nr2c2ap
MCEE,mcee
DDX11,ddx11
RIMS1,rims1
ADAMTS18,adamts18
HAPLN4,hapln4
WASF3,wasf3
C13H10orf53,c10orf53
WARS2,wars2
XXYLT1,xxylt1
MMAA,mmaa
ASAH1,asah1
SMAD4,smad4
HCK,hck
TCF12,tcf12
RHCG,rhcg
ZFPM2,zfpm2
NYX,nyx
CASD1,casd1
SARM1,sarm1
LATS2,lats2
JADE3,rgn
RC3H1,rc3h1
ITM2B,itm2b
dusp22a,dusp22a
SMG7,smg7
AFF2,aff2
SLC2A2,slc2a2
CACNA2D4,cacna2d4
DIPK1B,dipk1b
PTK2B,ptk2b
mt-nd4l,nd4l
DTYMK,dtymk
ATP6AP2,atp6ap2
SLC25A43,slc25a43
ITGA8,itga8
PEX5L,pex5l
SLC26A1,slc26a1
EEF1E1,eef1e1
TMEM168,tmem168
ADCK1,adck1
gpr78a,gpr78
NDUFAF1,ndufaf1
TIAM1,tiam1
R3HDM2,r3hdm2
RGMA,rgma
CCNG2,ccng2
TOP3A,top3a
CHRNG,chrng
NPTN,nptn
mir457b,xtr-mir-16c
TWSG1,twsg1
BMP2,bmp2
DUT,dut
CARTPT,mgc145330
ELAPOR2,elapor2
CDHR1,cdhr1
ndufab1b,ndufab1
EHBP1,ehbp1
ZDHHC16,zdhhc16
ANAPC5,anapc5
CCND2,tigar
LIPA,lipa
MYF6,myf6
KCNS3,kcns3
NR2C1,nr2c1
snord22,SNORD22
DNAJC6,dnajc6
TYW5,tyw5
NMRK2,nmrk2
SIK2,sik2
PDSS1,pdss1
CIT,cit
HCN4,hcn4
ANGPTL1,angptl1
POGLUT2,poglut2
KDM5B,kdm5b
ZW10,zw10
RSRC2,rsrc2
tmtops2a,tmtops2
MMADHC,mmadhc
CRHBP,crhbp
CCNT2,ccnt2
DVL1,dvl1
NKAPL,nkap
CDK5R2,cdk5r2
RYBP,rybp
NELL2,nell2
MTF2,mtf2
HMX2,hmx2
ARHGAP10,arhgap10
PTPMT1,ptpmt1
RIMS2,rims2
BRD1,brd1
DPY19L3,dpy19l3
parapinopsina,parapinopsin
MYD88,myd88
OSBPL3,osbpl3
TENT4B,tent4b
FCHO2,fcho2
TYR,tyr
TRDMT1,trdmt1
PRDM8,prdm8
BNIP3,bnip3
cptp,cptp
SLC4A11,slc4a11
SLC25A26,slc25a26
TBX4,tbx4
MRPL19,mrpl19
REEP6,reep6
PLCD4,plcd4
CXCR4,cxcr4
PPARD,ppard
PLPP2,plpp2
alpi.1,alpi.2
ST8SIA2,st8sia2
SLC10A4,slc10a4
GNPTAB,gnptab
CTXN1,ctxn1
HDC,hdc
ASRGL1,asrgl1
si:ch73-132f6.5,XB983422 [provisional]
PIGP,pigp
TRMT1,trmt1
SLC46A1,slc46a1
LRMDA,lrmda
CEMIP,cemip
MPND,mpnd
ECI1,eci1
NCK1,nck1
PPA2,ppa1
WDR18,wdr18
RBM45,rbm45
RBM18,rbm18
GUCD1,gucd1
AK4,ak4
SMAP1,smap1
CPD,cpd
CTSA,ctsa
GTDC1,gtdc1
MCMBP,mcmbp
EPHB3,ephb3
NARS2,nars2
ITGA6,itga6
SNORD30,SNORD30
CHRNA9,chrna9
CH25H,ch25h
PRICKLE1,prickle1
ANO1,ano1
KLHL41,klhl41
CWC22,cwc22
CCDC92,ccdc92
HHATL,hhatl
TRMT6,trmt6
ITFG1,itfg1
HOXA3,hoxa3
IAH1,iah1
KLHL23,klhl23
MAK,mak
OPN4,opn4
WRNIP1,wrnip1
ENOPH1,enoph1
ADAMTS9,adamts9
MINDY4B,mindy4b
CHRM5,chrm5
ITGB3,itgb3
ASPA,aspa
DHRS7,dhrs7
VSTM2B,vstm2b
CCKAR,cckar
CTBS,ctbs
ROPN1L,ropn1l
SLC12A8,slc12a8
NFIX,nfix
SNX7,snx7
MIR128-2,xtr-mir-128-2
HSPB2,hspb2
MAST3,mast3
EPB41L5,epb41l5
SERPINI1,serpini1
SHISA2,shisa2
si:ch211-198n5.11,XB5906919 [provisional:mccc2]
MFSD2B,mfsd2b
HSD17B12,hsd17b12
CISD2,cisd2
AGK,agk
SMAD6,smad6
EFNB3,efnb3
RAB20,rab20
PDC,pdc
prok1,PROK1
TBC1D5,tbc1d5
MFGE8,mfge8
EGLN3,egln3
REEP3,reep3
DMAC2L,dmac2l
CLPB,clpb
tmem110l,tmem110l
RNFT2,rnft2
SNORA74,SNORA74
HOXC4,hoxc4
ZNF277,znf277
MT-ND5,nd5
kti12,kti12
NEB,kcne3
MCTP1,mctp1
GCM2,gcm2
TRARG1,trarg1
DTD2,dtd2
NR5A1,nr5a1
MRPL22,mrpl22
TMEM231,tmem231
LPP,lpp
SPON2,spon2
CLRN1,clrn1
SGPP1,sgpp1
WASF2,wasf2
SEMA3D,sema3d
PLD1,pld1
STEAP4,steap4.2
FABP3,fabp3
PTGER3,ptger3
NUDT5,nudt5
CTSC,ctsc
NOS1AP,nos1ap
SIPA1L1,sipa1l1
OSGEPL1,osgepl1
zgc:173742,top1.2
DNAJC17,dnajc17
PLCB1,plcb1
DGLUCY,dglucy
SFMBT2,sfmbt2
SULF1,sulf1
ADAM17,adam17
ADAMTS16,adamts16
C18H15orf61,c15orf61
zswim7,zswim7
GAREM2,garem2
RHPN2,rhpn2
PIEZO1,piezo1
MBOAT2,mboat2
MIR20B,xtr-mir-20b
PARP3,parp3
ASB4,asb4
MYBPC1,mybpc1
MT-ND2,nd2
C1H3orf70,c3orf70
NDUFA1,ndufa1
CA5B,ca5b
OIT3,oit3
RBM15,rbm15
NEGR1,negr1
NRSN1,nrsn1
HELT,helt
dkk2,dkk2
AADAT,aadat
prlh2r,XB994602 [provisional:prlhr]
MTHFD1,mthfd1
PPP4R4,ppp4r4
SLC10A2,slc10a2
CEMIP2,cemip2
IDS,ids
IRF4,irf4
MRRF,mrrf
GCNT4,gcnt4
CAP2,cap2
NCOR1,ncor1
DUSP19,dusp19
TWNK,twnk
TMEM240,tmem240
CORIN,rbm42
NCOA2,ncoa2
fbln5,fbln5
ALG6,alg6
mir199-2a,xtr-mir-199b
PAXIP1,paxip1
GYG1,gyg1
POP4,pop4
TFDP1,tfdp1
LPCAT2,lpcat2
XYLB,xylb
PDHX,pdhx
SLC24A1,slc24a1
FLVCR2,flvcr2
SRPX,srpx
MFSD1,mfsd1
RSAD2,rsad2
LRTM2,lrtm2
tm2d1,tm2d1
MYF5,myf5
PRSS12,prss12
TMEM41A,tmem41a
mep1a.2,mep1a
KCNH8,kcnh8
STARD5,stard5
HOXD11,hoxd10
NIPA1,nipa1
tlcd4b,tlcd4.2
UFSP2,ufsp2
ADORA2A,adora2a
ALKBH3,alkbh3
ATAD2B,atad2b
MMGT1,mmgt1
TGFBRAP1,tgfbrap1
PLAG1,plag1
DPT,dpt
DUSP5,dusp5
CLINT1,clint1
NTNG1,ntng1
unm_sa1614,XB5826631 [provisional:asap2]
LRRC1,lrrc1
uox,uox
NAT8L,nat8l
NRCAM,nrcam
TMEM117,tmem117
CPA6,cpa6
MMAB,mmab
BCL6,bcl6
AAGAB,aagab
RASA2,rasa2
msrb2,msrb2
DNAJC16,dnajc16
mir150,xtr-mir-150
ERCC6,ercc6
CALHM1,calhm1
ST3GAL3,st3gal3
ANK3,ank3
NINJ1,ninj1
LRIG1,lrig1
HAAO,haao
fer1l4,fer1l4
KREMEN1,kremen1
CLDN5,cldn5
tcf3b,tcf3
NUP58,nup58
HTR2A,htr2a
SRD5A2,srd5a2
FRA10AC1,fra10ac1
SLC15A2,slc15a2
PGS1,rerg
MAN2B1,man2b1
SAMD11,samd11
SLCO4A1,slco4a1
WDHD1,wdhd1
ALG12,alg12
STIM2,stim2
HPS1,hps1
CDA,cda
MPV17,mpv17
PLXNB1,plxnb1
FAM89A,fam89a
ZAR1,zar1
CAMTA1,camta1
CLCN1,clcn1
SLC38A6,slc38a6
TESK2,tesk2
SEC24A,sco2
GPR26,gpr26
col9a1b,col9a1
CMTM3,cmtm3
ERO1A,ero1a
FXYD6,fxyd6
ERG,erg
GLT8D1,glt8d1
