human gene name,chimpanzee gene name,correlation,identical_scores,orthology confidence,combo_score
COCH,COCH,0.9804124,100.0,1.0,1.9657011066221624
HPRT1,HPRT1,0.9804071,100.0,1.0,1.9656918277553803
DMD,DMD,0.9840093,99.4844,1.0,1.9656890263428817
LINC02218,LINC02218,0.99805176,97.4747,1.0,1.9656813362888867
WNT2B,WNT2B,0.9804002,100.0,1.0,1.9656797477212677
USF3,USF3,0.9849143,99.35355,1.0,1.9656722550314947
ARHGAP32,ARHGAP32,0.9880521,98.9039,1.0,1.9656634298978348
IFT52,IFT52,0.98038995,100.0,1.0,1.9656618027430568
HIKESHI,HIKESHI,0.9803875,100.0,1.0,1.9656575134555823
UBE2H,UBE2H,0.9803736,100.0,1.0,1.9656331783143988
KLK8,KLK8,0.98035896,100.0,1.0,1.965607547633325
CYB5B,CYB5B,0.9803588,100.0,1.0,1.9656072675165919
TMOD2,TMOD2,0.98234934,99.7151,1.0,1.965605908508012
KLHL18,KLHL18,0.9858,99.2213,1.0,1.9656045631587424
ORC4,ORC4,0.98354435,99.5413,1.0,1.9655712969361692
OR6C1,OR6C1,0.99824274,97.4359,1.0,1.9655409038807088
MFAP2,MFAP2,0.99565923,97.80515,1.0,1.9655363044659155
RAB22A,RAB22A,0.9839202,99.4845,1.0,1.965534260014341
GSDMA,GSDMA,0.9850264,99.3258,1.0,1.9655289414016939
RUNX3,RUNX3,0.9992202,97.2948,1.0,1.9655255635244253
DOHH,DOHH,0.989556,98.6755,1.0,1.9655014734492209
ENKUR,ENKUR,0.98848814,98.8281,1.0,1.965499270726387
IL36RN,IL36RN,0.98931545,98.7097,1.0,1.9654988330420207
ACE2,ACE2,0.9872354,99.0062,1.0,1.9654854307979859
OVGP1,OVGP1,0.9974025,97.55135,1.0,1.9654826061549413
SYTL5,SYTL5,0.9933391,98.13225,1.0,1.9654770322793063
C19orf73,C19H19orf73,0.9965365,97.6744,1.0,1.9654722091004069
FBXL8,FBXL8,0.98588365,99.1979,1.0,1.9654646712294326
EXTL2,EXTL2,0.99591565,97.7619,1.0,1.9654559861672933
LTA4H,LTA4H,0.9802722,100.0,1.0,1.9654556543348307
CROCC,CROCC,0.98719746,99.0084,1.0,1.9654459290154986
MED24,MED24,0.9868487,99.05754999999999,1.0,1.9654367818978504
DCST1,DCST1,0.98917145,98.7252,1.0,1.9654363979443086
MSRA,MSRA,0.99063635,98.51425,1.0,1.9654196947089444
HCCS,HCCS,0.9802494,100.0,1.0,1.9654157377003718
ZBTB14,ZBTB14,0.9802266,100.0,1.0,1.9653758210659125
YPEL4,YPEL4,0.9802245,100.0,1.0,1.9653721445337915
TJAP1,TJAP1,0.98397845,99.4614,1.0,1.9653535705851835
CRYZL1,CRYZL1,0.9902609,98.5623,1.0,1.9653503601698463
OR5V1,OR5V1,0.9976311,97.5078,1.0,1.9653499115278374
RER1,RER1,0.98377097,99.4898,1.0,1.9653378535291304
HPS3,HPS3,0.9843812,99.4024,1.0,1.9653367073912622
LMLN,LMLN,0.98729146,98.9859,1.0,1.9653351702319273
VPREB3,VPREB3,0.99156684,98.374,1.0,1.9653325238401984
RXFP2,RXFP2,0.9876128,98.939,1.0,1.9653238450808734
CRYBB3,CRYBB3,0.9967562,97.6303,1.0,1.965317202755568
DCAF8L1,DCAF8L1,0.99879634,97.33805000000001,1.0,1.9653127396619152
DHRS7B,DHRS7B,0.9844845,99.3846,1.0,1.9652997432199952
HOMEZ,HOMEZ,0.99036,98.54310000000001,1.0,1.9652889114538956
ZMYM1,ZMYM1,0.99213403,98.28790000000001,1.0,1.965271934104408
PSMB7,PSMB7,0.9826899,99.639,1.0,1.9652709186445954
PLK3,PLK3,0.9973573,97.539,1.0,1.9652523490468194
DPCD,DPCD,0.99392396,98.0296,1.0,1.965244859362861
LITAF,LITAF,0.9844899,99.3789,1.0,1.9652394475607957
SDHAF1,SDHAF1,0.99837583,97.3913,1.0,1.965228148460941
UBR4,UBR4,0.98081625,99.9035,1.0,1.9652272902903873
RAB11FIP1,RAB11FIP1,0.98776144,98.9088,1.0,1.9652145230192097
PEX6,PEX6,0.9836915,99.4898,1.0,1.9651987230492858
VDAC3,VDAC3,0.9813489,99.82395,1.0,1.9651863812097727
SPATA9,SPATA9,0.982868,99.6063,1.0,1.9651825811470442
TCTN3,TCTN3,0.994715,97.9105,1.0,1.9651723569763515
ENOX2,ENOX2,0.997894,97.45495,1.0,1.9651634649481626
RAP1B,RAP1B,0.9801007,100.0,1.0,1.9651554042115968
RNASEL,RNASEL,0.99895185,97.3009,1.0,1.965130399548857
RHCG,RHCG,0.9844621,99.3737,1.0,1.965127146065361
OR10K1,OR10K1,0.9979187,97.4441,1.0,1.9650739389954066
OR2J2,OR2J2,0.99797213,97.4359,1.0,1.9650671389486485
ZIC5,ZIC5,0.99825567,97.39529999999999,1.0,1.9650667278813985
MYO6,MYO6,0.9911713,98.40815,1.0,1.9650579260165686
PPP1R2B,PPP1R2B,0.997084,97.561,1.0,1.9650430836305492
FAR1,FAR1,0.9834131,99.5168,1.0,1.9650417127708686
CADPS2,CADPS2,0.9870254,98.99975,1.0,1.9650388504081153
CTSS,CTSS,0.98635113,99.0937,1.0,1.9650080306785034
SPO11,SPO11,0.98707306,98.9899,1.0,1.9650017579782943
GAS7,GAS7,0.98000723,100.0,1.0,1.9649917635176104
OR8H3,OR8H3,0.99792594,97.4359,1.0,1.9649862727492773
ABCC5,ABCC5,0.98048824,99.9304,1.0,1.9649822026402561
TAS2R60,TAS2R60,0.99756724,97.4843,1.0,1.9649505458007805
CMTM5,CMTM5,0.997255,97.52855,1.0,1.9649453751459052
WT1,WT1,0.9880352,98.8476,1.0,1.9649449123187295
DRAM2,DRAM2,0.97997814,100.0,1.0,1.9649408347940835
MAGEB17,MAGEB17,0.99869794,97.3214,1.0,1.9649367256215569
AQP1,AQP1,0.98517203,99.2565,1.0,1.9649358918688062
PPP4C,PPP4C,0.97997415,100.0,1.0,1.964933849383053
GIGYF1,GIGYF1,0.99984246,97.1572,1.0,1.9649311927218833
KRTAP3-1,KRTAP3-1,0.99423546,97.9592,1.0,1.9649287428967448
ZXDC,ZXDC,0.98403883,99.4173,1.0,1.964919638003414
ATP7B,ATP7B,0.9870984,98.9761,1.0,1.9648772540158261
ARHGAP22,ARHGAP22,0.9961619,97.67869999999999,1.0,1.964869003917661
VRK2,VRK2,0.98267424,99.6063,1.0,1.9648433597833255
OR2L3,OR2L3,0.99784404,97.4359,1.0,1.9648428879965494
PAPLN,PAPLN,0.98812425,98.8263,1.0,1.9648401715498223
ARHGAP1,ARHGAP1,0.983104,99.5444,1.0,1.9648382971573444
PBXIP1,PBXIP1,0.9923493,98.2216,1.0,1.9648375156948101
DGUOK,DGUOK,0.9849641,99.278,1.0,1.9648349532594094
POLR1D,POLR1D,0.97991616,100.0,1.0,1.96483232457462
ANO5,ANO5,0.98068064,99.8905,1.0,1.9648307958191655
EDA,EDA,0.9799009,100.0,1.0,1.9648056084412056
BRF1,BRF1,0.989706,98.59675,1.0,1.9648004371116254
C16orf87,C16H16orf87,0.97989786,100.0,1.0,1.9648002862232776
PRMT7,PRMT7,0.9889862,98.6994,1.0,1.9647963665783377
NIF3L1,NIF3L1,0.9835993,99.4695,1.0,1.9647888993154679
PAPOLA,PAPOLA,0.9798899,100.0,1.0,1.9647863504158085
ZNF326,ZNF326,0.9810733,99.8282,1.0,1.964755886417012
ALOX12B,ALOX12B,0.98185235,99.7147,1.0,1.9647309187045856
SPART,SPART,0.98248,99.62440000000001,1.0,1.9647247836379709
OR52E2,OR52E2,0.9970594,97.5385,1.0,1.9647246883186074
SLC12A1,SLC12A1,0.99066514,98.4531,1.0,1.964721819621462
PAMR1,PAMR1,0.99365896,98.02295000000001,1.0,1.9646995414916568
CPSF7,CPSF7,0.98651445,99.0446,1.0,1.9646931343411387
EPB41L4B,EPB41L4B,0.9977948,97.43010000000001,1.0,1.96468570879584
ACR,ACR,0.9981342,97.3815,1.0,1.9646851993090642
OR2H1,OR2H1,0.997525,97.4684,1.0,1.9646820303125296
RAD23A,RAD23A,0.97982764,100.0,1.0,1.964677349992062
PSMB3,PSMB3,0.9798271,100.0,1.0,1.9646764045980878
TAS2R5,TAS2R5,0.99852604,97.3244,1.0,1.9646724855217217
AMBRA1,AMBRA1,0.98089606,99.8459,1.0,1.9646621779658457
BLVRA,BLVRA,0.98806345,98.81985,1.0,1.9646548000135169
BSND,BSND,0.9994678,97.1875,1.0,1.9646460385607019
QRSL1,QRSL1,0.9798065,100.0,1.0,1.9646403395687084
BMP1,BMP1,0.9819316,99.6957,1.0,1.9646371653607897
GPD2,GPD2,0.9918706,98.27355,1.0,1.9646351417362196
TARDBP,TARDBP,0.97978234,100.0,1.0,1.9645980419420184
TOX2,TOX2,0.98115987,99.8024,1.0,1.9645917383658953
SMARCE1,SMARCE1,0.9797773,100.0,1.0,1.9645892182649272
OVCH2,OVCH2,0.9952436,97.78569999999999,1.0,1.9645706435195234
ERLEC1,ERLEC1,0.9812085,99.793,1.0,1.9645618506910534
NPM2,NPM2,0.9879358,98.82955000000001,1.0,1.964550016068349
FRMD6,FRMD6,0.9808747,99.8392,1.0,1.9645427960113007
TMEM40,TMEM40,0.99321526,98.07329999999999,1.0,1.9645388642336297
SESTD1,SESTD1,0.9797482,100.0,1.0,1.9645382720341045
TNFSF14,TNFSF14,0.9913965,98.3333,1.0,1.9645362679533056
ATXN7L1,ATXN7L1,0.98258626,99.5933,1.0,1.964530252562072
LRRC72,LRRC72,0.98947316,98.6063,1.0,1.9645096584060138
TIGAR,TIGAR,0.98749524,98.8889,1.0,1.9645049670469021
LRRC18,LRRC18,0.9984745,97.318,1.0,1.964503937579929
HEPACAM2,HEPACAM2,0.9992546,97.20625,1.0,1.9645022224841147
DEPDC5,DEPDC5,0.98668575,99.00255,1.0,1.9644784780666282
L1TD1,L1TD1,0.99386084,97.97575,1.0,1.9644754031532692
RUFY1,RUFY1,0.980698,99.8588,1.0,1.9644732828204217
CBY2,CBY2,0.99062914,98.4375,1.0,1.9644678997173228
KRTAP1-4,KRTAP1-4,0.9970339,97.5207,1.0,1.964462230177238
SFI1,SFI1,0.99011946,98.5099,1.0,1.9644615301384571
ZDHHC19,ZDHHC19,0.99324936,98.0583,1.0,1.964415012536203
EPG5,EPG5,0.9831982,99.49615,1.0,1.964412791647286
OR8B3,OR8B3,0.9975408,97.4441,1.0,1.964412338286543
CELF4,CELF4,0.9796526,100.0,1.0,1.9643709022861096
RNF223,RNF223,0.997991,97.37450000000001,1.0,1.9643488374307814
FNBP1,FNBP1,0.9994108,97.17115000000001,1.0,1.964346175756543
ABI1,ABI1,0.9982102,97.3425,1.0,1.9643410206592522
MINAR1,MINAR1,0.9826695,99.5633,1.0,1.9643088801401243
PRUNE2,PRUNE2,0.9884372,98.737,1.0,1.9642953186556409
MACO1,MACO1,0.9795999,100.0,1.0,1.9642786388371625
SLC39A7,SLC39A7,0.9825788,99.5736,1.0,1.9642761277160403
LIN54,LIN54,0.9795981,100.0,1.0,1.9642754875239157
ANKDD1A,ANKDD1A,0.9876299,98.8506,1.0,1.9642720519345636
SAE1,SAE1,0.9795917,100.0,1.0,1.9642642828545938
ASPM,ASPM,0.9862208,99.0509,1.0,1.9642561242615058
CCDC167,CCDC167,0.98679006,98.9691,1.0,1.9642517766544476
ADAMTS16,ADAMTS16,0.98186636,99.6732,1.0,1.964247620398654
SSX2IP,SSX2IP,0.9818516,99.6743,1.0,1.9642352400789487
VCPKMT,VCPKMT,0.98262566,99.5633,1.0,1.9642321281552697
CPNE9,CPNE9,0.97957116,100.0,1.0,1.964228322868989
G6PC1,G6PC1,0.9834846,99.4398,1.0,1.9642246585116743
SMIM28,SMIM28,0.9979624,97.3684,1.0,1.9642241222571117
VSIG10L,VSIG10L,0.99860185,97.27615,1.0,1.9642147840946589
RFESD,RFESD,0.98288167,99.5238,1.0,1.9641969799515584
IQUB,IQUB,0.9857299,99.115,1.0,1.964181068178708
PRPF38B,PRPF38B,0.9795379,100.0,1.0,1.964170093603107
ZNF805,ZNF805,0.9862226,99.0431,1.0,1.9641638287551508
SYNM,SYNM,0.99207133,98.20615000000001,1.0,1.964161807269588
UTY,UTY,0.99260104,98.1302,1.0,1.9641598034222811
WRAP73,WRAP73,0.98560613,99.1304,1.0,1.9641528266632555
SPACA1,SPACA1,0.99854463,97.2789,1.0,1.9641482584702987
ACOT8,ACOT8,0.9817158,99.6865,1.0,1.9641467796170504
SEC16A,SEC16A,0.9906346,98.40934999999999,1.0,1.964132993576249
PAX2,PAX2,0.99878925,97.2422,1.0,1.964127432417536
STX6,STX6,0.97950155,100.0,1.0,1.9641064545828182
C2CD6,C2CD6,0.9977352,97.3894,1.0,1.9640833287028068
FBP1,FBP1,0.9856898,99.1124,1.0,1.964079048315954
DNAJC7,DNAJC7,0.9808992,99.7976,1.0,1.964076639181505
IGFL1,IGFL1,0.9985434,97.2727,1.0,1.9640702370881016
RPUSD4,RPUSD4,0.98318624,99.4695,1.0,1.9640657429545176
MYEF2,MYEF2,0.98530155,99.1667,1.0,1.9640637842616115
APH1B,APH1B,0.9794682,100.0,1.0,1.964048067751274
TBX4,TBX4,0.9826605,99.54175000000001,1.0,1.9640294211428113
INCENP,INCENP,0.9844107,99.29075,1.0,1.9640221183487196
SEC24A,SEC24A,0.98327965,99.451,1.0,1.9640028983274682
PRRT4,PRRT4,0.9879914,98.7764,1.0,1.9639969722148978
OR5I1,OR5I1,0.9972409,97.4522,1.0,1.9639864123361646
RAB14,RAB14,0.9794281,100.0,1.0,1.9639778634950542
SPRED3,SPRED3,0.98283756,99.5122,1.0,1.9639778087174884
SCN9A,SCN9A,0.9804821,99.8491,1.0,1.9639766036178525
HELQ,HELQ,0.9857726,99.0917,1.0,1.9639707075502084
NPM1,NPM1,0.9794208,100.0,1.0,1.963965083169109
ACTN4,ACTN4,0.9869143,98.9259,1.0,1.9639406587583248
MGA,MGA,0.9886147,98.67905,1.0,1.9638969522338092
PDZD4,PDZD4,0.9829878,99.4839,1.0,1.9638945376894683
RNF7,RNF7,0.9793747,100.0,1.0,1.9638843745354
NAPA,NAPA,0.9793703,100.0,1.0,1.9638766713252411
FAM111B,FAM111B,0.9888816,98.6376,1.0,1.9638570077703406
TFF1,TFF1,0.995998,97.619,1.0,1.9638515240661405
TBC1D22A,TBC1D22A,0.987465,98.8395,1.0,1.9638475284602115
OPTN,OPTN,0.9854043,99.1334,1.0,1.9638361872270451
KRTAP10-8,KRTAP10-8,0.99823046,97.2973,1.0,1.9638233883577532
ITGAV,ITGAV,0.9806678,99.8092,1.0,1.9638134669085656
CWC27,CWC27,0.9837721,99.3644,1.0,1.963805340676882
PPP3CA,PPP3CA,0.9793273,100.0,1.0,1.9638013899532352
CPSF2,CPSF2,0.9793256,100.0,1.0,1.9637984137129465
VASH2,VASH2,0.9793101,100.0,1.0,1.9637712774044325
CRY2,CRY2,0.9935793,97.9584,1.0,1.9637701947571276
OR4D10,OR4D10,0.99503535,97.7492,1.0,1.9637594119155184
COMMD10,COMMD10,0.98622036,99.0099,1.0,1.963753646298993
SPINK7,SPINK7,0.9792995,100.0,1.0,1.9637527196708682
DELE1,DELE1,0.99451643,97.8192,1.0,1.963707497343134
GDPD1,GDPD1,0.97927326,100.0,1.0,1.9637067805266488
COX5B,COX5B,0.9955246,97.6744,1.0,1.963700645836848
ADCK2,ADCK2,0.9881996,98.722,1.0,1.9636957937309099
ZCRB1,ZCRB1,0.9792598,100.0,1.0,1.9636832157064812
FNDC3A,FNDC3A,0.98100543,99.7496,1.0,1.9636752541412483
SH3TC1,SH3TC1,0.98814785,98.7275,1.0,1.9636724957196567
ABHD17C,ABHD17C,0.98770875,98.78875,1.0,1.9636532526297121
AADAT,AADAT,0.9841654,99.2941,1.0,1.9636336575677098
SHOX,SHOX,0.9792276,100.0,1.0,1.9636268422139556
KCNJ3,KCNJ3,0.97922075,100.0,1.0,1.963614849716322
PHLPP2,PHLPP2,0.99344057,97.96520000000001,1.0,1.9636105260901386
C7orf33,C7H7orf33,0.9950127,97.7401,1.0,1.9636084032676275
FEZF2,FEZF2,0.9988952,97.1819,1.0,1.9635750448805473
CDCP1,CDCP1,0.9892192,98.5646,1.0,1.9635547697397686
ZFHX2,ZFHX2,0.9846154,99.2224,1.0,1.96354410934537
PES1,PES1,0.98393464,99.3197,1.0,1.9635429205661161
AMTN,AMTN,0.9925474,98.0861,1.0,1.9635262526536246
PSKH2,PSKH2,0.9973151,97.4026,1.0,1.963509372592621
DGCR6L,DGCR6L,0.9855111,99.0909,1.0,1.9635031023472411
TRPM6,TRPM6,0.983136,99.4307,1.0,1.963502999556681
ARHGDIB,ARHGDIB,0.9791516,100.0,1.0,1.9634937867657587
KRTAP7-1,KRTAP7-1,0.9952175,97.7011,1.0,1.9634897185879177
MIIP,MIIP,0.9989613,97.1649,1.0,1.9634827429862423
ETS1,ETS1,0.98201686,99.5876,1.0,1.963463637539404
CACNB4,CACNB4,0.97912335,100.0,1.0,1.96344432865508
CREB3L3,CREB3L3,0.988218,98.6985,1.0,1.9634404430192305
DCAF12L1,DCAF12L1,0.99873,97.1922,1.0,1.963411863102639
ELAVL1,ELAVL1,0.97910297,100.0,1.0,1.9634086487862086
BRD2,BRD2,0.99675155,97.47485,1.0,1.9634068556954363
GIMAP4,GIMAP4,0.9812245,99.696,1.0,1.9634028955052072
COG2,COG2,0.98193926,99.5935,1.0,1.9633999778771654
SERPINI1,SERPINI1,0.9842112,99.2683,1.0,1.9633981322715535
SOHLH2,SOHLH2,0.9980256,97.2911,1.0,1.9633888659108671
TMEM132D,TMEM132D,0.9854514,99.0901,1.0,1.9633887943738282
NFKBIL1,NFKBIL1,0.9975169,97.36385,1.0,1.963388494917102
FBXO21,FBXO21,0.9829757,99.4427,1.0,1.9633691988656863
CUTC,CUTC,0.9790733,100.0,1.0,1.9633567046395242
LCN15,LCN15,0.99804676,97.2826,1.0,1.9633218987889904
ZNF280A,ZNF280A,0.99905854,97.1377,1.0,1.963320143739319
CCDC17,CCDC17,0.98578715,99.0354,1.0,1.9633072504164422
HSPB9,HSPB9,0.99662644,97.4843,1.0,1.963303459410469
BCL3,BCL3,0.98211724,99.5595,1.0,1.9632955224887976
PSMB9,PSMB9,0.98062897,99.77170000000001,1.0,1.9632866071385209
SART3,SART3,0.9868732,98.8768,1.0,1.9632678782799016
HEY1,HEY1,0.97901887,100.0,1.0,1.9632614124284011
TMEM240,TMEM240,0.9790181,100.0,1.0,1.9632600643666234
AASS,AASS,0.9812803,99.676,1.0,1.9632558507809803
MTMR4,MTMR4,0.986551,98.92179999999999,1.0,1.9632544479372018
PDZK1IP1,PDZK1IP1,0.99127436,98.2456,1.0,1.9632492689602827
CP,CP,0.9835947,99.3443,1.0,1.9632488021370662
IFNB1,IFNB1,0.99768853,97.3262,1.0,1.9632282581790266
MOCS1,MOCS1,0.9866924,98.8994,1.0,1.96322789741297
HDAC9,HDAC9,0.9825823,99.485,1.0,1.9631980772930726
SNX14,SNX14,0.9822886,99.5243,1.0,1.963164793144507
CC2D2A,CC2D2A,0.9847549,99.16890000000001,1.0,1.9631336688337
OR7A10,OR7A10,0.99704176,97.411,1.0,1.9631336170514513
GJB7,GJB7,0.98834676,98.6547,1.0,1.96312989635777
CHMP2A,CHMP2A,0.97894174,100.0,1.0,1.963126378655777
SPSB3,SPSB3,0.9848354,99.1549,1.0,1.9631032877606003
STXBP5,STXBP5,0.9792272,99.95660000000001,1.0,1.963095066028441
HOXD8,HOXD8,0.9921977,98.10045,1.0,1.9630896201934842
SLA2,SLA2,0.986954,98.8506,1.0,1.9630887338104017
SP1,SP1,0.9793577,99.93639999999999,1.0,1.9630763534496065
GPBP1,GPBP1,0.99453825,97.7645,1.0,1.963076346848216
ACRV1,ACRV1,0.9973704,97.3585,1.0,1.963066546304577
MYSM1,MYSM1,0.9822811,99.5169,1.0,1.9630611105617415
ALAS1,ALAS1,0.9788893,100.0,1.0,1.963034570396521
PCED1A,PCED1A,0.9788768,100.0,1.0,1.9630126862767519
TTYH3,TTYH3,0.98154175,99.6176,1.0,1.962998951560234
PPL,PPL,0.98643124,98.918,1.0,1.9629982808298907
CDH2,CDH2,0.99421525,97.8041,1.0,1.9629954373544347
MXD1,MXD1,0.9788585,100.0,1.0,1.9629806479254097
ATXN7L3,ATXN7L3,0.98576355,99.0113,1.0,1.9629710269992922
VILL,VILL,0.9874302,98.7727,1.0,1.9629691867182864
ERP27,ERP27,0.99677116,97.4359,1.0,1.9629645652431083
CFH,CFH,0.99814445,97.238,1.0,1.962947167542036
CELF3,CELF3,0.99545735,97.62125,1.0,1.9629325248543052
ENOX1,ENOX1,0.9788307,100.0,1.0,1.9629319776430432
IGSF6,IGSF6,0.9817284,99.5851,1.0,1.9629280301549539
CTSL,CTSL,0.9788113,100.0,1.0,1.9628980134891614
KIAA1671,KIAA1671,0.990237,98.36525,1.0,1.9628972618607268
DTX4,DTX4,0.98106825,99.6769,1.0,1.9628956216677844
PPIG,PPIG,0.98066205,99.7347,1.0,1.9628917607185565
GABRG3,GABRG3,0.98029906,99.7859,1.0,1.9628827861010376
CYLC1,CYLC1,0.9841803,99.2305,1.0,1.9628814847555678
CPXCR1,CPXCR1,0.99505067,97.6744,1.0,1.9628709225662695
CPA3,CPA3,0.99052554,98.3213,1.0,1.9628646112560428
RAPH1,RAPH1,0.99548846,97.61105,1.0,1.9628621749797999
CACNA1D,CACNA1D,0.98489213,99.1269,1.0,1.9628599770409338
ARRDC2,ARRDC2,0.9839383,99.2629,1.0,1.9628542796013353
ZRSR2,ZRSR2,0.98603755,98.96005,1.0,1.9628235923527624
RNF170,RNF170,0.9868933,98.8372,1.0,1.9628184917834348
MLXIPL,MLXIPL,0.9845072,99.1784,1.0,1.962816262447919
ZNF484,ZNF484,0.9853052,99.06225,1.0,1.9627920436159418
RNF152,RNF152,0.97874254,100.0,1.0,1.9627776333231348
SPTBN2,SPTBN2,0.9816648,99.5816,1.0,1.9627738550524647
KPNA5,KPNA5,0.9813339,99.6289,1.0,1.9627733379374166
OR7C1,OR7C1,0.99621075,97.5,1.0,1.9627678159470974
RABGGTA,RABGGTA,0.9811977,99.6473,1.0,1.9627600451684972
SHISA6,SHISA6,0.98126274,99.637,1.0,1.9627478738715194
CD68,CD68,0.98464024,99.1525,1.0,1.9627322471232822
SLC35A5,SLC35A5,0.9836553,99.2924,1.0,1.9627198078962027
SCYGR8,SCYGR8,0.9978828,97.25585000000001,1.0,1.9627075155226539
MCOLN3,MCOLN3,0.97995853,99.8192,1.0,1.9626940946557059
SYTL1,SYTL1,0.9873882,98.7544,1.0,1.9626717231529498
TMDD1,TMDD1,0.9983703,97.1825,1.0,1.9626634289862444
PTPRM,PTPRM,0.9800925,99.7952,1.0,1.9626349573758928
OR52E6,OR52E6,0.99859834,97.1468,1.0,1.962625812608764
ZNF524,ZNF524,0.9839499,99.2424,1.0,1.9626237342437327
ZFP69B,ZFP69B,0.9865079,98.8764,1.0,1.9626234420550681
NLRC4,NLRC4,0.98069197,99.707,1.0,1.9626051839703322
SLC19A1,SLC19A1,0.9863211,98.89930000000001,1.0,1.9625766278421701
SCN8A,SCN8A,0.9812601,99.62305,1.0,1.9625725489795975
BET1,BET1,0.9786215,100.0,1.0,1.9625657250145854
CSMD2,CSMD2,0.98170143,99.5593,1.0,1.962565104267149
STXBP6,STXBP6,0.9786205,100.0,1.0,1.9625639742850036
NFATC2,NFATC2,0.9984877,97.15715,1.0,1.9625587624754108
OGA,OGA,0.99045026,98.3069,1.0,1.9625566068200335
DNAJC16,DNAJC16,0.98308516,99.3606,1.0,1.9625561947655132
DENR,DENR,0.9786159,100.0,1.0,1.9625559209289285
RETN,RETN,0.99155575,98.1481,1.0,1.9625488215122089
FAM111A,FAM111A,0.9991983,97.054,1.0,1.9625406079106766
PLPPR1,PLPPR1,0.9786046,100.0,1.0,1.962536137684657
PHC3,PHC3,0.9855283,99.0093,1.0,1.9625346943217474
PRICKLE1,PRICKLE1,0.97943985,99.8797,1.0,1.9625263509268551
FERMT1,FERMT1,0.98169506,99.5569,1.0,1.9625245838675296
GPX8,GPX8,0.98528624,99.0431,1.0,1.9625245156041813
ABCB9,ABCB9,0.9785923,100.0,1.0,1.962514603710804
SIGLEC8,SIGLEC8,0.9967966,97.3948,1.0,1.9625061724849915
MBTD1,MBTD1,0.97967947,99.84125,1.0,1.962475356875633
PBLD,PBLD,0.9858475,98.9583,1.0,1.962469451845239
TLN1,TLN1,0.9814215,99.58924999999999,1.0,1.9624415138491165
CHRM1,CHRM1,0.97854203,100.0,1.0,1.9624265945347403
EIF3J,EIF3J,0.9825939,99.42009999999999,1.0,1.9624242192700443
CDIP1,CDIP1,0.98190075,99.5192,1.0,1.962423365140414
ACCSL,ACCSL,0.99206865,98.0634,1.0,1.962410316147878
BCAS1,BCAS1,0.9941961,97.75895,1.0,1.9624094206387146
IZUMO3,IZUMO3,0.9872969,98.7448,1.0,1.9623944085334144
NKAPL,NKAPL,0.998582,97.12995000000001,1.0,1.9623910160835178
OR5B17,OR5B17,0.996326,97.4522,1.0,1.9623846698420149
ZNF121,ZNF121,0.98030835,99.7436,1.0,1.9623814349340867
RPN1,RPN1,0.98197,99.5058,1.0,1.9623806304225684
MRPL30,MRPL30,0.98719525,98.7578,1.0,1.9623755249041208
PRKAR1A,PRKAR1A,0.97851074,100.0,1.0,1.9623718142061342
UBE2N,UBE2N,0.9785081,100.0,1.0,1.9623671922800385
CALHM4,CALHM4,0.9807341,99.6815,1.0,1.962366904528135
OR6X1,OR6X1,0.9964239,97.4359,1.0,1.9623566068886231
RGL1,RGL1,0.9999649,96.92904999999999,1.0,1.9623537325784928
CENPK,CENPK,0.9810784,99.6283,1.0,1.962318684466287
SMARCA1,SMARCA1,0.99906385,97.054,1.0,1.9623052223184385
PRDM1,PRDM1,0.98355246,99.2727,1.0,1.9622986984626838
CTXN3,CTXN3,0.9957186,97.5309,1.0,1.9622843106304275
CST11,CST11,0.9987178,97.1014,1.0,1.9622794053274046
BIN3,BIN3,0.9784561,100.0,1.0,1.9622761543417988
CDK11B,CDK11,0.9859431,98.9287,1.0,1.9622746131496172
UCP3,UCP3,0.9829343,99.359,1.0,1.9622725008660522
LDLRAD2,LDLRAD2,0.99644107,97.4265,1.0,1.9622716412611463
FAM187B,FAM187B,0.99549913,97.561,1.0,1.9622684048386563
ATP9A,ATP9A,0.9985514,97.12315000000001,1.0,1.962254233710465
TNNT2,TNNT2,0.9807864,99.6644,1.0,1.96224921888843
AHCYL2,AHCYL2,0.9795829,99.8363,1.0,1.9622457168998122
OCIAD1,OCIAD1,0.9812842,99.5918,1.0,1.9622323424455184
RBM7,RBM7,0.98104846,99.6255,1.0,1.9622320046617332
CARD14,CARD14,0.9853923,99.004,1.0,1.962231740208416
DGLUCY,DGLUCY,0.98630214,98.8728,1.0,1.962219159558093
ESCO1,ESCO1,0.9834076,99.2857,1.0,1.9622041658081721
ADGRG6,ADGRG6,0.98231566,99.44,1.0,1.9621806080289792
OR6C68,OR6C68,0.9985629,97.1154,1.0,1.962179532119638
MOB1A,MOB1A,0.9992324,97.0161,1.0,1.962136534140316
NFATC2IP,NFATC2IP,0.99005085,98.3294,1.0,1.9621326752821073
MEIG1,MEIG1,0.9942591,97.7273,1.0,1.9621324227766592
CNKSR3,CNKSR3,0.98214585,99.4595,1.0,1.9621219336877427
TM6SF1,TM6SF1,0.9783618,100.0,1.0,1.9621110605422594
AGPAT3,AGPAT3,0.9820769,99.4681,1.0,1.9621064571200926
TRIM32,TRIM32,0.9794255,99.8469,1.0,1.9620998618441625
MBIP,MBIP,0.98444605,99.1279,1.0,1.962091248360945
ELK4,ELK4,0.9848289,99.0719,1.0,1.9620762559635827
