human gene name,mice gene name,correlation,identical_scores,orthology confidence,combo_score
WNT4,Wnt4,0.91659224,98.8604,1.0,1.8570262697734479
PHF1,Phf1,0.97309023,89.94765000000001,1.0,1.857022597430038
SFT2D2,Sft2d2,0.9630132,91.53694999999999,1.0,1.8570193950162834
TP73,Trp73,0.99027836,87.2354,1.0,1.8570138396332398
PIBF1,Pibf1,0.98016286,88.8302,1.0,1.857004951987144
HTR4,Htr4,0.98540425,88.00014999999999,1.0,1.856972582216927
NOTUM,Notum,0.9721276,90.09450000000001,1.0,1.8569725784487954
NPFFR1,Npffr1,0.993163,86.77539999999999,1.0,1.8569642698027256
CDK12,Cdk12,0.96303326,91.52695,1.0,1.856951039044377
ZNF32,Zfp637,0.938376,95.41315,1.0,1.8569169758264863
HMX1,Hmx1,0.9854325,87.98984999999999,1.0,1.8569141457161116
PTPRA,Ptpra,0.9382908,95.42625,1.0,1.8569135754678836
TES,Tes,0.9620341,91.66714999999999,1.0,1.8567768951206487
AGL,Agl,0.9605109,91.906,1.0,1.8567625943433728
PLEKHA8,Plekha8,0.9531684,93.0636,1.0,1.8567560282278612
RALGPS2,Ralgps2,0.9558946,92.63085,1.0,1.8567290242093537
ZNF385B,Zfp385b,0.9681074,90.70400000000001,1.0,1.8567258375842968
COL3A1,Col3a1,0.96845084,90.64850000000001,1.0,1.8567126035368624
SAE1,Sae1,0.9546807,92.81915000000001,1.0,1.8566971345930623
NEK8,Nek8,0.9492591,93.6708,1.0,1.8566612286752062
ZFAND2B,Zfand2b,0.97080076,90.2724,1.0,1.856658529483905
PLEK,Plek,0.9616582,91.7143,1.0,1.8566554245244185
SLC1A1,Slc1a1,0.9714954,90.16245,1.0,1.8566548025484582
RGN,Rgn,0.9811973,88.6288,1.0,1.8566227490171108
FAM20C,Fam20c,0.9924701,86.84595,1.0,1.856576741534229
KLC4,Klc4,0.9449241,94.3457,1.0,1.8565719005702361
NFATC2,Nfatc2,0.9811061,88.63730000000001,1.0,1.8565638838445215
KAT6A,Kat6a,0.985391,87.9596,1.0,1.8565461807527075
SPEF1,Spef1,0.9818756,88.51225,1.0,1.8565272462382412
DYNC1LI1,Dync1li1,0.9429831,94.6463,1.0,1.8565160332457271
NEK6,Nek6,0.93942416,95.2077,1.0,1.8565159157311015
NEK2,Nek2,0.98327,88.28875,1.0,1.856491869008615
PGAM5,Pgam5,0.9496642,93.5878,1.0,1.856470261366169
TAAR9,Taar9,0.99278593,86.7816,1.0,1.856431453567768
SH3GLB2,Sh3glb2,0.9366696,95.6317,1.0,1.8564106827288345
UBE2S,Ube2s,0.953132,93.03415000000001,1.0,1.8564041083563456
OLFM2,Olfm2,0.9602794,91.90639999999999,1.0,1.8564014102704083
GABRA6,Gabra6,0.9635477,91.3907,1.0,1.8564000521955464
PPL,Ppl,0.9837168,88.20515,1.0,1.856360682156781
NDRG4,Ndrg4,0.9716483,90.10884999999999,1.0,1.8563599975582044
CDC123,Cdc123,0.9579925,92.2619,1.0,1.8563488964195998
COMMD4,Commd4,0.96627223,90.9548,1.0,1.8563389138038129
RAD50,Rad50,0.9577149,92.3018,1.0,1.8563099910258423
HIF1A,Hif1a,0.9737194,89.77465000000001,1.0,1.8562850935993125
NRP1,Nrp1,0.9521164,93.1744,1.0,1.8562045308422954
SOST,Sost,0.9865663,87.7378,1.0,1.8561821800656884
GPX2,Gpx2,0.9488671,93.6842,1.0,1.8561768608281133
AKAP8L,Akap8l,0.9575611,92.3091,1.0,1.8561403762939979
NOMO1,Nomo1,0.95457196,92.77605,1.0,1.856094600614254
CRTC2,Crtc2,0.95866555,92.13,1.0,1.8560916119284925
TC2N,Tc2n,0.98970956,87.232,1.0,1.8560825752673558
CLDND1,Cldnd1,0.96137744,91.6996,1.0,1.856065534328628
DNAJC8,Dnajc8,0.9137638,99.2095,1.0,1.856055493361632
PITX3,Pitx3,0.91923535,98.3444,1.0,1.8560356938559224
GOT1,Got1,0.96706647,90.799,1.0,1.8560338027805354
NOS1AP,Nos1ap,0.9382008,95.34275,1.0,1.8559366032580917
ABHD4,Abhd4,0.94210666,94.72445,1.0,1.8559149763173948
FAM184A,Fam184a,0.9794665,88.83064999999999,1.0,1.8559109656759152
DEF8,Def8,0.9502553,93.4382,1.0,1.8559067032907013
CMTM8,Cmtm8,0.9562706,92.4855,1.0,1.8558686525524837
SLC25A37,Slc25a37,0.96301335,91.4201,1.0,1.855851131636633
TOPORS,Topors,0.9934117,86.62465,1.0,1.8558490863424502
ZBTB20,Zbtb20,0.9231596,97.7058,1.0,1.8558400765700929
NR3C2,Nr3c2,0.96539086,91.0391,1.0,1.855791579953322
SKIL,Skil,0.98179483,88.45125,1.0,1.855789834067298
ERBIN,Erbin,0.98689264,87.6465,1.0,1.8557839712983935
PALS1,Pals1,0.9292071,96.7407,1.0,1.8557288203336006
ABCA2,Abca2,0.95059687,93.36625000000001,1.0,1.8557260193762413
ITM2C,Itm2c,0.95583874,92.5386,1.0,1.855718406791143
ASB11,Asb11,0.96740705,90.7121,1.0,1.8557020571717675
HMBS,Hmbs,0.9664605,90.8587,1.0,1.8556749038920073
FCER1G,Fcer1g,0.9822136,88.3721,1.0,1.8556589307594593
PLEK2,Plek2,0.9389816,95.1841,1.0,1.8555817910514856
DCAF13,Dcaf13,0.9525751,93.0337,1.0,1.8555211158715341
TKT,Tkt,0.94197613,94.703,1.0,1.8554945692891271
APAF1,Apaf1,0.9883343,87.3849,1.0,1.8554421452535979
GRK5,Grk5,0.93843406,95.2542,1.0,1.855419063676492
NAXE,Naxe,0.9794637,88.78175,1.0,1.8554175487627216
CPEB1,Cpeb1,0.9565491,92.39505,1.0,1.8554034776683395
DDX27,Ddx27,0.95778984,92.1977,1.0,1.8553872065525288
RABGEF1,Rabgef1,0.9354261,95.723,1.0,1.8553621000302116
GXYLT1,Gxylt1,0.9916007,86.85995,1.0,1.8553452899876404
PDE6C,Pde6c,0.99201214,86.7949,1.0,1.8553438238320483
ITK,Itk,0.94749284,93.8168,1.0,1.8553350082833528
SIGMAR1,Sigmar1,0.9708036,90.1345,1.0,1.8552840094958587
L1CAM,L1cam,0.9813261,88.47385,1.0,1.8552764270240127
PHEX,Phex,0.9336137,95.9947,1.0,1.8552200952188052
LYPD1,Lypd1,0.948686,93.617,1.0,1.8552191811926324
TAAR5,Taar5,0.99284035,86.6469,1.0,1.8551702994306223
MRAP2,Mrap2,0.98815143,87.3807,1.0,1.855111673497991
WDR35,Wdr35,0.9601707,91.79275,1.0,1.85509343939036
ACTC1,Actc1,0.9081346,100.0,1.0,1.855080604879856
USP21,Usp21,0.9310663,96.37495,1.0,1.855004150694099
GRK6,Grk6,0.92899257,96.7014,1.0,1.8549974059095269
SRXN1,Srxn1,0.9707546,90.1111,1.0,1.854972713514972
AGK,Agk,0.9599495,91.8151,1.0,1.854968003248072
NFX1,Nfx1,0.9812692,88.45185000000001,1.0,1.8549666690380442
CAMSAP2,Camsap2,0.9564904,92.3545,1.0,1.8549053802381752
DCP1A,Dcp1a,0.98496276,87.8629,1.0,1.8549036454291383
HOXD9,Hoxd9,0.9949756,86.28235000000001,1.0,1.8548930901079317
RFC5,Rfc5,0.9444143,94.25645,1.0,1.854875206875216
KRT34,Krt34,0.99024004,87.02345,1.0,1.8548338910212485
TMEM216,Tmem216,0.9787966,88.82855,1.0,1.854833219194365
SPRED2,Spred2,0.9707161,90.10300000000001,1.0,1.8548309809585612
TDG,Tdg,0.9895036,87.13919999999999,1.0,1.854829679752592
GNRHR,Gnrhr,0.9747292,89.46585,1.0,1.8547900217931756
MKLN1,Mkln1,0.9131122,99.1837,1.0,1.8547696145627395
DLGAP2,Dlgap2,0.97535694,89.3622,1.0,1.8547437621817835
WFIKKN1,Wfikkn1,0.9885917,87.27385000000001,1.0,1.8547376857736024
NEXMIF,Nexmif,0.9976368,85.84625,1.0,1.8547300506045747
PRPH,Prph,0.94210196,94.60585,1.0,1.854721562213106
CNTNAP4,Cntnap4,0.99458796,86.32545,1.0,1.8547126000256688
STARD3NL,Stard3nl,0.93898445,95.09635,1.0,1.854708786838129
FSD1L,Fsd1l,0.95478326,92.59800000000001,1.0,1.854647419813465
CDK15,Cdk15,0.97193986,89.8851,1.0,1.8545824244191698
EIF3L,Eif3l,0.91343284,99.1135,1.0,1.8545734142221577
TBX2,Tbx2,0.9385313,95.15115,1.0,1.8545419567618273
KMT2A,Kmt2a,0.9638152,91.1565,1.0,1.8544800251524278
HAPLN1,Hapln1,0.9327287,96.05709999999999,1.0,1.8544480351558525
PMM1,Pmm1,0.93917584,95.0382,1.0,1.854429198629596
DHDDS,Dhdds,0.95616895,92.35405,1.0,1.8543938028288687
LHX9,Lhx9,0.91727626,98.4887,1.0,1.854388290117245
CNOT3,Cnot3,0.93887794,95.07995,1.0,1.8543767706151852
PRIM1,Prim1,0.9674872,90.5627,1.0,1.8543344913119317
PCSK6,Pcsk6,0.9622226,91.3925,1.0,1.8543277480267126
AP4M1,Ap4m1,0.9498088,93.34995,1.0,1.8543198633832345
AAMP,Aamp,0.9177911,98.3913,1.0,1.854226434256014
DDHD1,Ddhd1,0.9849418,87.79740000000001,1.0,1.8542155816789472
CDK5RAP3,Cdk5rap3,0.9810829,88.40515,1.0,1.8542057865637753
MICU3,Micu3,0.9575007,92.12180000000001,1.0,1.8541720971665376
IRF4,Irf4,0.9561029,92.34195,1.0,1.8541686110015716
MYL2,Myl2,0.93045133,96.3855,1.0,1.8541395545845916
IL1RAP,Il1rap,0.97648257,89.1228,1.0,1.854125408609649
THBS2,Thbs2,0.98000556,88.5666,1.0,1.854120816113808
KREMEN2,Kremen2,0.9864894,87.54075,1.0,1.8540903726997664
ESS2,Ess2,0.953908,92.67945,1.0,1.8540812242985503
RASSF10,Rassf10,0.9930445,86.50255,1.0,1.8540488397264996
OIT3,Oit3,0.9742693,89.45930000000001,1.0,1.8539990438011402
PDGFRL,Pdgfrl,0.9750407,89.3333,1.0,1.853955903385955
PHF2,Phf2,0.9478832,93.6131,1.0,1.8539137890812896
SELENON,Selenon,0.99148417,86.73265,1.0,1.8538884675253398
ENO2,Eno2,0.916124,98.6175,1.0,1.8538586356899711
VWA8,Vwa8,0.9951965,86.1417,1.0,1.853835053009521
TRAPPC9,Trappc9,0.9563737,92.26205,1.0,1.8537967896061451
CDC26,Cdc26,0.9893313,87.0588,1.0,1.853753881844291
SLC37A2,Slc37a2,0.9844642,87.8243,1.0,1.8537311824856517
COL5A1,Col5a1,0.9427992,94.3961,1.0,1.8537239366970524
C17orf49,0610010K14Rik,0.973821,89.5014,1.0,1.8537128644494776
TUBB,Tubb5,0.90725166,100.0,1.0,1.8536877944030392
TMPRSS11F,Tmprss11f,0.9903721,86.88725,1.0,1.8536802115770827
MDH2,Mdh2,0.93911517,94.9704,1.0,1.8536554935855065
COA4,Coa4,0.98737913,87.3563,1.0,1.8536493941910779
CREB3L1,Creb3l1,0.95664304,92.20415,1.0,1.8536426651059819
DNAH8,Dnah8,0.9605496,91.5878,1.0,1.8536416423935833
ZNF746,Zfp746,0.959376,91.77170000000001,1.0,1.853629324777899
TFIP11,Tfip11,0.95678574,92.17914999999999,1.0,1.8536177699319518
PNKD,Pnkd,0.9599162,91.68405,1.0,1.8536049735304487
TEC,Tec,0.93886834,95.00405,1.0,1.8536026269128074
CACNA1B,Cacna1b,0.9564998,92.2225,1.0,1.8536002084467533
LRRC28,Lrrc28,0.9710972,89.9183,1.0,1.8535851543935795
MT-CO3,mt-Co3,0.9897427,86.9732,1.0,1.853546852589939
SNX21,Snx21,0.9535621,92.68015,1.0,1.85354257777225
ANXA7,Anxa7,0.9688926,90.25685,1.0,1.85349296624128
SLC16A1,Slc16a1,0.99199677,86.61055,1.0,1.853476078133554
ADGRL1,Adgrl1,0.9279413,96.7074,1.0,1.8533990600763293
ZBTB1,Zbtb1,0.9381756,95.0912,1.0,1.8533813510393502
ENTPD4,Entpd4,0.94985795,93.24709999999999,1.0,1.8533688959844707
PCP4L1,Pcp4l1,0.99093336,86.7647,1.0,1.8533400818267243
SEC23A,Sec23a,0.9136425,98.9542,1.0,1.8533111463722125
R3HDM2,R3hdm2,0.9502178,93.1827,1.0,1.8532925482032878
MED21,Med21,0.92020726,97.9167,1.0,1.8532918517494636
ATP6V0B,Atp6v0b,0.9317213,96.0976,1.0,1.8532638928875835
GGT7,Ggt7,0.9309171,96.2236,1.0,1.8532552923196444
CNTFR,Cntfr,0.9376065,95.1613,1.0,1.853184613432767
ATP8B1,Atp8b1,0.9418645,94.4844,1.0,1.853132476424915
ABLIM2,Ablim2,0.96924025,90.16415,1.0,1.8531143733383257
NR2C2,Nr2c2,0.93384385,95.74295000000001,1.0,1.8530656497086226
GTF2F1,Gtf2f1,0.95566356,92.2998,1.0,1.8530540657721282
NCOR1,Ncor1,0.95837003,91.8683,1.0,1.8530084382902965
HSPA13,Hspa13,0.9660309,90.6582,1.0,1.8529922232106013
EXOC5,Exoc5,0.9166567,98.4463,1.0,1.8529869534250385
NHS,Nhs,0.9786499,88.65995000000001,1.0,1.8529158044924046
PRDX4,Prdx4,0.9753484,89.17699999999999,1.0,1.8528782905965433
MAGED1,Maged1,0.9846885,87.70155,1.0,1.8528575087818329
EEF1A2,Eef1a2,0.90808845,99.784,1.0,1.852847804685613
DHX33,Dhx33,0.95042676,93.09989999999999,1.0,1.8527941761250446
TMOD2,Tmod2,0.93738145,95.1567,1.0,1.8527836040348378
PPIL3,Ppil3,0.9184554,98.1366,1.0,1.852727346911177
MMP13,Mmp13,0.99066544,86.7445,1.0,1.8527154463328641
GET1,Get1,0.950339,93.1034,1.0,1.8526907374458077
KLHL28,Klhl28,0.9254896,97.0228,1.0,1.852685579334702
PPP1R3C,Ppp1r3c,0.9945956,86.1199,1.0,1.852669151888811
MRPL38,Mrpl38,0.99166405,86.5789,1.0,1.8526347226486437
ACADL,Acadl,0.9920628,86.5116,1.0,1.8525907384114713
C1GALT1,C1galt1,0.9746441,89.2562,1.0,1.852559279181473
SNRNP35,Snrnp35,0.9737737,89.38925,1.0,1.8525167501658868
CHD7,Chd7,0.93795973,95.03625,1.0,1.8524913228068196
GRK2,Grk2,0.9138535,98.8389,1.0,1.8524909923307242
LMBRD1,Lmbrd1,0.9506189,93.03694999999999,1.0,1.8524677710182602
USP35,Usp35,0.97432894,89.2963,1.0,1.852463124052162
CHCHD4,Chchd4,0.98986655,86.84264999999999,1.0,1.8524367221253024
ALDH1L1,Aldh1l1,0.95495135,92.3503,1.0,1.8524355765772862
FAHD1,Fahd1,0.98389834,87.7828,1.0,1.852423555878621
ANGPTL7,Angptl7,0.9870965,87.27725000000001,1.0,1.8524130541282617
ASH2L,Ash2l,0.95824385,91.8229,1.0,1.8523553932521681
TRMU,Trmu,0.972962,89.50085,1.0,1.8523523185804645
SCAF4,Scaf4,0.98940694,86.9023,1.0,1.8523082015992758
GAS2L1,Gas2l1,0.988934,86.9761,1.0,1.8523001534115102
PDCL2,Pdcl2,0.9867502,87.31845,1.0,1.852278776614363
ZKSCAN8,Zkscan8,0.9900271,86.79885,1.0,1.8522519847728813
SLITRK5,Slitrk5,0.9264964,96.81465,1.0,1.8521922751215725
ACTR2,Actr2,0.9062908,100.0,1.0,1.8521720675419222
NPY5R,Npy5r,0.98741245,87.2033,1.0,1.8521719554580804
CPE,Cpe,0.9275829,96.6387,1.0,1.8521466951875585
RAF1,Raf1,0.92093885,97.6852,1.0,1.852130912293481
MAML1,Maml1,0.9903292,86.739,1.0,1.8521300381570822
DCAF10,Dcaf10,0.98118424,88.18119999999999,1.0,1.8521261472720008
SANBR,Sanbr,0.97864556,88.5794,1.0,1.8521034582769547
DND1,Dnd1,0.9916671,86.525,1.0,1.8521005339290868
ELF3,Elf3,0.9848446,87.6011,1.0,1.8520992516923718
TLE2,Tle2,0.96822476,90.22145,1.0,1.8520854693458655
PLOD1,Plod1,0.96155864,91.27154999999999,1.0,1.8520708717110086
MKRN2,Mkrn2,0.97937167,88.4615,1.0,1.8520698742908648
IFT52,Ift52,0.96709853,90.3971,1.0,1.852065376436601
FKBP14,Fkbp14,0.9512882,92.891,1.0,1.8520640710184115
RFX7,Rfx7,0.95247704,92.70295,1.0,1.852058929261621
IDH3A,Idh3a,0.9217959,97.541,1.0,1.8520408820979481
MAPK8IP2,Mapk8ip2,0.98208547,88.03015,1.0,1.8520373096567857
CRTC1,Crtc1,0.96637183,90.5072,1.0,1.8520200297159823
JAG2,Jag2,0.9681496,90.22255,1.0,1.8519779067759994
ANKFY1,Ankfy1,0.93761957,95.0385,1.0,1.8519772309525666
SUSD4,Susd4,0.9617902,91.2245,1.0,1.8519656504321134
IKBKG,Ikbkg,0.98619473,87.3708,1.0,1.8519260399102182
RTF2,Rtf2,0.981505,88.0916,1.0,1.8517361362276987
GJB4,Gjb4,0.99179524,86.4662,1.0,1.85171467080645
ZBTB48,Zbtb48,0.9610861,91.3099,1.0,1.851708954510842
BAIAP3,Baiap3,0.9759229,88.9662,1.0,1.8516765465357141
H2AC1,H2ac1,0.98884064,86.9282,1.0,1.8516738809058864
FNDC3B,Fndc3b,0.950932,92.90765,1.0,1.8516686765614356
RBL2,Rbl2,0.9633923,90.94135,1.0,1.8516614135133063
EPB41,Epb41,0.97436166,89.2102,1.0,1.8516537388377663
VCP,Vcp,0.9059592,100.0,1.0,1.8516489788222894
FRA10AC1,Fra10ac1,0.99039197,86.6667,1.0,1.851506055886067
DCTN5,Dctn5,0.90935016,99.4505,1.0,1.851503113094684
NCK2,Nck2,0.93085754,96.0526,1.0,1.851451338266142
CD2AP,Cd2ap,0.9922771,86.36385,1.0,1.8514512900176752
IRS2,Irs2,0.99376535,86.12615,1.0,1.8514219582534817
MTURN,Mturn,0.9202988,97.7099,1.0,1.8513682532615117
CHST7,Chst7,0.9841948,87.62925,1.0,1.8513557123376754
PHB2,Phb2,0.9057718,100.0,1.0,1.851353361132123
VPS13D,Vps13d,0.9498677,93.03864999999999,1.0,1.851299776307198
RAB4A,Rab4a,0.9202772,97.7064,1.0,1.8512991799311618
KCNS1,Kcns1,0.98770845,87.069,1.0,1.8512958862813957
DGKH,Dgkh,0.98322546,87.7744,1.0,1.851278108539458
DDX42,Ddx42,0.9304698,96.0922,1.0,1.8512356904369793
ALDOA,Aldoa,0.95962924,91.48485,1.0,1.8511603030268726
NRL,Nrl,0.9725103,89.4515,1.0,1.8511462758342097
TINAGL1,Tinagl1,0.97561157,88.96045000000001,1.0,1.8511279331126644
PHIP,Phip,0.9379966,94.8929,1.0,1.8511159840887643
TVP23B,Tvp23b,0.9550903,92.1951,1.0,1.8511027658945145
TPM1,Tpm1,0.99656105,85.65195,1.0,1.8510900883303134
DOP1A,Dop1a,0.9478775,93.32255,1.0,1.850999297508003
CEP76,Cep76,0.91997534,97.7238,1.0,1.8509970051395201
GRIP2,Grip2,0.9829924,87.7698,1.0,1.8508644636148572
CDKAL1,Cdkal1,0.9651797,90.57915,1.0,1.8508589815997707
PODN,Podn,0.9603555,91.34015,1.0,1.8508589556611323
ELAPOR2,Elapor2,0.9476668,93.33985,1.0,1.8508399247901903
GSG1L,Gsg1l,0.9684053,90.06305,1.0,1.8507862655987075
EPB41L4B,Epb41l4b,0.958591,91.6065,1.0,1.8507390116147149
RBM47,Rbm47,0.9401906,94.5061,1.0,1.8507089510696881
SSX2IP,Ssx2ip,0.9842209,87.5509,1.0,1.8506133842785149
GARNL3,Garnl3,0.9654708,90.5059,1.0,1.850585682824997
RFX6,Rfx6,0.9849003,87.43935,1.0,1.8505696167155428
GDF6,Gdf6,0.9924407,86.2487,1.0,1.8505578639456968
INSR,Insr,0.9379228,94.8451,1.0,1.8505215668767352
MARS2,Mars2,0.99176264,86.3474,1.0,1.8504752453171256
SEMA5B,Sema5b,0.9607343,91.23740000000001,1.0,1.850429000917456
VCPKMT,Vcpkmt,0.97034407,89.71600000000001,1.0,1.8503741151673518
CALB1,Calb1,0.9148278,98.4674,1.0,1.85031292037517
ACSM4,Acsm4,0.99144894,86.3793,1.0,1.8502993932925516
CCDC28A,Ccdc28a,0.9464027,93.4783,1.0,1.850230346230215
NRAP,Nrap,0.9923163,86.23485,1.0,1.8502231268023845
LENG8,Leng8,0.9473991,93.3167,1.0,1.8501861363395098
MAP3K1,Map3k1,0.96679604,90.25315,1.0,1.850148707839491
TYW5,Tyw5,0.9733966,89.2064,1.0,1.850093386606859
VIL1,Vil1,0.96781224,90.0846,1.0,1.8500662318349397
FARSA,Farsa,0.9523681,92.5197,1.0,1.8500545797890129
FKBP5,Fkbp5,0.98618007,87.1852,1.0,1.8500469142147118
TMEM200B,Tmem200b,0.98238516,87.781,1.0,1.8500185613407023
DDC,Ddc,0.97227865,89.375,1.0,1.8500158551408958
SNX9,Snx9,0.9635215,90.7563,1.0,1.8500147225078072
IGFBP7,Igfbp7,0.98889107,86.7533,1.0,1.8500044326674396
NSF,Nsf,0.91681683,98.1183,1.0,1.8499595535356381
ANXA3,Anxa3,0.96965206,89.7833,1.0,1.8499554908462632
NICN1,Nicn1,0.97330153,89.2019,1.0,1.849898416629249
MSANTD1,Msantd1,0.97322965,89.2086,1.0,1.8498520281576956
TBX6,Tbx6,0.9818667,87.844,1.0,1.8498307067641617
PTPN5,Ptpn5,0.9802002,88.1066,1.0,1.8498278546795175
MRPL12,Mrpl12,0.9921356,86.22040000000001,1.0,1.8497935781545025
MCRIP1,Mcrip1,0.9635647,90.7216,1.0,1.8497358691685073
EXOC2,Exoc2,0.94522303,93.6147,1.0,1.8497334533777146
OCM2,Ocm,0.9687141,89.9083,1.0,1.849725888025193
NCOR2,Ncor2,0.9838918,87.5126,1.0,1.8497112392313764
GPT,Gpt,0.9852228,87.2984,1.0,1.8496688504672967
MND1,Mnd1,0.9696318,89.7561,1.0,1.84965153132437
NTN4,Ntn4,0.96928245,89.8089,1.0,1.849628442530028
MAP7D1,Map7d1,0.98738974,86.95245,1.0,1.8496276311371433
WNT5B,Wnt5b,0.9417459,94.1504,1.0,1.8496053886017896
C15orf62,Gm14137,0.9915989,86.2857,1.0,1.8495999505434444
SHISA3,Shisa3,0.94988173,92.8571,1.0,1.8495064081972359
KCNIP1,Kcnip1,0.98029,88.05875,1.0,1.8494910113955099
YPEL3,Ypel3,0.981306,87.8981,1.0,1.8494872198971593
RASGRP1,Rasgrp1,0.9682911,89.9499,1.0,1.8494746186391717
DACT3,Dact3,0.98988223,86.54175000000001,1.0,1.8494524568391864
GREB1L,Greb1l,0.9637226,90.66795,1.0,1.8494484515232419
SLC36A4,Slc36a4,0.97905064,88.2484,1.0,1.8494324594185372
EPS8,Eps8,0.97360086,89.10535,1.0,1.8494051004243266
P4HA3,P4ha3,0.96639377,90.2397,1.0,1.8493796393857918
STEAP3,Steap3,0.9931851,86.0129,1.0,1.8493741318675747
ITGA8,Itga8,0.97400194,89.0353,1.0,1.8493372916899187
RPL3L,Rpl3l,0.93252325,95.5774,1.0,1.8493269441502782
PDE6D,Pde6d,0.91716117,98.0,1.0,1.8493197392103013
CACNA1A,Cacna1a,0.98116255,87.89895,1.0,1.849269431969441
TMEM39B,Tmem39b,0.92888945,96.1382,1.0,1.8492027373064857
CLCN6,Clcn6,0.9262307,96.5562,1.0,1.8491886416088872
SERTAD2,Sertad2,0.990839,86.3619,1.0,1.8491632318521027
MYBPC2,Mybpc2,0.95365626,92.22704999999999,1.0,1.8491601122530725
BCL2,Bcl2,0.9617434,90.951,1.0,1.8491568248830212
ZNF639,Zfp639,0.9488041,92.9897,1.0,1.8491324802812592
SORCS3,Sorcs3,0.9518763,92.50319999999999,1.0,1.8491137805359505
OPN1LW,Opn1mw,0.9858538,87.1411,1.0,1.8490912334048368
CRX,Crx,0.925536,96.6555,1.0,1.8490857738961946
GPR12,Gpr12,0.94417876,93.7126,1.0,1.8490651498275006
SEC14L1,Sec14l1,0.9387974,94.56139999999999,1.0,1.8490642212621116
PTER,Pter,0.98240787,87.6791,1.0,1.8490353856616397
TMED2,Tmed2,0.9106013,99.005,1.0,1.849021747656449
SMIM13,Smim13,0.9855908,87.17535,1.0,1.8490188590584453
MYC,Myc,0.9658899,90.28299999999999,1.0,1.8490178000819273
BLK,Blk,0.9888768,86.65645,1.0,1.8490134221848424
LGR5,Lgr5,0.99443334,85.7773,1.0,1.8489871917692464
NECAP1,Necap1,0.9411528,94.1818,1.0,1.8489837917392618
DYNC1H1,Dync1h1,0.90943545,99.18195,1.0,1.8489521554254964
DLL4,Dll4,0.99066997,86.3604,1.0,1.8488815922674235
CHCHD5,Chchd5,0.96759504,90.0,1.0,1.8488776055686422
PRELID3A,Prelid3a,0.9668532,90.1163,1.0,1.8488703759673983
CUTC,Cutc,0.95653564,91.74345,1.0,1.8488662449356306
UPK2,Upk2,0.9868772,86.9565,1.0,1.8488596151770689
CIT,Cit,0.9245201,96.7867,1.0,1.8487952231414448
IQSEC2,Iqsec2,0.91052395,98.9919,1.0,1.848768730429478
TSPAN18,Tspan18,0.9628925,90.7258,1.0,1.8487174945082625
PARVA,Parva,0.9545142,92.0459,1.0,1.8487019860049476
FES,Fes,0.96337754,90.6326,1.0,1.8485506300709003
RNF157,Rnf157,0.950604,92.64725,1.0,1.8485472667301948
PLPPR5,Plppr5,0.99626786,85.44375,1.0,1.8485455901948817
THOC7,Thoc7,0.91951114,97.549,1.0,1.8485167440307944
RETREG1,Retreg1,0.97711945,88.46074999999999,1.0,1.8485095670648954
SMPD4,Smpd4,0.9677254,89.93995000000001,1.0,1.848482744427181
HMGCR,Hmgcr,0.94502026,93.52115,1.0,1.8484780899890536
KIF1C,Kif1c,0.94163704,94.05375000000001,1.0,1.8484671653267015
ITGA10,Itga10,0.98107564,87.832,1.0,1.8484628341388523
DSTYK,Dstyk,0.9585849,91.3794,1.0,1.848458389053829
LIM2,Lim2,0.95889735,91.3295,1.0,1.848452269242156
ESYT2,Esyt2,0.95830065,91.4223,1.0,1.848438993491237
LHX8,Lhx8,0.927726,96.2428,1.0,1.8484134310011278
NIPAL3,Nipal3,0.96915025,89.70805,1.0,1.848411401128534
BTF3,Btf3,0.9716073,89.3204,1.0,1.8484108213292991
KCTD3,Kctd3,0.94433147,93.6196,1.0,1.8483760451181372
ADRA1D,Adra1d,0.99324113,85.89734999999999,1.0,1.8483070174555145
OVOL3,Ovol3,0.98913974,86.54415,1.0,1.848305201883094
GSPT1,Gspt1,0.9341905,95.2082,1.0,1.8482649793366706
DNAH2,Dnah2,0.962761,90.6978,1.0,1.848230057335067
ACTL7B,Actl7b,0.9897538,86.4357,1.0,1.8481893624958134
SUSD6,Susd6,0.99025047,86.3501,1.0,1.8481168440228941
NOB1,Nob1,0.9712286,89.33605,1.0,1.8479699338198752
TTPAL,Ttpal,0.93971074,94.30675,1.0,1.8479584867964585
INTS8,Ints8,0.9303759,95.7789,1.0,1.8479545660980965
CNGA1,Cnga1,0.96746635,89.9272,1.0,1.84794660108333
GPRC5C,Gprc5c,0.97977155,87.9819,1.0,1.8479046725936592
PTGFR,Ptgfr,0.98134875,87.73230000000001,1.0,1.8478966566968102
TUBGCP4,Tubgcp4,0.9145058,98.27465000000001,1.0,1.8478774753579152
BAIAP2L2,Baiap2l2,0.95599324,91.72625,1.0,1.8478386257512853
PVALB,Pvalb,0.98422295,87.2727,1.0,1.8478346180899603
ACTN2,Actn2,0.90849096,99.217,1.0,1.8478127517318716
NEUROG2,Neurog2,0.9922093,86.00565,1.0,1.847762337619632
SEMA3A,Sema3a,0.9318421,95.5282,1.0,1.8477604511425039
MYO1F,Myo1f,0.94331115,93.7158,1.0,1.847728521950418
SLC22A23,Slc22a23,0.95648646,91.6368,1.0,1.8477221650103244
CPQ,Cpq,0.98018324,87.8985,1.0,1.8477201008053168
SRPX2,Srpx2,0.9449078,93.4629,1.0,1.847718187825574
