crab_eating_macaque gene name,mice gene name,correlation
WDR89,Wdr89,0.9859842
NFE2L2,Nfe2l2,0.985959
EGFL8,Egfl8,0.9859557
CHL1,Chl1,0.9859544
CDS1,Cds1,0.9859149
PRR11,Prr11,0.98591477
MEX3B,Mex3b,0.9859119
GBA1,Gba,0.9859096
UNC13B,Unc13b,0.98590803
RBBP7,Rbbp7,0.9859076
OR5K1,Olfr177,0.985907
ALOX15B,Alox8,0.9859054
COLEC10,Colec10,0.9859043
SRPX,Srpx,0.9859021
LUZP2,Luzp2,0.985886
CASTOR2,Castor2,0.98587394
ASB5,Asb5,0.9858687
CNTN5,Cntn5,0.9858568
VAT1,Vat1,0.9858567
HJV,Hjv,0.98585045
TUT1,Tut1,0.98584884
CCDC14,Ccdc14,0.98584723
DIP2C,Dip2c,0.9858431
NDUFB7,Ndufb7,0.9858395
DGKD,Dgkh,0.9858348
TRAPPC1,Trappc1,0.9858344
RXRB,Rxrb,0.9858327
PROSER1,Proser1,0.9858252
LRRC3C,Lrrc3c,0.98582447
SEC16B,Sec16b,0.9858232
DNAJB1,Dnajb1,0.9858199
AFTPH,Aftph,0.98581815
PTRHD1,Ptrhd1,0.98581064
EEF1AKMT1,Eef1akmt1,0.9858105
CLEC3A,Clec3a,0.98581004
GAREM1,Garem1,0.9858046
OR9H1P,Olfr466,0.9858039
ACTL9,Actl9,0.98580223
RRP12,Rrp12,0.9857923
NGEF,Ngef,0.9857834
KIF20A,Kif20a,0.9857799
SEPTIN14,Septin14,0.9857696
CCDC181,Ccdc181,0.98576456
CBLIF,Cblif,0.9857638
BBS10,Bbs10,0.9857457
YIF1B,Yif1b,0.9857448
AFF1,Aff1,0.9857356
RNF19A,Rnf19a,0.9857348
CNNM4,Cnnm4,0.9857309
CD99L2,Cd99l2,0.9857284
MDN1,Mdn1,0.9857243
NCOA3,Ncoa3,0.98571837
IQSEC1,Iqsec1,0.98571074
PLA1A,Pla1a,0.9856972
PPEF2,Ppef2,0.9856965
TTLL6,Ttll6,0.9856952
DPT,Dpt,0.9856893
RIPOR1,Ripor1,0.98567563
TGM6,Tgm6,0.98567295
ABHD3,Abhd3,0.9856682
SH2B1,Sh2b1,0.9856624
PDLIM5,Pdlim5,0.98565936
PLIN5,Plin5,0.9856561
DMRT2,Dmrt2,0.98565316
ABCC10,Abcc10,0.98564583
FBXO39,Fbxo39,0.9856435
MYBPC1,Mybpc1,0.98563963
TGFBR1,Tgfbr1,0.9856155
GFAP,Gfap,0.9856071
TNNT2,Tnnt2,0.985607
SNAP91,Snap91,0.9856068
RAP1A,Rap1a,0.9856055
OR11A1,Olfr96,0.9856043
NNT,Nnt,0.9856009
CDC5L,Cdc5l,0.98558074
NF1,Nf1,0.9855758
JAKMIP3,Jakmip3,0.9855751
SLCO4C1,Slco4c1,0.98556596
BRAT1,Brat1,0.9855626
KCTD8,Kctd8,0.9855573
SLC35D1,Slc35d1,0.98555684
PAX9,Pax9,0.98555255
KLHL38,Klhl38,0.9855511
SLC25A20,Slc25a20,0.9855489
ADGRF4,Adgrf2,0.98554796
SETD7,Setd7,0.9855452
TAS2R38,Tas2r138,0.9855296
CHIC2,Chic2,0.9855284
EDN1,Edn1,0.985527
GPR143,Gpr143,0.9855208
PDE3A,Pde3a,0.9855189
TESC,Tesc,0.98550797
SC5D,Sc5d,0.98550475
NFATC3,Nfatc3,0.9854897
RGS8,Rgs8,0.9854874
PITPNC1,Pitpnc1,0.98548514
LTA,Lta,0.98548466
OR52N5,Olfr669,0.9854726
OR5H14,Olfr183,0.9854711
TNFSF13,Tnfsf13,0.9854673
EHBP1,Ehbp1,0.9854622
DLX6,Dlx6,0.9854608
ELK3,Elk3,0.9854606
MMAB,Mmab,0.9854513
DDHD1,Ddhd1,0.9854508
TXN2,Txn2,0.9854501
GPR149,Gpr149,0.9854447
OR8A1,Olfr160,0.98543113
FGFR1OP2,Fgfr1op2,0.9854227
DCAF5,Dcaf5,0.9854194
TMEM177,Tmem177,0.9854184
VIM,Des,0.98541343
ARPP19,Arpp19,0.98540694
NUP133,Nup133,0.98539627
HMX1,Hmx1,0.98539555
PENK,Penk,0.98539096
ARMH4,Armh4,0.9853892
PRSS12,Prss12,0.9853711
MYRF,Myrf,0.98535043
PI4K2A,Pi4k2a,0.9853489
IFT140,Ift140,0.98534817
RIMOC1,AW549877,0.9853478
RBL1,Rbl1,0.98534757
MMP8,Mmp8,0.9853399
ANKRD61,Ankrd61,0.9853366
VPS37B,Vps37b,0.985335
PHTF1,Phtf1,0.98533416
TBC1D15,Tbc1d15,0.9853332
MEP1A,Mep1a,0.98532575
DENR,Denr,0.98531806
CCKAR,Cckar,0.98530877
ANXA10,Anxa10,0.9853075
FGD3,Fgd3,0.98530143
DOCK10,Dock10,0.985293
RBM22,Rbm22,0.98529094
CHRND,Chrnd,0.98528945
WDR36,Wdr36,0.98528814
TMEM255A,Tmem255a,0.9852879
RRAGD,Rragd,0.98528236
CFH,Cfh,0.9852786
R3HDML,R3hdml,0.9852783
HSD17B4,Hsd17b4,0.985277
SSBP2,Ssbp3,0.985276
PBRM1,Pbrm1,0.98527443
HSD17B13,Hsd17b13,0.985273
DIP2B,Dip2b,0.985266
OR13G1,Olfr309,0.98525935
SUPT7L,Supt7l,0.98525655
MFAP4,Mfap4,0.98525554
GET4,Get4,0.98524684
TMEM178B,Tmem178b,0.98523843
EFNA3,Efna3,0.9852347
OR13C8,Olfr272,0.98522246
DSCC1,Dscc1,0.9852045
SMARCA1,Smarca5,0.9852017
JPH2,Jph2,0.9851964
SNX15,Snx15,0.9851633
OR2AG2,Olfr705,0.9851625
MSH4,Msh4,0.98516166
WDR48,Wdr48,0.9851608
SOX2,Sox2,0.98515964
CSMD2,Csmd1,0.98515934
CHERP,Cherp,0.985156
LYPD6,Lypd6,0.9851485
PIK3R1,Pik3r1,0.9851461
S100A5,S100a5,0.9851448
MKRN2,Mkrn2,0.9851402
ANKRD22,Ankrd22,0.9851332
AQP4,Aqp4,0.98512906
ETFRF1,Etfrf1,0.9851223
CHD6,Chd6,0.9851207
CTSK,Ctsk,0.9851187
FBXW8,Fbxw8,0.98511773
RPL10L,Rpl10l,0.9851137
THEM6,Them6,0.9851058
IPO13,Ipo13,0.9851056
ASPN,Aspn,0.9851
YWHAB,Ywhag,0.985091
C2CD5,C2cd5,0.98508936
NDFIP1,Ndfip1,0.98508865
HBEGF,Hbegf,0.98508835
TRIM16,Trim16,0.98508376
MARCHF6,Marchf6,0.98508346
FOXA2,Foxa2,0.9850809
GRIPAP1,Gripap1,0.9850773
SGK3,Sgk3,0.98506963
ND4,mt-Nd4,0.9850689
ADRA1A,Adra1a,0.9850675
MED14,Med14,0.9850641
ZNF618,Zfp618,0.98506224
UBALD2,Ubald2,0.9850566
TRPV3,Trpv3,0.9850539
HP1BP3,Hp1bp3,0.9850487
DMD,Dmd,0.9850445
KMT5B,Kmt5b,0.98504376
PPM1H,Ppm1h,0.9850431
BOLA1,Bola1,0.98504287
C16orf46,1700030J22Rik,0.9850424
CLPX,Clpx,0.98504025
UBALD1,Ubald1,0.9850284
PARM1,Parm1,0.9850182
SLC33A1,Slc33a1,0.9850078
CPEB4,Cpeb4,0.9850049
SEMA6A,Sema6a,0.9849997
LLGL1,Llgl1,0.98499644
HINT1,Hint1,0.9849953
TMPRSS13,Tmprss13,0.9849826
GJB6,Gjb6,0.9849815
RAPSN,Rapsn,0.98497593
NUP50,Nup50,0.9849721
DYNLT3,Dynlt3,0.9849681
TMEM43,Tmem43,0.98496366
EIF4EBP1,Eif4ebp1,0.984963
UBN1,Ubn1,0.9849524
ATP6V0A1,Atp6v0a1,0.98495024
KICS2,BC048403,0.98494536
OR2K2,Olfr267,0.98494256
AKAP4,Akap4,0.98493296
RBAK,Rbak,0.9849321
NUP58,Gm49336,0.9849279
NCOA7,Ncoa7,0.98492694
RASSF5,Rassf5,0.984925
ARG2,Arg2,0.9849182
PLEKHA2,Plekha2,0.9849164
PRRT1B,Gm13420,0.9849124
GPHA2,Gpha2,0.98490393
LMNB2,Lmnb2,0.9849022
OR2T6,Olfr720,0.9849004
RASL11A,Rasl11a,0.9848967
FBXO46,Fbxo46,0.98489416
MAD2L1BP,Mad2l1bp,0.9848847
ADAMTSL1,Adamtsl1,0.98488307
FOXP4,Foxp4,0.98488104
SLC35G1,Slc35g1,0.9848808
CHD1L,Chd1l,0.98487884
C8orf74,4930578I06Rik,0.98487616
GRIA3,Gria3,0.9848758
CSRP1,Csrp1,0.9848723
PCDHB10,Pcdhb7,0.9848586
TTC28,Ttc28,0.98485845
UCP1,Ucp1,0.9848455
FNIP2,Fnip2,0.9848368
BLVRB,Blvrb,0.98483604
TRIM46,Trim46,0.9848348
SP7,Sp7,0.98483336
SLC12A4,Slc12a6,0.98483205
OR8H1,Olfr1097,0.984832
TSFM,Tsfm,0.9848251
TAGAP,Tagap,0.98482007
SLC4A9,Slc4a9,0.9848173
SQLE,Sqle,0.9848153
ST7,St7,0.9848123
SNX31,Snx31,0.98481154
CDH8,Cdh8,0.9847962
NUFIP1,Nufip1,0.9847948
ZNF831,Zfp831,0.9847884
RBFOX3,Rbfox3,0.9847845
VLDLR,Vldlr,0.984781
KIFC1,Kifc5b,0.98477477
C7,C7,0.98477256
OR4X2,Olfr1269,0.9847722
BAIAP2,Baiap2,0.98477054
KRTCAP3,Krtcap3,0.98477036
PRRT1,Prrt1,0.9847682
SURF4,Surf4,0.9847631
B3GNT5,B3gnt5,0.9847475
TSKU,Tsku,0.9847464
KHDC4,Khdc4,0.984745
RAPGEF5,Rapgef5,0.98474455
APAF1,Apaf1,0.98473775
USP43,Usp43,0.9847312
KRT40,Krt40,0.9847267
HIGD1C,Higd1c,0.9847016
MIB1,Mib1,0.98470074
DEGS1,Degs1,0.9846976
THOC6,Thoc6,0.9846956
GALNT18,Galnt18,0.98469096
OR9G1,Olfr1016,0.98469007
ASXL3,Asxl3,0.9846866
RNF169,Rnf169,0.98467654
RPRD1B,Rprd1b,0.98467475
RANBP10,Ranbp10,0.9846693
COASY,Coasy,0.9846641
UPF2,Upf2,0.98466116
LURAP1L,Lurap1l,0.98465735
ING2,Ing2,0.9846505
RRP15,Rrp15,0.98464954
CDK8,Cdk8,0.9846374
F2RL2,F2rl2,0.98462987
MMACHC,Mmachc,0.9846245
EPO,Epo,0.98461926
ADAM23,Adam23,0.9846155
OR2S2,Olfr155,0.9846135
FKBP14,Fkbp14,0.9846106
SPRY1,Spry1,0.9845992
TEAD3,Tead3,0.98459744
AURKA,Aurka,0.9845919
SUSD1,Susd1,0.9845898
RNF7,Gm7075,0.9845795
OSTN,Ostn,0.9845776
MGAT2,Mgat2,0.98457325
MYO18A,Myo18a,0.9845723
SH3RF1,Sh3rf1,0.98457104
RBM26,Rbm26,0.9845706
C3orf33,E130311K13Rik,0.98456967
COBL,Cobl,0.98456967
LHX6,Lhx6,0.98456883
ABR,Abr,0.98456603
SLC22A13,Slc22a13,0.98456335
OR10A6,Olfr517,0.98455566
TBC1D8,Tbc1d8b,0.98455405
AK7,Ak7,0.9845514
SLC30A8,Slc30a8,0.9845393
ZMYM3,Zmym3,0.98453695
EBAG9,Ebag9,0.9845314
NUP210L,Nup210l,0.9845246
HHIPL2,Hhipl2,0.9845207
PTPRK,Ptprt,0.98451984
PANK4,Pank4,0.9845182
RNF146,Rnf146,0.98451763
CIB3,Cib3,0.98450506
HSF2,Hsf2,0.9845022
CYP1A1,Cyp1a1,0.9845008
PARD3,Pard3,0.9844897
TMEM242,Tmem242,0.98448515
OVOL3,Ovol3,0.98447126
ZDHHC14,Zdhhc14,0.9844614
TNS2,Tns2,0.98445123
TMEM186,Tmem186,0.98444533
KAT7,Kat7,0.984432
DAB2IP,Dab2ip,0.9844299
ERCC2,Ercc2,0.9844286
STAT4,Stat4,0.9844232
FANCG,Fancg,0.9844103
TAOK2,Taok2,0.98440593
FOXP3,Foxp3,0.9844042
ANO6,Ano5,0.9843957
FAM199X,Fam199x,0.9843914
ZFP14,Zfp14,0.9843907
ZFYVE16,Zfyve16,0.9843902
IRX3,Irx3,0.98438364
PLEKHN1,Plekhn1,0.98437405
GTF3C3,Gtf3c3,0.9843731
KCNA3,Kcna3,0.98437196
RABGGTA,Rabggta,0.98436844
PSMD4,Psmd4,0.9843622
CCDC38,Ccdc38,0.98435503
SPIRE1,Spire1,0.9843436
OR4A8,Olfr1250,0.9843402
GRIK4,Grik4,0.98433113
PPP2R1B,Ppp2r1b,0.98431194
OR5H6,Olfr187,0.98431146
CA7,Car7,0.9843052
HSD3B1,Hsd3b1,0.9843044
CHRNA2,Chrna2,0.9843002
PHC3,Phc3,0.9842992
GPD1L,Gpd1l,0.98429644
IRX4,Irx4,0.98429096
CEP112,Cep112,0.9842893
RTN4R,Rtn4r,0.98428285
EPHA5,Epha5,0.984282
ENTPD6,Entpd6,0.9842764
TNN,Tnn,0.98427415
TSR3,Tsr3,0.98425674
OVCH2,Ovch2,0.9842554
OR5B2,Olfr1465,0.98425424
C4orf46,4930579G24Rik,0.9842503
SMCO1,Smco1,0.9842421
PDE6B,Pde6b,0.9842231
VSIG10L2,Gm1113,0.984208
SENP5,Senp5,0.9842072
SCNN1A,Scnn1a,0.9842039
KAT6B,Kat6b,0.9842013
GPM6A,Gpm6a,0.98418796
TRARG1,Trarg1,0.9841867
EMILIN1,Emilin1,0.9841838
AQP2,Aqp2,0.98418224
SLC36A2,Slc36a2,0.9841651
TAS2R41,Tas2r126,0.98416394
CDH19,Cdh19,0.9841632
SLC11A1,Slc11a1,0.9841576
NRN1,Nrn1,0.98415655
PZP,Mug2,0.9841562
DDX54,Ddx54,0.9841555
PRDM14,Prdm14,0.98415184
PARD3B,Pard3b,0.9841508
SH2D4A,Sh2d4a,0.9841429
RWDD1,Rwdd1,0.9841309
CHCHD10,Chchd10,0.9841205
FABP2,Fabp2,0.98412013
DMP1,Dmp1,0.98411554
ZIC3,Zic3,0.9841122
DZIP1,Dzip1,0.9841047
TCTE1,Tcte1,0.9841012
ZFAND6,Zfand6,0.9840953
RAB3GAP2,Rab3gap2,0.9840952
ST8SIA6,St8sia6,0.98408896
MLC1,Mlc1,0.98408276
KCNK10,Kcnk10,0.98408204
SLC2A10,Slc2a10,0.98407644
DDIT4,Ddit4,0.98406714
SLC12A6,Gm21985,0.9840488
AFF2,Aff2,0.9840434
SMOC1,Smoc1,0.98403317
RNF4,Rnf4,0.9840331
HPS3,Hps3,0.98402596
RFX6,Rfx6,0.98402566
PPARGC1B,Ppargc1b,0.9840107
CACNG1,Cacng1,0.9840082
PAX6,Pax6,0.9840078
SETD3,Setd3,0.984004
DLX4,Dlx4,0.98399466
CPA5,Cpa5,0.98398393
SLIT2,Slit2,0.98398215
PRSS56,Prss56,0.9839759
SLIT1,Slit1,0.9839732
CPNE6,Cpne6,0.9839717
CMKLR2,Gpr1,0.9839684
HOXA4,Hoxa4,0.98396814
ZC3H3,Zc3h3,0.98395723
LOXL4,Loxl4,0.9839511
GLP1R,Glp1r,0.9839481
NCBP1,Ncbp1,0.9839412
CDH17,Cdh17,0.983937
ARFIP1,Arfip1,0.9839343
TIMELESS,Timeless,0.98393035
ZNF76,Zfp523,0.9839301
PNMA3,Pnma3,0.98392445
PGP,Pgp,0.9839207
HS3ST3A1,Hs3st3a1,0.98391616
KANSL2,Kansl2,0.9839152
ACIN1,Acin1,0.9839134
NTNG1,Ntng1,0.98391336
ITPKA,Itpka,0.98390925
PPP1R12B,Ppp1r12b,0.9838966
EPB41,Epb41,0.9838729
ACOD1,Acod1,0.98387045
C12orf57,Grcc10,0.98386997
GABRQ,Gabrq,0.9838689
ATG4A,Atg4a-ps,0.9838621
SLC9A6,Slc9a6,0.9838538
SDE2,Sde2,0.98384905
ALCAM,Alcam,0.98384887
GBX1,Gbx1,0.9838443
PPP1R3A,Ppp1r3a,0.9838371
GPR107,Gpr107,0.9838233
FUNDC1,Fundc1,0.98381597
SERTAD4,Sertad4,0.98381376
XRN2,Xrn2,0.9838086
FREM3,Frem3,0.9837991
SPEF1,Spef1,0.9837974
ATAD2,Atad2,0.9837951
FIBCD1,Fibcd1,0.98379004
C1S,C1s2,0.98378843
ACVR1,Acvr1,0.9837871
OGFOD1,Ogfod1,0.9837871
NSFL1C,Nsfl1c,0.98378605
PTPRZ1,Ptprz1,0.98378587
NRROS,Nrros,0.9837673
CCNG2,Ccng2,0.98376393
PNMA2,Pnma2,0.9837553
CLDN4,Cldn4,0.98375434
XYLT1,Xylt1,0.9837525
SULT1E1,Sult1e1,0.9837518
CRISPLD2,Crispld2,0.98374987
ARPC1A,Arpc1a,0.98374164
OR2A2,Olfr437,0.983739
PIRT,Pirt,0.9837346
MIEF1,Mief1,0.9837219
CFAP20DC,Cfap20dc,0.9837198
SLC22A15,Slc22a15,0.98371273
RBMX2,Rbmx2,0.9837087
CYBRD1,Cybrd1,0.9837064
PRKAR2B,Prkar2b,0.98368794
PDHA2,Pdha2,0.9836797
ARHGAP6,Arhgap6,0.983667
ECPAS,Ecpas,0.9836667
BPIFB4,Bpifb4,0.983664
HMOX1,Hmox1,0.9836612
CENPJ,Cenpj,0.9836566
POLR2E,Polr2e,0.9836526
DTX1,Dtx1,0.98364604
NUGGC,Nuggc,0.9836369
FAM111B,Fam111a,0.98362845
C16orf89,AU021092,0.9836139
ITGB1BP1,Itgb1bp1,0.9836131
FAM124A,Fam124a,0.9836115
SLC17A8,Slc17a8,0.98360974
SOX10,Sox10,0.983606
G6PD,G6pdx,0.98360324
COX15,Cox15,0.9835943
MND1,Mnd1,0.98359174
FSCN2,Fscn2,0.9835805
ABRA,Abra,0.9835673
VAX2,Vax2,0.9835658
EML3,Eml3,0.98356014
DNAJB12,Dnajb12,0.98356
MBD3,Mbd3,0.9835526
RGS9,Rgs9,0.98355085
DLG1,Dlg1,0.983537
OR10G8,Olfr980,0.9835271
FNBP4,Fnbp4,0.98352695
PNMA8C,Gm42372,0.9835224
SAP18,Sap18b,0.9835221
RAD51C,Rad51c,0.9835201
PLBD2,Plbd2,0.98351616
OR51E1,Olfr558,0.9835076
CPB1,Cpb1,0.9835064
UGT2B7,Ugt2b1,0.98350525
ATXN7L3,Atxn7l3,0.9834977
LRRC17,Lrrc17,0.9834938
ALX4,Alx4,0.983492
LSR,Lsr,0.983488
C6orf163,Gm136,0.9834737
TOX4,Tox4,0.9834721
CAMK2N1,Camk2n1,0.9834716
PFN4,Pfn4,0.9834652
OR5H2,Olfr186,0.9834649
CREBRF,Crebrf,0.98345774
CLNS1A,Clns1a,0.983457
PLCB1,Plcb1,0.98345244
NUP98,Nup98,0.9834519
CCNQ,Ccnq,0.9834516
MYRFL,Myrfl,0.98344827
SBK3,Sbk3,0.98344535
ZNF711,Zfp711,0.9834335
IQGAP2,Iqgap2,0.98342806
ALDOC,Aldoc,0.9834247
RAB34,Rab34,0.9834178
RHOA,Rhoc,0.98341614
TAAR2,Taar2,0.9834113
HNRNPA2B1,Hnrnpa2b1,0.98341024
PNPLA1,Pnpla1,0.9834042
DSG3,Dsg3,0.9834029
EFNB3,Efnb3,0.9833934
KHK,Khk,0.9833839
PRPSAP2,Prpsap2,0.9833774
GPR162,Gpr162,0.98337513
F2R,F2r,0.9833718
FN1,Fn1,0.98337096
DDX3X,D1Pas1,0.9833655
SEZ6L2,Sez6l2,0.9833634
VPS35,Vps35,0.9833619
AMDHD2,Amdhd2,0.98333997
COL14A1,Col14a1,0.9833395
CYP3A5,Cyp3a11,0.98333883
PMPCA,Pmpca,0.9833354
SGSM1,Sgsm1,0.98333365
TIE1,Tie1,0.9833296
STMND1,Stmnd1,0.9833293
MIPOL1,Mipol1,0.98332363
MED20,Med20,0.98332304
EWSR1,Ewsr1,0.9833177
ATP6V0A2,Atp6v0a4,0.9833144
ZNF692,Zfp692,0.9833108
OR52K1,Olfr552,0.98331004
CLDN18,Cldn18,0.983309
ACTG2,Actg1,0.9833054
COL13A1,Col13a1,0.9833042
RALGAPA2,Ralgapa2,0.98330015
METAP2,Metap2,0.98328805
MTRF1,Mtrf1,0.9832861
TDRD1,Tdrd1,0.9832798
JCAD,Jcad,0.9832766
AMOT,Amot,0.9832663
DGAT2L6,Dgat2l6,0.98326
UTP14C,Utp14a,0.9832518
VTN,Vtn,0.983246
SUCNR1,Sucnr1,0.9832429
TMEM62,Tmem62,0.98324263
PLXNA2,Plxna4,0.98323536
RAP1GDS1,Rap1gds1,0.9832341
PARP6,Parp6,0.983233
CISD3,Cisd3,0.98323035
REPS2,Reps2,0.9832289
P2RX7,P2rx7,0.98321486
KDR,Kdr,0.98320395
AMIGO3,Amigo3,0.9832037
SLC6A17,Slc6a17,0.98320097
TBX21,Tbx21,0.98319435
C6,C6,0.98318833
ZFP36,Zfp36,0.98318607
HCAR1,Hcar1,0.9831774
PGK2,Pgk2,0.98317647
ADGRG2,Adgrg2,0.9831729
SPTBN5,Sptbn5,0.9831641
SYT11,Syt11,0.9831632
PLEKHA6,Plekha6,0.98316
TTC13,Ttc13,0.9831576
PDIK1L,Pdik1l,0.98315746
GAP43,Gap43,0.98315567
DSE,Dse,0.9831548
KCNE2,Kcne2,0.9831443
DDX31,Ddx31,0.9831401
YKT6,Ykt6,0.9831391
CDK2AP1,Gm12184,0.9831374
HPRT1,Hprt,0.9831372
S100A3,S100a3,0.98313403
SPRYD7,Spryd7,0.98313314
SPATA7,Spata7,0.9831237
RAPGEF6,Rapgef6,0.98312217
CNOT11,Cnot11,0.98311764
DDX17,Ddx17,0.9831123
GPC2,Gpc2,0.9831107
SQSTM1,Sqstm1,0.9831061
RASGEF1A,Rasgef1a,0.98310274
DAPL1,Dapl1,0.9830944
ITGA10,Itga10,0.9830937
CYTB,mt-Cytb,0.9830929
MRPL54,Mrpl54,0.9830893
QPCTL,Qpctl,0.983078
RGS16,Rgs16,0.98307705
EVI2B,Evi2b,0.9830751
KRT34,Krt34,0.98306465
GPR26,Gpr26,0.98306423
UGT1A8,Ugt1a9,0.98306364
CYP21A2,Cyp21a1,0.9830606
GIT2,Git2,0.98305655
UBP1,Ubp1,0.9830514
HTR4,Htr4,0.98304856
IL1F10,Il1f10,0.9830421
SPMIP9,Tex37,0.9830318
PDCD11,Pdcd11,0.9830154
PPFIA1,Ppfia4,0.98300487
FAM184B,Fam184b,0.98300004
UNC50,Unc50,0.98299545
XPA,Xpa,0.98298603
CA3,Car3,0.9829717
OR5A2,Olfr1438-ps1,0.9829713
SPEM1,Spem1,0.982969
PPIH,Ppih,0.98296523
RPUSD2,Rpusd2,0.9829532
GRIN1,Grin1,0.98293257
AGR2,Agr2,0.9829307
TRIM10,Trim10,0.9829279
ZNF23,Zfp612,0.9829263
COLGALT2,Colgalt2,0.9829129
ZBTB38,Zbtb38,0.9829069
MARCHF1,Marchf1,0.98290557
DDC,Ddc,0.98289543
FSCN1,Fscn1,0.9828934
TRAM2,Tram2,0.98287565
STOML2,Stoml2,0.98287356
MMP27,Mmp27,0.98287255
LOXL2,Loxl2,0.9828593
ENTPD3,Entpd3,0.98285925
MRPL50,Mrpl50,0.9828556
TALDO1,Taldo1,0.98283845
BLZF1,Blzf1,0.98283154
PATJ,Patj,0.98282945
PGLYRP3,Pglyrp3,0.98282516
FBXL4,Fbxl4,0.98280567
SNX16,Snx16,0.98279554
RAB40C,Rab40c,0.9827921
RPL13,Rpl13,0.98278606
SPAG9,Spag9,0.9827854
ANKMY2,Ankmy2,0.9827684
TLR2,Tlr2,0.98276305
BTG1,Btg1,0.98275685
SPAST,Spast,0.9827558
MICU1,Micu1,0.982749
ENTPD7,Entpd7,0.9827364
CYP1B1,Cyp1b1,0.98273605
CAPN2,Capn2,0.98273414
ACE,Ace,0.9827331
SLC6A13,Slc6a11,0.9827298
LIMK2,Limk2,0.9827193
ZNF652,Zfp652,0.982711
DPEP2,Dpep3,0.9827073
PUS3,Pus3,0.9827064
MAPRE1,Mapre1,0.9827023
FGFBP1,Fgfbp1,0.9827003
NELL2,Nell2,0.9826982
HAT1,Hat1,0.98268765
UNC119,Unc119,0.98268723
CCR10,Ccr10,0.98267895
NTNG2,Ntng2,0.9826778
ZNF575,Zfp575,0.9826777
PPM1A,Ppm1b,0.9826762
FYB2,Fyb2,0.98266345
RBBP5,Rbbp5,0.98265904
TRIM47,Trim47,0.98265684
PPP2R2B,Ppp2r2b,0.98264676
CENPC,Cenpc1,0.98264414
HGF,Hgf,0.9826242
IFT52,Ift52,0.98262
DUOX2,Duox2,0.982603
CD36,Cd36,0.9825958
SYPL2,Sypl2,0.982586
EFNB2,Efnb2,0.98257244
MTCH2,Mtch2,0.9825713
CLCN5,Clcn5,0.9825703
CCDC42,Ccdc42,0.98256826
LNX1,Lnx1,0.9825616
OR51T1,Olfr574,0.98255336
SLC22A2,Slc22a2,0.9825386
MRPS7,Mrps7,0.9825384
ZNF367,Zfp367,0.98253834
PIP5K1B,Pip5k1b,0.98253614
ASH2L,Ash2l,0.9825344
TSPAN1,Tspan1,0.98253417
SLC25A53,Slc25a53,0.98253405
CHM,Chm,0.9825315
RDX,Rdx,0.9825299
HAO1,Hao1,0.9825141
UCN,Ucn,0.9825107
ITGBL1,Itgbl1,0.9825103
IRS4,Irs4,0.98249525
CACUL1,Cacul1,0.982493
TMEM64,Tmem64,0.982493
UBN2,Ubn2,0.9824833
NT5DC3,Nt5dc3,0.98248017
USP21,Usp21,0.982476
ANGPT4,Angpt4,0.98247147
RYR3,Ryr1,0.982468
OR4Q3,Olfr735,0.98245806
SSTR4,Sstr4,0.98245746
FBLN7,Fbln7,0.9824501
UBE2Q1,Ube2q1,0.98245
OR52A1,Olfr243,0.9824469
FBLL1,Fbll1,0.9824422
ABCD4,Abcd4,0.98244125
MASTL,Mastl,0.9824392
CKS1B,Cks2,0.98243755
REEP1,Reep1,0.9824356
ERLIN2,Erlin2,0.98243016
TP53,Trp53,0.9824212
VAMP4,Vamp4,0.9824153
EME1,Eme1,0.98239404
G6PC3,G6pc3,0.98239017
SIGLEC15,Siglec15,0.9823866
BUB3,Bub3,0.98238367
PPIE,Ppie,0.98238033
SCARB2,Scarb2,0.98237884
MOCOS,Mocos,0.98236763
POMT2,Pomt2,0.9823611
TMEM134,Tmem134,0.9823607
EPX,Epx,0.9823598
VWDE,Vwde,0.9823588
CLEC14A,Clec14a,0.9823451
TST,Tst,0.98234445
FFAR1,Ffar1,0.9823181
CLDN22,Cldn22,0.982317
DIPK2A,Dipk2a,0.9823139
CCNDBP1,Ccndbp1,0.9823097
KDM6A,Kdm6a,0.9823076
LRRC8B,Lrrc8b,0.9822891
CPA2,Cpa2,0.9822877
F2,F2,0.9822762
MPDU1,Mpdu1,0.98227346
MANSC1,Mansc1,0.9822581
DLGAP2,Dlgap2,0.98225254
DHRS9,Dhrs9,0.9822503
ATP1B4,Atp1b4,0.9822253
MAST4,Mast4,0.9822223
CBX5,Cbx5,0.9822152
SFT2D1,Gm12166,0.98221046
FAM185A,Fam185a,0.9822072
HOXD12,Hoxd12,0.9821987
TTC21A,Ttc21a,0.9821981
MRPS28,Mrps28,0.9821973
SLC25A35,Slc25a35,0.9821844
CLDN24,Cldn24,0.9821837
HLA-DMB,H2-DMb1,0.9821802
B3GALT5,B3galt5,0.98217726
KCNH2,Kcnh2,0.9821736
MTERF1,Mterf1b,0.9821709
SIRT4,Sirt4,0.9821672
ACTRT1,Actrt1,0.9821663
FGF3,Fgf3,0.9821648
OR14A2,Olfr305,0.98216397
PRDM13,Prdm13,0.98216397
FNDC8,Fndc8,0.9821611
LRRIQ4,Lrriq4,0.98215145
SNURF,Snurf,0.982142
SEC61B,Gm10320,0.9821408
PNLIPRP2,Pnliprp2,0.9821395
PIP4K2C,Pip4k2c,0.9821348
HID1,Hid1,0.98213214
HRH3,Hrh3,0.9821292
