rhesus_macaques gene name,commonmarmosets gene name,correlation
POLH,POLH,0.9979907
MORC2,MORC2,0.99798906
PTPN3,PTPN3,0.997989
PLXNA2,PLXNA2,0.99798775
LINGO3,LINGO3,0.99798596
ZNF287,ZNF287,0.9979857
ARHGAP10,ARHGAP10,0.9979845
RTL1,RTL1,0.9979828
VSIG10L2,VSIG10L2,0.9979825
FSTL4,FSTL4,0.99798214
CTR9,CTR9,0.99798065
PTAFR,PTAFR,0.99797946
SOX17,SOX17,0.99797934
LTN1,LTN1,0.9979789
TSTD2,TSTD2,0.99797887
ARID3A,ARID3A,0.99797803
RNF14,RNF14,0.9979774
AP5M1,AP5M1,0.99797696
TCF4,TCF4,0.99797624
KCTD3,KCTD3,0.99797463
CSDC2,CSDC2,0.9979745
ARL10,ARL10,0.99797344
CHRNB1,CHRNB1,0.99797255
UPF1,UPF1,0.9979717
DNAJC1,DNAJC1,0.997971
ARMCX1,ARMCX1,0.9979699
AGL,AGL,0.9979698
CHST1,CHST1,0.9979697
COL4A4,COL4A4,0.99796826
LONP2,LONP2,0.99796784
ATP10B,ATP10B,0.99796754
PKNOX2,PKNOX2,0.99796736
RBSN,RBSN,0.99796575
DPH5,DPH5,0.9979633
LACTB,LACTB,0.99796134
SLC1A6,SLC1A6,0.99796134
WDR59,WDR59,0.9979613
NTSR1,NTSR1,0.9979606
RTP1,RTP1,0.99795985
CYP4F22,CYP4F22,0.99795717
YME1L1,YME1L1,0.99795705
ZFP82,ZFP82,0.9979566
TRIM44,TRIM44,0.9979558
ABHD3,ABHD3,0.9979548
FER1L6,FER1L6,0.9979534
SETMAR,SETMAR,0.99795234
CAPN2,CAPN2,0.9979517
HMGN4,HMGN4,0.9979507
DNM2,DNM2,0.9979506
NUP107,NUP107,0.9979506
WDR3,WDR3,0.9979501
GLRX5,GLRX5,0.9979493
BLTP3A,BLTP3A,0.99794835
MYPOP,MYPOP,0.9979477
DZIP3,DZIP3,0.99794686
GHSR,GHSR,0.9979466
ATXN7L3,ATXN7L3,0.99794465
NACC2,NACC2,0.99794376
SPART,SPART,0.99794334
MVP,MVP,0.9979419
CCNF,CCNF,0.9979413
ZBTB47,ZBTB47,0.9979412
PLEKHA4,PLEKHA4,0.9979409
TAF1C,TAF1C,0.9979406
CACNA1C,CACNA1C,0.99793935
HSP90B1,HSP90B1,0.9979388
HIP1,HIP1,0.9979387
RNF215,RNF215,0.9979387
PPP2R1A,PPP2R1A,0.99793726
POLA1,POLA1,0.9979364
AEBP2,AEBP2,0.9979361
ECT2L,ECT2L,0.9979361
PDE10A,PDE10A,0.99793565
SLC35E4,SLC35E4,0.99793494
PPP2R3A,PPP2R3A,0.9979349
COL13A1,COL13A1,0.99793196
SEC14L1,SEC14L1,0.99793
IRX4,IRX4,0.9979287
MAP7D1,MAP7D1,0.9979279
SKI,SKI,0.9979278
PTPRA,PTPRA,0.9979267
RIMBP2,RIMBP2,0.9979261
EVC2,EVC2,0.9979255
TENT5B,TENT5B,0.99792343
VPS11,VPS11,0.9979229
YTHDC1,YTHDC1,0.9979225
CA7,CA7,0.99792224
ACTR2,ACTR2,0.9979215
NCOA6,NCOA6,0.9979211
GPR19,GPR19,0.9979207
ASCL1,ASCL1,0.99791986
ARHGAP44,ARHGAP44,0.9979191
TBX15,TBX15,0.9979189
ADCY3,ADCY3,0.9979184
C9H10orf71,C10orf71,0.99791825
RD3,RD3,0.9979178
MID2,MID2,0.99791723
DHX29,DHX29,0.9979162
SHC1,SHC1,0.9979161
AFAP1,AFAP1,0.9979154
ZFPM2,ZFPM2,0.99791515
GEM,GEM,0.99791414
ANGEL2,ANGEL2,0.99791366
NUDT2,NUDT2,0.9979128
DDB1,DDB1,0.99791247
ID1,ID1,0.9979123
APIP,APIP,0.9979122
RCE1,RCE1,0.9979118
TIMM17A,TIMM17A,0.99791175
HOXB13,HOXB13,0.9979108
EP400,EP400,0.9979102
GABPB1,GABPB1,0.99790984
ZBTB26,ZBTB26,0.99790716
YRDC,YRDC,0.9979067
ADRA2C,ADRA2C,0.9979049
ELF1,ELF1,0.9979044
DICER1,DICER1,0.9979043
UBE2Z,UBE2Z,0.99790233
TFEB,TFEB,0.9979015
RFX1,RFX1,0.9979001
FDX1,FDX1,0.99789965
FYB1,FYB1,0.997898
FBXO30,FBXO30,0.99789745
TLR8,TLR8,0.9978965
NOL10,NOL10,0.9978953
SHROOM4,SHROOM4,0.99789417
CDC42,CDC42,0.99789375
KRT32,KRT32,0.99789333
ZBTB24,ZBTB24,0.9978925
KBTBD13,KBTBD13,0.9978923
ZNF629,ZNF629,0.9978922
CILP2,CILP2,0.99789053
DGKZ,DGKZ,0.9978903
SRRM1,SRRM1,0.9978902
DRGX,DRGX,0.9978879
LHX3,LHX3,0.9978868
IPMK,IPMK,0.9978859
NEU1,NEU1,0.99788225
FGD1,FGD1,0.9978814
MAMDC2,MAMDC2,0.9978813
CXCR4,CXCR4,0.9978779
RMND5B,RMND5B,0.99787676
CHRM5,CHRM5,0.9978765
C5H4orf54,C4orf54,0.997876
C4H6orf120,C6orf120,0.9978756
KAT14,KAT14,0.9978731
CNNM4,CNNM4,0.99787176
NEK6,NEK6,0.99787086
STAT5B,STAT5B,0.99787
PLA2G4D,PLA2G4D,0.9978688
ZAP70,ZAP70,0.99786866
UNC45A,UNC45A,0.99786794
DPP8,DPP8,0.9978676
CHRNB2,CHRNB2,0.9978665
ABHD8,ABHD8,0.9978659
AP2A1,AP2A1,0.9978655
DVL1,DVL1,0.9978633
AFG1L,AFG1L,0.997863
FBXO11,FBXO11,0.9978622
WNT3A,WNT3A,0.9978621
TDG,TDG,0.99786174
SYT12,SYT12,0.99786067
RND1,RND1,0.9978599
DOCK1,DOCK1,0.9978597
NPPA,NPPA,0.9978586
PAFAH1B3,PAFAH1B3,0.9978586
GALR2,GALR2,0.99785805
C6H5orf15,C5orf15,0.99785763
JAZF1,JAZF1,0.9978574
ZGRF1,ZGRF1,0.9978564
GOLM1,GOLM1,0.9978563
FMOD,FMOD,0.9978562
MYF5,MYF5,0.99785525
ZNF804A,ZNF804A,0.99785435
PLK3,PLK3,0.99785376
SLC30A8,SLC30A8,0.99785376
CKAP2L,CKAP2L,0.99785364
RPS6KA4,RPS6KA4,0.9978519
HES5,HES5,0.9978516
P4HA1,P4HA1,0.99785155
CKM,CKM,0.9978495
ERCC4,ERCC4,0.9978493
RIC1,RIC1,0.9978487
SPHKAP,SPHKAP,0.9978487
CEP135,CEP135,0.9978486
RHBG,RHBG,0.9978483
CCNA2,CCNA2,0.99784815
E2F2,E2F2,0.9978456
SLC22A6,SLC22A6,0.99784416
MEIOC,MEIOC,0.9978441
MAST2,MAST2,0.99784327
SST,SST,0.99784285
CNOT4,CNOT4,0.9978403
BARX1,BARX1,0.99784005
TRERF1,TRERF1,0.9978379
CILP,CILP,0.99783736
RBM12B,RBM12B,0.9978371
TTPA,TTPA,0.9978367
JCAD,JCAD,0.9978363
FBLN2,FBLN2,0.9978359
PDX1,PDX1,0.99783534
SNX14,SNX14,0.99783486
ADAMTS19,ADAMTS19,0.9978329
KIF1B,KIF1B,0.9978326
HNRNPH3,HNRNPH3,0.9978324
CNTN6,CNTN6,0.9978323
ADAMTS18,ADAMTS18,0.99783224
EPHA4,EPHA4,0.99783176
ITGA2,ITGA2,0.99783146
TMEM115,TMEM115,0.99783015
CHD4,CHD4,0.9978295
ALDH1A3,ALDH1A3,0.9978294
TMEM258,TMEM258,0.997829
PRPF19,PRPF19,0.997828
NDST1,SYNPO,0.99782735
SYNE3,SYNE3,0.9978265
BRWD3,BRWD3,0.99782574
HRH1,HRH1,0.99782556
TMEM233,TMEM233,0.9978255
WASHC5,WASHC5,0.99782544
EEIG1,EEIG1,0.9978253
GJA1,GJA1,0.9978251
AWAT1,AWAT1,0.99782497
KCNG2,KCNG2,0.99782485
DOCK7,DOCK7,0.99782383
NALCN,NALCN,0.99782366
LRAT,LRAT,0.9978231
LMLN,LMLN,0.99782205
LNX2,LNX2,0.9978219
ARHGEF16,ARHGEF16,0.9978205
FAM136A,FAM136A,0.9978203
LSG1,LSG1,0.9978191
INTS6L,INTS6L,0.9978185
ZBTB3,ZBTB3,0.9978179
SLC6A5,SLC6A5,0.99781555
ADAM11,ADAM11,0.9978146
NEURL1B,NEURL1B,0.99781334
WFS1,WFS1,0.99781233
USP24,USP24,0.9978122
KLHL35,KLHL35,0.9978109
PFDN2,PFDN2,0.99781066
RSF1,RSF1,0.9978102
SLAIN2,SLAIN2,0.9978079
CC2D1A,CC2D1A,0.99780786
SEC23IP,SEC23IP,0.9978048
FGF10,FGF10,0.9978036
NKAPD1,NKAPD1,0.9978026
TTC7B,TTC7B,0.9977985
SLC34A2,SLC34A2,0.99779665
ZNF784,ZNF784,0.99779636
CDH4,CDH4,0.99779564
EIF3L,EIF3L,0.99779487
COX15,COX15,0.99779445
ZNF14,ZNF14,0.9977933
TCFL5,TCFL5,0.9977928
SPATS2,SPATS2,0.9977925
PKD2,PKD2,0.99779135
MCMBP,MCMBP,0.9977912
RFC1,RFC1,0.99779093
SOX5,SOX5,0.99779034
ZNF484,ZNF484,0.99778897
VCAN,VCAN,0.9977873
SPRYD4,SPRYD4,0.9977871
NDRG2,NDRG2,0.9977859
KDELR3,KDELR3,0.997784
TP53BP2,TP53BP2,0.9977833
ZNF526,ZNF526,0.99778295
CSMD3,CSMD3,0.99778277
DDX50,DDX50,0.99778265
OTOR,OTOR,0.99778265
PPRC1,PPRC1,0.99778163
TLL1,TLL1,0.9977814
PLPP3,PLPP3,0.9977801
CDCP2,CDCP2,0.99777997
GBP6,GBP6,0.9977799
FURIN,FURIN,0.99777865
CPEB3,CPEB3,0.99777824
MMP13,MMP13,0.9977755
MYOD1,MYOD1,0.9977728
CPLANE2,CPLANE2,0.9977724
DPY19L3,DPY19L3,0.99777013
TUSC2,TUSC2,0.99777013
STYXL2,STYXL2,0.99776983
ADGRB1,ADGRB1,0.9977695
TMEM39B,TMEM39B,0.9977693
DGKG,DGKG,0.9977689
DVL3,DVL3,0.997768
PCF11,PCF11,0.9977667
PPM1A,PPM1A,0.9977665
CYP27B1,CYP27B1,0.997766
SLC16A13,SLC16A13,0.99776596
POLE,POLE,0.99776363
KLHL4,KLHL4,0.9977621
BLZF1,BLZF1,0.99776196
PLD2,PLD2,0.9977613
ARID3B,ARID3B,0.99776113
BMP10,BMP10,0.99775994
FLVCR1,FLVCR1,0.9977587
KNL1,KNL1,0.9977586
COL4A6,COL4A6,0.99775827
APEX1,APEX1,0.9977581
DIS3,DIS3,0.9977574
IQGAP2,IQGAP2,0.99775726
SV2C,SV2C,0.99775654
MRPL17,MRPL17,0.99775624
CSDE1,CSDE1,0.99775404
ZMYND19,ZMYND19,0.997754
EFR3A,EFR3A,0.9977539
PDCD11,PDCD11,0.9977516
RNF31,RNF31,0.9977516
BMP3,BMP3,0.99775094
OPRL1,OPRL1,0.9977502
KCNT2,KCNT2,0.9977496
ARTN,ARTN,0.9977493
MICALL1,MICALL1,0.99774766
MIP,MIP,0.9977454
SNX27,SNX27,0.9977443
CFAP54,CFAP54,0.99774384
PLEC,PLEC,0.9977422
PHF3,PHF3,0.997741
COL24A1,COL24A1,0.9977391
ACTR3B,ACTR3B,0.99773866
SEMA6B,SEMA6B,0.9977381
INPPL1,INPPL1,0.99773806
PAPPA,PAPPA,0.997738
RPH3A,RPH3A,0.99773705
UPF3B,UPF3B,0.997735
TMED1,TMED1,0.9977344
SLC38A4,SLC38A4,0.9977338
C6H5orf34,C5orf34,0.9977331
PAM,PAM,0.9977331
TMEM204,TMEM204,0.997733
UBP1,UBP1,0.9977327
LAMC3,LAMC3,0.99773175
AGBL1,AGBL1,0.9977317
CDC27,CDC27,0.9977305
TASOR2,TASOR2,0.9977302
SH3GLB1,SH3GLB1,0.9977292
CLDN4,CLDN4,0.9977284
MYEF2,MYEF2,0.99772835
CLDN3,CLDN3,0.9977279
GTF3C1,GTF3C1,0.9977276
ZBTB17,ZBTB17,0.9977274
CERS6,CERS6,0.99772733
DPYSL2,DPYSL2,0.99772656
HOXB2,HOXB2,0.99772537
SPI1,SPI1,0.9977249
MAML1,MAML1,0.9977229
BRD10,BRD10,0.99772245
C12H2orf69,C2orf69,0.9977224
SNX9,SNX9,0.997722
MEGF11,MEGF11,0.99772185
TASOR,TASOR,0.9977217
GCNT4,GCNT4,0.99771994
SLK,SLK,0.9977198
RINT1,RINT1,0.99771976
PLEKHM3,PLEKHM3,0.99771947
KIAA0586,KIAA0586,0.9977189
ARHGAP21,ARHGAP21,0.9977155
NTRK3,NTRK3,0.9977152
DHX57,DHX57,0.99771464
SPHK2,SPHK2,0.9977139
AOC1,AOC1,0.9977136
FAM83B,FAM83B,0.99771357
LMTK2,LMTK2,0.9977135
FAT3,FAT3,0.99771196
GGCX,GGCX,0.99771154
DHRS7C,DHRS7C,0.9977109
ACTL6A,ACTL6A,0.99771076
ST18,ST18,0.9977106
GTF2I,GTF2I,0.9977097
WDHD1,WDHD1,0.99770945
GPX7,GPX7,0.9977089
DNAJC22,DNAJC22,0.99770814
MATN1,MATN1,0.99770784
PSD2,PSD2,0.9977071
FOXJ2,FOXJ2,0.99770707
CASKIN2,CASKIN2,0.99770606
COL19A1,COL19A1,0.99770534
B4GALT1,B4GALT1,0.9977053
POGZ,POGZ,0.9977046
STRA6,STRA6,0.9977039
FHIP2B,FHIP2B,0.9977029
GPR176,GPR176,0.9977029
CACHD1,CACHD1,0.99770194
GOLGA5,GOLGA5,0.99770194
ZNF565,ZNF565,0.9977006
CCDC120,CCDC120,0.9977003
PHOX2A,PHOX2A,0.99770015
TST,TST,0.9976999
BTRC,BTRC,0.9976997
TMEM169,TMEM169,0.9976995
SMAD6,SMAD6,0.99769896
MBNL2,MBNL2,0.9976981
MMUT,MMUT,0.99769783
USP20,USP20,0.99769694
GARNL3,GARNL3,0.9976969
ODR4,ODR4,0.99769676
ZNF322,ZNF322,0.99769527
STAT2,STAT2,0.9976943
ANKRD40,ANKRD40,0.99769366
PLSCR3,PLSCR3,0.99769324
SLC16A3,SLC16A3,0.9976932
RADIL,RADIL,0.9976918
HDAC7,HDAC7,0.99769163
TMC2,TMC2,0.9976904
LACTBL1,LACTBL1,0.99768984
RNF19A,RNF19A,0.99768984
CHST11,CHST11,0.9976881
CNR2,CNR2,0.9976877
SLC35E1,SLC35E1,0.99768746
OXSR1,OXSR1,0.99768716
GUCY1B1,GUCY1B1,0.9976857
ZNF334,ZNF334,0.9976849
CCDC68,CCDC68,0.99768466
ZBTB20,ZBTB20,0.9976837
MYOM1,MYOM1,0.99768275
ACKR3,ACKR3,0.9976819
FOXN2,FOXN2,0.9976818
NCAPG2,NCAPG2,0.9976818
TBC1D31,TBC1D31,0.9976793
WNK3,WNK3,0.9976793
PRDM1,PRDM1,0.997679
TAPT1,TAPT1,0.99767816
SANBR,SANBR,0.9976774
ARHGAP17,ARHGAP17,0.99767476
BBS9,BBS9,0.9976743
FBXO9,FBXO9,0.99767333
ADAM12,ADAM12,0.9976731
INTS11,INTS11,0.997673
PPP1R12A,PPP1R12A,0.9976729
CDKL1,CDKL1,0.9976728
LRRTM4,LRRTM4,0.9976726
GRPEL1,GRPEL1,0.99767256
UAP1,UAP1,0.99767095
DIS3L,DIS3L,0.9976687
RPAP2,RPAP2,0.9976687
TEX10,TEX10,0.9976686
UBA1,UBA1,0.9976683
LRRC2,LRRC2,0.99766785
ANKRD63,ANKRD63,0.99766594
KLHL18,KLHL18,0.9976657
NATD1,NATD1,0.9976653
PROSER1,PROSER1,0.99766403
ZNF490,ZNF490,0.9976635
MTDH,MTDH,0.9976629
RIPK2,RIPK2,0.99766284
ERRFI1,ERRFI1,0.99766064
ATOSB,ATOSB,0.9976591
CHRNA10,CHRNA10,0.9976575
LCLAT1,LCLAT1,0.99765694
MDGA1,MDGA1,0.9976552
DCP2,DCP2,0.9976548
RASGRP1,RASGRP1,0.99765396
STT3B,STT3B,0.9976529
GLE1,GLE1,0.99765277
MSGN1,MSGN1,0.99765205
SEMA3C,SEMA3C,0.99765164
ATL2,ATL2,0.9976513
SPTY2D1,SPTY2D1,0.9976509
DHX32,DHX32,0.9976503
UNC5CL,UNC5CL,0.99764967
AGO1,AGO1,0.9976488
MEIS2,MEIS2,0.9976487
FNDC10,FNDC10,0.99764866
CAV2,CAV2,0.99764663
FMO2,FMO2,0.99764585
HECA,HECA,0.99764585
RFX7,RFX7,0.99764425
SLC22A8,SLC22A8,0.9976435
ATOH1,ATOH1,0.9976421
GOLPH3L,GOLPH3L,0.9976419
GPSM2,GPSM2,0.99764097
STON2,STON2,0.99764055
LCORL,LCORL,0.9976389
MCU,MCU,0.9976387
GRID2,GRID2,0.9976373
SPINK5,SPINK5,0.9976365
CTDSPL2,CTDSPL2,0.9976356
EPS8,EPS8,0.99763507
TBC1D8,TBC1D8,0.9976344
NIBAN2,NIBAN2,0.9976332
SACS,SACS,0.99763256
EI24,EI24,0.99763125
OPCML,OPCML,0.9976292
GJC2,GJC2,0.99762917
ANXA4,ANXA4,0.997628
ZBTB8B,ZBTB8B,0.9976274
DGKB,DGKB,0.9976269
HRH2,HRH2,0.99762344
TAF4B,TAF4B,0.99762297
TSHR,TSHR,0.9976226
TXNDC9,TXNDC9,0.9976223
LAMB1,LAMB1,0.99762124
USP6NL,USP6NL,0.99762124
TP53BP1,TP53BP1,0.9976211
PTPN12,PTPN12,0.99762034
CCNG2,CCNG2,0.9976192
SLC24A3,SLC24A3,0.99761695
CBL,CBL,0.99761635
KLHL2,KLHL2,0.9976153
PIK3CD,PIK3CD,0.9976152
RXYLT1,RXYLT1,0.9976151
BSND,BSND,0.99761397
PRKACB,PRKACB,0.99761295
STX18,STX18,0.99761283
HK3,HK3,0.99761224
ATG9B,ATG9B,0.99760896
SAMD14,SAMD14,0.997607
DUOX1,DUOX1,0.9976069
SH3BP4,SH3BP4,0.99760586
REV1,REV1,0.9976053
CPZ,CPZ,0.9976042
LRWD1,LRWD1,0.9976042
PRKCSH,PRKCSH,0.9976042
RBM6,RBM6,0.997602
PARD6G,PARD6G,0.9976013
B3GNT8,B3GNT8,0.9976009
EDC4,EDC4,0.9976005
EIF4G1,EIF4G1,0.9975996
OSBPL10,OSBPL10,0.9975996
IKBIP,IKBIP,0.9975994
SEL1L,SEL1L,0.997599
ABCA3,ABCA3,0.99759865
RBM46,RBM46,0.9975978
PLCE1,PLCE1,0.9975968
MEIS1,MEIS1,0.99759674
ARHGEF11,ARHGEF11,0.9975955
ANO10,ANO10,0.9975954
MPP1,MPP1,0.9975947
TNNT2,TNNT2,0.9975935
C2CD3,C2CD3,0.9975926
MTREX,MTREX,0.99759257
TM4SF1,TM4SF1,0.9975902
FSD1,FSD1,0.99759007
ZIC5,ZIC5,0.99758965
CAMTA2,CAMTA2,0.99758935
TEKT5,TEKT5,0.9975887
ATP2C2,ATP2C2,0.9975867
BIRC2,BIRC2,0.99758667
ZNF527,ZNF527,0.9975856
SLC13A4,SLC13A4,0.9975853
ANKRD13C,ANKRD13C,0.9975826
ADCK1,ADCK1,0.9975822
IL20RB,IL20RB,0.99758154
PRRG3,PRRG3,0.9975798
RNF41,RNF41,0.99757904
ABL2,ABL2,0.99757886
C7H14orf28,C14orf28,0.9975784
FBXW2,FBXW2,0.9975775
HIKESHI,HIKESHI,0.99757564
MYC,MYC,0.9975743
TMTC3,TMTC3,0.9975742
DPCD,DPCD,0.99757385
COL10A1,COL10A1,0.9975736
HOOK2,HOOK2,0.9975735
PANK4,PANK4,0.99757344
FAF1,FAF1,0.9975725
MMP28,MMP28,0.99757105
PIP5K1C,PIP5K1C,0.997571
TRABD,TRABD,0.9975708
TTC22,TTC22,0.99757034
GPR179,GPR179,0.99756986
RRAS,RRAS,0.9975694
TGFBR3,TGFBR3,0.9975683
ITPRID1,ITPRID1,0.9975681
UIMC1,UIMC1,0.99756765
RSPRY1,RSPRY1,0.9975675
UHMK1,UHMK1,0.9975675
DENND2A,DENND2A,0.9975671
GPATCH1,GPATCH1,0.9975647
AP3B1,AP3B1,0.9975629
AOX1,AOX1,0.9975627
GLI3,GLI3,0.9975618
GPD1,GPD1,0.9975612
VGF,VGF,0.997559
RCL1,RCL1,0.99755573
FARSB,FARSB,0.99755555
CENPL,CENPL,0.9975546
FAM13B,FAM13B,0.99755436
PAPSS1,PAPSS1,0.9975509
ELL2,ELL2,0.99754965
MKX,MKX,0.9975495
CHD6,CHD6,0.9975488
PKHD1,PKHD1,0.9975481
ERBB4,ERBB4,0.99754524
HSF5,HSF5,0.9975435
EPHA2,EPHA2,0.9975417
SYNM,SYNM,0.9975413
MAML2,MAML2,0.99754083
ZNF750,ZNF750,0.99754053
PCSK1,PCSK1,0.9975404
POLR2C,POLR2C,0.9975391
EDC3,EDC3,0.997539
GPR34,GPR34,0.9975388
TP53INP2,TP53INP2,0.99753845
HHIP,HHIP,0.9975379
LRRC42,LRRC42,0.99753594
RASSF9,RASSF9,0.9975357
SLC38A1,SLC38A1,0.99753547
PLEKHA6,PLEKHA6,0.99753475
KIF3B,KIF3B,0.9975347
IRX1,IRX1,0.9975329
BNC1,BNC1,0.99753255
ZFYVE16,ZFYVE16,0.9975325
LRRC15,LRRC15,0.9975323
PLCB4,PLCB4,0.99753076
PTPRO,PTPRO,0.9975264
CHRNA6,CHRNA6,0.99752605
RNF175,RNF175,0.99752486
COQ8A,COQ8A,0.99752474
OR6K2,OR6K2,0.9975245
OR4S2,OR4S2,0.9975236
PCDHGB5,PCDHGA4,0.997523
SLC35C1,SLC35C1,0.9975211
MAP3K21,MAP3K21,0.9975205
HPS5,HPS5,0.9975194
CROT,CROT,0.9975193
ZBTB7B,ZBTB7B,0.99751824
RNF145,RNF145,0.9975181
ZMIZ2,ZMIZ2,0.9975167
FAM135B,FAM135B,0.9975165
SLC30A1,SLC30A1,0.9975155
EIF2A,EIF2A,0.997515
NOC3L,NOC3L,0.9975123
ADAM23,ADAM23,0.99751055
FAM171B,FAM171B,0.99750954
SLC4A1AP,SLC4A1AP,0.9975095
EDAR,EDAR,0.99750865
DHX34,DHX34,0.9975086
MSH5,MSH5,0.99750847
SESTD1,SESTD1,0.9975082
MET,MET,0.99750704
TMEM271,TMEM271,0.9975066
FAM184B,FAM184B,0.9975064
EIF1B,EIF1B,0.9975059
RNF169,RNF169,0.99750495
ERLEC1,ERLEC1,0.9975044
ATP6V1C1,ATP6V1C1,0.9975043
CELF1,CELF1,0.99750257
OR6X1,OR6X1,0.9975023
PPL,PPL,0.99750197
CTC1,CTC1,0.99750084
SMURF2,SMURF2,0.99749994
P2RY14,P2RY14,0.9974998
PLEKHA5,PLEKHA5,0.9974991
GPRASP1,GPRASP1,0.99749875
CTNNBL1,CTNNBL1,0.9974985
ABCB9,ABCB9,0.9974971
P2RX1,P2RX1,0.9974964
ODC1,ODC1,0.99749625
XIAP,XIAP,0.99749386
SLC25A40,SLC25A40,0.99749374
CARMIL1,CARMIL1,0.9974915
LIMS2,LIMS2,0.99749106
RGL3,RGL3,0.9974905
GKAP1,GKAP1,0.99748886
BCOR,BCOR,0.9974884
SSC5D,SSC5D,0.9974883
COL11A2,COL11A2,0.9974872
EFNB2,EFNB2,0.99748695
THAP9,THAP9,0.9974866
MTHFR,MTHFR,0.99748623
NPHP1,NPHP1,0.99748576
ZNF579,ZNF579,0.9974852
ASNS,ASNS,0.99748516
LPIN1,LPIN1,0.99748504
HEBP1,HEBP1,0.99748456
RHOBTB2,RHOBTB2,0.9974831
CYB5D1,CYB5D1,0.99748147
IGSF9,IGSF9,0.99748063
DHPS,DHPS,0.99748
SCAND3,SCAND3,0.997477
ZNF341,ZNF341,0.9974767
PIK3R5,PIK3R5,0.9974764
FSCN3,FSCN3,0.99747515
B3GLCT,B3GLCT,0.9974745
NUDT18,NUDT18,0.99747336
THADA,THADA,0.9974727
ARMH4,ARMH4,0.9974723
SGCD,SGCD,0.99747145
ZNF136,ZNF136,0.99747145
NUDT21,NUDT21,0.9974714
KIT,KIT,0.99747133
SEL1L3,SEL1L3,0.9974713
IFT74,IFT74,0.9974703
SYT17,SYT17,0.99746835
PDGFRL,PDGFRL,0.9974683
C19H19orf67,C19orf67,0.9974677
GPR37,GPR37,0.99746734
ATG7,ATG7,0.9974654
RXFP3,RXFP3,0.99746513
TMX3,TMX3,0.9974645
NOP9,NOP9,0.99746436
VSTM2B,VSTM2B,0.99746406
OTOP1,OTOP1,0.9974639
CRB2,CRB2,0.9974635
MTBP,MTBP,0.9974627
LARS1,LARS1,0.9974607
LATS2,LATS2,0.9974607
DLL4,DLL4,0.9974589
LCT,LCT,0.9974589
COASY,COASY,0.9974584
TTC21B,TTC21B,0.997457
NR2F1,NR2F1,0.99745655
ALKBH1,ALKBH1,0.99745643
NSMF,NSMF,0.99745566
ZNF570,ZNF570,0.99745566
CLCN7,CLCN7,0.997455
RNFT2,RNFT2,0.9974544
CELSR3,CELSR3,0.99745387
KCNN3,KCNN3,0.99745333
BCL2,BCL2,0.9974533
MICU2,MICU2,0.99745256
EML4,EML4,0.9974521
TSPOAP1,TSPOAP1,0.997452
DOT1L,DOT1L,0.9974518
ARVCF,ARVCF,0.9974511
ALDH1L2,ALDH1L2,0.99745053
ETS1,ETS1,0.99745053
METTL24,METTL24,0.99744993
CENPE,CENPE,0.9974473
RBM26,RBM26,0.9974467
FA2H,FA2H,0.99744594
ADARB2,ADARB2,0.99744534
ABCC4,ABCC4,0.997445
EXOC5,EXOC5,0.99744284
CCN2,CCN2,0.997442
PREP,PREP,0.9974416
OTULINL,OTULINL,0.9974414
STIP1,STIP1,0.99744135
TSR1,TSR1,0.99744093
CARM1,CARM1,0.9974406
THUMPD1,THUMPD1,0.9974406
TIA1,TIA1,0.9974395
GTF2H4,GTF2H4,0.99743867
ZNF607,ZNF607,0.99743855
ZNF772,ZNF772,0.99743724
CEBPD,CEBPD,0.99743646
MEAF6,MEAF6,0.997436
OCLN,OCLN,0.9974352
DARS1,DARS1,0.99743515
EYA1,EYA1,0.9974351
BAIAP2L2,BAIAP2L2,0.99743474
GABBR2,GABBR2,0.99743414
CNTNAP5,CNTNAP5,0.99743277
DVL2,DVL2,0.99743265
ENO1,ENO1,0.9974316
ZDHHC24,ZDHHC24,0.99743086
TNKS1BP1,TNKS1BP1,0.9974301
LIPM,LIPM,0.9974297
PLEKHG1,PLEKHG1,0.9974296
TAS2R40,TAS2R40,0.9974296
ACVR2B,ACVR2B,0.997429
CDC37L1,CDC37L1,0.9974282
MRPL16,MRPL16,0.9974264
PPP1R3C,PPP1R3C,0.9974253
LY6G6C,LY6G6C,0.99742347
ETV6,ETV6,0.99742305
PCDHB7,PCDHB7,0.9974195
BEGAIN,BEGAIN,0.9974185
GDF2,GDF2,0.9974176
ACOX1,ACOX1,0.9974175
MAPRE2,MAPRE2,0.9974173
KLC3,KLC3,0.99741477
NECTIN3,NECTIN3,0.99741393
HNF1A,HNF1A,0.9974129
BRD1,BRD1,0.99741197
ANKLE2,ANKLE2,0.997411
IST1,IST1,0.99741054
NCKAP5L,NCKAP5L,0.9974095
HID1,HID1,0.997409
UNC13A,UNC13A,0.997408
TENT4A,TENT4A,0.99740684
KRTAP11-1,KRTAP11-1,0.9974068
FAF2,FAF2,0.99740386
GPR37L1,GPR37L1,0.9974038
SERPINI1,SERPINI1,0.99740314
TMEM121B,TMEM121B,0.99740255
GJB4,GJB4,0.9974022
SCRT2,SCRT2,0.9973999
PHLPP1,PHLPP1,0.99739957
RS1,RS1,0.99739945
ERVFRD-1,ERVFRD-1,0.99739933
RAB11FIP2,RAB11FIP2,0.9973993
LHX8,LHX8,0.9973983
BCAN,BCAN,0.99739754
MECOM,MECOM,0.99739563
RGS10,RGS10,0.99739546
NADK,NADK,0.99739504
