rhesus_macaque gene name,human gene name,correlation
UCP1,UCP1,0.9971975
TMEM30B,TMEM30B,0.99719703
TDRD10,TDRD10,0.99719596
NLRP13,NLRP13,0.99719584
PPARD,PPARD,0.9971955
KRT84,KRT84,0.997195
TOR4A,TOR4A,0.99719465
TACO1,TACO1,0.9971938
WNT6,WNT6,0.9971924
NPAP1,NPAP1,0.99719036
MEP1B,MEP1B,0.9971902
AOC2,AOC2,0.99718815
UNC13A,UNC13A,0.99718815
POC1A,POC1A,0.997182
SPATA31F1,FAM205A,0.99717796
ATP6V1E2,ATP6V1E2,0.99717665
CCDC185,CCDC185,0.9971764
WDR44,WDR44,0.9971752
RNF5,RNF5,0.9971743
AVP,AVP,0.99717337
OR10A6,OR10A6,0.997172
SWSAP1,SWSAP1,0.9971701
EFHC2,EFHC2,0.99716747
PIF1,PIF1,0.9971669
CRB2,CRB2,0.99716556
SFTA2,SFTA2,0.99715984
VPS13B,VPS13B,0.9971576
OR52N4,OR52N4,0.9971574
ZBTB42,ZBTB42,0.99715614
FTL,FTL,0.99715054
PDE3B,PDE3B,0.9971485
PRAG1,PRAG1,0.9971484
PGBD1,PGBD1,0.99714434
MC3R,MC3R,0.99713993
TSSK2,TSSK2,0.99713886
MAGEB18,MAGEB18,0.99713475
OR4S2,OR4S2,0.9971281
TNF,TNF,0.9971273
KRT76,KRT76,0.9971253
BEGAIN,BEGAIN,0.99712497
PTPN1,PTPN1,0.9971231
CLCNKB,CLCNKA,0.99712175
GPR158,GPR158,0.99711895
IL17A,IL17A,0.9971162
MTMR6,MTMR6,0.99711496
FAM111A,FAM111A,0.99711263
TFCP2L1,TFCP2L1,0.9971125
PAX2,PAX2,0.9971121
SUCNR1,SUCNR1,0.9971097
OPN1SW,OPN1SW,0.9971083
SLC9A4,SLC9A4,0.9971064
PPP1R3B,PPP1R3B,0.9971041
RNF43,RNF43,0.9971025
ID1,ID1,0.99709785
C6H5orf15,C5orf15,0.99709713
C1H1orf74,C1orf74,0.99709475
WDR12,WDR12,0.99709326
PRSS58,PRSS58,0.99709296
PLTP,PLTP,0.99709255
PPP4R3B,PPP4R3B,0.9970923
RBM10,RBM10,0.9970908
TRIM58,TRIM58,0.9970883
ZNF597,ZNF597,0.99708813
SRD5A2,SRD5A2,0.99708307
ABRA,ABRA,0.9970803
C13H2orf78,C2orf78,0.99707997
MRTO4,MRTO4,0.9970799
PHRF1,PHRF1,0.9970797
SCAF8,SCAF8,0.99707866
KDM2A,KDM2A,0.99707323
KRCC1,KRCC1,0.9970729
LRRC2,LRRC2,0.9970678
GPLD1,GPLD1,0.9970653
SEMA7A,SEMA7A,0.99706256
KDELR3,KDELR3,0.9970615
NUP210,NUP210,0.99706143
CSNK2A1,CSNK2A3,0.99705994
TMEM183A,TMEM183A,0.9970579
ISX,ISX,0.99705565
PCGF5,PCGF5,0.9970554
OPN1LW,OPN1MW3,0.9970515
ATP2B2,ATP2B2,0.9970462
MAB21L3,MAB21L3,0.9970444
METAP1D,METAP1D,0.9970438
DSG4,DSG4,0.9970419
FAM107A,FAM107A,0.9970389
GLIS1,GLIS1,0.997037
EMP2,EMP2,0.99703526
IL26,IL26,0.9970352
GCLM,GCLM,0.9970343
MLNR,MLNR,0.99703383
SPPL2C,SPPL2C,0.99703306
DNAJC3,DNAJC3,0.9970327
SFR1,SFR1,0.9970315
KAZALD1,KAZALD1,0.99703133
TMF1,TMF1,0.99702954
PKIB,PKIB,0.9970293
SNRNP48,SNRNP48,0.9970268
AUP1,AUP1,0.99702126
SLC4A10,SLC4A10,0.9970211
NALF2,NALF2,0.997021
SLC16A1,SLC16A1,0.9970184
ANGPTL3,ANGPTL3,0.99701595
ADGRL2,ADGRL2,0.9970157
TASL,TASL,0.99701536
MMP7,MMP7,0.99701303
PPP1R9B,PPP1R9B,0.99701285
TRPC6,TRPC6,0.9970089
ZNF700,ZNF700,0.9970083
SERPINE1,SERPINE1,0.99700576
SKOR1,SKOR1,0.99700564
WDR64,WDR64,0.9970056
CD109,CD109,0.9970053
SH3GLB1,SH3GLB1,0.99700123
GPR25,GPR25,0.99699646
ALCAM,ALCAM,0.9969936
HOXD1,HOXD1,0.99699306
ZNF280C,ZNF280C,0.9969917
MYBPC3,MYBPC3,0.99699026
ARVCF,ARVCF,0.99698776
H6PD,H6PD,0.99698514
TLE7,TLE7,0.99698293
IGBP1C,IGBP1P2,0.99698025
LRRC40,LRRC40,0.99697995
CCDC126,CCDC126,0.996978
SUSD4,SUSD4,0.9969775
ENPP5,ENPP5,0.9969769
CDH7,CDH7,0.99697554
AHCY,AHCY,0.9969733
NNMT,NNMT,0.99697113
GPR61,GPR61,0.9969704
EDEM3,EDEM3,0.99696785
TMEM45B,TMEM45B,0.99696404
HPF1,HPF1,0.99696285
CGGBP1,CGGBP1,0.9969601
TGFA,TGFA,0.99695987
GPR55,GPR55,0.9969584
NRG2,NRG2,0.99695456
KLF14,KLF14,0.9969542
POLR3C,POLR3C,0.9969525
LRRC3,LRRC3,0.9969468
NEO1,NEO1,0.996945
C9,C9,0.9969449
PTGDR2,PTGDR2,0.99694365
CIMAP1C,ODF3L1,0.99693966
PGLYRP4,PGLYRP4,0.99693525
LRRC71,LRRC71,0.9969308
ROBO4,ROBO4,0.9969289
BPIFB3,BPIFB3,0.9969246
CACNG8,CACNG8,0.9969238
SRMS,SRMS,0.9969186
ERLIN1,ERLIN1,0.99691516
ABCD2,ABCD2,0.9969125
LETM1,LETM1,0.996911
TOPAZ1,TOPAZ1,0.9969082
OR6N2,OR6N2,0.99689525
KRT26,KRT26,0.996893
SP8,SP8,0.9968907
HCRT,HCRT,0.9968901
C7H14orf28,C14orf28,0.9968894
IGBP1,IGBP1,0.9968894
PKDREJ,PKDREJ,0.9968856
CTNND1,CTNND1,0.996883
PDZRN4,PDZRN4,0.9968824
ZKSCAN4,ZKSCAN4,0.996882
PRAMEF12,PRAMEF12,0.99688023
FGFBP1,FGFBP1,0.9968786
CD180,CD180,0.9968765
UROC1,UROC1,0.99687546
MTCH2,MTCH2,0.9968737
TEN1,TEN1-CDK3,0.9968735
CRYGB,CRYGB,0.9968725
PLPP3,PLPP3,0.996872
ZNF804B,ZNF804B,0.99687046
IMMT,IMMT,0.99687004
DNAJC30,DNAJC30,0.99686575
NYX,NYX,0.996865
SERPINA7,SERPINA7,0.99686205
PLK2,PLK2,0.9968603
INKA1,INKA1,0.9968584
NDUFV3,NDUFV3,0.99685663
HEY2,HEY2,0.9968534
C1QL4,C1QL4,0.9968529
OLFM4,OLFM4,0.996849
SMCO4,SMCO4,0.9968474
NME7,NME7,0.99684715
HSD17B8,HSD17B8,0.9968456
ALYREF,ALYREF,0.99684536
MGAT5,MGAT5,0.9968414
IL18,IL18,0.9968412
CSPG5,CSPG5,0.99683917
CIMIP1,C20orf85,0.9968376
TAB3,TAB3,0.99683666
PSAPL1,PSAPL1,0.996836
AFM,AFM,0.99683017
OR4D9,OR4D9,0.99683017
RBBP5,RBBP5,0.99682343
GRK5,GRK5,0.99682224
SIAE,SIAE,0.9968212
DMXL1,DMXL1,0.9968187
FAM120C,FAM120C,0.9968183
NFILZ,NFILZ,0.9968175
OR6P1,OR6P1,0.99681515
PRPF3,PRPF3,0.9968132
ZNFX1,ZNFX1,0.9968101
C5H4orf51,C4orf51,0.9968081
LRRC53,LRRC53,0.9968063
TECTB,TECTB,0.99680513
OTOA,OTOA,0.99680316
GSDMC,GSDMC,0.9968022
KCNJ5,KCNJ5,0.99680215
IFNA6,IFNA6,0.9967992
RNASE4,RNASE4,0.99679506
OR5D14,OR5D14,0.9967926
GFRAL,GFRAL,0.9967915
GIMAP8,GIMAP8,0.9967901
SLC6A2,SLC6A2,0.99678916
SLC44A1,SLC44A1,0.9967878
STX1B,STX1B,0.99678755
AGTPBP1,AGTPBP1,0.9967859
NCAPG2,NCAPG2,0.9967846
KIF26B,KIF26B,0.9967748
OR2B3,OR2B3,0.99677426
CAPN9,CAPN9,0.99677265
ABCG5,ABCG5,0.9967693
CHST13,CHST13,0.9967654
PDZK1,PDZK1,0.996765
KRTAP29-1,KRTAP29-1,0.9967644
PLEK,PLEK,0.9967631
LONRF3,LONRF3,0.99676305
BCLAF1,BCLAF1,0.996761
MASTL,MASTL,0.996759
RGMB,RGMB,0.9967583
CMTM6,CMTM6,0.9967578
MSH2,MSH2,0.9967532
ATP12A,ATP12A,0.99675053
SYTL3,SYTL3,0.99674916
LEPR,LEPR,0.9967443
ITGB1BP2,ITGB1BP2,0.99674207
POGLUT2,POGLUT2,0.9967412
NRF1,NRF1,0.9967387
PPP1CA,PPP1CA,0.99673754
DSG3,DSG3,0.99673736
AGMAT,AGMAT,0.9967367
RPL32,RPL32,0.99673516
GPR50,GPR50,0.9967298
KRT10,KRT10,0.9967293
AQP8,AQP8,0.9967288
NDUFA8,NDUFA8,0.99672776
SMARCA5,SMARCA5,0.9967268
THSD7A,THSD7A,0.99672675
MYOG,MYOG,0.996726
IFNG,IFNG,0.9967219
HEMGN,HEMGN,0.99672145
TAS2R39,TAS2R39,0.99672085
OR52M1,OR52M1,0.99671936
TBC1D20,TBC1D20,0.99671745
LHFPL5,LHFPL5,0.99671704
SSTR4,SSTR4,0.9967167
RAB25,RAB25,0.9967137
IP6K1,IP6K1,0.9967131
ATOH8,ATOH8,0.99670905
MEGF9,MEGF9,0.9967087
ARID4B,ARID4B,0.9967077
OR5A1,OR5A1,0.9967013
TUBB6,TUBB2B,0.9966992
OR2Y1,OR2Y1,0.99669546
TBX10,TBX10,0.9966946
ACTRT2,ACTRT2,0.996693
COPG2,COPG2,0.99669236
SLC5A4,SLC5A4,0.9966888
ACTL9,ACTL9,0.9966839
FTHL17,FTHL17,0.9966805
ATP8B2,ATP8B2,0.996679
AAR2,AAR2,0.99667436
SPR,SPR,0.99667233
HSPA12B,HSPA12B,0.9966706
NTRK2,NTRK2,0.99667037
RTL6,RTL6,0.99667025
CLDN20,CLDN20,0.9966688
FAM131C,FAM131C,0.99666864
MAP7,MAP7,0.9966678
KRBA2,KRBA2,0.99666727
TRMT112,TRMT112,0.9966669
CTF1,CTF1,0.9966654
EBF1,EBF1,0.9966613
CSKMT,CSKMT,0.9966501
BRWD3,BRWD3,0.9966499
FIGLA,FIGLA,0.99664927
PAX7,PAX7,0.99664783
CBFA2T2,CBFA2T2,0.9966452
CTNNBL1,CTNNBL1,0.996644
TCEAL5,TCEAL5,0.99664205
GPC6,GPC6,0.99664
STIL,STIL,0.99663585
SLC35D3,SLC35D3,0.9966356
CLEC14A,CLEC14A,0.9966301
OTOL1,OTOL1,0.99662745
DCAF12L1,DCAF12L1,0.9966268
MAPK1,MAPK1,0.9966252
DIAPH3,DIAPH3,0.9966234
TBX5,TBX5,0.9966231
AP3S1,AP3S1,0.99662304
SDCBP,SDCBP,0.99662036
PRRG4,PRRG4,0.9966198
LENG1,LENG1,0.9966021
KCTD18,KCTD18,0.99659806
CFAP184,CCDC96,0.99659675
RAB22A,RAB22A,0.9965946
HMX1,HMX1,0.99659413
ABCF2,ABCF2-H2BE1,0.99659395
BHLHE23,BHLHE23,0.9965913
GSG1L2,GSG1L2,0.9965888
MGARP,MGARP,0.9965833
RGN,RGN,0.99658287
BORCS5,BORCS5,0.99657977
RBMXL2,RBMXL2,0.9965794
CDSN,CDSN,0.99657714
CPN2,CPN2,0.9965763
NOP14,NOP14,0.99657345
CACNA1S,CACNA1S,0.99657327
OR9G4,OR9G4,0.9965706
CCK,CCK,0.9965678
GDF1,GDF1,0.9965652
NFIB,NFIB,0.99656516
GJA4,GJA4,0.9965628
GCNT4,GCNT4,0.99656177
PMEPA1,PMEPA1,0.9965615
ACTG1,ACTG1,0.99655795
SERPINB1,SERPINB1,0.9965576
ANKRD16,ANKRD16,0.99655753
EDNRB,EDNRB,0.99655676
EFR3B,EFR3B,0.996556
ZNF575,ZNF575,0.9965554
TIFA,TIFA,0.9965551
PHYHIP,PHYHIP,0.99655384
MAP7D3,MAP7D3,0.9965536
TFB1M,TFB1M,0.9965512
YAP1,YAP1,0.99654955
OR7D2,OR7D2,0.9965485
PLA2G2E,PLA2G2E,0.9965389
NRROS,NRROS,0.99653864
IFNA13,IFNA13,0.99653083
OR6M1,OR6M1,0.99653
ATP1A2,ATP1A2,0.9965289
IZUMO1R,IZUMO1R,0.99652344
BPIFB2,BPIFB2,0.996522
LACTBL1,LACTBL1,0.99651897
FAM47A,FAM47A,0.99651843
MAPK8IP2,MAPK8IP2,0.9965157
SLC22A8,SLC22A8,0.9965137
BTBD6,BTBD6,0.9965113
AADACL4,AADACL4,0.9965092
DIS3,DIS3,0.996508
TJP1,TJP1,0.9965054
NEURL4,NEURL4,0.99650407
OR8B8,OR8B8,0.99650234
MOCS3,MOCS3,0.9965022
MTMR11,MTMR11,0.9965011
BCOR,BCOR,0.9964998
SLC6A1,SLC6A1,0.9964996
MBNL1,MBNL1,0.99649847
PRR3,PRR3,0.99649674
KIAA1671,KIAA1671,0.99649495
TUBA3D,TUBA3C,0.99649346
PTGER3,PTGER3,0.99649113
BCL7A,BCL7A,0.9964898
IRX6,IRX6,0.99648786
AIMP1,AIMP1,0.99648255
SDR9C7,SDR9C7,0.9964798
ADM2,ADM2,0.99647886
SMCO3,SMCO3,0.9964777
KLF9,KLF9,0.9964774
PCDH8,PCDH8,0.99647117
ELMO2,ELMO2,0.9964668
FAM227A,FAM227A,0.9964639
IL13RA2,IL13RA2,0.99645656
PKN3,PKN3,0.99645483
CISH,CISH,0.996453
PRPF6,PRPF6,0.99645245
PRKCQ,PRKCQ,0.9964493
ARHGAP22,ARHGAP22,0.99644506
ART1,ART1,0.9964423
CSE1L,CSE1L,0.99644214
MYOD1,MYOD1,0.99644
SLCO1B3,SLCO1B3-SLCO1B7,0.9964376
EIF1AX,EIF1AX,0.99643695
PARS2,PARS2,0.996433
RBBP8NL,RBBP8NL,0.9964327
MCAM,MCAM,0.9964307
MFAP2,MFAP2,0.9964307
KIF18B,KIF18B,0.9964291
ELOVL3,ELOVL3,0.99642706
OR6C75,OR6C75,0.9964256
TMEM236,TMEM236,0.99642503
REP15,REP15,0.99642324
PTPRG,PTPRG,0.9964231
FILIP1,FILIP1,0.9964159
TTLL8,TTLL8,0.9964129
SH2D2A,SH2D2A,0.9964127
TMT1B,METTL7B,0.99640787
EYA4,EYA4,0.9964044
IL13,IL13,0.9964015
UFL1,UFL1,0.9963966
KIT,KIT,0.9963943
ZNF691,ZNF691,0.99638826
HSF5,HSF5,0.9963871
ZP4,ZP4,0.9963862
TTC16,TTC16,0.9963856
FAM53B,FAM53B,0.9963846
GALNT16,GALNT16,0.9963838
FAM216B,FAM216B,0.9963829
H3-4,H3-4,0.9963791
IL2,IL2,0.99637675
DYNLT4,DYNLT4,0.9963762
CEP170B,CEP170B,0.99637246
SEZ6L,SEZ6L,0.996371
TCEAL7,TCEAL7,0.9963697
ANGPTL7,ANGPTL7,0.99636686
LIPK,LIPK,0.9963634
SLC15A1,SLC15A1,0.99636227
PPP1R3G,PPP1R3G,0.9963611
ZBTB46,ZBTB46,0.9963576
LANCL3,LANCL3,0.99635464
OR4F15,OR4F15,0.9963484
TMEM61,TMEM61,0.99634665
AHCYL1,AHCYL1,0.9963445
GALNT2,GALNT2,0.99634165
SPACA1,SPACA1,0.9963416
NAGA,NAGA,0.9963415
TSPYL6,TSPYL6,0.99634105
VSTM2B,VSTM2B,0.99633956
MED23,MED23,0.9963385
DRD5,DRD5,0.99633414
GDF15,GDF15,0.99633265
IFNW1,IFNW1,0.9963321
PHLDA2,PHLDA2,0.99633026
IKZF3,IKZF3,0.9963301
OR6C74,OR6C74,0.9963297
TMEM11,TMEM11,0.99632543
GAS2L2,GAS2L2,0.99632347
ARNTL2,ARNTL2,0.9963229
TMEM88B,TMEM88B,0.9963205
SETBP1,SETBP1,0.99632025
SLC36A3,SLC36A3,0.99632007
HOXD9,HOXD9,0.99631935
OR5AP2,OR5AP2,0.9963171
CLIC6,CLIC6,0.99631405
ABCC1,ABCC1,0.9963136
CCDC194,CCDC194,0.9963133
JOSD2,JOSD2,0.9963112
STEAP3,STEAP3,0.99630725
DKK4,DKK4,0.99630696
NOX3,NOX3,0.9962999
TMCO4,TMCO4,0.99629974
OR4D1,OR4D1,0.9962966
MATN3,MATN3,0.9962942
PLPPR5,PLPPR5,0.9962941
C1H1orf52,C1orf52,0.9962927
ALDH9A1,ALDH9A1,0.99628925
PDZRN3,PDZRN3,0.99628454
EDDM3B,EDDM3B,0.9962827
DRD4,DRD4,0.9962782
TRIM33,TRIM33,0.9962768
NLRP9,NLRP9,0.99627453
KCNT1,KCNT1,0.9962726
TRABD2B,TRABD2B,0.9962724
RNF6,RNF6,0.99627197
AXL,AXL,0.9962713
KCNK18,KCNK18,0.9962707
SPATA25,SPATA25,0.996267
CMBL,CMBL,0.9962638
ZC3HAV1L,ZC3HAV1L,0.9962638
EPX,EPX,0.99626166
MEIG1,MEIG1,0.9962557
OR51M1,OR51M1,0.996255
CADM2,CADM2,0.9962488
CRNN,CRNN,0.9962468
ETV3L,ETV3L,0.9962453
OR1E1,OR1E1,0.9962437
RAB11FIP5,RAB11FIP5,0.99624205
POF1B,POF1B,0.996241
GPKOW,GPKOW,0.99624
GFI1B,GFI1B,0.99623984
GAREM2,GAREM2,0.996238
LDLRAD2,LDLRAD2,0.9962364
KNG1,KNG1,0.9962363
CAMSAP1,CAMSAP1,0.99623317
PCDHB6,PCDHB6,0.99623066
AGRN,AGRN,0.99622935
TBCC,TBCC,0.99622935
NUDT4,NUDT4B,0.9962289
DNAJC22,DNAJC22,0.9962286
RTP4,RTP4,0.99622154
BMP15,BMP15,0.996219
HPD,HPD,0.9962156
ZSWIM1,ZSWIM1,0.9962147
OR4A47,OR4A47,0.9962109
ZNHIT6,ZNHIT6,0.99620914
TMEM252,TMEM252,0.9962067
OR9G1,OR9G1,0.9962039
RNF223,RNF223,0.9961965
PRR9,PRR9,0.9961946
CLDN3,CLDN3,0.9961792
CUX1,CUX1,0.99617684
OR6Q1,OR6Q1,0.99617606
MAOB,MAOB,0.9961726
MAML2,MAML2,0.9961701
CNTFR,CNTFR,0.99616903
LAX1,LAX1,0.99616486
TRMT2B,TRMT2B,0.9961644
CABS1,CABS1,0.99615914
OR8U1,OR8U1,0.996157
MMP1,MMP1,0.99615145
GP5,GP5,0.9961508
EVI2B,EVI2B,0.9961492
PNLIPRP3,PNLIPRP3,0.99614596
GJA10,GJA10,0.9961442
COX1,MT-CO1,0.99614334
OR52A1,OR52A1,0.9961425
SUPT3H,SUPT3H,0.996142
DPRX,DPRX,0.99614066
C8B,C8B,0.996139
OR5I1,OR5I1,0.9961331
ZNF22,ZNF22,0.9961323
DEGS1,DEGS1,0.99613076
MUL1,MUL1,0.99612945
OMD,OMD,0.9961274
NLRC4,NLRC4,0.99612635
NKX2-1,NKX2-1,0.99612474
WNT16,WNT16,0.9961247
BMT2,BMT2,0.9961236
PCP2,PCP2,0.9961202
DPEP3,DPEP3,0.99611753
PPM1H,PPM1H,0.9961139
PPIC,PPIC,0.9961117
GJB4,GJB4,0.996111
SUSD2,SUSD2,0.99611
ZNF581,ZNF581,0.9961092
TRH,TRH,0.9961069
NLRP8,NLRP8,0.9961066
CPEB3,CPEB3,0.9961015
ZNRF4,ZNRF4,0.9960948
STN1,STN1,0.9960892
TKTL2,TKTL2,0.99608755
ALPK2,ALPK2,0.9960862
CREB3,CREB3,0.996085
ARHGAP12,ARHGAP12,0.9960824
RPS4Y1,RPS4Y1,0.9960787
CHRNG,CHRNG,0.996076
FASTK,FASTK,0.9960725
PIK3R3,PIK3R3,0.99606603
CTSB,CTSB,0.99605924
ASCL3,ASCL3,0.9960516
GAPVD1,GAPVD1,0.99605143
LLPH,LLPH,0.9960512
OR2M4,OR2M4,0.9960461
XK,XK,0.9960448
TENT5D,TENT5D,0.99604446
VENTX,VENTX,0.9960428
FOXR2,FOXR2,0.9960426
ACTRT1,ACTRT1,0.99604243
PIK3CD,PIK3CD,0.99604106
PRSS38,PRSS38,0.99604046
MSANTD1,MSANTD1,0.9960363
C2H3orf84,C3orf84,0.99603415
TNPO3,TNPO3,0.99602956
COQ8A,COQ8A,0.9960258
TMPRSS11B,TMPRSS11B,0.99602115
RAB44,RAB44,0.9960188
NPC1L1,NPC1L1,0.99601775
PRRC1,PRRC1,0.9960131
OR10A7,OR10A7,0.996013
OR5BS1P,OR5BS1P,0.9960125
GPR33,GPR33,0.9960102
CHAC2,CHAC2,0.99600923
SULT2B1,SULT2B1,0.99600923
HSPA4L,HSPA4L,0.9960048
CRTAP,CRTAP,0.99600405
CATSPER3,CATSPER3,0.99599665
RPS5,RPS5,0.9959924
SVEP1,SVEP1,0.99599165
MINDY4B,MINDY4B,0.99599016
BEST4,BEST4,0.99598724
CRYGD,CRYGD,0.9959862
KLHL31,KLHL31,0.99598587
WDR5B,WDR5B,0.9959839
HPDL,HPDL,0.9959777
CRYGA,CRYGA,0.9959712
C15H9orf43,C9orf43,0.9959641
HLTF,HLTF,0.9959638
ZFP57,ZFP57,0.99596256
GTSE1,GTSE1,0.9959585
ZMYND15,ZMYND15,0.9959584
ZIC5,ZIC5,0.9959571
FANCE,FANCE,0.995956
VSIG2,VSIG2,0.99595547
WNT9A,WNT9A,0.9959545
POLR3F,POLR3F,0.9959537
DGKI,DGKI,0.99595195
PFDN6,PFDN6,0.9959498
KAT2B,KAT2B,0.99594873
PSMC4,PSMC4,0.9959476
HDHD3,HDHD3,0.9959475
ATAD5,ATAD5,0.9959441
TCF15,TCF15,0.99594265
UNC5D,UNC5D,0.99594176
FOXQ1,FOXQ1,0.9959414
KLHDC7A,KLHDC7A,0.99594057
FBXO5,FBXO5,0.99593776
SYNE3,SYNE3,0.99593735
KCNV2,KCNV2,0.995929
H3-3A,H3-5,0.99592745
C20H16orf54,C16orf54,0.9959207
C7H15orf62,C15orf62,0.9959187
ACER1,ACER1,0.99591553
OR5H2,OR5H2,0.9959154
CD40LG,CD40LG,0.99591476
CBX6,CBX6,0.9959128
MRPL39,MRPL39,0.9959115
CIMAP1D,ODF3L2,0.99590707
CHRM2,CHRM2,0.99590695
PRR7,PRR7,0.9959068
ZIM3,ZIM3,0.9959052
APP,APP,0.9959038
LYPLA2,LYPLA2,0.99590296
CCL21,CCL21,0.99589586
STK40,STK40,0.9958958
RBM42,RBM42,0.9958924
FN3K,FN3K,0.99588686
TAS2R46,TAS2R43,0.99588615
HDGF,HDGF,0.9958857
USH1C,USH1C,0.9958842
C1H1orf115,C1orf115,0.9958831
CAPZA1,CAPZA1,0.9958823
AKT1,AKT1,0.9958821
SPTY2D1,SPTY2D1,0.9958814
MAPKAPK2,MAPKAPK2,0.9958804
MARCKS,MARCKS,0.9958774
CYBB,CYBB,0.99587685
LRRC3C,LRRC3C,0.9958733
GJA8,GJA8,0.99587095
ZSCAN22,ZSCAN22,0.9958669
ZNF837,ZNF837,0.9958653
SCG5,SCG5,0.9958631
PTPRU,PTPRU,0.9958615
UPK1A,UPK1A,0.99586093
SCAND1,SCAND1,0.9958602
RNF186,RNF186,0.99585575
GFY,GFY,0.9958545
TAS2R3,TAS2R3,0.9958538
CFD,CFD,0.99584997
BEND4,BEND4,0.9958489
AURKAIP1,AURKAIP1,0.99584675
TOE1,TOE1,0.995845
TMEM92,TMEM92,0.9958374
JSRP1,JSRP1,0.99583334
S100A5,S100A5,0.99582857
OR6C2,OR6C2,0.9958283
TENM2,TENM2,0.99582714
IL21,IL21,0.9958266
KCNMA1,KCNMA1,0.9958252
NELFCD,NELFCD,0.9958211
TEX47,TEX47,0.99581623
HSPB3,HSPB3,0.9958134
DIPK1B,DIPK1B,0.9958116
KRT34,KRT34,0.9958101
MYLK2,MYLK2,0.9958068
LRIG1,LRIG1,0.9958057
TAS2R9,TAS2R9,0.9958026
BDNF,BDNF,0.9957989
FOXC2,FOXC2,0.9957948
IGSF22,IGSF22,0.99579465
MRC1,MRC1,0.99579316
PAK3,PAK3,0.995793
ZNF281,ZNF281,0.99579144
SLC25A52,SLC25A52,0.99579096
SLX4,SLX4,0.99579054
EBNA1BP2,EBNA1BP2,0.9957882
OR4F6,OR4F6,0.99578696
EYA3,EYA3,0.9957858
NKIRAS1,NKIRAS1,0.9957857
EPHB2,EPHB2,0.99578196
HSPA4,HSPA4,0.9957787
OR10G7,OR10G7,0.9957773
TCN2,TCN2,0.9957733
OR51A4,OR51A2,0.99577314
MAGED2,MAGED2,0.9957666
PABPC3,PABPC3,0.99576616
IGSF8,IGSF8,0.995765
KLHL33,KLHL33,0.99576426
OR2H2,OR2H2,0.99576247
CUL4A,CUL4A,0.9957597
RGS18,RGS18,0.995759
MCCD1,MCCD1,0.9957572
MRPL14,MRPL14,0.99575675
GABPB2,GABPB2,0.9957536
OR9I1,OR9I1,0.9957523
OR2B11,OR2B11,0.99575037
GEMIN7,GEMIN7,0.99575025
TTC4,TTC4,0.9957501
OR6N1,OR6N1,0.9957499
NRBF2,NRBF2,0.99574864
OGDH,OGDH,0.9957464
EEFSEC,EEFSEC,0.9957442
ELOVL4,ELOVL4,0.9957415
FN1,FN1,0.99574107
STKLD1,STKLD1,0.9957401
ACVR1C,ACVR1C,0.99573565
LY6H,LY6H,0.9957346
C17orf114,C17orf114,0.995731
NCL,NCL,0.9957304
COL1A2,COL1A2,0.9957286
OR2L5,OR2L5,0.9957279
GJC3,GJC3,0.995726
SLAMF1,SLAMF1,0.9957161
TPMT,TPMT,0.99571365
COX15,COX15,0.9957114
PKD1L3,PKD1L3,0.99571025
MRPL18,MRPL18,0.99569637
CXCR3,CXCR3,0.9956962
OR6K3,OR6K3,0.9956913
ADD3,ADD3,0.995689
ITIH4,ITIH4,0.99568796
KIAA1958,KIAA1958,0.99568665
HMGB2,HMGB2,0.99568236
TMEM255A,TMEM255A,0.9956814
LAMP2,LAMP2,0.9956798
RNF24,RNF24,0.99567884
CACNA1C,CACNA1C,0.9956742
SPACA9,SPACA9,0.9956725
PACC1,PACC1,0.99567217
OR5B21,OR5B21,0.99567074
S100A11,S100A11,0.9956667
LIPC,LIPC,0.99566525
MYH13,MYH13,0.9956613
ANKRD13C,ANKRD13C,0.99566114
DIP2A,DIP2A,0.99565494
SRPX,SRPX,0.9956537
SLC22A4,SLC22A4,0.9956524
SOX15,SOX15,0.9956509
DEFB116,DEFB116,0.9956473
RPAP3,RPAP3,0.9956453
GEMIN8,GEMIN8,0.99564475
UHMK1,UHMK1,0.9956428
GPR161,GPR161,0.9956422
ROPN1L,ROPN1L,0.9956364
TAS2R50,TAS2R50,0.995636
DGAT2L6,DGAT2L6,0.9956315
ARHGAP36,ARHGAP36,0.99562734
SLC37A4,SLC37A4,0.9956273
ZYG11B,ZYG11B,0.9956155
TM4SF18,TM4SF18,0.9956137
MAP3K5,MAP3K5,0.9956129
TTC34,TTC34,0.99561185
USP18,USP18,0.9956101
PIGR,PIGR,0.9956063
MMP13,MMP13,0.9956032
OR13C9,OR13C9,0.9955999
TAS2R4,TAS2R4,0.99559516
LRRC58,LRRC58,0.99559486
LIN28B,LIN28B,0.9955925
CMPK2,CMPK2,0.99559224
OR5V1,OR5V1,0.9955897
OR10A4,OR10A4,0.99557865
VPS36,VPS36,0.9955785
CBLN4,CBLN4,0.9955746
FGFBP2,FGFBP2,0.9955725
TAS1R3,TAS1R3,0.995571
DCX,DCX,0.9955657
MTX3,MTX3,0.99556166
OR4Q3,OR4Q3,0.99556017
BACE1,BACE1,0.9955593
PLXDC2,PLXDC2,0.9955572
IFNB1,IFNB1,0.9955567
CYP3A7,CYP3A7,0.9955518
OR2K2,OR2K2,0.9955499
NUFIP1,NUFIP1,0.99553716
NOC2L,NOC2L,0.9955324
ATP6V1C1,ATP6V1C1,0.9955265
