crab_eating_macaque gene name,rhesus_macaque gene name,correlation
ATP5F1C,ATP5F1C,0.99960285
ZNF707,ZNF707,0.99960285
C9orf43,C15H9orf43,0.9996028
ERLEC1,ERLEC1,0.99960256
EIF4EBP1,EIF4EBP1,0.99960244
OR2C3,OR2C3,0.9996023
ACER1,ACER1,0.99960226
BEST1,BEST1,0.99960214
MON2,MON2,0.99960166
DSTYK,DSTYK,0.9996012
PRRC2B,PRRC2B,0.9996007
ZSWIM8,ZSWIM8,0.99960065
RASL11B,RASL11B,0.9995994
MDN1,MDN1,0.9995985
SYCP1,SYCP1,0.9995977
LRRC47,LRRC47,0.99959767
SCN11A,SCN11A,0.99959695
THAP5,THAP5,0.9995961
NCOA1,NCOA1,0.99959594
TMEM26,TMEM26,0.9995956
ART3,ART3,0.9995954
ASPRV1,ASPRV1,0.9995954
RP9,RP9,0.99959457
SUV39H2,SUV39H2,0.9995943
KLK2,KLK2,0.9995936
FNDC3A,FNDC3A,0.9995932
TTC7B,TTC7B,0.9995932
EIF4A3,EIF4A3,0.9995931
PPFIA1,PPFIA1,0.999593
FNDC3B,FNDC3B,0.9995925
OR4D6,OR4D6,0.99959123
C2orf42,C13H2orf42,0.9995911
KIAA0586,KIAA0586,0.99958956
SULF2,SULF2,0.9995891
IL18,IL18,0.9995889
CREBRF,CREBRF,0.9995886
HHIP,HHIP,0.9995886
WDR35,WDR35,0.99958825
TGM3,TGM3,0.9995882
PLEKHH1,PLEKHH1,0.9995881
PHF8,PHF8,0.999588
SMTNL2,SMTNL2,0.99958795
ZNF790,ZNF790,0.9995878
KANSL3,KANSL3,0.99958736
FAM163B,FAM163B,0.9995873
KRT75,KRT75,0.9995873
IL36RN,IL36RN,0.99958694
H2AC7,H2AC11,0.99958664
ACVR2B,ACVR2B,0.99958616
ESRRB,ESRRB,0.99958575
FMR1NB,FMR1NB,0.99958575
AGPAT1,AGPAT1,0.9995853
ATP1B1,ATP1B1,0.9995852
KCNK10,KCNK10,0.9995852
ACAP2,ACAP2,0.9995834
LRIG1,LRIG1,0.9995833
EIF1AD,EIF1AD,0.99958307
LIPF,LIPF,0.9995822
DSCAM,DSCAM,0.9995819
RDH12,RDH12,0.9995815
HSD17B8,HSD17B8,0.9995809
PPARGC1B,PPARGC1B,0.9995809
OR8I2,OR8I2,0.9995803
POU2F1,POU2F1,0.99958026
ARHGAP11A,ARHGAP11A,0.9995802
OR8B8,OR8B8,0.9995802
RTCA,RTCA,0.9995801
ARHGAP42,ARHGAP42,0.99958
CPN2,CPN2,0.9995792
ACTRT1,ACTRT1,0.99957895
OR1E2,OR1E2,0.9995785
PPBP,PPBP,0.99957776
TAS2R9,TAS2R9,0.9995775
AKAP9,AKAP9,0.9995768
VWA5A,VWA5A,0.99957633
MYO5C,MYO5C,0.99957603
IQCA1,IQCA1,0.9995754
KCNJ13,KCNJ13,0.99957526
CEP152,CEP152,0.9995752
ATL1,ATL1,0.99957484
AVPR1B,AVPR1B,0.9995747
ANKRD7,ANKRD7,0.99957466
BCAR3,BCAR3,0.999574
DHX36,DHX36,0.99957395
MTRR,MTRR,0.99957347
KIF23,KIF23,0.99957335
SLC10A2,SLC10A2,0.99957263
CNTN4,CNTN4,0.9995725
COBLL1,COBLL1,0.99957246
CCS,CCS,0.99957216
DDR2,DDR2,0.9995721
TRIP12,TRIP12,0.99957204
CYLD,CYLD,0.9995709
HSD11B2,HSD11B2,0.99956983
STK10,STK10,0.99956965
MBL2,MBL2,0.99956834
RBM28,RBM28,0.99956816
DPRX,DPRX,0.99956745
DPP10,DPP10,0.99956733
CCDC106,CCDC106,0.9995671
MYOCD,MYOCD,0.9995666
ZNF501,ZNF501,0.99956626
PDK1,PDK1,0.9995657
PIP4P1,PIP4P1,0.9995657
KCNC4,KCNC4,0.999565
EDIL3,EDIL3,0.99956477
SPACA4,SPACA4,0.99956477
SUN2,SUN2,0.99956465
ARRDC3,ARRDC3,0.99956435
ZBTB4,ZBTB4,0.99956304
IFIT3,IFIT3,0.9995629
RBKS,RBKS,0.9995625
KAT5,KAT5,0.9995618
ZBTB34,ZBTB34,0.99956065
FASTKD2,FASTKD2,0.9995602
DYNC1I2,DYNC1I2,0.99956
MORF4L2,MORF4L2,0.99955994
DPEP3,DPEP3,0.9995598
PHLDB2,PHLDB2,0.9995597
ZP4,ZP4,0.9995594
OR4E1,OR4E1,0.9995586
MMRN1,MMRN1,0.99955815
CA2,CA2,0.9995581
COL8A1,COL8A1,0.9995579
PITPNB,PITPNB,0.99955785
ABCA13,ABCA13,0.9995569
ITLN1,ITLN1,0.99955565
GPD1,GPD1,0.999555
PATL1,PATL1,0.999554
PNPLA4,PNPLA4,0.99955314
MRM3,MRM3,0.99955255
ZNRF4,ZNRF4,0.9995523
IKZF4,IKZF4,0.99955213
E2F8,E2F8,0.999552
TPST1,TPST1,0.99955165
SPATS2,SPATS2,0.9995516
PALS2,PALS2,0.9995512
KIFAP3,KIFAP3,0.9995511
SSC4D,SSC4D,0.999551
CLASP1,CLASP1,0.99955064
ZNF41,ZNF41,0.9995499
PDIA6,PDIA6,0.9995497
ZNF184,ZNF184,0.9995496
PARD3,PARD3,0.99954945
KRTAP24-1,KRTAP24-1,0.9995494
ITSN2,ITSN2,0.99954927
CACNB3,CACNB3,0.9995484
SMC1A,SMC1A,0.9995479
C20orf203,C10H20orf203,0.99954706
ARHGEF12,ARHGEF12,0.9995469
PIERCE2,PIERCE2,0.9995468
APP,APP,0.99954605
DCSTAMP,DCSTAMP,0.9995458
EQTN,EQTN,0.9995454
ACTBL2,ACTBL2,0.9995451
LYG1,LYG1,0.9995446
MIER3,MIER3,0.99954325
CCDC38,CCDC38,0.9995432
TMX4,TMX4,0.999542
FBXO2,FBXO2,0.9995419
C19orf85,C19orf85,0.99954176
EME2,EME2,0.99954146
RAMP3,RAMP3,0.9995406
LACTB,LACTB,0.9995405
SPRYD4,SPRYD4,0.9995404
AANAT,AANAT,0.9995398
ZMYM2,ZMYM2,0.9995387
USP38,USP38,0.99953794
DSG2,DSG2,0.9995378
MCM2,MCM2,0.9995377
OR2W1,OR2W1,0.99953735
ZNF114,ZNF114,0.9995372
NDUFAF6,NDUFAF6,0.99953663
KRT40,KRT40,0.9995364
MC1R,MC1R,0.9995362
RAB40AL,RAB40AL,0.99953574
FGFBP1,FGFBP1,0.9995354
CXCL5,CXCL5,0.9995353
ATG4C,ATG4C,0.9995351
MGME1,MGME1,0.99953496
FAM241A,FAM241A,0.9995347
ATP6V0A1,ATP6V0A1,0.99953437
TDRD10,TDRD10,0.9995342
NDUFV3,NDUFV3,0.9995341
POLR3D,POLR3D,0.9995341
OR5BS1P,OR5BS1P,0.99953187
TES,TES,0.99953073
TFDP3,TFDP3,0.99953055
ELFN2,ELFN2,0.99953043
ENPP2,ENPP2,0.9995304
HSD3B1,HSD3B1,0.9995296
TCOF1,TCOF1,0.999529
CFAP100,CFAP100,0.99952865
SPPL2C,SPPL2C,0.9995282
FSCN3,FSCN3,0.99952817
GRIA1,GRIA1,0.9995279
XKR8,XKR8,0.9995277
MVP,MVP,0.99952745
RNASE4,RNASE4,0.99952686
MAGEB6B,MAGEB6B,0.9995258
HDDC3,HDDC3,0.9995257
ABCB9,ABCB9,0.99952555
NOS1,NOS1,0.99952555
DENND4C,DENND4C,0.9995253
BCL9L,BCL9L,0.99952495
MAN2A1,MAN2A1,0.99952435
OR13C9,OR13C9,0.9995241
WT1,WT1,0.9995234
LDOC1,LDOC1,0.99952245
LVRN,LVRN,0.9995224
MTA2,MTA2,0.9995222
ITIH2,ITIH2,0.9995212
HSPB3,HSPB3,0.9995207
ACRBP,ACRBP,0.99952054
AKAP8,AKAP8,0.9995199
SPTA1,SPTA1,0.9995194
ITGA8,ITGA8,0.99951893
LPIN1,LPIN1,0.9995186
SLK,SLK,0.9995186
ZNF428,ZNF428,0.9995184
VSTM2A,VSTM2A,0.9995166
TM9SF3,TM9SF3,0.99951637
IL18RAP,IL18RAP,0.99951607
CLEC16A,CLEC16A,0.999516
APIP,APIP,0.99951565
PCSK7,PCSK7,0.99951476
NME7,NME7,0.99951446
ITFG2,ITFG2,0.9995141
HNRNPA3,HNRNPA3,0.999514
NIN,NIN,0.99951357
AP2M1,AP2M1,0.99951315
TSPYL6,TSPYL6,0.99951315
FBXL20,FBXL20,0.9995124
SLMAP,SLMAP,0.9995121
FUCA2,FUCA2,0.9995117
ADCY9,ADCY9,0.99951154
CRBN,CRBN,0.9995114
ZNF32,ZNF32,0.9995114
OR1C1,OR1C1,0.999511
B4GALNT3,B4GALNT3,0.9995107
TAF4B,TAF4B,0.9995105
SLC12A7,SLC12A7,0.99951017
TRMT10A,TRMT10A,0.9995101
TMEM185B,TMEM185B,0.99951005
LIPJ,LIPJ,0.9995094
PCM1,PCM1,0.99950796
TNP2,TNP2,0.9995079
RIC8B,RIC8B,0.9995078
ORC2,ORC2,0.9995077
EDARADD,EDARADD,0.9995075
EN2,EN2,0.9995072
STAM2,STAM2,0.99950653
KCNJ2,KCNJ2,0.9995064
NPC1,NPC1,0.99950635
PLA2G4D,PLA2G4D,0.99950594
SGSM2,SGSM2,0.99950564
RNF180,RNF180,0.99950486
TAS2R13,TAS2R13,0.99950445
STAG3,STAG3,0.999504
BABAM1,BABAM1,0.9995036
CUL9,CUL9,0.99950343
PLCH1,PLCH1,0.9995021
INPP4A,INPP4A,0.9995019
FPR3,FPR3,0.99950117
UBD,UBD,0.99950105
CEP350,CEP350,0.999501
PYGO1,PYGO1,0.999501
CIMIP2A,CIMIP2A,0.9995
RETREG1,RETREG1,0.9994993
SLC9B1,SLC9B1,0.9994987
NAV2,NAV2,0.99949867
IGLV4-3,IGLV4-3,0.99949706
FRG1,FRG1,0.9994963
MTIF3,MTIF3,0.99949616
ATP6V1C1,ATP6V1C1,0.999496
FAM234A,FAM234A,0.99949586
SLC35F5,SLC35F5,0.9994953
ANKAR,ANKAR,0.9994952
SRARP,SRARP,0.999495
PGBD1,PGBD1,0.9994949
H2BC18,H2BC18,0.9994941
NR0B1,NR0B1,0.99949396
C19orf33,C19orf33,0.9994937
BMPR2,BMPR2,0.99949354
HOXA7,HOXA7,0.9994934
RSPH14,RSPH14,0.99949265
HPS5,HPS5,0.9994919
PPME1,PPME1,0.99949163
KLC1,KLC1,0.9994913
SPCS1,SPCS1,0.99949104
RIPOR1,RIPOR1,0.99949056
IPO9,IPO9,0.99949044
FCER1A,FCER1A,0.9994904
KLHL13,KLHL13,0.9994902
TM4SF20,TM4SF20,0.99948955
FAM234B,FAM234B,0.99948883
TTC28,TTC28,0.999488
BAD,BAD,0.9994879
CPXM1,CPXM1,0.99948734
IDH3B,IDH3B,0.9994873
OVOL2,OVOL2,0.999487
ZFYVE26,ZFYVE26,0.99948454
KEAP1,KEAP1,0.9994838
EDC3,EDC3,0.99948376
SI,SI,0.9994836
MCC,MCC,0.9994832
HOXB9,HOXB9,0.99948233
MS4A10,MS4A10,0.99948174
UBE2Z,UBE2Z,0.99948144
CUZD1,CUZD1,0.99948126
BAAT,BAAT,0.9994799
EXOC1,EXOC1,0.9994798
ZFX,ZFX,0.9994798
PNOC,PNOC,0.9994783
FOXI2,FOXI2,0.99947774
AGBL1,AGBL1,0.9994775
ECD,ECD,0.9994774
SYT9,SYT9,0.9994772
LIPK,LIPK,0.99947685
XPR1,XPR1,0.9994766
NIBAN2,NIBAN2,0.9994765
TRBV27,TRBV27,0.9994765
PELI2,PELI2,0.9994761
C1orf232,C1H1orf232,0.99947596
MALSU1,MALSU1,0.9994749
OR52M1,OR52M1,0.9994749
USP4,USP4,0.99947476
SIAH2,SIAH2,0.99947464
TMEM71,TMEM71,0.99947464
TMEM245,TMEM245,0.9994746
CADM3,CADM3,0.9994741
OR6K6,OR6K6,0.999474
FAM120B,FAM120B,0.99947196
ANO6,ANO6,0.9994717
SLC26A7,SLC26A7,0.99947125
NIPBL,NIPBL,0.9994703
MYC,MYC,0.99947006
FAM83F,FAM83F,0.99946946
HECTD4,HECTD4,0.9994679
C16orf46,C20H16orf46,0.99946785
DENND5A,DENND5A,0.9994677
BMP15,BMP15,0.99946743
TNRC6A,TNRC6A,0.9994673
ZNF432,ZNF432,0.9994671
ACTA2,ACTG2,0.9994669
EPG5,EPG5,0.9994666
SEC16A,SEC16A,0.99946654
RAPGEF1,RAPGEF1,0.9994665
KLHL3,KLHL3,0.99946624
LRFN5,LRFN5,0.9994662
ZNF251,ZNF251,0.9994662
ACOT8,ACOT8,0.99946606
ZNF782,ZNF782,0.999466
ZGPAT,ZGPAT,0.9994652
SPP2,SPP2,0.9994647
RRAD,RRAD,0.9994625
SIN3A,SIN3A,0.99946105
MMP10,MMP10,0.9994586
UBA7,UBA7,0.999458
PBX4,PBX4,0.9994576
ZNF214,ZNF214,0.99945736
ROR1,ROR1,0.999457
SLC36A4,SLC36A4,0.99945635
NR3C1,NR3C1,0.9994561
SREK1IP1,SREK1IP1,0.99945587
IFI27L2,IFI27L2,0.9994553
NOL3,NOL3,0.99945474
CLCN3,CLCN3,0.9994541
ARNT,ARNT,0.9994537
IPMK,IPMK,0.999452
NLRP4,NLRP4,0.99945194
CANX,CANX,0.9994508
GAB2,GAB2,0.99944973
ZIM3,ZIM3,0.9994493
LNP1,LNP1,0.9994485
ZNF576,ZNF576,0.99944836
LRRK2,LRRK2,0.9994483
RAB42,RAB42,0.99944776
KRT34,KRT34,0.9994477
SLC30A3,SLC30A3,0.99944735
HES5,HES5,0.9994468
GAS2L2,GAS2L2,0.9994458
ANXA5,ANXA5,0.9994455
CIST1,CIST1,0.9994452
SLC2A2,SLC2A2,0.9994439
TMPRSS11A,TMPRSS11A,0.99944377
VSTM5,VSTM5,0.99944305
GIP,GIP,0.99944264
PAF1,PAF1,0.9994425
FGR,FGR,0.9994423
HOXA11,HOXA11,0.99944204
ZBTB7B,ZBTB7B,0.99944156
POU6F2,POU6F2,0.9994415
GAR1,GAR1,0.9994412
NUTM1,NUTM1,0.99944085
CDK5RAP2,CDK5RAP2,0.99944067
ST7,ST7,0.99944055
RUNX1T1,RUNX1T1,0.9994391
SDS,SDS,0.9994387
SLFN14,SLFN14,0.9994379
KRT79,KRT79,0.999437
GCDH,GCDH,0.99943626
CES1,CES1,0.999436
ATL2,ATL2,0.9994359
NXF1,NXF1,0.9994355
KL,KL,0.9994336
OR5K2,OR5K2,0.99943316
PDP1,PDP1,0.9994325
TSR3,TSR3,0.99943244
LIN54,LIN54,0.9994323
RSRP1,RSRP1,0.9994317
RTP2,RTP2,0.9994316
SLC25A38,SLC25A38,0.9994316
RASGRF1,RASGRF1,0.99943143
NKIRAS1,NKIRAS1,0.9994312
RASSF9,RASSF9,0.9994311
CD163,CD163,0.9994308
ATAD2B,ATAD2B,0.99943054
NMRK1,NMRK1,0.99943024
IK,IK,0.99943
FGF10,FGF10,0.9994296
KPNA6,KPNA6,0.99942946
MISP,MISP,0.99942875
OR6C74,OR6C74,0.99942833
DQX1,DQX1,0.9994283
CHMP7,CHMP7,0.99942803
GFRA2,GFRA2,0.99942744
FBXW11,FBXW11,0.9994271
TMEFF2,TMEFF2,0.9994256
FKBP7,FKBP7,0.9994255
AHI1,AHI1,0.9994244
OR6K3,OR6K3,0.9994244
KCNC1,KCNC1,0.99942416
ANKFY1,ANKFY1,0.9994234
STKLD1,STKLD1,0.9994233
OR10Q1,OR10Q1,0.99942315
PTK7,PTK7,0.99942285
FBLL1,FBLL1,0.99942225
PPIC,PPIC,0.99942225
TGM2,TGM2,0.99942225
TEX44,TEX44,0.999422
THAP11,THAP11,0.999422
PTRH2,PTRH2,0.9994213
WDHD1,WDHD1,0.9994202
TEF,TEF,0.9994191
RELT,RELT,0.9994177
RBBP8NL,RBBP8NL,0.9994168
DCC,DCC,0.9994163
DRP2,DRP2,0.99941593
FBXL2,FBXL2,0.99941534
ZNF326,ZNF326,0.9994151
MTTP,MTTP,0.9994145
MPZL2,MPZL2,0.99941385
ASTE1,ASTE1,0.99941295
CBX3,CBX3,0.9994115
ATP9B,ATP9B,0.9994113
ZNF831,ZNF831,0.9994109
WDR47,WDR47,0.99941057
USP13,USP13,0.9994098
OR4K17,OR4K17,0.99940795
ATAD2,ATAD2,0.9994072
OR13C3,OR13C3,0.9994068
OR4K5,OR4K5,0.9994054
CCDC91,CCDC91,0.99940467
IPP,IPP,0.9994042
MED28,MED28,0.9994042
PERP,PERP,0.99940413
TCF4,TCF4,0.99940413
IPO11,IPO11,0.99940366
SPINT3,SPINT3,0.99940264
NCKAP1L,NCKAP1L,0.9994024
EFR3B,EFR3B,0.9994022
OR8D1,OR8D1,0.9994022
MYADM,MYADM,0.9994021
ANXA1,ANXA1,0.99940205
DAPL1,DAPL1,0.99940026
DOP1A,DOP1A,0.9993986
EID2,EID2,0.9993983
COX4I2,COX4I2,0.99939734
ETF1,ETF1,0.99939686
C3AR1,C3AR1,0.99939674
TP53RK,TP53RK,0.99939674
ZNF70,ZNF70,0.9993963
CCPG1,CCPG1,0.9993958
PEX2,PEX2,0.99939555
CRIM1,CRIM1,0.999395
GCFC2,GCFC2,0.9993946
RAP1GDS1,RAP1GDS1,0.9993945
LRP2,LRP2,0.9993941
ACOD1,ACOD1,0.99939346
BNC1,BNC1,0.9993932
PLEKHA6,PLEKHA6,0.99939257
CLDN20,CLDN20,0.99939245
ZZZ3,ZZZ3,0.9993923
NR4A1,NR4A1,0.9993922
OR2AT4,OR2AT4,0.99939185
GBP7,GBP7,0.9993918
STK39,STK39,0.99939144
CENPQ,CENPQ,0.9993912
STOX2,STOX2,0.99939114
OR7A17,OR7A17,0.9993904
SLPI,SLPI,0.9993898
MFSD9,MFSD9,0.9993895
XPOT,XPOT,0.99938947
CDH2,CDH2,0.99938923
ATE1,ATE1,0.99938875
MRGPRX1,MRGPRX1,0.99938846
SLC15A4,SLC15A4,0.9993875
TREM1,TREM1,0.99938715
HIRA,HIRA,0.999387
SLC35E1,SLC35E1,0.9993864
TMTC1,TMTC1,0.9993864
APLF,APLF,0.99938637
HR,HR,0.99938625
OR6X1,OR6X1,0.999386
DEFB116,DEFB116,0.999385
ADRA1A,ADRA1A,0.9993847
TTC16,TTC16,0.999384
OR52N5,OR52N5,0.99938375
APOBEC4,APOBEC4,0.99938303
ANKRD39,ANKRD39,0.99938273
CATSPERZ,CATSPERZ,0.9993826
FOXJ2,FOXJ2,0.99938256
RAPGEF2,RAPGEF2,0.9993819
PSMD1,PSMD1,0.99938184
KRT36,KRT36,0.9993817
FAM124B,FAM124B,0.99938154
PTPRA,PTPRA,0.99938077
SORCS3,SORCS3,0.99938077
UBLCP1,UBLCP1,0.99938047
UACA,UACA,0.9993801
GRIPAP1,GRIPAP1,0.99937963
ZBTB49,ZBTB49,0.9993796
SSRP1,SSRP1,0.99937844
TRMT5,TRMT5,0.9993784
PRR15L,PRR15L,0.9993783
HSPB7,HSPB7,0.9993781
TMEM161B,TMEM161B,0.9993775
RPS6KA1,RPS6KA1,0.9993772
CD300C,CD300C,0.9993771
ABHD8,ABHD8,0.999376
MRGPRX4,MRGPRX4,0.999376
USP20,USP20,0.99937576
MUC20,MUC20,0.9993752
CCDC102B,CCDC102B,0.99937505
VSIG2,VSIG2,0.99937505
STOML3,STOML3,0.9993742
FUBP1,FUBP1,0.999374
PIEZO2,PIEZO2,0.99937385
ARHGDIB,ARHGDIB,0.9993736
BNIP5,BNIP5,0.9993728
EXOC3L1,EXOC3L1,0.9993727
REELD1,REELD1,0.999372
RBBP9,RBBP9,0.9993717
TRAFD1,TRAFD1,0.9993705
PYURF,PIGY,0.99937016
MGAM,MGAM,0.99936986
HACD4,HACD4,0.9993698
NAE1,NAE1,0.99936765
CCDC196,CCDC196,0.99936724
ELAVL3,ELAVL3,0.9993664
KLF10,KLF10,0.999366
CARD14,CARD14,0.9993654
NKG7,NKG7,0.99936527
KIF5B,KIF5B,0.99936515
NAA16,NAA16,0.9993647
SLC27A2,SLC27A2,0.9993637
THBS2,THBS2,0.999363
DNAAF11,DNAAF11,0.9993617
RBBP4,RBBP4,0.9993613
ADAM22,ADAM22,0.9993611
NLRP13,NLRP13,0.9993611
GBA1,GBA1,0.99936
OR2H2,OR2H2,0.99935955
TMC4,TMC4,0.9993581
ZNF618,ZNF618,0.999358
ATP6V1C2,ATP6V1C2,0.9993566
IQCN,IQCN,0.9993565
COL6A3,COL6A3,0.99935645
FCGR1A,FCGR1A,0.99935603
GJC3,GJC3,0.999356
SMC1B,SMC1B,0.99935573
OR4D11,OR4D11,0.999355
SLC41A2,SLC41A2,0.99935466
GIT2,GIT2,0.99935424
AIFM2,AIFM2,0.9993535
OSBPL7,OSBPL7,0.9993531
CDAN1,CDAN1,0.999353
NRDC,NRDC,0.99935246
EFEMP1,EFEMP1,0.99935114
PCBP3,PCBP3,0.999351
SEZ6L2,SEZ6L2,0.9993508
MAPRE3,MAPRE3,0.9993496
WDR44,WDR44,0.9993496
FKBP15,FKBP15,0.9993495
SPACA6,SPACA6,0.99934924
C2orf50,C13H2orf50,0.9993482
RERG,RERG,0.99934787
DPEP2,DPEP2,0.9993473
FAM81A,FAM81A,0.99934727
UTP14C,UTP14C,0.99934715
MAGI1,MAGI1,0.99934703
PIRT,PIRT,0.99934685
MLC1,MLC1,0.9993468
FIGLA,FIGLA,0.99934584
SEMA5A,SEMA5A,0.9993455
RASSF7,RASSF7,0.9993454
AMBN,AMBN,0.99934536
TRAV1-1,TRAV1-1,0.9993448
GATD1,GATD1,0.9993446
PLAAT1,PLAAT1,0.9993443
MCTS1,MCTS1,0.999344
PINLYP,PINLYP,0.99934393
ITGAX,ITGAX,0.9993439
ARHGAP36,ARHGAP36,0.999343
SEMA3F,SEMA3F,0.9993426
ZFPM2,ZFPM2,0.99934256
SLC39A8,SLC39A8,0.99934053
CRYGB,CRYGB,0.9993403
PEMT,PEMT,0.9993403
USP30,USP30,0.99934
RPAP1,RPAP1,0.9993385
GRIA3,GRIA3,0.9993384
XRN2,XRN2,0.9993384
OPTN,OPTN,0.9993381
UFL1,UFL1,0.99933803
TBX4,TBX4,0.99933755
MAN1A2,MAN1A2,0.9993366
STIL,STIL,0.99933654
MCUB,MCUB,0.9993363
PIWIL2,PIWIL2,0.99933565
APOL6,APOL6,0.9993355
PSMG3,PSMG3,0.9993351
SCARA3,SCARA3,0.9993349
RNF186,RNF186,0.99933475
FASTKD5,FASTKD5,0.9993345
MED21,MED21,0.9993342
CPQ,CPQ,0.99933314
WBP4,WBP4,0.99933165
SYNJ1,SYNJ1,0.9993311
GOLGA3,GOLGA3,0.99933016
NCKAP5,NCKAP5,0.9993292
KCTD6,KCTD6,0.99932915
METTL8,METTL8,0.99932855
SUPT6H,SUPT6H,0.99932826
ZFP28,ZFP28,0.99932766
GKAP1,GKAP1,0.99932724
CNTROB,CNTROB,0.99932694
ABI2,ABI2,0.99932545
LIMS2,LIMS2,0.9993246
WDR89,WDR89,0.99932456
SPATA25,SPATA25,0.9993245
PRLH,PRLH,0.99932426
CRACR2B,CRACR2B,0.9993241
MAIP1,MAIP1,0.9993231
MYO1B,MYO1B,0.9993226
PI3,PI3,0.9993223
ATP1A1,ATP1A1,0.9993216
DHX58,DHX58,0.9993204
SERPINA1,SERPINA1,0.9993202
PGBD2,PGBD2,0.9993201
SETD7,SETD7,0.99932003
NGEF,NGEF,0.99931955
CDCA2,CDCA2,0.9993195
NCOA2,NCOA2,0.99931943
PATE3,PATE3,0.9993178
CCT2,CCT2,0.99931765
HMOX2,HMOX2,0.9993169
OR13C8,OR13C8,0.99931663
MOG,MOG,0.9993162
LHFPL2,LHFPL2,0.9993152
DLGAP1,DLGAP1,0.9993149
NCOA4,NCOA4,0.9993149
DDX53,DDX53,0.9993146
SYT2,SYT2,0.99931437
OR5W2,OR5W2,0.9993143
GPC4,GPC4,0.99931395
THSD7B,THSD7B,0.9993139
KIAA1755,KIAA1755,0.9993132
C20orf173,C20orf173,0.99931234
AHCTF1,AHCTF1,0.9993122
CALHM1,CALHM1,0.99931216
OSTM1,OSTM1,0.999312
CKAP5,CKAP5,0.9993105
FAM120A,FAM120A,0.9993103
CORO1A,CORO1A,0.99930984
FHIT,FHIT,0.99930984
GINS2,GINS2,0.99930936
ARHGEF9,ARHGEF9,0.99930924
RIGI,RIGI,0.99930924
SF3B2,SF3B2,0.999309
SLC8A2,SLC8A2,0.999309
HIF3A,HIF3A,0.99930847
KCNIP4,KCNIP4,0.99930793
NOD1,NOD1,0.9993067
APCS,APCS,0.9993066
SDCBP,SDCBP,0.9993063
BCL2,BCL2,0.99930596
GPAM,GPAM,0.9993057
TRPC5,TRPC5,0.9993054
TMCC2,TMCC2,0.99930483
CTTNBP2,CTTNBP2,0.9993046
ADARB1,ADARB1,0.9993043
C16orf86,C20H16orf86,0.99930423
NVL,NVL,0.99930376
TWSG1,TWSG1,0.9993024
PTPRM,PTPRM,0.99930197
ELAVL2,ELAVL2,0.9993015
MFSD14B,MFSD14B,0.9993014
TRBV10-1,TRBV10-1,0.9993002
MPRIP,MPRIP,0.9993
TEX10,TEX10,0.9992995
KCNRG,KCNRG,0.99929947
DDHD1,DDHD1,0.9992986
M1AP,M1AP,0.9992975
FBL,FBL,0.999297
OR11A1,OR11A1,0.99929535
SMYD3,SMYD3,0.9992953
NRROS,NRROS,0.999295
CIDEA,CIDEA,0.9992947
DUSP29,DUSP29,0.9992947
GRHL3,GRHL3,0.9992944
NID2,NID2,0.99929404
FGD1,FGD1,0.9992937
SQOR,SQOR,0.99929273
EFCAB3,EFCAB3,0.9992921
CLEC4G,CLEC4G,0.99929196
ETV6,ETV6,0.9992916
CCNB1,CCNB1,0.9992914
MOB3C,MOB3C,0.9992914
APPBP2,APPBP2,0.9992905
TEDDM1,TEDDM1,0.99929047
EPB41L1,EPB41L1,0.99928945
P4HA1,P4HA1,0.99928856
DUXB,DUXB,0.99928844
NCAN,NCAN,0.9992878
CBLC,CBLC,0.9992868
CLK1,CLK1,0.99928623
PPP1R3B,PPP1R3B,0.99928546
ELL,ELL,0.9992844
CHRAC1,CHRAC1,0.9992841
PF4,PF4,0.9992836
ZNF215,ZNF215,0.99928355
MRPL40,MRPL40,0.9992835
CXCL6,CXCL6,0.9992821
NUP58,NUP58,0.9992815
CFL1,CFL1,0.99928063
LBP,LBP,0.99928063
IL22RA1,IL22RA1,0.99928015
OPN5,OPN5,0.9992778
NAALADL2,NAALADL2,0.9992775
PPIP5K2,PPIP5K2,0.99927723
FUT7,FUT7,0.99927706
TGDS,TGDS,0.9992767
IL6,IL6,0.99927634
TMEM256,TMEM256,0.9992763
MYBL1,MYBL1,0.9992761
CIMIP2B,CIMIP2B,0.999276
OR8D4,OR8D4,0.9992754
IFT74,IFT74,0.9992751
URAD,URAD,0.999275
CAGE1,CAGE1,0.9992749
CTBS,CTBS,0.99927485
SPARCL1,SPARCL1,0.99927485
OR5A1,OR5A1,0.9992747
HACD1,HACD1,0.99927455
RNASE6,RNASE6,0.9992737
SNORC,SNORC,0.99927336
TGFBR2,TGFBR2,0.99927336
OR10G2,OR10G2,0.9992728
TCN1,TCN1,0.99927247
DYNLT5,DYNLT5,0.9992702
GFRA1,GFRA1,0.99926966
FAM83C,FAM83C,0.9992695
CLCN6,CLCN6,0.9992693
RHPN1,RHPN1,0.99926925
TUBGCP4,TUBGCP4,0.99926907
ANKRD46,ANKRD46,0.9992685
THADA,THADA,0.9992684
LARP7,LARP7,0.9992681
TP53BP1,TP53BP1,0.999268
SLC43A1,SLC43A1,0.99926794
UBXN2A,UBXN2A,0.99926776
OR1B1,OR1B1,0.99926674
KLHDC9,KLHDC9,0.9992665
IL36G,IL36G,0.9992664
MED15,MED15,0.99926364
PTPN4,PTPN4,0.9992636
REXO5,REXO5,0.9992634
CSN2,CSN2,0.9992629
