gorillas gene name,rhesus_macaques gene name,correlation
SCTR,SCTR,0.9988882
DACH2,DACH2,0.998888
SLC22A3,SLC22A3,0.9988876
VGLL3,VGLL3,0.9988873
ARHGDIB,ARHGDIB,0.9988871
SLC15A4,SLC15A4,0.99888515
ZMIZ2,ZMIZ2,0.99888504
CHL1,CHL1,0.9988849
RSBN1L,RSBN1L,0.9988831
OLFM2,OLFM2,0.99888253
ZC3H7A,ZC3H7A,0.9988821
MYF5,MYF5,0.9988811
ZAR1L,ZAR1L,0.99888057
PDE1A,PDE1A,0.9988805
CFTR,CFTR,0.9988802
TMEM253,TMEM253,0.99887943
RAI1,RAI1,0.9988789
SERTAD4,SERTAD4,0.99887866
LIMK1,LIMK1,0.9988784
RBMS3,RBMS3,0.99887836
LAMB3,LAMB3,0.99887794
NCDN,NCDN,0.99887776
MDN1,MDN1,0.9988764
AFTPH,AFTPH,0.9988757
ZNFX1,ZNFX1,0.9988753
PSMD14,PSMD14,0.998875
WDR4,WDR4,0.9988749
ZNF646,ZNF646,0.9988742
AHCTF1,AHCTF1,0.9988741
CHRNB3,CHRNB3,0.9988736
HID1,HID1,0.9988732
RP9,RP9,0.99887305
KCNA5,KCNA5,0.998873
KLF10,KLF10,0.9988722
STS,STS,0.9988719
CYP4F22,CYP4F22,0.99887174
DUOX2,DUOX2,0.9988713
FOCAD,FOCAD,0.99887085
KEAP1,KEAP1,0.9988702
TSHZ1,TSHZ1,0.99886984
LIX1,LIX1,0.9988692
PON1,PON1,0.9988686
FANCB,FANCB,0.9988681
XCR1,XCR1,0.99886715
RAB31,RAB31,0.99886644
MRPL44,MRPL44,0.99886584
SLC15A5,SLC15A5,0.99886465
TBX4,TBX4,0.99886465
NPY5R,NPY5R,0.9988635
IDH1,IDH1,0.9988629
EPOR,EPOR,0.9988621
C13orf42,C17H13orf42,0.9988615
C2orf49,C13H2orf49,0.9988615
PPP1R26,PPP1R26,0.99886054
SPRY1,SPRY1,0.9988597
FRS2,FRS2,0.9988596
VPS37C,VPS37C,0.9988583
PMCH,PMCH,0.9988574
LRCH2,LRCH2,0.99885714
IGSF8,IGSF8,0.998857
NCKAP1L,NCKAP1L,0.998857
RRP1B,RRP1B,0.9988561
ARHGEF37,ARHGEF37,0.998856
WHRN,WHRN,0.99885595
KLHL34,KLHL34,0.9988551
VSX2,VSX2,0.99885434
RPN2,RPN2,0.99885356
SWSAP1,SWSAP1,0.9988533
GPR65,GPR65,0.9988512
CYB561D2,CYB561D2,0.9988502
CNTN3,CNTN3,0.9988492
SEMA3E,SEMA3E,0.9988489
FOXA3,FOXA3,0.99884844
ARTN,ARTN,0.9988479
SAP130,SAP130,0.9988457
OR2AP1,OR2AP1,0.9988448
SLC5A12,SLC5A12,0.99884236
NOD2,NOD2,0.99884146
SOST,SOST,0.9988412
OTULIN,OTULIN,0.9988392
EPYC,EPYC,0.99883896
MATN1,MATN1,0.9988388
NKAPD1,NKAPD1,0.9988374
DSP,DSP,0.998837
HABP2,HABP2,0.9988369
WDR19,WDR19,0.9988367
FBXL2,FBXL2,0.99883634
ENO1,ENO1,0.99883574
GRIP2,GRIP2,0.9988353
DMBX1,DMBX1,0.9988352
FANCI,FANCI,0.99883515
RD3,RD3,0.998835
LPL,LPL,0.9988348
GPSM2,GPSM2,0.99883455
BICRAL,BICRAL,0.9988341
PRR15,PRR15,0.9988338
ATR,ATR,0.99883366
RBL2,RBL2,0.99883366
TMEM233,TMEM233,0.9988334
UPK1B,UPK1B,0.99883306
HOXA2,HOXA2,0.99883264
HAUS6,HAUS6,0.9988326
BBOF1,BBOF1,0.99883133
HOXA11,HOXA11,0.9988294
CDCP1,CDCP1,0.99882686
JAG1,JAG1,0.99882656
CILK1,CILK1,0.9988265
HSD11B2,HSD11B2,0.99882543
LY6G6C,LY6G6C,0.9988254
RNF113A,RNF113A,0.99882525
C1orf210,C1H1orf210,0.9988215
SELENOK,SELENOK,0.9988211
RBKS,RBKS,0.998821
ACKR4,ACKR4,0.9988203
MORN3,MORN3,0.9988203
MPHOSPH8,MPHOSPH8,0.9988203
COL22A1,COL22A1,0.99881953
ZNF770,ZNF770,0.9988191
ATP6V1H,ATP6V1H,0.99881905
PDK2,PDK2,0.998819
SYPL2,SYPL2,0.9988181
PUS3,PUS3,0.9988177
DMXL1,DMXL1,0.998817
LRP6,LRP6,0.99881697
EXD2,EXD2,0.9988168
CSNK1G3,CSNK1G3,0.9988153
SLC35E3,SLC35E3,0.9988136
TM4SF18,TM4SF18,0.9988134
RTN4RL1,RTN4RL1,0.9988129
SOAT2,SOAT2,0.99881023
ADGRA3,ADGRA3,0.99880975
G2E3,G2E3,0.9988093
C5orf34,C6H5orf34,0.9988092
ELMO3,ELMO3,0.99880916
GRIA4,GRIA4,0.9988091
DHX29,DHX29,0.99880856
BCAR1,BCAR1,0.99880767
P2RY8,P2RY8,0.99880683
ADAMTS18,ADAMTS18,0.99880505
LCT,LCT,0.99880475
SMURF2,SMURF2,0.99880373
GSDMA,GSDMA,0.9988035
ARID4B,ARID4B,0.99880296
PRKD1,PRKD1,0.9988029
TTC9,TTC9,0.99879605
KCTD6,KCTD6,0.99879533
SLC37A4,SLC37A4,0.9987951
TRPM1,TRPM1,0.9987945
SMG5,SMG5,0.9987939
PRDM16,PRDM16,0.9987935
TGM2,TGM2,0.99879265
SLC37A1,SLC37A1,0.99879146
PHKA2,PHKA2,0.9987913
SLC6A12,SLC6A12,0.9987913
FXR2,FXR2,0.9987905
TNFSF15,TNFSF15,0.99878985
BAZ2B,BAZ2B,0.9987894
GDF2,GDF2,0.99878925
APEX2,APEX2,0.9987892
MAPK6,MAPK6,0.9987892
PLXNA3,PLXNA3,0.99878895
CCNB1,CCNB1,0.9987881
MRTFA,MRTFA,0.99878585
KRT35,KRT35,0.99878544
HFM1,HFM1,0.99878436
SLC6A6,SLC6A6,0.99878293
NEDD1,NEDD1,0.9987806
FNBP1,FNBP1,0.99878013
MID2,MID2,0.99877995
MIP,MIP,0.99877924
FLNB,FLNB,0.99877906
CALU,CALU,0.9987788
SH3GLB1,SH3GLB1,0.9987778
EEA1,EEA1,0.99877745
TRIM47,TRIM47,0.9987758
FAM163A,FAM163A,0.9987754
HTR1A,HTR1A,0.99877495
RARS2,RARS2,0.9987736
MBNL3,MBNL3,0.9987735
HJV,HJV,0.99877256
RYR2,RYR2,0.99877095
NYAP2,NYAP2,0.9987707
SYTL5,SYTL5,0.99877024
LMOD2,LMOD2,0.9987693
BCLAF3,BCLAF3,0.99876875
STT3A,STT3A,0.9987684
VGLL1,VGLL1,0.9987677
CFAP210,CFAP210,0.99876726
LMOD3,LMOD3,0.9987672
AMH,AMH,0.9987667
FERMT2,FERMT2,0.99876654
KCNG4,KCNG4,0.99876636
DNAJC21,DNAJC21,0.99876404
ACVR1,ACVR1,0.998764
WNT3A,WNT3A,0.9987622
CHRM5,CHRM5,0.9987611
PRPH,PRPH,0.998761
KRT222,KRT222,0.99876094
TEX11,TEX11,0.99876094
KCTD19,KCTD19,0.99876016
GPR146,GPR146,0.99875975
TBL1XR1,TBL1XR1,0.9987589
CEP15,CEP15,0.99875814
EML6,EML6,0.99875736
PDK3,PDK3,0.99875736
FAT1,FAT1,0.9987559
RPL4,RPL4,0.99875456
ITGA7,ITGA7,0.99875444
ZNF768,ZNF768,0.99875426
C15orf39,C7H15orf39,0.99875355
SAMD7,SAMD7,0.9987525
FHIP2A,FHIP2A,0.99875224
ALDH6A1,ALDH6A1,0.9987495
ATP6V0A4,ATP6V0A4,0.9987489
CDKN1A,CDKN1A,0.99874824
RAG2,RAG2,0.99874765
SREK1IP1,SREK1IP1,0.998747
FAM120A,FAM120A,0.9987467
WAC,WAC,0.9987457
CLIP2,CLIP2,0.9987446
ABI3,ABI3,0.99874455
LRRC15,LRRC15,0.99874395
ADRA2A,ADRA2A,0.9987438
MALT1,MALT1,0.99874353
CAPZA3,CAPZA3,0.9987432
TXNDC16,TXNDC16,0.9987431
SLC5A1,SLC5A1,0.9987429
PEX12,PEX12,0.9987418
ZYX,ZYX,0.9987415
GSX2,GSX2,0.9987398
ABHD5,ABHD5,0.99873894
ZNF207,ZNF207,0.9987389
NFATC4,NFATC4,0.9987385
RDH12,RDH12,0.99873847
UBL3,UBL3,0.9987367
UBN1,UBN1,0.9987366
ATL3,ATL3,0.99873644
NPC1,NPC1,0.99873644
PHTF2,PHTF2,0.9987358
ITGA1,ITGA1,0.99873435
SLC37A2,SLC37A2,0.9987333
ARHGEF10,ARHGEF10,0.9987317
RLBP1,RLBP1,0.99873066
ADAMTS16,ADAMTS16,0.9987277
STK17B,STK17B,0.9987275
KCTD14,KCTD14,0.9987269
MAP4K2,MAP4K2,0.99872583
PRDM14,PRDM14,0.9987257
ERVFRD-1,ERVFRD-1,0.9987255
MYADM,MYADM,0.9987247
PADI3,PADI3,0.99872464
CNNM2,CNNM2,0.99872416
HPD,HPD,0.9987241
NHLH1,NHLH1,0.99872226
PTPRO,PTPRO,0.9987219
ACE2,ACE2,0.99872136
WDHD1,WDHD1,0.9987206
TNFSF18,TNFSF18,0.9987199
SPMIP7,SPMIP7,0.9987194
ZNF121,ZNF121,0.9987183
MMP27,MMP27,0.9987168
ERC2,ERC2,0.9987152
PRPF18,PRPF18,0.9987151
CNTN1,CNTN1,0.99871504
KPNA5,KPNA5,0.9987147
ATG9B,ATG9B,0.99871445
VASH2,VASH2,0.99871385
TDRD1,TDRD1,0.9987138
EDARADD,EDARADD,0.9987132
B3GNT2,B3GNT2,0.99871296
BCL6,BCL6,0.99871093
ATP1A2,ATP1A2,0.9987098
INSM2,INSM2,0.99870837
SYT4,SYT4,0.9987083
PADI2,PADI2,0.9987081
NAP1L4,NAP1L4,0.99870783
PHOSPHO2,PHOSPHO2,0.99870723
SNAPC3,SNAPC3,0.9987072
GABRB3,GABRB3,0.99870694
INTS7,INTS7,0.99870545
AMOTL2,AMOTL2,0.9987045
ATP6V1C1,ATP6V1C1,0.9987045
CYRIA,CYRIA,0.9987045
CHRNB2,CHRNB2,0.9987038
ODAD4,ODAD4,0.9987034
ZKSCAN1,ZKSCAN1,0.9987031
MAP3K12,MAP3K12,0.9987027
PHF19,PHF19,0.99870235
PNPLA8,PNPLA8,0.9987019
UBE2J1,UBE2J1,0.99870145
ZNF423,ZNF423,0.99870116
ZNF398,ZNF398,0.9987009
TAF8,TAF8,0.9987005
SUSD6,SUSD6,0.9987004
PLAGL1,PLAGL1,0.9987003
PSMD13,PSMD13,0.9986997
NEUROG1,NEUROG1,0.9986993
ZSCAN12,ZSCAN12,0.9986992
KIAA2026,BRD10,0.99869907
GPR155,GPR155,0.9986976
PLAT,PLAT,0.9986957
SERPINE2,SERPINE2,0.9986947
GYS2,GYS2,0.99869424
BRS3,BRS3,0.998694
TRIM13,TRIM13,0.998694
CACNA1D,CACNA1D,0.9986931
FBXL16,FBXL16,0.9986931
GLRA2,GLRA2,0.9986926
DDAH2,DDAH2,0.99869245
MOS,MOS,0.99869215
ADCK1,ADCK1,0.99869037
GPBAR1,GPBAR1,0.99868923
PRMT1,PRMT1,0.99868906
CYP2S1,CYP2S1,0.9986883
SIX6,SIX6,0.9986882
TKTL1,TKTL1,0.9986879
ANKH,ANKH,0.9986878
IL10,IL10,0.9986871
EAPP,EAPP,0.99868697
PRLHR,PRLHR,0.9986869
AMIGO3,AMIGO3,0.99868673
TIMP4,TIMP4,0.9986863
PARP14,PARP14,0.9986861
OPRK1,OPRK1,0.99868476
OXTR,OXTR,0.9986847
SQOR,SQOR,0.9986842
BORCS6,BORCS6,0.99868405
AP5S1,AP5S1,0.9986839
ECT2,ECT2,0.99868375
TAF4B,TAF4B,0.9986837
HTR1D,HTR1D,0.99868137
APBA1,APBA1,0.9986808
ITGB5,ITGB5,0.99868035
HDAC5,HDAC5,0.9986801
EFNB2,EFNB2,0.9986794
INTU,INTU,0.9986789
EIF1AD,EIF1AD,0.99867815
MEIOSIN,MEIOSIN,0.9986779
KCNJ1,KCNJ1,0.9986772
TYRO3,TYRO3,0.9986771
ACP5,ACP5,0.99867547
CCDC18,CCDC18,0.9986741
MAPK8IP2,MAPK8IP2,0.99867356
ARL6IP5,ARL6IP5,0.9986734
RESF1,RESF1,0.9986733
MYO9A,MYO9A,0.998673
CLEC16A,CLEC16A,0.9986726
SHCBP1L,SHCBP1L,0.99867237
PGBD4,PGBD4,0.9986723
ADRB2,ADRB2,0.998672
NHLRC1,NHLRC1,0.99867105
CDC40,CDC40,0.9986707
PPP3CB,PPP3CB,0.9986691
ADGRG1,ADGRG1,0.99866843
CNPPD1,CNPPD1,0.99866664
TMEM204,TMEM204,0.99866635
NCOA6,NCOA6,0.9986662
P2RY2,P2RY2,0.99866617
ORC2,ORC2,0.99866277
CLCN5,CLCN5,0.9986622
SLC26A2,SLC26A2,0.99866116
TGS1,TGS1,0.9986611
TCF19,TCF19,0.9986599
TAF1,TAF1,0.9986596
ATP6V1C2,ATP6V1C2,0.99865955
VAX2,VAX2,0.99865896
HCN3,HCN3,0.9986574
UBE2L5,UBE2L5,0.99865735
TMC2,TMC2,0.9986555
DCBLD2,DCBLD2,0.9986551
MAU2,MAU2,0.99865377
RAP1GAP2,RAP1GAP2,0.99865335
TUBGCP6,TUBGCP6,0.99865335
UACA,UACA,0.9986529
TYK2,TYK2,0.9986526
SPARC,SPARC,0.9986525
TNS4,TNS4,0.99865246
ATP10D,ATP10D,0.9986522
UGCG,UGCG,0.9986519
ATP23,ATP23,0.99865156
S100P,S100P,0.99865144
CLVS2,CLVS2,0.998651
MSMO1,MSMO1,0.9986509
SLC23A1,SLC23A1,0.9986508
ANKRD17,ANKRD17,0.9986507
NPPC,NPPC,0.99864995
UBN2,UBN2,0.99864936
METTL25,METTL25,0.99864894
OGN,OGN,0.9986482
CDC16,CDC16,0.9986479
DCLRE1A,DCLRE1A,0.9986477
HOXB1,HOXB1,0.9986477
SLC52A3,SLC52A3,0.99864674
KAT5,KAT5,0.9986454
ASZ1,ASZ1,0.9986449
HHIPL2,HHIPL2,0.9986436
SCRIB,SCRIB,0.9986435
TLR2,TLR2,0.99864304
RHBDF2,RHBDF2,0.9986416
PTCH1,PTCH1,0.9986415
EIF2B5,EIF2B5,0.9986407
CXXC5,CXXC5,0.99864036
GPRIN3,GPRIN3,0.99863994
SEC23B,SEC23B,0.99863905
CREB3L4,CREB3L4,0.998639
SH2D5,SH2D5,0.998638
R3HDM2,R3HDM2,0.9986366
ADK,ADK,0.9986345
PAFAH1B3,PAFAH1B3,0.9986343
FITM2,FITM2,0.9986336
EML4,EML4,0.99863356
AKT3,AKT3,0.9986332
KIF18A,KIF18A,0.9986324
RAP1GDS1,RAP1GDS1,0.99863225
TMEM216,TMEM216,0.99863225
BTG3,BTG3,0.9986317
ACSL4,ACSL4,0.9986316
ZIC3,ZIC3,0.9986316
ZNF70,ZNF70,0.99863136
TLR9,TLR9,0.9986313
IGF2R,IGF2R,0.9986288
SETD7,SETD7,0.99862844
CAPZB,CAPZB,0.9986282
LLGL1,LLGL1,0.9986275
MIPEP,MIPEP,0.9986272
CAMKK1,CAMKK1,0.99862653
RGSL1,RGSL1,0.998626
RRS1,RRS1,0.9986255
ZNF697,ZNF697,0.99862516
ZNF12,ZNF12,0.9986244
CCDC97,CCDC97,0.9986234
FGL1,FGL1,0.9986229
HTR5A,HTR5A,0.9986228
TSHZ3,TSHZ3,0.99862194
SNX32,SNX32,0.99862033
NCAN,NCAN,0.9986196
ELF3,ELF3,0.9986191
CACNG1,CACNG1,0.9986187
MTHFR,MTHFR,0.9986183
LRRC59,LRRC59,0.99861825
ADGRG2,ADGRG2,0.9986179
PRIM1,PRIM1,0.9986179
LOXL4,LOXL4,0.9986176
BBS2,BBS2,0.99861705
CASC3,CASC3,0.9986169
UBE3A,UBE3A,0.99861616
TGFBR3,TGFBR3,0.9986161
AFAP1L2,AFAP1L2,0.99861604
CACNB2,CACNB2,0.9986159
SLC4A4,SLC4A4,0.9986155
SLC35B4,SLC35B4,0.9986146
TMPRSS15,TMPRSS15,0.9986143
WSCD2,WSCD2,0.9986139
ZNF436,ZNF436,0.998613
PDGFRL,PDGFRL,0.99861085
BUB1,BUB1,0.9986107
NINJ1,NINJ1,0.99861044
SFTA2,SFTA2,0.9986096
GPR37,GPR37,0.99860954
TAS2R38,TAS2R38,0.9986093
SUDS3,SUDS3,0.99860895
GABRD,GABRD,0.9986082
ESYT3,ESYT3,0.9986081
CNOT6L,CNOT6L,0.9986075
NXPH2,NXPH2,0.9986073
ZNF296,ZNF296,0.9986067
UHRF1,UHRF1,0.9986064
MRPS14,MRPS14,0.998606
GOLPH3L,GOLPH3L,0.9986059
KRT25,KRT25,0.9986059
LRRC56,LRRC56,0.9986051
SFMBT1,SFMBT1,0.99860424
PYGO1,PYGO1,0.9986038
LONRF2,LONRF2,0.9986035
AKAP3,AKAP3,0.9986029
KRT28,KRT28,0.9986028
PLCH2,PLCH2,0.99860203
GADD45B,GADD45B,0.99860156
DZIP3,DZIP3,0.9986012
FAM83C,FAM83C,0.9985998
THAP11,THAP11,0.99859977
PRPF40A,PRPF40A,0.9985984
VDAC2,VDAC2,0.9985983
GAL3ST1,GAL3ST1,0.9985981
ALOX12,ALOX12,0.99859786
FRAS1,FRAS1,0.99859744
LRRC2,LRRC2,0.9985974
ZNF618,ZNF618,0.99859667
SOWAHB,SOWAHB,0.9985958
TRIM75,TRIM75,0.9985955
KLC3,KLC3,0.9985939
ESRRG,ESRRG,0.99859345
C1orf216,C1H1orf216,0.9985918
HLX,HLX,0.9985913
PIGM,PIGM,0.99859124
SSTR3,SSTR3,0.9985901
RFWD3,RFWD3,0.9985899
ZBTB26,ZBTB26,0.99858963
STX19,STX19,0.998589
GAA,GAA,0.99858844
SNX14,SNX14,0.99858713
FMNL3,FMNL3,0.9985866
GPR55,GPR55,0.9985856
ZNF529,ZNF529,0.9985856
SPIC,SPIC,0.99858546
SUPT20H,SUPT20H,0.99858516
KRT82,KRT82,0.9985845
DGKG,DGKG,0.99858433
NTF4,NTF4,0.99858135
SEL1L,SEL1L,0.9985791
SSNA1,SSNA1,0.99857765
LIN28B,LIN28B,0.998577
PALS1,PALS1,0.9985767
FBXO47,FBXO47,0.99857664
BCO1,BCO1,0.9985766
ZNF615,ZNF615,0.9985763
ITGA5,ITGA5,0.9985762
ARHGAP11A,ARHGAP11A,0.9985737
NPM3,NPM3,0.99857336
NRTN,NRTN,0.99857223
ZNF691,ZNF691,0.9985707
GRHL3,GRHL3,0.9985706
PHF24,PHF24,0.99857014
EYA4,EYA4,0.99856937
APOA5,APOA5,0.99856895
PRCP,PRCP,0.9985689
GTF3C6,GTF3C6,0.9985687
B3GNT8,B3GNT8,0.99856836
TECPR1,TECPR1,0.9985677
SSC4D,SSC4D,0.9985676
HSD11B1,HSD11B1,0.99856687
ADAM11,ADAM11,0.99856645
HDAC7,HDAC7,0.99856615
PLA2G4E,PLA2G4E,0.9985656
GREB1L,GREB1L,0.99856395
ANKS1B,ANKS1B,0.99856305
POLR1A,POLR1A,0.99856055
REV1,REV1,0.99855924
TNFAIP6,TNFAIP6,0.9985589
CDC37L1,CDC37L1,0.9985587
MMP16,MMP16,0.9985572
KLHL29,KLHL29,0.998557
MICU3,MICU3,0.9985562
ZNF18,ZNF18,0.9985551
LRRC57,LRRC57,0.99855494
TSPEAR,TSPEAR,0.9985547
FHDC1,FHDC1,0.99855393
LDHAL6A,LDHAL6A,0.998553
OAF,OAF,0.99855286
ZNF92,ZNF92,0.9985526
ATP11C,ATP11C,0.9985523
PPP1R3C,PPP1R3C,0.99855065
SERPINA11,SERPINA11,0.99854916
DAZL,DAZL,0.9985488
KANK2,KANK2,0.99854827
CNR2,CNR2,0.9985453
COQ8A,COQ8A,0.99854463
SUPT5H,SUPT5H,0.99854356
EHBP1L1,EHBP1L1,0.9985433
DIPK1C,DIPK1C,0.9985431
CELF2,CELF2,0.99854296
AMPH,AMPH,0.9985424
EPB41L5,EPB41L5,0.99854225
TPD52L1,TPD52L1,0.99854195
SLF1,SLF1,0.9985414
CHRNA2,CHRNA2,0.9985408
COL4A6,COL4A6,0.9985406
ZNF300,ZNF300,0.9985397
NEMP2,NEMP2,0.9985395
GLI1,GLI1,0.99853927
SLC27A3,SLC27A3,0.9985384
HS3ST3A1,HS3ST3A1,0.99853814
TMEM43,TMEM43,0.9985379
CALHM5,CALHM5,0.99853784
TP53RK,TP53RK,0.99853784
TMTC2,TMTC2,0.9985363
AQP3,AQP3,0.9985361
RIPK1,RIPK1,0.99853593
HNRNPA3,HNRNPA3,0.99853534
CCNH,CCNH,0.9985347
STAB1,STAB1,0.9985343
NIBAN2,NIBAN2,0.99853384
GJD3,GJD3,0.9985325
CER1,CER1,0.9985324
NUCKS1,NUCKS1,0.9985324
IL22RA1,IL22RA1,0.9985322
RPAP1,RPAP1,0.9985318
DAPP1,DAPP1,0.9985293
NFKB2,NFKB2,0.9985293
ZNF175,ZNF175,0.9985293
SSRP1,SSRP1,0.9985285
DNAJB11,DNAJB11,0.99852824
ATG16L1,ATG16L1,0.9985271
MMP17,MMP17,0.9985271
GAS2L1,GAS2L1,0.99852675
CNNM1,CNNM1,0.9985263
DBX1,DBX1,0.9985251
DPY19L3,DPY19L3,0.9985247
TAAR1,TAAR1,0.9985238
SLC7A5,SLC7A5,0.9985227
TMC3,TMC3,0.9985221
NEUROG2,NEUROG2,0.9985215
PFKFB2,PFKFB2,0.9985204
IP6K3,IP6K3,0.99852
GNB1,GNB1,0.998519
SPMIP6,SPMIP6,0.9985189
GAB3,GAB3,0.99851805
PDE5A,PDE5A,0.99851805
TMEM39A,TMEM39A,0.9985173
FBXL4,FBXL4,0.99851704
ZNF358,ZNF358,0.9985144
HS3ST1,HS3ST1,0.9985139
GNL3,GNL3,0.9985131
GEN1,GEN1,0.9985129
CDH22,CDH22,0.9985127
PROSER1,PROSER1,0.99851185
MTERF2,MTERF2,0.99851173
KPNB1,KPNB1,0.99851
CREBBP,CREBBP,0.9985096
NUP188,NUP188,0.9985092
PWWP2A,PWWP2A,0.99850833
MIXL1,MIXL1,0.9985077
GPR12,GPR12,0.9985072
ZKSCAN3,ZKSCAN3,0.99850714
PIP4P1,PIP4P1,0.9985069
TGFA,TGFA,0.99850625
JUP,JUP,0.9985061
ZNF438,ZNF438,0.9985045
CUBN,CUBN,0.9985041
VPS54,VPS54,0.998503
CAMSAP1,CAMSAP1,0.9985027
ZNF432,ZNF432,0.99850136
KNL1,KNL1,0.9985013
RRM1,RRM1,0.9985012
NIPAL1,NIPAL1,0.99850106
ZFP3,ZFP3,0.9985005
IER5,IER5,0.99849975
NFIB,NFIB,0.9984989
WDFY4,WDFY4,0.9984987
NEURL2,NEURL2,0.9984981
ARHGEF9,ARHGEF9,0.99849683
CBL,CBL,0.99849683
CASZ1,CASZ1,0.99849564
GPR15,GPR15,0.9984952
CPNE4,CPNE4,0.9984948
EXOC3L4,EXOC3L4,0.9984941
RDH8,RDH8,0.9984941
HDAC6,HDAC6,0.99849343
GOLIM4,GOLIM4,0.9984929
POLR1F,POLR1F,0.9984884
GABRQ,GABRQ,0.99848825
HK3,HK3,0.99848807
USP1,USP1,0.9984879
DENND2A,DENND2A,0.99848753
TNRC6A,TNRC6A,0.9984873
FAM151B,FAM151B,0.998487
BLZF1,BLZF1,0.99848676
LRRC42,LRRC42,0.9984866
NAB1,NAB1,0.9984857
MPP4,MPP4,0.9984849
ACTL8,ACTL8,0.9984841
CASK,CASK,0.99848354
CPM,CPM,0.9984829
KDF1,KDF1,0.9984808
HK1,HK1,0.9984796
CHD3,CHD3,0.9984792
C8orf88,C8H8orf88,0.9984789
CRAT,CRAT,0.9984784
CYP2U1,CYP2U1,0.99847764
TULP1,TULP1,0.9984768
F13B,F13B,0.9984765
NIN,NIN,0.9984752
CYP27B1,CYP27B1,0.998475
DDX43,DDX43,0.9984746
SERTM1,SERTM1,0.9984744
CLMP,CLMP,0.99847436
ZMYND11,ZMYND11,0.99847347
KIAA1143,KIAA1143,0.99847305
MMP21,MMP21,0.99847215
SULF2,SULF2,0.99847174
LRRIQ4,LRRIQ4,0.998469
POU2AF1,POU2AF1,0.9984668
ATXN1L,ATXN1L,0.9984665
AVEN,AVEN,0.9984663
PDZRN4,PDZRN4,0.998466
MTTP,MTTP,0.9984659
LRRC30,LRRC30,0.99846447
NAP1L2,NAP1L2,0.99846447
RHBG,RHBG,0.9984628
SLC4A7,SLC4A7,0.9984626
TFAP2B,TFAP2B,0.9984611
DIPK2A,DIPK2A,0.99846035
TDRD5,TDRD5,0.9984603
LRRC55,LRRC55,0.9984602
HYAL4,HYAL4,0.9984599
NXPH1,NXPH1,0.9984599
IFT70A,IFT70A,0.998459
FUBP3,FUBP3,0.998458
PRNP,PRNP,0.99845797
TMEM256,TMEM256,0.9984579
ASTL,ASTL,0.99845713
DSG2,DSG2,0.9984571
IL23A,IL23A,0.99845517
RNF2,RNF2,0.99845326
PRKACB,PRKACB,0.998453
TSR1,TSR1,0.9984529
TAF1C,TAF1C,0.99845284
FAM83G,FAM83G,0.9984527
CHRDL1,CHRDL1,0.9984523
SPDYC,SPDYC,0.9984523
COL16A1,COL16A1,0.9984521
ANGPTL7,ANGPTL7,0.99845195
E2F8,E2F8,0.9984516
KLHL4,KLHL4,0.9984513
KIAA0825,KIAA0825,0.99845064
INCENP,INCENP,0.9984501
DAAM1,DAAM1,0.99844944
PLEKHH1,PLEKHH1,0.9984482
ACO1,ACO1,0.9984479
RNMT,RNMT,0.998447
MCIDAS,MCIDAS,0.9984453
BACH1,BACH1,0.9984452
NYNRIN,NYNRIN,0.99844384
CAVIN2,CAVIN2,0.99844366
TGFBRAP1,TGFBRAP1,0.9984425
DNAH8,DNAH8,0.99844205
SLC22A7,SLC22A7,0.9984415
AKAP17A,AKAP17A,0.9984413
FBXL20,FBXL20,0.998441
CCNY,CCNY,0.9984408
CHST4,CHST4,0.99844074
ANXA7,ANXA7,0.9984405
PRPF19,PRPF19,0.99844027
ITCH,ITCH,0.99844015
APIP,APIP,0.99844
STARD13,STARD13,0.99843806
XDH,XDH,0.9984379
LEAP2,LEAP2,0.9984377
PNMA8C,PNMA8C,0.99843717
ALCAM,ALCAM,0.99843645
CCDC191,CCDC191,0.9984362
NELL1,NELL1,0.99843574
ZPR1,ZPR1,0.99843526
AGTR1,AGTR1,0.9984341
ID3,ID3,0.99843353
SPSB3,SPSB3,0.9984329
RTN1,RTN1,0.9984324
ECHDC3,ECHDC3,0.99843043
AFG2B,AFG2B,0.99843
CEP85L,CEP85L,0.998429
ZBTB3,ZBTB3,0.99842775
FMO2,FMO2,0.9984275
GALR3,GALR3,0.9984259
VAPA,VAPA,0.9984257
SERPINA4,SERPINA4,0.9984246
NAP1L3,NAP1L3,0.99842256
EHBP1,EHBP1,0.9984222
MEIOC,MEIOC,0.99842185
NKX2-8,NKX2-8,0.99842167
NUCB1,NUCB1,0.99842054
TCF4,TCF4,0.99842006
DGKE,DGKE,0.9984192
NAE1,NAE1,0.99841875
BBS10,BBS10,0.99841595
AP1G2,AP1G2,0.9984153
U2SURP,U2SURP,0.99841315
HOXD4,HOXD4,0.99841297
GATAD1,GATAD1,0.9984128
DNASE1L2,DNASE1L2,0.9984126
PPID,PPID,0.9984122
HDHD2,HDHD2,0.9984119
ST18,ST18,0.9984118
TTC21B,TTC21B,0.9984118
EVI5,EVI5,0.9984115
MTRES1,MTRES1,0.998411
DPPA4,DPPA4,0.9984099
TTC27,TTC27,0.99840957
IGSF9B,IGSF9B,0.9984092
CLDN11,CLDN11,0.9984088
SIM2,SIM2,0.99840856
CLEC2L,CLEC2L,0.9984085
SLC6A11,SLC6A11,0.99840844
SPRYD4,SPRYD4,0.9984074
BTBD17,BTBD17,0.9984048
