human gene name,chimpanzees gene name,correlation
SRD5A2,SRD5A2,0.99958295
KCNIP3,KCNIP3,0.9995818
SLC18A3,SLC18A3,0.99958163
LATS2,LATS2,0.99958134
CHCHD4,CHCHD4,0.99958116
TRABD2B,TRABD2B,0.99958116
ZSCAN12,ZSCAN12,0.99958074
BAALC,BAALC,0.99958026
PACSIN1,PACSIN1,0.9995801
ZAR1,ZAR1,0.99957997
ZBTB10,ZBTB10,0.99957997
ATXN7L3B,ATXN7L3B,0.9995777
HS3ST3B1,HS3ST3B1,0.9995772
SLC7A2,SLC7A2,0.99957705
DSG4,DSG4,0.99957544
OTOL1,OTOL1,0.9995753
FBXO5,FBXO5,0.99957496
CLEC14A,CLEC14A,0.9995722
LRRC39,LRRC39,0.99957204
NNMT,NNMT,0.9995718
EEF1AKMT1,EEF1AKMT1,0.9995717
PRR35,PRR35,0.9995709
C10orf105,C10H10orf105,0.99956924
ANKRD61,ANKRD61,0.99956894
LEXM,CIMAP2,0.99956894
ASB14,ASB14,0.999568
GRXCR1,GRXCR1,0.999568
RNASE6,RNASE6,0.99956775
VAV1,VAV1,0.99956733
CNTNAP4,CNTNAP4,0.99956715
INTS6L,INTS6L,0.99956673
PWWP3B,PWWP3B,0.99956614
ZNF284,ZNF284,0.99956596
TMEM17,TMEM17,0.9995657
PHF24,PHF24,0.9995651
SGSM1,SGSM1,0.99956495
GPR20,GPR20,0.9995645
FLNC,FLNC,0.99956197
JAKMIP2,JAKMIP2,0.9995619
ANKRD45,ANKRD45,0.9995618
FAM184B,FAM184B,0.99956137
CCDC172,CCDC172,0.9995612
GRIN3A,GRIN3A,0.9995612
ID3,ID3,0.99956065
CCNA2,CCNA2,0.99956024
ZNF8,ZNF8,0.99956
SIM1,SIM1,0.9995597
ZCCHC3,ZCCHC3,0.9995595
C1QC,C1QC,0.99955946
FFAR2,FFAR2,0.9995593
TMEM186,TMEM186,0.9995589
APBA3,APBA3,0.9995587
HSF5,HSF5,0.9995587
PTGER4,PTGER4,0.99955827
HRH3,HRH3,0.99955803
TMEM74B,TMEM74B,0.9995575
PDX1,PDX1,0.9995571
AOC2,AOC2,0.99955696
C1orf158,CFAP107,0.99955666
KLHL15,KLHL15,0.9995562
APOA5,APOA5,0.99955493
ALOX15B,ALOX15B,0.9995546
AADACL4,AADACL4,0.9995543
LDLRAD1,LDLRAD1,0.9995541
CPN2,CPN2,0.9995539
PADI6,PADI6,0.9995538
CCDC184,CCDC184,0.9995532
TOMM70,TOMM70,0.99955255
ACTL9,ACTL9,0.99955106
INSYN2B,INSYN2B,0.999551
SOST,SOST,0.99955016
KSR2,KSR2,0.9995501
OTUD3,OTUD3,0.9995501
ZNF296,ZNF296,0.99954915
PCP2,PCP2,0.9995486
SAPCD2,SAPCD2,0.9995472
E2F1,E2F1,0.9995468
UGT2A3,UGT2A3,0.9995462
DBX2,DBX2,0.9995457
GSDMC,GSDMC,0.9995456
MBOAT1,MBOAT1,0.9995451
IL17B,IL17B,0.9995446
NFE2,NFE2,0.9995439
ZNF629,ZNF629,0.9995434
MAB21L3,MAB21L3,0.9995427
CCDC185,CCDC185,0.99954134
MIB1,MIB1,0.99954087
RBMXL2,RBMXL2,0.9995406
ADRA2B,ADRA2B,0.9995405
FAM83C,FAM83C,0.9995402
OR14J1,OR14J1,0.9995393
OR4S2,OR4S2,0.99953926
GFY,GFY,0.99953866
HMX1,HMX1,0.999538
ADAM15,ADAM15,0.99953765
PRXL2A,PRXL2A,0.99953705
EPHA2,EPHA2,0.9995367
LRIT2,LRIT2,0.9995367
RASL10B,RASL10B,0.99953485
LTK,LTK,0.9995346
AJAP1,AJAP1,0.99953425
ENDOU,ENDOU,0.99953365
CRYBA4,CRYBA4,0.99953336
CD109,CD109,0.99953306
AGBL1,AGBL1,0.9995329
ALG2,ALG2,0.99953264
CSNK1A1L,CSNK1A1L,0.99953175
GPR33,GPR33,0.9995315
CXCR5,CXCR5,0.9995314
PIWIL2,PIWIL2,0.9995314
TMEM109,TMEM109,0.9995312
GAL3ST3,GAL3ST3,0.99953085
CA12,CA12,0.9995306
CCDC188,CCDC188,0.99953055
FN3K,FN3K,0.99953055
MSGN1,MSGN1,0.9995301
PNMA2,PNMA2,0.99953
SNRNP35,SNRNP35,0.99952763
IL9,IL9,0.99952745
NOC2L,NOC2L,0.99952734
HACD4,HACD4,0.9995272
RPS6KC1,RPS6KC1,0.9995262
HIF1A,HIF1A,0.99952585
DPPA2,DPPA2,0.9995258
SPIC,SPIC,0.99952483
CR2,CR2,0.99952465
MAGEB18,MAGEB18,0.999523
ZNF354C,ZNF354C,0.9995221
EN1,EN1,0.99952185
GJB5,GJB5,0.9995215
TMIGD1,TMIGD1,0.9995215
CD3E,CD3E,0.9995212
CYSLTR1,CYSLTR1,0.999521
SDR9C7,SDR9C7,0.9995201
OR5K1,OR5K1,0.9995191
ACTL7B,ACTL7B,0.9995188
UPF1,UPF1,0.99951845
LMOD3,LMOD3,0.9995184
WDR70,WDR70,0.9995181
SYT11,SYT11,0.9995173
ARMCX1,ARMCX1,0.999517
UNC5D,UNC5D,0.999517
MRPL12,MRPL12,0.99951696
SLC12A3,SLC12A3,0.9995167
SOX17,SOX17,0.99951667
IFNA5,IFNA5,0.9995164
DUSP2,DUSP2,0.9995157
GDF10,GDF10,0.99951565
STN1,STN1,0.99951476
ZSWIM1,ZSWIM1,0.99951464
DMBX1,DMBX1,0.99951434
VMA21,VMA21,0.999514
RP2,RP2,0.9995139
OPCML,OPCML,0.99951327
ILDR2,ILDR2,0.9995121
F12,F12,0.99951136
STEAP3,STEAP3,0.99951094
LRRC19,LRRC19,0.9995109
ZNF222,ZNF222,0.99951047
GPR83,GPR83,0.99950993
PSAPL1,PSAPL1,0.99950993
ICOS,ICOS,0.9995093
GRM6,GRM6,0.9995092
HDHD3,HDHD3,0.9995087
TAS2R10,TAS2R10,0.9995086
MRPL44,MRPL44,0.9995077
MT-ND4L,MT-ND4L,0.99950737
IGFL3,IGFL3,0.9995073
KLRB1,KLRB1,0.9995072
NAGA,NAGA,0.9995067
GPR84,GPR84,0.9995064
DIP2A,DIP2A,0.99950576
INHA,INHA,0.9995055
SPESP1,SPESP1,0.99950546
UTF1,UTF1,0.9995052
C2CD4C,C2CD4C,0.9995047
CATSPER1,CATSPER1,0.99950457
TUB,TUB,0.9995041
GP9,GP9,0.999504
LAPTM5,LAPTM5,0.9995038
LEFTY1,LEFTY1,0.9995035
THBS4,THBS4,0.9995033
BNIP5,BNIP5,0.99950147
CACNG6,CACNG6,0.99950093
GBP4,GBP4,0.9995008
RTL5,RTL5,0.99950075
CYP4F22,CYP4F22,0.99950004
ID4,ID4,0.99949956
SUSD2,SUSD2,0.9994991
ABL2,ABL2,0.9994977
PRLHR,PRLHR,0.9994976
PLET1,PLET1,0.9994973
GPR176,GPR176,0.9994966
NSUN7,NSUN7,0.9994961
SP9,SP9,0.9994958
MMP12,MMP12,0.999495
FER1L6,FER1L6,0.999494
BRWD3,BRWD3,0.99949396
SHROOM4,SHROOM4,0.99949336
SLC25A18,SLC25A18,0.99949294
SLC5A10,SLC5A10,0.9994928
MOS,MOS,0.99949217
UNC45B,UNC45B,0.99949217
WDSUB1,WDSUB1,0.9994921
ZNF592,ZNF592,0.9994907
CRNN,CRNN,0.9994903
NELL1,NELL1,0.9994903
REM2,REM2,0.9994891
SDF2L1,SDF2L1,0.999489
ZNHIT1,ZNHIT1,0.99948806
PLCB3,PLCB3,0.999488
SELENOO,SELENOO,0.9994875
UTP14C,UTP14C,0.99948585
TAB1,TAB1,0.9994854
PPP1R3B,PPP1R3B,0.99948514
SLC28A1,SLC28A1,0.9994842
B3GALT6,B3GALT6,0.999483
CCDC134,CCDC134,0.9994824
UBXN10,UBXN10,0.999482
FGD1,FGD1,0.9994818
MAP1LC3A,MAP1LC3A,0.9994817
OCM,OCM,0.999481
GLB1L2,GLB1L2,0.99948084
EMILIN2,EMILIN2,0.99947995
KLRG2,KLRG2,0.99947935
SLPI,SLPI,0.9994792
PTMS,PTMS,0.9994786
ANG,ANG,0.9994776
TCAP,TCAP,0.9994775
FAM83B,FAM83B,0.9994774
NCOA1,NCOA1,0.99947697
HTR1D,HTR1D,0.99947673
OR6C6,OR6C6,0.99947625
PKDREJ,PKDREJ,0.9994761
GPR151,GPR151,0.99947375
GBP6,GBP6,0.9994736
SLC5A4,SLC5A4,0.99947315
SLC7A13,SLC7A13,0.9994731
GALR1,GALR1,0.99947286
COA5,COA5,0.9994726
ZNF831,ZNF831,0.99947226
OCSTAMP,OCSTAMP,0.999472
SPEF1,SPEF1,0.99947125
TMEM190,TMEM190,0.99947065
SLC4A9,SLC4A9,0.99947006
CATSPER3,CATSPER3,0.9994696
PPP2R5A,PPP2R5A,0.9994695
SUV39H1,SUV39H1,0.99946946
FAM243A,C21orf140,0.99946916
DNTT,DNTT,0.9994687
BSND,BSND,0.9994678
CCDC175,CCDC175,0.9994658
XRCC4,XRCC4,0.9994654
CSKMT,CSKMT,0.99946505
ABCF2-H2BE1,ABCF2,0.99946404
METTL24,METTL24,0.9994637
SMIM33,SMIM33,0.99946344
ZNF845,ZNF845,0.9994607
GPR6,GPR6,0.9994602
DDX28,DDX28,0.99946016
WNT16,WNT16,0.99945927
SLC22A4,SLC22A4,0.99945897
PHIP,PHIP,0.9994583
TCL1B,TCL1B,0.99945796
ODF3,CIMAP1A,0.99945784
ATAD5,ATAD5,0.9994577
OR8D1,OR8D1,0.9994576
GPKOW,GPKOW,0.99945706
GIP,GIP,0.999457
FLG2,FLG2,0.99945676
POP7,POP7,0.9994566
SLC26A1,SLC26A1,0.9994566
ASCL2,ASCL2,0.9994561
INSC,INSC,0.9994556
HRH4,HRH4,0.99945474
DIAPH2,DIAPH2,0.999454
SLC15A1,SLC15A1,0.99945325
SREK1IP1,SREK1IP1,0.99945295
PRSS56,PRSS56,0.9994519
RCBTB2,RCBTB2,0.9994517
MYBL1,MYBL1,0.99945164
SH2D1B,SH2D1B,0.9994516
NDUFA1,NDUFA1,0.9994494
PLSCR5,PLSCR5,0.99944806
DMRTA1,DMRTA1,0.99944746
SEPTIN14,SEPTIN14,0.99944717
KPRP,KPRP,0.9994468
ANKRD13C,ANKRD13C,0.9994467
BTBD17,BTBD17,0.9994463
NR0B1,NR0B1,0.9994452
FOLR1,FOLR1,0.999445
MYBL2,MYBL2,0.99944496
NKX3-1,NKX3-1,0.9994446
KRT74,KRT74,0.9994443
CCDC85A,CCDC85A,0.9994428
CABS1,CABS1,0.9994425
ZNF154,ZNF154,0.99944246
MT-CO1,MT-CO1,0.9994424
ESF1,ESF1,0.9994419
CSF2,CSF2,0.9994411
OR2A5,OR2A5,0.99944085
ARNTL2,ARNTL2,0.9994408
SCAF4,SCAF4,0.99943966
SLC2A4RG,SLC2A4RG,0.99943966
ZNF605,ZNF605,0.99943954
SLC30A2,SLC30A2,0.99943876
ATP4B,ATP4B,0.99943846
S1PR2,S1PR2,0.9994365
ZNF700,ZNF700,0.99943644
ACTL7A,ACTL7A,0.9994364
GJA8,GJA8,0.9994361
WNT8A,WNT8A,0.9994361
ANKRD52,ANKRD52,0.999436
OR2L13,OR2L13,0.99943596
TEX13B,TEX13B,0.99943554
NMU,NMU,0.9994337
AK2,AK2,0.99943274
ADRB1,ADRB1,0.9994323
ADH1A,ADH1A,0.999432
OTP,OTP,0.9994309
OPN1MW3,OPN1LW,0.9994304
USP37,USP37,0.99943036
H1-1,H1-1,0.99943
H1-10,H1-10,0.99942964
NANP,NANP,0.9994295
WDR5B,WDR5B,0.99942935
USP26,USP26,0.9994293
DNAAF2,DNAAF2,0.99942863
PDK3,PDK3,0.9994286
KLF15,KLF15,0.9994284
PLA2G7,PLA2G7,0.999428
STX19,STX19,0.99942625
TDRD10,TDRD10,0.99942493
TENT2,TENT2,0.9994245
LMTK2,LMTK2,0.99942446
INSYN2A,INSYN2A,0.99942416
FOXD2,FOXD2,0.9994241
KCNA7,KCNA7,0.9994225
UBAP1,UBAP1,0.9994203
CPLX3,CPLX3,0.9994202
ARHGEF12,ARHGEF12,0.9994194
CACNA1G,CACNA1G,0.9994193
MBOAT4,MBOAT4,0.9994193
BANK1,BANK1,0.9994187
KCTD5,KCTD5,0.9994183
GUCY1B1,GUCY1B1,0.99941695
NLRP14,NLRP14,0.99941486
PDRG1,PDRG1,0.9994142
MEIOSIN,MEIOSIN,0.9994132
CD274,CD274,0.9994128
GADD45GIP1,GADD45GIP1,0.9994127
TMEM174,TMEM174,0.999412
MTMR8,MTMR8,0.9994115
ISG20L2,ISG20L2,0.99941105
FNBP1,FNBP1,0.9994108
AVPR1B,AVPR1B,0.9994103
GMEB1,GMEB1,0.9994086
KRT75,KRT75,0.99940836
MEI4,MEI4,0.9994075
ZBED4,ZBED4,0.99940574
KDM4D,KDM4D,0.9994055
TRUB1,TRUB1,0.9994052
AMIGO3,AMIGO3,0.999405
BOLA1,BOLA1,0.99940497
TAS2R4,TAS2R4,0.9994038
TCN1,TCN1,0.9994038
MMP27,MMP27,0.9994034
PYGO1,PYGO1,0.99940336
RNF39,RNF39,0.9994022
CCN2,CCN2,0.99940187
RIPOR3,RIPOR3,0.99940056
GUCY1A2,GUCY1A2,0.99939984
TGFBR3L,TGFBR3L,0.99939984
GDAP2,GDAP2,0.9993994
SLC10A2,SLC10A2,0.99939895
GRK7,GRK7,0.99939823
TMEM121,TMEM121,0.99939805
PDZRN4,PDZRN4,0.9993971
LIPM,LIPM,0.999397
PRSS50,PRSS50,0.99939567
C10orf88,C10H10orf88,0.9993947
ABHD16B,ABHD16B,0.999394
ARL11,ARL11,0.9993919
ISX,ISX,0.99939185
AHR,AHR,0.99939156
PPP1R14C,PPP1R14C,0.99939156
LRRC25,LRRC25,0.9993913
CD2BP2,CD2BP2,0.99939126
GPR32,GPR32,0.99939054
GJC3,GJC3,0.99939036
POGLUT2,POGLUT2,0.9993903
NEURL1B,NEURL1B,0.99939024
RIBC2,RIBC2,0.9993891
TRIML1,TRIML1,0.99938834
CPXM1,CPXM1,0.9993877
IL12A,IL12A,0.9993877
MMUT,MMUT,0.99938744
PKD1L3,PKD1L3,0.9993871
LKAAEAR1,LKAAEAR1,0.999387
PLAC1,PLAC1,0.9993867
TNFRSF13C,TNFRSF13C,0.9993864
HTR3C,HTR3C,0.9993862
RAB3B,RAB3B,0.9993858
KLHL30,KLHL30,0.99938375
NACC2,NACC2,0.99938315
GALR2,GALR2,0.9993823
NPFFR1,NPFFR1,0.9993819
ZC3HAV1L,ZC3HAV1L,0.9993804
ZFP36L2,ZFP36L2,0.9993804
EBI3,EBI3,0.9993794
TGDS,TGDS,0.99937844
VAMP5,VAMP5,0.99937767
RBM15,RBM15,0.9993776
SERTAD1,SERTAD1,0.9993774
PLA2G3,PLA2G3,0.99937695
KRT26,KRT26,0.9993768
PIK3CD,PIK3CD,0.99937665
TTLL8,TTLL8,0.99937576
DSC1,DSC1,0.99937505
SDHAF3,SDHAF3,0.99937487
ZIM3,ZIM3,0.99937445
GAPT,GAPT,0.9993739
KPNA7,KPNA7,0.9993731
ZNF572,ZNF572,0.9993726
REP15,REP15,0.99937254
TRIM38,TRIM38,0.99937224
ACVR2B,ACVR2B,0.9993716
FUT7,FUT7,0.9993714
SF3A3,SF3A3,0.99937063
DNAH5,DNAH5,0.9993697
NCAM2,NCAM2,0.9993692
NKX6-2,NKX6-2,0.9993691
PPP1R3G,PPP1R3G,0.999368
ELMOD1,ELMOD1,0.9993672
CROCC2,CROCC2,0.99936604
RGS16,RGS16,0.9993657
CBX6,CBX6,0.9993639
COX6C,COX6C,0.999363
SCCPDH,SCCPDH,0.9993626
HGFAC,HGFAC,0.99936175
FGFBP2,FGFBP2,0.9993617
MARCKS,MARCKS,0.99936146
TRIM24,TRIM24,0.9993613
DSCAM,DSCAM,0.99935865
RGS10,RGS10,0.99935687
ATP12A,ATP12A,0.99935645
KLF12,KLF12,0.99935627
CD101,CD101,0.9993561
NALF2,NALF2,0.9993555
PIFO,CIMAP3,0.99935544
FNDC10,FNDC10,0.9993547
IRF2BP2,IRF2BP2,0.99935466
OR7A5,OR7A5,0.99935466
AARS2,AARS2,0.9993546
TMEM81,TMEM81,0.9993542
EDA2R,EDA2R,0.999354
ASTN1,ASTN1,0.9993535
PYGM,PYGM,0.99935275
DCDC2B,DCDC2B,0.99935204
RUNDC3B,RUNDC3B,0.999352
CYP4V2,CYP4V2,0.99935126
DIPK1A,DIPK1A,0.99935067
DSG3,DSG3,0.99934995
EPO,EPO,0.9993496
APOA4,APOA4,0.99934894
CYP1A2,CYP1A2,0.99934644
VWA5B2,VWA5B2,0.99934596
RAB3D,RAB3D,0.9993455
SPG11,SPG11,0.99934494
OR4F6,OR4F6,0.9993449
HCAR1,HCAR1,0.9993442
AMBN,AMBN,0.99934363
OR2AT4,OR2AT4,0.999342
SUCNR1,SUCNR1,0.99934155
AKAP12,AKAP12,0.99934113
SMIM12,SMIM12,0.99933976
EVI2B,EVI2B,0.99933934
CD8A,CD8A,0.9993392
TIMM22,TIMM22,0.9993376
DSG1,DSG1,0.9993373
KRT84,KRT84,0.9993373
OR51L1,OR51L1,0.99933654
UNC5B,UNC5B,0.9993361
IL4,IL4,0.99933606
F5,F5,0.99933565
F9,F9,0.9993343
PROZ,PROZ,0.99933404
ADAMTSL4,ADAMTSL4,0.9993338
TYMS,TYMS,0.9993323
CFAP418,CFAP418,0.9993321
R3HDML,R3HDML,0.9993317
NUP188,NUP188,0.999331
OR10D3,OR10D3,0.99932975
IFITM5,IFITM5,0.99932814
PRSS38,PRSS38,0.99932706
RNF113B,RNF113B,0.99932593
KIF18B,KIF18B,0.9993258
DGAT2L6,DGAT2L6,0.99932534
TFB2M,TFB2M,0.9993245
ITPR3,ITPR3,0.9993238
NEUROG3,NEUROG3,0.9993225
ORC1,ORC1,0.99932206
TAS2R50,TAS2R50,0.9993219
ANGPT4,ANGPT4,0.999319
CCND2,CCND2,0.999319
TMEM252,TMEM252,0.9993179
MYMK,MYMK,0.9993178
CHRNA9,CHRNA9,0.9993177
P2RY6,P2RY6,0.9993176
ERICH5,ERICH5,0.99931735
POF1B,POF1B,0.9993167
TMEM200C,TMEM200C,0.9993159
KLHL38,KLHL38,0.9993158
OR4E2,OR4E2,0.99931544
SHISAL2A,SHISAL2A,0.9993154
CCDC87,CCDC87,0.9993146
GOLIM4,GOLIM4,0.99931324
EPB41L4A,EPB41L4A,0.99931246
GCM2,GCM2,0.9993121
NOM1,NOM1,0.99931145
ZNF764,ZNF764,0.99931073
FNDC4,FNDC4,0.99931014
EDDM3A,EDDM3A,0.9993092
PAXX,PAXX,0.9993071
FANCF,FANCF,0.99930686
ACSM4,ACSM4,0.999306
LRIG1,LRIG1,0.999306
SNX32,SNX32,0.9993058
ZNF174,ZNF174,0.9993058
MMP9,MMP9,0.99930555
SERTM2,SERTM2,0.9993043
NECTIN4,NECTIN4,0.99930423
ZNF716,ZNF716,0.99930376
KRCC1,KRCC1,0.999303
TNFRSF13B,TNFRSF13B,0.9993025
TMF1,TMF1,0.9993024
USP18,USP18,0.99930215
ACADS,ACADS,0.99930185
ANKRD35,ANKRD35,0.99930084
ID1,ID1,0.9993008
GOPC,GOPC,0.99930006
LRIT1,LRIT1,0.9992998
ATP6V1E2,ATP6V1E2,0.99929976
MRPL57,MRPL57,0.99929976
GSC2,GSC2,0.99929947
KIF2B,KIF2B,0.9992984
PIGR,PIGR,0.999298
DPH7,DPH7,0.9992962
ZMAT1,ZMAT1,0.9992962
OR52A5,OR52A5,0.99929494
XRCC6,XRCC6,0.9992943
NUDCD3,NUDCD3,0.99929297
DNAJC28,DNAJC28,0.9992926
TUSC3,TUSC3,0.99929124
ANKRD62,ANKRD62,0.9992905
S100A14,S100A14,0.9992905
GMEB2,GMEB2,0.9992903
ZNF679,ZNF679,0.99929
XPA,XPA,0.9992879
SPTA1,SPTA1,0.9992877
POMC,POMC,0.9992871
H1-3,H1-3,0.99928695
DYSF,DYSF,0.9992863
MRC1,MRC1,0.99928576
LRRC26,LRRC26,0.99928486
TSEN34,TSEN34,0.99928474
FBXL14,FBXL14,0.99928385
ZNF732,ZNF732,0.9992834
ACVR1C,ACVR1C,0.99927986
GPR153,GPR153,0.9992794
HYLS1,HYLS1,0.9992794
CCK,CCK,0.9992789
ZNF722P,ZNF722,0.99927807
KRTAP29-1,KRTAP29-1,0.99927783
PCNX3,PCNX3,0.9992774
FAM163B,FAM163B,0.9992764
CEACAM4,CEACAM4,0.99927574
RRS1,RRS1,0.99927515
MYBPHL,MYBPHL,0.9992749
BHLHE23,BHLHE23,0.99927413
RNF149,RNF149,0.99927413
ZXDB,ZXDB,0.99927413
UFL1,UFL1,0.9992741
NKX1-2,NKX1-2,0.9992738
FBXL7,FBXL7,0.9992728
EPS8L1,EPS8L1,0.99927276
FTMT,FTMT,0.9992726
GTF3C6,GTF3C6,0.9992717
FABP9,FABP9,0.9992712
ALPK2,ALPK2,0.9992709
PSME4,PSME4,0.99927044
CLMP,CLMP,0.9992703
SUSD6,SUSD6,0.99926937
FRMPD4,FRMPD4,0.9992692
CCDC71,CCDC71,0.9992685
LRRC24,LRRC24,0.9992684
ZNF25,ZNF25,0.999267
CD84,CD84,0.99926424
YES1,YES1,0.99926406
PCP4L1,PCP4L1,0.99926376
RP1L1,RP1L1,0.99926376
MINPP1,MINPP1,0.9992631
TRUB2,TRUB2,0.99926174
RRN3,RRN3,0.9992614
DISP2,DISP2,0.99926
KCTD18,KCTD18,0.9992593
NOL12,NOL12,0.99925697
RORB,RORB,0.99925643
MISP,MISP,0.9992562
C16orf89,C16H16orf89,0.9992558
TIGD6,TIGD6,0.99925566
PEAK3,PEAK3,0.9992556
CST6,CST6,0.99925554
HEPACAM2,HEPACAM2,0.9992546
NPY,NPY,0.9992543
PRR23C,PRR23C,0.99925363
MACC1,MACC1,0.9992523
PADI1,PADI1,0.9992521
ASCL1,ASCL1,0.99925137
P2RY11,P2RY11,0.9992506
GDF7,GDF7,0.9992504
KIAA1549,KIAA1549,0.9992483
DEFA6,DEFA6,0.99924797
SELPLG,SELPLG,0.9992476
S100A6,S100A6,0.9992473
MIDN,MIDN,0.9992467
TBX2,TBX2,0.99924666
C1QTNF12,C1QTNF12,0.9992466
LMX1B,LMX1B,0.9992466
CD164L2,CD164L2,0.9992464
PGLYRP4,PGLYRP4,0.99924594
SGCG,SGCG,0.99924517
ZNF510,ZNF510,0.9992444
FASTK,FASTK,0.9992442
ADRB3,ADRB3,0.99924403
PACC1,PACC1,0.9992437
CYP17A1,CYP17A1,0.9992436
COL1A2,COL1A2,0.9992426
ALX4,ALX4,0.9992424
CACNG1,CACNG1,0.9992419
RPL10L,RPL10L,0.9992414
AGO4,AGO4,0.9992411
OR6M1,OR6M1,0.99924064
OR4X2,OR4X2,0.99924016
ZNF853,ZNF853,0.99924004
ARSF,ARSF,0.99923986
OR5D14,OR5D14,0.9992398
RBFA,RBFA,0.9992393
CRYGC,CRYGC,0.99923897
KRT6C,KRT6B,0.9992388
BCL9,BCL9,0.99923795
FIGLA,FIGLA,0.9992372
LRRC15,LRRC15,0.9992351
RRP15,RRP15,0.99923456
CAPN6,CAPN6,0.99923396
MYH3,MYH3,0.99923354
NAPB,NAPB,0.99923354
ANGPTL7,ANGPTL7,0.9992329
MOB1A,MOB1A,0.9992324
HIGD2A,HIGD2A,0.9992322
ALPP,ALPP,0.9992321
RGS9BP,RGS9BP,0.99923104
MDFIC2,MDFIC2,0.99922985
ANKRD16,ANKRD16,0.99922955
ENTHD1,ENTHD1,0.99922955
SLCO1B1,SLCO1B1,0.9992285
TSPYL1,TSPYL1,0.9992278
C6orf132,C6H6orf132,0.9992266
KRT25,KRT25,0.9992262
IGBP1,IGBP1,0.9992235
KRTAP19-8,KRTAP19-8,0.99922276
OR8K3,OR8K3,0.99922115
RUNX3,RUNX3,0.9992202
FAM178B,FAM178B,0.99922013
ZNF454,ZNF454,0.9992196
TGM3,TGM3,0.9992193
CMTM8,CMTM8,0.9992181
MLNR,MLNR,0.99921805
CDH22,CDH22,0.99921787
FGD3,FGD3,0.9992178
MYOZ2,MYOZ2,0.9992177
ADRA2A,ADRA2A,0.9992173
ZMYM3,ZMYM3,0.9992172
STRIP2,STRIP2,0.9992169
BMP8B,BMP8B,0.9992167
CD5L,CD5L,0.99921614
JSRP1,JSRP1,0.9992157
OR2Z1,OR2Z1,0.99921525
HNRNPUL2,HNRNPUL2,0.999214
JMY,JMY,0.99921316
DPPA3,DPPA3,0.9992127
IL3,IL3,0.9992119
SIAH3,SIAH3,0.999211
ELOVL5,ELOVL5,0.9992104
TM4SF5,TM4SF5,0.9992103
LIPN,LIPN,0.999209
RSPO4,RSPO4,0.99920714
KRT76,KRT76,0.9992069
FAM193A,FAM193A,0.9992055
TCF24,TCF24,0.9992051
UBR2,UBR2,0.9992046
CCDC15,CCDC15,0.9992045
BMP2,BMP2,0.9992041
C19orf18,C19H19orf18,0.9992031
CD80,CD80,0.99920297
ENPP5,ENPP5,0.99920243
SPDEF,SPDEF,0.9992023
MSANTD1,MSANTD1,0.99920225
NLRP9,NLRP9,0.9992021
MESP2,MESP2,0.9992008
NUTM1,NUTM1,0.99919885
FAM111A,FAM111A,0.9991983
SAYSD1,SAYSD1,0.99919724
SCD,SCD,0.9991968
RILPL1,RILPL1,0.99919665
STBD1,STBD1,0.9991966
IFNA14,IFNA14,0.99919593
ZC3H12C,ZC3H12C,0.99919593
NLRP6,NLRP6,0.99919534
LACTBL1,LACTBL1,0.9991952
BMP3,BMP3,0.9991934
SSTR4,SSTR4,0.9991926
SPATA19,SPATA19,0.9991918
PMCH,PMCH,0.9991904
IL12B,IL12B,0.99918914
PTX3,PTX3,0.99918914
OR5AS1,OR5AS1,0.9991889
KIF21B,KIF21B,0.9991873
RDH16,RDH16,0.99918705
ITGA11,ITGA11,0.9991859
ZDHHC15,ZDHHC15,0.99918586
ZNF77,ZNF77,0.9991855
BIK,BIK,0.99918336
PFDN1,PFDN1,0.9991828
TNNT3,TNNT3,0.9991821
ALKAL1,ALKAL1,0.99918115
FGFBP1,FGFBP1,0.99918
MAGEA8,MAGEA8,0.99917996
LHFPL4,LHFPL4,0.99917936
MMADHC,MMADHC,0.9991788
PI16,PI16,0.9991786
FAM181B,FAM181B,0.9991784
TMEM244,TMEM244,0.99917775
UPK2,UPK2,0.9991775
ZNF311,ZNF311,0.9991774
MATN1,MATN1,0.99917716
MYBPH,MYBPH,0.99917686
CFHR5,CFHR5,0.99917644
PERP,PERP,0.99917555
PABIR2,PABIR2,0.9991748
CEND1,CEND1,0.9991747
MFSD6L,MFSD6L,0.9991746
OR6P1,OR6P1,0.99917454
LAX1,LAX1,0.9991745
OR2M3,OR2M3,0.99917334
CYCS,CYCS,0.99917066
MINAR2,MINAR2,0.99916863
OR4F15,OR4F15,0.9991685
SERPINB9,SERPINB9,0.9991656
ZNF543,ZNF543,0.9991655
SRPX,SRPX,0.99916434
RAB11FIP2,RAB11FIP2,0.99916387
SCRT2,SCRT2,0.99916357
GPR50,GPR50,0.99916315
RLN3,RLN3,0.99916273
TMLHE,TMLHE,0.99916255
TRAF5,TRAF5,0.9991599
CCDC102A,CCDC102A,0.9991594
KLHDC7A,KLHDC7A,0.9991582
KISS1,KISS1,0.9991581
COMP,COMP,0.99915755
MRPS17,MRPS17,0.99915737
RTN4RL1,RTN4RL1,0.99915695
ZYG11B,ZYG11B,0.9991553
FFAR3,FFAR3,0.99915516
SLIT1,SLIT1,0.9991525
RNF225,RNF225,0.99915206
PRSS35,PRSS35,0.9991503
SUGT1,SUGT1,0.9991503
OR5M1,OR5M1,0.99915016
APOBEC4,APOBEC4,0.9991498
TAAR6,TAAR6,0.9991497
