zebrafish gene name,frog gene name,correlation
si:dkeyp-120h9.1,XB985134,0.98014444
spata18,spata18a,0.9801424
GAS2,gas2,0.9801368
s1pr1,s1pr1,0.98011667
pcsk5b,pcsk5,0.9801098
anapc5,anapc5,0.9801014
xylt2,xylt2,0.9801
dnah6,dnah6,0.9800988
abi2b,abi2,0.98008424
kif1b,kif1c,0.98006314
gnrhr4,gnrhr2,0.9800527
cert1b,cert1,0.980051
SLCO2A1,slco2a1,0.9800361
CUBN,cubn,0.9800293
cemip2,cemip2,0.98002684
RBP3,rbp3,0.9800216
barx2,barx2,0.98002076
matcap2,matcap2,0.980018
dhrs12,dhrs12,0.98001754
QKI,qki,0.98001707
pgrmc2,pgrmc2,0.98001003
amot,amot,0.9800046
ccdc6b,ccdc6,0.98000413
reep3b,reep3,0.9799946
slc2a5,slc2a5,0.979991
mcf2lb,mcf2,0.97998637
csnk1g2a,csnk1g3,0.9799846
POLR3D,polr3d,0.97997624
s1pr2,s1pr2,0.97996753
SGCZ,sgcz,0.9799593
rbms2a,rbms2,0.9799579
acsbg2,acsbg2,0.9799562
wnt8-2,wnt8a,0.9799543
gjc2,gjc2,0.97995174
tax1bp1b,tax1bp1,0.97994506
ccdc93,ccdc93,0.9799267
slc24a5,slc24a5,0.97992647
rorca,rorb.2,0.97992575
lctlb,lctl,0.9799223
irx4a,irx4,0.97992057
osr1,osr1,0.97990876
mpnd,mpnd,0.9799045
atp6v1aa,atp6v1al,0.9798943
LRIG2,lrig2,0.97988814
ift80,ift80,0.979886
jph3b,jph3,0.9798806
acer3,acer3,0.9798768
arhgef7a,arhgef7,0.9798765
fam222bb,fam222b,0.9798728
zfand5a,zfand5,0.979861
wdr24,wdr24,0.97985375
fkbp14,fkbp14,0.9798528
amd1,amd1,0.97983927
pigh,pigh,0.97983474
fosl2,fosl2,0.97983414
xxylt1,xxylt1,0.9798323
pou1f1,pou1f1,0.97983205
cyp4t8,cyp4b1,0.9798306
opn4a,opn4,0.97982365
klf11b,klf10,0.97981775
sdf2l1,sdf2l1,0.9798156
hnrnph1,hnrnph1,0.9798132
keap1b,keap1,0.9798082
hoxb1a,hoxb1,0.979799
sgpl1,sgpl1,0.9797976
enkur,enkur,0.9797967
nipa1,nipa1,0.97978824
exoc4,exoc4,0.97977877
man2a2,man2a2,0.9797651
cass4,cass4,0.9797591
rfx3,rfx2,0.9797572
zhx2a,zhx2,0.9797569
cspg4ba,cspg4b,0.9797494
nr3c2,nr3c2,0.9797486
zdhhc9,zdhhc9,0.97974855
ccdc174,ccdc174,0.9797485
anapc1,anapc1,0.97974837
rxrgb,rxrg,0.9797313
oxtrb,oxtr,0.97973067
neu1,neu1,0.97973007
cpa5,cpa1,0.9797278
psma1,psma1,0.979715
dgke,dgke,0.97971267
pskh1,pskh1,0.97970206
ulk1b,ulk1,0.9796987
rcc1l,rcc1l,0.9796976
gnpda1,gnpda1,0.9796896
atg4a,atg4a,0.979688
foxd5,foxd4l1.1,0.9796834
acsl5,acsl5,0.97968227
gdap1l1,gdap1l1,0.9796813
large2,large2,0.9796745
rpl4,rpl4,0.9796675
MAGI1,magi1,0.9796664
slc5a7a,slc5a7,0.97966313
rab24,rab24,0.97966003
wdr83os,wdr83os,0.97965264
dhx37,dhx37,0.9796492
slc2a8,slc2a8,0.9796488
als2b,als2,0.97963023
tmem259,tmem259,0.9796195
ccna2,ccna2,0.97961706
emc8,emc8,0.9796163
slc7a5,slc7a5,0.9796094
cercam,colgalt2,0.979609
slc16a3a,slc16a3,0.97960186
pex12,pex12,0.97959864
znf341,znf341,0.9795921
ssr1,ssr1,0.97959185
cdk10,cdk10,0.9795893
yipf5,yipf5,0.9795871
anpepb.1,anpep,0.97958624
ildr2,ildr2,0.9795856
aox5,aox1,0.9795828
slc17a5,fam200c,0.97957677
dcn,dcn,0.97957635
gbx2,gbx2,0.97956616
pkmb,pkm,0.9795588
zbed4,zbed4,0.9795444
csrp1b,csrp1,0.97954375
foxo1b,foxo1,0.9795401
vps41,vps41,0.97954005
flrt2,flrt2,0.9795383
borcs7,borcs7,0.979538
glmna,glmn,0.97953504
HAPLN1,hapln1,0.9795191
wee1,wee1,0.9795176
cbln4,cbln4,0.9795162
NEDD4L,nedd4l,0.97951543
epha2a,ephb4,0.97950715
myo9b,myo9b,0.97950065
zfp36l1a,zfp36l2,0.9794977
RIC1,ric1,0.979495
man1a1,man1a2,0.9794934
hoxc11b,hoxd10,0.9794928
snx25,snx25,0.97949094
lancl1,lancl1,0.9794874
itga4,itga4,0.9794809
cfap251,cfap251,0.9794756
gins1,gins1,0.9794746
gcat,gcat,0.9794684
ACOXL,acoxl,0.9794664
SETD5,setd5,0.9794574
rpl18,rpl18,0.97945446
dhx40,dhx40,0.9794398
mrpl37,mrpl37,0.9794397
pex14,pex14,0.9794341
foxp2,foxp2,0.9794291
rab9b,rab9b,0.97942847
lrch1,lrch1,0.97942424
map4k3b,map4k3,0.9794234
smg9,smg9,0.979423
glcea,glce,0.9794167
hsf2,hsf2,0.9794039
nr6a1a,nr6a1,0.979399
gja1a,gja4,0.9793833
luc7l3,luc7l3,0.979365
mta3,mta2,0.9793635
cap2,cap2,0.9793566
mlxip,mlxip,0.97934103
hpca,hpca,0.9793377
suclg1,suclg1,0.97933745
FAM107A,fam107a,0.97933054
stxbp3,stxbp3,0.97933006
hdhd2,hdhd2,0.9793269
sf3b2,sf3b2,0.97932583
kiaa1109,bltp1,0.97932345
uap1,uap1,0.97931856
PIEZO1,piezo1,0.9793093
recql,recql,0.9793073
mxi1,mxi1,0.97930527
dennd6b,dennd6a,0.97930104
bop1,bop1,0.979299
dvl1b,dvl1,0.9792972
ap1s3b,ap1s3,0.9792842
ptpn21,ptpn21,0.97928196
panx2,panx2,0.9792769
gsk3bb,gsk3a,0.9792745
eps8a,eps8,0.97927004
klf6a,klf6,0.9792662
rad52,rad52,0.97926587
spi1b,spi1,0.9792585
lap3,lap3,0.9792523
mad1l1,mad1l1,0.9792512
tet2,tet2,0.97924817
phkg1a,phkg1,0.9792428
nprl2,nprl2,0.9792388
slc24a2,slc24a2,0.97923714
ilvbl,ilvbl,0.9792359
chpfa,chpf,0.9792113
sirt2,sirt2,0.9792086
klhl26,klhl26,0.97920465
si:ch211-11n16.2,zfyve1l,0.9792043
GRXCR1,grxcr1,0.9791995
crlf1a,crlf1,0.9791961
zcchc8,zcchc8,0.97919095
cacnb1,cacnb1,0.9791888
rtkn2,rtkn2,0.97918415
mrvi1,irag1,0.97917944
acvrl1,acvr1,0.9791739
grik3,grik3,0.9791646
bub3,bub3,0.97915685
tbxta,tbxt,0.97915685
mov10a,XB5951253,0.9791534
itcha,wwp1,0.9791416
dbh,dbh,0.97913826
utp23,utp23,0.9791377
pnisr,pnisr,0.9791376
ngly1,ngly1,0.979126
strada,strada,0.979121
letm2,letm2,0.97912097
polr2k,polr2k,0.9791201
mt-nd4l,nd4l,0.9791198
atp8b1,atp8b1,0.9791098
p4ha2,p4ha2,0.9791087
pou2f2a,pou2f2,0.9791052
prdm2b,prdm2,0.9791051
angptl1a,angptl1,0.97910386
bhmt,bhmt,0.9790994
atg4da,atg4d,0.979089
tcf25,tcf25,0.97908115
cldn19,cldn19,0.97907877
dapk3,dapk3,0.97907346
tspan7,tspan7,0.9790705
vezf1b,vezf1,0.9790669
rai1,rai1,0.97906
nlgn3b,acaa1,0.97905934
nansa,nans,0.9790583
runx2a,runx2,0.97905546
clrn1,clrn1,0.97904664
sec63,sec63,0.97904414
dscama,dscaml1,0.9790435
chmp4ba,chmp4b,0.97903633
NBEA,nbeal3,0.97903466
mgat3a,mgat3,0.9790214
frs2a,frs2,0.9790157
mdh2,mdh2,0.9790104
prmt5,prmt5,0.97900903
nck2a,nck2,0.97900635
st3gal3b,st3gal3,0.97899806
eif4enif1,eif4enif1,0.9789978
vipr1b,vipr1,0.9789952
c1qtnf7,c1qtnf7,0.97899306
stab2,stab2,0.9789929
septin5b,septin5,0.97898704
arhgap29b,arhgap29,0.97897786
hip1rb,hip1r,0.9789777
dkk2,dkk2,0.97897726
rxfp2a,rxfp2,0.9789602
msx3,msx2,0.9789505
cacng1a,cacng1,0.9789493
dtl,dtl,0.978948
ndufv1,ndufv1,0.9789462
ntrk3a,ntrk3,0.97894394
fam184aa,fam184a,0.97894096
pex5,pex5,0.97893775
rin2a,rin2,0.9789375
hic2,hic2,0.9789363
cnep1r1,cnep1r1,0.97893536
adipor1a,adipor1,0.97892606
stam2,stam2,0.9789204
cdkl5,cdkl5,0.9789132
clgn,clgn,0.978911
dapk2b,dapk2,0.97890246
hadhb,hadhb,0.9788995
pcare1,pcare,0.9788955
PDE8B,pde8b,0.97889143
znf622,znf622,0.9788816
ano8b,ano8,0.9788776
trim3b,trim2,0.97887164
mvk,mvk,0.9788668
ndst3,ndst3,0.97886467
dad1,dad1,0.97886384
orc1,orc1,0.97886235
uqcc6,c12orf73,0.97885376
ACOT12,acot12,0.97884923
mak,cilk1,0.9788379
slc28a1,slc28a2,0.9788364
gjc4b,gja7,0.97883636
kcnn3,kcnn2,0.97883576
mrc2,mrc2,0.97883207
GRM7,grm7,0.9788233
kcna4,kcna4,0.9788205
dbt,dbt,0.9788177
golga1,golga1,0.97881347
laptm4b,laptm4b,0.97880673
schip1,schip1,0.97880554
pex13,pex13,0.9788007
celf3a,celf3,0.97880036
neurl2,neurl2,0.9787966
ccn4b,ccn4,0.9787927
mtif2,mtif2,0.97879
aldh1a3,aldh1a3,0.9787736
ankrd29,ankrd29,0.9787724
PHIP,phip,0.9787717
cycsb,cycs,0.97876906
mao,maob,0.978763
znf706,znf706l,0.9787593
bcap31,bcap31,0.978759
usp31,usp31,0.97875094
ltv1,ltv1,0.978745
etnk1,ETNK1,0.97873896
mrpl28,mrpl28,0.9787329
EIF4G3,eif4g3,0.9787311
czib,czib,0.97872335
psmb10,psmb7.2,0.97872233
lpar6a,lpar6,0.97872126
acsf3,acsf3,0.9787199
hps5,hps5,0.9787198
smc6,SMC6,0.97871435
mnx1,mnx1,0.97870916
cox5b2,cox5b.2,0.97870755
taf1b,taf1b,0.9787064
syt3,syt3,0.9787059
zfpl1,zfpl1,0.9787059
greb1,greb1,0.97870165
KLHL29,klhl29,0.9787011
gbx1,gbx2.2,0.97869295
NBEAL2,nbeal2,0.9786728
myo1cb,myo1c,0.97867244
tesk2,tesk2,0.9786699
eif2a,eif2a,0.97866917
erbb3b,erbb3,0.97866756
orai2,orai1,0.97866225
sgcd,sgcd,0.9786607
adamts13,adamts13,0.97865856
HTR3A,htr3a,0.97865385
pde9aa,pde9a,0.9786538
mars1,mars1,0.9786512
kpna7,kpna7,0.978646
khdc4,khdc4,0.9786448
slc38a5b,slc38a3,0.9786278
rnf111,rnf111,0.9786216
cart2,mgc145330,0.9786209
oxa1l,oxa1l,0.97861445
cpt2,cpt2,0.978614
baiap2l1b,baiap2l1,0.97860867
zmynd10,zmynd10,0.9786038
NACC1,nacc1,0.97858745
ptmaa,ptma,0.97858226
FLNA,flna,0.9785775
mrpl3,mrpl3,0.9785742
msi2a,msi2,0.9785703
gtf3c5,gtf3c5,0.9785679
adrb2a,adrb2,0.9785618
gdpd5a,gdpd5,0.9785493
maneal,maneal,0.9785425
slc15a1b,slc15a1,0.9785391
hid1b,hid1,0.9785386
tmed7,tmed7,0.97853446
vwa2,vwa2,0.9785309
brox,brox,0.97852916
dgat1a,dgat1,0.97851974
mest,mest,0.97851264
fam83b,fam83b,0.9785107
trmt2a,trmt2a,0.9785032
ndrg1a,ndrg1,0.97849864
mrpl51,mrpl51,0.9784955
rrad,rrad,0.97849345
reep3a,reep4,0.9784929
ttc5,ttc5,0.978489
chp1,chp1,0.97848755
cdk5,cdk5,0.97848636
hectd1,hectd1,0.97848386
sema5ba,sema5b,0.97848266
cdx4,cdx2,0.9784717
mep1a.2,mep1a,0.9784655
pcsk1,pcsk1,0.9784645
mkrn2,mkrn2,0.9784642
fsta,fst,0.97844094
gjb1b,gjb1,0.9784398
slc9a5,slc9a5,0.97843647
znf217,znf217,0.97843087
grhl1,grhl1,0.9784284
lmtk2,lmtk2,0.9784257
nyx,nyx,0.978416
lnx2a,lnx2,0.97841257
crabp1a,crabp1,0.9784125
MATK,matk,0.9784094
jmjd4,jmjd4,0.97840875
mbnl1,mbnl1,0.9784032
TLR7,tlr7,0.9783941
cnn1b,cnn1,0.9783916
psmb4,psmb4,0.9783893
chpt1,chpt1,0.97838575
tnfaip8l2a,tnfaip8l2,0.9783848
polr1a,polr1a,0.97837764
krt97,krt70,0.9783762
gpr185a,gpr185a,0.9783655
ISCU,iscu,0.9783516
aldh1a2,aldh1a2,0.97834736
hapstr1b,hapstr1,0.9783447
abl2,abl2,0.97834307
stc1l,stc1,0.9783386
rnf20,rnf40,0.97833836
sez6b,sez6,0.97833765
brpf3a,brpf3,0.97833717
jag2b,jag2,0.9783326
arid4a,arid4a,0.97833157
lrfn5b,lrfn1,0.978331
coasy,coasy,0.97832936
dars1,dars1,0.9783285
nkx2.3,nkx2-3,0.9783275
tspan14,tspan14,0.9783229
mmut,mmut,0.9783156
flvcr2b,flvcr2,0.97831017
arid3c,ARID3C,0.97830844
pdx1,pdx1,0.9783084
prickle1a,prickle1,0.9783001
smg5,smg5,0.978294
fez1,fez1,0.97828865
add2,add2,0.9782876
gsc,gsc,0.97827756
mtmr2,mtmr2,0.97827023
zc3h13,zc3h13,0.9782638
pcgf5a,pcgf5,0.9782632
plch2a,plch2,0.9782498
mad2l2,mad2l2,0.9782443
caprin1a,caprin1,0.9782402
sin3b,sin3b,0.97823775
sav1,sav1,0.97823393
slc19a1,slc19a1,0.97823393
acot13,acot13,0.9782308
mffb,mff,0.9782288
gcnt4a,gcnt4,0.97822434
per3,per3,0.97822076
enox1,enox1,0.9782191
anxa11a,anxa11,0.97821575
per1b,per1,0.97820944
znf711,znf711,0.97820854
RASSF10,rassf10,0.97820055
chico,tle5,0.97819746
cimap1d,cimap1c,0.97818583
prpf19,prpf19,0.9781817
retsat.2,retsat,0.9781773
klf11a,klf11,0.97816604
rab3db,rab3d,0.97816366
KIF19,kif19,0.97816265
DGKZ,dgkz,0.9781615
pgm3,pgm3,0.97816044
pik3r1,pik3r1,0.9781575
itpa,itpa,0.978149
gemin4,gemin4,0.97813004
lrata,lrat,0.9781285
eif2b2,eif2b2,0.97812814
zc3hc1,zc3hc1,0.9781239
p2rx1,p2rx1,0.97811323
SSX2IP,ssx2ip,0.97810525
zmpste24,zmpste24,0.9781036
nap1l4a,nap1l4,0.97809094
foxb1b,foxb2,0.97808975
acmsd,acmsd,0.9780845
kirrel1b,kirrel1,0.97807866
dis3l,dis3l,0.9780766
rap1gapb,rap1gap2,0.9780742
heatr6,heatr6,0.978061
slc27a4,slc27a4,0.9780564
mmel1,mmel1,0.97805566
sh3rf1,sh3rf1,0.978055
atp1b1b,atp1b1,0.97805315
hoxa5a,hoxb5,0.9780521
slc16a1b,slc16a1,0.9780511
opn5,opn5,0.97804314
tmbim4,tmbim4,0.9780389
chordc1a,chordc1,0.9780356
slc9a8,slc9a8,0.9780332
tpst1,tpst2,0.97803295
col1a1b,col3a1,0.9780317
ezh1,ezh1,0.97802395
nsun2,nsun2,0.9780197
si:ch73-314g15.3,XB5959486,0.9780185
acss2,acss2.1,0.97801507
tmem63c,tmem63c,0.97801435
vash1,vash1,0.9780143
brd1b,brd1,0.9780104
cnppd1,cnppd1,0.9780023
cwc25,cwc25,0.97799593
lypd6,lypd6,0.97799575
tnnt2e,tnnt3,0.97799414
gmppb,gmppb,0.9779938
TATDN3,tatdn3,0.97798944
fancl,fancl,0.9779881
spag9a,spag9,0.97798795
afap1l2,afap1l2,0.9779844
crybb2,crybb2,0.97798246
blcap,blcap,0.9779788
ezra,ezr,0.9779731
med10,med10,0.9779692
arsa,arsa.2,0.97796637
fezf1,fezf1,0.97796565
sap18,sap18,0.9779649
rasl12,rasl12,0.9779601
CFAP43,cfap43,0.97795343
pdcd11,pdcd11,0.9779506
agk,agk,0.9779487
clk2b,clk2,0.97794336
faf2,faf2,0.97793657
mrps35,mrps35,0.97793484
e2f4,e2f4,0.9779285
nudt1,nudt1,0.9779185
zgc:162944,XB5871767,0.9779178
aars1,aars1,0.9779169
cops8,cops8,0.9779073
fus,fus,0.9779014
xirp2b,xirp2,0.9779002
ZC3H12B,zc3h12b,0.9778977
tspan3b,tspan3,0.97789705
dhodh,dhodh,0.97789603
spsb3a,spsb3,0.9778929
skic2,skic2,0.97787946
cacna1ia,cacna1i,0.97786987
prss1,prss2,0.9778657
dgcr2,dgcr2,0.9778605
eif4ebp2,eif4ebp2,0.97785985
tspan13b,tspan13,0.9778571
ddx55,ddx55,0.9778563
rbks,rbks,0.9778534
aph1b,aph1a,0.97784925
xrcc1,xrcc1,0.97784704
eif6,eif6,0.97784066
atcayb,atcay,0.97783935
hivep1,hivep1,0.977833
akt3b,akt1,0.9778324
smg1,smg1,0.9778317
mitfb,mitf,0.9778299
cacng2b,cacng2,0.9778275
pcif1,pcif1,0.97782177
pax1a,pax9,0.9778209
ncam1a,ncam1,0.9778204
shisa9b,shisa9,0.9778171
mipa,mip,0.97781676
ap1b1,ap1b1,0.9778071
nhlrc2,nhlrc2,0.9778066
napbb,napb,0.9777944
gpc1b,gpc1,0.97779393
tsc2,tsc2,0.97779393
irx4b,IRX6,0.97779334
man1b1b,man1b1,0.977791
cip2a,cip2a,0.97778624
marcksb,marcks,0.9777842
dtd1,dtd1,0.97778153
MMP17,mmp17,0.97778016
rab38c,rab38,0.977774
cdk5r1a,cdk5r1,0.9777726
fgf20b,fgf9,0.97776574
impdh1a,impdh1,0.9777592
tubd1,tubd1,0.97775054
cables2b,cables1,0.9777494
rprd1b,rprd1b,0.9777468
ANTXR1,antxr1,0.977742
hadh,hadh,0.97773904
utp3,utp3,0.9777292
pbrm1,pbrm1,0.9777194
znf750,znf750,0.9777165
idh3b,idh3b,0.9777148
serac1,serac1,0.9777118
dnaja1,dnaja4.2,0.97770965
cfap144,fam183b,0.97770935
hoxa1a,hoxa1,0.97770286
adam23a,adam23,0.97770274
dnajb9a,dnajb9,0.97770244
lpar4,lpar4,0.97768855
fn1b,fn1,0.9776853
TNRC6A,tnrc6a,0.9776781
macir,macir,0.97767675
tomm22,tomm22,0.97766685
SGIP1,sgip1,0.9776608
ythdf2,ythdf1,0.9776597
cckar,cckar,0.9776564
camk2a,camk2a,0.97765017
chn2,chn2,0.9776478
tm2d3,tm2d3,0.97764665
mrtfba,mrtfb,0.97764647
ptpn23a,ptpn23,0.9776446
spred2b,spred2,0.9776441
melk,melk,0.97764105
asap2a,XB5826631,0.9776403
cacfd1,CACFD1,0.9776398
esd,esd,0.9776389
nol10,nol10,0.9776363
gpc6a,gpc4,0.9776362
steap2,steap2,0.97763383
fbxo31,fbxo31,0.97763187
slc13a1,slc13a4l,0.97763187
rargb,rarb,0.97763014
rlim,rlim,0.9776289
chrng,chrng,0.97762525
mccc1,mccc1,0.9776206
trpv1,trpv1,0.97761035
ilk,ilk,0.97760946
exosc7,exosc7,0.97759587
alkbh5,alkbh5,0.9775927
alpi.2,alpi.2,0.97757983
ren,ren,0.9775726
znf592,znf592,0.9775724
sigmar1,sigmar1,0.97757
pigs,pigs,0.9775672
chst3a,chst3,0.97756374
CCDC172,ccdc172,0.9775612
acvr2bb,acvr2b,0.9775607
rp2,rp2,0.9775539
rapgefl1,rapgefl1,0.9775499
EGFLAM,egflam,0.97754943
gpr75,gpr75,0.9775442
setd6,setd6,0.97753936
ccne1,ccne1,0.9775373
sdr16c5a,sdr16c5,0.97753453
pappa2,pappa2,0.97753274
sox10,sox10,0.97753185
mfsd6a,mfsd6,0.9775234
ubtd2,ubtd2,0.97751665
slc9a2,slc9a2,0.97751325
trmt6,trmt6,0.9775035
dlx2a,dlx2,0.977503
leo1,leo1,0.9774997
clstn2a,clstn2,0.9774994
UNC80,unc80,0.97749716
mybpha,mybph,0.9774966
ldb3a,ldb3,0.9774963
has2,has2,0.97749007
wu:fb44b02,numa1,0.9774841
prep,prep,0.97748244
gmpr2,gmpr2,0.9774777
rprml,RPRML,0.9774765
wdr44,wdr44,0.97747225
rfx7b,rfx7,0.97747076
ier3ip1,ier3ip1,0.9774688
plekhm2,plekhm2,0.97746795
rwdd1,rwdd1,0.9774591
uts2r5,uts2rl3,0.97745275
map3k20a,map3k20,0.97744894
arl6ip1,arl6ip1,0.9774458
adss2,adss2,0.9774453
cyp46a1.1,cyp46a1.6,0.97743326
sv2bb,sv2b,0.9774292
nmt1a,nmt1,0.97742593
capn3b,capn3,0.9774248
homer3b,homer3,0.9774236
dcun1d1,dcun1d1,0.97741324
timm22,timm22,0.9774094
tnfaip8l1,tnfaip8,0.9774091
tspan9a,tspan9,0.97740847
HCN4,hcn4,0.97739255
adpgk,adpgkl,0.97738886
slkb,stk10,0.977376
srfa,srf,0.9773752
LEPROTL1,leprotl1,0.97736895
btbd17a,btbd17,0.9773684
rgs20,rgs20,0.97736377
mmp14a,mmp14,0.9773633
EPHB2,ephb1,0.9773592
fam3a,fam3a,0.9773588
fbxo30a,fbxo30,0.9773493
ints12,ints12,0.97733766
flt4,flt4,0.9773352
srrm4,SRRM4,0.977324
orc5,orc5,0.9773146
DAB2,dab2,0.97731036
kcnip1b,kcnip1,0.97730255
vax2,vax2,0.9773001
prelid1a,prelid1,0.97729695
klhl23,klhl23,0.9772951
nsun4,nsun4,0.97728705
ahr1b,ahr,0.97728527
nsd3,nsd3,0.9772843
tra2b,tra2b,0.97727966
AK6,ak6,0.9772765
ubald2,ubald2,0.97726977
ccdc102a,ccdc102a,0.9772683
cox7a2l,cox7a2l,0.97726786
hook1,hook1,0.9772628
selenot1a,selenot,0.97726154
taf8,taf8,0.9772607
mrps34,mrps34,0.97726005
dctn1a,art5,0.97726
tmem184c,tmem184c,0.97725904
ufsp2,ufsp2,0.9772582
cacng7a,cacng7,0.9772576
psat1,psat1,0.9772507
slc16a7,slc16a7,0.97724783
guk1a,guk1,0.9772432
scara5,scara5,0.9772398
plaat1,plaat1,0.9772393
sdhb,sdhb,0.9772305
calb1,calb1,0.9772275
cdadc1,cdadc1,0.9772259
srek1ip1,srek1ip1,0.9772238
h2af1al,h2ac17,0.9772179
txnipa,txnip,0.97721666
efna2a,efna2,0.97721577
DGKB,dgkb,0.9772154
bcl11ab,bcl11b,0.9772147
nutf2,nutf2,0.9772099
cnrip1b,cnrip1,0.97719944
ldhba,ldhb,0.97719836
kdm4ab,kdm4c,0.97719777
rpl30,rpl30,0.9771951
dag1,dag1,0.9771899
bag2,bag2,0.9771877
eno3,eno3,0.9771877
anapc11,anapc11,0.9771863
prelid3a,prelid3a,0.9771843
epb41l5,epb41l5,0.9771826
satb2,satb2,0.9771691
rsph4a,rsph6a,0.9771587
mbd3a,mbd2,0.9771574
serp2,serp2,0.97715497
capzb,capzb,0.9771504
uqcrq,uqcrq,0.9771372
fbxo34,fbxo34,0.97713363
tmed10,tmed10,0.9771322
ugcg,ugcg,0.97712827
MAGI3,magi3,0.977123
pogzb,pogz,0.9771208
acsl1b,acsl1,0.9771103
rpl11,rpl11,0.97710824
pigo,pigo,0.9771025
zfand1,zfand1,0.97709715
b3galt6,b3galt6,0.9770955
klhl38b,klhl38,0.9770951
atic,atic,0.977094
bckdk,bckdk,0.97709143
sec22a,sec22a,0.97708917
ttc39c,ttc39c,0.97708213
bmp2b,bmp2,0.97706926
zdhhc23b,zdhhc23,0.97706455
cept1a,cept1,0.97705024
sys1,sys1,0.97705024
nptx2b,nptx2,0.9770498
tex261,tex261,0.9770497
cwc27,cwc27,0.9770393
pdap1b,pdap1,0.97703356
fam168a,fam168a,0.9770265
synpra,synpr,0.97701997
ube2g2,ube2g2,0.9770191
smo,smo,0.9770174
cav1,cav1,0.97700334
trim62.1,trim62,0.9770026
setbp1,setbp1,0.97700065
fancd2,fancd2,0.97699994
rgra,rgr,0.9769886
sars2,sars2,0.97698784
ikbke,ikbke,0.9769796
faxdc2,faxdc2,0.97697794
gpbp1l1,gpbp1l1,0.9769766
frzb,frzb,0.97697437
bbip1,BBIP1,0.97696483
KCNIP4,kcnip4,0.97695315
MSANTD2,msantd2,0.976946
plekha1a,plekha1,0.9769425
lrrc8db,lrrc8d,0.97694165
stat1a,stat4,0.976937
rab12,rab12,0.97693545
UTP14A,utp14a,0.97693527
cmah,cmah,0.9769345
mrpl38,mrpl38,0.9769342
eif4e2rs1,eif4e2,0.9769325
tmtc2a,tmtc2,0.9769295
kiaa0513,KIAA0513,0.97691184
aagab,aagab,0.9769094
dis3l2,dis3l2,0.97690034
b3galt1a,b3galt1,0.97689533
nos2b,nos2,0.97689366
kdm2bb,kdm2b,0.97688735
hoxd9a,hoxd9,0.97688556
hey1,hey1,0.976885
slc6a22.1,slc6a6,0.97688186
epdr1,epdr1,0.9768761
paqr5b,paqr5,0.9768745
bmal1b,arntl2,0.9768614
clns1a,clns1a,0.97685766
ccdc15,ccdc15,0.97685623
retreg3,retreg3,0.9768471
rps11,rps11,0.97684264
ankrd34bb,ankrd34b,0.9768404
mlec,mlec,0.9768357
apex2,apex2,0.9768338
tpm4b,tpm4,0.9768257
mapkapk3,mapkapk3,0.97682285
dll4,dll4,0.9768216
rad9a,rad9a,0.9768208
wdr26b,wdr26,0.9768133
espn,espn,0.97680414
brf1b,brf1,0.97679025
mtnr1bb,MTNR1B,0.976788
elovl4a,elovl4,0.9767832
adgb,adgb,0.9767742
dlx3b,dlx3,0.9767719
ndufs3,ndufs3,0.97675884
kif7,kif7,0.97675765
bysl,bysl,0.9767403
aktip,aktip,0.9767367
st6galnac5b,st6galnac5,0.97673225
hoxc12a,hoxc12,0.976731
arl8,arl5b,0.9767299
lims1,lims1,0.97672915
ARHGEF10,arhgef10,0.9767238
stard15,stard15,0.97672105
osgepl1,osgepl1,0.9767194
fuca1.2,fuca1,0.9767132
cnbpa,cnbp,0.97670954
TBC1D22B,tbc1d22b,0.9767084
pkn3,pkn3,0.976703
septin9b,septin3,0.97670037
pald1a,pald1,0.97669894
ifih1,ifih1,0.97669405
ctsf,ctsf,0.9766937
mt-nd6,nd6,0.9766922
naa60,naa60,0.97669125
vav2,vav3,0.976689
HSPG2,hspg2,0.97668713
stc2a,stc2,0.9766852
snx30,snx30,0.97668284
LARS1,lars1,0.97667915
ncam2,ncam2,0.97667515
prim2,prim2,0.97665787
chst14,chst14,0.9766559
selenoi,selenoi,0.9766528
shank2b,shank2,0.97665024
crebbpa,crebbp,0.97664195
gata3,gata3,0.976638
sf3b4,sf3b4,0.9766272
rrh,rrh,0.97662705
slc40a1,slc40a1,0.9766248
agxta,agxt,0.97662395
gja5b,gja5,0.976619
btbd2b,btbd2,0.9766188
gdf10b,gdf10,0.9766057
slc26a6l2,slc26a6,0.9766009
angpt2a,angpt2,0.9765995
tmed4,tmed9,0.97659606
eif2b1,eif2b1,0.97659403
sipa1l1,sipa1l1,0.97658706
smad10b,smad10,0.9765855
ogfod1,ogfod1,0.97657746
myf5,myf5,0.976571
rpl10a,rpl10a,0.9765668
klf12b,klf12,0.9765649
ctsk,ctsk,0.9765566
brms1lb,brms1l,0.97655493
dhrs11a,dhrs11,0.9765522
FBN2,fbn1,0.9765475
hlx1,hlx,0.9765421
foxi1,foxi1,0.9765386
cers2a,cers2,0.9765279
gnrhr2,gnrhr,0.9765168
map2k5,map2k5,0.9765155
rps3a,rps3a,0.97650033
mier3b,mier3,0.97649664
prkx,prkx,0.9764889
klc4,klc4,0.97648734
tiam1b,tiam1,0.9764827
rps6kb1a,rps6kb1,0.9764749
atp6v0b,atp6v0b,0.9764745
sec24d,sec24d,0.9764631
smarce1,smarce1,0.97646105
cenpi,cenpi,0.97644687
as3mt,as3mt.2,0.9764453
