chimpanzees gene name,gorillas gene name,correlation
FOXO3,FOXO3,0.99967617
C15H15orf39,C15orf39,0.9996761
PRSS38,PRSS38,0.99967605
TMEM30B,TMEM30B,0.99967575
FAM13A,FAM13A,0.9996757
SCN2B,SCN2B,0.99967563
DNALI1,DNALI1,0.99967545
YEATS2,YEATS2,0.9996752
OR1J2,OR1J2,0.999675
F13B,F13B,0.9996749
C1QA,C1QA,0.99967474
IZUMO3,IZUMO3,0.9996747
PRSS12,PRSS12,0.9996744
TDRD5,TDRD5,0.99967414
GPR182,GPR182,0.9996741
SEMA4C,SEMA4C,0.99967396
ITGAX,ITGAX,0.9996739
NGRN,NGRN,0.9996739
CSPP1,CSPP1,0.9996736
CHRM2,CHRM2,0.99967337
NRAP,NRAP,0.99967337
TMEM174,TMEM174,0.99967337
CYP7A1,CYP7A1,0.99967325
MEF2B,MEF2B,0.9996731
GPR179,GPR179,0.99967307
THEM5,THEM5,0.99967307
FPR1,FPR1,0.9996726
HIVEP1,HIVEP1,0.9996726
HRH4,HRH4,0.9996726
SALL2,SALL2,0.99967253
CDK3,CDK3,0.99967223
SLC30A6,SLC30A6,0.9996721
IMMT,IMMT,0.9996719
MORC3,MORC3,0.9996718
ADA,ADA,0.99967164
PPFIBP2,PPFIBP2,0.9996716
ZNHIT1,ZNHIT1,0.9996714
HMG20A,HMG20A,0.9996712
TTC9,TTC9,0.9996712
ADAM22,ADAM22,0.9996706
PPID,PPID,0.9996704
WFS1,WFS1,0.9996703
CNOT6,CNOT6,0.9996702
FNDC3A,FNDC3A,0.9996701
SLC26A4,SLC26A4,0.9996701
LRRC9,LRRC9,0.9996699
NKX2-8,NKX2-8,0.9996698
EHBP1L1,EHBP1L1,0.9996697
TSGA10,TSGA10,0.9996694
HENMT1,HENMT1,0.99966884
NBAS,NBAS,0.99966884
OGFOD1,OGFOD1,0.9996687
PSMB10,PSMB10,0.9996686
SUGP1,SUGP1,0.9996686
TDP2,TDP2,0.99966854
RORB,RORB,0.9996684
GRP,GRP,0.99966836
MRPL38,MRPL38,0.99966824
GPC5,GPC5,0.9996682
BSPRY,BSPRY,0.99966764
TM7SF2,TM7SF2,0.99966764
KRT35,KRT35,0.9996676
MOB3B,MOB3B,0.99966747
PRR15,PRR15,0.9996673
CRYGA,CRYGA,0.9996672
FKTN,FKTN,0.9996672
TGM2,TGM2,0.99966705
SLC16A4,SLC16A4,0.99966687
PGM2,PGM2,0.9996666
HIF3A,HIF3A,0.9996665
NHLRC2,NHLRC2,0.9996665
DYNC1I2,DYNC1I2,0.99966615
ADRA2A,ADRA2A,0.9996661
ANKRD42,ANKRD42,0.9996661
SLC46A1,SLC46A1,0.99966604
ENTPD7,ENTPD7,0.9996659
OTC,OTC,0.99966586
SPRY1,SPRY1,0.9996656
G6PC3,G6PC3,0.99966556
STX7,STX7,0.99966556
HSPH1,HSPH1,0.9996655
FCAMR,FCAMR,0.99966544
NDUFS1,NDUFS1,0.99966544
TLL1,TLL1,0.99966544
IL20,IL20,0.99966514
PENK,PENK,0.99966484
SLC66A2,SLC66A2,0.99966484
CD200,CD200,0.99966466
ZBTB48,ZBTB48,0.99966466
BMP6,BMP6,0.9996644
MANBA,MANBA,0.9996643
DNAH11,DNAH11,0.9996642
OPN5,OPN5,0.9996641
MAB21L3,MAB21L3,0.9996639
HR,HR,0.99966383
SGCD,SGCD,0.99966383
RFX1,RFX1,0.9996638
APMAP,APMAP,0.99966365
TANGO2,TANGO2,0.99966365
APOA5,APOA5,0.99966335
CTH,CTH,0.99966335
TBC1D32,TBC1D32,0.99966323
KNL1,KNL1,0.99966305
IGSF6,IGSF6,0.9996629
PYCR3,PYCR3,0.9996629
GSDMA,GSDMA,0.99966234
ZNF234,ZNF234,0.9996621
SLCO2B1,SLCO2B1,0.9996618
LGALS1,LGALS1,0.9996617
CATIP,CATIP,0.9996615
TMEM127,TMEM127,0.9996613
STAU2,STAU2,0.99966115
AREL1,AREL1,0.9996611
PGLYRP3,PGLYRP3,0.9996611
POGLUT2,POGLUT2,0.9996609
VGLL2,VGLL2,0.99966055
PALMD,PALMD,0.9996603
HNRNPUL2,HNRNPUL2,0.99966025
NBR1,NBR1,0.99966025
DNAJC25,DNAJC25,0.99966013
FBL,FBL,0.99966013
FBXL8,FBXL8,0.99966013
HAND1,HAND1,0.9996601
CEBPE,CEBPE,0.99966
TDRP,TDRP,0.99965996
PLCH2,PLCH2,0.9996596
REM1,REM1,0.9996596
ACMSD,ACMSD,0.99965954
CAVIN2,CAVIN2,0.9996595
FANCM,FANCM,0.9996595
GJA3,GJA3,0.9996595
DOCK6,DOCK6,0.99965936
ZNF687,ZNF687,0.9996591
NEB,NEB,0.99965906
ADAMTSL1,ADAMTSL1,0.999659
AKAP5,AKAP5,0.999659
PATR-DRA,HLA-DRA,0.99965894
SLC2A3,SLC2A3,0.9996586
NELL1,NELL1,0.99965847
P2RY11,P2RY11,0.9996583
DSC3,DSC3,0.99965817
SLC30A3,SLC30A3,0.99965805
WDHD1,WDHD1,0.99965805
ZBED4,ZBED4,0.99965805
MRGPRX4,MRGPRX4,0.99965787
SPINT2,SPINT2,0.9996578
CPEB3,CPEB3,0.99965775
GPX8,GPX8,0.9996576
SEPTIN6,SEPTIN6,0.9996576
SLC30A10,SLC30A10,0.9996576
ZKSCAN5,ZKSCAN5,0.9996575
LTV1,LTV1,0.99965745
STAP2,STAP2,0.99965745
MTRF1L,MTRF1L,0.99965703
AKAP11,AKAP11,0.999657
ZBTB24,ZBTB24,0.999657
C5,C5,0.9996567
SLC9B2,SLC9B2,0.9996565
SRPK3,SRPK3,0.99965644
VLDLR,VLDLR,0.9996563
TRAPPC12,TRAPPC12,0.99965626
CAPN1,CAPN1,0.9996557
EIF2AK1,EIF2AK1,0.9996557
GAS2L1,GAS2L1,0.99965566
SLC4A10,SLC4A10,0.99965566
WDR7,WDR7,0.9996556
PLA2G4F,PLA2G4F,0.9996555
SULT2A1,SULT2A1,0.99965537
LARGE2,LARGE2,0.99965495
LAMC1,LAMC1,0.99965477
CFP,CFP,0.9996547
DHX36,DHX36,0.9996547
SYT9,SYT9,0.9996547
TP53RK,TP53RK,0.9996547
SELL,SELL,0.99965465
SGCE,SGCE,0.99965465
FAM83F,FAM83F,0.9996546
FRK,FRK,0.99965453
CRACD,CRACD,0.9996545
FGG,FGG,0.9996543
LRRD1,LRRD1,0.9996542
PCDH20,PCDH20,0.9996539
MFAP4,MFAP4,0.99965376
EFCC1,EFCC1,0.9996537
HPX,HPX,0.9996537
MAP1LC3A,MAP1LC3A,0.99965364
NPM3,NPM3,0.9996536
NCR1,NCR1,0.9996534
CCDC191,CCDC191,0.99965334
MINDY4,MINDY4,0.99965334
KBTBD2,KBTBD2,0.9996532
NALF1,NALF1,0.9996532
LYL1,LYL1,0.99965304
GAL3ST1,GAL3ST1,0.99965286
CRP,CRP,0.9996527
UBA7,UBA7,0.9996527
CDCA4,CDCA4,0.9996526
TFAP4,TFAP4,0.9996526
PLSCR4,PLSCR4,0.99965245
ZSCAN25,ZSCAN25,0.99965245
CENPJ,CENPJ,0.99965215
PINK1,PINK1,0.99965215
SEMA6D,SEMA6D,0.99965215
TCTE1,TCTE1,0.99965197
AMFR,AMFR,0.9996519
NCBP3,NCBP3,0.99965155
NPHP3,NPHP3,0.99965113
MVP,MVP,0.999651
HPF1,HPF1,0.99965066
PPP1R16A,PPP1R16A,0.99965066
YWHAG,YWHAG,0.99965054
NPAP1,NPAP1,0.99965036
SERPINB1,SERPINB1,0.9996502
CASP4,CASP4,0.9996501
PNMA8C,PNMA8C,0.99965006
PZP,PZP,0.99964994
TGDS,TGDS,0.99964994
SPMIP7,SPMIP7,0.9996498
ACAP3,ACAP3,0.99964976
OXCT1,OXCT1,0.9996497
PARP1,PARP1,0.9996497
SPRY3,SPRY3,0.9996496
AGR3,AGR3,0.9996493
CCL19,CCL19,0.99964917
ATP1A3,ATP1A3,0.9996488
OPRK1,OPRK1,0.9996486
DESI2,DESI2,0.9996484
MYO7A,MYO7A,0.99964815
PKN2,PKN2,0.9996481
P2RY6,P2RY6,0.99964803
GPR119,GPR119,0.9996477
TMPRSS6,TMPRSS6,0.99964756
PLCB1,PLCB1,0.9996475
SLC38A9,SLC38A9,0.9996474
TM7SF3,TM7SF3,0.9996474
LRP10,LRP10,0.9996473
ANKFN1,ANKFN1,0.9996472
FYCO1,FYCO1,0.999647
CRTC2,CRTC2,0.9996468
SLC33A1,SLC33A1,0.9996466
MINAR1,MINAR1,0.9996463
TEP1,TEP1,0.9996462
SLC13A4,SLC13A4,0.99964577
RIMOC1,RIMOC1,0.9996457
GCG,GCG,0.9996456
RNF8,RNF8,0.9996456
ATP10B,ATP10B,0.99964553
ARHGEF40,ARHGEF40,0.9996454
LRRC52,LRRC52,0.9996454
ADAM8,ADAM8,0.9996453
HTR3A,HTR3A,0.9996453
IL22RA2,IL22RA2,0.99964523
SNAP25,SNAP25,0.99964505
OR52A5,OR52A5,0.9996444
CCDC51,CCDC51,0.99964416
NIPSNAP3A,NIPSNAP3A,0.9996441
EIF2B2,EIF2B2,0.99964404
DOP1B,DOP1B,0.99964374
DZIP3,DZIP3,0.9996436
ESCO2,ESCO2,0.99964356
LACTB,LACTB,0.99964345
TMEM45B,TMEM45B,0.99964345
SEC61A2,SEC61A2,0.9996434
ECE2,ECE2,0.99964315
GRXCR1,GRXCR1,0.999643
IL1A,IL1A,0.999643
NGDN,NGDN,0.999643
ZFYVE19,ZFYVE19,0.9996427
ZNF407,ZNF407,0.9996426
CYP4V2,CYP4V2,0.9996425
PORCN,PORCN,0.9996425
ANO2,ANO2,0.9996424
STX16,STX16,0.9996417
NFIC,NFIC,0.99964166
PRDM14,PRDM14,0.99964154
OLFML1,OLFML1,0.999641
SERINC2,SERINC2,0.99964094
SIRT7,SIRT7,0.9996409
MLYCD,MLYCD,0.99964064
NAGLU,NAGLU,0.99964046
SSNA1,SSNA1,0.9996402
KIF5A,KIF5A,0.9996399
TNFSF11,TNFSF11,0.9996398
NPNT,NPNT,0.99963963
ASTL,ASTL,0.9996396
PROC,PROC,0.9996396
ANO1,ANO1,0.9996395
IRS4,IRS4,0.9996395
GK,GK,0.99963945
UBR3,UBR3,0.99963933
KRT15,KRT15,0.9996392
ELP1,ELP1,0.99963903
MRPS5,MRPS5,0.99963903
COMMD9,COMMD9,0.9996387
ANKRD28,ANKRD28,0.99963856
ELMO3,ELMO3,0.99963856
HPN,HPN,0.9996379
ZNF512B,ZNF512B,0.99963784
SERTAD4,SERTAD4,0.99963766
SYTL1,SYTL1,0.99963766
IKZF3,IKZF3,0.999637
AOC3,AOC3,0.9996367
ERICH3,ERICH3,0.99963653
RWDD1,RWDD1,0.9996365
SUFU,SUFU,0.9996365
ZNF74,ZNF74,0.9996362
CEP131,CEP131,0.99963593
FRAS1,FRAS1,0.9996358
POPDC2,POPDC2,0.9996356
SLC30A5,SLC30A5,0.9996356
KRT25,KRT25,0.99963546
TMEM132C,TMEM132C,0.9996354
FOXRED2,FOXRED2,0.9996353
HDLBP,HDLBP,0.9996352
MTCL3,SOGA3,0.99963516
ARPC1B,ARPC1B,0.99963504
FBXO40,FBXO40,0.9996349
BTBD19,BTBD19,0.99963486
FAM83G,FAM83G,0.99963474
RD3L,RD3L,0.9996345
KRR1,KRR1,0.9996344
NOL6,NOL6,0.9996344
INSM2,INSM2,0.99963427
BORA,BORA,0.9996342
TRPC4,TRPC4,0.9996338
GHRH,GHRH,0.99963367
ASAP1,ASAP1,0.9996336
ZIK1,ZIK1,0.9996333
ARFIP1,ARFIP1,0.99963313
C1H1orf74,C1orf74,0.99963313
ZCCHC24,ZCCHC24,0.99963295
RP2,RP2,0.9996329
ASPM,ASPM,0.99963284
TAF11,TAF11,0.99963284
ADRA1A,ADRA1A,0.9996328
SLC6A7,SLC6A7,0.9996328
HHIPL2,HHIPL2,0.9996327
PHACTR3,PHACTR3,0.9996327
CNOT7,CNOT7,0.9996325
AIRIM,AIRIM,0.9996324
ASB13,ASB13,0.9996324
IL4I1,IL4I1,0.99963236
NLRP10,NLRP10,0.99963236
RAB27B,RAB27B,0.99963236
SRD5A3,SRD5A3,0.9996322
FUT7,FUT7,0.999632
PJVK,PJVK,0.9996319
PTPRZ1,PTPRZ1,0.99963176
PAPPA2,PAPPA2,0.9996317
CCDC15,CCDC15,0.99963164
EHD3,EHD3,0.9996315
PPP1R27,PPP1R27,0.9996314
NPM2,NPM2,0.9996313
LRTM2,LRTM2,0.9996311
ZBTB20,ZBTB20,0.99963087
STXBP4,STXBP4,0.9996308
ELMOD2,ELMOD2,0.99963075
MAP2K5,MAP2K5,0.9996305
ZNF461,ZNF461,0.99963033
RBM47,RBM47,0.99962986
SCML2,SCML2,0.99962986
LDHD,LDHD,0.99962974
LIN28B,LIN28B,0.9996296
SERPING1,SERPING1,0.9996296
SLC12A3,SLC12A3,0.99962956
STAT3,STAT3,0.9996294
TMEM218,TMEM218,0.9996294
LRRC2,LRRC2,0.9996292
RAB9B,RAB9B,0.99962914
MCTP1,MCTP1,0.9996291
DIP2A,DIP2A,0.9996289
AMHR2,AMHR2,0.9996287
TMC2,TMC2,0.9996287
RABGAP1,RABGAP1,0.99962866
MYOZ1,MYOZ1,0.9996285
SLC5A5,SLC5A5,0.9996283
PWWP2A,PWWP2A,0.99962807
KIF21A,KIF21A,0.9996278
TOGARAM1,TOGARAM1,0.9996276
LDHAL6B,LDHAL6B,0.9996275
NAGA,NAGA,0.9996275
SUPT5H,SUPT5H,0.99962735
SCAND3,SCAND3,0.9996269
AGTR1,AGTR1,0.9996268
SCFD2,SCFD2,0.9996266
S1PR2,S1PR2,0.9996265
COG7,COG7,0.99962634
MRPL3,MRPL3,0.99962634
POGZ,POGZ,0.999626
PLEKHO2,PLEKHO2,0.99962586
RPS20,RPS20,0.9996257
ZNF503,ZNF503,0.9996256
HTRA2,HTRA2,0.99962556
SCYL1,SCYL1,0.9996253
LIMS2,LIMS2,0.99962527
FAM222A,FAM222A,0.9996252
PKLR,PKLR,0.9996251
UBN2,UBN2,0.99962455
ZNF70,ZNF70,0.99962455
CLCNKA,CLCNKA,0.9996243
CDAN1,CDAN1,0.9996242
E2F1,E2F1,0.99962413
GIMAP8,GIMAP8,0.999624
ZNF467,ZNF467,0.999624
HGS,HGS,0.99962384
OLFML2B,OLFML2B,0.9996237
FMO2,FMO2,0.99962366
SRP9,SRP9,0.9996236
NCAPG,NCAPG,0.99962336
ZNF667,ZNF667,0.999623
ANKRD33,ANKRD33,0.99962294
NMI,NMI,0.9996228
ITGA2,ITGA2,0.9996225
TBC1D22B,TBC1D22B,0.9996225
CDKL1,CDKL1,0.9996223
MSX1,MSX1,0.9996223
EIF1AD,EIF1AD,0.99962217
PARS2,PARS2,0.9996221
SLC12A2,SLC12A2,0.99962205
SLC14A2,SLC14A2,0.9996219
KIF6,KIF6,0.9996216
GALNT5,GALNT5,0.9996215
HOXB5,HOXB5,0.99962145
TSPYL4,TSPYL4,0.9996214
CD180,CD180,0.9996211
KYAT1,KYAT1,0.99962103
MED15,MED15,0.99962074
KCNK13,KCNK13,0.99962044
SLC27A3,SLC27A3,0.9996204
PRKAG3,PRKAG3,0.9996202
PUM2,PUM2,0.9996202
TCF19,TCF19,0.9996197
ZNF17,ZNF17,0.99961966
USP31,USP31,0.99961954
ZNHIT2,ZNHIT2,0.9996195
PGGHG,PGGHG,0.99961936
STS,STS,0.9996191
APOLD1,APOLD1,0.99961907
OGN,OGN,0.99961877
USP48,USP48,0.9996186
TXNL1,TXNL1,0.99961835
HCN3,HCN3,0.99961793
CCP110,CCP110,0.9996177
AGGF1,AGGF1,0.9996176
DDX10,DDX10,0.9996174
TXNDC16,TXNDC16,0.9996174
PHAF1,PHAF1,0.99961716
TRPS1,TRPS1,0.9996171
PDE6C,PDE6C,0.99961656
CENPB,CENPB,0.9996165
ZNF586,ZNF586,0.9996165
TPRG1,TPRG1,0.99961644
SAT2,SAT2,0.9996161
VIT,VIT,0.99961597
ADO,ADO,0.9996154
AP1G2,AP1G2,0.99961525
CHRNA3,CHRNA3,0.99961525
COL24A1,COL24A1,0.99961525
TNN,TNN,0.99961483
AOX1,AOX1,0.9996148
PAK1IP1,PAK1IP1,0.9996147
ZPR1,ZPR1,0.9996147
MRPL28,MRPL28,0.9996146
ATOX1,ATOX1,0.9996145
GPR101,GPR101,0.9996145
FCHO1,FCHO1,0.99961436
SSR1,SSR1,0.9996142
KLHL35,KLHL35,0.99961406
ESPNL,ESPNL,0.999614
KPRP,KPRP,0.9996139
DENND1B,DENND1B,0.99961376
SOX9,SOX9,0.99961376
SPINK1,SPINK1,0.9996133
TYMP,TYMP,0.9996133
NECTIN2,NECTIN2,0.99961317
ERBB2,ERBB2,0.9996131
LACTBL1,LACTBL1,0.99961287
C6H6orf58,C6orf58,0.9996127
PRSS56,PRSS56,0.9996127
CARD11,CARD11,0.9996126
TPM1,TPM1,0.9996126
WDPCP,WDPCP,0.99961245
BTN1A1,BTN1A1,0.99961203
CC2D1B,CC2D1B,0.99961203
INTS6L,INTS6L,0.999612
C1QTNF7,C1QTNF7,0.9996119
TMEM185A,TMEM185A,0.9996119
KPNA6,KPNA6,0.9996117
STON2,STON2,0.99961144
RNF32,RNF32,0.9996114
AMER3,AMER3,0.9996113
NSRP1,NSRP1,0.9996112
INSRR,INSRR,0.99961096
ZNF668,ZNF668,0.99961084
ZNF232,ZNF232,0.9996107
CEP152,CEP152,0.99961066
LPAR1,LPAR1,0.9996106
BPIFB2,BPIFB2,0.9996103
HSCB,HSCB,0.9996102
MFSD4B,MFSD4B,0.99960977
ATAD5,ATAD5,0.99960965
OLFM4,OLFM4,0.9996094
BSDC1,BSDC1,0.99960923
PDE4A,PDE4A,0.9996091
GPR151,GPR151,0.99960893
ZNF607,ZNF607,0.9996088
NCOA6,NCOA6,0.99960876
CFAP210,CFAP210,0.99960846
DNAJC22,DNAJC22,0.9996084
ZNF785,ZNF785,0.99960834
NRBP1,NRBP1,0.99960816
HIF1AN,HIF1AN,0.99960804
HMGCL,HMGCL,0.99960804
TMEM245,TMEM245,0.9996079
BTBD18,BTBD18,0.99960786
KCTD13,KCTD13,0.99960786
SLC17A3,SLC17A3,0.99960774
COL1A2,COL1A2,0.99960756
TMEM47,TMEM47,0.9996075
ACTR10,ACTR10,0.99960715
ZFAND5,ZFAND5,0.9996071
TRAT1,TRAT1,0.9996069
CEP126,CEP126,0.99960685
RPS6KA5,RPS6KA5,0.99960685
AMBRA1,AMBRA1,0.9996068
LYZL6,LYZL6,0.9996068
MGA,MGA,0.9996068
PLEKHG4,PLEKHG4,0.9996067
STEAP3,STEAP3,0.99960667
PRDM13,PRDM13,0.9996065
STAT2,STAT2,0.9996064
ILDR2,ILDR2,0.9996063
KIF14,KIF14,0.9996063
CDKN2AIP,CDKN2AIP,0.99960625
MBD3L1,MBD3L1,0.99960595
BSX,BSX,0.9996059
SHISA3,SHISA3,0.9996059
VPS54,VPS54,0.9996056
CLEC2B,CLEC2B,0.9996053
IBA57,IBA57,0.99960494
SETD2,SETD2,0.99960494
NR1I2,NR1I2,0.9996049
B3GNT7,B3GNT7,0.99960464
CRB1,CRB1,0.99960464
TMEM59L,TMEM59L,0.9996046
SLC9C1,SLC9C1,0.99960434
ZNF346,ZNF346,0.99960434
ABHD6,ABHD6,0.9996043
GTPBP3,GTPBP3,0.9996043
CD79A,CD79A,0.99960375
GPRIN3,GPRIN3,0.99960375
SNRNP35,SNRNP35,0.99960357
TTC5,TTC5,0.99960357
OTUD1,OTUD1,0.9996035
ATP1A4,ATP1A4,0.99960333
ITPR3,ITPR3,0.99960333
SLF2,SLF2,0.99960315
THBS4,THBS4,0.9996031
FOXI1,FOXI1,0.99960303
OSR1,OSR1,0.9996029
MAP3K2,MAP3K2,0.99960285
KIAA1549L,KIAA1549L,0.99960274
COMMD1,COMMD1,0.9996026
WDR26,WDR26,0.9996024
TRMT10C,TRMT10C,0.9996022
GLS2,GLS2,0.99960214
OR52E4,OR52E4,0.9996021
BPGM,BPGM,0.9996019
KCNH6,KCNH6,0.9996017
SPPL3,SPPL3,0.9996011
GMIP,GMIP,0.999601
PARPBP,PARPBP,0.99960095
HEATR1,HEATR1,0.9996009
CROT,CROT,0.9996008
BET1,BET1,0.99960077
APBB1IP,APBB1IP,0.9996007
RBL1,RBL1,0.9996007
REP15,REP15,0.9996007
CD101,CD101,0.99960005
PGBD4,PGBD4,0.9995998
SECTM1,SECTM1,0.99959964
LRRIQ4,LRRIQ4,0.9995992
ICE1,ICE1,0.99959916
PLEKHM2,PLEKHM2,0.9995991
ZBTB11,ZBTB11,0.9995991
BOLA3,BOLA3,0.9995989
RXFP3,RXFP3,0.99959886
FAM3B,FAM3B,0.9995986
IGDCC3,IGDCC3,0.9995986
DIPK1C,DIPK1C,0.99959844
SPINDOC,SPINDOC,0.9995984
TP53INP1,TP53INP1,0.9995979
MOCOS,MOCOS,0.99959767
ACTN2,ACTN2,0.9995975
XPC,XPC,0.9995975
ZNF432,ZNF432,0.99959713
IL18,IL18,0.9995969
AADAC,AADAC,0.9995968
FAM98C,FAM98C,0.9995967
SLC22A7,SLC22A7,0.99959636
GKAP1,GKAP1,0.9995963
PHPT1,PHPT1,0.9995954
ZSCAN20,ZSCAN20,0.99959534
HOXA10,HOXA10,0.99959517
COLEC11,COLEC11,0.9995951
SPNS3,SPNS3,0.999595
GNL2,GNL2,0.99959487
GAPT,GAPT,0.9995948
CEP97,CEP97,0.9995947
TDRD6,TDRD6,0.99959457
IFFO1,IFFO1,0.99959445
HPS5,HPS5,0.9995944
SDCCAG8,SDCCAG8,0.9995944
VTI1B,VTI1B,0.9995943
CYP8B1,CYP8B1,0.999594
GNL3,GNL3,0.9995939
L3MBTL3,L3MBTL3,0.9995938
LAG3,LAG3,0.9995935
SOX15,SOX15,0.9995933
ZNF605,ZNF605,0.9995931
TP53BP1,TP53BP1,0.99959284
GRM6,GRM6,0.9995927
NUDC,NUDC,0.99959254
BCLAF3,BCLAF3,0.9995923
SERPINB5,SERPINB5,0.99959224
MAP3K19,MAP3K19,0.99959207
PLOD3,PLOD3,0.999592
RTF2,RTF2,0.9995919
ZEB1,ZEB1,0.9995919
LYSMD1,LYSMD1,0.99959177
BPIFA2,BPIFA2,0.9995917
ACSL6,ACSL6,0.9995916
ZNF441,ZNF441,0.99959105
SMYD3,SMYD3,0.9995906
RNF6,RNF6,0.99959034
PHLPP2,PHLPP2,0.99959016
CFAP418,CFAP418,0.9995901
CDH2,CDH2,0.99959004
CDC25B,CDC25B,0.99959
OMD,OMD,0.9995899
ARMH2,ARMH2,0.9995897
TUBG2,TUBG2,0.9995896
SNRPN,SNRPN,0.99958956
HAT1,HAT1,0.99958944
ITGA6,ITGA6,0.9995892
RBP5,RBP5,0.9995891
KIFBP,KIFBP,0.999589
LNX1,LNX1,0.999589
OMG,OMG,0.99958885
GJC3,GJC3,0.9995888
NMNAT1,NMNAT1,0.9995887
G6PC2,G6PC2,0.9995886
TSPYL1,TSPYL1,0.99958855
LBX1,LBX1,0.99958843
PIGW,PIGW,0.99958843
METTL17,METTL17,0.99958825
ADGRE5,ADGRE5,0.9995881
ADH1A,ADH1A,0.999588
SLC9A4,SLC9A4,0.999588
RNFT2,RNFT2,0.99958766
SLC44A1,SLC44A1,0.99958754
CLDN15,CLDN15,0.9995873
CCNB1IP1,CCNB1IP1,0.9995871
CSNK1A1L,CSNK1A1L,0.99958664
CPXM1,CPXM1,0.9995865
VASN,VASN,0.99958616
KIF23,KIF23,0.99958575
ABL1,ABL1,0.99958545
ZFYVE16,ZFYVE16,0.99958545
LTBR,LTBR,0.99958533
CAMKK2,CAMKK2,0.9995853
ZCCHC12,ZCCHC12,0.9995852
TAGAP,TAGAP,0.99958515
PLSCR1,PLSCR1,0.9995851
EXOSC3,EXOSC3,0.99958503
KANK4,KANK4,0.99958485
CLEC4A,CLEC4A,0.99958473
DAPK3,DAPK3,0.9995843
CD247,CD247,0.9995842
CEP128,CEP128,0.99958414
FMN1,FMN1,0.99958414
SERPIND1,SERPIND1,0.99958414
SLC7A11,SLC7A11,0.99958414
SMPDL3A,SMPDL3A,0.99958414
CDA,CDA,0.9995841
RNGTT,RNGTT,0.99958396
MAK16,MAK16,0.9995839
DEFB129,DEFB129,0.9995836
CCDC174,CCDC174,0.99958354
NT5E,NT5E,0.999583
RPGRIP1,RPGRIP1,0.999583
PLPP1,PLPP1,0.9995827
ACAT2,ACAT2,0.99958247
LAMC2,LAMC2,0.9995818
TECPR1,TECPR1,0.99958175
TNFRSF21,TNFRSF21,0.99958163
PIGR,PIGR,0.9995815
POLN,POLN,0.9995814
CPN2,CPN2,0.9995812
ZNF200,ZNF200,0.99958116
IZUMO1,IZUMO1,0.9995811
SPHKAP,SPHKAP,0.99958104
JKAMP,JKAMP,0.9995809
MYADML2,MYADML2,0.99958074
PRDM1,PRDM1,0.9995807
NUAK1,NUAK1,0.9995806
GPR176,GPR176,0.9995802
MUC6,MUC6,0.9995802
SFRP4,SFRP4,0.99958014
TNMD,TNMD,0.99958014
B4GALT2,B4GALT2,0.99957997
COL14A1,COL14A1,0.9995798
SOSTDC1,SOSTDC1,0.9995797
EPB41L4A,EPB41L4A,0.9995791
NCAPD3,NCAPD3,0.9995789
AKAP14,AKAP14,0.9995787
MTA1,MTA1,0.9995787
HOXA3,HOXA3,0.9995786
MYO1B,MYO1B,0.9995786
KIF19,KIF19,0.99957824
HNRNPC,HNRNPC,0.9995782
C11H11orf68,C11orf68,0.99957794
SPATA20,SPATA20,0.9995778
ATXN7L3B,ATXN7L3B,0.9995777
INTS10,INTS10,0.99957764
IQGAP1,IQGAP1,0.9995776
USP10,USP10,0.9995776
NPTX2,NPTX2,0.9995774
PDILT,PDILT,0.99957734
BRCC3,BRCC3,0.999577
CCNA2,CCNA2,0.9995766
NAPEPLD,NAPEPLD,0.9995766
PIK3CD,PIK3CD,0.9995766
POLG2,POLG2,0.99957657
HFM1,HFM1,0.9995764
ZNF112,ZNF112,0.9995763
AKAP3,AKAP3,0.9995759
LAMB4,LAMB4,0.99957585
ATP6AP2,ATP6AP2,0.99957573
COX4I1,COX4I1,0.9995757
CCL21,CCL21,0.99957556
OPN4,OPN4,0.99957544
SCAF8,SCAF8,0.9995752
LECT2,LECT2,0.99957514
SSU72L6,SSU72L6,0.999575
GJD3,GJD3,0.99957496
WDR46,WDR46,0.99957496
AKNA,AKNA,0.9995749
MPDZ,MPDZ,0.99957484
COLEC12,COLEC12,0.99957454
MGAT5B,MGAT5B,0.99957407
TXNDC15,TXNDC15,0.99957395
TMEM217,TMEM217,0.99957377
NPY2R,NPY2R,0.99957365
KRTCAP3,KRTCAP3,0.99957323
ODF2,ODF2,0.9995732
TIFA,TIFA,0.999573
SYNRG,SYNRG,0.99957293
HGD,HGD,0.99957234
DHX57,DHX57,0.9995716
GTDC1,GTDC1,0.99957144
DDX28,DDX28,0.9995713
ALG10,ALG10,0.9995712
KRT28,KRT28,0.9995712
CEP104,CEP104,0.9995711
EVI2B,EVI2B,0.9995711
FSTL5,FSTL5,0.99957097
PLIN1,PLIN1,0.99957097
CCDC106,CCDC106,0.99957085
SNX31,SNX31,0.9995708
DHX33,DHX33,0.9995704
PANK3,PANK3,0.9995704
UBA5,UBA5,0.99957037
TDRD1,TDRD1,0.99957
SLC3A2,SLC3A2,0.99956995
POLR3GL,POLR3GL,0.9995699
CDCP1,CDCP1,0.99956983
PBK,PBK,0.99956983
RORC,RORC,0.9995698
AHR,AHR,0.9995695
SLC34A2,SLC34A2,0.99956924
TTLL9,TTLL9,0.9995692
PLA2G4A,PLA2G4A,0.9995691
ZNF527,ZNF527,0.99956894
MRPL47,MRPL47,0.9995682
