mice gene name,pig gene name,correlation
Taf12,TAF12,0.9888408
Gpatch3,GPATCH3,0.9888323
Des,DES,0.98883
Eif2ak1,EIF2AK1,0.9888168
Alad,ALAD,0.98881394
Taf4b,TAF4B,0.98881036
Tcp11l1,TCP11L1,0.9888102
Tubg2,TUBG2,0.98880947
Susd6,SUSD6,0.9888038
Fam83c,FAM83C,0.9888019
Tbx19,TBX19,0.9887979
Gtf2f1,GTF2F1,0.98879707
Rhot1,RHOT1,0.98879266
Krt23,KRT23,0.98878545
Mitf,MITF,0.9887825
Krt20,KRT20,0.98877853
Hnrnpul1,HNRNPUL1,0.98877746
Slc17a9,SLC17A9,0.98877466
Tomm7,TOMM7,0.9887701
Washc5,WASHC5,0.98876935
Vav2,VAV2,0.98876595
Zfp804a,ZNF804A,0.98876446
Xrcc5,XRCC5,0.9887631
Gadl1,GADL1,0.98875946
Igdcc3,IGDCC3,0.9887523
Nek2,NEK2,0.9887459
Nup50,NUP50,0.9887407
Zbtb39,ZBTB39,0.988732
Cyb561d1,CYB561D1,0.98872083
Kremen2,KREMEN2,0.98871905
Tgm3,TGM3,0.98871595
Oscp1,OSCP1,0.98871577
Stau1,STAU1,0.9887147
Rp9,RP9,0.988712
Ctxn2,CTXN2,0.9887115
Cd9,CD9,0.9887108
Marveld1,MARVELD1,0.9887058
Rab3c,RAB3C,0.9887028
Zfp770,ZNF770,0.98869735
Fgl1,FGL1,0.988695
Stx19,STX19,0.988695
Rala,RALA,0.9886936
mt-Nd5,ND5,0.9886927
Emsy,EMSY,0.98868674
Atxn7l2,ATXN7L2,0.988683
Cntn1,CNTN1,0.9886805
Nos2,NOS2,0.988677
Myh15,MYH15,0.9886755
Cx3cr1,CX3CR1,0.9886661
Uxt,UXT,0.9886521
Arl6ip6,ARL6IP6,0.9886505
Slc25a3,SLC25A3,0.9886459
Ermn,ERMN,0.98864573
Omd,OMD,0.9886436
Mea1,MEA1,0.9886402
Zfp354b,ZNF354B,0.9886388
F13a1,F13A1,0.9886378
Zfand6,ZFAND6,0.988629
Cdip1,CDIP1,0.9886272
Mbd3,MBD3,0.98862654
Mixl1,MIXL1,0.98862493
Mss51,MSS51,0.9885883
Upk1a,UPK1A,0.98858637
Smyd4,SMYD4,0.98857325
Samd5,SAMD5,0.9885696
Cnksr1,CNKSR1,0.98856795
Cnr2,CNR2,0.98856485
Mrc2,MRC2,0.98856366
Ccsap,CCSAP,0.9885596
Cdk16,CDK16,0.9885525
Cacna1c,CACNA1D,0.98855203
Ferd3l,FERD3L,0.9885503
Ucp3,UCP3,0.9885479
Bcap31,BCAP31,0.9885468
Dnajc22,DNAJC22,0.9885426
Pard6g,PARD6G,0.9885418
Uchl3,UCHL3,0.98854125
Clns1a,CLNS1A,0.9885398
Ap4b1,AP4B1,0.98853916
Atf2,ATF2,0.9885363
Ctif,CTIF,0.9885312
Cntn4,CNTN4,0.9885274
Tnpo2,TNPO2,0.98852557
Epyc,EPYC,0.9885236
Me2,ME2,0.98852056
M6pr,M6PR,0.98851603
Maml1,MAML1,0.98851264
Mastl,MASTL,0.9885111
Myef2,MYEF2,0.98850375
Fbxo16,FBXO16,0.9885037
Sytl1,SYTL1,0.9884986
Rbm26,RBM26,0.98849577
Cyp51,CYP51A1,0.9884918
Slc17a8,SLC17A8,0.98848855
Larp1,LARP1,0.9884879
Tsga10,TSGA10,0.98848784
Rcc1,RCC1,0.9884874
Mfsd4b4,MFSD4B,0.98848516
Schip1,SCHIP1,0.9884741
Hrh3,HRH3,0.98847
Olfr15,OR2C1,0.9884662
Rab3b,RAB3B,0.98846346
Olfr362,OR1B1,0.98845744
Fstl4,FSTL4,0.9884544
Stub1,STUB1,0.98845416
Gab2,GAB2,0.98844546
Tekt1,TEKT1,0.9884423
Eps15l1,EPS15L1,0.98843694
Ccdc158,CCDC158,0.9884349
Nfe2l1,NFE2L1,0.98842305
Vegfd,VEGFD,0.98842186
Togaram2,TOGARAM2,0.9884201
Micu2,MICU2,0.9884197
Plekhh3,PLEKHH3,0.98841864
Tlx2,TLX2,0.98841506
Shisa9,SHISA9,0.9884126
Ube2d1,UBE2D1,0.98840934
Plscr5,PLSCR5,0.98840755
Trpc3,TRPC3,0.9884042
Rpn2,RPN2,0.98840016
Sez6l,SEZ6L,0.9883985
Rasgef1a,RASGEF1A,0.9883974
Hsd17b4,HSD17B4,0.9883915
Wwtr1,WWTR1,0.9883886
Rpl10,RPL10,0.9883847
Lman1,LMAN1,0.9883753
Asxl1,ASXL1,0.9883742
Erp44,ERP44,0.98836476
Lrrc24,LRRC24,0.98836315
Tusc1,TUSC1,0.98835814
Togaram1,TOGARAM1,0.9883534
Itgb5,ITGB5,0.988344
Pdzd3,NHERF4,0.98834306
Aspm,ASPM,0.98834
Ddx28,DDX28,0.9883389
Mmp20,MMP20,0.9883357
Krt72,KRT74,0.9883355
Rab10,RAB10,0.9883317
Prdx3,PRDX3,0.9883281
Adra2b,ADRA2B,0.9883247
Lysmd1,LYSMD1,0.9883148
Pdlim3,PDLIM3,0.98831415
Iffo1,IFFO1,0.98831165
Foxi2,FOXI2,0.98830336
Krt28,KRT28,0.9883017
Gnptg,GNPTG,0.98829645
Tbc1d5,TBC1D5,0.9882957
Fastkd2,FASTKD2,0.98829097
Arrdc3,ARRDC3,0.98829
Ptgis,PTGIS,0.9882825
Tcf7l2,TCF7L2,0.98827857
Ecm2,ECM2,0.9882735
Eya3,EYA3,0.98827225
Lig4,LIG4,0.9882719
Tnni3k,TNNI3K,0.98826903
Ripor1,RIPOR1,0.9882622
Chac2,CHAC2,0.9882592
Gprc5a,GPRC5A,0.9882406
Nlrp12,NLRP12,0.9882386
B3galt6,B3GALT6,0.9882377
Etv1,ETV1,0.9882237
Tpp2,TPP2,0.9882209
Dmxl2,DMXL2,0.98822
Ppib,PPIB,0.9882117
Zdhhc13,ZDHHC13,0.9882048
Fbxo46,FBXO46,0.9882
Pbrm1,PBRM1,0.9881944
Seh1l,SEH1L,0.9881851
Spryd4,SPRYD4,0.98818374
Paip1,PAIP1,0.98818094
Alox5,ALOX5,0.9881785
Fsd1,FSD1,0.9881702
G6pc2,G6PC2,0.9881683
Cant1,CANT1,0.9881583
Hcar1,HCAR1,0.9881461
Ankrd6,ANKRD6,0.9881413
Slc13a1,SLC13A1,0.98813945
Krt8,KRT8,0.9881311
Adam2,ADAM2,0.98812854
Zfp367,ZNF367,0.9881275
Fgb,FGB,0.9881274
Fnta,FNTA,0.9881261
Fam83g,FAM83G,0.9881255
Sc5d,SC5D,0.98812
Pcdhb1,PCDHB1,0.9881184
Ccnj,CCNJ,0.9881182
Ptger2,PTGER2,0.98810893
Cblb,CBLB,0.9881089
Smim8,SMIM8,0.98809505
Orai2,ORAI2,0.9880939
Cntf,CNTF,0.9880906
CK137956,C1orf94,0.98808074
Slco5a1,SLCO5A1,0.9880792
Tmem98,TMEM98,0.98807025
Kif26a,KIF26A,0.98805976
Fshb,FSHB,0.98805684
Cdh13,CDH13,0.9880502
Setdb1,SETDB1,0.9880425
Kat6b,KAT6B,0.98804224
Srp68,SRP68,0.98803633
Lin52,LIN52,0.9880335
Fgd6,FGD6,0.98802346
Ngrn,NGRN,0.98802084
Efna4,EFNA4,0.9880178
Slc25a16,SLC25A16,0.9880111
Serinc3,SERINC3,0.9880045
Grhl1,GRHL1,0.9880027
C8a,C8A,0.98800147
Vnn1,VNN1,0.98799556
Zfp281,ZNF281,0.98799556
Htr1b,HTR1B,0.98799425
Camk2d,CAMK2D,0.9879893
Foxi3,FOXI3,0.98797935
Rbms2,RBMS2,0.987972
Trim71,TRIM71,0.98796904
Trim8,TRIM8,0.9879678
Ptx3,PTX3,0.9879558
Agap3,AGAP3,0.9879488
Hdx,HDX,0.98794824
Sync,SYNC,0.9879471
Pawr,PAWR,0.9879452
Elf1,ELF1,0.9879333
Tmem104,TMEM104,0.9879228
Ccdc182,CCDC182,0.98792183
Rmnd5b,RMND5B,0.9879182
Txk,TXK,0.9879182
Ddx49,DDX49,0.9879131
Atp8b4,ATP8B4,0.98790884
Map3k13,MAP3K13,0.98790646
Rrn3,RRN3,0.9878994
Prune1,PRUNE1,0.9878974
Ncoa3,NCOA3,0.98789316
Spag9,SPAG9,0.9878912
Olfr1499,OR9I1,0.98789114
Uroc1,UROC1,0.9878911
Ikzf2,IKZF2,0.9878866
Ret,RET,0.9878823
Sftpb,SFTPB,0.9878748
Prss12,PRSS12,0.9878715
Abcd1,ABCD1,0.987868
Rac1,RAC1,0.98786724
Spock1,SPOCK1,0.9878614
Tpbg,TPBG,0.98785967
Htr3a,HTR3A,0.98785895
Trpv5,TRPV5,0.9878461
Snap91,SNAP91,0.9878409
Ctrl,CTRL,0.9878363
Rbm27,RBM27,0.9878351
Ist1,IST1,0.987835
Nkx2-2,NKX2-2,0.9878319
Mfsd3,MFSD3,0.98782665
Metap2,METAP2,0.98782593
Uap1l1,UAP1L1,0.9878242
Supt7l,SUPT7L,0.98781943
Zfp316,ZNF316,0.9878125
Nop53,NOP53,0.9878095
Dync1li1,DYNC1LI1,0.98780274
Klhl4,KLHL4,0.9877892
Ccnb2,CCNB2,0.9877838
Ccnc,CCNC,0.9877815
Jade2,JADE2,0.9877803
Cltc,CLTC,0.98777556
Pank4,PANK4,0.98776406
Krt77,KRT77,0.9877633
Krt79,KRT79,0.9877584
Scarb2,SCARB2,0.98775196
mt-Nd1,ND1,0.98775154
Ogfod1,OGFOD1,0.9877491
Wdr6,WDR6,0.9877423
Epb41,EPB41,0.9877412
Pde8b,PDE8B,0.9877372
Corin,CORIN,0.9877367
Eef1a2,EEF1A2,0.98773533
Ttc9,TTC9,0.98773396
Cyp4v3,CYP4V2,0.9877332
Cyp3a13,CYP3A29,0.9877214
Tjp1,TJP1,0.98771936
Gemin2,GEMIN2,0.98771876
Rock1,ROCK1,0.987715
Nt5m,NT5M,0.98771465
Pdcl2,PDCL2,0.987713
Hebp1,HEBP1,0.9877127
Cc2d2a,CC2D2A,0.98771054
Rbfox2,RBFOX2,0.98770905
Ppard,PPARD,0.9877083
Gad2,GAD2,0.98770434
Ankrd13a,ANKRD13A,0.98770136
Atxn2l,ATXN2L,0.9876944
Ern2,ERN2,0.9876927
Nphp1,NPHP1,0.9876886
Lonrf2,LONRF2,0.98768824
Lyrm2,LYRM2,0.98768663
Idh3g,IDH3G,0.9876822
Jmjd1c,JMJD1C,0.98766613
Gabrr3,GABRR3,0.9876641
Foxred2,FOXRED2,0.9876636
Nmur2,NMUR2,0.9876613
Cdipt,CDIPT,0.98766077
Hexim1,HEXIM1,0.98766
Plekho2,PLEKHO2,0.9876591
Foxp3,FOXP3,0.9876583
Ppm1h,PPM1H,0.98765695
Car13,CA13,0.98764926
Cdc34b,CDC34,0.9876448
Tgm5,TGM5,0.9876414
Rubcn,RUBCN,0.98764116
Qrsl1,QRSL1,0.9876409
Ptprr,PTPRR,0.9876376
Prdm16,PRDM16,0.98763597
Slc25a41,SLC25A41,0.98763585
Prickle3,PRICKLE3,0.98763514
Pkhd1l1,PKHD1L1,0.98763406
Sin3a,SIN3A,0.98763084
Pgm3,PGM3,0.9876306
Tpd52l1,TPD52L1,0.98763007
Clrn1,CLRN1,0.9876284
Nmb,NMB,0.98762053
Olfm1,OLFM1,0.9876127
Mks1,MKS1,0.9876053
Mybphl,MYBPHL,0.9876009
Ptprz1,PTPRZ1,0.98760086
Arg2,ARG2,0.9875988
Shq1,SHQ1,0.9875969
Brca2,BRCA2,0.98759466
Ednra,EDNRA,0.9875904
Eva1b,EVA1B,0.9875843
Calu,CALU,0.987584
Pex19,PEX19,0.98758227
Mc3r,MC3R,0.98757696
Prkar1a,PRKAR1A,0.98757464
Atg4a-ps,ATG4A,0.9875717
Spata2,SPATA2,0.98756963
Wfikkn1,WFIKKN1,0.98756725
Slc25a10,SLC25A10,0.98756546
Rnf43,RNF43,0.9875618
Tmem35a,TMEM35A,0.98755884
Fancg,FANCG,0.9875549
Olfr159,OR2S2,0.98754925
Tlr5,TLR5,0.9875478
Pyroxd1,PYROXD1,0.98754585
Thop1,THOP1,0.9875457
Eif4ebp2,EIF4EBP2,0.9875449
Apln,APLN,0.9875397
Tnnc1,TNNC1,0.9875395
Zbtb37,ZBTB37,0.987533
Gorasp2,GORASP2,0.9875327
Mrps31,MRPS31,0.98752326
Zbtb5,ZBTB5,0.9875174
Krt222,KRT222,0.9875088
Edn1,EDN1,0.9875082
1110051M20Rik,CSTPP1,0.9875025
Mon2,MON2,0.98750204
Zmynd8,ZMYND8,0.9874992
Iqsec1,IQSEC1,0.98749834
Acta2,ACTC1,0.9874978
Alkbh7,ALKBH7,0.98749274
Prkar2b,PRKAR2B,0.98749214
Ndnf,NDNF,0.987492
Fxr2,FXR2,0.9874908
Lxn,LXN,0.9874819
Utp3,UTP3,0.9874734
Higd2a,HIGD2A,0.98747206
Adad2,ADAD2,0.9874719
Mfsd14b,MFSD14B,0.98747075
Zfp668,ZNF668,0.9874698
Gpr153,GPR153,0.9874629
Ankib1,ANKIB1,0.98745894
Plcl1,PLCL1,0.9874562
Lama3,LAMA3,0.9874558
Ltn1,LTN1,0.9874543
Gsg1l,GSG1L,0.9874536
Cilp2,CILP2,0.9874315
Abca3,ABCA3,0.9874291
Neurl4,NEURL4,0.98742795
A4gnt,A4GNT,0.98741114
Hacd3,HACD3,0.9874089
Sparc,SPARC,0.9874061
Zfp217,ZNF217,0.98739946
Dcaf7,DCAF7,0.987398
Otc,OTC,0.98739666
Prr19,PRR19,0.98739636
Ssbp1,SSBP1,0.9873947
Cacul1,CACUL1,0.9873917
Chst13,CHST13,0.9873911
Scyl2,SCYL2,0.98739034
Bola1,BOLA1,0.98738855
Scnn1g,SCNN1G,0.9873834
Camk2n2,CAMK2N2,0.98738265
Gga2,GGA2,0.9873767
Tigd3,TIGD3,0.98737633
Fam102b,EEIG2,0.98737377
Sec24a,SEC24A,0.98737055
Npat,NPAT,0.9873652
Lamtor1,LAMTOR1,0.9873626
Chst3,CHST3,0.98736084
Adnp2,ADNP2,0.9873602
Cyp7a1,CYP7A1,0.9873584
Rnf144a,RNF144A,0.9873531
Acbd5,ACBD5,0.98735225
Slc25a43,SLC25A43,0.98735213
Mob3b,MOB3A,0.9873507
Gemin5,GEMIN5,0.987349
Maip1,MAIP1,0.9873485
Zranb3,ZRANB3,0.98734784
Bnip3l,BNIP3L,0.9873475
Pgrmc1,PGRMC1,0.987347
Zc2hc1a,ZC2HC1A,0.98734456
Mapk10,MAPK10,0.9873427
AI597479,C2orf49,0.987342
Galr3,GALR3,0.987339
Map2k7,MAP2K7,0.9873341
Trp53,TP53,0.98732775
Ccdc58,MIX23,0.9873274
Srcin1,SRCIN1,0.9873254
Ensa,ENSA,0.98732346
Dctn6,DCTN6,0.9873198
Grifin,GRIFIN,0.98731846
Bmf,BMF,0.98731154
Dscc1,DSCC1,0.9873106
Rd3l,RD3L,0.98730034
Pard6a,PARD6A,0.98729426
Gins2,GINS2,0.98728377
Anks4b,ANKS4B,0.9872766
Zfp566,ZNF566,0.9872761
L3mbtl2,L3MBTL2,0.98727065
Fhl3,FHL3,0.987264
Clcn7,CLCN7,0.9872561
Cdhr1,CDHR1,0.9872492
Acot13,ACOT13,0.98724216
Hps4,HPS4,0.98724085
Ncan,NCAN,0.98723423
Pgr,PGR,0.9872218
Trrap,TRRAP,0.9872178
Ncoa7,NCOA7,0.98721075
Cdhr2,CDHR2,0.98720914
Ift74,IFT74,0.98720807
St8sia3,ST8SIA3,0.98720276
Gng12,GNG12,0.98720247
Tlx3,TLX3,0.98719275
Pmfbp1,PMFBP1,0.9871879
Diaph1,DIAPH1,0.98718584
Txnrd1,TXNRD1,0.9871845
Dnajc6,DNAJC6,0.98718196
Card19,CARD19,0.9871801
Kif2a,KIF2A,0.9871718
Klf1,KLF1,0.98716086
Chrna2,CHRNA2,0.987151
Slc22a15,SLC22A15,0.98714876
Gsr,GSR,0.9871451
Sucnr1,SUCNR1,0.98713505
Ttc13,TTC13,0.9871331
Myoz1,MYOZ1,0.98711914
Txndc12,TXNDC12,0.98711336
Cd248,CD248,0.9871104
Shox2,SHOX2,0.9871045
Kcnab2,KCNAB2,0.9870991
Bzw1,BZW1,0.98709506
Capn15,CAPN15,0.9870909
Fgfr1op2,FGFR1OP2,0.9870852
Plekhn1,PLEKHN1,0.98708135
Adamts4,ADAMTS4,0.9870796
Slc3a1,SLC3A1,0.9870772
Ptger1,PTGER1,0.987069
Clybl,CLYBL,0.9870688
Ccr3,CCR3,0.9870628
Elk3,ELK3,0.9870627
Lancl1,LANCL1,0.9870607
Hspb7,HSPB7,0.9870534
Rbfox3,RBFOX3,0.9870483
Mtch1,MTCH1,0.9870441
Tank,TANK,0.9870438
Rs1,RS1,0.9870375
Bnip3,BNIP3,0.98703414
Slc10a2,SLC10A2,0.98703337
Limch1,LIMCH1,0.987032
Tmem127,TMEM127,0.9870264
Pgk2,PGK2,0.98702604
Pex2,PEX2,0.98702383
Olfr1469,OR5B3,0.9870144
Itga10,ITGA10,0.9870143
Borcs6,BORCS6,0.9870116
Prr11,PRR11,0.9870112
Upk2,UPK2,0.9870042
Zbtb8b,ZBTB8B,0.9870031
Celf3,CELF3,0.9870019
Dnajc30,DNAJC30,0.9870018
Olfr730,OR4K2,0.98700154
Fyb2,FYB2,0.9869998
Rpp25,RPP25,0.9869968
Barx2,BARX2,0.98699653
Prkacb,PRKACB,0.98699254
Mypop,MYPOP,0.98698133
Ppp1ca,PPP1CA,0.9869809
Gbp2b,GBP1,0.98697686
Dip2c,DIP2C,0.9869674
Ppp1r3d,PPP1R3D,0.98696727
Slc2a5,SLC2A5,0.9869663
Ppp1r18,PPP1R18,0.9869571
Slc38a4,SLC38A4,0.9869563
Dhx15,DHX15,0.9869524
Acad10,ACAD10,0.9869522
Nox3,NOX3,0.98695153
Kcnj1,KCNJ1,0.98694146
Garem1,GAREM1,0.986941
Bud31,BUD31,0.9869387
Usp11,USP11,0.9869375
Tmem201,TMEM201,0.9869332
Olfr368,OR5C1,0.9869247
Hspa1l,HSPA1L,0.98692197
Tmprss15,TMPRSS15,0.98691213
Nipal4,NIPAL4,0.9869089
Nusap1,NUSAP1,0.9869076
Atp6v0d1,ATP6V0D1,0.98690635
Zbtb10,ZBTB10,0.9869046
Ccdc14,CCDC14,0.9869038
Elfn1,ELFN1,0.9869032
Gal3st3,GAL3ST3,0.98689884
Clptm1,CLPTM1,0.9868981
Spata25,SPATA25,0.9868959
Olfr1444,OR5B21,0.98689145
Gpr65,GPR65,0.9868878
Olfr1357,OR1I1,0.9868872
Topaz1,TOPAZ1,0.9868792
Gcnt3,GCNT3,0.98687786
Npm3,NPM3,0.9868776
Mxd4,MXD4,0.98687744
Cpa5,CPA5,0.9868712
Lrit1,LRIT1,0.98686117
Tm9sf1,TM9SF1,0.98685986
Fahd1,FAHD1,0.9868578
Chrna6,CHRNA6,0.9868523
Mcidas,MCIDAS,0.98685074
Lurap1l,LURAP1L,0.9868402
Htr3b,HTR3B,0.9868399
Ppp2r1b,PPP2R1B,0.98683935
Zfp661,ZNF2,0.9868369
Khdrbs3,KHDRBS3,0.98683554
Cgnl1,CGNL1,0.9868324
Ect2l,ECT2L,0.9868323
Elf5,ELF5,0.98682517
Rp2,RP2,0.9868237
Axin1,AXIN1,0.98681355
Cdc7,CDC7,0.9868107
Kbtbd4,KBTBD4,0.986809
Cdc6,CDC6,0.9868059
Rergl,RERGL,0.9868019
Fbxo45,FBXO45,0.98679227
Crh,CRH,0.986785
Hey2,HEY2,0.98678404
Usp25,USP25,0.9867744
Gxylt1,GXYLT1,0.9867682
Hbegf,HBEGF,0.98675627
Kcnk13,KCNK13,0.9867497
Cep78,CEP78,0.98674756
Dapp1,DAPP1,0.9867373
Spata46,SPATA46,0.9867351
Kcnt1,KCNT1,0.9867261
Entpd5,ENTPD5,0.9867218
Ndfip1,NDFIP1,0.98672134
Psmd4,PSMD4,0.98671824
Klhl18,KLHL18,0.9867163
Mmp3,MMP3,0.98671556
Rbpjl,RBPJL,0.9867144
Fnbp1,FNBP1,0.9867099
1600012H06Rik,C6orf120,0.98670644
Spaca9,SPACA9,0.9866973
Angptl7,ANGPTL7,0.9866948
Atoh1,ATOH1,0.98669386
Slc13a2,SLC13A2,0.9866922
Nol4,NOL4,0.9866896
Eif4b,EIF4B,0.9866882
Timm29,TIMM29,0.9866836
Arpp19,ARPP19,0.9866773
Mrpl46,MRPL46,0.9866726
Cep120,CEP120,0.9866676
Smyd5,SMYD5,0.98666304
Tmem255a,TMEM255A,0.9866593
Calhm3,CALHM3,0.9866522
Tnfsf13,TNFSF13,0.98664975
Rapgefl1,RAPGEFL1,0.9866457
Atg3,ATG3,0.9866379
Sphkap,SPHKAP,0.9866377
Ppp1r9a,PPP1R9A,0.9866372
Mpp3,MPP3,0.98663574
Ccdc70,CCDC70,0.986622
Notch2,NOTCH2,0.98662084
Dbx2,DBX2,0.9866117
Fras1,FRAS1,0.9866106
Tm4sf5,TM4SF5,0.98660934
Asb16,ASB16,0.98660904
Rxfp2,RXFP2,0.9866088
Lmbr1,LMBR1,0.98660874
Garre1,GARRE1,0.9866065
Prelid2,PRELID2,0.98660326
Ly75,LY75,0.9866032
Itgbl1,ITGBL1,0.98660195
Lman2,LMAN2,0.98659915
Spsb3,SPSB3,0.9865967
Hdac7,HDAC7,0.9865905
Rragd,RRAGD,0.98658985
Grm2,GRM2,0.98658603
Fam83f,FAM83F,0.9865811
Mlycd,MLYCD,0.9865796
Snx31,SNX31,0.9865702
Pcare,PCARE,0.9865699
Gm10358,GAPDH,0.9865667
Cyfip1,CYFIP1,0.9865633
Tmem74b,TMEM74B,0.9865522
Nudcd2,NUDCD2,0.9865493
Cldn17,CLDN17,0.9865481
Pecam1,PECAM1,0.98654735
Gpr84,GPR84,0.9865441
Armc8,ARMC8,0.98653793
Olfr796,OR10P1,0.9865319
Armh4,ARMH4,0.9865295
Lsm10,LSM10,0.9865291
Asic5,ASIC5,0.9865272
Igsf11,IGSF11,0.98652196
Gm12184,CDK2AP1,0.9865182
Slc33a1,SLC33A1,0.98650485
Mall,MALL,0.98649514
Sema6b,SEMA6B,0.9864936
Mpp4,MPP4,0.98649085
Olfr577,OR51G2,0.98649037
Rprd1a,RPRD1A,0.98648626
Abca7,ABCA7,0.9864808
Espnl,ESPNL,0.98647887
Capza2,CAPZA2,0.9864742
Krt1,KRT1,0.9864688
Ccdc42,CCDC42,0.98645264
Kdr,KDR,0.9864516
Plekhg5,PLEKHG5,0.98644626
Slc19a2,SLC19A2,0.98644024
Dmpk,DMPK,0.9864316
Rbp3,RBP3,0.986428
Eed,EED,0.9864155
Atp6v0a1,ATP6V0A1,0.9864149
Capn13,CAPN13,0.9864117
Mitd1,MITD1,0.98640597
Slc36a1,SLC36A1,0.9863995
Cdc27,CDC27,0.9863948
Hgf,HGF,0.98638767
Ndel1,NDEL1,0.9863866
Slc29a2,SLC29A2,0.9863801
Wdfy2,WDFY2,0.98637694
Acer2,ACER2,0.98637646
Ltbp1,LTBP1,0.9863759
Mtx2,MTX2,0.9863756
Tex10,TEX10,0.9863736
Lpin3,LPIN3,0.98636496
Snf8,SNF8,0.98635614
Il1rapl1,IL1RAPL1,0.98635453
Rab19,RAB19,0.98635453
Med6,MED6,0.98635393
Smtnl2,SMTNL2,0.98635083
Cd101,CD101,0.98634285
Wdr36,WDR36,0.98634285
Slc39a2,SLC39A2,0.9863417
Actg2,ACTG2,0.98633885
Pla2g3,PLA2G3,0.9863334
Hsd17b13,HSD17B13,0.98633164
Shank2,SHANK2,0.98633
Scamp1,SCAMP1,0.9863263
Gpr119,GPR119,0.98632026
Mrps28,MRPS28,0.9863168
Hoxd12,HOXD12,0.9863127
Tmed8,TMED8,0.986309
Daglb,DAGLB,0.9863016
Nrsn1,NRSN1,0.98629665
S100a6,S100A6,0.98629564
Wdr89,WDR89,0.9862944
Tmem30a,TMEM30A,0.9862879
Zkscan1,ZKSCAN1,0.9862852
Gpr135,GPR135,0.9862835
Tmem101,TMEM101,0.98628145
Vldlr,VLDLR,0.98627853
Stx6,STX6,0.98627687
1810013L24Rik,HAPSTR1,0.986275
Mrpl38,MRPL38,0.9862744
Arl14ep,ARL14EP,0.98627263
Tmem216,TMEM216,0.98627204
Mrpl51,MRPL51,0.9862714
P2ry12,P2RY12,0.98626846
Dazap1,DAZAP1,0.9862679
Rfx1,RFX1,0.9862673
Pias2,PIAS2,0.98626614
Gja8,GJA8,0.9862653
Mrpl40,MRPL40,0.986259
Mroh2b,MROH2B,0.98624647
D17H6S53E,C6orf47,0.98624563
Plcb4,PLCB4,0.9862439
Calb2,CALB2,0.9862275
Fnip1,FNIP1,0.98622495
Tmem200b,TMEM200B,0.9862235
Hykk,HYKK,0.9862232
Cspg4,CSPG4,0.98622185
Znhit1,ZNHIT1,0.9862169
F2rl3,F2RL3,0.98621535
Wdr72,WDR72,0.98621404
Ttc7b,TTC7B,0.9862134
Pter,PTER,0.98621255
Hmg20b,HMG20B,0.98620886
Ddx59,DDX59,0.9862065
Krr1,KRR1,0.98620385
Csrnp3,CSRNP3,0.9861965
Natd1,NATD1,0.9861944
Tmprss11e,TMPRSS11E,0.986186
Spry1,SPRY1,0.9861823
Pard3,PARD3,0.9861762
Gpbar1,GPBAR1,0.9861741
Pigu,PIGU,0.98617107
Krt18,KRT18,0.98616964
Blzf1,BLZF1,0.9861695
Gamt,GAMT,0.98616296
Zc3h13,ZC3H13,0.9861551
Mtrf1,MTRF1,0.9861504
Gm12166,SFT2D1,0.9861396
Kif17,KIF17,0.98612875
Ubxn8,UBXN8,0.9861221
Asap3,ASAP3,0.9861216
Batf3,BATF3,0.9861165
Adamtsl1,ADAMTSL1,0.9861158
Slain2,SLAIN2,0.9861138
Sgtb,SGTB,0.98611295
Fmn1,FMN1,0.98611164
Ube2q2,UBE2Q2,0.9861081
Foxd1,FOXD1,0.9860986
Ephx2,EPHX2,0.9860935
Olfr638,OR51Q1,0.9860854
Xpo1,XPO1,0.9860828
Scd4,SCD,0.9860748
Stum,STUM,0.9860734
Tmem236,TMEM236,0.9860705
Ttll6,TTLL6,0.9860616
Mrps22,MRPS22,0.9860593
Runx2,RUNX2,0.98605686
Olfr178,OR5K4,0.9860472
Gm20716,DPM1,0.9860464
Nae1,NAE1,0.98604184
Snip1,SNIP1,0.98604053
Khsrp,KHSRP,0.98603135
Cpd,CPD,0.9860287
Acss3,ACSS3,0.9860281
Olfr981,OR10G6,0.986021
Paip2b,PAIP2B,0.9860172
Zfp593,ZNF593,0.98601586
Pdzrn3,PDZRN3,0.98601305
Slc35a3,SLC35A3,0.98600966
Nutm1,NUTM1,0.98600566
Frmd6,FRMD6,0.98600125
Tmem115,TMEM115,0.98599374
Kif5b,KIF5B,0.98599225
Fat2,FAT2,0.9859889
Klhl7,KLHL7,0.98598677
Cdh15,CDH15,0.98598105
Crip3,CRIP3,0.98598015
Zdhhc20,ZDHHC20,0.98597986
Zfp865,ZNF865,0.98597956
Nf1,NF1,0.98597336
Rassf5,RASSF5,0.985967
Olfr958,OR10D3,0.98596543
P2ry6,P2RY6,0.9859651
Pkp2,PKP2,0.9859577
Evi2b,EVI2B,0.98595387
Ube4b,UBE4B,0.98595375
Ssr1,SSR1,0.98594415
Nr5a1,NR5A1,0.98594284
Kcnip2,KCNIP2,0.9859423
Lcor,LCOR,0.9859415
Shmt2,SHMT2,0.9859414
Fam110d,FAM110D,0.9859366
Bbs7,BBS7,0.9859339
Atp6ap2,ATP6AP2,0.98593104
Gpr1,CMKLR2,0.9859275
Sntb2,SNTB2,0.9859252
Gm50387,ZNRD2,0.9859176
Klf16,KLF16,0.9859161
Rhoc,RHOC,0.9859137
Dpp9,DPP9,0.98591024
