Human gene name,Mouse gene name,correlation
NAP1L3,Nap1l3,0.9803015
TRHDE,Trhde,0.98029584
KCNIP1,Kcnip1,0.98029
SCOC,Scoc,0.98027605
YDJC,Ydjc,0.9802689
NCOA3,Ncoa3,0.98026234
WNT8A,Wnt8a,0.98026234
TMEM74,Tmem74,0.98025995
PALM2AKAP2,Pakap,0.9802548
ZPR1,Zpr1,0.98025465
GSTM1,Gstm7,0.98024344
GPR150,Gpr150,0.9802419
KRT3,Krt5,0.980239
IKBKE,Ikbke,0.9802384
UBE4B,Ube4b,0.98023534
NRF1,Nrf1,0.98022264
AMBN,Ambn,0.98022026
ADGRB3,Adgrb3,0.98021877
AP3B2,Ap3b2,0.9802138
RD3L,Rd3l,0.98020786
SSH3,Ssh3,0.98020095
PTPN5,Ptpn5,0.9802002
SFT2D3,Sft2d3,0.98019683
PAK1IP1,Pak1ip1,0.98019356
OR51F2,Olfr568,0.98019224
PER3,Per3,0.98018676
CPQ,Cpq,0.98018324
DYRK1A,Dyrk1a,0.9801832
SLC44A5,Slc44a5,0.9801802
ICA1,Ica1,0.98017925
DRGX,Prrxl1,0.980166
PIBF1,Pibf1,0.98016286
MOS,Mos,0.9801553
STX5,Stx5a,0.9801497
RAI2,Rai2,0.9801485
TRIM72,Trim72,0.98014057
APOF,Apof,0.9801281
SPTBN5,Sptbn5,0.98012453
RCAN1,Rcan1,0.9801224
SLC17A6,Slc17a7,0.9801144
GPANK1,Gpank1,0.980114
PNPLA1,Pnpla1,0.98011017
SH3RF3,Sh3rf3,0.9801086
OR7E24,Olfr18,0.980095
P2RY4,P2ry4,0.98009497
MUL1,Mul1,0.9800944
PLA2G5,Pla2g5,0.98008686
CCNG2,Ccng2,0.9800848
SYPL2,Sypl2,0.98008037
TSPYL4,Tspyl4,0.9800788
OR51C1P,Olfr560,0.9800781
PPHLN1,Pphln1,0.98006296
CRMP1,Dpysl2,0.98006284
SLC33A1,Slc33a1,0.9800598
PLA2G2F,Pla2g2f,0.98005646
GSTA2,Gsta5,0.9800543
IKZF4,Ikzf4,0.98005044
SOX30,Sox30,0.98004574
PGLYRP3,Pglyrp3,0.9800421
F8A1,F8a,0.98004144
FTCD,Ftcd,0.9800361
KRIT1,Krit1,0.9800355
NHLH1,Nhlh1,0.9800311
ARCN1,Arcn1,0.98002267
TSPAN15,Tspan15,0.9800166
SPATA25,Spata25,0.980011
THBS2,Thbs2,0.98000556
DHFR,Dhfr,0.98000306
MSANTD2,Msantd2,0.97999847
PPFIBP2,Ppfibp2,0.9799887
PPFIA3,Ppfia3,0.9799878
THUMPD1,Thumpd1,0.9799672
POU5F2,Pou5f2,0.9799666
ARHGAP19-SLIT1,Arhgap19,0.9799665
SEZ6L2,Sez6l2,0.9799535
HNRNPD,Hnrnpd,0.9799428
CLOCK,Clock,0.97994125
UGT1A6,Ugt1a6a,0.97993803
TEX264,Tex264,0.9799319
TMEM169,Tmem169,0.9799252
MAU2,Mau2,0.97992307
TBX5,Tbx4,0.9799078
PXYLP1,Pxylp1,0.97990024
POU2F2,Pou2f2,0.97989404
ODF3L2,Odf3l2,0.97988296
FAM180A,Fam180a,0.9798775
KRTAP29-1,Krtap29-1,0.9798735
ALCAM,Alcam,0.9798698
RAB25,Rab25,0.97986215
SYNJ2BP-COX16,Gm20498,0.9798565
RALY,Raly,0.9798502
FBXL4,Fbxl4,0.97984695
PTCHD4,Ptchd4,0.9798303
ARNTL2,Arntl2,0.97983027
RHOA,Rhoa,0.97981787
CSNK2B,Csnk2b,0.97981274
SLC25A23,Slc25a23,0.9797954
NOS1,Nos1,0.97979367
RNF152,Rnf152,0.97978616
SMIM7,Smim7,0.97978467
HMOX2,Hmox2,0.9797822
CSRP2,Csrp2,0.9797793
GPRC5C,Gprc5c,0.97977155
DSG2,Dsg2,0.9797682
RBBP4,Rbbp4,0.9797439
S100A3,S100a3,0.9797426
RMI1,Rmi1,0.9797405
CWC15,Cwc15,0.97973466
ABR,Abr,0.9797346
ETV5,Etv5,0.9797299
CRYGS,Crygs,0.9797245
NSMCE3,Nsmce3,0.97972417
H1-6,H1f6,0.979724
PPIL2,Ppil2,0.979723
C1QC,C1qc,0.9797166
TPBG,Tpbg,0.9797159
TXNRD3,Txnrd3,0.9797147
IFFO2,Iffo2,0.9797028
AKT3,Akt2,0.97969776
ZNF831,Zfp831,0.97969484
LRRC19,Lrrc19,0.97969425
RGS19,Rgs19,0.9796813
AKNA,Akna,0.9796805
CTHRC1,Cthrc1,0.9796666
VPREB1,Vpreb2,0.979657
FTMT,Ftmt,0.97965264
DLX3,Dlx3,0.9796474
FPR3,Fpr3,0.97964495
ANKRD1,Ankrd1,0.9796402
SIRT7,Sirt7,0.9796345
UNC119B,Unc119b,0.9796336
BPIFA1,Bpifa1,0.97962105
BLOC1S2,Bloc1s2,0.9796164
SMARCC2,Smarcc2,0.97960854
CSE1L,Cse1l,0.979608
PIK3R3,Pik3r1,0.97960234
OR2M7,Olfr165,0.9795814
GSE1,Gse1,0.9795784
JMY,Jmy,0.9795647
FGFR1,Fgfr1,0.97956264
HECW2,Hecw2,0.9795572
LIPI,Lipi,0.97955686
NUCKS1,Nucks1,0.97955555
PRR9,Prr9,0.9795524
OR4A5,Olfr1252,0.9795518
SEC16A,Sec16a,0.97955054
STAU1,Stau1,0.9795469
FAM184B,Fam184b,0.9795466
PSMB3,Psmb3,0.97953737
TRDJ3,Trdj2,0.9795313
PSMA3,Psma3,0.97950953
OTUD6A,Otud6a,0.97950464
OTOP3,Otop3,0.97950286
RPL29,Rpl29,0.9794985
TAS2R13,Tas2r121,0.97949433
SYDE2,Syde2,0.9794907
MYO3B,Myo3b,0.97948617
PHOSPHO2,Phospho2,0.97948325
PIF1,Pif1,0.9794784
PAXIP1,Paxip1,0.9794775
UNC5C,Unc5c,0.97947353
ZBTB11,Zbtb11,0.9794712
MDH1,Mdh1,0.97947115
MASTL,Mastl,0.9794677
FAM184A,Fam184a,0.9794665
NAXE,Naxe,0.9794637
CD93,Cd93,0.97946256
SKOR2,Skor2,0.9794615
ZBTB14,Zbtb14,0.9794601
KRT12,Krt12,0.97945297
OR2A1,Olfr434,0.9794424
EPB41L2,Epb41l2,0.9794415
POLR1H,Polr1h,0.9794404
MARK2,Mark2,0.97943735
STARD10,Stard10,0.97943676
ACVR1C,Acvr1c,0.97943634
MRPS27,Mrps27,0.97943366
TIE1,Tie1,0.9794326
AGAP1,Agap1,0.9794209
PLEKHA4,Plekha4,0.9794098
EIF3E,Eif3e,0.9794062
KCNE2,Kcne2,0.97940063
CXCR6,Cxcr6,0.9794002
IL17RA,Il17ra,0.97939306
ATPAF1,Atpaf1,0.97939014
GLRX,Glrx,0.9793839
SOX11,Sox11,0.97938055
OR10H4,Olfr63,0.97937655
OR2T12,Olfr314,0.9793762
MKRN2,Mkrn2,0.97937167
KRTAP19-1,Krtap19-1,0.9793711
ANXA13,Anxa13,0.9793679
BMP3,Bmp3,0.9793591
ERICH4,Erich4,0.9793488
TMEM134,Tmem134,0.9793474
MFN1,Mfn1,0.9793449
YIPF5,Yipf5,0.9793431
ZC3H8,Zc3h8,0.97934276
SLCO2A1,Slco2a1,0.9793411
TAL1,Tal1,0.9793353
TNRC6C,Tnrc6c,0.97933096
RPL10L,Rpl10l,0.9793234
OR10AG1,Olfr1123,0.97931886
KRTAP4-9,Gm11554,0.97931725
ANXA8L1,Anxa8,0.97931504
RASA2,Rasa2,0.9793106
GAPVD1,Gapvd1,0.9793101
PFKFB3,Pfkfb2,0.97928
CEP78,Cep78,0.97927296
FBLL1,Fbll1,0.97927296
OR4E2,Olfr1509,0.9792645
HLA-E,H2-D1,0.9792566
SERPINE1,Serpine1,0.9792483
NKX1-2,Nkx1-2,0.97924745
SEMA3B,Sema3g,0.97924745
TAS2R39,Tas2r139,0.97924614
TMEM132C,Tmem132d,0.97924435
ADK,Adk,0.9792372
TMPPE,Tmppe,0.97923154
OR2Z1,Olfr372,0.97922057
KIRREL3,Kirrel3,0.97921073
LIPF,Lipf,0.97920847
ATP5PF,Atp5j,0.9791983
TICAM2,Ticam2,0.9791876
PTCHD1,Ptchd1,0.97918236
TMED6,Tmed6,0.9791732
GFI1,Gfi1,0.9791726
HTRA4,Htra4,0.979165
ZFP91-CNTF,Gm44505,0.979163
LACTBL1,Lactbl1,0.97916216
B4GALT5,B4galt6,0.9791526
KLHL25,Klhl25,0.9791519
MYO5A,Myo5a,0.9791516
PIK3CG,Pik3cg,0.9791475
KCNE5,Kcne1l,0.9791393
TNS2,Tns2,0.97913694
HOXA4,Hoxa4,0.9791343
BLVRB,Blvrb,0.9791335
PDCD10,Pdcd10,0.97913224
SIPA1L1,Sipa1l1,0.97912025
FABP7,Fabp7,0.9791182
PRRT1B,Gm13420,0.9791175
PPP1R14D,Ppp1r14d,0.9791097
TCIM,Tcim,0.97910726
REV3L,Rev3l,0.9791041
SPO11,Spo11,0.97910047
BANF1,Banf1,0.9790932
TARBP2,Tarbp2,0.9790776
ST6GALNAC5,St6galnac5,0.9790755
MYPOP,Mypop,0.97907525
EBF2,Ebf2,0.9790711
KCNC2,Kcnc1,0.97905487
GNL1,Gnl1,0.9790548
OR5P2,Olfr484,0.97905165
SLC36A4,Slc36a4,0.97905064
FYB2,Fyb2,0.9790283
DPP3,Dpp3,0.9790176
LRCH3,Lrch3,0.9790146
ILVBL,Ilvbl,0.97901183
COLEC11,Colec11,0.97901124
APC,Apc,0.9790073
SLC30A4,Slc30a4,0.9790016
STAP1,Stap1,0.9789972
EFNA1,Efna1,0.97899616
LCE1E,Lce1j,0.97899514
CXXC5,Cxxc5,0.9789838
IL1F10,Il1f10,0.9789803
AUTS2,Auts2,0.97897655
CCDC190,Ccdc190,0.9789751
TBC1D9,Tbc1d9b,0.97894543
UGT2B15,Ugt2a2,0.9789354
AXL,Axl,0.97893494
CSNK2A1,Csnk2a1,0.9789328
SLC7A7,Slc7a7,0.9789283
ZNF367,Zfp367,0.9789222
CYB561A3,Cyb561a3,0.97892004
HMCN1,Hmcn1,0.97891283
MYOT,Myot,0.97891027
LHCGR,Lhcgr,0.9789073
SRI,Sri,0.9788983
TBC1D4,Tbc1d4,0.9788942
ARID4A,Arid4a,0.978893
ZNF385A,Zfp385a,0.9788925
FBRSL1,Fbrsl1,0.9788924
SDC4,Sdc4,0.9788917
ROPN1L,Ropn1l,0.978887
BCAP31,Bcap31,0.9788868
YJU2,Yju2,0.9788776
MLXIPL,Mlxipl,0.97886366
BPNT1,Bpnt1,0.97886306
ACTRT1,Actrt1,0.97885853
ZNF416,Zfp418,0.9788554
SAXO1,Saxo1,0.97885424
DDR1,Ddr1,0.9788526
LGI1,Lgi1,0.9788481
TMEM229A,Tmem229a,0.97884595
PSMD10,Psmd10,0.9788455
C9orf72,C9orf72,0.97883344
PACSIN3,Pacsin3,0.9788331
MICAL3,Mical3,0.9788225
CLASP2,Clasp2,0.9788168
SAMSN1,Samsn1,0.9788163
C1QA,C1qa,0.97881055
TPD52L1,Tpd52l1,0.9788074
CYCS,Cycs,0.978801
SLF1,Slf1,0.9787975
TMEM216,Tmem216,0.9787966
NCKAP5,Nckap5,0.97879577
ASCL3,Ascl3,0.9787928
PDZD4,Pdzd4,0.97879136
MYO16,Myo16,0.9787868
OTOL1,Otol1,0.9787815
RP1L1,Rp1l1,0.9787446
FIP1L1,Fip1l1,0.97874343
FERMT1,Fermt1,0.97873706
CUL7,Cul7,0.9787363
FSCN1,Fscn1,0.9787306
PAX6,Pax6,0.9787286
NKD1,Nkd1,0.9787281
TMCO2,Tmco2,0.97871864
SPACA1,Spaca1,0.97871584
RASSF1,Rassf1,0.9787131
AMBRA1,Ambra1,0.9787116
COMMD5,Commd5,0.9787113
SFTPB,Sftpb,0.9787102
UNC93B1,Unc93b1,0.9787091
TTC14,Ttc14,0.9787087
ZNF48,Zfp553,0.9787072
ANKEF1,Ankef1,0.97870195
SERPINA12,Serpina12,0.9786974
GPRC5D,Gprc5d,0.978697
ARL14,Arl14,0.9786927
NALCN,Nalcn,0.9786916
CYP4F22,Cyp4f40,0.97869015
PCSK5,Pcsk5,0.97868824
BRINP1,Brinp1,0.978662
LRRC52,Lrrc52,0.97865677
BOLL,Boll,0.97865665
NHS,Nhs,0.9786499
SH3GL2,Sh3gl1,0.97864825
SANBR,Sanbr,0.97864556
IQCF5,Iqcf5,0.97864115
ZRANB3,Zranb3,0.97864074
FNDC8,Fndc8,0.9786251
KLK14,Klk14,0.97862434
RIMS1,Rims1,0.9786112
RPL38,Rpl38,0.97861046
EOMES,Eomes,0.9786091
METTL24,Mettl24,0.97860676
NELL1,Nell2,0.97859454
ZFAND3,Zfand3,0.978592
C11orf96,Gm13889,0.9785891
GPR33,Gpr33,0.9785872
IL27RA,Il27ra,0.978587
TM9SF1,Tm9sf1,0.9785845
TSPYL5,Tspyl5,0.9785784
OR11A1,Olfr96,0.97857744
AK8,Ak8,0.9785682
NRIP2,Gm44596,0.97856486
SLC25A52,Slc25a51,0.9785593
SERPINB12,Serpinb12,0.9785546
ADAM20,Adam25,0.9785537
GJA5,Gja5,0.9785335
MRPS30,Mrps30,0.9785333
RIOX1,Riox1,0.97852755
LRRIQ4,Lrriq4,0.9785255
DDI1,Ddi1,0.9785224
EOLA1,Eola1,0.9785223
ORAI2,Orai2,0.97852194
GPR17,Gpr17,0.978521
OR2AG1,Olfr704,0.97851
MMP16,Mmp16,0.9784986
EPYC,Epyc,0.97849625
MESP1,Mesp1,0.9784959
UFSP1,Ufsp1,0.97848785
OR7D4,Olfr39,0.9784811
EPHB3,Epha8,0.97847366
KLHL20,Klhl20,0.97847253
CCND2,Ccnd1,0.97846586
ZNF76,Zfp523,0.9784658
PSAPL1,Psapl1,0.9784657
RAB29,Rab29,0.97845984
C13orf42,Gm4131,0.9784493
MT-ND5,mt-Nd5,0.9784481
RCOR3,Rcor3,0.9784457
TMEM240,Tmem240,0.9784455
GPR25,Gpr25,0.9784401
ONECUT1,Onecut1,0.9784397
TPI1,Tpi1,0.9784366
OR7G2,Olfr845,0.9784363
NOLC1,Nolc1,0.9784358
PRICKLE2,Prickle2,0.97841626
RALGAPA2,Ralgapa2,0.97841376
TRBJ2-7,Trbj2-7,0.97841024
TBC1D23,Tbc1d23,0.97840995
RNF123,Rnf123,0.97840726
SDF4,Sdf4,0.9783994
RGS16,Rgs16,0.9783971
PPFIA2,Ppfia2,0.9783806
ZNF169,Zfp169,0.9783734
NDUFA4L2,Ndufa4l2,0.9783731
TRIM55,Trim55,0.9783719
KHSRP,Fubp1,0.9783708
SOX6,Sox6,0.9783664
SCNN1A,Scnn1a,0.97835875
NTRK1,Ntrk1,0.97835296
FAM151A,Fam151a,0.9783488
PARK7,Park7,0.97834736
EBAG9,Ebag9,0.9783436
ERVFRD-1,Syna,0.9783281
GRK1,Grk1,0.9783205
ANP32E,Anp32e,0.97830826
PNMT,Pnmt,0.97830564
GPR85,Gpr85,0.9783044
LGR4,Lgr4,0.97829545
ZSWIM4,Zswim4,0.97829163
ENO4,Eno4,0.97829103
NANOGP8,Nanog,0.97828335
KCNC4,Kcnc4,0.9782763
MMP28,Mmp28,0.97826755
PRLH,Prlh,0.9782667
HSF2BP,Hsf2bp,0.9782649
PRR16,Prr16,0.97824675
NFIX,Nfix,0.97824585
DNAI2,Dnai2,0.9782427
C5orf15,9530068E07Rik,0.97824085
SPNS1,Spns1,0.97823966
KCNJ11,Kcnj11,0.97823894
SLC5A2,Slc5a2,0.9782388
IL17C,Il17c,0.9782316
XPA,Xpa,0.97822946
HTR2A,Htr2a,0.97822726
BCL6B,Bcl6b,0.97822255
PLA1A,Pla1a,0.978214
SGPP2,Sgpp2,0.97819203
NDUFV1,Ndufv1,0.9781857
TXLNG,Txlng,0.97818404
LTB4R,Ltb4r1,0.9781785
JADE3,Jade3,0.9781756
PES1,Pes1,0.9781753
FGA,Fga,0.978161
XBP1,Xbp1,0.9781546
FAM189A2,Fam189a2,0.97815233
ESCO1,Esco1,0.97814876
SMARCAL1,Smarcal1,0.9781467
UCN,Ucn,0.9781466
P2RX4,P2rx4,0.97812504
TBRG4,Tbrg4,0.97811764
CREBL2,Crebl2,0.97810876
GPSM2,Gpsm2,0.9781045
TMEM17,Tmem17,0.9781027
LENEP,Lenep,0.97810084
RAB43,Rab43,0.9780953
COL9A1,Col9a1,0.9780942
STMN3,Stmn3,0.97809196
NAV2,Nav2,0.97809047
AIFM2,Aifm2,0.97808963
GPR37,Gpr37,0.97808576
FLNB,Flnb,0.97807693
PRRG3,Prrg3,0.97806585
RUNX1,Runx1,0.97806436
GLCCI1,Glcci1,0.9780613
SOX15,Sox15,0.9780511
KCNJ10,Kcnj10,0.97803885
FBXL3,Fbxl3,0.9780376
XIRP2,Xirp2,0.9780364
LY86,Ly86,0.9780315
ANKRD23,Ankrd23,0.9780311
PATJ,Mpdz,0.9780273
SEMA3F,Sema3f,0.9780229
MPND,Mpnd,0.97800887
GCK,Gck,0.9780083
SRD5A2,Srd5a2,0.97800726
C1orf116,AA986860,0.9780062
UBE2V2,Ube2v2,0.977994
MTA1,Mta1,0.9779929
CHEK1,Chek1,0.9779814
IL22,Il22,0.9779786
SUN1,Sun1,0.97797716
POLR3GL,Polr3gl,0.97796965
KIF18B,Kif18b,0.9779626
FAM174A,Fam174a,0.977959
PRKAA1,Prkaa1,0.97795814
DKK4,Dkk4,0.977954
SLC22A2,Slc22a2,0.9779331
ELOVL3,Elovl3,0.97792417
CAMKK1,Camkk1,0.9779224
SLC39A14,Slc39a14,0.9779167
TMEM19,Tmem19,0.9779167
NXT2,Nxt2,0.97791463
NDST2,Ndst2,0.9779138
PPIG,Ppig,0.977913
MYEF2,Myef2,0.9779128
ARRDC4,Arrdc4,0.9779109
RPS20,Rps20,0.97790587
MRPS16,Mrps16,0.9779052
MAK,Mak,0.9778898
CFHR5,Cfhr4,0.977887
TMEM150C,Tmem150c,0.9778854
HORMAD2,Hormad2,0.9778852
RXFP2,Rxfp2,0.97788316
MTCH2,Mtch2,0.9778795
ZIC4,Zic4,0.9778771
RSRC1,Rsrc1,0.97787195
RHOH,Rhoh,0.97787124
IL25,Il25,0.9778706
MUSK,Musk,0.9778673
TEX37,Tex37,0.9778653
PAX1,Pax1,0.97786003
KIF3A,Kif3a,0.9778515
OR7A17,Olfr19,0.9778496
G3BP2,G3bp2,0.9778215
ALOX12B,Alox12b,0.9778212
CNRIP1,Cnrip1,0.97781324
FGF3,Fgf3,0.97779846
KDM4E,Kdm4d,0.97779655
SLC28A3,Slc28a2,0.9777941
KCNK2,Kcnk2,0.9777848
GSTA1,Gsta1,0.9777831
LUZP2,Luzp2,0.9777779
ZSCAN2,Zscan2,0.97777337
IGF1,Igf1,0.9777706
KMT5B,Kmt5b,0.9777574
NIPA1,Nipa1,0.9777518
ADM2,Adm2,0.97775066
OCSTAMP,Ocstamp,0.9777351
PPP1R2B,Ppp1r2,0.9777209
KRTAP10-8,Gm19668,0.97771084
CCDC168,Gm8251,0.9777057
TDRD3,Tdrd3,0.97769934
ZFYVE27,Zfyve27,0.9776936
PBX2,Pbx2,0.97768736
AFG1L,Afg1l,0.977685
FBXL17,Fbxl17,0.9776789
USP19,Usp19,0.9776756
DNTTIP1,Dnttip1,0.9776724
CITED4,Cited4,0.9776718
DHRS7C,Dhrs7c,0.97766405
MMACHC,Mmachc,0.9776606
TPH1,Tph1,0.9776466
FAM81A,Fam81a,0.9776393
ASS1,Ass1,0.9776313
AGER,Ager,0.9776243
ARID5A,Arid5a,0.9776195
CAPSL,Capsl,0.977612
CST7,Cst7,0.977607
FHIP1B,Fam160a2,0.9775974
METTL21C,Mettl21c,0.97759557
DENR,Denr,0.9775953
WDR89,Wdr89,0.9775934
ACAT2,Acat2,0.97759086
CRIP1,Crip1,0.9775821
U2AF2,U2af2,0.97757244
TSSC4,Tssc4,0.97757095
SMG7,Smg7,0.9775615
CTSS,Ctss,0.9775593
SEPTIN4,Septin4,0.97754896
ZBTB43,Zbtb43,0.97754204
GSC2,Gsc2,0.97753876
HOMER3,Homer3,0.9775325
WASHC3,Washc3,0.9775319
CD5L,Cd5l,0.9775235
SRSF5,Srsf5,0.9775209
MRPS2,Mrps2,0.97751534
SGCE,Sgce,0.97750336
RPP38,Rpp38,0.97750247
HHAT,Hhat,0.9775009
DNM3,Dnm2,0.9774943
SRP72,Srp72,0.97749096
MOCS3,Mocs3,0.97749037
ACP4,Acp4,0.9774778
ARPC3,Arpc3,0.9774774
RBM38,Rbm38,0.9774713
KCNK1,Kcnk1,0.9774712
FGF21,Fgf21,0.97746396
FOXH1,Foxh1,0.9774635
CYLD,Cyld,0.97745246
PKHD1,Pkhd1,0.9774523
BNC2,Bnc2,0.9774472
CRLS1,Crls1,0.9774468
SMAD9,Smad9,0.9774382
APOE,Apoe,0.97743744
CYSTM1,Cystm1,0.9774243
AKR7A3,Akr7a5,0.9774211
SHISA6,Shisa6,0.977419
PTGES,Ptges,0.97741246
OLFML2A,Olfml2a,0.9774027
FAM205A,Gm12394,0.977393
C16orf89,AU021092,0.9773843
PRDX2,Prdx2,0.97738385
LCT,Lct,0.9773829
MYBPC1,Mybpc1,0.97738034
RUFY1,Rufy1,0.9773701
BCS1L,Bcs1l,0.9773668
NCAPH2,Ncaph2,0.9773622
TPRG1L,Tprgl,0.9773583
OPLAH,Oplah,0.9773411
GSTO2,Gsto2,0.9773398
CTSG,Ctsg,0.97733843
SLC9A3R2,Slc9a3r2,0.977335
TRHR,Trhr,0.9773124
CCSER2,Ccser2,0.977311
FAIM2,Faim2,0.97730756
MRS2,Mrs2,0.97730297
MMP7,Mmp7,0.9773026
IL13RA2,Il13ra2,0.97729236
SLC27A6,Slc27a6,0.9772881
LANCL3,Lancl3,0.97728795
RNF186,Rnf186,0.97728664
OPA1,Opa1,0.977273
CNIH1,Cnih1,0.9772567
CXXC1,Cxxc1,0.9772534
DENND6A,Dennd6a,0.9772513
TGFB3,Tgfb3,0.9772462
EIF4G2,Eif4g2,0.9772459
GMPPA,Gmppa,0.9772423
TSKU,Tsku,0.97721875
EIF4E2,Eif4e2,0.9772167
TEX47,Tex47,0.9771972
ATP2C1,Atp2c1,0.9771963
TMF1,Tmf1,0.9771925
IFIH1,Ifih1,0.9771843
OR4X2,Olfr1269,0.9771826
AK4P3,Ak4,0.9771814
RGS3,Rgs3,0.97717303
FAM53C,Fam53c,0.9771713
VPS54,Vps54,0.9771694
SCARB2,Scarb2,0.97715145
FBXW8,Fbxw8,0.97714764
POLR2H,Polr2h,0.97714204
PCED1A,Pced1a,0.97713536
DEPP1,Depp1,0.9771257
TRAM1L1,Tram1l1,0.9771221
SCNN1B,Scnn1b,0.9771206
RETREG1,Retreg1,0.97711945
MRTFA,Mrtfa,0.97711396
SSBP1,Ssbp1,0.9771137
SMIM36,Gm45716,0.97711223
PTX3,Ptx3,0.9771119
FRAT1,Frat1,0.97710687
SDR16C5,Sdr16c5,0.97710156
ENKUR,Enkur,0.9770991
HEYL,Heyl,0.9770951
PCYT1A,Pcyt1a,0.9770852
POGZ,Pogz,0.9770809
OLA1,Ola1,0.9770743
S100A11,S100a11,0.97706294
CBY2,Cby2,0.9770619
SMAD2,Smad2,0.97705984
FHIT,Fhit,0.9770583
OR51B2,Olfr66,0.9770581
MTMR14,Mtmr14,0.97704077
UBE2M,Ube2m,0.977036
TACO1,Taco1,0.9770352
POLN,Poln,0.97703344
TMEM252,Tmem252,0.97702914
IMPDH2,Impdh1,0.9770275
KCNA2,Kcna2,0.97702396
SLC52A3,Slc52a3,0.9770091
NUDT16L1,Nudt16l1,0.97699136
SON,Son,0.9769895
KCNH7,Kcnh7,0.9769815
ZC3HAV1,Zc3hav1,0.9769812
PIANP,Pianp,0.9769718
TP53INP2,Trp53inp2,0.9769692
KCNAB1,Kcnab1,0.9769674
ENG,Eng,0.97696364
AIRE,Aire,0.9769595
SLC15A3,Slc15a3,0.97695947
ATP7B,Atp7b,0.9769582
PPM1B,Ppm1b,0.97695816
VPS25,Vps25,0.976949
COBL,Cobl,0.9769441
LPIN3,Lpin3,0.9769338
AQP4,Aqp4,0.9769312
OR4X1,Olfr1506,0.97693014
CMTM5,Cmtm5,0.97692776
SLC25A22,Slc25a22,0.9769219
CCDC92B,Ccdc92b,0.97692055
RFC4,Rfc4,0.97691584
KDF1,Kdf1,0.97690785
OR6K3,Olfr424,0.9769011
GDAP1,Gdap1,0.9768739
MINDY4,Mindy4,0.9768557
CDC7,Cdc7,0.97685015
ADAD2,Adad2,0.9768476
TM6SF1,Tm6sf1,0.9768396
RNF138,Rnf138,0.9768273
MTA3,Mta3,0.97682226
PLA2G4D,Pla2g4d,0.976817
NOSIP,Nosip,0.97681457
SYNGAP1,Syngap1,0.97680545
CYP2C9,Cyp2c29,0.97680473
STAU2,Stau2,0.9767994
WDR33,Wdr33,0.97679424
RANGAP1,Rangap1,0.9767835
CUL5,Cul5,0.9767708
PLPBP,Plpbp,0.9767663
SLC17A9,Slc17a9,0.9767615
OR2AK2,Olfr316,0.9767519
NKAPD1,Nkapd1,0.9767493
SC5D,Sc5d,0.9767477
APCS,Apcs,0.9767445
TNIP1,Tnip1,0.976737
PSMA7,Psma7,0.97673285
PCDHA3,Gm37013,0.9767215
HLA-A,H2-Q6,0.97671425
POMP,Pomp,0.97671336
C2orf78,Gm5114,0.97671187
ITPRID1,Itprid1,0.97671026
CFL1,Cfl1,0.9767023
REEP1,Reep1,0.9766931
ARPC2,Arpc2,0.9766869
OR2B3,Olfr1359,0.9766856
OR5K3,Olfr195,0.9766727
SHANK3,Shank3,0.97666407
SLC13A3,Slc13a3,0.9766628
PPP2R5D,Ppp2r5d,0.97666204
CX3CR1,Cx3cr1,0.9766616
TMEM207,Tmem207,0.97665566
SHISAL2A,Shisal2a,0.97665244
ABCA4,Abca1,0.9766497
CYGB,Cygb,0.9766478
ANO1,Ano1,0.97664565
IQGAP3,Iqgap3,0.97663206
CKMT2,Ckmt2,0.97662497
C2CD4B,C2cd4b,0.9766204
HECTD4,Hectd4,0.9766141
MAP3K5,Map3k15,0.9766078
IMPA1,Impa1,0.9765969
ADAM15,Adam15,0.9765956
EIF3J,Eif3j1,0.97658104
NF2,Nf2,0.9765756
POGK,Pogk,0.9765753
CTPS2,Ctps2,0.9765691
NANOS2,Nanos2,0.97656536
FLT4,Flt4,0.9765651
BVES,Bves,0.9765644
BMP15,Bmp15,0.97656375
GLS2,Gls2,0.97654575
CALML4,Calml4,0.9765372
C2CD2L,C2cd2l,0.976535
EBNA1BP2,Ebna1bp2,0.9765269
UTY,Kdm6a,0.97652465
KANSL3,Kansl3,0.97652113
ITCH,Itch,0.9765205
HPGDS,Hpgds,0.9765194
RCHY1,Rchy1,0.9765192
SIM2,Sim2,0.97651523
BLACAT1,Gm29695,0.97651464
OR7G1,Olfr853,0.97651446
STK32A,Stk32a,0.9765135
STXBP5L,Stxbp5l,0.9765131
PHPT1,Phpt1,0.976508
PAFAH1B3,Pafah1b3,0.97650516
OLFM4,Olfm4,0.97649634
S100Z,S100z,0.9764961
SLBP,Slbp,0.9764942
MFSD3,Mfsd3,0.9764921
ACBD7,Acbd7,0.97648555
IL1RAP,Il1rap,0.97648257
MAPT,Mapt,0.976482
CACNB4,Cacnb4,0.97648114
OR2I1P,Olfr94,0.9764781
UGT2A1,Gm43638,0.9764773
FSTL5,Fstl5,0.97647417
TRAPPC3,Trappc3,0.9764738
HTR2C,Htr2c,0.9764677
CMPK2,Cmpk2,0.97646755
ZNF2,Zfp661,0.9764635
TRPV1,Trpv1,0.9764518
ATP5F1E,Atp5e,0.976444
IFNL1,Ifnl2,0.97643816
GCM1,Gcm1,0.97643435
TTLL5,Ttll5,0.9764282
CLDN19,Cldn19,0.97642756
SYTL1,Sytl1,0.97640145
