human gene name,pig gene name,correlation
SELENOS,SELENOS,0.98624545
CDH16,CDH16,0.9862439
MDM4,MDM4,0.986242
CLDN7,CLDN7,0.986238
ACAN,ACAN,0.9862352
OPRK1,OPRK1,0.9862326
BVES,BVES,0.98622996
SLC25A38,SLC25A38,0.9862297
CRHBP,CRHBP,0.98622614
XPNPEP1,XPNPEP1,0.9862255
EMC3,EMC3,0.98622173
VPS13B,VPS13B,0.9862204
CDK5RAP2,CDK5RAP2,0.986219
CCR6,CCR6,0.9862176
EPB41,EPB41,0.9862172
STAT1,STAT1,0.98621345
FST,FST,0.9862106
ANXA11,ANXA11,0.986208
GPR107,GPR107,0.986206
PTRH2,PTRH2,0.9862059
CDK19,CDK19,0.98620576
RPL7A,RPL7A,0.98620564
LEP,LEP,0.9862042
ACTRT3,ACTRT3,0.98620224
NDUFB1,NDUFB1,0.9861961
RPL26,RPL26,0.98619366
MED19,MED19,0.986193
NFIA,NFIA,0.9861904
PHACTR3,PHACTR3,0.986182
MYH9,MYH9,0.9861783
UPK1A,UPK1A,0.9861746
CAPZA1,CAPZA1,0.9861716
CCDC33,CCDC33,0.98616993
MAGI2,MAGI2,0.9861577
SSR2,SSR2,0.98615587
ZNF346,ZNF346,0.9861432
EIF4E2,EIF4E2,0.9861417
ANGPTL7,ANGPTL7,0.98613596
BIRC2,BIRC2,0.98612875
FMO5,FMO5,0.9861249
C1orf116,C1orf116,0.98612326
CCDC77,CCDC77,0.98611915
HMGN4,HMGN4,0.98611546
HEYL,HEYL,0.98611003
MMP7,MMP7,0.9861082
WRAP53,WRAP53,0.9861061
BTN1A1,BTN1A1,0.98610574
C1orf68,KPLCE,0.9861043
MINPP1,MINPP1,0.9861001
LRIT1,LRIT1,0.9860979
ACVR1B,ACVR1B,0.98609704
UBE2C,UBE2C,0.986095
KLF16,KLF16,0.9860852
TMEM9,TMEM9,0.986078
FAM89A,FAM89A,0.986075
EEF1AKMT4,EEF1AKMT4,0.9860716
PLEKHH3,PLEKHH3,0.9860616
SLIT3,SLIT2,0.9860593
ADRA2C,ADRA2C,0.9860565
NMB,NMB,0.9860425
HS6ST2,HS6ST2,0.9860395
KIF11,KIF11,0.986037
ZNF281,ZNF281,0.9860351
ALOX15B,ALOX15B,0.98603404
WBP1,WBP1,0.98603225
ELK1,ELK1,0.9860295
SPNS1,SPNS1,0.9860295
SDHAF1,SDHAF1,0.98602694
SPAST,SPAST,0.9860257
CBX3,CBX3,0.9860207
TTC4,TTC4,0.9860187
TSKS,TSKS,0.98601264
CAMK2G,CAMK2G,0.9860113
IL19,IL19,0.98600894
CDKN3,CDKN3,0.98600775
TMEM42,TMEM42,0.9860025
UBE2V2,UBE2V2,0.9859987
PPP3CB,PPP3CB,0.9859976
SH3RF2,SH3RF2,0.98599756
LRRC18,LRRC18,0.9859926
NELFB,NELFB,0.98599166
CYP17A1,CYP17A1,0.9859894
EIF1,EIF1,0.9859881
GOSR2,GOSR2,0.98598737
ACTN4,ACTN4,0.9859865
CYBRD1,CYBRD1,0.985984
AIRE,AIRE,0.98597896
FGF7,FGF7,0.98597836
ZNF831,ZNF831,0.9859781
KLF6,KLF6,0.9859647
SLC9A6,SLC9A6,0.9859644
GPR150,GPR150,0.98596257
SLC25A4,SLC25A4,0.9859529
ADAM15,ADAM15,0.9859462
EMSY,EMSY,0.98594
NBL1,NBL1,0.9859398
PODXL2,PODXL2,0.98593575
SRFBP1,SRFBP1,0.985934
KLHL38,KLHL38,0.9859292
CYP8B1,CYP8B1,0.98592335
ACOD1,ACOD1,0.98592293
SHISAL2A,SHISAL2A,0.98592114
MPZL2,MPZL2,0.9859195
ZBTB17,ZBTB17,0.9859179
FAM243A,C21orf140,0.98591465
PAIP2,PAIP2,0.98590326
SULT1E1,SULT1E1,0.985897
STIL,STIL,0.9858892
UBE2A,UBE2B,0.9858806
CPNE5,CPNE5,0.98587954
NUDCD2,NUDCD2,0.9858751
GKN2,GKN2,0.9858742
BEX1,BEX1,0.98587275
CRYBA2,CRYBA2,0.9858725
LSM10,LSM10,0.98586935
CAB39L,CAB39L,0.98586816
CUX1,CUX1,0.9858679
TAS2R41,TAS2R41,0.9858651
EZR,MSN,0.98585653
PTPN1,PTPN1,0.9858505
GDF15,GDF15,0.9858484
TTC21B,TTC21B,0.98584825
MAST2,MAST1,0.985839
WHAMM,WHAMM,0.9858381
LSAMP,LSAMP,0.98582846
GEMIN7,GEMIN7,0.98582727
ANKRD29,ANKRD29,0.98582655
IFITM5,IFITM5,0.9858243
NFATC4,NFATC4,0.9858225
GHRH,GHRH,0.98582196
PCDHB1,PCDHB1,0.98581547
MOSMO,MOSMO,0.9858116
IMMT,IMMT,0.98580533
NAV2,NAV2,0.9858027
UCN,UCN,0.98579746
CREB1,CREB1,0.98579437
SLC25A28,SLC25A28,0.9857919
FRZB,FRZB,0.98577225
CRLF1,CRLF1,0.98576134
CENPL,CENPL,0.98575985
CCT8,CCT8,0.98575294
WSB2,WSB2,0.98575014
MRPS30,MRPS30,0.9857461
FGR,FGR,0.9857454
ESR2,ESR2,0.98574024
RPLP2,RPLP2,0.98573065
CLP1,CLP1,0.9857305
TRIP13,TRIP13,0.98572665
ZNF510,ZNF782,0.98572063
REM1,REM1,0.98571986
PAPPA2,PAPPA2,0.98571366
SPTBN5,SPTBN5,0.9857067
PCCB,PCCB,0.98570615
SYNE3,SYNE3,0.9857058
NUMB,NUMB,0.9857004
PSMA5,PSMA5,0.9856961
TFCP2,TFCP2,0.9856952
LIN9,LIN9,0.98569393
LSM2,LSM2,0.98569196
SDE2,SDE2,0.9856856
ODR4,ODR4,0.98567694
TRUB2,TRUB2,0.98567396
TUBAL3,TUBAL3,0.985673
RALGPS1,RALGPS1,0.985658
KCNK16,KCNK16,0.98564255
IQCC,IQCC,0.9856414
CORO7-PAM16,CORO7,0.9856254
MC3R,MC3R,0.9856239
VWA7,VWA7,0.9856195
RGS18,RGS18,0.98561186
TJP2,TJP2,0.9856105
WDR4,WDR4,0.98560965
EXTL1,EXTL1,0.98560727
OR6X1,OR6X1,0.98560613
KCNK15,KCNK15,0.98560333
CCDC152,CCDC152,0.985597
TBC1D13,TBC1D13,0.9855956
LTB4R2,LTB4R2,0.98559505
PRDM8,PRDM8,0.98559165
ATAD5,ATAD5,0.9855873
OVCH2,OVCH2,0.98558277
ACTR1A,ACTR1A,0.9855824
CDH10,CDH10,0.9855677
CACNB1,CACNB1,0.9855638
TCIM,TCIM,0.98556095
KRTAP29-1,KRTAP29-1,0.98555976
SALL4,SALL4,0.9855499
HOXD3,HOXD3,0.9855294
FYB2,FYB2,0.9855282
SBSPON,SBSPON,0.9855204
AUNIP,AUNIP,0.98551637
CRADD,CRADD,0.98551357
ARHGAP32,ARHGAP32,0.98551077
RGS9,RGS9,0.9855107
THYN1,THYN1,0.98550874
GPBAR1,GPBAR1,0.9854881
PPP1CC,PPP1CC,0.98547864
BCAR3,BCAR3,0.9854596
TRPV1,TRPV1,0.9854476
PLA2G2F,PLA2G2F,0.98544466
CCDC188,CCDC188,0.98543507
ARV1,ARV1,0.98543304
FAM120A,FAM120A,0.9854307
SPATA25,SPATA25,0.9854286
CCDC174,CCDC174,0.9854271
PIGW,PIGW,0.98542684
MRPS31,MRPS31,0.9854172
PEA15,PEA15,0.985416
BAALC,BAALC,0.9854136
ERLIN2,ERLIN2,0.9853928
RWDD2B,RWDD2B,0.9853884
OR6M1,OR6M1,0.9853874
TNF,TNF,0.9853843
IL12B,IL12B,0.9853838
RTL5,RTL5,0.9853818
GAST,GAST,0.9853746
NAP1L3,NAP1L3,0.9853706
CNTF,CNTF,0.9853667
RAPGEF1,RAPGEF1,0.98536164
CDH18,CDH18,0.9853614
BMERB1,BMERB1,0.98536056
ERBIN,ERBIN,0.9853604
PAQR5,PAQR5,0.9853416
NLRP13,NLRP13,0.98533446
MLXIPL,MLXIPL,0.9853269
BCAP29,BCAP29,0.98531526
SND1,SND1,0.9853123
CDSN,CDSN,0.9853082
C1orf210,C1orf210,0.9853079
SOAT1,SOAT1,0.98529905
GFY,GFY,0.9852911
ABCG4,ABCG4,0.98528856
BPNT1,BPNT1,0.98527545
WDR91,WDR91,0.9852722
PHF20L1,PHF20L1,0.9852658
NCBP2AS2,NCBP2AS2,0.9852595
PTGER3,PTGER3,0.9852583
PEX26,PEX26,0.9852498
CFL1,CFL2,0.9852475
LRCH3,LRCH3,0.9852423
TMEM114,TMEM114,0.9852405
NENF,NENF,0.98524046
LHFPL1,LHFPL1,0.98523635
SLC24A1,SLC24A1,0.98521954
STC1,STC1,0.9852195
IDH3G,IDH3G,0.98521626
CRYGD,CRYGD,0.98521596
MYH15,MYH15,0.9852024
ARHGAP18,ARHGAP18,0.98517483
CHAC2,CHAC2,0.98517466
CDK3,CDK3,0.9851497
ANAPC2,ANAPC2,0.98514634
SCYGR3,SCYGR6,0.98514515
LRRC32,LRRC32,0.9851447
DDX51,DDX51,0.9851443
SH3GL2,SH3GL2,0.9851269
CRPPA,CRPPA,0.98511934
INS,INS,0.9851022
NRK,NRK,0.9850727
COX6A1,COX6A1,0.98507124
BPGM,BPGM,0.9850568
KLK5,KLK5,0.98505175
EDN1,EDN1,0.9850507
SAR1B,SAR1B,0.9850469
ACLY,ACLY,0.985044
ITGBL1,ITGBL1,0.9850429
ZNF280B,ZNF280B,0.9850407
TSPAN17,TSPAN17,0.98503506
PRKAR1B,PRKAR1A,0.98503125
STYX,STYX,0.9850226
ANKRD2,ANKRD2,0.98502254
MAP2K1,MAP2K1,0.98501587
SLBP,SLBP,0.98500574
ZMAT1,ZMAT1,0.9850057
SRRM5,SRRM5,0.9849997
TSSK1B,TSSK1,0.9849991
ORMDL1,ORMDL1,0.9849983
NIPA2,NIPA2,0.9849951
CREG2,CREG2,0.9849945
FAM240A,FAM240A,0.9849914
LRRC42,LRRC42,0.98498636
AAK1,AAK1,0.9849829
MUSK,MUSK,0.9849775
PARN,PARN,0.984976
KCNE5,KCNE5,0.9849663
STN1,STN1,0.9849622
ZNF239,ZNF239,0.98495924
MRPS26,MRPS26,0.9849542
LIPI,LIPI,0.9849459
CLTA,CLTA,0.9849424
TTLL8,TTLL8,0.98493546
SOWAHA,SOWAHA,0.9849296
SUB1,SUB1,0.9849287
LIMS1,LIMS1,0.9849262
SLC25A35,SLC25A35,0.98492235
TCTA,TCTA,0.9849219
P3H3,P3H3,0.98491514
GMFG,GMFG,0.98491377
ADAM19,ADAM19,0.9849089
SCYGR7,SCYGR4,0.9849051
ZBTB8B,ZBTB8B,0.98490435
CCDC180,CCDC180,0.984895
VSTM2A,VSTM2A,0.9848891
PPARGC1B,PPARGC1B,0.98488367
ESRRG,ESRRG,0.9848817
RAP1B,RAP1B,0.98487365
NF2,NF2,0.9848725
ACP2,ACP2,0.98486716
TSSK6,TSSK6,0.98486215
DDX47,DDX47,0.9848572
DUT,DUT,0.9848556
C5orf49,CFAP90,0.9848515
AKT1S1,AKT1S1,0.984851
PRKG1,PRKG1,0.9848499
RAB11A,RAB11A,0.9848434
MAPK12,MAPK12,0.9848427
TRIM38,TRIM38,0.9848382
TMEM132B,TMEM132B,0.98483187
MADD,MADD,0.9848255
SRGAP3,SRGAP3,0.9848255
KDM5C,KDM5C,0.98481417
DPEP2NB,DPEP2NB,0.9848112
ARHGEF26,ARHGEF26,0.9848035
WASHC3,WASHC3,0.9848026
SNX19,SNX19,0.98480177
GNB5,GNB5,0.98479784
PIMREG,PIMREG,0.9847958
CLIC4,CLIC4,0.98478913
TLE3,TLE3,0.9847846
SHANK2,SHANK2,0.9847823
JADE2,JADE2,0.98478216
ZNF829,ZNF829,0.9847811
CCT6A,CCT6B,0.98477876
PRR15L,PRR15L,0.98476064
FBXW8,FBXW8,0.984757
FOXRED2,FOXRED2,0.9847566
SPO11,SPO11,0.98475426
INO80E,INO80E,0.98475224
NDUFA2,NDUFA2,0.9847491
PHRF1,PHRF1,0.9847427
RABGGTB,MSH4,0.98473775
PACSIN1,PACSIN1,0.98473144
CH25H,CH25H,0.98472494
DYNLT2,DYNLT2,0.9847235
CCDC85A,CCDC85A,0.9847154
ZNF513,ZNF513,0.98470885
IFT122,IFT122,0.9846984
SPATA2L,SPATA2L,0.984691
QDPR,QDPR,0.98469
TFEC,TFEC,0.98468834
UPK3A,UPK3A,0.98467195
TIMM13,TIMM13,0.9846705
KRT24,KRT24,0.9846665
NFRKB,NFRKB,0.9846563
ARMC3,ARMC3,0.9846502
MASTL,MASTL,0.98464817
CMPK2,CMPK2,0.9846451
IL25,IL25,0.9846451
EEFSEC,EEFSEC,0.9846449
WDR38,WDR38,0.9846388
FCHSD1,FCHSD1,0.9846365
ETV4,ETV4,0.9846351
MACO1,MACO1,0.9846345
RPP30,RPP30,0.9846305
PLCL2,PLCL2,0.98462737
TNNC1,TNNC1,0.98462117
MYBPC2,MYBPC2,0.9846112
CBR3,CBR3,0.9846091
SLC27A4,SLC27A4,0.9846074
DCN,DCN,0.98460203
DNASE1L2,DNASE1L2,0.9845873
MAP1LC3C,MAP1LC3C,0.9845841
DELE1,DELE1,0.9845807
VMAC,VMAC,0.9845733
OGN,OGN,0.9845614
ZMYM1,ZMYM1,0.98455995
AFAP1L2,AFAP1L2,0.984555
ADAMTS1,ADAMTS1,0.984553
SP3,SP3,0.9845517
EXD2,EXD2,0.984541
PABPC1,PABPC4,0.98453933
SLC5A10,SLC5A10,0.9845368
TRAPPC10,TRAPPC10,0.9845361
NIBAN2,NIBAN2,0.9845334
RPAP2,RPAP2,0.98452985
YIPF5,YIPF5,0.98452055
CYSTM1,CYSTM1,0.984514
SRSF7,SRSF7,0.9845119
HAPLN2,HAPLN2,0.9845031
KCNS1,KCNS1,0.98450047
KRT85,KRT85,0.9844886
CERS1,CERS1,0.9844775
CTH,CTH,0.9844716
TTC16,TTC16,0.9844674
CCDC124,CCDC124,0.98446316
HS3ST3B1,HS3ST3A1,0.9844525
RARA,RARA,0.9844514
CNGA3,CNGA3,0.98443586
ANAPC15,ANAPC15,0.98442864
WT1,WT1,0.98442626
CCDC8,CCDC8,0.98442197
EEF1A1,EEF1A2,0.9844216
OR1B1,OR1B1,0.984415
TMEM182,TMEM182,0.98441243
ARSL,ARSL,0.9844122
FAM170B,FAM170B,0.98441076
METTL5,METTL5,0.98441076
OR9Q1,OR9Q1,0.9844006
BTBD11,ABTB3,0.98439384
CCDC172,CCDC172,0.98439324
CCNG1,CCNG1,0.9843892
ECPAS,ECPAS,0.9843831
SDHAF4,SDHAF4,0.98438126
KIAA0319,KIAA0319,0.98437905
PRPF31,PRPF31,0.98437464
NR4A2,NR4A2,0.9843681
NPTX1,NPTX1,0.9843656
MAGEB3,MAGEB3,0.98436147
FKBP6,FKBP6,0.9843575
GLB1L2,GLB1L2,0.98435247
USP9X,USP9Y,0.9843476
FTMT,FTMT,0.98434097
ANKRD16,ANKRD16,0.98432547
AMIGO1,AMIGO1,0.98430324
PDE5A,PDE5A,0.98430306
SERPINF2,SERPINF2,0.9842957
TNIP2,TNIP2,0.9842945
LRP12,LRP12,0.9842884
KCNJ8,KCNJ8,0.98428714
SEH1L,SEH1L,0.98427975
ST7,ST7,0.9842785
TCF7L2,TCF7L2,0.9842785
PAAF1,PAAF1,0.9842759
KIF2B,KIF2B,0.9842715
MOCOS,MOCOS,0.9842714
CCL21,CCL21,0.98426867
CDC42,CDC42,0.9842617
CUL4B,CUL4B,0.9842611
NONO,NONO,0.98425823
F2RL2,F2RL2,0.9842407
RPL24,RPL24,0.98423713
TRIM69,TRIM69,0.98423535
NKX2-6,NKX2-6,0.9842329
ATXN7L3,ATXN7L3,0.9842234
SLC4A9,SLC4A9,0.98421705
SGO1,SGO1,0.9842145
MSMO1,MSMO1,0.98421407
PLD4,PLD4,0.984214
SH3KBP1,SH3KBP1,0.9842112
FKBP9,FKBP9,0.98421043
IL18,IL18,0.9842087
SUPT3H,SUPT3H,0.98420775
TMEM252,TMEM252,0.9842063
MAGEB18,MAGEB18,0.98419785
FRRS1,FRRS1,0.9841957
PPP1R42,PPP1R42,0.98419124
PIGP,PIGP,0.98418677
RILPL2,RILPL2,0.98417854
RIBC1,RIBC1,0.98417324
KLHDC9,KLHDC9,0.9841724
NALCN,NALCN,0.9841693
SORCS1,SORCS1,0.9841681
CRYGC,CRYGC,0.9841679
SDC2,SDC2,0.9841666
NUP210,NUP210,0.9841664
AP2M1,AP2M1,0.98416513
CDKN2AIPNL,CDKN2AIPNL,0.9841643
SLC26A5,SLC26A5,0.9841604
C13orf42,C13orf42,0.9841599
AVPI1,AVPI1,0.9841508
PLPP3,PLPP3,0.98414946
HIGD2A,HIGD2A,0.9841488
MBNL2,MBNL2,0.9841466
IL21,IL21,0.98414445
TAP1,TAP1,0.9841438
WSB1,WSB1,0.98414236
TMPRSS3,TMPRSS3,0.98413736
OR2T1,OR2T1,0.9841365
PTGIS,PTGIS,0.9841335
OR2H1,OLF42-3,0.9841256
PPME1,PPME1,0.9841254
RAB28,RAB28,0.98411965
LRRC52,LRRC52,0.9841157
KPNA6,KPNA6,0.9841074
RPL10L,RPL10L,0.9841049
CXCR6,CXCR6,0.9841012
TENT2,TENT2,0.9840874
KIF19,KIF19,0.9840811
HCN1,HCN1,0.9840803
TMEM82,TMEM82,0.98407984
OC90,OC90,0.9840793
CCDC167,CCDC167,0.9840751
LHCGR,LHCGR,0.9840738
PTPRCAP,PTPRCAP,0.9840699
PSMB8,PSMB8,0.9840677
ESD,ESD,0.9840672
DNAJC7,DNAJC7,0.98406464
SOCS7,SOCS7,0.98406297
CCR7,CCR7,0.984059
SEC61A1,SEC61A1,0.98405576
CAPNS1,CAPNS1,0.9840539
EBI3,EBI3,0.98405004
RHBDL1,RHBDL1,0.98404914
CACFD1,CACFD1,0.9840488
C9orf152,C9orf152,0.98404753
RALA,RALA,0.9840469
RABIF,RABIF,0.9840462
SHC1,SHC1,0.98404396
IBSP,IBSP,0.9840439
CYP1A2,CYP1A2,0.9840412
HUS1,HUS1,0.9840356
HECTD1,HECTD1,0.9840326
TDP2,TDP2,0.9840325
SNTA1,SNTA1,0.984026
CASZ1,CASZ1,0.9840233
ZDHHC12,ZDHHC12,0.9840208
ARFIP2,ARFIP2,0.98402
VPS4A,VPS4B,0.9840113
RCC1L,RCC1L,0.98400986
PTBP1,PTBP1,0.98400605
LTBP2,LTBP2,0.98399067
SIT1,SIT1,0.98398507
WSCD2,WSCD2,0.983985
SMIM3,SMIM3,0.98398113
DOK5,DOK5,0.9839759
C1orf158,CFAP107,0.9839695
PNISR,PNISR,0.9839682
C15orf62,C15orf62,0.9839613
PEAK3,PEAK3,0.9839602
DDX39B,DDX39B,0.98396015
TMEM52B,TMEM52B,0.9839599
COL13A1,COL13A1,0.98395455
WDR45B,WDR45B,0.9839492
TENT5B,TENT5B,0.98394245
ARMC8,ARMC8,0.9839421
CBLB,CBLB,0.9839371
TBC1D8,TBC1D8B,0.9839355
MRPS22,MRPS22,0.983933
CAMKV,CAMKV,0.9839317
STPG4,STPG4,0.9839256
FAHD1,FAHD1,0.98391294
FBXO21,FBXO21,0.9838967
TAPBP,TAPBP,0.9838909
ARF5,ARF4,0.9838873
DLG4,DLG4,0.9838867
SAMD8,SAMD8,0.9838819
CACNB2,CACNB2,0.98388106
TRAF1,TRAF1,0.9838786
TRIM27,TRIM27,0.98387504
MIA-RAB4B,MIA,0.9838557
SYTL1,SYTL1,0.9838546
SESN1,SESN1,0.98384386
ASIC2,ASIC1,0.9838438
TDRD10,TDRD10,0.9838429
AMOT,AMOT,0.98384076
LDB2,LDB2,0.98382866
MAPKAPK3,MAPKAPK3,0.98382455
PSTK,PSTK,0.98382384
TUG1,TUG1,0.98381543
PDZD9,PDZD9,0.9838126
FRAS1,FRAS1,0.98380476
TRMT61A,TRMT61A,0.9837965
RAB37,RAB37,0.9837926
CLDN17,CLDN17,0.98379225
ITIH3,ITIH3,0.98378795
FDX1,FDX1,0.98378515
DDHD1,DDHD1,0.9837799
PGLYRP3,PGLYRP3,0.98376745
UCMA,UCMA,0.98376477
C20orf96,C20orf96,0.98375815
TNNT1,TNNT1,0.9837558
PMEPA1,PMEPA1,0.9837529
F11,F11,0.9837498
KAT7,KAT7,0.983748
STXBP5,STXBP5,0.98374707
MT-ND4,ND4,0.98374015
TMEM128,TMEM128,0.98373955
COL4A6,COL4A6,0.98373777
AKT3,AKT3,0.9837373
RALGDS,RALGDS,0.98373723
TRIM13,TRIM13,0.98372173
KHK,KHK,0.9837164
VSIG10L2,VSIG10L2,0.9837157
GUCA2B,GUCA2B,0.9836908
FOXN2,FOXN2,0.9836904
NAA20,NAA20,0.9836801
PIGR,PIGR,0.98367894
PTPRB,PTPRB,0.98367554
BHMT,BHMT,0.9836748
KCNK13,KCNK13,0.9836738
METTL7B,TMT1B,0.9836726
PHLDB1,PHLDB1,0.98366284
TMEM242,TMEM242,0.98366064
JAM2,JAM2,0.98365873
SRRD,SRRD,0.9836498
RCC2,RCC2,0.98362327
NECTIN1,NECTIN1,0.9836222
RTN1,RTN1,0.9836167
GNL1,GNL1,0.9836109
C4orf45,SPMIP2,0.98360384
DSE,DSE,0.98360056
CWF19L2,CWF19L2,0.9835983
C1QC,C1QC,0.983595
GFRA1,GFRA1,0.98359317
SYT7,SYT7,0.9835919
MFSD14A,MFSD14A,0.983582
MCCC2,MCCC2,0.9835819
GUCD1,GUCD1,0.98357576
NLRP8,NLRP8,0.9835648
LPCAT1,LPCAT1,0.98356456
ANKRD23,ANKRD23,0.98356175
NSDHL,NSDHL,0.98355883
RABGGTA,RABGGTA,0.9835568
EVA1A,EVA1A,0.98355293
SLC22A8,SLC22A8,0.98355204
APIP,APIP,0.9835516
LCN15,LCN15,0.98355025
CDC42EP2,CDC42EP2,0.9835496
OR2Z1,OR2Z1,0.98354834
GCH1,GCH1,0.9835464
IRX4,IRX4,0.98353267
JAK1,JAK1,0.9835311
CINP,CINP,0.98352385
CACNA1D,CACNA1D,0.98352295
MOS,MOS,0.9835096
CYP26B1,CYP26B1,0.98349917
SH2D4B,SH2D4B,0.9834968
SNRPD2,SNRPD2,0.9834927
KRTDAP,KRTDAP,0.9834855
TRADD,TRADD,0.98348314
LAMTOR5,LAMTOR5,0.9834822
UHRF1,UHRF1,0.98348004
IHO1,IHO1,0.98347735
MYLIP,MYLIP,0.9834747
KIF21A,KIF21A,0.9834744
LRIT3,LRIT3,0.9834697
WDR54,WDR54,0.9834663
MC1R,MC1R,0.98346204
DIPK1B,DIPK1B,0.9834604
GIPC2,GIPC2,0.9834599
MBOAT4,MBOAT4,0.9834487
ZNF385C,ZNF385C,0.98344475
BHLHA9,BHLHA9,0.98343974
SCNN1A,SCNN1A,0.98343337
PDZD3,NHERF4,0.98343194
TMCO2,TMCO2,0.98342943
RNF170,RNF170,0.9834254
NLRC3,NLRC3,0.9834108
ZCCHC18,ZCCHC18,0.9834087
ID1,ID1,0.98340356
NPC1L1,NPC1L1,0.9834025
EVI5L,EVI5L,0.9834019
XPA,XPA,0.98339295
SLC39A9,SLC39A9,0.9833916
HOXA9,HOXA9,0.98338836
PRSS57,PRSS57,0.983388
CHIC2,CHIC2,0.98338664
MAFF,MAFF,0.98338133
C19orf81,C19orf81,0.9833774
TAFA5,TAFA5,0.983367
STRA8,STRA8,0.9833663
USPL1,USPL1,0.9833597
CORO1C,CORO1C,0.983354
ROR1,ROR1,0.9833482
VPS37D,VPS37D,0.983345
GRK2,GRK2,0.9833417
RNASEL,RNASEL,0.9833405
HPD,HPD,0.98333955
ZBTB11,ZBTB11,0.9833225
SERPINI2,SERPINI2,0.9833222
TMEM244,TMEM244,0.98332036
KRT32,KRT32,0.9833202
DNAJC27,DNAJC27,0.9833038
GRWD1,GRWD1,0.983298
FGF12,FGF12,0.98329765
PRICKLE2,PRICKLE2,0.9832823
MVK,MVK,0.9832816
BCKDHB,BCKDHB,0.9832711
SLC22A23,SLC22A23,0.98327106
ENKUR,ENKUR,0.98326826
UCKL1,UCKL1,0.9832655
GFRAL,GFRAL,0.98326206
DLGAP4,DLGAP4,0.9832599
AGR2,AGR2,0.98324966
CACNA1H,CACNA1H,0.9832443
ITGB1BP2,ITGB1BP2,0.98323596
CTPS1,CTPS1,0.9832354
SLC24A4,SLC24A4,0.9832332
HSD17B10,HSD17B10,0.98323137
WNK2,WNK2,0.98322767
BTRC,BTRC,0.98322695
VNN1,VNN1,0.983221
WDR64,WDR64,0.9832193
ENOX1,ENOX1,0.98321855
DUSP28,DUSP28,0.9832141
DNAJB1,DNAJB1,0.9832099
LRP8,LRP8,0.983207
BCAP31,BCAP31,0.9832032
CNIH4,CNIH4,0.98320067
SNRNP40,SNRNP40,0.98319805
YWHAZ,YWHAZ,0.9831943
EPYC,EPYC,0.9831859
NPEPL1,NPEPL1,0.9831844
COL5A2,COL5A2,0.98318064
CXCL10,CXCL10,0.9831783
SLC17A8,SLC17A8,0.9831722
HNRNPM,HNRNPM,0.9831664
SLAMF8,SLAMF8,0.9831627
WASHC5,WASHC5,0.98315614
CDK5RAP1,CDK5RAP1,0.9831561
TAS2R7,TAS2R7,0.98315465
KTI12,KTI12,0.98314804
TRPM8,TRPM8,0.9831457
CCNL1,CCNL1,0.9831423
FBLN7,FBLN7,0.9831328
LRRIQ4,LRRIQ4,0.9831315
MYADML2,MYADML2,0.98311704
ACP4,ACP4,0.98309356
HSDL2,HSDL2,0.9830854
UQCC2,UQCC2,0.98308456
CD63,CD63,0.9830844
CD27,CD27,0.9830817
HSPH1,HSPH1,0.98307955
HHIPL2,HHIPL2,0.98307663
WDR77,WDR77,0.98307276
SLC10A3,SLC10A3,0.9830686
CACNA1B,CACNA1B,0.98306847
PSKH1,PSKH1,0.9830638
SLCO4C1,SLCO4C1,0.98306173
FANCD2OS,FANCD2OS,0.9830515
RUFY1,RUFY1,0.983051
CEP290,CEP290,0.98305017
DIAPH3,DIAPH3,0.9830424
GIMD1,GIMD1,0.98303074
HPX,HPX,0.983029
EHHADH,EHHADH,0.983024
C1orf43,C1orf43,0.98301864
ATP5F1C,ATP5F1C,0.9830115
RBBP5,RBBP5,0.98300135
GTF2H3,GTF2H3,0.9830005
TAF13,TAF13,0.98299307
RAB3GAP2,RAB3GAP2,0.9829863
FCHSD2,FCHSD2,0.98298466
BRIP1,BRIP1,0.9829772
SOS1,SOS1,0.98296493
CSNK1A1L,CSNK1A1,0.9829593
RYK,RYK,0.982951
FLYWCH2,FLYWCH2,0.9829484
TUBGCP6,TUBGCP6,0.9829427
PTGFR,PTGFR,0.9829321
LTBP1,LTBP1,0.9829188
PLXNA3,PLXNA3,0.98291504
CCDC83,CCDC83,0.98291135
OR1D2,OR1D5,0.9829104
HRH2,HRH2,0.98290956
RIPOR2,RIPOR2,0.98290324
PPFIA2,PPFIA1,0.98290145
TAF8,TAF8,0.9829012
FAM32A,FAM32A,0.982888
MPP4,MPP4,0.9828858
R3HDML,R3HDML,0.9828781
HDAC9,HDAC9,0.98286915
GTF2H1,GTF2H1,0.98286587
TRPV5,TRPV5,0.982864
SLC18B1,SLC18B1,0.9828588
CCDC125,CCDC125,0.982855
ZNF385A,ZNF385A,0.9828527
ASS1,ASS1,0.98285025
C3orf49,C3orf49,0.9828389
STXBP3,STXBP3,0.98283607
SLC35E1,SLC35E1,0.9828357
PLXNA2,PLXNA4,0.98283064
TAGLN,TAGLN,0.9828267
IL27RA,IL27RA,0.98282313
ATP1B1,ATP1B1,0.98280966
ADAP1,ADAP1,0.9828082
IER3IP1,IER3IP1,0.9828055
DNAH5,DNAH5,0.98280114
SCEL,SCEL,0.98280066
MAP10,MAP10,0.98279953
YBX1,YBX1,0.98279154
CBY2,CBY2,0.9827904
UTP3,UTP3,0.9827774
SLX4,SLX4,0.98276985
CLCN4,CLCN4,0.98275876
