microcebus gene name,human gene name,correlation
TOMM22,TOMM22,0.9939808
LRRC24,LRRC24,0.99397343
C8A,C8A,0.9939667
ZNF398,ZNF398,0.993952
CYC1,CYC1,0.9939426
ASIC5,ASIC5,0.9939312
SLC29A2,SLC29A2,0.9939298
TGDS,TGDS,0.9939141
REM1,REM1,0.9939122
ITGA10,ITGA10,0.9939102
TIMM22,TIMM22,0.99390835
ZFAND5,ZFAND5,0.99390817
RAB5IF,RAB5IF,0.99390763
NRG2,NRG2,0.9939035
UNC80,UNC80,0.9938888
ZNF652,ZNF652,0.99388576
SVEP1,SVEP1,0.9938807
PROK1,PROK1,0.9938774
STEAP2,STEAP2,0.9938759
C2orf69,C2orf69,0.99387574
IRX5,IRX5,0.9938691
DMXL1,DMXL1,0.99386907
BACE1,BACE1,0.99386054
HGFAC,HGFAC,0.99385875
MAPK14,MAPK14,0.9938535
TMEM174,TMEM174,0.99385023
ARID4B,ARID4B,0.99384904
ATAD5,ATAD5,0.99384576
WDR36,WDR36,0.99384165
BSN,BSN,0.99384063
SERPINA11,SERPINA11,0.9938365
CYSTM1,CYSTM1,0.9938323
STIL,STIL,0.99382895
SUSD4,SUSD4,0.9938266
HSP90AA1,HSP90AB1,0.99382395
WDSUB1,WDSUB1,0.9938206
CD302,CD302,0.9938204
DSCC1,DSCC1,0.9938097
PHTF2,PHTF2,0.99380416
TSGA10,TSGA10,0.9938004
FAM193A,FAM193A,0.9937964
ABRAXAS2,ABRAXAS2,0.9937956
MMP9,MMP9,0.9937934
HMGCS2,HMGCS2,0.99379116
KRT7,KRT7,0.99378794
MBD1,MBD1,0.99377966
SSR3,SSR3,0.99377877
TET1,TET1,0.99377376
MBOAT7,MBOAT7,0.99377024
ANKRD17,ANKRD17,0.9937675
ABCG1,ABCG1,0.9937533
MCC,MCC,0.9937517
CTU1,CTU1,0.99374753
DUSP9,DUSP9,0.99374485
GPR12,GPR12,0.9937442
MYBPH,MYBPH,0.99373806
WDR1,WDR1,0.99373686
IRGQ,IRGQ,0.993733
RPL37A,RPL37A,0.9937307
MAEL,MAEL,0.9937289
EPB41L4B,EPB41L4B,0.99372774
SPECC1L,SPECC1L-ADORA2A,0.9937264
AXL,AXL,0.99372375
KRT24,KRT24,0.99372214
RNF207,RNF207,0.9937194
LAMC2,LAMC2,0.9937185
ANKRD16,ANKRD16,0.9937111
WDR70,WDR70,0.99370205
EPHA2,EPHA2,0.99369466
KIF18A,KIF18A,0.99369454
ANGPTL3,ANGPTL3,0.9936915
PDHB,PDHB,0.99369067
SHPK,SHPK,0.9936866
COLGALT2,COLGALT2,0.99368423
SMOC1,SMOC1,0.9936836
SMC1B,SMC1B,0.9936775
PMS2,PMS2,0.9936702
ORC1,ORC1,0.99366915
SPHKAP,SPHKAP,0.9936679
GDF1,GDF1,0.9936677
UAP1,UAP1,0.9936577
SPMIP7,SPATA48,0.99365515
BLNK,BLNK,0.9936484
PGBD5,PGBD5,0.9936423
PLPP3,PLPP3,0.99364215
CAVIN2,CAVIN2,0.99363744
LACTB2,LACTB2,0.99363554
HTRA2,HTRA2,0.993635
ASF1B,ASF1B,0.99363023
MAML1,MAML1,0.99362797
SLC46A3,SLC46A3,0.99362576
MYL6,MYL6,0.9936254
BMX,BMX,0.99362326
CCNC,CCNC,0.9936202
AIG1,AIG1,0.9936167
WNT9A,WNT9A,0.9936163
HELT,HELT,0.99361455
SETDB2,SETDB2,0.9936143
NRP2,NRP2,0.9936125
SV2A,SV2A,0.99361223
IL22RA1,IL22RA1,0.99360985
METAP1D,METAP1D,0.9936075
CILP,CILP,0.9936002
MKI67,MKI67,0.9936
ERBB4,ERBB4,0.993599
NOX3,NOX3,0.9935901
PRRC1,PRRC1,0.9935896
TRPM5,TRPM5,0.9935864
FSCN2,FSCN2,0.99358314
HRH2,HRH2,0.99358296
KLHDC2,KLHDC2,0.99357975
RHOBTB2,RHOBTB2,0.9935784
GAR1,GAR1,0.99357826
FSHB,FSHB,0.9935766
BCAR3,BCAR3,0.99357146
MED6,MED6,0.9935657
OSER1,OSER1,0.99355817
RASL11B,RASL11B,0.9935575
LOXL4,LOXL4,0.9935551
UBA52,UBA52,0.9935417
SPTB,SPTB,0.9935352
ZNF512B,ZNF512B,0.99353
ONECUT3,ONECUT3,0.99352956
SKOR2,SKOR2,0.9935293
SNRPD3,SNRPD3,0.99352455
PDE3B,PDE3B,0.9935191
ADRB3,ADRB3,0.9935105
PRDX3,PRDX3,0.9935054
ARHGEF9,ARHGEF9,0.99349964
CDH4,CDH4,0.99348944
SSR4,SSR4,0.99348694
ZNF428,ZNF428,0.99348485
TMEM204,TMEM204,0.9934846
MLX,MLX,0.99347574
LDB3,LDB3,0.9934734
CMIP,CMIP,0.9934716
SCAND3,ZBED9,0.99346864
TRIM55,TRIM55,0.99346775
ZNF154,ZNF154,0.99346656
RBFOX1,RBFOX1,0.9934649
GPX7,GPX7,0.9934602
PCOLCE,PCOLCE,0.9934556
PLEKHM3,PLEKHM3,0.9934529
PLEKHD1,PLEKHD1,0.9934465
INHBC,INHBC,0.99344647
RASL12,RASL12,0.99344456
ALCAM,ALCAM,0.9934379
SRSF2,SRSF2,0.9934377
SPAG1,SPAG1,0.9934335
MDGA2,MDGA2,0.9934331
MDFIC2,MDFIC2,0.9934293
SLC30A2,SLC30A2,0.9934267
SHISA9,SHISA9,0.99342203
GPR153,GPR153,0.99341226
FBXL6,FBXL6,0.99340606
HSF5,HSF5,0.9933911
OR10A3,OR10A3,0.9933814
METTL21C,METTL21C,0.9933797
CNNM2,CNNM2,0.9933775
SLC12A3,SLC12A3,0.9933677
VSX1,VSX1,0.99336606
HOXA11,HOXA11,0.99336374
AAMP,AAMP,0.99336314
AMER2,AMER2,0.993355
HES5,HES5,0.99335396
LIMK1,LIMK1,0.9933522
GPR161,GPR161,0.9933521
ZNF385C,ZNF385C,0.99335176
ZNRF3,ZNRF3,0.9933483
DCX,DCX,0.99333847
CNTF,CNTF,0.9933266
PTHLH,PTHLH,0.9933186
HOXD1,HOXD1,0.9933155
ARAP3,ARAP3,0.99331486
KCNT1,KCNT1,0.9933136
LIPN,LIPN,0.99328697
SHC3,SHC3,0.9932839
NSL1,NSL1,0.99328184
MAP3K20,MAP3K20,0.9932787
ZBTB16,ZBTB16,0.99327594
KIDINS220,KIDINS220,0.9932745
APIP,APIP,0.993269
GFY,GFY,0.99326694
DLX4,DLX4,0.99326485
KCNK17,KCNK17,0.993264
PTH1R,PTH1R,0.99326056
TRMT2B,TRMT2B,0.99325806
CTF1,CTF1,0.9932553
RABIF,RABIF,0.99325335
CHMP4C,CHMP4C,0.9932492
ELOVL1,ELOVL1,0.99324304
STOM,STOM,0.9932426
GRIN2C,GRIN2C,0.99323374
HPX,HPX,0.99321723
RCBTB2,RCBTB2,0.99321353
IL17B,IL17B,0.99321324
AGRN,AGRN,0.99320877
SLX4,SLX4,0.99320865
REEP1,REEP1,0.9931918
TMED2,TMED2,0.99319005
ZNF623,ZNF623,0.9931875
NPL,NPL,0.99318296
SNX14,SNX14,0.9931761
SLC19A2,SLC19A2,0.993172
PLCH2,PLCH2,0.9931597
ABCC9,ABCC9,0.99315906
HEPACAM2,HEPACAM2,0.99315846
TNFRSF6B,TNFRSF6B,0.9931577
A4GNT,A4GNT,0.99315697
GPN1,GPN1,0.9931565
SLC4A8,SLC4A8,0.9931551
MAD2L1BP,MAD2L1BP,0.99315506
ALOX15B,ALOX15B,0.99314845
FAF1,FAF1,0.99314743
INHA,INHA,0.99314517
SDC3,SDC3,0.9931444
GPR135,GPR135,0.9931409
RBMX2,RBMX2,0.99313897
SLC25A18,SLC25A18,0.9931321
CCDC50,CCDC50,0.9931309
JMJD6,JMJD6,0.99313015
GPT,GPT,0.99312323
ENPP5,ENPP5,0.99312025
SDR9C7,SDR9C7,0.99311614
TSHB,TSHB,0.9931116
LMO3,LMO3,0.9931083
GJA10,GJA10,0.99310744
CCDC142,CCDC142,0.9930999
EXTL2,EXTL2,0.9930963
RIPK4,RIPK4,0.9930956
PCARE,PCARE,0.9930947
C1QL3,C1QL3,0.99309146
TRPV4,TRPV4,0.99308985
BBS10,BBS10,0.99308544
CDKN2D,CDKN2D,0.9930847
FAM184B,FAM184B,0.99308455
ADAMTSL4,ADAMTSL4,0.9930753
CACHD1,CACHD1,0.9930611
TMED8,TMED8,0.9930609
FILIP1L,FILIP1L,0.99306065
NOL10,NOL10,0.9930595
LPAR1,LPAR1,0.9930572
MRPS6,MRPS6,0.9930567
ALYREF,ALYREF,0.99305433
ABLIM1,ABLIM1,0.9930543
TMEM17,TMEM17,0.9930507
GABBR1,GABBR1,0.99305004
LRRC38,LRRC38,0.9930483
H2AJ,H2AJ,0.9930467
CDCP2,CDCP2,0.9930462
ZBTB43,ZBTB43,0.9930459
BRPF1,BRPF1,0.99304587
KCTD5,KCTD5,0.993045
POMC,POMC,0.9930424
LIN28B,LIN28B,0.9930406
SVIP,SVIP,0.9930368
GAP43,GAP43,0.9930277
CISD1,CISD1,0.9930231
CIMAP1D,ODF3L2,0.993021
EXOC6,EXOC6,0.9930207
EREG,EREG,0.9930174
ZNF831,ZNF831,0.99301213
TBC1D20,TBC1D20,0.99301046
SOBP,SOBP,0.9930022
MMP13,MMP13,0.99299026
AGBL4,AGBL4,0.9929849
SMOX,SMOX,0.992984
TSEN34,TSEN34,0.9929792
NEUROG1,NEUROG1,0.9929773
ARL4A,ARL4A,0.9929684
TSPAN14,TSPAN14,0.99296796
NOL9,NOL9,0.99296474
RWDD2B,RWDD2B,0.9929581
GATA1,GATA1,0.99295664
GPR26,GPR26,0.99295413
IGLON5,IGLON5,0.9929506
PARN,PARN,0.9929505
MPZL2,MPZL2,0.992948
RAPGEF4,RAPGEF4,0.99294275
ATG5,ATG5,0.9929414
KIF14,KIF14,0.99294
FKBP5,FKBP5,0.99293923
RTN4RL1,RTN4RL1,0.9929308
DDAH1,DDAH1,0.99292445
GRAMD1B,GRAMD1B,0.9929184
PARP3,PARP3,0.99291337
CRHBP,CRHBP,0.99290645
ART1,ART1,0.9928992
NKAIN3,NKAIN3,0.99289805
VWA5B2,VWA5B2,0.9928949
SOWAHC,SOWAHC,0.9928938
CCDC63,CCDC63,0.9928889
FOXI2,FOXI2,0.9928883
HOMEZ,HOMEZ,0.9928838
PNLIP,PNLIP,0.9928833
GSG1L,GSG1L,0.99287736
ANGPTL6,ANGPTL6,0.99287575
TEX52,TEX52,0.9928755
WDR35,WDR35,0.9928753
NHSL2,NHSL2,0.9928713
GPHA2,GPHA2,0.99286824
HMGN3,HMGN3,0.99286526
ANKRD22,ANKRD22,0.99286205
RGN,RGN,0.9928559
CFAP126,CFAP126,0.9928484
LIMD1,LIMD1,0.99284685
PRAG1,PRAG1,0.992846
DGKI,DGKI,0.9928405
RGS16,RGS16,0.9928307
MAP3K1,MAP3K1,0.99282306
ISG20L2,ISG20L2,0.9928211
PAK1IP1,PAK1IP1,0.9928209
PLEKHB2,PLEKHB2,0.9928204
SPACA9,SPACA9,0.99281186
FKBP9,FKBP9,0.99280655
ARHGAP12,ARHGAP12,0.99280393
EBF3,EBF3,0.99280167
TMPRSS3,TMPRSS3,0.99279577
OR4K2,OR4K2,0.9927942
OTOP3,OTOP3,0.9927926
FBXW2,FBXW2,0.9927879
CDH15,CDH15,0.9927808
GABRQ,GABRQ,0.99278045
DAZAP2,DAZAP2,0.9927729
CPS1,CPS1,0.99277014
AVPR1B,AVPR1B,0.99276596
ZNF423,ZNF423,0.99276316
TECTB,TECTB,0.99276286
CAPRIN1,CAPRIN1,0.9927524
PGM5,PGM5,0.9927511
ZNF260,ZNF260,0.9927511
MAP3K7,MAP3K7,0.99274904
SPMIP1,ATP6V1FNB,0.9927484
KCNV2,KCNV2,0.9927438
ROBO4,ROBO4,0.99274147
SAMSN1,SAMSN1,0.99272513
GNB5,GNB5,0.99272203
NKX3-1,NKX3-1,0.99272
HSD17B8,HSD17B8,0.9927193
LUC7L2,FMC1-LUC7L2,0.9927191
CDCA3,CDCA3,0.99271554
ITGA6,ITGA6,0.99271256
SERINC2,SERINC2,0.9927123
EPHA8,EPHA8,0.99271077
EEF1AKMT4,EEF1AKMT4,0.99271005
FLRT2,FLRT2,0.9927029
TMEM238,TMEM238,0.9927025
PGGT1B,PGGT1B,0.9926794
FGR,FGR,0.9926781
TM4SF5,TM4SF5,0.9926691
OXSR1,OXSR1,0.9926677
ITGA8,ITGA8,0.9926602
KRT26,KRT26,0.9926592
CRYGD,CRYGD,0.99265474
PIR,PIR,0.9926477
NYX,NYX,0.9926474
FUT7,FUT7,0.9926446
TEK,TEK,0.9926392
KRR1,KRR1,0.99263823
FAM163A,FAM163A,0.99262804
FAM180A,FAM180A,0.9926239
SLC35A2,SLC35A2,0.9926208
PTAFR,PTAFR,0.99261874
ARSG,ARSG,0.9926143
NCBP2AS2,NCBP2AS2,0.9926122
MNS1,MNS1,0.99261034
UBR2,UBR2,0.9926019
PABIR2,PABIR2,0.9925921
TYMS,TYMS,0.99258345
PPP1R35,PPP1R35,0.99256694
OMD,OMD,0.992565
MYZAP,GCOM1,0.99256355
FABP7,FABP7,0.9925606
PTPRB,PTPRB,0.9925559
PRELP,PRELP,0.9925486
RGS18,RGS18,0.9925485
SUZ12,SUZ12,0.9925435
RHOD,RHOD,0.9925418
PHIP,PHIP,0.9925311
TLR3,TLR3,0.99252295
OR11H6,OR11H6,0.992521
NCDN,NCDN,0.9925206
KLHL32,KLHL32,0.9925197
PTRHD1,PTRHD1,0.9925137
MYL1,MYL1,0.9925122
NQO1,NQO1,0.9925061
ATP1B4,ATP1B4,0.992499
WNT3,WNT3,0.9924785
LEP,LEP,0.9924773
PGF,PGF,0.9924772
CLEC14A,CLEC14A,0.99247533
SH3RF2,SH3RF2,0.99247354
RGS7,RGS7,0.99247026
APOA4,APOA4,0.99246854
NUDT12,NUDT12,0.9924642
SCN3B,SCN3B,0.9924596
RGS21,RGS21,0.99245805
NR6A1,NR6A1,0.9924536
USP9X,USP9X,0.99245006
LYG2,LYG2,0.9924471
SLC15A5,SLC15A5,0.9924471
TAAR2,TAAR2,0.99244666
RAB32,RAB32,0.9924456
LZIC,LZIC,0.9924448
CCDC34,CCDC34,0.99244076
METTL9,METTL9,0.9924289
UPK2,UPK2,0.9924282
PCBD1,PCBD1,0.99242586
EXOSC1,EXOSC1,0.99242437
MYPOP,MYPOP,0.9924205
KRT10,KRT10,0.99241847
NPTX2,NPTX2,0.99241227
STN1,STN1,0.99241143
CLCA4,CLCA4,0.99240124
CYP2C18,CYP2C18,0.9923978
CIMAP2,LEXM,0.9923955
NOTCH4,NOTCH4,0.9923916
RELN,RELN,0.9923907
ANGPTL7,ANGPTL7,0.99237967
PTGER4,PTGER4,0.9923775
TONSL,TONSL,0.9923754
ZNF296,ZNF296,0.992372
CPEB2,CPEB2,0.99237037
TMCO4,TMCO4,0.9923698
ZRANB3,ZRANB3,0.99236834
PLPPR4,PLPPR4,0.99236405
DIMT1,DIMT1,0.9923618
GPRASP1,GPRASP1,0.9923574
NPAS4,NPAS4,0.99235636
SLC25A31,SLC25A31,0.99235505
BHLHA15,BHLHA15,0.9923543
CWC27,CWC27,0.99235266
EIF1AX,EIF1AX,0.9923493
PLEKHA2,PLEKHA2,0.9923482
OPN4,OPN4,0.99233747
SLC10A2,SLC10A2,0.99233705
UBL7,UBL7,0.99233526
KRT32,KRT32,0.99233264
NUDT2,NUDT2,0.9923282
ATP10B,ATP10B,0.9923168
PKIG,PKIG,0.992315
AAR2,AAR2,0.9923122
ZDHHC13,ZDHHC13,0.9923113
HLTF,HLTF,0.9923086
SPTSSA,SPTSSA,0.9922939
CRBN,CRBN,0.99229366
HINT2,HINT2,0.99229175
OTOL1,OTOL1,0.9922884
LAPTM5,LAPTM5,0.9922871
TPRG1L,TPRG1L,0.99228257
FNIP1,FNIP1,0.9922752
VPS33B,VPS33B,0.99227506
MIER1,MIER1,0.9922729
CFAP58,CFAP58,0.9922668
POLR1F,POLR1F,0.9922632
HSPBAP1,HSPBAP1,0.9922621
STYXL2,STYXL2,0.9922595
ATF3,ATF3,0.992255
SPATA31F1,FAM205A,0.992255
TMT1A,METTL7A,0.9922487
CRYBB3,CRYBB3,0.9922375
MYOF,MYOF,0.99223447
EDNRA,EDNRA,0.9922287
CAMSAP1,CAMSAP1,0.9922252
KLF1,KLF1,0.992224
PCLAF,PCLAF,0.9922235
ZNF214,ZNF214,0.99221224
VANGL2,VANGL2,0.9922096
CPA3,CPA3,0.99220824
METTL13,METTL13,0.9922066
CREBZF,CREBZF,0.99220645
PLIN2,PLIN2,0.99220634
CNGA3,CNGA3,0.9921921
DIPK1B,DIPK1B,0.992192
DHRS13,DHRS13,0.99218947
ELF2,ELF2,0.9921855
STAU2,STAU2,0.99218374
PAX4,PAX4,0.992179
PTH,PTH,0.99217665
SLC16A3,SLC16A3,0.9921649
SLC4A9,SLC4A9,0.9921607
RGS9,RGS9,0.9921567
SLC5A4,SLC5A4,0.9921564
FLT3,FLT3,0.9921519
NUTM1,NUTM1,0.9921475
GRPEL1,GRPEL1,0.99214697
RPS29,RPS29,0.99214387
ATP6V1C2,ATP6V1C2,0.99214286
CDCA2,CDCA2,0.99213827
EVA1B,EVA1B,0.99213755
IKBIP,IKBIP,0.9921323
NCKAP1L,NCKAP1L,0.99213034
VIPAS39,VIPAS39,0.99213
SLC22A8,SLC22A8,0.99212956
SEMA6B,SEMA6B,0.9921257
ARL14EPL,ARL14EPL,0.9921138
ATP5PB,ATP5PB,0.99211264
EDN2,EDN2,0.99211013
C9,C9,0.9921073
FGL1,FGL1,0.9921069
DLG1,DLG1,0.9921058
KLHDC8B,KLHDC8B,0.9920973
ZAR1L,ZAR1L,0.9920954
RXFP1,RXFP1,0.9920903
LRRC53,LRRC53,0.9920873
EZH2,EZH2,0.9920864
MVB12B,MVB12B,0.9920849
KCNH2,KCNH2,0.9920822
OPN1SW,OPN1SW,0.992082
TTPAL,TTPAL,0.99208146
SLC24A3,SLC24A3,0.99207157
OR52D1,OR52D1,0.99206954
ANKRD63,ANKRD63,0.99206907
DEFB110,DEFB110,0.9920684
KRBA2,KRBA2,0.99206674
BAIAP3,BAIAP3,0.99206513
MASP2,MASP2,0.99206126
RASL11A,RASL11A,0.99205136
SLC1A2,SLC1A2,0.99204993
GOSR1,GOSR1,0.9920492
SETBP1,SETBP1,0.9920456
ACP2,ACP2,0.9920442
DDN,DDN,0.9920424
ANK3,ANK2,0.99204105
PGLYRP4,PGLYRP4,0.99203765
TNIP1,TNIP1,0.99203646
CAB39L,CAB39L,0.9920327
RBMS1,RBMS1,0.9920318
C8orf34,C8orf34,0.9920316
PUS10,PUS10,0.99203026
FOXH1,FOXH1,0.9920291
CHRNA1,CHRNA1,0.9920261
DDX24,DDX24,0.99201864
CSNK1A1,CSNK1A1,0.9920179
DNAJC6,DNAJC6,0.9920144
PLP2,PLP2,0.9920138
SLC33A1,SLC33A1,0.99200743
MTMR3,MTMR3,0.9920072
HMGA1,HMGA1,0.99200135
DEXI,DEXI,0.99200106
ALG14,ALG14,0.99198866
CALHM5,CALHM5,0.9919882
STARD13,STARD13,0.9919875
TNPO1,TNPO1,0.9919773
STEAP4,STEAP4,0.99197155
MYBL1,MYBL1,0.99196815
GHRH,GHRH,0.9919626
BTG4,BTG4,0.9919436
NUDT17,NUDT17,0.9919424
APH1A,APH1A,0.9919336
CBX6,CBX6,0.99193275
MAGI1,MAGI1,0.9919268
GPRC6A,GPRC6A,0.9919266
SLC25A21,SLC25A21,0.9919186
TGM7,TGM7,0.99191827
MPST,MPST,0.99191093
CCDC22,CCDC22,0.99191076
DSG4,DSG4,0.99190205
PNPLA2,PNPLA2,0.9918924
PTGES,PTGES,0.9918897
KCNQ4,KCNQ4,0.99188846
GSTM3,GSTM3,0.9918835
APEX2,APEX2,0.99188197
DIAPH3,DIAPH3,0.9918781
GPR27,GPR27,0.9918684
PM20D2,PM20D2,0.99186724
ZCCHC14,ZCCHC14,0.9918506
TRAPPC11,TRAPPC11,0.9918505
PHRF1,PHRF1,0.9918468
FBXL18,FBXL18,0.9918453
PDE6D,PDE6D,0.99183846
MAP1LC3C,MAP1LC3C,0.99183446
AIMP1,AIMP1,0.99182725
ACP4,ACP4,0.991826
NUDT15,NUDT15,0.9918259
SELENOS,SELENOS,0.99182487
CSDE1,CSDE1,0.9918224
RTF2,RTF2,0.99182165
NOX4,NOX4,0.9918159
TAF4B,TAF4B,0.9918136
IKBKE,IKBKE,0.99181217
LRRC20,LRRC20,0.9918099
ARHGAP20,ARHGAP20,0.9918029
DUSP6,DUSP6,0.9918015
CALHM1,CALHM1,0.9918008
PLGRKT,PLGRKT,0.99179476
TRIO,TRIO,0.991781
BZW2,BZW2,0.99178046
SUPT3H,SUPT3H,0.99177486
OR52K2,OR52K1,0.9917723
PCDHAC2,PCDHA13,0.9917598
PSMB4,PSMB4,0.99175966
FOXO3,FOXO3,0.9917572
CCDC85A,CCDC85A,0.99175227
LTB4R2,LTB4R2,0.99175006
OR10G3,OR10G3,0.9917453
OPN3,OPN3,0.99174196
CRY2,CRY2,0.9917334
MAPK12,MAPK12,0.9917302
MINDY4B,MINDY4B,0.9917284
RRP1B,RRP1B,0.9917278
NME5,NME5,0.99172014
COQ8A,COQ8A,0.9917155
TGFBR3L,TGFBR3L,0.99171233
ERICH5,ERICH5,0.99170834
TBX1,TBX1,0.99170524
APBB3,APBB3,0.9917023
CCDC167,CCDC167,0.99169815
ARMCX5,ARMCX5,0.99169606
SCN1A,SCN3A,0.99168915
CSKMT,CSKMT,0.9916853
ENDOU,ENDOU,0.9916784
PPP1R12C,PPP1R12C,0.9916758
FANCF,FANCF,0.9916732
ATP4B,ATP4B,0.9916731
HAPLN4,HAPLN4,0.9916721
C1orf35,C1orf35,0.99166524
ANKEF1,ANKEF1,0.99166375
RIT2,RIT2,0.991663
MRPL18,MRPL18,0.99165624
RTN4R,RTN4R,0.9916547
GADD45G,GADD45G,0.9916541
SEZ6L,SEZ6L,0.9916506
MICU1,MICU1,0.9916483
AQP10,AQP10,0.99164724
DSCAM,DSCAM,0.9916455
DOCK1,DOCK1,0.99164355
ZCCHC12,ZCCHC12,0.9916424
ESRRB,ESRRB,0.9916396
ZNF77,ZNF77,0.99163115
NIPAL2,NIPAL2,0.9916277
GABRB3,GABRB3,0.9916256
ZBTB8B,ZBTB8B,0.99162143
AP5B1,AP5B1,0.9916211
PSMG3,PSMG3,0.9916153
NICN1,NICN1,0.99160856
ITGAD,ITGAD,0.9916063
ETV3L,ETV3L,0.9916057
ZNF174,ZNF174,0.9916053
PURG,PURG,0.9916048
FAM174A,FAM174A,0.991604
FAM131C,FAM131C,0.99160206
CTSB,CTSB,0.9915975
GNB2,GNB2,0.9915927
MED19,MED19,0.99158734
CETN2,CETN2,0.99158376
SYTL4,SYTL4,0.99158204
UCMA,UCMA,0.99158084
ACSL4,ACSL4,0.99157417
SORCS1,SORCS1,0.9915696
KRTAP17-1,KRTAP17-1,0.99156195
KIT,KIT,0.9915608
DYRK1A,DYRK1A,0.99156046
RRAGB,RRAGB,0.9915579
SYTL3,SYTL3,0.9915572
VHL,VHL,0.99155563
AVL9,AVL9,0.9915506
AP4B1,AP4B1,0.9915501
CASR,CASR,0.9915468
POLD1,POLD1,0.9915375
FBH1,FBH1,0.9915359
HSD17B13,HSD17B13,0.99153495
TAS1R2,TAS1R2,0.99153435
CNRIP1,CNRIP1,0.9915264
WASF3,WASF3,0.9915247
KRT20,KRT20,0.9915204
ERC1,ERC1,0.9915183
THEMIS,THEMIS,0.99150056
UBE2C,UBE2C,0.9914867
TPM1,TPM1,0.9914855
MFAP1,MFAP1,0.9914844
CRB2,CRB2,0.9914819
SGPP1,SGPP1,0.99147105
PLPP2,PLPP2,0.99146765
STAT1,STAT1,0.9914655
SAYSD1,SAYSD1,0.9914626
HS6ST2,HS6ST2,0.99146026
ZNRF2,ZNRF2,0.9914575
UNC13B,UNC13B,0.9914533
PTAR1,PTAR1,0.99145037
FGFR2,FGFR2,0.99144757
ZNF691,ZNF691,0.9914471
ACTG2,ACTB,0.9914453
NRDC,NRDC,0.99144197
SFR1,SFR1,0.99143493
TP53I3,TP53I3,0.9914346
MYO6,MYO6,0.991433
SAP30L,SAP30L,0.9914318
SMAP2,SMAP2,0.99143076
NEK2,NEK2,0.99143046
GABPB2,GABPB2,0.9914239
CTCF,CTCF,0.991422
RBBP9,RBBP9,0.9914201
PCDHB4,PCDHB4,0.9914166
RADX,RADX,0.99141043
EIF3A,EIF3A,0.9914092
CTNNBL1,CTNNBL1,0.9914081
FCN3,FCN3,0.99140614
EMP2,EMP2,0.99140465
SLC35B2,SLC35B2,0.99140155
RAP2C,RAP2C,0.9914009
ATP6V0E1,ATP6V0E1,0.9913925
SPTY2D1,SPTY2D1,0.99138796
DPF2,DPF2,0.9913736
TSPAN2,TSPAN2,0.9913699
FZD9,FZD9,0.99136406
RAPGEF1,RAPGEF1,0.99136364
BPIFB3,BPIFB3,0.9913614
LIPM,LIPM,0.9913592
PRR35,PRR35,0.9913524
ZKSCAN1,ZKSCAN1,0.99134654
CLCN5,CLCN5,0.9913454
BSDC1,BSDC1,0.9913411
OTOR,OTOR,0.9913408
PPM1B,PPM1B,0.99133766
KIF17,KIF17,0.99133337
MAF,MAF,0.991326
LIMA1,LIMA1,0.9913249
OR5AC2,OR5AC2,0.9913209
DOP1B,DOP1B,0.99132085
SIAE,SIAE,0.9913188
C1orf87,C1orf87,0.99131715
MAD2L2,MAD2L2,0.9913125
FASLG,FASLG,0.9913123
MGST3,MGST3,0.99130845
TPBG,TPBG,0.99130833
SBSPON,SBSPON,0.99130535
CADPS2,CADPS2,0.9913025
SALL4,SALL4,0.9912839
NUP210L,NUP210L,0.9912828
PAX1,PAX1,0.99127674
MPZL1,MPZL1,0.991274
PDAP1,PDAP1,0.99127126
MMRN1,MMRN1,0.9912673
HAPSTR1,C16orf72,0.99125826
SLC35B3,SLC35B3,0.99125767
TBC1D2,TBC1D2,0.99125004
AHCYL2,AHCYL1,0.9912497
LSAMP,LSAMP,0.9912481
N6AMT1,N6AMT1,0.9912405
SLC39A12,SLC39A12,0.99123746
ARHGAP44,ARHGAP44,0.9912372
CCNA1,CCNA1,0.9912335
OR5H2,OR5H2,0.9912335
ABCB10,ABCB10,0.9912279
NTSR2,NTSR2,0.99122226
SLC18A1,SLC18A1,0.9912163
PPM1L,PPM1L,0.99121606
KLC1,KLC1,0.99121284
DMRTA1,DMRTA1,0.99121255
CCKAR,CCKAR,0.99121183
RCN2,RCN2,0.9912061
SAPCD2,SAPCD2,0.991206
TINAGL1,TINAGL1,0.99120235
THSD1,THSD1,0.9911985
PSRC1,PSRC1,0.99119693
YIF1B,YIF1B,0.9911927
LRP2BP,LRP2BP,0.9911849
ROMO1,ROMO1,0.99118423
CEACAM16,CEACAM16,0.9911842
NID1,NID1,0.99116415
ASB4,ASB4,0.99116194
WDR24,WDR24,0.99116176
KLF6,KLF6,0.9911611
LHFPL2,LHFPL2,0.9911592
MSI1,MSI1,0.991157
RANGRF,RANGRF,0.9911552
NATD1,NATD1,0.9911496
ITGA4,ITGA4,0.9911471
WWOX,WWOX,0.9911415
C17orf67,C17orf67,0.991141
MCTP1,MCTP1,0.9911273
ARHGAP32,ARHGAP32,0.9911225
FIGNL2,FIGNL2,0.991119
OSTN,OSTN,0.9911149
NUFIP1,NUFIP1,0.99111456
MAP4K1,MAP4K1,0.9910977
C5orf15,C5orf15,0.9910971
LRRC57,LRRC57,0.99109685
ANKRD35,ANKRD35,0.99109644
CSPG4,CSPG4,0.9910964
SMIM7,SMIM7,0.99109507
SLC18A3,SLC18A3,0.99108833
NKAIN1,NKAIN1,0.9910837
