Gene name,Chimpanzee gene name
RNU6-679P,U6
U8,U8
MIR422A,ptr-mir-422a
RNU6-660P,U6
Metazoa_SRP,Metazoa_SRP
ZNF579,ZNF579
RN7SL58P,Metazoa_SRP
SNX1,SNX1
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
RNU4-43P,U4
Y_RNA,Y_RNA
RNU6-374P,U6
Y_RNA,Y_RNA
RN7SKP207,7SK
RNU6-1079P,U6
FIZ1,FIZ1
RNU6-378P,U6
MIR579,ptr-mir-579
SNORD29,SNORD29
Y_RNA,Y_RNA
MIR4672,MIR4672
GPR174,GPR174
RNU6-358P,U6
ST6GALNAC4,ST6GALNAC4
RNU6-760P,U6
RFTN2,RFTN2
RNU6-909P,U6
SEPTIN6,SEPTIN6
U3,U3
RNU7-130P,U7
RNU1-150P,U1
RNU6-480P,U6
RNU6-1296P,U6
RNU6-272P,U6
MIR581,ptr-mir-581
RN7SL801P,Metazoa_SRP
ZNF524,ZNF524
Y_RNA,Y_RNA
HSDL1,HSDL1
MIR449A,ptr-mir-449a
MIR449B,ptr-mir-449b
Y_RNA,Y_RNA
RNU6-299P,U6
AP3M1,AP3M1
MIR5687,MIR5687
Y_RNA,Y_RNA
RN7SL169P,Metazoa_SRP
RNU6-294P,U6
RNU6-913P,U6
ZNF784,ZNF784
RNU7-196P,U7
RNU4-11P,U4
RN7SL378P,Metazoa_SRP
RN7SKP295,7SK
RNU6-620P,U6
RN7SKP34,7SK
RNU6-448P,U6
RNU6-804P,U6
RN7SL802P,Metazoa_SRP
MIR548P,ptr-mir-548p
ZNF580,ZNF580
RNU6-1119P,U6
RN7SKP62,7SK
Y_RNA,Y_RNA
RN7SKP68,7SK
RNU4-90P,U4
GDAP2,GDAP2
Y_RNA,Y_RNA
RN7SKP230,7SK
RN7SKP57,7SK
RNU1-140P,U1
RNU6-644P,U6
RN7SL711P,Metazoa_SRP
RN7SL174P,Metazoa_SRP
MIR548F3,ptr-mir-548f-2
SNORA13,SNORA13
ZNF581,ZNF581
RNU6-373P,U6
RNU6-701P,U6
RNU6-718P,U6
RN7SL689P,Metazoa_SRP
RNU6-290P,U6
FNTA,FNTA
RNU4-69P,U4
HERC4,HERC4
Y_RNA,Y_RNA
RNU7-34P,U7
CCDC106,CCDC106
RN7SL87P,Metazoa_SRP
RN7SKP246,7SK
RNU7-156P,U7
PIP5KL1,PIP5KL1
U3,U3
RNU6-588P,U6
RNU6-390P,U6
RN7SL655P,Metazoa_SRP
MIR378A,ptr-mir-378a
RNA5SP194,5S_rRNA
RNU6-164P,U6
RNU6-260P,U6
RN7SL868P,Metazoa_SRP
RN7SKP60,7SK
RNU2-48P,U2
RNU6-500P,U6
DNAAF1,DNAAF1
Y_RNA,Y_RNA
RNU6-209P,U6
MIR8056,MIR8056
RNU6-168P,U6
LGR5,LGR5
MIR5003,MIR5003
RNU1-17P,U1
MIR8089,MIR8089
RNU6-525P,U6
ANKEF1,ANKEF1
Y_RNA,Y_RNA
MIR340,ptr-mir-340
RNU6-1036P,U6
SLC34A1,SLC34A1
KDM7A,KDM7A
UBE2O,UBE2O
LPIN2,LPIN2
TSHB,TSHB
INHBB,INHBB
WDR3,WDR3
LNPK,LNPK
ADAD2,ADAD2
DPM2,DPM2
RNU1-124P,U1
PTS,PTS
GGT5,GGT5
HGSNAT,HGSNAT
EPN1,EPN1
Metazoa_SRP,Metazoa_SRP
OCSTAMP,OCSTAMP
SLC13A3,SLC13A3
CYGB,CYGB
EEIG1,EEIG1
SLC38A8,SLC38A8
PFN3,PFN3
AKR1B10,AKR1B10
Y_RNA,Y_RNA
SNX22,SNX22
GRK6,GRK6
PRCD,PRCD
SCNM1,SCNM1
PLET1,PLET1
ITGAM,ITGAM
RNU6-1025P,U6
MUC6,MUC6
ATR,ATR
NLRP9,NLRP9
CSNK1G1,CSNK1G1
PRXL2C,PRXL2C
MALT1,MALT1
IL17REL,IL17REL
SNORD1C,SNORD1C
SNORD1B,SNORD1B
SNORD1A,SNORD1A
ST6GALNAC2,ST6GALNAC2
RN7SKP109,7SK
ZNF782,ZNF782
GAMT,GAMT
ZNF385B,ZNF385B
RN7SL843P,Metazoa_SRP
POTEA,POTEA
ADA2,ADA2
ST6GALNAC1,ST6GALNAC1
SPAG17,SPAG17
MIR4298,MIR4298
RNU6-104P,U6
U3,U3
PPDPFL,PPDPFL
RALB,RALB
SNORD8,SNORD8
RN7SL650P,Metazoa_SRP
RAB2B,RAB2B
SNORA70C,SNORA70
RN7SKP128,7SK
RN7SKP125,7SK
NDUFA8,NDUFA8
HRH3,HRH3
DAZAP1,DAZAP1
MORN5,MORN5
DLGAP2,DLGAP2
ADGRD1,ADGRD1
MIR675,MIR675
RBM18,RBM18
OR52L1,OR52L1
RALGAPA2,RALGAPA2
OR56B4,OR56B4
RNU6-366P,U6
MRRF,MRRF
TTF2,TTF2
OR8A1,OR8A1
GUCY1A2,GUCY1A2
RNU6-227P,U6
RNY4P36,Y_RNA
RNU6-97P,U6
ARL4C,ARL4C
RHBDF2,RHBDF2
POMK,POMK
EDAR,EDAR
ITGAX,ITGAX
PRR7,PRR7
MAGI3,MAGI3
DDX41,DDX41
SLC37A2,SLC37A2
ERGIC3,ERGIC3
RTP1,RTP1
PHF20L1,PHF20L1
SLC33A1,SLC33A1
ICOS,ICOS
MPDZ,MPDZ
MKLN1,MKLN1
RN7SL477P,Metazoa_SRP
SRF,SRF
MDH1B,MDH1B
MBD3,MBD3
PSMA3,PSMA3
CUL9,CUL9
TM4SF4,TM4SF4
TAPT1,TAPT1
TLCD5,TLCD5
GHSR,GHSR
LRRC74B,LRRC74B
MXI1,MXI1
ITGAD,ITGAD
HMSD,HMSD
GPR149,GPR149
POLDIP3,POLDIP3
USP47,USP47
GABPB2,GABPB2
CLSTN2,CLSTN2
ZNF10,ZNF10
BARD1,BARD1
SEC14L1,SEC14L1
LYSMD1,LYSMD1
COX6A2,COX6A2
KLHL24,KLHL24
ZNF843,ZNF843
CD2,CD2
COPG2,COPG2
APC2,APC2
ARMC5,ARMC5
Y_RNA,Y_RNA
AFG2A,AFG2A
ENPP2,ENPP2
TIGD6,TIGD6
ARL1,ARL1
HMGXB3,HMGXB3
PCLAF,PCLAF
ACAA2,ACAA2
RAB5IF,RAB5IF
TGFB1I1,TGFB1I1
SPRY1,SPRY1
RNU6-341P,U6
CSF1R,CSF1R
ARID4A,ARID4A
DNPH1,DNPH1
RTP4,RTP4
RN7SL492P,Metazoa_SRP
RN7SL357P,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
NOA1,NOA1
IL17RD,IL17RD
MIR4282,MIR4282
POLR2B,POLR2B
KHDC1L,KHDC1L
PSMC4,PSMC4
TRIP4,TRIP4
ELF5,ELF5
DDX43,DDX43
VIPR2,VIPR2
SCARNA17,SCARNA17
Y_RNA,Y_RNA
RN7SL310P,Metazoa_SRP
CFAP53,CFAP53
TAOK3,TAOK3
GUCA1B,GUCA1B
CXXC1,CXXC1
ABCB7,ABCB7
CRYBG1,CRYBG1
ZNF546,ZNF546
Y_RNA,Y_RNA
PDGFRB,PDGFRB
ADAM33,ADAM33
PAK1,PAK1
Y_RNA,Y_RNA
RTN4IP1,RTN4IP1
COL28A1,COL28A1
RNU6-527P,U6
QRSL1,QRSL1
ZNF780B,ZNF780B
CSF1,CSF1
HIC2,HIC2
RN7SL82P,Metazoa_SRP
RNU6-117P,U6
MIR587,ptr-mir-587
SNORA40C,SNORA40C
UBR1,UBR1
RNU6-1115P,U6
GTF3C6,GTF3C6
RPF2,RPF2
DNAJC13,DNAJC13
RN7SKP210,7SK
GRAP2,GRAP2
ZNF699,ZNF699
UBE2E3,UBE2E3
RNU6-998P,U6
IGFBP7,IGFBP7
ZNF560,ZNF560
HECTD2,HECTD2
RNU6-824P,U6
MIR1273C,MIR1273C
TFB1M,TFB1M
ERAP1,ERAP1
REST,REST
TOMM20L,TOMM20L
CLDN20,CLDN20
NOX3,NOX3
EDDM13,EDDM13
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RNU6-534P,U6
Y_RNA,Y_RNA
LETM2,LETM2
SNORA63,SNORA63
RNU1-15P,U1
RN7SL542P,Metazoa_SRP
SNORD65C,SNORD65C
RNU6-1103P,U6
TIMM9,TIMM9
Y_RNA,Y_RNA
RN7SKP186,7SK
RN7SL132P,Metazoa_SRP
RNU6-565P,U6
Y_RNA,Y_RNA
GTF2H4,GTF2H4
RNU7-35P,U7
RNU6-575P,U6
SNORA5A,SNORA5A
SNORA5C,SNORA5C
SNORA5B,SNORA5B
RN7SKP218,7SK
RNU2-29P,U2
RNU1-14P,U1
RNU6-1125P,U6
ZNF583,ZNF583
SLC5A2,SLC5A2
ASCL1,ASCL1
RNU6-849P,U6
RNU6-10P,U6
RN7SKP129,7SK
RNU4-16P,U4
RNU6-956P,U6
RN7SKP104,7SK
NFAM1,NFAM1
RNU6-532P,U6
RNU6-364P,U6
RNU7-188P,U7
TNFAIP8L2,TNFAIP8L2
RN7SL252P,Metazoa_SRP
RNU6-581P,U6
RN7SKP277,7SK
MIR4653,MIR4653
RNU1-29P,U1
Y_RNA,Y_RNA
RNU6-797P,U6
Y_RNA,Y_RNA
RNU6-911P,U6
RNU1-58P,U1
COL5A3,COL5A3
Y_RNA,Y_RNA
RN7SKP174,7SK
MPLKIP,MPLKIP
Y_RNA,Y_RNA
KIAA0586,KIAA0586
ADK,ADK
PRAME,PRAME
HBP1,HBP1
MPC2,MPC2
SLC12A5,SLC12A5
SCARNA16,SCARNA16
MIR6516,MIR6516
RNU4-47P,U4
Y_RNA,Y_RNA
TMEM62,TMEM62
MEIOC,MEIOC
ANXA5,ANXA5
AHSP,AHSP
FIRRM,FIRRM
CCDC43,CCDC43
HGD,HGD
CPM,CPM
CDIPT,CDIPT
MYO5B,MYO5B
Y_RNA,Y_RNA
LRRC14B,LRRC14B
DBF4B,DBF4B
CCDC127,CCDC127
IFIT1B,IFIT1B
CCNDBP1,CCNDBP1
RCN1,RCN1
IFIT1,IFIT1
LY75,LY75
EXOC3,EXOC3
MUC21,MUC21
IGLV3-25,IGLV3-25
SLC16A12,SLC16A12
C6orf15,C6H6orf15
PSORS1C1,PSORS1C1
ANAPC16,ANAPC16
GRIK4,GRIK4
RDH8,RDH8
GTPBP1,GTPBP1
CDSN,CDSN
MIR5589,MIR5589
SHFL,SHFL
GPR22,GPR22
PSORS1C2,PSORS1C2
Y_RNA,Y_RNA
DDIT4,DDIT4
PPP1R3A,PPP1R3A
RNU6-805P,U6
FER1L6,FER1L6
VARS2,VARS2
POGLUT1,POGLUT1
RN7SKP241,7SK
HACD1,HACD1
RN7SL819P,Metazoa_SRP
ADAM11,ADAM11
SLC9A3,SLC9A3
TCF24,TCF24
ABTB3,ABTB3
MIR3666,MIR3666
CHCHD10,CHCHD10
STAM,STAM
RN7SL496P,Metazoa_SRP
SUGCT,SUGCT
MMP11,MMP11
LAMC1,LAMC1
TRIM42,TRIM42
DGKG,DGKG
RN7SL712P,Metazoa_SRP
AGTR2,AGTR2
ZDHHC9,ZDHHC9
ASCC2,ASCC2
PPAN,PPAN
ASPHD1,ASPHD1
TMEM236,TMEM236
GTPBP4,GTPBP4
RRBP1,RRBP1
NME7,NME7
ARFGEF1,ARFGEF1
CSTPP1,CSTPP1
GJC1,GJC1
SNORD105,SNORD105
SNORD105B,SNORD105B
P2RY11,P2RY11
EIF3G,EIF3G
EXOSC9,EXOSC9
HIGD1B,HIGD1B
CEP76,CEP76
CEP72,CEP72
ALDOA,ALDOA
ZSWIM2,ZSWIM2
UTP14A,UTP14A
EFTUD2,EFTUD2
TPPP,TPPP
RNU6-102P,U6
GPR37,GPR37
RNU6-572P,U6
FAM124B,FAM124B
RPH3A,RPH3A
RCSD1,RCSD1
COPS6,COPS6
ITPRID2,ITPRID2
RNU6-331P,U6
RNU6-375P,U6
PLPP7,PLPP7
L3MBTL2,L3MBTL2
Y_RNA,Y_RNA
TGM7,TGM7
SNORA74D,SNORA74
SNORA74A,SNORA74
TMEM268,TMEM268
MATR3,MATR3
Y_RNA,Y_RNA
PSMG2,PSMG2
BCORL1,BCORL1
DMXL2,DMXL2
Y_RNA,Y_RNA
TEX53,TEX53
TEX48,TEX48
KLHL6,KLHL6
TNFSF15,TNFSF15
POU2F1,POU2F1
ATP6V1G1,ATP6V1G1
ZNF707,ZNF707
PSMD5,PSMD5
ADAMTS9,ADAMTS9
MIR25,ptr-mir-25
MIR106B,ptr-mir-106b
CNPY4,CNPY4
Y_RNA,Y_RNA
IRS4,IRS4
MRPL4,MRPL4
NLRP14,NLRP14
STOX1,STOX1
PHF19,PHF19
MBLAC1,MBLAC1
TRAPPC14,TRAPPC14
RNU6-1306P,U6
RCOR2,RCOR2
SGK2,SGK2
FAM199X,FAM199X
CHADL,CHADL
ESX1,ESX1
CCNA2,CCNA2
DDX50,DDX50
PLCXD1,PLCXD1
NAA40,NAA40
MIR6889,MIR6889
SOX10,SOX10
BBS7,BBS7
TMEM184B,TMEM184B
GAL3ST4,GAL3ST4
CCDC103,CCDC103
GPC2,GPC2
COX8A,COX8A
SEH1L,SEH1L
MACROD1,MACROD1
XPNPEP2,XPNPEP2
Y_RNA,Y_RNA
CCDC166,CCDC166
ICAM1,ICAM1
MAPK15,MAPK15
C10orf105,C10H10orf105
KIF18B,KIF18B
TRIM32,TRIM32
VSIR,VSIR
SASH3,SASH3
CER1,CER1
RN7SL704P,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
RNU6-393P,U6
CSNK1E,CSNK1E
RNU6-1260P,U6
TRPC3,TRPC3
KAT14,KAT14
MIR7152,MIR7152
CDK6,CDK6
CDH23,CDH23
STIP1,STIP1
RNU6-153P,U6
MRPS34,MRPS34
PRR18,PRR18
SFT2D1,SFT2D1
B3GNT5,B3GNT5
Metazoa_SRP,Metazoa_SRP
UBE2R2,UBE2R2
ARAF,ARAF
Y_RNA,Y_RNA
RNU4ATAC11P,RNU4ATAC11P
SNORD121B,SNORD121B
ICAM4,ICAM4
SNORD121A,SNORD121A
SPMIP7,SPMIP7
RN7SKP114,7SK
DCAF12,DCAF12
FAM83H,FAM83H
NUBP2,NUBP2
KIAA1549,KIAA1549
CHRDL1,CHRDL1
CTSL,CTSL
GOLIM4,GOLIM4
TBXT,TBXT
MIR4664,MIR4664
SECTM1,SECTM1
CEP192,CEP192
DNAH7,DNAH7
P2RX7,P2RX7
ZNF611,ZNF611
MRS2,MRS2
FREM1,FREM1
FBXL5,FBXL5
TGM3,TGM3
TGM6,TGM6
CAPN6,CAPN6
RXRG,RXRG
TEX19,TEX19
CCDC50,CCDC50
GPNMB,GPNMB
RNU6-496P,U6
TEKT3,TEKT3
Y_RNA,Y_RNA
SNRPB,SNRPB
SRPX2,SRPX2
ZNF28,ZNF28
C14orf180,C14H14orf180
RN7SL187P,Metazoa_SRP
ZFYVE21,ZFYVE21
SCG3,SCG3
RN7SKP64,7SK
PAIP2,PAIP2
RNU6-799P,U6
RN7SL792P,Metazoa_SRP
LSP1,LSP1
GK5,GK5
ATP1B4,ATP1B4
ZNF549,ZNF549
BEND3,BEND3
IGFALS,IGFALS
PREP,PREP
ZNF416,ZNF416
TPR,TPR
DPP10,DPP10
PIP4P1,PIP4P1
HAGH,HAGH
ZIK1,ZIK1
SLC35E4,SLC35E4
SNORA71E,SNORA71
SNORA60,SNORA71
RALGAPB,RALGAPB
DUSP18,DUSP18
SLC23A1,SLC23A1
RNU7-37P,U7
LYSMD2,LYSMD2
MCTS1,MCTS1
TCN2,TCN2
ZNF134,ZNF134
ZNF211,ZNF211
C1GALT1C1,C1GALT1C1
FBXL22,FBXL22
SLC25A13,SLC25A13
CUL4B,CUL4B
FAM200B,FAM200B
PIAS1,PIAS1
SCAF8,SCAF8
DAAM1,DAAM1
EHHADH,EHHADH
ZNF527,ZNF527
CCM2,CCM2
RNU7-38P,U7
PPIF,PPIF
EIF2B5,EIF2B5
MZB1,MZB1
ZNF569,ZNF569
ZCCHC24,ZCCHC24
SFTPA2,SFTPA2
PROB1,PROB1
DNAJC18,DNAJC18
ZNF540,ZNF540
SULT1E1,SULT1E1
CCDC198,CCDC198
METTL18,METTL18
Y_RNA,Y_RNA
RN7SL726P,Metazoa_SRP
MIR204,ptr-mir-204
OR13F1,OR13F1
HS3ST6,HS3ST6
CILK1,CILK1
CHIA,CHIA
OR13C8,OR13C8
SFTPA1,SFTPA1
OR13C5,OR13C5
DET1,DET1
VAC14,VAC14
OR13C2,OR13C2
PIKFYVE,PIKFYVE
ZNF607,ZNF607
NIPSNAP3A,NIPSNAP3A
CSN1S1,CSN1S1
RNU5B-4P,U5
MIR584,ptr-mir-584
RN7SKP145,7SK
NIPSNAP3B,NIPSNAP3B
HTR1A,HTR1A
WDR87,WDR87
RNF111,RNF111
ACSL6,ACSL6
ABCA1,ABCA1
TMEM132D,TMEM132D
CYP2S1,CYP2S1
SLC17A8,SLC17A8
MCHR1,MCHR1
CENPW,CENPW
KCNK16,KCNK16
AXL,AXL
TEKT5,TEKT5
WAPL,WAPL
GPHN,GPHN
BRAP,BRAP
PARP10,PARP10
HPS4,HPS4
NUBP1,NUBP1
MIR548O2,MIR548O
SLC32A1,SLC32A1
WDR86,WDR86
ACTR5,ACTR5
LDLRAD4,LDLRAD4
TMEM200A,TMEM200A
RN7SKP173,7SK
CNBD2,CNBD2
REPS1,REPS1
SHQ1,SHQ1
RN7SKP187,7SK
RNU6-780P,U6
RNF121,RNF121
IFRD1,IFRD1
CYP2C9,CYP2C9
LRRC49,LRRC49
CHPT1,CHPT1
FBXO45,FBXO45
HTN1,HTN1
CYP2C8,CYP2C8
YEATS2,YEATS2
COL20A1,COL20A1
MC2R,MC2R
VWC2L,VWC2L
ZNF519,ZNF519
PRR27,PRR27
TVP23A,TVP23A
NIBAN1,NIBAN1
RN7SL34P,Metazoa_SRP
CCDC97,CCDC97
EPB41L5,EPB41L5
TBX3,TBX3
JCHAIN,JCHAIN
TMEM91,TMEM91
LAMTOR1,LAMTOR1
CLUL1,CLUL1
GPS2,GPS2
OR10J5,OR10J5
LAMC2,LAMC2
ALDH18A1,ALDH18A1
SOWAHB,SOWAHB
SVOP,SVOP
PLAAT1,PLAAT1
RNU6-1187P,U6
RNU6-887P,U6
KLB,KLB
DEXI,DEXI
METTL17,METTL17
GRINA,GRINA
RNF168,RNF168
Y_RNA,Y_RNA
COG7,COG7
LIAS,LIAS
PHOX2A,PHOX2A
B9D2,B9D2
MB21D2,MB21D2
ENTPD1,ENTPD1
P3H2,P3H2
ANHX,ANHX
WDR38,WDR38
LSMEM1,LSMEM1
BCKDHA,BCKDHA
SLC22A18,SLC22A18
SPATC1,SPATC1
TNFRSF11A,TNFRSF11A
FRRS1L,FRRS1L
SYCP3,SYCP3
OPLAH,OPLAH
NOS3,NOS3
IFT74,IFT74
SNORA75,SNORA75
EARS2,EARS2
GPA33,GPA33
WDR53,WDR53
LOXL4,LOXL4
Y_RNA,Y_RNA
ERICH4,ERICH4
ZCCHC2,ZCCHC2
SIGLEC8,SIGLEC8
CYC1,CYC1
TPRG1,TPRG1
FGFR1OP2,FGFR1OP2
MIR1287,MIR1287
SORCS3,SORCS3
SHARPIN,SHARPIN
SNORA54,SNORA54
C20orf202,C20H20orf202
ARHGAP40,ARHGAP40
SWAP70,SWAP70
NUF2,NUF2
UBFD1,UBFD1
MCMBP,MCMBP
WFDC8,WFDC8
SIGLEC12,SIGLEC8
ABCD2,ABCD2
GYPC,GYPC
NEURL4,NEURL4
ADIPOQ,ADIPOQ
PLIN1,PLIN1
PIGT,PIGT
SPATA31G1,SPATA31G1
SIGLEC6,SIGLEC6
YEATS4,YEATS4
NDUFAB1,NDUFAB1
ATP13A4,ATP13A4
MIR4682,MIR4682
CH25H,CH25H
RN7SL338P,Metazoa_SRP
LIPA,LIPA
STOML2,STOML2
TSHZ1,TSHZ1
PEX11A,PEX11A
DCTN5,DCTN5
MYL1,MYL1
MIR505,ptr-mir-505
RN7SKP50,7SK
CXorf66,CXHXorf66
RN7SL727P,Metazoa_SRP
MBD1,MBD1
UGDH,UGDH
MIR652,ptr-mir-652
SNORD96B,SNORD96
RNU6-275P,U6
RN7SKP161,7SK
RNU6-837P,U6
HGH1,HGH1
SOWAHD,SOWAHD
ADM,ADM
Y_RNA,Y_RNA
JMJD7,JMJD7
RN7SL38P,Metazoa_SRP
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RNU6-472P,U6
RNU6-1093P,U6
RNU6-333P,U6
RNU6-400P,U6
GSC,GSC
RNU6-871P,U6
SNORA69,SNORA69
RNU6-279P,U6
RNF113A,RNF113A
RNU4-20P,U4
RNU6-595P,U6
Y_RNA,Y_RNA
RNU1-83P,U1
NDUFA1,NDUFA1
MIR6125,MIR6125
RN7SL804P,Metazoa_SRP
RNU6-769P,U6
RNU6-238P,U6
Y_RNA,Y_RNA
TRAV1-1,TRAV1-1
RN7SKP172,7SK
SNORA70,SNORA70
MIR3913-1,MIR3913-1
SNORA70G,SNORA70
RN7SL737P,Metazoa_SRP
TRAV1-2,TRAV1-2
MIR617,ptr-mir-617
MIR4699,MIR4699
MIR331,ptr-mir-331
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RNU6-808P,U6
TP53INP1,TP53INP1
MIR4495,MIR4495
AKAP14,AKAP14
RNU6-768P,U6
Y_RNA,Y_RNA
RN7SL88P,Metazoa_SRP
PLK1,PLK1
RN7SL483P,Metazoa_SRP
ANAPC1,ANAPC1
MIR3685,MIR3685
RNU4-24P,U4
RNU6-1183P,U6
RNU5E-5P,U5
Y_RNA,Y_RNA
Y_RNA,Y_RNA
ZNF175,ZNF175
RNU4-41P,U4
RN7SL330P,Metazoa_SRP
RNU6-735P,U6
RNU6-101P,U6
RNY1P16,Y_RNA
Y_RNA,Y_RNA
RN7SL630P,Metazoa_SRP
RNU6-1068P,U6
RNU6-247P,U6
MIR1302-1,ptr-mir-1302-1
RNU6-1188P,U6
RN7SKP263,7SK
RN7SKP11,7SK
U7,U7
RN7SL865P,Metazoa_SRP
ASIC3,ASIC3
TCTN3,TCTN3
Y_RNA,Y_RNA
RNU6-717P,U6
RN7SL508P,Metazoa_SRP
TSHR,TSHR
ADIPOR2,ADIPOR2
MIR99B,ptr-mir-99b
MIRLET7E,ptr-let-7e
MIR125A,ptr-mir-125a
VCPIP1,VCPIP1
HAS1,HAS1
RNF141,RNF141
NKAP,NKAP
Y_RNA,Y_RNA
SGK3,SGK3
ATOSB,ATOSB
GMNC,GMNC
CACNA2D4,CACNA2D4
MIR7154,MIR7154
CRY2,CRY2
FPR3,FPR3
NR5A2,NR5A2
SMCO1,SMCO1
NOVA2,NOVA2
SH3BP1,SH3BP1
MIR1587,MIR1587
ETV5,ETV5
Y_RNA,Y_RNA
JPT2,JPT2
IL12RB1,IL12RB1
FAM120B,FAM120B
SPTBN5,SPTBN5
IFIT3,IFIT3
SGPP2,SGPP2
OGDHL,OGDHL
SCYL3,SCYL3
MIR3152,MIR3152
RN7SKP258,7SK
SAXO1,SAXO1
CRACDL,CRACDL
CDK5,CDK5
TRMT10A,TRMT10A
C3orf33,C3H3orf33
RRAGA,RRAGA
ADAMTSL1,ADAMTSL1
MAPK8IP1,MAPK8IP1
TANC1,TANC1
CCNF,CCNF
GTF2A1,GTF2A1
ACAP1,ACAP1
FKBP5,FKBP5
EIF5A2,EIF5A2
RN7SL385P,Metazoa_SRP
LGALS1,LGALS1
IFI30,IFI30
NMNAT2,NMNAT2
SGMS1,SGMS1
MIR4310,MIR4310
EIF3J,EIF3J
HMGCLL1,HMGCLL1
DNAI1,DNAI1
NOL12,NOL12
U2SURP,U2SURP
TMUB1,TMUB1
ENHO,ENHO
FREY1,FREY1
CNTFR,CNTFR
PEX16,PEX16
TMEFF2,TMEFF2
SNORA79,SNORA79
MPV17L2,MPV17L2
TEDC2,TEDC2
RTL1,RTL1
Y_RNA,Y_RNA
EIF2S1,EIF2S1
MAPK10,MAPK10
TARBP1,TARBP1
ZBTB4,ZBTB4
RAB3A,RAB3A
RPP25L,RPP25L
DCTN3,DCTN3
PLA2G6,PLA2G6
RNU7-107P,U7
PAPSS2,PAPSS2
MIR1180,MIR1180
MAPK7,MAPK7
PLEK2,PLEK2
JUND,JUND
Y_RNA,Y_RNA
LSM4,LSM4
CD276,CD276
TDRD5,TDRD5
ABCA12,ABCA12
LARGE2,LARGE2
MCMDC2,MCMDC2
BATF,BATF
FABP6,FABP6
PGPEP1,PGPEP1
FTHL17,FTHL17
FLVCR2,FLVCR2
ATAD1,ATAD1
RNU6-504P,U6
RNU6-1225P,U6
Y_RNA,Y_RNA
YIPF6,YIPF6
XRCC4,XRCC4
HERPUD2,HERPUD2
LRRC25,LRRC25
CREB3L1,CREB3L1
RN7SL78P,Metazoa_SRP
KLLN,KLLN
ARID5B,ARID5B
MFAP4,MFAP4
NMUR2,NMUR2
RN7SL221P,Metazoa_SRP
TFB2M,TFB2M
RNU6-245P,U6
OPHN1,OPHN1
NRN1,NRN1
RSBN1L,RSBN1L
MIR6768,MIR6768
MIR4688,MIR4688
NTN3,NTN3
FAM76B,FAM76B
ICE2,ICE2
TRPC7,TRPC7
MIR7853,MIR7853
F13A1,F13A1
ATP6V0C,ATP6V0C
LYPLAL1,LYPLAL1
MSS51,MSS51
PPP3CB,PPP3CB
TTLL5,TTLL5
SNORD87,SNORD87
FBXO25,FBXO25
TMEM60,TMEM60
Y_RNA,Y_RNA
CCDC28A,CCDC28A
RNU6-337P,U6
MARF1,MARF1
RNU6-530P,U6
GGCT,GGCT
CCL27,CCL27
RNF112,RNF112
MPZL1,MPZL1
CEP57,CEP57
GSTA1,GSTA1
CRHR2,CRHR2
CCL19,CCL19
MIR6799,MIR6799
SPATA31F1,FAM205A
FUZ,FUZ
SIGMAR1,SIGMAR1
PDE6G,PDE6G
RNU6-1194P,U6
RN7SKP144,7SK
SEC31B,SEC31B
TRHR,TRHR
RNU6-905P,U6
RN7SL147P,Metazoa_SRP
RN7SL120P,Metazoa_SRP
ATP6AP1,ATP6AP1
MIR3135A,MIR3135A
RNU4-85P,U4
RNU6-822P,U6
OXLD1,OXLD1
ENY2,ENY2
U3,U3
GTF3C5,GTF3C5
RNU6-815P,U6
RNU6-243P,U6
MIR128-2,ptr-mir-128-2
TICAM2,TICAM2
RNU6-235P,U6
U3,U3
FASTKD2,FASTKD2
RN7SL863P,Metazoa_SRP
RNU6-139P,U6
RN7SL647P,Metazoa_SRP
RNU7-119P,U7
Y_RNA,Y_RNA
ADAM19,ADAM19
RNU2-10P,U2
RN7SKP284,7SK
CCDC137,CCDC137
RN7SL271P,Metazoa_SRP
Y_RNA,Y_RNA
WDR93,WDR93
KCNJ4,KCNJ4
RNU6-281P,U6
SLC17A4,SLC17A4
RN7SL751P,Metazoa_SRP
RNU6-873P,U6
RNU2-28P,U2
RN7SKP61,7SK
RNU6-1129P,U6
RNU6-1236P,U6
KDELR3,KDELR3
RNU6-712P,U6
MIR4445,MIR4445
RNU6-461P,U6
RNU6-1127P,U6
RNU1-43P,U1
Y_RNA,Y_RNA
U3,U3
RNU6-823P,U6
RNU6-1284P,U6
INTS7,INTS7
U8,U8
RNU6-509P,U6
RN7SL715P,Metazoa_SRP
RNU6-425P,U6
RN7SKP46,7SK
RNU1-100P,U1
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RNU6-1098P,U6
RNU7-82P,U7
MIR569,ptr-mir-569
RNU6-547P,U6
Y_RNA,Y_RNA
DDX17,DDX17
SNORA63D,SNORA63
RN7SKP40,7SK
RNU6-486P,U6
RNU6-505P,U6
RNU1-70P,U1
MIR944,ptr-mir-944
SNORA72,SNORA72
MRPL12,MRPL12
Metazoa_SRP,Metazoa_SRP
