Gene name,Gorilla gene name
Y_RNA,Y_RNA
RNU6-898P,U6
OR13C8,OR13C8
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RNU6-1031P,U6
TAS2R14,TAS2R14
DYNLT5,DYNLT5
Y_RNA,Y_RNA
ZFP42,ZFP42
Y_RNA,Y_RNA
SNORA1,SNORA1
RNU6-430P,U6
NUP107,NUP107
MIR4504,MIR4504
ZNF322,ZNF322
KRT1,KRT1
RNU1-29P,U1
TRIM32,TRIM32
Y_RNA,Y_RNA
H1-2,H1-2
RN7SL868P,Metazoa_SRP
Y_RNA,Y_RNA
OR4N5,OR4N5
VSIG10,VSIG10
NABP2,NABP2
THAP9,THAP9
U6,U6
BIRC7,BIRC7
LASP1NB,LASP1NB
C1GALT1C1,C1GALT1C1
BRD3OS,BRD3OS
CTXN3,CTXN3
P2RY8,P2RY8
Y_RNA,Y_RNA
SNORA1B,SNORA1B
Y_RNA,Y_RNA
MIR192,ggo-mir-192
RN7SL125P,Metazoa_SRP
Y_RNA,Y_RNA
RNU6-369P,U6
MIR20A,ggo-mir-20a
UBTD1,UBTD1
ZNF444,ZNF444
RN7SL193P,Metazoa_SRP
Y_RNA,Y_RNA
RNU6-1036P,U6
Y_RNA,Y_RNA
RN7SL657P,Metazoa_SRP
MIR370,MIR370
Y_RNA,Y_RNA
Y_RNA,Y_RNA
MIR153-1,MIR153-1
RNU6-597P,U6
PTH,PTH
RNY4P24,Y_RNA
Y_RNA,Y_RNA
MIR29C,MIR29C
MIR3160-1,MIR3160-1
RNU6-249P,U6
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RNU6-1008P,U6
Y_RNA,Y_RNA
TREX1,TREX1
Y_RNA,Y_RNA
MIR6875,MIR6875
ptr-mir-503,MIR503
RNU6-216P,U6
Y_RNA,Y_RNA
MIR8082,MIR8082
ptr-mir-16-1,ggo-mir-16
Y_RNA,Y_RNA
RNU6-701P,U6
Y_RNA,Y_RNA
Y_RNA,Y_RNA
ACKR4,ACKR4
THAP11,THAP11
Y_RNA,Y_RNA
MIR655,MIR655
RNU6-1062P,U6
Y_RNA,Y_RNA
LYN,LYN
EGLN1,EGLN1
Y_RNA,Y_RNA
MIR600,MIR600
FLOT2,FLOT2
GRHL1,GRHL1
OLIG3,OLIG3
MIR548F3,MIR548F3
Y_RNA,Y_RNA
Y_RNA,Y_RNA
SNORA17A,SNORA17A
PPIL1,PPIL1
Y_RNA,Y_RNA
PYCR2,PYCR2
MIR3621,MIR3621
MIR218-2,MIR218-2
CCIN,CCIN
Y_RNA,Y_RNA
RNU6-361P,U6
Y_RNA,Y_RNA
MIR520C,MIR520C
MIRLET7A3,MIRLET7A3
Y_RNA,Y_RNA
SNORA17B,SNORA17B
SPAG6,SPAG6
RNU6-315P,U6
ZNF615,ZNF615
MIR4662B,MIR4662B
Y_RNA,Y_RNA
Y_RNA,Y_RNA
MIR4435-1,MIR4435-1
RNU6-480P,U6
Y_RNA,Y_RNA
RNY3P7,Y_RNA
RNY3P10,Y_RNA
RNU6-1310P,U6
IL1RAPL2,IL1RAPL2
Y_RNA,Y_RNA
Y_RNA,Y_RNA
HDGF,HDGF
SNORA70,SNORA70
Y_RNA,Y_RNA
RNU6-448P,U6
SNORA70E,SNORA70
RNY1P14,Y_RNA
Y_RNA,Y_RNA
U6,U6
Y_RNA,Y_RNA
MIR4688,MIR4688
ARHGEF26,ARHGEF26
ERP44,ERP44
MIR7113,MIR7113
MIR181B2,MIR181B2
Y_RNA,Y_RNA
RNU6-348P,U6
RNY3P5,Y_RNA
MIR643,MIR643
Y_RNA,Y_RNA
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RNU6-1042P,U6
OR13C2,OR13C2
SNORA70,SNORA70
Y_RNA,Y_RNA
Y_RNA,Y_RNA
U6,U6
SNORD73A,SNORD73
MIR431,MIR431
SNORA70,SNORA70
snoZ196,snoZ196
Y_RNA,Y_RNA
Y_RNA,Y_RNA
FOXB2,FOXB2
NCBP2AS2,NCBP2AS2
XYLT2,XYLT2
MIR488,MIR488
MIR5739,MIR5739
RNU6-352P,U6
SNORA70,SNORA70
Y_RNA,Y_RNA
MIR6852,MIR6852
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RFPL2,RFPL2
RN7SKP144,7SK
NOP14,NOP14
PLEKHG2,PLEKHG2
RNU6-1275P,U6
Y_RNA,Y_RNA
RN7SKP239,7SK
MIR541,MIR541
KLHL25,KLHL25
Y_RNA,Y_RNA
Y_RNA,Y_RNA
SERPINE3,SERPINE3
RNU1-47P,U1
Y_RNA,Y_RNA
Y_RNA,Y_RNA
MIR3148,MIR3148
RN7SKP257,7SK
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RNU6-175P,U6
KCNE5,KCNE5
RN7SKP71,7SK
RNY1P12,Y_RNA
IGHV5-51,IGHV5-51
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
RNU6-139P,U6
RN7SKP110,7SK
Y_RNA,Y_RNA
Y_RNA,Y_RNA
OR4K13,OR4K13
MIR196A1,ggo-mir-196-1
RNU6-90P,U6
7SK,7SK
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
SNORD50B,SNORD50B
RNU6-220P,U6
Y_RNA,Y_RNA
LRP5,LRP5
RN7SKP275,7SK
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
G6PC3,G6PC3
RN7SKP36,7SK
Y_RNA,Y_RNA
RNU6-258P,U6
Y_RNA,Y_RNA
RNF182,RNF182
KLK7,KLK7
MIR509-1,MIR509-1
RNA5SP343,5S_rRNA
B3GALT1,B3GALT1
RNU6-672P,U6
RN7SKP289,7SK
Y_RNA,Y_RNA
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
ANKRD34A,ANKRD34A
MIR6128,MIR6128
RNU6-486P,U6
Y_RNA,Y_RNA
RN7SKP245,7SK
ptr-mir-4524a,ggo-mir-4524a
5S_rRNA,5S_rRNA
MIR517A,MIR517C
RNU6-282P,U6
RN7SKP172,7SK
Y_RNA,Y_RNA
ITIH5,ITIH5
5S_rRNA,5S_rRNA
RN7SKP199,7SK
SNORA72,SNORA72
Y_RNA,Y_RNA
NUDT17,NUDT17
RNU6-401P,U6
5S_rRNA,5S_rRNA
GNL2,GNL2
MIR4254,MIR4254
RN7SKP114,7SK
Y_RNA,Y_RNA
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RNU6-420P,U6
SNORA72,SNORA72
RN7SKP123,7SK
Vault,Vault
RNU6-329P,U6
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
MIR6769B,MIR6769B
RN7SKP174,7SK
RNU6-692P,U6
5S_rRNA,5S_rRNA
SNORA72,SNORA72
MACIR,MACIR
VTRNA3-1P,Vault
GALNT15,GALNT15
MIR218-1,ggo-mir-218
PLPP6,PLPP6
MIR934,MIR934
RNU6-58P,U6
OR10H4,OR10H4
RN7SKP24,7SK
SNORA72,SNORA72
MIR301A,MIR301A
Y_RNA,Y_RNA
RNU6-756P,U6
MIR3943,MIR3943
RNU6-570P,U6
Vault,Vault
DLX1,DLX1
MIR223,ggo-mir-223
MIR325,MIR325
SNORA72,SNORA72
RNU6-1263P,U6
Y_RNA,Y_RNA
MIR100,ggo-mir-100
RN7SKP45,7SK
RNU6-1079P,U6
VTRNA1-1,Vault
INCENP,INCENP
RNU6-833P,U6
SNORA72,SNORA72
SNORD101,SNORD101
NPY1R,NPY1R
5S_rRNA,5S_rRNA
MIR134,ggo-mir-134
Y_RNA,Y_RNA
RNU6-410P,U6
MIR2113,MIR2113
5S_rRNA,5S_rRNA
RN7SL181P,Metazoa_SRP
RNU6-1243P,U6
SNORA72,SNORA72
MIR5704,MIR5704
VTRNA1-2,Vault
FBXL3,FBXL3
MIR1266,MIR1266
RN7SL375P,Metazoa_SRP
MIR4498,MIR4498
RNU6-365P,U6
Y_RNA,Y_RNA
MIR3121,MIR3121
5S_rRNA,5S_rRNA
ptr-mir-146a,ggo-mir-146a
RN7SL68P,Metazoa_SRP
MIR519F,MIR519A-1
RNU6-91P,U6
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
RN7SL113P,Metazoa_SRP
MIR378E,MIR378E
RNU6-456P,U6
MIR200B,MIR200B
SNORA72,SNORA72
5S_rRNA,5S_rRNA
KIAA1143,KIAA1143
RNU6-1270P,U6
HPS6,HPS6
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RN7SL75P,Metazoa_SRP
Y_RNA,Y_RNA
SLPI,SLPI
IFNE,IFNE
5S_rRNA,5S_rRNA
Vault,Vault
RN7SL741P,Metazoa_SRP
RNU6-278P,U6
MIR6133,MIR6133
SNORA36B,SNORA36B
RN7SL160P,Metazoa_SRP
Y_RNA,Y_RNA
RNU6-1298P,U6
SNORA47,SNORA47
MIR26B,MIR26B
Y_RNA,Y_RNA
MIR744,MIR744
RNU6-411P,U6
SNORA36C,SNORA36C
Y_RNA,Y_RNA
MIR5703,MIR5703
MIR556,MIR556
RN7SL189P,Metazoa_SRP
MIR204,ggo-mir-204
RNU6-212P,U6
Y_RNA,Y_RNA
ST3GAL2,ST3GAL2
LAMC2,LAMC2
CHST4,CHST4
5S_rRNA,5S_rRNA
SNORA61,SNORA61
MIR146B,MIR146B
Y_RNA,Y_RNA
TMIGD1,TMIGD1
CPA5,CPA5
RNU6-686P,U6
5S_rRNA,5S_rRNA
MIR449B,MIR449B
U8,U8
RNU6-763P,U6
SNORD114-16,SNORD114-16
FOXR2,FOXR2
U8,U8
5S_rRNA,5S_rRNA
MIR548X2,MIR548X2
DCAF8L2,DCAF8L2
PACRGL,PACRGL
RN7SL415P,Metazoa_SRP
Y_RNA,Y_RNA
MIR3661,MIR3661
5S_rRNA,5S_rRNA
RNU6-895P,U6
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
RNU6-1236P,U6
RN7SL259P,Metazoa_SRP
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
MIR515-1,MIR515-1
IGFBP6,IGFBP6
MIR654,MIR654
MIR515-2,MIR515-2
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
MYRF,MYRF
RNU6-324P,U6
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
MIR9-1,MIR9-1
MIR612,MIR612
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
IFNB1,IFNB1
RNU6-1184P,U6
NOBOX,NOBOX
RNA5SP524,5S_rRNA
SNORA24,SNORA24
Y_RNA,Y_RNA
MIR3666,MIR3666
RNU6-797P,U6
LRRN1,LRRN1
MIR455,MIR455
TIGD5,TIGD5
BECN2,BECN2
CHMP4BP1,CHMP4BP1
RN7SL30P,Metazoa_SRP
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
H2AC21,H2AC21
MIR16-2,MIR16-2
RNU6-1214P,U6
RN7SL691P,Metazoa_SRP
Y_RNA,Y_RNA
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
SNORA24B,SNORA24B
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
SNORD100,SNORD100
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
RNU6-242P,U6
Y_RNA,Y_RNA
Y_RNA,Y_RNA
SNORA23,SNORA23
TMEM121,TMEM121
RNY3P11,Y_RNA
RNU6-880P,U6
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RNU6-891P,U6
SNORD105,SNORD105
APOF,APOF
DDX11,DDX11
RNU6-431P,U6
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
Y_RNA,Y_RNA
CDKN1A,CDKN1A
RNU6-694P,U6
VILL,VILL
PDILT,PDILT
RNA5SP527,5S_rRNA
RNU6-639P,U6
MIR519A2,MIR519A-2
RNU6-1069P,U6
5S_rRNA,5S_rRNA
RNY4P3,Y_RNA
U6,U6
Y_RNA,Y_RNA
MIR377,MIR377
RNU6-323P,U6
Y_RNA,Y_RNA
MIR555,MIR555
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RNU6-866P,U6
RNU6-983P,U6
Y_RNA,Y_RNA
MIR186,ggo-mir-186
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RNU6-960P,U6
RNU6-472P,U6
Y_RNA,Y_RNA
Y_RNA,Y_RNA
Y_RNA,Y_RNA
OR13F1,OR13F1
CCDC83,CCDC83
RHOBTB2,RHOBTB2
TAS2R7,TAS2R7
Y_RNA,Y_RNA
RNU6-1228P,U6
ITPRIPL2,ITPRIPL2
Y_RNA,Y_RNA
CEBPG,CEBPG
RNY1P8,Y_RNA
RNU6-851P,U6
GPR174,GPR174
NCOA5,NCOA5
Y_RNA,Y_RNA
U6,U6
SLC9A2,SLC9A2
RNU6-552P,U6
RNU6-725P,U6
Y_RNA,Y_RNA
RNU4-85P,U4
HMGCL,HMGCL
Y_RNA,Y_RNA
U6,U6
RNU4-73P,U4
DRD5,DRD5
5S_rRNA,5S_rRNA
MIR382,MIR382
U6,U6
MIR148A,MIR148A
U4,U4
5S_rRNA,5S_rRNA
TMEM275,TMEM275
SNORD18,SNORD18
U4,U4
RNU6-562P,U6
5S_rRNA,5S_rRNA
TCAIM,TCAIM
SNORD18C,SNORD18
RNU6-437P,U6
RNU6-335P,U6
RNU4-38P,U4
5S_rRNA,5S_rRNA
OR5A1,OR5A1
Metazoa_SRP,Metazoa_SRP
RNU4-34P,U4
ptr-mir-551b,MIR551B
SNORD18B,SNORD18
CREBBP,CREBBP
UTP20,UTP20
NRK,NRK
U4,U4
RN7SL346P,Metazoa_SRP
5S_rRNA,5S_rRNA
MIR15A,ggo-mir-15a
SNORD18A,SNORD18
CEP89,CEP89
MAGEC2,MAGEC2
RN7SL104P,Metazoa_SRP
5S_rRNA,5S_rRNA
RNU6-651P,U6
SNORA32,SNORA32
RN7SL552P,Metazoa_SRP
MIR708,MIR708
RNU4-56P,U4
RN7SL504P,Metazoa_SRP
KCNA10,KCNA10
NEUROG2,NEUROG2
MIR381,MIR381
U4,U4
IMMT,IMMT
MIR1255B2,MIR1255B2
RNU6-716P,U6
RN7SL419P,Metazoa_SRP
OR11G2,OR11G2
MIR6791,MIR6791
RNU6-855P,U6
MUL1,MUL1
SLC25A13,SLC25A13
RN7SL583P,Metazoa_SRP
RPL39L,RPL39L
RNU4-49P,U4
RNU6-1060P,U6
AMPD2,AMPD2
MPLKIP,MPLKIP
Metazoa_SRP,Metazoa_SRP
RNU6-1020P,U6
IZUMO3,IZUMO3
5S_rRNA,5S_rRNA
U4,U4
RNU6-644P,U6
RNU4-83P,U4
RN7SL704P,Metazoa_SRP
MIR1912,MIR1912
U4,U4
USP47,USP47
RN7SL558P,Metazoa_SRP
MIR584,MIR584
U4,U4
U6,U6
RN7SL837P,Metazoa_SRP
COX7B2,COX7B2
OR6N1,OR6N1
U4,U4
RNU6-309P,U6
RN7SL445P,Metazoa_SRP
MIR4313,MIR4313
5S_rRNA,5S_rRNA
RNU6-209P,U6
RNU7-127P,U7
5S_rRNA,5S_rRNA
MIR6819,MIR6819
U6,U6
CDK5R1,CDK5R1
5S_rRNA,5S_rRNA
SMIM30,SMIM30
RNU4-62P,U4
LRRC3B,LRRC3B
RN7SL678P,Metazoa_SRP
RNU7-116P,U7
5S_rRNA,5S_rRNA
U4,U4
RN7SL442P,Metazoa_SRP
FKBP15,FKBP15
RNU6-398P,U6
5S_rRNA,5S_rRNA
RNU4-5P,U4
5S_rRNA,5S_rRNA
RNU7-170P,U7
RNU1-76P,U1
RNU6-685P,U6
RNU4-47P,U4
RN7SL841P,Metazoa_SRP
5S_rRNA,5S_rRNA
RNU6-10P,U6
RN7SL726P,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
TUSC1,TUSC1
MYH13,MYH13
GJB1,GJB1
5S_rRNA,5S_rRNA
U7,U7
ABCD1,ABCD1
RN7SL70P,Metazoa_SRP
5S_rRNA,5S_rRNA
RN7SL822P,Metazoa_SRP
ZNF446,ZNF446
KRTAP9-3,KRTAP9-3
RNU7-38P,U7
5S_rRNA,5S_rRNA
RNU6-129P,U6
Metazoa_SRP,Metazoa_SRP
5S_rRNA,5S_rRNA
RNU6-200P,U6
TENT4A,TENT4A
KLC4,KLC4
RNU6-207P,U6
5S_rRNA,5S_rRNA
GPRIN2,GPRIN2
ZBTB22,ZBTB22
SNAI2,SNAI2
TAS2R50,TAS2R50
RNU7-169P,U7
RNU6-238P,U6
RN7SL515P,Metazoa_SRP
PLXNB2,PLXNB2
GGTLC1,GGTLC1
RNU7-193P,U7
RNU6-1099P,U6
5S_rRNA,5S_rRNA
NTF4,NTF4
ZNF614,ZNF614
RNU7-65P,U7
RNU6-1340P,U6
SCARNA3,SCARNA3
5S_rRNA,5S_rRNA
RNU7-172P,U7
RNU6-1066P,U6
RNU7-69P,U7
5S_rRNA,5S_rRNA
RNU6-905P,U6
RNU7-197P,U7
5S_rRNA,5S_rRNA
RNU7-73P,U7
5S_rRNA,5S_rRNA
CABS1,CABS1
RNU7-26P,U7
RNU6-214P,U6
NAA10,NAA10
FAM43B,FAM43B
ZNF331,ZNF331
RNU7-25P,U7
LIPT1,LIPT1
WDR26,WDR26
5S_rRNA,5S_rRNA
TIGD4,TIGD4
RNU6-678P,U6
RNU7-192P,U7
5S_rRNA,5S_rRNA
SNORD59A,SNORD59A
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
SCARNA16,SCARNA16
OR51G1,OR51G1
GPR152,GPR152
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
RNU6ATAC7P,RNU6ATAC7P
RNU6ATAC8P,RNU6ATAC8P
RNU6ATAC27P,RNU6ATAC27P
RNU6ATAC39P,RNU6ATAC39P
RNU6ATAC,RNU6ATAC
RNU6ATAC6P,RNU6ATAC6P
SLITRK4,SLITRK4
SP6,SP6
ZNF579,ZNF579
SLC13A5,SLC13A5
DCTD,DCTD
THRSP,THRSP
PPP1R12C,PPP1R12C
ANKRD34C,ANKRD34C
GPR63,GPR63
REP15,REP15
SPATA2L,SPATA2L
HHATL,HHATL
MAGEE2,MAGEE2
CCR5,CCR5
AREG,AREG
SMIM32,SMIM32
OR9I1,OR9I1
DGKE,DGKE
KCTD13,KCTD13
ZNF524,ZNF524
RNU1-119P,U1
MLX,MLX
USF2,USF2
TANC2,TANC2
KCNA3,KCNA3
CCDC160,CCDC160
GPR32,GPR32
CXCR6,CXCR6
ZBTB46,ZBTB46
TMEM209,TMEM209
OR6Q1,OR6Q1
DCDC1,DCDC1
SGCB,SGCB
EOGT,EOGT
NHSL3,NHSL3
CTXND2,CTXND2
FLRT1,FLRT1
HNRNPF,HNRNPF
U1,U1
OR2AT4,OR2AT4
PLXND1,PLXND1
FGFBP3,FGFBP3
OR1D2,OR1D2
TRHR,TRHR
LRATD2,LRATD2
ZNF334,ZNF334
OR51E2,OR51E2
OR14J1,OR14J1
TMEM200A,TMEM200A
TMEM215,TMEM215
RNU1-123P,U1
MRPL30,MRPL30
PRKAG2,PRKAG2
SNORD114-20,SNORD114-20
SMAD4,SMAD4
HDHD3,HDHD3
VPS8,VPS8
ENDOD1,ENDOD1
ZDBF2,ZDBF2
C21orf140,C21orf140
CDCA7L,CDCA7L
XPO5,XPO5
SH3TC1,SH3TC1
KRTAP13-1,KRTAP13-1
H2BC1,H2BC1
SSTR1,SSTR1
PRPSAP2,PRPSAP2
GPR150,GPR150
RAPGEF2,RAPGEF2
SEPTIN10,SEPTIN10
SPATA12,SPATA12
ADO,ADO
OR13D1,OR13D1
SNORD32A,SNORD33
CRYL1,CRYL1
H2AX,H2AX
IPO11,IPO11
RNU1-91P,U1
ARG1,ARG1
SAMD9,SAMD9
FTHL17,FTHL17
PGBD4,PGBD4
SOWAHC,SOWAHC
FBXL13,FBXL13
OR6C1,OR6C1
ATOH7,ATOH7
ADAM20,ADAM20
TIPIN,TIPIN
PDRG1,PDRG1
DYNLT4,DYNLT4
HEPN1,HEPN1
DIRAS1,DIRAS1
OR4K17,OR4K17
OR6K3,OR6K3
PDE11A,PDE11A
ZBTB5,ZBTB5
TLK1,TLK1
SOX6,SOX6
MED7,MED7
CLDN24,CLDN24
TMEM203,TMEM203
RRBP1,RRBP1
LYPD5,LYPD5
ADCYAP1,ADCYAP1
UBL4B,UBL4B
NBDY,NBDY
FAM219A,FAM219A
SPAM1,SPAM1
CCDC185,CCDC185
RORB,RORB
LCA5,LCA5
OR5B3,OR5B3
PALLD,PALLD
PDGFB,PDGFB
C8orf74,C8orf74
TRIM60,TRIM60
HIGD2B,HIGD2B
DEPP1,DEPP1
SLITRK3,SLITRK3
OR4K15,OR4K15
OR4X2,OR4X2
CDYL2,CDYL2
FBXO46,FBXO46
CLEC14A,CLEC14A
XPO7,XPO7
TAF10,TAF10
ADNP,ADNP
FAM181B,FAM181B
KRTAP26-1,KRTAP26-1
OR9Q1,OR9Q1
NCDN,NCDN
OR52B4,OR52B4
GPR182,GPR182
SERTAD2,SERTAD2
NBEA,NBEA
ZNF585B,ZNF585B
CCDC54,CCDC54
OR4S1,OR4S1
TTC8,TTC8
HSF5,HSF5
U1,U1
FKRP,FKRP
SNORD105B,SNORD105B
PALD1,PALD1
GCNT3,GCNT3
NKX6-3,NKX6-3
TOR4A,TOR4A
NPPC,NPPC
JUNB,JUNB
ARL14,ARL14
SS18,SS18
EPHA2,EPHA2
FAM220A,FAM220A
PARP1,PARP1
TFEB,TFEB
KHDC4,KHDC4
YTHDC2,YTHDC2
OCIAD1,OCIAD1
TBCC,TBCC
RPRM,RPRM
THOP1,THOP1
FER1L4,FER1L4
OR4K1,OR4K1
SNORD15A,SNORD15
GPR22,GPR22
HDAC4,HDAC4
CDHR2,CDHR2
FPR3,FPR3
CCL17,CCL17
MRLN,MRLN
SPTB,SPTB
OR10T2,OR10T2
RNVU1-32,U1
ATOH1,ATOH1
OR8K1,OR8K1
TPBG,TPBG
GPRC6A,GPRC6A
CCER1,CCER1
OR5C1,OR5C1
ZNF449,ZNF449
ZBTB26,ZBTB26
C8orf76,C8orf76
SF3B5,SF3B5
RSRC1,RSRC1
C6orf89,C6orf89
OR5V1,OR5V1
FBXO34,FBXO34
ULK3,ULK3
ECT2L,ECT2L
RUFY4,RUFY4
SLC25A53,SLC25A53
PXDN,PXDN
OR13A1,OR13A1
DDB2,DDB2
SNORD83B,SNORD83B
HR,HR
MDH1B,MDH1B
OR8K3,OR8K3
PSMA2,PSMA2
SDE2,SDE2
OR4S2,OR4S2
CIART,CIART
ATP5IF1,ATP5IF1
STX11,STX11
HABP2,HABP2
MBLAC1,MBLAC1
ZNF480,ZNF480
TRIM68,TRIM68
FBXL20,FBXL20
P2RY6,P2RY6
MRGPRE,MRGPRE
CCDC172,CCDC172
MTERF2,MTERF2
ZNF891,ZNF891
POLR3B,POLR3B
HDC,HDC
SLC37A4,SLC37A4
POU3F4,POU3F4
SNORD113-7,SNORD113-7
RNU1-124P,U1
GJC1,GJC1
FAM32A,FAM32A
KIF3B,KIF3B
SELE,SELE
DAG1,DAG1
DDI2,DDI2
IRGM,IRGM
KIF5A,KIF5A
PIGW,PIGW
FXYD1,FXYD1
AGO2,AGO2
DRG2,DRG2
AP5Z1,AP5Z1
BST2,BST2
TMEM125,TMEM125
IRF2BP1,IRF2BP1
ZCCHC3,ZCCHC3
ZBTB6,ZBTB6
LRRC3C,LRRC3C
GPR61,GPR61
SMARCA2,SMARCA2
CCDC87,CCDC87
TCEAL1,TCEAL1
SNORD88B,SNORD88B
KRTAP7-1,KRTAP7-1
KRT32,KRT32
TAAR1,TAAR1
FFAR1,FFAR1
ACTRT1,ACTRT1
SLA,SLA
MSGN1,MSGN1
TUBB1,TUBB1
NUP42,NUP42
ARMCX5,ARMCX5
SPEN,SPEN
PRDM1,PRDM1
TMEM200B,TMEM200B
OPRK1,OPRK1
TPRA1,TPRA1
HRC,HRC
MAPK8IP3,MAPK8IP3
USH1C,USH1C
CALU,CALU
SSU72L6,SSU72L6
INTS7,INTS7
ZNF487,ZNF487
OR7G3,OR7G3
METTL18,METTL18
SOCS1,SOCS1
OR5A2,OR5A2
THBS4,THBS4
ZNF783,ZNF783
ACTR2,ACTR2
OR14I1,OR14I1
H2AJ,H2AJ
IFRD1,IFRD1
NQO1,NQO1
RNU1-52P,U1
OR2M5,OR2M5
PAX1,PAX1
UBE2G1,UBE2G1
KHK,KHK
SLC25A17,SLC25A17
B3GNT2,B3GNT2
SPMIP5,SPMIP5
FZD9,FZD9
DIRAS3,DIRAS3
TCN2,TCN2
TMEM81,TMEM81
SPNS3,SPNS3
OR5M9,OR5M9
SMIM3,SMIM3
RGS9BP,RGS9BP
ABCB1,ABCB1
ST8SIA3,ST8SIA3
TMEM116,TMEM116
OR52N1,OR52N1
HASPIN,HASPIN
HLA-DPA1,HLA-DPA1
KRTAP4-6,KRTAP4-6
CCR4,CCR4
SLC25A27,SLC25A27
KLK1,KLK1
C1orf216,C1orf216
TEX26,TEX26
KRTAP13-2,KRTAP13-2
MRPL41,MRPL41
AXL,AXL
MCF2L2,MCF2L2
PPP1R1B,PPP1R1B
PTPRN,PTPRN
OR51V1,OR51V1
GP9,GP9
NRARP,NRARP
GEM,GEM
TMEM143,TMEM143
CHST6,CHST6
NKAPL,NKAPL
MIS12,MIS12
RNF208,RNF208
PLEKHB1,PLEKHB1
CREBRF,CREBRF
HSPA9,HSPA9
OR2L13,OR2L13
OTOP1,OTOP1
LMAN1,LMAN1
RDH10,RDH10
OR2M4,OR2M4
UPP2,UPP2
B3GNT9,B3GNT9
OR6K6,OR6K6
GRB14,GRB14
PRLHR,PRLHR
VSX2,VSX2
SFRP4,SFRP4
CCKAR,CCKAR
XKR7,XKR7
PAK6,PAK6
HTR1E,HTR1E
WIPF2,WIPF2
SHPK,SHPK
TAB2,TAB2
INSM2,INSM2
CA9,CA9
TRAPPC3,TRAPPC3
SP100,SP100
EFCAB6,EFCAB6
APOBEC3G,APOBEC3G
XCR1,XCR1
TET2,TET2
PAK1IP1,PAK1IP1
C10orf105,C10orf105
OR2L3,OR2L3
SNORD83A,SNORD83A
RGR,RGR
OR12D3,OR12D3
VWA5B1,VWA5B1
FCHSD2,FCHSD2
SNORD1A,SNORD1A
ATAT1,ATAT1
U1,U1
OR2L5,OR2L5
CCDC149,CCDC149
NPY5R,NPY5R
LGALS9C,LGALS9C
OR2M3,OR2M3
FZD10,FZD10
TMEM258,TMEM258
OR14A16,OR14A16
ZHX1,ZHX1
EIF3L,EIF3L
NSG1,NSG1
AGTR2,AGTR2
RNU1-46P,U1
CH25H,CH25H
PRR23B,PRR23B
PDE4A,PDE4A
DIRAS2,DIRAS2
ACVR2B,ACVR2B
CSNK1E,CSNK1E
XAB2,XAB2
TMEM132D,TMEM132D
SEL1L2,SEL1L2
RNU1-44P,U1
OR7G1,OR7G1
OR51F1,OR51F1
U1,U1
ZBED5,ZBED5
OR2AG2,OR2AG2
MRGPRX2,MRGPRX2
HSBP1L1,HSBP1L1
ZNF195,ZNF195
OR52H1,OR52H1
ARC,ARC
NANOS2,NANOS2
PTPRD,PTPRD
EMX2,EMX2
NPHP3,NPHP3
MTNR1A,MTNR1A
ZNF319,ZNF319
OR9H1P,OR9H1P
UBQLN3,UBQLN3
TMC2,TMC2
AMIGO1,AMIGO1
OR52A1,OR52A1
TIFA,TIFA
EFCC1,EFCC1
SLC12A3,SLC12A3
ZNF519,ZNF519
CFLAR,CFLAR
WDSUB1,WDSUB1
PPP3CC,PPP3CC
