Gene name,Mouse Lemur gene name
SEPTIN8,SEPTIN8
ELF1,ELF1
PITRM1,PITRM1
DHDH,DHDH
ARX,ARX
SUN2,SUN2
LUC7L2,LUC7L2
PTCRA,PTCRA
SLC45A4,SLC45A4
SNORA73,SNORA73
MIR133A1,MIR133A1
MIR1-2,MIR1-2
RNU6-1038P,U6
MIB1,MIB1
WBP4,WBP4
GNMT,GNMT
PEX6,PEX6
PCDH9,PCDH9
MTCL1,MTCL1
ARHGEF9,ARHGEF9
USP44,USP44
Y_RNA,Y_RNA
PLAG1,PLAG1
MYO1G,MYO1G
RNU5F-3P,U5
TMEM200C,TMEM200C
GRP,GRP
CHCHD7,CHCHD7
FKTN,FKTN
RBM19,RBM19
ZNF792,ZNF792
RNU6-796P,U6
RAX,RAX
UBE3A,UBE3A
CPLX4,CPLX4
LGI4,LGI4
TBR1,TBR1
LMAN1,LMAN1
POLR2L,POLR2L
MECOM,MECOM
CHID1,CHID1
COX18,COX18
NDRG1,NDRG1
FIGN,FIGN
CCBE1,CCBE1
MYOZ2,MYOZ2
FXYD7,FXYD7
MOB1B,MOB1B
ADAM23,ADAM23
SLC14A1,SLC14A1
FARSA,FARSA
MAP2K4,MAP2K4
FBXO10,FBXO10
SFTPD,SFTPD
HMGB2,HMGB2
PIWIL3,PIWIL3
CPEB4,CPEB4
TMEM254,TMEM254
AMDHD1,AMDHD1
PAH,PAH
SAP30,SAP30
MIR744,MIR744
P2RX6,P2RX6
SCRG1,SCRG1
FRMPD1,FRMPD1
ELAC2,ELAC2
RNU6-1096P,U6
HAND2,HAND2
MED28,MED28
TAS2R5,TAS2R5
TMEM163,TMEM163
TMEM229A,TMEM229A
RAD23A,RAD23A
FAM184B,FAM184B
BPGM,BPGM
MACROH2A2,MACROH2A2
TRMT10B,TRMT10B
NCAPG,NCAPG
MEA1,MEA1
NOPCHAP1,NOPCHAP1
RRP36,RRP36
SLC6A17,SLC6A17
NDST1,NDST1
KCNJ5,KCNJ5
SIGLEC15,SIGLEC15
NPFFR1,NPFFR1
KLC4,KLC4
RNPC3,RNPC3
GADD45GIP1,GADD45GIP1
MLLT10,MLLT10
TMEM150B,TMEM150B
ESRP2,ESRP2
Y_RNA,Y_RNA
PSTPIP2,PSTPIP2
C11orf65,C11orf65
MYF5,MYF5
NOCT,NOCT
KATNAL1,KATNAL1
BBS10,BBS10
EXOSC3,EXOSC3
SLC16A8,SLC16A8
CRADD,CRADD
Y_RNA,Y_RNA
RNU6-506P,U6
RNF130,RNF130
MGARP,MGARP
DCAF10,DCAF10
KMT5C,KMT5C
IL17RA,IL17RA
NDUFC1,NDUFC1
CRYAB,CRYAB
PLA2G15,PLA2G15
CWC22,CWC22
CCDC60,CCDC60
TAF7L,TAF7L
SHB,SHB
SEC22B,SEC22B
PTGFRN,PTGFRN
ZFX,ZFX
ZNF326,ZNF326
Y_RNA,Y_RNA
SLBP,SLBP
IL4,IL4
HDHD5,HDHD5
METTL21EP,METTL21EP
SLC7A6,SLC7A6
MAP3K13,MAP3K13
MIR17,MIR17
MIR18A,mmr-mir-18
MIR19A,MIR19A
MIR20A,MIR20A
MIR19B1,MIR19B1
MIR92A1,MIR92A1
NEK3,NEK3
HECW2,HECW2
INSIG1,INSIG1
GARIN5B,GARIN5B
HSPB2,HSPB2
TRIM45,TRIM45
C11orf52,C11orf52
IL11,IL11
DIXDC1,DIXDC1
LAMC3,LAMC3
HAUS1,HAUS1
LETM1,LETM1
TMEM190,TMEM190
CBY1,CBY1
DRAM1,DRAM1
TMEM238,TMEM238
ALPK3,ALPK3
CD38,CD38
TENT5C,TENT5C
ZNF81,ZNF81
SYCP1,SYCP1
SRRM4,SRRM4
MID2,MID2
UCK1,UCK1
TRPS1,TRPS1
HS3ST3A1,HS3ST3A1
RBFOX2,RBFOX2
VEPH1,VEPH1
COX10,COX10
CHD8,CHD8
TSPAN8,TSPAN8
EPG5,EPG5
AKR1B1,AKR1B1
FAM227B,FAM227B
SLC7A6OS,SLC7A6OS
MRPL2,MRPL2
UBE2S,UBE2S
NKAPD1,C5H11orf57
TEX11,TEX11
EPC1,EPC1
ECSCR,ECSCR
SMPD3,SMPD3
PROM1,PROM1
ISOC2,ISOC2
GREB1L,GREB1L
PIP5K1A,PIP5K1A
HS3ST3B1,HS3ST3B1
GALNT9,GALNT9
C1QTNF2,C1QTNF2
MIR23B,MIR23B
MIR27B,MIR27B
MIR3074,MIR3074
PTK7,PTK7
Y_RNA,Y_RNA
AK1,AK1
PRPSAP1,PRPSAP1
GALNT10,GALNT10
PPP3CC,PPP3CC
TIMM8B,TIMM8B
NAT14,NAT14
DTWD1,DTWD1
SSC5D,SSC5D
BCO2,BCO2
MLYCD,MLYCD
SLC49A4,DIRC2
TIMM23B,TIMM23
OSGIN1,OSGIN1
TMEM213,TMEM213
CABCOCO1,CABCOCO1
ASXL3,ASXL3
CHST2,CHST2
UTP20,UTP20
SBK2,SBK2
TMEM174,TMEM174
TRIM24,TRIM24
SBK3,SBK3
SPHK1,SPHK1
RNU6-660P,U6
ZNF579,ZNF579
RN7SL58P,Metazoa_SRP
SNX1,SNX1
FIZ1,FIZ1
SNORD29,SNORD29
Y_RNA,Y_RNA
ST6GALNAC4,ST6GALNAC4
RFTN2,RFTN2
RNU6-909P,U6
RNU6-480P,U6
ZNF524,ZNF524
HSDL1,HSDL1
MIR449A,MIR449A
MIR449B,MIR449B
Y_RNA,Y_RNA
AP3M1,AP3M1
RNU6-913P,U6
ZNF784,ZNF784
RN7SKP34,7SK
ZNF580,ZNF580
Y_RNA,Y_RNA
GDAP2,GDAP2
RN7SKP230,7SK
RN7SKP57,7SK
RNU1-140P,U1
SNORA13,SNORA13
RNU6-701P,U6
RNU6-718P,U6
RNU6-290P,U6
RNU4-69P,U4
HERC4,HERC4
CCDC106,CCDC106
PIP5KL1,PIP5KL1
MIR378A,MIR378A
RNA5SP194,5S_rRNA
DNAAF1,DNAAF1
RNU6-168P,U6
LGR5,LGR5
RNU6-525P,U6
ANKEF1,ANKEF1
MIR340,MIR340
SLC34A1,SLC34A1
KDM7A,KDM7A
UBE2O,UBE2O
LPIN2,LPIN2
TSHB,TSHB
INHBB,INHBB
WDR3,WDR3
LNPK,LNPK
ADAD2,ADAD2
DPM2,DPM2
RNU1-124P,U1
PTS,PTS
GGT5,GGT5
HGSNAT,HGSNAT
MACC1,MACC1
EPN1,EPN1
Metazoa_SRP,Metazoa_SRP
OCSTAMP,OCSTAMP
SLC13A3,SLC13A3
CYGB,CYGB
EEIG1,FAM102A
SLC38A8,SLC38A8
SNX22,SNX22
GRK6,GRK6
PRCD,PRCD
SCNM1,SCNM1
PLET1,PLET1
ITGAM,ITGAM
ATR,ATR
NLRP9,NLRP9
CSNK1G1,CSNK1G1
PRXL2C,PRXL2C
MALT1,MALT1
IL17REL,IL17REL
SNORD1C,SNORD1C
UBE2L3,UBE2L3
SNORD1B,SNORD1B
SNORD1A,SNORD1A
ST6GALNAC2,ST6GALNAC2
CHCHD3,CHCHD3
ZNF782,ZNF782
GAMT,GAMT
ZNF385B,ZNF385B
RN7SL843P,Metazoa_SRP
ADA2,ADA2
ST6GALNAC1,ST6GALNAC1
ZNHIT1,ZNHIT1
SPAG17,SPAG17
PPDPFL,PPDPFL
DENND2A,DENND2A
RALB,RALB
SNORD8,SNORD8
RAB2B,RAB2B
GCNT7,GCNT7
HRH3,HRH3
DAZAP1,DAZAP1
MORN5,MORN5
DLGAP2,DLGAP2
RBM18,RBM18
RALGAPA2,RALGAPA2
OR56B4,OR56B4
MRRF,MRRF
SLC24A4,SLC24A4
SERPINB7,SERPINB7
GUCY1A2,GUCY1A2
RNU6-97P,U6
ARL4C,ARL4C
RHBDF2,RHBDF2
POMK,POMK
EDAR,EDAR
SVOPL,SVOPL
PRR7,PRR7
MAGI3,MAGI3
SERPINB2,SERPINB2
DDX41,DDX41
SLC37A2,SLC37A2
ERGIC3,ERGIC3
RTP1,RTP1
PHF20L1,PHF20L1
SLC33A1,SLC33A1
ICOS,ICOS
MPDZ,MPDZ
RN7SL477P,Metazoa_SRP
SRF,SRF
MDH1B,MDH1B
MBD3,MBD3
PSMA3,PSMA3
CUL9,CUL9
TM4SF4,TM4SF4
TAPT1,TAPT1
TLCD5,TMEM136
GHSR,GHSR
LRRC74B,LRRC74B
MXI1,MXI1
ITGAD,ITGAD
GPR149,GPR149
POLDIP3,POLDIP3
SERPINB8,SERPINB8
USP47,USP47
GABPB2,GABPB2
CLSTN2,CLSTN2
ZNF10,ZNF10
BARD1,BARD1
SEC14L1,SEC14L1
LYSMD1,LYSMD1
COX6A2,COX6A2
KLHL24,KLHL24
CD2,CD2
COPG2,COPG2
APC2,APC2
ARMC5,ARMC5
AFG2A,SPATA5
ENPP2,ENPP2
ARL1,ARL1
HMGXB3,HMGXB3
PCLAF,PCLAF
ACAA2,ACAA2
RAB5IF,RAB5IF
TGFB1I1,TGFB1I1
SPRY1,SPRY1
CSF1R,CSF1R
PI4KA,PI4KA
ARID4A,ARID4A
DNPH1,DNPH1
RTP4,RTP4
NOA1,NOA1
IL17RD,IL17RD
POLR2B,POLR2B
DPPA5,DPPA5
PSMC4,PSMC4
TRIP4,TRIP4
KHDC3L,KHDC3L
ALKBH2,ALKBH2
ELF5,ELF5
DDX43,DDX43
VIPR2,VIPR2
RN7SL310P,Metazoa_SRP
CFAP53,CFAP53
TAOK3,TAOK3
GUCA1B,GUCA1B
CXXC1,CXXC1
CRYBG1,CRYBG1
ZNF546,ZNF546
PDGFRB,PDGFRB
ADAM33,ADAM33
PAK1,PAK1
Y_RNA,Y_RNA
RTN4IP1,RTN4IP1
COL28A1,COL28A1
QRSL1,QRSL1
CSF1,CSF1
HIC2,HIC2
UBR1,UBR1
RNU6-1115P,U6
DNAJC13,DNAJC13
GRAP2,GRAP2
ZNF699,ZNF699
UBE2E3,UBE2E3
IGFBP7,IGFBP7
ZNF560,ZNF560
HECTD2,HECTD2
U8,U8
TFB1M,TFB1M
ERAP1,ERAP1
REST,REST
TOMM20L,TOMM20L
NOX3,NOX3
EDDM13,EDDM13
U3,U3
Y_RNA,Y_RNA
RN7SKP228,7SK
Metazoa_SRP,Metazoa_SRP
LETM2,LETM2
RNU1-15P,U1
SNORD65C,SNORD65C
GTF2H4,GTF2H4
SNORA5A,SNORA5A
SNORA5C,SNORA5C
SNORA5B,SNORA5B
SNORA9,SNORA9
RNU2-29P,U2
RNU1-14P,U1
ZNF583,ZNF583
SLC5A2,SLC5A2
RNU6-313P,U6
ASCL1,ASCL1
USP30,USP30
RN7SKP104,7SK
NFAM1,NFAM1
RN7SKP277,7SK
RNU1-29P,U1
Y_RNA,Y_RNA
RNU6-797P,U6
RNU1-58P,U1
COL5A3,COL5A3
MPLKIP,MPLKIP
KIAA0586,KIAA0586
ADK,ADK
PRAME,PRAME
HBP1,HBP1
MPC2,MPC2
SLC12A5,SLC12A5
SCARNA16,SCARNA16
RNU4-47P,U4
TMEM62,TMEM62
MEIOC,MEIOC
ANXA5,ANXA5
AHSP,AHSP
FIRRM,FIRRM
CCDC43,CCDC43
HGD,HGD
CPM,CPM
CDIPT,CDIPT
MYO5B,MYO5B
LRRC14B,LRRC14B
CCDC127,CCDC127
CCNDBP1,CCNDBP1
RCN1,RCN1
LY75,LY75
EXOC3,EXOC3
RNU6-1133P,U6
SLC16A12,SLC16A12
C6orf15,C6H6orf15
ANAPC16,ANAPC16
GRIK4,GRIK4
RDH8,RDH8
GTPBP1,GTPBP1
CDSN,CDSN
SHFL,SHFL
GPR22,GPR22
PSORS1C2,PSORS1C2
DDIT4,DDIT4
PPP1R3A,PPP1R3A
FER1L6,FER1L6
VARS2,VARS2
POGLUT1,POGLUT1
HACD1,HACD1
ADAM11,ADAM11
SLC9A3,SLC9A3
TCF24,TCF24
COPS5,COPS5
ABTB3,BTBD11
CHCHD10,CHCHD10
EN2,EN2
STAM,STAM
SUGCT,SUGCT
MMP11,MMP11
GTF2A1L,GTF2A1L
LAMC1,LAMC1
TRIM42,TRIM42
DGKG,DGKG
AGTR2,AGTR2
ZDHHC9,ZDHHC9
ASCC2,ASCC2
PPAN,PPAN
ASPHD1,ASPHD1
TMEM236,TMEM236
GTPBP4,GTPBP4
RRBP1,RRBP1
NME7,NME7
CLEC5A,CLEC5A
ARFGEF1,ARFGEF1
CSTPP1,CSTPP1
SNORD105,SNORD105
SNORD105B,SNORD105B
P2RY11,P2RY11
EIF3G,EIF3G
EXOSC9,EXOSC9
HIGD1B,HIGD1B
CEP76,CEP76
CEP72,CEP72
ALDOA,ALDOA
ZSWIM2,ZSWIM2
EFTUD2,EFTUD2
TPPP,TPPP
RNU6-102P,U6
GPR37,GPR37
FAM124B,FAM124B
RPH3A,RPH3A
RCSD1,RCSD1
COPS6,COPS6
ITPRID2,SSFA2
PLPP7,PLPP7
L3MBTL2,L3MBTL2
TGM7,TGM7
SNORA74A,SNORA74
TMEM268,TMEM268
MATR3,MATR3
PSMG2,PSMG2
BCORL1,BCORL1
DMXL2,DMXL2
TNFSF15,TNFSF15
POU2F1,POU2F1
PSMD5,PSMD5
MIR25,MIR25
MIR106B,MIR106B
CNPY4,CNPY4
Y_RNA,Y_RNA
S1PR2,S1PR2
MRPL4,MRPL4
NLRP14,NLRP14
STOX1,STOX1
PHF19,PHF19
MBLAC1,MBLAC1
TRAPPC14,C17H7orf43
RCOR2,RCOR2
SGK2,SGK2
FAM199X,FAM199X
CHADL,CHADL
ESX1,ESX1
CCNA2,CCNA2
RNU6-697P,U6
DDX50,DDX50
PLCXD1,PLCXD1
NAA40,NAA40
SOX10,SOX10
BBS7,BBS7
TMEM184B,TMEM184B
GAL3ST4,GAL3ST4
CCDC103,CCDC103
GPC2,GPC2
COX8A,COX8A
SEH1L,SEH1L
MACROD1,MACROD1
APLN,APLN
XPNPEP2,XPNPEP2
CCDC166,CCDC166
PPP1R35,PPP1R35
ICAM1,ICAM1
MAPK15,MAPK15
KIF18B,KIF18B
TRIM32,TRIM32
VSIR,VSIR
SASH3,SASH3
CER1,CER1
CSNK1E,CSNK1E
RNU6-1260P,U6
TRPC3,TRPC3
KAT14,KAT14
CDK6,CDK6
CDH23,CDH23
MRPS34,MRPS34
PRR18,PRR18
SFT2D1,SFT2D1
B3GNT5,B3GNT5
Metazoa_SRP,Metazoa_SRP
UBE2R2,UBE2R2
ARAF,ARAF
SNORD121B,SNORD121B
ICAM4,ICAM4
SNORD121A,SNORD121A
SPMIP7,SPMIP7
DCAF12,DCAF12
FAM83H,FAM83H
NUBP2,NUBP2
KIAA1549,KIAA1549
CHRDL1,CHRDL1
GOLIM4,GOLIM4
TBXT,T
SCRIB,SCRIB
CEP192,CEP192
DNAH7,DNAH7
P2RX7,P2RX7
MRS2,MRS2
FREM1,FREM1
FBXL5,FBXL5
TGM3,TGM3
TGM6,TGM6
CAPN6,CAPN6
RXRG,RXRG
CCDC50,CCDC50
GPNMB,GPNMB
RNU6-496P,U6
TEKT3,TEKT3
SRPX2,SRPX2
C14orf180,C14orf180
ZNF773,ZNF773
ZFYVE21,ZFYVE21
SCG3,SCG3
PTGES2,PTGES2
PAIP2,PAIP2
LSP1,LSP1
GK5,GK5
PMP22,PMP22
ATP1B4,ATP1B4
ZNF549,ZNF549
BEND3,BEND3
IGFALS,IGFALS
PREP,PREP
ZNF416,ZIK1
TPR,TPR
DPP10,DPP10
PIP4P1,PIP4P1
HAGH,HAGH
ZIK1,ZIK1
SLC35E4,SLC35E4
SNORA71E,SNORA71
SNORA60,SNORA71
RALGAPB,RALGAPB
SLC23A1,SLC23A1
LYSMD2,LYSMD2
TCN2,TCN2
C1GALT1C1,C1GALT1C1
FBXL22,FBXL22
SLC25A13,SLC25A13
CUL4B,CUL4B
FAM200B,FAM200B
PIAS1,PIAS1
SCAF8,SCAF8
EHHADH,EHHADH
ZNF527,ZNF527
CCM2,CCM2
PPIF,PPIF
SMC5,SMC5
EIF2B5,EIF2B5
MZB1,MZB1
ZNF569,ZNF569
ZCCHC24,ZCCHC24
DNAJC18,DNAJC18
SULT1E1,SULT1E1
CCDC198,CCDC198
RN7SL726P,Metazoa_SRP
MIR204,MIR204
HS3ST6,HS3ST6
CILK1,CILK1
CHIA,CHIA
DET1,DET1
VAC14,VAC14
PIKFYVE,PIKFYVE
NRBP2,NRBP2
ZNF607,ZNF607
NIPSNAP3A,NIPSNAP3A
WDR87,WDR87
RNF111,RNF111
ACSL6,ACSL6
ABCA1,ABCA1
TMEM132D,TMEM132D
CYP2S1,CYP2S1
SLC17A8,SLC17A8
MCHR1,MCHR1
CENPW,CENPW
KCNK16,KCNK16
AXL,AXL
TEKT5,TEKT5
WAPL,WAPL
GPHN,GPHN
BRAP,BRAP
PARP10,PARP10
HPS4,HPS4
NUBP1,NUBP1
SLC32A1,SLC32A1
WDR86,WDR86
ACTR5,ACTR5
LDLRAD4,LDLRAD4
TMEM200A,TMEM200A
EIF5A,EIF5A
CNBD2,CNBD2
REPS1,REPS1
SHQ1,SHQ1
RNF121,RNF121
IFRD1,IFRD1
LRRC49,LRRC49
CHPT1,CHPT1
FBXO45,FBXO45
YEATS2,YEATS2
VWC2L,VWC2L
PRR27,PRR27
TVP23A,TVP23A
NIBAN1,NIBAN1
RN7SL34P,Metazoa_SRP
CCDC97,CCDC97
EPB41L5,EPB41L5
TBX3,TBX3
JCHAIN,JCHAIN
TMEM91,TMEM91
LAMTOR1,LAMTOR1
CLUL1,CLUL1
GPS2,GPS2
OR10J5,OR10J5
LAMC2,LAMC2
ALDH18A1,ALDH18A1
SVOP,SVOP
PLAAT1,HRASLS
KLB,KLB
DEXI,DEXI
METTL17,METTL17
GRINA,GRINA
RNF168,RNF168
COG7,COG7
LIAS,LIAS
PHOX2A,PHOX2A
B9D2,B9D2
MB21D2,MB21D2
ENTPD1,ENTPD1
P3H2,P3H2
ANHX,ANHX
WDR38,WDR38
LSMEM1,LSMEM1
BCKDHA,BCKDHA
SLC22A18,SLC22A18
SPATC1,SPATC1
SERPINB10,SERPINB10
TNFRSF11A,TNFRSF11A
FRRS1L,FRRS1L
SYCP3,SYCP3
OPLAH,OPLAH
NOS3,NOS3
SNORA75,SNORA75
EARS2,EARS2
GPA33,GPA33
WDR53,WDR53
TAF4,TAF4
LOXL4,LOXL4
ERICH4,ERICH4
ZCCHC2,ZCCHC2
CYC1,CYC1
TPRG1,TPRG1
FGFR1OP2,FGFR1OP2
SORCS3,SORCS3
SHARPIN,SHARPIN
SNORA54,SNORA54
ARHGAP40,ARHGAP40
SWAP70,SWAP70
NUF2,NUF2
UBFD1,UBFD1
MCMBP,MCMBP
WFDC8,WFDC8
ABCD2,ABCD2
GYPC,GYPC
NEURL4,NEURL4
ADIPOQ,ADIPOQ
PLIN1,PLIN1
PIGT,PIGT
SPATA31G1,C9orf131
YEATS4,YEATS4
ATP13A4,ATP13A4
WDR97,WDR97
LIPA,LIPA
STOML2,STOML2
TSHZ1,TSHZ1
MYL1,MYL1
MIR505,MIR505
CXorf66,CXorf66
MBD1,MBD1
UGDH,UGDH
MIR652,MIR652
RN7SKP161,7SK
RNU6-837P,U6
HGH1,HGH1
ADM,ADM
JMJD7,JMJD7
RN7SL38P,Metazoa_SRP
GSC,GSC
SNORA69,SNORA69
MIR331,MIR331
RNU6-808P,U6
TP53INP1,TP53INP1
Y_RNA,Y_RNA
TRAV3,TRAV3
RN7SL88P,Metazoa_SRP
PLK1,PLK1
RN7SL483P,Metazoa_SRP
ANAPC1,ANAPC1
ZNF175,ZNF175
RNU6-247P,U6
ASIC3,ASIC3
TCTN3,TCTN3
RN7SL508P,Metazoa_SRP
TSHR,TSHR
MIR99B,MIR99B
MIRLET7E,MIRLET7E
MIR125A,MIR125A
VCPIP1,VCPIP1
HAS1,HAS1
RNF141,RNF141
NKAP,NKAP
SGK3,SGK3
ATOSB,FAM214B
GMNC,GMNC
CACNA2D4,CACNA2D4
CRY2,CRY2
NR5A2,NR5A2
SMCO1,SMCO1
NOVA2,NOVA2
SH3BP1,SH3BP1
ETV5,ETV5
Y_RNA,Y_RNA
BCOR,BCOR
JPT2,JPT2
FAM120B,FAM120B
SPTBN5,SPTBN5
IFIT3,IFIT3
SGPP2,SGPP2
OGDHL,OGDHL
SCYL3,SCYL3
SAXO1,SAXO1
CRACDL,CRACDL
CDK5,CDK5
TRMT10A,TRMT10A
C3orf33,C1H3orf33
RRAGA,RRAGA
ADAMTSL1,ADAMTSL1
MAPK8IP1,MAPK8IP1
TANC1,TANC1
CCNF,CCNF
GTF2A1,GTF2A1
ACAP1,ACAP1
FKBP5,FKBP5
EIF5A2,EIF5A2
LGALS1,LGALS1
NMNAT2,NMNAT2
SGMS1,SGMS1
HMGCLL1,HMGCLL1
DNAI1,DNAI1
NOL12,NOL12
U2SURP,U2SURP
TMUB1,TMUB1
ENHO,ENHO
FREY1,FREY1
CNTFR,CNTFR
PEX16,PEX16
TMEFF2,TMEFF2
MPV17L2,MPV17L2
TEDC2,TEDC2
EIF2S1,EIF2S1
MAPK10,MAPK10
ASB10,ASB10
TARBP1,TARBP1
ZBTB4,ZBTB4
RAB3A,RAB3A
RPP25L,RPP25L
DCTN3,DCTN3
PLA2G6,PLA2G6
IQCA1L,IQCA1L
PAPSS2,PAPSS2
MAPK7,MAPK7
PLEK2,PLEK2
ABCF2,ABCF2
Y_RNA,Y_RNA
LSM4,LSM4
CD276,CD276
TDRD5,TDRD5
ABCA12,ABCA12
LARGE2,LARGE2
GALT,GALT
MCMDC2,MCMDC2
BATF,BATF
FABP6,FABP6
RNU6-894P,U6
FLVCR2,FLVCR2
ATAD1,ATAD1
YIPF6,YIPF6
XRCC4,XRCC4
HERPUD2,HERPUD2
LYRM4,LYRM4
CREB3L1,CREB3L1
KLLN,KLLN
ARID5B,ARID5B
MFAP4,MFAP4
NMUR2,NMUR2
TFB2M,TFB2M
OPHN1,OPHN1
NRN1,NRN1
RSBN1L,RSBN1L
NTN3,NTN3
FAM76B,FAM76B
ICE2,ICE2
TRPC7,TRPC7
F13A1,F13A1
ATP6V0C,ATP6V0C
LYPLAL1,LYPLAL1
MSS51,MSS51
PPP3CB,PPP3CB
TTLL5,TTLL5
SNORD87,SNORD87
TMEM60,TMEM60
CCDC28A,CCDC28A
RNU6-337P,U6
MARF1,MARF1
RNU6-530P,U6
GGCT,GGCT
CCL27,CCL27
RNF112,RNF112
MPZL1,MPZL1
CEP57,CEP57
CRHR2,CRHR2
CCL19,CCL19
SPATA31F1,SPATA31F1
FUZ,FUZ
PDE6G,PDE6G
VMA21,VMA21
NCR2,NCR2
SEC31B,SEC31B
TRHR,TRHR
ATP6AP1,ATP6AP1
OXLD1,OXLD1
ENY2,ENY2
GTF3C5,GTF3C5
RNU6-243P,U6
MIR128-2,MIR128-2
FASTKD2,FASTKD2
ADAM19,ADAM19
RNU2-10P,U2
RN7SKP284,7SK
CCDC137,CCDC137
RN7SL271P,Metazoa_SRP
WDR93,WDR93
KCNJ4,KCNJ4
SLC17A4,SLC17A4
KDELR3,KDELR3
Y_RNA,Y_RNA
RNU6-823P,U6
RNU6-1284P,U6
INTS7,INTS7
U8,U8
RNU1-100P,U1
Y_RNA,Y_RNA
Y_RNA,Y_RNA
DDX17,DDX17
SNORA63D,SNORA63
RNU6-505P,U6
RNU1-70P,U1
MRPL12,MRPL12
SLC17A1,SLC17A1
SNORA63E,SNORA63
RN7SL141P,Metazoa_SRP
ADGRG7,ADGRG7
NUDCD1,NUDCD1
SLC25A10,SLC25A10
CLDN2,CLDN2
DRP2,DRP2
ERG28,ERG28
TANK,TANK
EFEMP2,EFEMP2
MESP2,MESP2
PNKP,PNKP
CPA3,CPA3
ANPEP,ANPEP
MIR484,MIR484
GPATCH2L,GPATCH2L
NDE1,NDE1
SLC17A3,SLC17A3
ANKRD46,ANKRD46
GARS1,GARS1
FSCN2,FSCN2
GYG1,GYG1
TST,TST
LRTM2,LRTM2
RECQL5,RECQL5
GRIA3,GRIA3
ELFN2,ELFN2
MFNG,MFNG
UBE2QL1,UBE2QL1
DCP1B,DCP1B
NSUN2,NSUN2
SNX31,SNX31
HIF1AN,HIF1AN
CARD10,CARD10
CEL,CEL
RALA,RALA
PHC1,PHC1
H1-4,H1-4
CATSPERE,CATSPERE
PABPC1,PABPC1
SLF2,SLF2
PLEKHH1,PLEKHH1
RALGDS,RALGDS
MIR653,MIR653
CALCR,CALCR
METRN,METRN
FIBP,FIBP
CALCRL,CALCRL
HLTF,HLTF
ANTKMT,FAM173A
MCCD1,MCCD1
DDX39B,BAT1
GPR143,GPR143
CIAO3,CIAO3
TENT4A,TENT4A
TWNK,TWNK
PIGH,PIGH
EGFL6,EGFL6
EDARADD,EDARADD
ANKRD44,ANKRD44
CDC42EP1,CDC42EP1
RN7SKP20,7SK
ARG2,ARG2
OFD1,OFD1
PDZD7,PDZD7
LGALS2,LGALS2
BRINP3,BRINP3
TTLL8,TTLL8
VTI1B,VTI1B
ARPIN,ARPIN
SAP30BP,SAP30BP
CCDC85B,CCDC85B
FOSL1,FOSL1
M6PR,M6PR
LMX1A,LMX1A
RAC2,RAC2
SMIM15,SMIM15
RDH11,RDH11
KAZALD1,KAZALD1
MSLN,MSLN
ANXA2,ANXA2
HINT1,HINT1
C11orf68,C5H11orf68
DRAP1,DRAP1
IFIT2,IFIT2
MGAM,MGAM
ADCY10,ADCY10
BAMBI,BAMBI
KLRG1,KLRG1
GPKOW,GPKOW
LYRM7,LYRM7
MED25,MED25
RNU6-270P,U6
VENTX,VENTX
PSMD14,PSMD14
SH3TC2,SH3TC2
RDH12,RDH12
SART1,SART1
HPS3,HPS3
NKX2-8,NKX2-8
PAX9,PAX9
SH3BP4,SH3BP4
SNORD84,SNORD83
LTA,LTA
SELE,SELE
PALS1,MPP5
CT55,CT55
ATP6V1D,ATP6V1D
LTB,LTB
ZNF449,ZNF449
LST1,LST1
PRDX4,PRDX4
EIF1AD,EIF1AD
GAS2L1,GAS2L1
RN7SKP216,7SK
SLC4A10,SLC4A10
SPG7,SPG7
TBX5,TBX5
ZNF511,ZNF511
GBGT1,GBGT1
POU6F2,POU6F2
EMC2,EMC2
ACOT9,ACOT9
CALY,CALY
C3orf38,C3orf38
GPATCH2,GPATCH2
PRAP1,PRAP1
SELL,SELL
ECHS1,ECHS1
Y_RNA,Y_RNA
KCNK9,KCNK9
MRTFA,MKL1
GIMAP2,GIMAP2
KY,KY
GABRA6,GABRA6
CAPN8,CAPN8
SRP54,SRP54
PAOX,PAOX
BANF1,BANF1
GIMAP1,GIMAP1
STAP2,STAP2
INHBC,INHBC
CHRAC1,CHRAC1
TMEM176A,TMEM176A
GLI1,GLI1
ABO,ABO
CST6,CST6
SNCAIP,SNCAIP
CATSPER1,CATSPER1
RHOU,RHOU
RGS5,RGS5
AIF1,AIF1
BRK1,BRK1
GAL3ST3,GAL3ST3
UNK,UNK
IRAK2,IRAK2
ERCC6,ERCC6
ARHGAP9,ARHGAP9
CXorf58,CXorf58
AKT1S1,AKT1S1
SURF6,SURF6
GHRL,GHRL
WBP2,WBP2
MPP1,MPP1
SPATA17,SPATA17
MED22,MED22
CHAT,CHAT
SNORA38,SNORA38
APOM,APOM
ADCK2,ADCK2
PRRX1,PRRX1
YIPF2,YIPF2
GPANK1,GPANK1
ZNF236,ZNF236
DTL,DTL
DMAC2,ATP5SL
CRYGA,CRYGA
ABHD16A,ABHD16A
TRIM47,TRIM47
TBX1,TBX1
NEK9,NEK9
ADIG,ADIG
ITM2C,ITM2C
MRPS33,MRPS33
TRIM65,TRIM65
RAB1B,RAB1B
GPRASP1,GPRASP1
RNU6-589P,U6
GUCY2F,GUCY2F
SNORD24,SNORD24
SNORD36B,SNORD36
SNORD36C,SNORD36
MRPL38,MRPL38
SURF1,SURF1
