Gene name,White-tufted-ear marmoset gene name
LRRC31,LRRC31
TNFRSF11B,TNFRSF11B
INSM2,INSM2
GART,GART
FAM135A,FAM135A
CUL2,CUL2
U3,U3
PICK1,PICK1
TBC1D19,TBC1D19
HYAL1,HYAL1
SYN2,SYN2
CROCC,CROCC
KCNN2,KCNN2
TMEM64,TMEM64
DMTN,DMTN
COLEC10,COLEC10
Metazoa_SRP,Metazoa_SRP
DRD5,DRD5
BRMS1L,BRMS1L
PNLIPRP2,PNLIPRP2
NFYA,NFYA
CCT8,CCT8
PAIP1,PAIP1
GATA4,GATA4
SLC2A9,SLC2A9
PUS7,PUS7
ADARB2,ADARB2
PIK3IP1,PIK3IP1
EXOC5,EXOC5
DENND6B,DENND6B
LFNG,LFNG
MAL2,MAL2
C1QL3,C1QL3
SPMIP5,SPMIP5
MTA1,MTA1
MAMU-DRA,HLA-DRA
RSU1,RSU1
WDR1,WDR1
TUSC2,TUSC2
POLR2F,POLR2F
CCN3,CCN3
BICRAL,GLTSCR1L
SLC9A9,SLC9A9
PTGFR,PTGFR
PPP2R2D,PPP2R2D
U6,U6
TRIM36,TRIM36
RNF31,RNF31
ATOSA,ATOSA
RASSF1,RASSF1
BLK,BLK
FHIP2B,FHIP2B
HSPA12A,HSPA12A
MBIP,MBIP
U6,U6
CREM,CREM
SOX10,SOX10
DCLK2,DCLK2
GSC,GSC
CRIP2,CRIP2
C10H22orf23,C22orf23
ZMYND10,ZMYND10
SAMD7,SAMD7
NUDT18,NUDT18
GIPC2,GIPC2
ENPP2,ENPP2
U1,U1
FAM167A,FAM167A
CUBN,CUBN
U6,U6
U1,U1
CRIP1,CRIP1
JAKMIP3,JAKMIP3
U6,U6
DNASE1L3,DNASE1L3
U7,U7
TIMP4,TIMP4
AKR1C2,AKR1C1
SEC62,SEC62
IRF9,IRF9
TEDC1,TEDC1
NPRL2,NPRL2
U1,U1
U7,U7
PLXNB2,PLXNB2
Metazoa_SRP,Metazoa_SRP
U1,U1
USP16,USP16
ENO4,ENO4
NKX2-1,NKX2-1
MTMR9,MTMR9
DIPK2A,DIPK2A
TMEM121,TMEM121
ZNF518B,ZNF518B
HR,HR
DNAJB4,DNAJB4
LIMK2,LIMK2
REC8,REC8
PCLO,PCLO
BACE2,BACE2
NKX2-8,NKX2-8
PPARG,PPARG
PGGT1B,PGGT1B
CLXN,CLXN
MIR486-1,MIR486-1
RINT1,RINT1
MAPK11,MAPK11
CLNK,CLNK
Y_RNA,Y_RNA
DPYSL4,DPYSL4
Metazoa_SRP,Metazoa_SRP
STC2,STC2
U4,U4
SAMSN1,SAMSN1
TCF19,TCF19
PAX9,PAX9
STIM2,STIM2
KAT6A,KAT6A
MAPK12,MAPK12
DNAJC28,C21ORF55
NOTCH4,NOTCH4
SHTN1,SHTN1
DICER1,DICER1
TRDMT1,TRDMT1
CCHCR1,CCHCR1
PI4KA,PI4KA
CYB561D2,CYB561D2
SLC25A21,SLC25A21
NECAB1,NECAB1
FUBP1,FUBP1
TMEM50B,TMEM50B
U6,U6
AP5M1,AP5M1
KLHL38,KLHL38
UCN3,UCN3
Metazoa_SRP,Metazoa_SRP
TMEM115,TMEM115
OARD1,OARD1
IPO4,IPO4
SLC25A17,SLC25A17
PDAP1,PDAP1
C8H8orf88,C8orf88
PXK,PXK
CPEB2,CPEB2
TUBAL3,TUBAL3
CCDC112,CCDC112
ANXA13,ANXA13
NNT,NNT
HSPA13,HSPA13
APOBEC2,APOBEC2
NECAP2,NECAP2
IFNGR2,IFNGR2
Y_RNA,Y_RNA
NET1,NET1
PIP4P2,PIP4P2
TSPO2,TSPO2
AP3M2,AP3M2
HDAC10,HDAC10
CACNA2D2,CACNA2D2
U2,U2
U6,U6
EFCAB10,EFCAB10
C2H3orf33,C3orf33
NAA30,NAA30
FGF10,FGF10
GALNTL6,GALNTL6
FAM91A1,FAM91A1
BUD31,BUD31
HS3ST1,HS3ST1
PSORS1C2,PSORS1C2
UNC5CL,UNC5CL
MCHR1,MCHR1
MIPOL1,MIPOL1
TAF2,TAF2
CALML5,CALML5
IFNAR1,IFNAR1
DCAF5,DCAF5
CDSN,CDSN
Metazoa_SRP,Metazoa_SRP
SLC33A1,SLC33A1
CCDC198,CCDC198
FEM1C,FEM1C
STK32C,STK32C
OTUD6B,OTUD6B
C4H6orf15,C6orf15
PTCHD3,PTCHD3
CALML3,CALML3
ATXN7L1,ATXN7L1
MRPS30,MRPS30
IGHM,IGHM
TSEN2,TSEN2
LRBA,LRBA
PBX2,PBX2
HTRA3,HTRA3
U6,U6
VIM,VIM
TICAM2,TMED7
NEXN,NEXN
SLC35F4,SLC35F4
RWDD2B,RWDD2B
COL9A1,COL9A1
5S_rRNA,5S_rRNA
MRTFA,MRTFA
U6,U6
PTCD1,PTCD1
Metazoa_SRP,Metazoa_SRP
C1QTNF7,C1QTNF7
Metazoa_SRP,Metazoa_SRP
MAP3K8,MAP3K8
MUCL3,MUCL3
FOXA1,FOXA1
MKRN2OS,MKRN2OS
EFNA5,EFNA5
ST8SIA6,ST8SIA6
RAB18,RAB18
U2,U2
SFTA2,SFTA2
TTC6,TTC6
Metazoa_SRP,Metazoa_SRP
U6,U6
SH3TC1,SH3TC1
PLAT,PLAT
CDO1,CDO1
REEP4,REEP4
LRFN2,LRFN2
ASB13,ASB13
GMPS,GMPS
ARMH4,ARMH4
HACD1,PTPLA
HCN1,HCN1
VARS2,VARS2
CC2D2A,CC2D2A
U6,U6
LTN1,LTN1
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
RAB28,RAB28
VAX1,VAX1
MORF4L1,MORF4L1
PITRM1,PITRM1
LRRC27,PWWP2B
SPATA21,SPATA21
Y_RNA,Y_RNA
KCNK18,KCNK18
MOCS1,MOCS1
Metazoa_SRP,Metazoa_SRP
IFNAR2,IFNAR2
CDHR3,CDHR3
MICALL1,MICALL1
U1,U1
ATG12,ATG12
SLC18A2,SLC18A2
ERCC6,ERCC6
HEMK1,HEMK1
CPSF4,CPSF4
LGI3,LGI3
SLC26A7,SLC26A7
EXD2,EXD2
STAM,STAM
DLC1,DLC1
CACNA2D1,CACNA2D1
IKBKB,IKBKB
ACTR10,ACTR10
SYPL1,SYPL1
NEO1,NEO1
AP3S1,AP3S1
SGSM3,SGSM3
SERPIND1,SERPIND1
mml-mir-887,cja-mir-887
NKX3-2,NKX3-2
EMB,EMB
CTSH,CTSH
ZNF789,ZNF789
RAF1,RAF1
AGER,AGER
CISH,CISH
DSCC1,DSCC1
SEC23A,SEC23A
SFTPC,SFTPC
SZRD1,SZRD1
PDZD8,PDZD8
TASOR2,TASOR2
EIF3L,EIF3L
ZNF438,ZNF438
BOD1L1,BOD1L1
ZNF394,ZNF394
ABLIM2,ABLIM2
ONECUT1,ONECUT1
FBXL5,FBXL5
RNaseP_nuc,RNaseP_nuc
NAMPT,NAMPT
DAAM2,DAAM2
MKX,MKX
LVRN,LVRN
TTYH3,TTYH3
POLB,POLB
INPP5A,INPP5A
TM9SF1,TM9SF1
DEPTOR,DEPTOR
BMP1,BMP1
ZKSCAN5,ZKSCAN5
GALNT16,GALNT16
MAPKAPK3,MAPKAPK3
WASF2,WASF2
TRAPPC9,TRAPPC9
FBXO42,FBXO42
N6AMT1,N6AMT1
ODAD2,ODAD2
EMX2,EMX2
OLIG2,OLIG2
CCNY,CCNY
GTF2H4,GTF2H4
Metazoa_SRP,Metazoa_SRP
ARL14EPL,ARL14EPL
PARP2,PARP2
SNORA70,SNORA70
ERH,ERH
Metazoa_SRP,Metazoa_SRP
GPR3,GPR3
PARP8,PARP8
COL14A1,COL14A1
KCTD6,KCTD6
GEMIN2,GEMIN2
DKK4,DKK4
Y_RNA,Y_RNA
USP33,USP33
WDR72,WDR72
ADSL,ADSL
RASGRF1,RASGRF1
COMMD10,COMMD10
MBOAT1,MBOAT1
ZNF655,ZNF655
CD38,CD38
FCN3,FCN3
ACOX2,ACOX2
TRAPPC6B,TRAPPC6B
U3,U3
RBM11,RBM11
SLC39A9,SLC39A9
RUNX1T1,RUNX1T1
VDAC3,VDAC3
TMEM236,TMEM236
PLA2G3,PLA2G3
RAB11FIP2,RAB11FIP2
ADAMTS5,ADAMTS5
ARID4A,ARID4A
PLEKHN1,PLEKHN1
COL19A1,COL19A1
LIPI,LIPI
MPP7,MPP7
TMEM225B,TMEM225B
TINF2,TINF2
KCNAB1,KCNAB1
AIFM3,AIFM3
C1H1orf53,C1orf53
U7,U7
INPP5J,INPP5J
FGFBP1,FGFBP1
ANKRD54,ANKRD54
PNN,PNN
LHX9,LHX9
ADAMTS1,ADAMTS1
SEMA6A,SEMA6A
ZSCAN25,ZSCAN25
PLEKHD1,PLEKHD1
FGFBP2,FGFBP2
HGF,HGF
MDFIC,MDFIC
SELENOM,SELENOM
U6,U6
TMEM40,TMEM40
KLHL17,KLHL17
ID4,ID4
Y_RNA,Y_RNA
CADM2,CADM2
Metazoa_SRP,Metazoa_SRP
NEK7,NEK7
GALR3,GALR3
NKX6-2,NKX6-2
ISL1,ISL1
MRC1,MRC1
TNRC6B,TNRC6B
SNORA25B,SNORA25B
Metazoa_SRP,Metazoa_SRP
MTBP,MTBP
PROM1,PROM1
GCAT,GCAT
Y_RNA,Y_RNA
CCDC177,CCDC177
TUBGCP6,TUBGCP6
SLC20A2,SLC20A2
NOC2L,NOC2L
ZNF184,ZNF184
SUSD6,KIAA0247
MAP3K6,MAP3K6
CYYR1,CYYR1
CAND2,CAND2
SMTN,SMTN
TFEC,TFEC
FAM107A,FAM107A
H1-0,H1F0
GJD4,GJD4
ZZZ3,ZZZ3
U6,U6
FZD8,FZD8
SMIM19,C8orf40
FAM204A,FAM204A
SRSF5,SRSF5
TSSK4,TSSK4
ADGRA1,ADGRA1
CBLN4,CBLN4
TRIOBP,TRIOBP
CPLANE2,CPLANE2
ZNF391,ZNF391
SAMD11,SAMD11
Metazoa_SRP,Metazoa_SRP
SLC10A1,SLC10A1
RNF144B,RNF144B
SNTB1,SNTB1
CHRNB3,CHRNB3
Metazoa_SRP,Metazoa_SRP
IER3,IER3
LMBRD1,LMBRD1
FAM20C,FAM20C
JDP2,JDP2
MC3R,MC3R
CLMN,CLMN
FAM3D,FAM3D
SELENOO,SELENOO
TES,TES
PHYHIP,PHYHIP
CHRNA6,CHRNA6
Metazoa_SRP,Metazoa_SRP
PTPRC,PTPRC
NOL12,NOL12
PRSS16,PRSS16
ARHGEF19,ARHGEF19
FAM210B,FAM210B
SAXO2,SAXO2
IQCE,IQCE
CIBAR1,CIBAR1
mml-mir-320a,MIR320A
FLOT1,FLOT1
BATF,BATF
SGO1,SGO1
AK5,AK5
AURKA,AURKA
APP,APP
SEMA3C,SEMA3C
GDI2,GDI2
Metazoa_SRP,Metazoa_SRP
TIPARP,TIPARP
KLF6,KLF6
PRLHR,PRLHR
POLR3D,POLR3D
CAV2,CAV2
HAS2,HAS2
GMPR2,GMPR
U6,U6
ARHGAP24,ARHGAP24
SH3BP1,SH3BP1
KIF6,KIF6
Metazoa_SRP,Metazoa_SRP
THAP1,THAP1
FOXL3,FOXL3
ADAMTSL3,ADAMTSL3
DEK,DEK
SMOC1,SMOC1
CAV1,CAV1
mml-mir-95,cja-mir-95
KAT2B,KAT2B
RNF170,RNF170
FLVCR2,FLVCR2
BLTP1,BLTP1
LMLN,LMLN
CFAP20DC,CFAP20DC
CGNL1,CGNL1
CACUL1,CACUL1
ZHX2,ZHX2
TAPT1,TAPT1
FER1L6,FER1L6
TRABD,TRABD
ADGRB3,BAI3
LEKR1,LEKR1
H2BC11,HIST1H2BJ
PDGFA,PDGFA
DRGX,DRGX
KIAA0586,KIAA0586
Y_RNA,Y_RNA
EPHA2,EPHA2
AFAP1,AFAP1
DERL1,DERL1
MET,MET
C9H10orf71,C10orf71
FAM83F,FAM83F
C5orf58,C5orf58
CASS4,CASS4
ZNF322,ZNF322
TMEM273,TMEM273
PIWIL2,PIWIL2
PANX2,PANX2
Metazoa_SRP,Metazoa_SRP
RBM12B,RBM12B
KLHL33,KLHL33
ERG28,C14orf1
CD36,CD36
Metazoa_SRP,Metazoa_SRP
MAPK10,MAPK10
KDM1B,KDM1B
GOLM2,GOLM2
SYTL1,SYTL1
HOOK3,HOOK3
MOV10L1,MOV10L1
GGA1,GGA1
ABT1,ABT1
VSTM4,VSTM4
RTF2,RTF2
SYNE3,SYNE3
GRAP2,GRAP2
mml-mir-184,cja-mir-184
ANKRD16,ANKRD16
MORC2,MORC2
TMEM67,TMEM67
U3,U3
CTDSPL2,CTDSPL2
TUBGCP2,TUBGCP2
OSGEP,OSGEP
ANKRD34C,ANKRD34C
PRKAR1B,PRKAR1B
CCNL1,CCNL1
SNORD50B,SNORD50B
TMED3,TMED3
IQCG,IQCG
HMGN4,HMGN4
DEFB116,DEFB116
SORCS2,SORCS2
ZEB1,ZEB1
IQSEC1,IQSEC1
mml-mir-181b-1,MIR181B1
SGCZ,SGCZ
TPMT,TPMT
mml-mir-181a-1,MIR181A1
TMEM65,TMEM65
TGM1,TGM1
WAC,WAC
BTN1A1,BTN1A1
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
ZNF511,ZNF511
ENTHD1,ENTHD1
MLC1,MLC1
PP2D1,PP2D1
U7,U7
MIR383,MIR383
Metazoa_SRP,Metazoa_SRP
AGO2,AGO2
EIF3J,EIF3J
Metazoa_SRP,Metazoa_SRP
FHIT,FHIT
U7,U7
KCNK16,KCNK16
CACNA1I,CACNA1I
TMEM222,TMEM222
NANOS1,NANOS1
PDP1,PDP1
TRMT12,TRMT12
LGALS2,LGALS2
MTHFS,MTHFS
Metazoa_SRP,Metazoa_SRP
SLC8A3,SLC8A3
APEX1,APEX1
TTLL5,TTLL5
U6,U6
PIGK,PIGK
EIF3A,EIF3A
CALY,CALY
LZTR1,LZTR1
RNF139,RNF139
NHLRC1,NHLRC1
GCNT7,GCNT7
GALNT7,GALNT7
SNORA19,SNORA19
U6,U6
KCNK17,KCNK17
U6,U6
PIP4P1,PIP4P1
TUSC3,TUSC3
RABGGTA,RABGGTA
CDH17,CDH17
U6,U6
CDC42EP1,CDC42EP1
BCL2A1,BCL2A1
GABPA,GABPA
ZNF37A,ZNF37A
EYS,EYS
Metazoa_SRP,Metazoa_SRP
DOCK3,DOCK3
HCN4,HCN4
TATDN1,TATDN1
DENND10,DENND10
SPG11,SPG11
GEM,GEM
SLC39A12,SLC39A12
PSAPL1,PSAPL1
LRCH3,LRCH3
LDB2,LDB2
CARD10,CARD10
MDC1,MDC1
RPS19BP1,RPS19BP1
VEPH1,VEPH1
U6,U6
FBH1,FBH1
TFAP2C,TFAP2C
ATF4,ATF4
RAD54B,RAD54B
GRPEL1,GRPEL1
REC114,REC114
BRAT1,BRAT1
ZFAND6,ZFAND6
FUOM,FUOM
U3,U3
IL17REL,IL17REL
WDTC1,WDTC1
ZNF281,ZNF281
THAP7,THAP7
Metazoa_SRP,Metazoa_SRP
TADA2B,TADA2B
CAPZA2,CAPZA2
U6,U6
COX16,SYNJ2BP
ARHGAP12,ARHGAP12
MIEF1,MIEF1
Metazoa_SRP,Metazoa_SRP
CFAP184,CCDC96
ST6GALNAC5,ST6GALNAC5
AMZ1,AMZ1
U6,U6
ECHS1,ECHS1
DACT1,DACT1
SNAI2,SNAI2
PTX3,PTX3
KIF14,KIF14
MSR1,MSR1
SFXN4,SFXN4
AGPAT1,AGPAT1
Metazoa_SRP,Metazoa_SRP
DEFB118,DEFB118
BAMBI,BAMBI
P2RX6,P2RX6
MFNG,MFNG
FAH,FAH
NDUFB9,NDUFB9
FAM131C,FAM131C
MGAT3,MGAT3
PTPRG,PTPRG
EFHB,EFHB
TBC1D14,TBC1D14
U6,U6
BNC1,BNC1
U6,U6
VIRMA,VIRMA
PIM3,PIM3
GNA12,GNA12
U2,U2
ELFN2,ELFN2
SLC39A14,SLC39A14
TAB1,TAB1
SLC7A4,SLC7A4
SHOX2,SHOX2
SLC9A1,SLC9A1
DHRS1,DHRS1
ST6GALNAC3,ST6GALNAC3
FGF20,FGF20
HDGFL3,HDGFL3
NPTN,NPTN
SUN1,SUN1
Metazoa_SRP,Metazoa_SRP
MTSS1,MTSS1
CYTH4,CYTH4
DDX59,DDX59
MICU3,MICU3
NRM,NRM
KIF13A,KIF13A
PHF3,PHF3
PAOX,PAOX
PRDX3,PRDX3
RIPK1,RIPK1
PPP3CC,PPP3CC
RSRC1,RSRC1
Y_RNA,Y_RNA
ASB17,ASB17
U1,U1
NOP9,NOP9
ADAM20,ADAM20
TENT5B,FAM46B
RNASE4,ANG
CRELD2,CRELD2
KCNH8,KCNH8
TM6SF1,TM6SF1
DAAM1,DAAM1
GNAT3,GNAT3
TRNP1,TRNP1
MAB21L2,MAB21L2
KCNK10,KCNK10
PPP1R18,PPP1R18
CIDEB,CIDEB
MED6,MED6
CARD11,CARD11
FYTTD1,FYTTD1
ZNF248,ZNF248
MSH4,MSH4
NQO2,NQO2
SLC25A28,SLC25A28
Metazoa_SRP,Metazoa_SRP
GRK5,GRK5
NUDC,NUDC
CAMSAP2,CAMSAP2
SNORA75,SNORA75
BMP7,BMP7
RNASE1,RNASE1
LTB4R2,LTB4R2
SORBS3,SORBS3
DHX16,DHX16
GNAI1,GNAI1
Metazoa_SRP,Metazoa_SRP
LTB4R,LTB4R
PTPN13,PTPN13
HGSNAT,HGSNAT
TTC9,TTC9
SYNGR1,SYNGR1
ZDHHC2,ZDHHC2
KDF1,KDF1
MED15,MED15
MLF1,MLF1
CEP15,CEP15
RAC2,RAC2
RUBCN,RUBCN
ADCY4,ADCY4
JAM2,JAM2
QDPR,QDPR
U7,U7
VOPP1,VOPP1
U2,U2
OSBP2,OSBP2
U7,U7
SNORD73,SNORD73
PRRT1,PRRT1
ALG12,ALG12
SVIL,SVIL
SNORD73,SNORD73
ARNT2,ARNT2
NR0B2,NR0B2
LANCL2,LANCL2
ESRP1,ESRP1
CLRN2,CLRN2
SPATA7,SPATA7
SPO11,SPO11
GPATCH3,GPATCH3
HMGB2,HMGB2
LCP2,LCP2
SSTR3,SSTR3
ALDH1A2,ALDH1A2
FEZF2,FEZF2
FKBPL,FKBPL
PTK2,PTK2
GPN2,GPN2
ST7,ST7
Y_RNA,Y_RNA
LAP3,LAP3
Metazoa_SRP,Metazoa_SRP
SOS2,SOS2
C1QTNF6,C1QTNF6
Metazoa_SRP,Metazoa_SRP
MAP3K9,MAP3K9
Metazoa_SRP,Metazoa_SRP
DPY19L4,DPY19L4
BTBD1,BTBD1
SFN,SFN
PATL2,PATL2
KIAA0232,KIAA0232
U3,U3
AP4S1,AP4S1
METTL17,METTL17
SCARF2,SCARF2
SLC10A6,SLC10A6
FAM83A,FAM83A
TRIM4,TRIM4
CNOT7,CNOT7
IL2RB,IL2RB
ZDHHC18,ZDHHC18
ATF6B,ATF6B
C8H8orf76,C8orf76
MAGI2,MAGI2
ZBED4,ZBED4
AQP9,AQP9
ZCCHC24,ZCCHC24
U6,U6
C5H4orf36,C4orf36
RGS10,RGS10
SNAP25,SNAP25
PDLIM2,PDLIM2
Y_RNA,Y_RNA
GFM1,GFM1
SH3D19,SH3D19
SLC39A2,SLC39A2
SRARP,SRARP
ATAT1,C6orf136
GJC3,GJC3
VPS37A,VPS37A
SNORD43,SNORD43
B2M,B2M
BRD1,BRD1
PTPN21,PTPN21
EGFR,EGFR
PPIF,PPIF
FAM184B,FAM184B
LIPC,LIPC
NUP210,NUP210
SERPINB9,SERPINB9
Metazoa_SRP,Metazoa_SRP
U6,U6
DUSP18,DUSP18
AZGP1,AZGP1
DAD1,DAD1
SATB1,SATB1
Metazoa_SRP,Metazoa_SRP
PIGV,PIGV
AFF1,AFF1
Metazoa_SRP,Metazoa_SRP
HOMER2,HOMER2
SNORD45B,SNORD45B
TRIM69,TRIM69
SNORD45A,SNORD45A
PDGFB,PDGFB
MRPL39,MRPL39
SNORD45C,SNORD45C
GPR25,GPR25
ZBTB17,ZBTB17
SLC35E4,SLC35E4
TMPRSS6,TMPRSS6
U6,U6
INAVA,INAVA
SDK1,SDK1
ZNF572,ZNF572
ACADM,ACADM
ATAD2,ATAD2
ZKSCAN1,ZKSCAN1
NFATC4,NFATC4
CBX7,CBX7
NDRG2,NDRG2
Y_RNA,Y_RNA
PAXIP1,PAXIP1
DCAF16,DCAF16
SQLE,SQLE
RBM38,RBM38
KIF5B,KIF5B
FBXO33,FBXO33
ADAM10,ADAM10
INTS8,INTS8
TCN2,TCN2
PTP4A1,PTP4A1
CD276,CD276
ZNF74,ZNF74
ZMIZ1,ZMIZ1
NSUN6,NSUN6
NCAPG,NCAPG
ACR,ACR
SORD,SORD
NYNRIN,NYNRIN
SERPINB1,SERPINB1
ARID1A,ARID1A
HECTD1,HECTD1
CTCFL,CTCFL
IL15RA,IL15RA
U6,U6
TP53INP1,TP53INP1
U6,U6
APOBEC3H,APOBEC3H
U4,U4
CCAR2,CCAR2
NDUFAF6,NDUFAF6
TIAL1,TIAL1
U6,U6
WASHC5,WASHC5
SHANK3,SHANK3
ZNF3,ZNF3
Metazoa_SRP,Metazoa_SRP
KCTD17,KCTD17
SLC7A7,SLC7A7
H1-3,H1-3
C2CD4B,C2CD4B
TPPP2,TPPP2
U6,U6
ARL5B,ARL5B
COPS6,COPS6
LRFN5,LRFN5
PCNX1,PCNX1
KIF21B,KIF21B
DEFB121,DEFB121
WNT2,WNT2
TGFB3,TGFB3
SLC44A5,SLC44A5
MRPL52,MRPL52
SAP30,SAP30
KLHL8,KLHL8
RTN4R,RTN4R
PCK1,PCK1
CCNE2,CCNE2
CBLN3,CBLN3
MINDY2,MINDY2
KCNMB1,KCNMB1
DUOX2,DUOX2
INSYN1,INSYN1
ASZ1,ASZ1
SPEN,SPEN
CEMIP,CEMIP
BLOC1S4,BLOC1S4
ARHGEF40,ARHGEF40
MCM7,MCM7
PES1,PES1
MALRD1,MALRD1
U6,U6
EGR3,EGR3
FOXK1,FOXK1
Y_RNA,Y_RNA
ZBP1,ZBP1
MRFAP1L1,MRFAP1L1
MMP14,MMP14
MPST,MPST
Metazoa_SRP,Metazoa_SRP
PEBP4,PEBP4
IFT43,IFT43
ZC3H14,ZC3H14
TNK2,TNK2
S100P,S100P
TBC1D21,TBC1D21
WRNIP1,WRNIP1
NTAQ1,NTAQ1
PMEPA1,PMEPA1
ARSA,ARSA
MRFAP1L2,MRFAP1L2
ZDHHC8,ZDHHC8
AP5Z1,AP5Z1
H2BC5,H2BC5
Metazoa_SRP,Metazoa_SRP
KHNYN,KHNYN
MYLK4,MYLK4
U6,U6
H1-4,H1-4
DUOXA2,DUOXA2
SPIDR,SPIDR
LCORL,LCORL
mml-mir-155,cja-mir-155
TST,TST
WHAMM,WHAMM
H2AC6,H2AC6
IL2RA,IL2RA
RET,RET
RHOBTB2,RHOBTB2
LXN,LXN
TBC1D5,TBC1D5
SDR39U1,SDR39U1
LOXL1,LOXL1
SLC7A2,SLC7A2
ITIH5,ITIH5
U3,U3
Y_RNA,Y_RNA
CIMIP4,CIMIP4
DUOXA1,DUOXA1
FSD2,FSD2
U6,U6
H2BC4,HIST1H2BF
Y_RNA,Y_RNA
HTR5A,HTR5A
CIMIP1,CIMIP1
HSD17B13,HSD17B13
PLXDC2,PLXDC2
SNORA71,SNORA71
H1-6,H1-6
MAPK8IP2,MAPK8IP2
Metazoa_SRP,Metazoa_SRP
LRP10,LRP10
CMA1,CMA1
BAG3,BAG3
MESD,MESD
RARRES1,RARRES1
ZNF219,ZNF219
MRPS18B,MRPS18B
L2HGDH,L2HGDH
LHX8,LHX8
HFE,HFE
ANKRD60,ANKRD60
STOML1,STOML1
DUOX1,DUOX1
CFTR,CFTR
FBXO32,FBXO32
HSD17B11,HSD17B11
TLNRD1,MESDC1
MFSD1,MFSD1
NSMCE2,NSMCE2
INSIG1,INSIG1
MAN2B2,MAN2B2
TNXB,TNXB
SEC61G,SEC61G
AP3B2,AP3B2
mml-mir-25,MIR25
CTSG,CTSG
GPATCH2L,GPATCH2L
mml-mir-106b,MIR106B
Metazoa_SRP,Metazoa_SRP
TMEM253,TMEM253
Metazoa_SRP,Metazoa_SRP
ANKEF1,ANKEF1
TYW3,TYW3
H1-2,HIST1H1C
REM2,REM2
CSF2RB,CSF2RB
U7,U7
TNFRSF10B,TNFRSF10B
CFAP161,CFAP161
Metazoa_SRP,Metazoa_SRP
DMAC2L,DMAC2L
PDGFRL,PDGFRL
INPP5F,INPP5F
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
AP4M1,AP4M1
U3,U3
TRIB1,TRIB1
GZMB,GZMB
NUDT9,NUDT9
GMDS,GMDS
DEFB123,DEFB123
FBLIM1,FBLIM1
PML,PML
EN2,EN2
PPP1R10,PPP1R10
GADL1,GADL1
CDKL1,CDKL1
U6,U6
CEBPD,CEBPD
VSTM2A,VSTM2A
SLTM,SLTM
POLR3A,POLR3A
RANBP1,RANBP1
TNFRSF10A,TNFRSF10A
ZFHX4,ZFHX4
PAK5,PAK5
RTF1,RTF1
RADIL,RADIL
RBM23,RBM23
mml-mir-124a-1,MIR124-2
CHKB,CHKB
NCF4,NCF4
SCRG1,SCRG1
RBM17,RBM17
STXBP6,STXBP6
EPC1,EPC1
Metazoa_SRP,Metazoa_SRP
IL16,IL16
CNPY1,CNPY1
TFRC,TFRC
RPS6KA1,RPS6KA1
TMEM82,TMEM82
U6,U6
SCHIP1,SCHIP1
PEX2,PEX2
ESRRB,ESRRB
SHF,SHF
CHMP7,CHMP7
CRYZ,ERICH3
TAF6,TAF6
NEBL,NEBL
U7,U7
PRKDC,PRKDC
CSGALNACT2,CSGALNACT2
RPS17,CPEB1
MTUS1,MTUS1
ITPKA,ITPKA
SPARCL1,SPARCL1
PPDPFL,PPDPFL
TGFBR2,TGFBR2
U2,U2
LAMP5,LAMP5
LRATD2,LRATD2
AUTS2,AUTS2
SLC28A2,SLC28A2
GET4,GET4
TRMT2A,TRMT2A
CPT1B,CPT1B
MMD2,MMD2
SEC14L4,SEC14L4
U4,U4
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
ABCF1,ABCF1
CACNA1S,CACNA1S
RPGRIP1,RPGRIP1
R3HCC1,R3HCC1
CNTN2,CNTN2
FOXF2,FOXF2
Metazoa_SRP,Metazoa_SRP
ITIH2,ITIH2
PCGF5,PCGF5
CNPY4,CNPY4
FOXQ1,FOXQ1
PVALB,PVALB
LTK,LTK
NOVA1,NOVA1
HDAC11,HDAC11
RBM33,RBM33
PLEKHF2,PLEKHF2
VASH1,VASH1
U6,U6
SEC14L3,SEC14L3
U6,U6
Metazoa_SRP,Metazoa_SRP
CFAP418,CFAP418
HECTD2,HECTD2
Metazoa_SRP,Metazoa_SRP
RASGEF1A,RASGEF1A
GATM,GATM
Metazoa_SRP,Metazoa_SRP
DMP1,DMP1
PPARGC1B,PPARGC1B
IFT27,IFT27
U3,U3
RBAK,RBAK
PLCL2,PLCL2
MBLAC1,MBLAC1
RPAP1,RPAP1
ADAP1,ADAP1
PFKFB3,PFKFB3
AFG2B,AFG2B
SUPT16H,SUPT16H
DGCR8,DGCR8
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
PRSS48,PRSS48
U6,U6
LAMTOR4,LAMTOR4
PPP1R3C,PPP1R3C
PPP2R2C,PPP2R2C
IBSP,IBSP
LOXL2,LOXL2
KCNIP1,KCNIP1
MIR378A,MIR378A
PLCB4,PLCB4
NKX3-1,NKX3-1
ZDHHC19,ZDHHC19
SYCE3,SYCE3
CACNG2,CACNG2
GDF6,GDF6
EXOC2,EXOC2
U7,U7
COBL,COBL
DAZL,DAZL
MEPE,MEPE
MIR151A,MIR151A
PDE6A,PDE6A
