Gene name,Human gene name
IFI27,IFI27
MCC,MCC
Metazoa_SRP,Metazoa_SRP
HMGCS1,HMGCS1
DEFB134,DEFB134
RIPK2,RIPK2
DEFB135,DEFB135
SEMA3B,SEMA3B
IFI27L2,IFI27L2
MECOM,MECOM
DEFB136,DEFB136
U6,RNU6-925P
GRM3,GRM3
Y_RNA,Y_RNA
CRYZL1,CRYZL1
PPP2R5D,PPP2R5D
OSGIN2,OSGIN2
TTC5,TTC5
PPP4R4,PPP4R4
ANK1,ANK1
PACS2,PACS2
NFASC,NFASC
CPZ,CPZ
CCNB1IP1,CCNB1IP1
NCR2,NCR2
PLS1,PLS1
RBPJ,RBPJ
SNORA79B,SNORA79B
SEMA3D,SEMA3D
U6,RNU6-643P
SNORD126,SNORD126
PELI2,PELI2
SRPK2,SRPK2
CCL28,CCL28
TREM1,TREM1
GPR78,GPR78
TRPC1,TRPC1
Y_RNA,Y_RNA
PEX6,PEX6
mml-mir-599,MIR599
MITF,MITF
TMEM267,TMEM267
Metazoa_SRP,RN7SL350P
SON,SON
LSMEM2,LSMEM2
ACTRT3,ACTRT3
SERPINA10,SERPINA10
MAMU-DRB1,HLA-DRB5
TMEM260,TMEM260
MED30,MED30
U7,RNU7-47P
MX2,MX2
GTPBP4,GTPBP4
SERPINA6,SERPINA6
TREML2,TREML2
NBN,NBN
C6H5orf34,C5orf34
PCOLCE2,PCOLCE2
EXT1,EXT1
SERPINA2,SERPINA2
TRMT44,TRMT44
MYNN,MYNN
SEMA3A,SEMA3A
ACTN1,ACTN1
TREM2,TREM2
CTSB,CTSB
PAQR9,PAQR9
YTHDC2,YTHDC2
MIR6501,MIR6501
SERPINA1,SERPINA1
PLCH1,PLCH1
BACH1,BACH1
CCKAR,CCKAR
U3,U3
AKR1E2,AKR1E2
SERPINA11,SERPINA11
IDI1,IDI1
DECR1,DECR1
TREML1,TREML1
Metazoa_SRP,RN7SL868P
LRRC34,LRRC34
Metazoa_SRP,RN7SL418P
OTX2,OTX2
FDFT1,FDFT1
U2SURP,U2SURP
SERPINA9,SERPINA9
U3,U3
SAMD12,SAMD12
BAIAP2L2,BAIAP2L2
ACOX3,ACOX3
MFAP2,MFAP2
U6,RNU6-847P
Metazoa_SRP,RN7SL461P
SERPINA12,SERPINA12
MAP3K7CL,MAP3K7CL
U6,RNU6-193P
U6,RNU6-1204P
GNMT,GNMT
Y_RNA,Y_RNA
SLC16A8,SLC16A8
LRRIQ4,LRRIQ4
TEP1,TEP1
WDR37,WDR37
SERPINA4,SERPINA4
CALB1,CALB1
PNLIPRP1,PNLIPRP1
ADGRL4,ADGRL4
NKX2-3,NKX2-3
NEIL2,NEIL2
HYAL3,HYAL3
TMEM128,TMEM128
SEMA3E,SEMA3E
PTER,PTER
NAA80,NAA80
DEFB127,DEFB127
ARPP19,ARPP19
CNPY3,CNPY3
OTOP1,OTOP1
LRRC31,LRRC31
TNFRSF11B,TNFRSF11B
INSM2,INSM2
GART,GART
FAM135A,FAM135A
CUL2,CUL2
PICK1,PICK1
TBC1D19,TBC1D19
HYAL1,HYAL1
SYN2,SYN2
CROCC,CROCC
KCNN2,KCNN2
TMEM64,TMEM64
TEX22,TEX22
AKR1C1,AKR1C3
PTCRA,PTCRA
DMTN,DMTN
COLEC10,COLEC10
IFI44,IFI44
Metazoa_SRP,RN7SL643P
SERPINA5,SERPINA5
DRD5,DRD5
BRMS1L,BRMS1L
PNLIPRP2,PNLIPRP2
NFYA,NFYA
CCT8,CCT8
PAIP1,PAIP1
GATA4,GATA4
SLC2A9,SLC2A9
PUS7,PUS7
ADARB2,ADARB2
PIK3IP1,PIK3IP1
HYAL2,HYAL2
EXOC5,EXOC5
CHST2,CHST2
DENND6B,DENND6B
LFNG,LFNG
MAL2,MAL2
C1QL3,C1QL3
RPL7L1,RPL7L1
HIC2,HIC2
IFI44L,IFI44L
SPMIP5,SPMIP5
MTA1,MTA1
MAMU-DRA,HLA-DRA
RSU1,RSU1
WDR1,WDR1
TUSC2,TUSC2
POLR2F,POLR2F
CCN3,CCN3
BICRAL,BICRAL
SERPINA3,SERPINA3
SLC9A9,SLC9A9
TMEM191C,TMEM191C
PTGFR,PTGFR
PPP2R2D,PPP2R2D
U6,RNU6-889P
TRIM36,TRIM36
RNF31,RNF31
ATOSA,ATOSA
RASSF1,RASSF1
BLK,BLK
FHIP2B,FHIP2B
HSPA12A,HSPA12A
MBIP,MBIP
U6,RNU6-576P
CREM,CREM
SOX10,SOX10
DCLK2,DCLK2
TBCC,TBCC
GSC,GSC
CRIP2,CRIP2
ARPC1A,ARPC1A
C10H22orf23,C22orf23
ZMYND10,ZMYND10
SAMD7,SAMD7
NUDT18,NUDT18
GIPC2,GIPC2
ENPP2,ENPP2
FAM167A,FAM167A
CUBN,CUBN
U7,RNU7-77P
U6,RNU6-1167P
CRIP1,CRIP1
JAKMIP3,JAKMIP3
U6,RNU6-1084P
DNASE1L3,DNASE1L3
U7,RNU7-93P
TIMP4,TIMP4
AKR1C2,AKR1C1
SEC62,SEC62
IRF9,IRF9
TEDC1,TEDC1
TSBP1,TSBP1
PERM1,PERM1
NPRL2,NPRL2
U7,RNU7-194P
PLXNB2,PLXNB2
U1,RNVU1-2A
USP16,USP16
ENO4,ENO4
NKX2-1,NKX2-1
ABHD6,ABHD6
MTMR9,MTMR9
DIPK2A,DIPK2A
TMEM121,TMEM121
ZNF518B,ZNF518B
HR,HR
DNAJB4,DNAJB4
U6,RNU6-603P
LIMK2,LIMK2
REC8,REC8
PCLO,PCLO
BACE2,BACE2
NKX2-8,NKX2-8
PPARG,PPARG
PGGT1B,PGGT1B
CLXN,CLXN
MIR486-1,MIR486-1
IGHE,IGHE
RINT1,RINT1
MAPK11,MAPK11
CLNK,CLNK
Y_RNA,Y_RNA
RPP14,HTD2
DPYSL4,DPYSL4
Metazoa_SRP,RN7SL149P
STC2,STC2
SAMSN1,SAMSN1
TCF19,TCF19
U8,U8
U6,RNU6-500P
PAX9,PAX9
STIM2,STIM2
KAT6A,KAT6A
AKR1C8,AKR1C8
MAPK12,MAPK12
DNAJC28,DNAJC28
NOTCH4,NOTCH4
SHTN1,SHTN1
DICER1,DICER1
TRDMT1,TRDMT1
CCHCR1,CCHCR1
PI4KA,PI4KA
CYB561D2,CYB561D2
SLC25A21,SLC25A21
NECAB1,NECAB1
FUBP1,FUBP1
TMEM50B,TMEM50B
U6,RNU6-551P
AP5M1,AP5M1
KLHL38,KLHL38
UCN3,UCN3
TMEM115,TMEM115
OARD1,OARD1
IPO4,IPO4
Metazoa_SRP,Metazoa_SRP
SLC25A17,SLC25A17
PDAP1,PDAP1
C8H8orf88,C8orf88
PXK,PXK
CPEB2,CPEB2
TUBAL3,TUBAL3
CCDC112,CCDC112
ANXA13,ANXA13
NNT,NNT
HSPA13,HSPA13
APOBEC2,APOBEC2
NECAP2,NECAP2
IFNGR2,IFNGR2
Y_RNA,Y_RNA
U6,RNU6-273P
NET1,NET1
PIP4P2,PIP4P2
TSPO2,TSPO2
AP3M2,AP3M2
HDAC10,HDAC10
CACNA2D2,CACNA2D2
U6,RNU6-381P
EFCAB10,EFCAB10
C2H3orf33,C3orf33
NAA30,NAA30
FGF10,FGF10
GPSM3,GPSM3
GALNTL6,GALNTL6
FAM91A1,FAM91A1
BUD31,BUD31
HS3ST1,HS3ST1
PSORS1C2,PSORS1C2
UNC5CL,UNC5CL
MCHR1,MCHR1
MIPOL1,MIPOL1
TAF2,TAF2
CALML5,CALML5
IFNAR1,IFNAR1
DCAF5,DCAF5
CDSN,CDSN
Metazoa_SRP,RN7SL383P
SLC33A1,SLC33A1
CCDC198,CCDC198
FEM1C,FEM1C
STK32C,STK32C
OTUD6B,OTUD6B
C4H6orf15,C6orf15
PTCHD3,PTCHD3
CALML3,CALML3
ATXN7L1,ATXN7L1
MRPS30,MRPS30
IGHM,IGHM
TSEN2,TSEN2
LRBA,LRBA
PBX2,PBX2
HTRA3,HTRA3
U6,RNU6-1133P
Metazoa_SRP,RN7SL101P
VIM,VIM
TICAM2,TMED7
NEXN,NEXN
SLC35F4,SLC35F4
TMEM254,TMEM254
RWDD2B,RWDD2B
COL9A1,COL9A1
MRTFA,MRTFA
U6,RNU6-578P
U6,RNU6-377P
U6,RNU6-886P
PTCD1,PTCD1
Metazoa_SRP,RN7SL445P
C1QTNF7,C1QTNF7
MAP3K8,MAP3K8
MUCL3,MUCL3
FOXA1,FOXA1
MKRN2OS,MKRN2OS
EFNA5,EFNA5
ST8SIA6,ST8SIA6
RAB18,RAB18
RPS2,RPS2
U2,RNU2-49P
SFTA2,SFTA2
TTC6,TTC6
Metazoa_SRP,RN7SL89P
U6,U6
MKRN2,MKRN2
SH3TC1,SH3TC1
PLAT,PLAT
CDO1,CDO1
REEP4,REEP4
LRFN2,LRFN2
ASB13,ASB13
GMPS,GMPS
ARMH4,ARMH4
U6,RNU6-250P
HACD1,HACD1
HCN1,HCN1
VARS2,VARS2
CC2D2A,CC2D2A
U6,RNU6-1277P
LTN1,LTN1
Metazoa_SRP,RN7SL782P
Metazoa_SRP,RN7SL63P
RAB28,RAB28
VAX1,VAX1
MORF4L1,MORF4L1
PITRM1,PITRM1
LRRC27,PWWP2B
MIGA1,MIGA1
SPATA21,SPATA21
Y_RNA,Y_RNA
KCNK18,KCNK18
MOCS1,MOCS1
IGHV3-15,IGHV3-15
SSTR1,SSTR1
Metazoa_SRP,RN7SL598P
IFNAR2,IFNAR2
CDHR3,CDHR3
CLEC14A,CLEC14A
MICALL1,MICALL1
ATG12,ATG12
U6,RNU6-415P
SLC18A2,SLC18A2
ERCC6,ERCC6
HEMK1,HEMK1
CPSF4,CPSF4
LGI3,LGI3
Y_RNA,Y_RNA
SLC26A7,SLC26A7
EXD2,EXD2
STAM,STAM
DLC1,DLC1
CACNA2D1,CACNA2D1
IKBKB,IKBKB
ACTR10,ACTR10
SYPL1,SYPL1
NEO1,NEO1
AP3S1,AP3S1
SGSM3,SGSM3
SERPIND1,SERPIND1
mml-mir-887,MIR887
NKX3-2,NKX3-2
EMB,EMB
CTSH,CTSH
ZNF789,ZNF789
RAF1,RAF1
AGER,AGER
CISH,CISH
DSCC1,DSCC1
SEC23A,SEC23A
SFTPC,SFTPC
PDHB,PDHB
SZRD1,SZRD1
IGHV3-72,IGHV3-72
PDZD8,PDZD8
TASOR2,TASOR2
EIF3L,EIF3L
ZNF438,ZNF438
IGHV1-45,IGHV1-45
BOD1L1,BOD1L1
ZNF394,ZNF394
ABLIM2,ABLIM2
IGHV1-46,IGHV1-46
U6,RNU6-392P
ONECUT1,ONECUT1
FBXL5,FBXL5
NAMPT,NAMPT
DAAM2,DAAM2
MKX,MKX
LVRN,LVRN
TTYH3,TTYH3
POLB,POLB
INPP5A,INPP5A
TM9SF1,TM9SF1
DEPTOR,DEPTOR
BMP1,BMP1
ZKSCAN5,ZKSCAN5
GALNT16,GALNT16
MAPKAPK3,MAPKAPK3
WASF2,WASF2
TRAPPC9,TRAPPC9
CCDC71L,CCDC71L
FBXO42,FBXO42
N6AMT1,N6AMT1
ODAD2,ODAD2
EMX2,EMX2
Y_RNA,Y_RNA
OLIG2,OLIG2
CCNY,CCNY
GTF2H4,GTF2H4
ARL14EPL,ARL14EPL
PARP2,PARP2
FAM200A,FAM200A
SNORA70,SNORA70
PSMA3,PSMA3
BST1,BST1
ERH,ERH
Metazoa_SRP,Metazoa_SRP
GPR3,GPR3
PARP8,PARP8
COL14A1,COL14A1
KCTD6,KCTD6
GEMIN2,GEMIN2
DKK4,DKK4
Y_RNA,Y_RNA
U6,U6
USP33,USP33
WDR72,WDR72
ADSL,ADSL
RASGRF1,RASGRF1
U6,RNU6-1128P
COMMD10,COMMD10
MBOAT1,MBOAT1
ZNF655,ZNF655
CD38,CD38
FCN3,FCN3
H2BC14,H2BC14
ACOX2,ACOX2
TRAPPC6B,TRAPPC6B
RBM11,RBM11
SLC39A9,SLC39A9
RUNX1T1,RUNX1T1
H2AC14,H2AC14
VDAC3,VDAC3
TMEM236,TMEM236
PLA2G3,PLA2G3
U6,RNU6-644P
RAB11FIP2,RAB11FIP2
ADAMTS5,ADAMTS5
ARID4A,ARID4A
PLEKHN1,PLEKHN1
IGHV7-4-1,IGHV7-4-1
COL19A1,COL19A1
LIPI,LIPI
MPP7,MPP7
TMEM225B,TMEM225B
TINF2,TINF2
KCNAB1,KCNAB1
AIFM3,AIFM3
C1H1orf53,C1orf53
U7,RNU7-196P
INPP5J,INPP5J
FGFBP1,FGFBP1
ANKRD54,ANKRD54
PNN,PNN
LHX9,LHX9
ADAMTS1,ADAMTS1
SEMA6A,SEMA6A
ZSCAN25,ZSCAN25
PLEKHD1,PLEKHD1
FGFBP2,FGFBP2
MRPL13,MRPL13
HGF,HGF
U6,RNU6-480P
MDFIC,MDFIC
SELENOM,SELENOM
U6,RNU6-1296P
TMEM40,TMEM40
KLHL17,KLHL17
ID4,ID4
Y_RNA,Y_RNA
CADM2,CADM2
Metazoa_SRP,RN7SL253P
NEK7,NEK7
GALR3,GALR3
NKX6-2,NKX6-2
ISL1,ISL1
MRC1,MRC1
U6,RNU6-471P
TNRC6B,TNRC6B
SNORA25B,SNORA25B
MTBP,MTBP
PROM1,PROM1
GCAT,GCAT
Y_RNA,Y_RNA
CCDC177,CCDC177
U6,RNU6-801P
TUBGCP6,TUBGCP6
SLC20A2,SLC20A2
NOC2L,NOC2L
ZNF184,ZNF184
SUSD6,SUSD6
MAP3K6,MAP3K6
CYYR1,CYYR1
CAND2,CAND2
SMTN,SMTN
TFEC,TFEC
FAM107A,FAM107A
U2,RNU2-53P
H1-0,H1-0
ATP6V1G3,ATP6V1G3
GJD4,GJD4
ZZZ3,ZZZ3
U6,RNU6-449P
CYP3A7,CYP3A7
FZD8,FZD8
SMIM19,SMIM19
DEFB125,DEFB125
U6,RNU6-926P
DDR1,DDR1
FAM204A,FAM204A
SRSF5,SRSF5
TSSK4,TSSK4
ADGRA1,ADGRA1
CBLN4,CBLN4
TRIOBP,TRIOBP
CPLANE2,CPLANE2
ZNF391,ZNF391
SAMD11,SAMD11
SLC10A1,SLC10A1
RNF144B,RNF144B
SNTB1,SNTB1
CHRNB3,CHRNB3
Metazoa_SRP,RN7SL370P
IER3,IER3
LMBRD1,LMBRD1
FAM20C,FAM20C
SSR3,SSR3
JDP2,JDP2
MC3R,MC3R
CLMN,CLMN
FAM3D,FAM3D
TOMM20L,TOMM20L
SELENOO,SELENOO
U6,RNU6-815P
TES,TES
PHYHIP,PHYHIP
CHRNA6,CHRNA6
Metazoa_SRP,RN7SL274P
PTPRC,PTPRC
NOL12,NOL12
PRSS16,PRSS16
ARHGEF19,ARHGEF19
FAM210B,FAM210B
SAXO2,SAXO2
IQCE,IQCE
CIBAR1,CIBAR1
mml-mir-320a,MIR320A
FLOT1,FLOT1
U6,RNU6-263P
BATF,BATF
SGO1,SGO1
AK5,AK5
AURKA,AURKA
APP,APP
SEMA3C,SEMA3C
GDI2,GDI2
TIPARP,TIPARP
KLF6,KLF6
Y_RNA,Y_RNA
PRLHR,PRLHR
POLR3D,POLR3D
CAV2,CAV2
HAS2,HAS2
GMPR2,GMPR2
U6,RNU6-861P
ARHGAP24,ARHGAP24
H2AC12,H2AC12
SH3BP1,SH3BP1
KIF6,KIF6
THAP1,THAP1
FOXL3,FOXL3
ADAMTSL3,ADAMTSL3
DEK,DEK
SMOC1,SMOC1
MIA2,MIA2
CAV1,CAV1
mml-mir-95,MIR95
KAT2B,KAT2B
RNF170,RNF170
FLVCR2,FLVCR2
BLTP1,BLTP1
LMLN,LMLN
CFAP20DC,CFAP20DC
CGNL1,CGNL1
CACUL1,CACUL1
ZHX2,ZHX2
H2AC11,H2AC13
TAPT1,TAPT1
DEFB115,DEFB115
FER1L6,FER1L6
TRABD,TRABD
ADGRB3,ADGRB3
LEKR1,LEKR1
VENTX,VENTX
H2BC11,H2BC11
PDGFA,PDGFA
ANKRD30A,ANKRD30A
Metazoa_SRP,RN7SL806P
DRGX,DRGX
KIAA0586,KIAA0586
Y_RNA,Y_RNA
CSTF1,CSTF1
ZNF33B,ZNF33B
EPHA2,EPHA2
AFAP1,AFAP1
ADAM8,ADAM8
DERL1,DERL1
MET,MET
C9H10orf71,C10orf71
FAM83F,FAM83F
C5orf58,C5orf58
CASS4,CASS4
ZNF322,ZNF322
TMEM273,TMEM273
TUBB,TUBB
PIWIL2,PIWIL2
PANX2,PANX2
RBM12B,RBM12B
KLHL33,KLHL33
ERG28,ERG28
CD36,CD36
MAPK10,MAPK10
KDM1B,KDM1B
GOLM2,GOLM2
SYTL1,SYTL1
ANKRD30BL,ANKRD30BL
HOOK3,HOOK3
MOV10L1,MOV10L1
GGA1,GGA1
ABT1,ABT1
VSTM4,VSTM4
RTF2,RTF2
SYNE3,SYNE3
U6,RNU6-621P
GRAP2,GRAP2
mml-mir-184,MIR184
ANKRD16,ANKRD16
Metazoa_SRP,Metazoa_SRP
MORC2,MORC2
CHRAC1,CHRAC1
TMEM67,TMEM67
U3,U3
CTDSPL2,CTDSPL2
TUBGCP2,TUBGCP2
OSGEP,OSGEP
ANKRD34C,ANKRD34C
PRKAR1B,PRKAR1B
CCNL1,CCNL1
SNORD50B,SNORD50B
TMED3,TMED3
IQCG,IQCG
HMGN4,HMGN4
U6,RNU6-756P
DEFB116,DEFB116
SORCS2,SORCS2
ZEB1,ZEB1
IQSEC1,IQSEC1
mml-mir-181b-1,MIR181B1
SGCZ,SGCZ
U6,RNU6-123P
TPMT,TPMT
mml-mir-181a-1,MIR181A1
TMEM65,TMEM65
U6,RNU6-502P
TGM1,TGM1
WAC,WAC
MINAR1,MINAR1
U7,RNU7-153P
BTN1A1,BTN1A1
Y_RNA,Y_RNA
ZNF511,ZNF511
U6,RNU6-280P
ENTHD1,ENTHD1
MLC1,MLC1
PP2D1,PP2D1
U7,RNU7-8P
MIR383,MIR383
AGO2,AGO2
EIF3J,EIF3J
FHIT,FHIT
U7,RNU7-66P
KCNK16,KCNK16
CACNA1I,CACNA1I
TMEM222,TMEM222
NANOS1,NANOS1
PDP1,PDP1
TRMT12,TRMT12
LGALS2,LGALS2
MTHFS,MTHFS
RAB5A,RAB5A
Metazoa_SRP,Metazoa_SRP
SLC8A3,SLC8A3
RPL35A,RPL35A
APEX1,APEX1
TTLL5,TTLL5
U6,RNU6-778P
PIGK,PIGK
EIF3A,EIF3A
CALY,CALY
LZTR1,LZTR1
RNF139,RNF139
NHLRC1,NHLRC1
GCNT7,GCNT7
GALNT7,GALNT7
SNORA19,SNORA19
U6,RNU6-858P
U6,RNU6-716P
U6,RNU6-1339P
KCNK17,KCNK17
U6,RNU6-667P
PIP4P1,PIP4P1
TUSC3,TUSC3
RABGGTA,RABGGTA
CDH17,CDH17
U6,RNU6-609P
U6,RNU6-401P
CDC42EP1,CDC42EP1
BCL2A1,BCL2A1
GABPA,GABPA
ZNF37A,ZNF37A
EYS,EYS
DOCK3,DOCK3
HCN4,HCN4
Y_RNA,Y_RNA
TATDN1,TATDN1
NR5A2,NR5A2
DENND10,DENND10
SPG11,SPG11
TTLL8,TTLL8
GEM,GEM
DNAAF5,DNAAF5
SLC39A12,SLC39A12
PSAPL1,PSAPL1
LRCH3,LRCH3
LDB2,LDB2
U4,RNU4-85P
BTN2A2,BTN3A1
CARD10,CARD10
MDC1,MDC1
RPS19BP1,RPS19BP1
VEPH1,VEPH1
SH3GL3,SH3GL3
U6,RNU6-570P
FBH1,FBH1
TFAP2C,TFAP2C
PRAP1,PRAP1
ATF4,ATF4
ZNF33A,ZNF33A
RAD54B,RAD54B
GRPEL1,GRPEL1
REC114,REC114
BRAT1,BRAT1
ZFAND6,ZFAND6
RNF5,RNF5
FUOM,FUOM
U3,U3
IL17REL,IL17REL
WDTC1,WDTC1
ZNF281,ZNF281
THAP7,THAP7
TADA2B,TADA2B
CAPZA2,CAPZA2
U6,RNU6-1146P
COX16,SYNJ2BP
ARHGAP12,ARHGAP12
MIEF1,MIEF1
Metazoa_SRP,RN7SL170P
ST6GALNAC5,ST6GALNAC5
AMZ1,AMZ1
MYZAP,MYZAP
U6,RNU6-929P
ECHS1,ECHS1
DACT1,DACT1
SNAI2,SNAI2
PTX3,PTX3
U6,RNU6-145P
KIF14,KIF14
MSR1,MSR1
SFXN4,SFXN4
AGPAT1,AGPAT1
DEFB118,DEFB118
BAMBI,BAMBI
P2RX6,P2RX6
MFNG,MFNG
FSBP,FSBP
WDFY4,WDFY4
FAH,FAH
NDUFB9,NDUFB9
FAM131C,FAM131C
RNASE10,RNASE10
MGAT3,MGAT3
PTPRG,PTPRG
EFHB,EFHB
TBC1D14,TBC1D14
U6,RNU6-270P
BNC1,BNC1
U6,RNU6-161P
CYP3A43,CYP3A43
VIRMA,VIRMA
PIM3,PIM3
GNA12,GNA12
U2,RNU2-51P
ELFN2,ELFN2
SLC39A14,SLC39A14
TAB1,TAB1
SLC7A4,SLC7A4
SHOX2,SHOX2
SLC9A1,SLC9A1
DHRS1,DHRS1
ST6GALNAC3,ST6GALNAC3
FGF20,FGF20
CACNB2,CACNB2
RNASE11,RNASE11
ADAM21,ADAM21
HDGFL3,HDGFL3
NPTN,NPTN
SUN1,SUN1
MTSS1,MTSS1
CYTH4,CYTH4
DDX59,DDX59
MICU3,MICU3
NRM,NRM
U6,RNU6-336P
KIF13A,KIF13A
CLCNKB,CLCNKB
PHF3,PHF3
PAOX,PAOX
PRDX3,PRDX3
EGFL8,PPT2
RIPK1,RIPK1
PPP3CC,PPP3CC
RSRC1,RSRC1
U6,RNU6-659P
Y_RNA,Y_RNA
Y_RNA,Y_RNA
ASB17,ASB17
U1,RNU1-124P
NOP9,NOP9
ADAM20,ADAM20
TENT5B,TENT5B
RNASE4,RNASE4
U2,RNU2-45P
CRELD2,CRELD2
KCNH8,KCNH8
TM6SF1,TM6SF1
DAAM1,DAAM1
GNAT3,GNAT3
TRNP1,TRNP1
ANG,ANG
SFTPD,SFTPD
MAB21L2,MAB21L2
KCNK10,KCNK10
PPP1R18,PPP1R18
ATP5PF,ATP5PF
EDDM3A,EDDM3A
CIDEB,CIDEB
MED6,MED6
CARD11,CARD11
FYTTD1,FYTTD1
EDDM3B,EDDM3B
ZNF248,ZNF248
MSH4,MSH4
NQO2,NQO2
RNASE6,RNASE6
SLC25A28,SLC25A28
Metazoa_SRP,RN7SL869P
GRK5,GRK5
NUDC,NUDC
CAMSAP2,CAMSAP2
SNORA75,SNORA75B
BMP7,BMP7
RNASE1,RNASE1
LTB4R2,LTB4R2
SORBS3,SORBS3
DHX16,DHX16
GNAI1,GNAI1
Metazoa_SRP,RN7SL77P
LTB4R,LTB4R
PTPN13,PTPN13
HGSNAT,HGSNAT
TTC9,TTC9
SYNGR1,SYNGR1
ZDHHC2,ZDHHC2
KDF1,KDF1
MED15,MED15
MLF1,MLF1
CEP15,CEP15
RAC2,RAC2
RUBCN,RUBCN
ADCY4,ADCY4
JAM2,JAM2
QDPR,QDPR
VOPP1,VOPP1
OSBP2,OSBP2
SNORD73,SNORD73B
PRRT1,PRRT1
ALG12,ALG12
SVIL,SVIL
SNORD73,SNORD73A
ARNT2,ARNT2
NR0B2,NR0B2
LANCL2,LANCL2
ESRP1,ESRP1
CLRN2,CLRN2
SPATA7,SPATA7
SPO11,SPO11
GPATCH3,GPATCH3
HMGB2,HMGB2
SERPINB6,SERPINB6
RPL3,RPL3
LCP2,LCP2
SSTR3,SSTR3
ALDH1A2,ALDH1A2
FEZF2,FEZF2
FKBPL,FKBPL
PTK2,PTK2
Metazoa_SRP,Metazoa_SRP
GPN2,GPN2
ST7,ST7
Y_RNA,Y_RNA
LAP3,LAP3
Metazoa_SRP,RN7SL189P
SOS2,SOS2
C1QTNF6,C1QTNF6
U6,RNU6-849P
Metazoa_SRP,RN7SL749P
MAP3K9,MAP3K9
OR2AE1,OR2AE1
DPY19L4,DPY19L4
BTBD1,BTBD1
SFN,SFN
PATL2,PATL2
KIAA0232,KIAA0232
U3,U3
AP4S1,AP4S1
METTL17,METTL17
SCARF2,SCARF2
SLC10A6,SLC10A6
FAM83A,FAM83A
TRIM4,TRIM4
RAE1,RAE1
CNOT7,CNOT7
IL2RB,IL2RB
mml-mir-922,MIR922
ZDHHC18,ZDHHC18
ATF6B,ATF6B
BMS1,BMS1
RABGGTB,RABGGTB
C8H8orf76,C8orf76
MAGI2,MAGI2
ZBED4,ZBED4
AQP9,AQP9
ZCCHC24,ZCCHC24
U6,RNU6-138P
C5H4orf36,C4orf36
MUC20,MUC20
RGS10,RGS10
SNAP25,SNAP25
PDLIM2,PDLIM2
MED28,MED28
Y_RNA,Y_RNA
GFM1,GFM1
HSPB7,HSPB7
SH3D19,SH3D19
TRAJ18,TRAJ18
SLC39A2,SLC39A2
SRARP,SRARP
ATAT1,C6orf136
GJC3,GJC3
VPS37A,VPS37A
SNORD43,SNORD43
B2M,B2M
ZHX1,ZHX1
BRD1,BRD1
PTPN21,PTPN21
EGFR,EGFR
PPIF,PPIF
FAM184B,FAM184B
Y_RNA,Y_RNA
SNORD83A,SNORD83A
Metazoa_SRP,RN7SL165P
LIPC,LIPC
NUP210,NUP210
SNORD83B,SNORD83B
SERPINB9,SERPINB9
U6,RNU6-628P
DUSP18,DUSP18
AZGP1,AZGP1
DAD1,DAD1
SATB1,SATB1
Metazoa_SRP,RN7SL825P
MUC4,MUC4
PIGV,PIGV
AFF1,AFF1
Metazoa_SRP,RN7SL814P
HOMER2,HOMER2
SNORD45B,SNORD45B
TRIM69,TRIM69
SNORD45A,SNORD45A
PDGFB,PDGFB
ABHD4,ABHD4
MRPL39,MRPL39
SNORD45C,SNORD45C
GPR25,GPR25
ZBTB17,ZBTB17
SLC35E4,SLC35E4
TMPRSS6,TMPRSS6
U6,U6
INAVA,INAVA
SDK1,SDK1
ZNF572,ZNF572
ACADM,ACADM
ATAD2,ATAD2
ZKSCAN1,ZKSCAN1
Metazoa_SRP,RN7SL812P
NFATC4,NFATC4
TERB2,TERB2
CBX7,CBX7
Y_RNA,Y_RNA
NDRG2,NDRG2
Y_RNA,RNY1P9
PAXIP1,PAXIP1
BTN3A3,BTN3A3
DCAF16,DCAF16
SQLE,SQLE
U6,RNU6-225P
RBM38,RBM38
KIF5B,KIF5B
FBXO33,FBXO33
ADAM10,ADAM10
INTS8,INTS8
TCN2,TCN2
PTP4A1,PTP4A1
CD276,CD276
ZNF74,ZNF74
MTMR7,MTMR7
ZMIZ1,ZMIZ1
NSUN6,NSUN6
NCAPG,NCAPG
ACR,ACR
SORD,SORD
NYNRIN,NYNRIN
H3C8,H3C2
SERPINB1,SERPINB1
ZSCAN21,ZSCAN21
ARID1A,ARID1A
HECTD1,HECTD1
OXA1L,OXA1L
CTCFL,CTCFL
IL15RA,IL15RA
U6,RNU6-530P
TP53INP1,TP53INP1
U6,RNU6-704P
APOBEC3H,APOBEC3H
U4,RNU4-22P
CCAR2,CCAR2
NDUFAF6,NDUFAF6
TIAL1,TIAL1
U6,RNU6-337P
WASHC5,WASHC5
SHANK3,SHANK3
ZNF3,ZNF3
KCTD17,KCTD17
SLC7A7,SLC7A7
H1-3,H1-3
C2CD4B,C2CD4B
TPPP2,TPPP2
U6,RNU6-380P
Metazoa_SRP,Metazoa_SRP
U6,RNU6-1209P
ARL5B,ARL5B
COPS6,COPS6
LRFN5,LRFN5
PCNX1,PCNX1
KIF21B,KIF21B
DEFB121,DEFB121
Metazoa_SRP,Metazoa_SRP
WNT2,WNT2
TGFB3,TGFB3
RNASE7,RNASE7
SLC44A5,SLC44A5
MRPL52,MRPL52
SAP30,SAP30
KLHL8,KLHL8
RTN4R,RTN4R
PCK1,PCK1
CCNE2,CCNE2
BIN3,BIN3
CBLN3,CBLN3
MINDY2,MINDY2
