Gene name	Gorilla gene name	Gorilla homology type	%id. target Gorilla gene identical to query gene	%id. query gene identical to target Gorilla gene	Gorilla Gene-order conservation score	Gorilla Whole-genome alignment coverage	Gorilla orthology confidence [0 low, 1 high]
RNU6-761P	U6	ortholog_one2one	97.1963	97.1963		100.00	1
							
RN7SL574P	Metazoa_SRP	ortholog_one2one	97.8648	92.5926		100.00	1
							
SNORD114-22	SNORD114-22	ortholog_one2one	100	100		100.00	1
RN7SKP211	7SK	ortholog_one2one	87.7743	77.135		100.00	0
SNORD3J	U3	ortholog_one2one	98.4211	98.4211		100.00	1
MIR3132							
COX6B2							
GAS1	GAS1	ortholog_one2one	91.0811	97.6812	50	100.00	1
STX19	STX19	ortholog_one2one	99.3197	99.3197	100	100.00	1
FBXO27	FBXO27	ortholog_one2one	100	100	100	100.00	1
MIR4759	MIR4759	ortholog_one2one	100	100		100.00	1
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	99.6633	99.6633		100.00	1
RNU6-972P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
SNORD114-18	SNORD114-18	ortholog_one2one	97.2222	97.2222		100.00	1
MIR876	MIR876	ortholog_one2one	100	100		100.00	1
U3	U3	ortholog_one2many	88	88		100.00	1
RN7SKP259	7SK	ortholog_one2one	92.0245	97.4026		100.00	1
PCDHB1							
MIR1282	MIR1282	ortholog_one2one	100	100		100.00	1
							
MIR298	MIR298	ortholog_one2one	100	100		100.00	1
SNORD113-1	SNORD113-1	ortholog_one2one	98.5507	98.5507		100.00	1
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	46.9841	46.1059		0.00	0
RNU6-890P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
RN7SKP33	7SK	ortholog_one2one	98.2353	98.2353		100.00	1
SNORD3D	U3	ortholog_one2one	92.1659	92.1659		100.00	1
OR5AU1	OR5AU1	ortholog_one2one	97.7901	97.7901	100	100.00	1
ptr-mir-1282-2							
SNORD113-8							
RNU6-183P	U6	ortholog_one2one	99.0909	98.1982		100.00	1
RN7SKP10	7SK	ortholog_one2one	98.1366	98.1366		100.00	1
							
							
U3	U3	ortholog_one2many	88	88		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	98.9324	98.9324		100.00	1
LIMS2	LIMS2	ortholog_one2one	99.726	99.726	100	100.00	1
MIR200A	MIR200A	ortholog_one2one	100	100		65.56	0
SNORD114-9	SNORD114-9	ortholog_one2one	98.6111	98.6111		100.00	1
RNU6-1274P	U6	ortholog_one2one	100	100		0.00	0
MIR6807							
RN7SKP192	7SK	ortholog_one2one	99.3884	99.3884		100.00	1
		ortholog_one2one	97.7273	97.7273		100.00	1
SNORD3P1	U3	ortholog_one2one	98.1481	98.1481		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	92.2481	80.1347		100.00	1
							
		ortholog_one2one	98.6111	98.6111		100.00	1
RNU6-80P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
MIR554	MIR554	ortholog_one2one	98.9583	98.9583		100.00	1
		ortholog_one2many	87.2093	86.2069		0.00	0
U3	U3	ortholog_one2one	99.537	99.537		100.00	1
RN7SKP149	7SK	ortholog_one2one	94.8949	94.8949		100.00	1
SNORD114-5		ortholog_one2one	98.5714	98.5714		0.00	0
Metazoa_SRP							
		ortholog_one2one	100	100		100.00	1
RNU6-1213P	U6	ortholog_one2one	98.9362	98.9362		0.00	0
U3	U3	ortholog_one2one	96.0591	96.0591		100.00	1
RN7SKP183	7SK	ortholog_one2one	99.6914	99.6914		100.00	1
							
							
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	95.8763	95.8763		0.00	0
MIR129-2	MIR129	ortholog_one2one	100	100		100.00	1
RNU6-1026P	U6	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	96.4286	96.4286		100.00	1
U3	U3	ortholog_one2one	94.8837	96.2264		100.00	1
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	96.4706	97.2332		100.00	1
SNORD114-28	SNORD114-28	ortholog_one2one	100	100		100.00	1
MIRLET7D	MIRLET7D	ortholog_one2one	100	100		100.00	1
U6	U6	ortholog_one2many	99.0654	99.0654		100.00	1
Metazoa_SRP							
							
							
SNORD114-26	SNORD114-26	ortholog_one2one	100	100		100.00	1
U3	U3	ortholog_one2one	99.5283	99.5283		100.00	1
RNU6-1147P	U6	ortholog_one2one	100	100		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	99.3056	99.3056		0.00	0
MIR6824	MIR6824	ortholog_one2one	100	100		100.00	1
Metazoa_SRP							
							
SNORD114-19	SNORD114-19	ortholog_one2one	100	100		100.00	1
U3	U3	ortholog_one2one	99.0741	99.0741		100.00	1
U6	U6	ortholog_one2many	100	100		100.00	1
							
		ortholog_one2one	100	100		100.00	1
RN7SL399P	Metazoa_SRP	ortholog_one2one	97.1326	97.1326		0.00	0
Y_RNA	Y_RNA	ortholog_one2one	99.0909	99.0909		100.00	1
							
U6	U6	ortholog_one2one	96.2617	100		100.00	1
SNORD114-24	SNORD114-24	ortholog_one2one	94.3662	93.0556		100.00	1
U3	U3	ortholog_one2one	96.6825	96.6825		100.00	1
							
MIR101-2	MIR101-2	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	97.3451	97.3451		100.00	1
RN7SL813P	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
							
		ortholog_one2one	89.0374	94.8718	100	100.00	1
							
							
SNORD114-15	SNORD114-15	ortholog_one2one	98.6111	98.6111		100.00	1
RNU6-188P	U6	ortholog_one2one	96.2617	96.2617		100.00	1
ptr-mir-521-2		ortholog_one2one	96.5517	96.5517		100.00	1
		ortholog_one2one	82.9268	88.3117		0.00	0
U3	U3	ortholog_one2one	99.0654	99.0654		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	95.8763	95.8763		0.00	0
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
SLC46A2	SLC46A2	ortholog_one2one	99.3684	99.3684	100	100.00	1
H4C3	H4C11	ortholog_one2many	100	100	100	100.00	1
SNORD114-30	SNORD114-30	ortholog_one2one	94.4444	94.4444		100.00	1
							
RNU6-637P	U6	ortholog_one2one	97.1963	97.1963		100.00	1
							
U3	U3	ortholog_one2one	100	100		100.00	1
							
Y_RNA	Y_RNA	ortholog_one2one	97.0297	97.0297		100.00	1
RN7SL251P	Metazoa_SRP	ortholog_one2one	97.6431	97.6431		100.00	1
ZNF275							
SCARNA17	SCARNA17	ortholog_one2one	98.6111	98.6111		100.00	1
							
MIR25	ggo-mir-25	ortholog_one2one	100	100		100.00	1
RNU6-892P	U6	ortholog_one2one	97.9798	98.9796		100.00	1
U3	U3	ortholog_one2one	98.1481	98.1481		100.00	1
MIR143	ggo-mir-143	ortholog_one2one	99.0566	99.0566		100.00	1
RN7SL172P	Metazoa_SRP	ortholog_one2one	98.3498	98.3498		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	98.2301	98.2301		100.00	1
LDHAL6B	LDHAL6B	ortholog_one2one	99.4751	99.4751	100	100.00	1
ATG14	ATG14	ortholog_one2one	100	100	100	100.00	1
							
							
		ortholog_one2one	100	100		0.00	0
U3	U3	ortholog_one2one	98.1481	98.1481		100.00	1
							
RNU6-1277P	U6	ortholog_one2one	99.0654	98.1481		100.00	1
MIR217	ggo-mir-217	ortholog_one2many	100	100		100.00	1
MIR217	ggo-mir-217	ortholog_one2many	100	100		100.00	1
RN7SL513P	Metazoa_SRP	ortholog_one2one	99.3289	99.3289		100.00	1
Y_RNA							
PRSS35	PRSS35	ortholog_one2one	99.5157	99.5157	100	100.00	1
MIR1275	MIR1275	ortholog_one2one	98.75	98.75		100.00	1
SNORD30	SNORD30	ortholog_one2one	100	100		100.00	1
TAS2R20							
RN7SL49P	Metazoa_SRP	ortholog_one2one	98.3222	98.3222		100.00	1
MIR4470							
RNU6-95P	U6	ortholog_one2one	95.3271	95.3271		100.00	1
U3	U3	ortholog_one2one	98.0952	98.0952		100.00	1
		ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2many	98.9362	98.9362		100.00	1
MIR191	MIR191	ortholog_one2one	100	100		100.00	1
SNORA53	SNORA53	ortholog_one2one	99.5935	99.5935		100.00	1
RN7SL378P	Metazoa_SRP	ortholog_one2one	98.6577	98.6577		100.00	1
MAFA							
MIR92A2	ggo-mir-92-2	ortholog_one2one	100	100		100.00	1
RNU6-271P	U6	ortholog_one2one	97.1429	97.1429		100.00	1
EEF1A2	EEF1A2	ortholog_one2one	97.6242	97.4138	100	0.00	1
PLEK2	PLEK2	ortholog_one2one	97.4504	96.6292	100	100.00	1
U3	U3	ortholog_one2many	93.9815	96.6667		100.00	1
U3	U3	ortholog_one2many	93.9815	96.6667		0.00	0
							
Y_RNA	Y_RNA	ortholog_one2many	99.0196	99.0196		100.00	1
G0S2	G0S2	ortholog_one2one	98.0583	98.0583	100	100.00	1
FCGRT	FCGRT	ortholog_one2one	92.8767	92.1196	100	100.00	1
							
ptr-mir-1203							
RN7SL564P	Metazoa_SRP	ortholog_one2one	96.4	96.7871		100.00	1
RNU6-477P	U6	ortholog_one2one	96.2617	96.2617		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	97.4359	97.4359		100.00	1
		ortholog_one2one	98.1982	96.4602		100.00	1
		ortholog_one2one	87.1795	93.7931	100	100.00	1
XPR1	XPR1	ortholog_one2one	97.4138	100	100	100.00	1
		ortholog_one2one	86.9888	84.4765	0	0.00	0
Y_RNA	Y_RNA	ortholog_one2many	100	100		0.00	0
							
TMEM97	TMEM97	ortholog_one2one	98.3051	98.3051	100	100.00	1
MIR1323	MIR1323	ortholog_one2one	100	100		100.00	1
MIR320B1	MIR320B1	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2many	100	100		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	100	100		100.00	1
Metazoa_SRP							
RNU6-1074P							
OR56A4	OR56A4	ortholog_one2one	98.9041	98.9041	75	100.00	1
SLC39A6	SLC39A6	ortholog_one2one	99.4702	99.4702	100	100.00	1
		ortholog_one2one	100	100		100.00	1
							
		ortholog_one2one	98.9899	98.9899	75	98.93	1
		ortholog_one2one	99.4898	99.4898		100.00	1
MIR206	MIR206	ortholog_one2many	100	100		100.00	1
MIR206		ortholog_one2many	100	100		100.00	1
MIR6741							
Y_RNA							
RNU6-1209P	U6	ortholog_one2one	96.2617	96.2617		100.00	1
RN7SL870P	Metazoa_SRP	ortholog_one2one	94.6309	95.2703		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	99.115	99.115		100.00	1
		ortholog_one2one	97.7011	97.7011		100.00	1
		ortholog_one2one	100	100		100.00	1
MIR1273H							
FAM124B	FAM124B	ortholog_one2one	98.6813	98.6813	100	100.00	1
RUNX1	RUNX1	ortholog_one2one	100	100	100	100.00	1
Metazoa_SRP							
MIR3685		ortholog_one2many	100	100		100.00	1
MIR3685		ortholog_one2many	100	100		100.00	1
U6	U6	ortholog_one2many	99.0654	99.0654		0.00	0
Y_RNA							
Y_RNA	Y_RNA	ortholog_one2one	98.0392	98.0392		100.00	1
		ortholog_one2one	97.619	97.619		100.00	1
							
		ortholog_one2one	100	100		100.00	1
MIR8076	MIR8076	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
Metazoa_SRP							
Y_RNA							
U6	U6	ortholog_one2many	100	100		0.00	0
		ortholog_one2one	100	100		100.00	1
SNORA74C-1							
MIR4314							
							
							
Y_RNA	Y_RNA	ortholog_one2one	87.6106	93.3962		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	99.0196	99.0196		100.00	1
		ortholog_one2one	100	95.6204		100.00	1
U6	U6	ortholog_one2many	96.0396	96.0396		0.00	0
							
SNORA74	SNORA74	ortholog_one2one	96.9543	96.9543		100.00	1
		ortholog_one2one	97.1698	97.1698	100	100.00	1
GTF2A1	GTF2A1	ortholog_one2one	99.7268	98.6487	100	100.00	1
HMGN4		ortholog_one2one	97.8495	97.8495	100	100.00	1
PSMB5	PSMB5	ortholog_one2one	99.6198	96.679	100	100.00	1
		ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
MIR6880							
Y_RNA	Y_RNA	ortholog_one2many	98.9247	100		100.00	1
RNU1-19P	U1	ortholog_one2one	97.5758	97.5758		100.00	1
FAM43A	FAM43A	ortholog_one2one	99.7642	100	100	100.00	1
							
RNU6-914P	U6	ortholog_one2one	95.5357	95.5357		100.00	1
		ortholog_one2many	75.5814	91.5493		0.00	0
		ortholog_one2many	96.5116	96.5116		100.00	1
		ortholog_one2many	91.8605	92.9412		0.00	0
SNORA74D	SNORA74	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	99.1667	99.1667		100.00	1
RNY4P34	Y_RNA	ortholog_one2one	97.8947	97.8947		100.00	1
							
							
RNASE7	RNASE7	ortholog_one2one	100	100	75	100.00	1
TAS2R64							
GPR148	GPR148	ortholog_one2one	99.4236	99.4236	75	100.00	1
RNU6-1332P	U6	ortholog_one2one	100	99.0385		0.00	0
SNORA74	SNORA74	ortholog_one2many	99.5025	99.5025		100.00	1
		ortholog_one2many	100	100		100.00	1
		ortholog_one2one	100	100		100.00	1
BOLA1	BOLA1	ortholog_one2one	98.5401	98.5401	100	100.00	1
							
RNY4P23	Y_RNA	ortholog_one2one	100	100		100.00	1
ZHX3	ZHX3	ortholog_one2one	98.4456	99.3724	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	97.3214	97.3214		0.00	0
MIR6773	MIR6773	ortholog_one2one	100	100		100.00	1
TAS2R46							
MYOM2	MYOM2	ortholog_one2one	82.493	92.2475	75	100.00	1
RC3H1	RC3H1	ortholog_one2one	93.2099	96.7063	100	100.00	1
U6							
		ortholog_one2one	95.7143	95.7143		100.00	1
		ortholog_one2one	100	100		100.00	1
SNORA74A	SNORA74	ortholog_one2one	100	100		100.00	1
MIR4679-2							
MIR454	ggo-mir-454	ortholog_one2one	96.5217	95.6897		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
SERPING1	SERPING1	ortholog_one2one	98.5887	98.5887	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	93.8053	97.2477		100.00	1
UCN	UCN	ortholog_one2one	95.9677	95.9677	100	100.00	1
RAPGEF3	RAPGEF3	ortholog_one2one	99.7833	99.7833	100	100.00	1
							
		ortholog_one2many	100	100		100.00	1
U6	U6	ortholog_one2many	98.1308	98.1308		0.00	0
		ortholog_one2one	91.2752	96.4539		100.00	1
							
							
Y_RNA	Y_RNA	ortholog_one2one	100	100		0.00	0
SNORA74	SNORA74	ortholog_one2many	78.2609	80.597		100.00	0
TDRD15	TDRD15	ortholog_one2one	98.7073	98.7073	100	100.00	1
WWC2							
RNY3P16	Y_RNA	ortholog_one2one	99.0099	99.0099		100.00	1
		ortholog_one2one	100	100		100.00	1
		ortholog_one2one	88	87.1287		100.00	1
							
HOXD8		ortholog_one2one	35.9862	98.1132	100	100.00	0
U6	U6	ortholog_one2many	97.1963	97.1963		0.00	0
SNORA74							
MIR375	MIR375	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
CPXCR1	CPXCR1	ortholog_one2one	96.0133	96.0133	100	100.00	1
OR51D1	OR51D1	ortholog_one2one	96.6049	96.6049	100	100.00	1
EAF2	EAF2	ortholog_one2one	94.2966	93.2331	100	100.00	1
KBTBD11		ortholog_one2one	69.0209	99.3072	100	100.00	0
Y_RNA	Y_RNA	ortholog_one2one	99.0099	99.0099		100.00	1
		ortholog_one2one	100	100		100.00	1
							
MIR609	MIR609	ortholog_one2one	96.8421	96.8421		100.00	1
SNORA74	SNORA74	ortholog_one2one	99.4444	99.4444		100.00	1
		ortholog_one2one	97.0874	97.0874		100.00	1
RNU6-426P	U6	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	99.1453	99.1453		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	84.6847	94		100.00	1
MIR30E	MIR30E	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100		100.00	1
DYSF	DYSF	ortholog_one2one	99.3865	99.3865	100	100.00	1
							
SNORA74	SNORA74	ortholog_one2one	99.005	99.005		0.00	0
RNU6-767P	U6	ortholog_one2one	99.0654	99.0654		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	97.3451	97.3451		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	99.0385	99.0385		100.00	1
ZFP3	ZFP3	ortholog_one2one	99.6016	99.6016	75	100.00	1
							
MIR6795							
		ortholog_one2many	91.0256	81.6092		0.00	0
KRTAP29-1	KRTAP29-1	ortholog_one2one	96.7742	96.7742	100	100.00	1
OR10Q1	OR10Q1	ortholog_one2one	96.5517	96.5517	100	100.00	1
		ortholog_one2one	100	100		100.00	1
RNU6-956P	U6	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
TBCA							
Y_RNA	Y_RNA	ortholog_one2one	97	97		100.00	1
SNORD46	SNORD46	ortholog_one2one	100	100		100.00	1
							
TIGD6	TIGD6	ortholog_one2one	98.8484	98.8484	100	100.00	1
							
		ortholog_one2one	97.7011	98.8372		100.00	1
MIR383	MIR383	ortholog_one2one	100	100		100.00	1
SNORA55	SNORA55	ortholog_one2one	98.5185	98.5185		100.00	1
		ortholog_one2one	91.9118	96.1538	25	0.00	0
Y_RNA	Y_RNA	ortholog_one2one	98.2906	98.2906		100.00	1
RNU6-1153P	U6	ortholog_one2one	97.1429	97.1429		100.00	1
		ortholog_one2one	98.5075	98.5075		100.00	1
Y_RNA	Y_RNA	ortholog_one2many	98.9362	98.9362		100.00	1
OR2J2	OR2J2	ortholog_one2one	99.0385	99.0385	100	0.00	1
		ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100		100.00	1
MIR7-1	ggo-mir-7-1	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100	100	100.00	1
RNU6-1150P	U6	ortholog_one2one	77.7778	75.4902		100.00	0
Y_RNA	Y_RNA	ortholog_one2one	99.1228	99.1228		100.00	1
SNORA27	SNORA27	ortholog_one2one	99.2064	99.2064		0.00	0
SCARNA22	SCARNA22	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2many	98.9247	100		100.00	1
		ortholog_one2many	100	100		100.00	1
							
MIR6776							
							
Y_RNA							
SNORD4B	SNORD4B	ortholog_one2one	91.6667	94.2857		100.00	1
OSER1	OSER1	ortholog_one2one	99.3151	91.195	100	100.00	1
RNU6-1017P	U6	ortholog_one2one	100	100		100.00	1
Y_RNA							
GSTA1							
		ortholog_one2one	99.1936	99.1936		100.00	1
SLC7A6OS	SLC7A6OS	ortholog_one2one	99.0291	99.0291	100	100.00	1
		ortholog_one2one	100	100	100	100.00	1
		ortholog_many2many	79.4872	76.5432	0	0.00	0
		ortholog_many2many	83.9744	82.9114	0	0.00	0
		ortholog_one2many	100	100		100.00	1
ptr-mir-616		ortholog_one2one	98.9691	97.9592		100.00	1
ptr-mir-106a	ggo-mir-106a	ortholog_one2one	100	100		100.00	1
OR56A1	OR56A1	ortholog_one2one	98.1132	98.1132	75	100.00	1
B3GNT8	B3GNT8	ortholog_one2one	98.9924	98.9924	100	100.00	1
SNORD4A	SNORD4A	ortholog_one2one	100	100		100.00	1
U6							
Y_RNA	Y_RNA	ortholog_one2one	98	98		100.00	1
		ortholog_one2one	99.2064	99.2064		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	98.2906	98.2906		100.00	1
							
MIR485	MIR485	ortholog_one2one	100	100		100.00	1
		ortholog_one2many	100	100		100.00	1
MIR409	MIR409	ortholog_one2one	100	100		100.00	1
RN7SL688P	Metazoa_SRP	ortholog_one2one	94.5455	94.2029		100.00	1
SNORD127	SNORD127	ortholog_one2one	98.8372	98.8372		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	98.9362	98.9362		100.00	1
		ortholog_one2one	98.5294	98.5294		100.00	1
Y_RNA	Y_RNA	ortholog_one2many	98.1818	97.2973		0.00	0
TMEM229B	TMEM229B	ortholog_one2one	100	100	100	100.00	1
MIR4523	MIR4523	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100		100.00	1
		ortholog_one2one	97.4684	97.4684		100.00	1
RNU6-1032P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
RNVU1-17							
Y_RNA	Y_RNA	ortholog_one2one	99.115	99.115		100.00	1
KAT5	KAT5	ortholog_one2one	100	100	100	100.00	1
							
MIR598	MIR598	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	88.7805	97.3262	0	0.00	0
RNY1P16	Y_RNA	ortholog_one2one	100	100		0.00	0
		ortholog_one2one	91.9786	91.9786		100.00	1
							
RN7SL354P	Metazoa_SRP	ortholog_one2one	96.5986	96.5986		100.00	1
U1	U1	ortholog_one2many	97.5758	97.5758		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	98.0392	98.0392		100.00	1
OR2K2	OR2K2	ortholog_one2one	96.8116	96.8116	100	100.00	1
MIR4726	MIR4726	ortholog_one2one	100	100		100.00	1
MIR486-1	MIR486	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	99.115	99.115		100.00	1
		ortholog_one2one	98.6667	99.3289		100.00	1
							
RNU1-70P	U1	ortholog_one2one	98.1481	98.1481		100.00	1
U6	U6	ortholog_one2many	97.1429	97.1429		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	96.7742	96.7742		100.00	1
		ortholog_one2one	91.25	97.3333		100.00	1
MIR4727	MIR4727	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	99.2857	99.2857		100.00	1
RNU6-703P	U6	ortholog_one2one	96.2617	97.1698		100.00	1
OR8I2	OR8I2	ortholog_one2one	94.8387	94.5338	100	100.00	1
LDOC1		ortholog_one2many	98.0843	98.4615	25	100.00	1
LDOC1		ortholog_one2many	98.0843	98.4615	50	100.00	1
							
Metazoa_SRP							
RNU1-77P	U1	ortholog_one2one	98.1481	98.1481		100.00	1
MIR29A	ggo-mir-29a	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
MIR124-3	MIR124-3	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	97.4359	97.4359		100.00	1
		ortholog_one2one	96.9697	96.9697		100.00	1
							
U6	U6	ortholog_one2many	99.0476	99.0476		0.00	0
MIRLET7F1	MIRLET7F	ortholog_one2one	100	100		100.00	1
PIAS1	PIAS1	ortholog_one2one	100	100	100	100.00	1
RNU1-149P	U1	ortholog_one2one	99.3789	99.3789		100.00	1
EBLN1	EBLN1	ortholog_one2one	96.7302	96.7302	100	100.00	1
MIR520E							
RNY4P20							
Y_RNA	Y_RNA	ortholog_one2one	94.5455	98.1132		100.00	1
							
		ortholog_one2one	97.4359	97.4359		100.00	1
GRAPL		ortholog_one2one	66	77.6471	100	100.00	0
KRT33B	KRT33B	ortholog_one2one	92.0746	97.7723	100	95.34	1
RN7SL138P	Metazoa_SRP	ortholog_one2one	97.9021	97.2222		100.00	1
MIR4712							
ptr-mir-517b-2	MIR517C-2	ortholog_one2one	100	71.2766		100.00	0
Y_RNA							
FAM200A	FAM200A	ortholog_one2one	98.9529	98.9529	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	98.2456	98.2456		100.00	1
PRSS27	PRSS27	ortholog_one2many	98.2759	88.2353	100	100.00	1
		ortholog_one2many	100	100		100.00	1
SCARNA11	SCARNA11	ortholog_one2one	100	99.2701		100.00	1
MMP17	MMP17	ortholog_one2one	98.6755	98.8391	50	100.00	1
ptr-mir-591		ortholog_one2one	100	100		100.00	1
							
RN7SL413P	Metazoa_SRP	ortholog_one2one	98.9899	98.9899		100.00	1
							
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
VASN	VASN	ortholog_one2one	98.9599	98.9599	75	100.00	1
U6	U6	ortholog_one2many	99	99		0.00	0
RNU1-35P	U1	ortholog_one2one	100	100		100.00	1
							
		ortholog_one2one	100	100		100.00	1
							
RNU6-951P	U6	ortholog_one2one	69.0909	97.4359		100.00	0
							
							
PFN3	PFN3	ortholog_one2one	98.5401	98.5401	100	100.00	1
RNU6-506P							
Y_RNA	Y_RNA	ortholog_one2one	96.9388	96.9388		100.00	1
RNU1-8P							
		ortholog_one2one	98.8506	97.7273		100.00	1
		ortholog_one2one	92.3077	92.3077		100.00	1
GABRB3	GABRB3	ortholog_one2one	99.6219	99.6219	100	100.00	1
MIR4295							
RN7SL456P	Metazoa_SRP	ortholog_one2one	95.2542	97.2318		100.00	1
SMIM10	SMIM10	ortholog_one2many	96.3855	96.3855	75	100.00	1
GPR171	GPR171	ortholog_one2one	100	100	100	100.00	1
ptr-mir-3660							
RNU6-145P	U6	ortholog_one2one	97.1698	97.1698		100.00	1
U1							
		ortholog_one2one	98.8506	98.8506		100.00	1
RNU4-51P	U4	ortholog_one2one	97.1429	97.1429		100.00	1
		ortholog_one2one	97.1429	97.1429		100.00	1
		ortholog_one2one	100	100		100.00	1
RNU6-746P	U6	ortholog_one2one	99.0826	99.0826		100.00	1
		ortholog_one2many	96.8254	96.519	50	100.00	1
PAQR8	PAQR8	ortholog_one2one	100	100	100	100.00	1
							
RNU6-1305P	U6	ortholog_one2one	97.1154	97.1154		100.00	1
		ortholog_one2one	84.4156	74.7126		0.00	0
RNU6-603P	U6	ortholog_one2one	96.2617	96.2617		100.00	1
IFNW1	IFNW1	ortholog_one2one	96.5	98.9744	100	100.00	1
RNU1-105P	U1	ortholog_one2one	98.1366	98.1366		100.00	1
ptr-mir-501	MIR501	ortholog_one2many	98.8095	98.8095		0.00	0
TSSK6	TSSK6	ortholog_one2many	99.2674	99.2674	100	100.00	1
RN7SL215P	Metazoa_SRP	ortholog_one2one	99.3266	98.9933		100.00	1
RNU4-35P	U4	ortholog_one2one	97.1631	97.1631		100.00	1
		ortholog_one2one	98.8636	98.8636		100.00	1
MIR199A2	ggo-mir-199a	ortholog_one2one	100	100		100.00	1
RNU6-501P	U6	ortholog_one2one	96	96		100.00	1
EIF4G1	EIF4G1	ortholog_one2one	99.2944	96.5689	50	100.00	1
RNU6-768P	U6	ortholog_one2one	100	100		100.00	1
U1							
CLDN9	CLDN9	ortholog_one2many	99.0783	99.0783	25	0.00	0
ptr-mir-501	MIR501	ortholog_one2many	98.8095	98.8095		100.00	1
GP5							
RNU6-897P	U6	ortholog_one2one	98.0952	98.0952		100.00	1
MIR185	MIR185	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	96.3415	91.8605		100.00	1
U6	U6	ortholog_one2many	97	97		0.00	0
RNU4-12P	U4	ortholog_one2one	97.1223	97.1223		100.00	1
RNU6-680P	U6	ortholog_one2one	96.1905	94.3925		100.00	1
ALG5	ALG5	ortholog_one2one	83.1606	99.0741	100	100.00	1
IFNA21							
U1							
							
MIR490	MIR490	ortholog_one2one	99.2188	99.2188		100.00	1
IFT27	IFT27	ortholog_one2one	94.086	92.5926	100	100.00	1
		ortholog_one2many	100	100		100.00	1
		ortholog_one2many	100	100		0.00	0
		ortholog_one2many	90.7895	79.3103		0.00	0
RNU6-169P	U6	ortholog_one2one	97.1963	97.1963		100.00	1
ptr-mir-618		ortholog_one2one	98.9691	97.9592		100.00	1
U4	U4	ortholog_one2one	98.5401	98.5401		100.00	1
U6							
U1							
NKX2-2	NKX2-2	ortholog_one2one	100	100	100	100.00	1
MIR1185-1	MIR1185-1	ortholog_one2one	100	100		100.00	1
