Gene name	Human gene name	Human homology type	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human Gene-order conservation score	Human Whole-genome alignment coverage	Human orthology confidence [0 low, 1 high]
							
U6	RNU6-788P	ortholog_one2one	89.3204	88.4615		100.00	1
TAF1A	TAF1A	ortholog_one2one	96.0089	96.2222	100	100.00	1
C1H1orf210	C1orf210	ortholog_one2one	98.2301	98.2301	100	100.00	1
							
EPHB1	EPHB1	ortholog_one2one	99.6951	99.6951	100	100.00	1
							
LRRC7	LRRC7	ortholog_one2one	99.4795	97.0794	100	100.00	1
ALDH4A1	ALDH4A1	ortholog_one2one	97.6909	97.6909	100	100.00	1
TBCE	TBCE	ortholog_one2one	85.1211	93.3586	100	100.00	1
U6	RNU6-922P	ortholog_one2one	94.898	93.9394		100.00	1
PRR20G	PRR20G	ortholog_one2one	75.5981	75.2381	100	100.00	1
MTHFR	MTHFR	ortholog_one2one	91.9656	97.7134	100	100.00	1
U6	RNU6-1047P	ortholog_one2one	94	87.8505		100.00	1
SSX2IP	SSX2IP	ortholog_one2one	98.3713	98.3713	100	100.00	1
UBE2E2	UBE2E2	ortholog_one2one	100	100	100	100.00	1
							
Metazoa_SRP							
							
							
TMEM125	TMEM125	ortholog_one2one	98.6301	98.6301	100	100.00	1
SORT1	SORT1	ortholog_one2one	93.508	98.7966	100	100.00	1
							
							
SCP2	SCP2	ortholog_one2one	97.8062	97.8062	100	100.00	1
Metazoa_SRP	RN7SL538P	ortholog_one2one	88.3495	89.8026		100.00	1
							
Y_RNA	Y_RNA	ortholog_one2one	90.3846	90.3846		100.00	1
							
U2	RNU2-70P	ortholog_one2one	85.2632	90.5028		100.00	1
CLCC1	CLCC1	ortholog_one2one	96.1888	96.1888	75	100.00	1
C1H1orf167	C1orf167	ortholog_one2one	85.8901	72.2567	100	100.00	1
							
MIA3	MIA3	ortholog_one2one	88.6443	92.9208	100	100.00	1
							
	RPL6	ortholog_one2many	87.5	89.9306	0	0.00	0
							
U3	U3	ortholog_one2one	92.5926	92.5926		100.00	1
	RPL31	ortholog_one2one	100	100	0	0.00	0
Y_RNA	Y_RNA	ortholog_one2one	89.5833	83.4951		100.00	1
							
TAS1R2	TAS1R2	ortholog_one2one	92.0143	92.0143	100	100.00	1
RBBP4	RBBP4	ortholog_one2many	92.9062	95.5294	100	100.00	1
PUM1	PUM1	ortholog_one2one	100	100	100	100.00	1
							
CTBS	CTBS	ortholog_one2one	95.288	94.5455	100	100.00	1
							
							
Metazoa_SRP							
U6	RNU6-1233P	ortholog_one2one	85.9813	90.1961		100.00	1
GPR137B	GPR137B	ortholog_one2one	99.7396	95.99	100	100.00	1
							
AKNAD1	AKNAD1	ortholog_one2one	91.7167	91.3876	100	100.00	1
MAB21L3	MAB21L3	ortholog_one2one	94.7514	94.7514	100	100.00	1
Metazoa_SRP							
							
							
							
							
		ortholog_one2one	96	96		100.00	1
U6	RNU6-1317P	ortholog_one2one	97.1154	97.1154		100.00	1
							
Metazoa_SRP							
Metazoa_SRP							
	MED24	ortholog_one2many	96.3158	92.5177	0	7.32	0
CFAP57	CFAP57	ortholog_one2one	96.6222	98.4	100	100.00	1
SPATA1	SPATA1	ortholog_one2one	87.1739	91.1364	100	100.00	1
SLC15A2	SLC15A2	ortholog_one2one	97.5309	97.5309	100	100.00	1
Metazoa_SRP							
mml-mir-1255b	MIR1255B2	ortholog_one2one	49.1071	82.0896		100.00	0
AGTRAP	AGTRAP	ortholog_one2one	96.2264	96.2264	100	100.00	1
PLXNA1	PLXNA1	ortholog_one2one	93.598	99.4726	100	100.00	1
MAP6D1							
MYBPHL	MYBPHL	ortholog_one2one	98.0226	98.0226	100	100.00	1
SLC45A1	SLC45A1	ortholog_one2one	98.7968	98.7968	100	100.00	1
PAX7	PAX7	ortholog_one2one	99.6024	99.2079	100	100.00	1
							
ZBED2	ZBED2	ortholog_one2one	95.8716	95.8716	100	100.00	1
Metazoa_SRP							
DRAXIN	DRAXIN	ortholog_one2one	97.1347	97.1347	75	100.00	1
DEPDC1	DEPDC1	ortholog_one2one	96.9174	96.9174	100	100.00	1
NID1	NID1	ortholog_one2one	97.5942	97.5942	100	100.00	1
Metazoa_SRP							
Y_RNA	Y_RNA	ortholog_one2one	92.0354	92.0354		100.00	1
SLC22A15	SLC22A15	ortholog_one2one	99.0859	99.0859	100	100.00	1
							
GNG5	GNG5	ortholog_one2one	100	100	100	100.00	1
Metazoa_SRP							
GPSM2	GPSM2	ortholog_one2one	98.2507	98.538	100	100.00	1
GPR161	GPR161	ortholog_one2one	89.81	98.2987	100	100.00	1
COL6A2	COL6A2	ortholog_one2one	97.6448	97.6448	100	100.00	1
U6	RNU6-991P	ortholog_one2one	89.3204	85.9813		100.00	1
PARL	PARL	ortholog_one2one	83.5784	89.9736	100	100.00	1
							
							
AIDA	AIDA	ortholog_one2one	100	100	100	100.00	1
Metazoa_SRP							
							
							
PSRC1	PSRC1	ortholog_one2one	96.0843	95.7958	100	100.00	1
							
							
MAD2L2	MAD2L2	ortholog_one2one	93.8679	94.3128	100	100.00	1
U1	RNU1-7P	ortholog_one2one	92.638	92.0732		100.00	1
DNASE2B	DNASE2B	ortholog_one2one	97.5069	97.5069	100	100.00	1
KLHDC7A	KLHDC7A	ortholog_one2one	88.5642	89.704	100	100.00	1
NECTIN3	NECTIN3	ortholog_one2one	99.4536	99.4536	75	100.00	1
							
							
							
STXBP3	STXBP3	ortholog_one2one	98.9865	98.9865	75	100.00	1
ZBTB8OS	ZBTB8OS	ortholog_one2one	92.1788	98.8024	100	100.00	1
							
UOX							
TIPRL	TIPRL	ortholog_one2many	99.6324	99.6324	100	100.00	1
BROX	BROX	ortholog_one2one	99.2701	99.2701	100	100.00	1
							
RPE65	RPE65	ortholog_one2one	99.8124	99.8124	100	100.00	1
							
Y_RNA	Y_RNA	ortholog_one2one	97.0588	97.0588		100.00	1
NHLH2	NHLH2	ortholog_one2one	100	100	100	100.00	1
							
Metazoa_SRP							
FAM177B	FAM177B	ortholog_one2one	92.4051	92.4051	100	100.00	1
IGSF21	IGSF21	ortholog_one2one	92.2156	98.9293	100	100.00	1
							
Metazoa_SRP							
CREB5	CREB5	ortholog_one2one	99.8031	99.8031	100	100.00	1
CACNA1D	CACNA1D	ortholog_one2one	98.0284	98.9357	100	100.00	1
CASQ2	CASQ2	ortholog_one2one	86.9955	97.2431	100	100.00	1
SAMD13	SAMD13	ortholog_one2one	87.931	100	100	100.00	1
CELSR2	CELSR2	ortholog_one2one	98.7697	98.871	100	100.00	1
ERRFI1	ERRFI1	ortholog_one2one	98.2684	98.2684	100	100.00	1
							
							
		ortholog_one2one	96.3504	96.3504		100.00	1
							
FBXO6	FBXO6	ortholog_one2one	52.8037	77.1331	100	100.00	1
							
							
ZBTB8A	ZBTB8A	ortholog_one2one	98.4127	98.4127	100	100.00	1
U6							
DISP1	DISP1	ortholog_one2one	97.4393	97.3753	100	100.00	1
FNDC7	FNDC7	ortholog_one2one	95.7708	95.7708	100	100.00	1
SFT2D2	SFT2D2	ortholog_one2one	81.25	89.375	75	100.00	1
							
Y_RNA	Y_RNA	ortholog_one2one	94.1176	95.0495		100.00	1
							
							
							
VANGL1	VANGL1	ortholog_one2one	93.0841	95.0382	100	100.00	1
							
							
PARK7	PARK7	ortholog_one2one	100	100	100	100.00	1
							
							
							
PRKACB	PRKACB	ortholog_one2one	99.7487	99.7487	100	100.00	1
							
PRPF38B	PRPF38B	ortholog_one2one	99.2674	99.2674	100	100.00	1
SDC3	SDC3	ortholog_one2one	85.9611	90.0452	100	100.00	1
		ortholog_one2one	89.5522	89.5522		100.00	1
Metazoa_SRP							
							
							
JAZF1	JAZF1	ortholog_one2one	86.6397	88.0658	100	100.00	1
CHCHD6	CHCHD6	ortholog_one2one	63.6054	79.5745	100	100.00	1
EAF2	EAF2	ortholog_one2one	96.9349	97.3077	100	100.00	1
							
							
NGF	NGF	ortholog_one2one	80.9524	98.7552	100	100.00	1
FBXO44	FBXO44	ortholog_one2one	100	100	75	100.00	1
							
EBNA1BP2	EBNA1BP2	ortholog_one2one	91.2121	98.366	100	100.00	1
							
							
							
ECHDC2	ECHDC2	ortholog_one2one	96.9178	96.9178	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	97.0874	97.0874		100.00	1
SARS1	SARS1	ortholog_one2one	94.7761	98.8327	100	100.00	1
WLS	WLS	ortholog_one2one	92.4771	93.1608	100	100.00	1
							
							
							
TLR5	TLR5	ortholog_one2one	94.9458	91.958	100	100.00	1
U6	RNU6-979P	ortholog_one2one	98.1308	98.1308		100.00	1
ZNF385D	ZNF385D	ortholog_one2one	100	100	100	100.00	1
IQCB1	IQCB1	ortholog_one2one	96.99	96.99	100	100.00	1
Metazoa_SRP							
mml-mir-7184							
ZYG11A	ZYG11A	ortholog_one2one	95.5204	95.5204	100	100.00	1
TNFRSF9	TNFRSF9	ortholog_one2one	95.2756	94.902	100	100.00	1
U6	RNU6-1310P	ortholog_one2one	91.2621	87.8505		100.00	1
CFAP144	CFAP144	ortholog_one2one	94.0299	94.0299	100	100.00	1
Metazoa_SRP							
							
HENMT1	HENMT1	ortholog_one2one	85.2941	95.9288	75	100.00	1
DPPA4	DPPA4	ortholog_one2one	95.0166	94.0789	100	100.00	1
							
LAPTM5	LAPTM5	ortholog_one2one	78.2334	94.6565	100	100.00	1
LDLRAD2	LDLRAD2	ortholog_one2one	93.7269	93.3824	100	100.00	1
							
ABCC5	ABCC5	ortholog_one2one	99.7216	99.7216	100	100.00	1
							
Metazoa_SRP							
U6	U6	ortholog_one2one	94.382	94.382		100.00	1
Metazoa_SRP							
DPPA2	DPPA2	ortholog_one2many	95.6376	95.6376	100	100.00	1
SUSD4	SUSD4	ortholog_one2one	95.723	95.9184	100	100.00	1
UTS2	UTS2	ortholog_one2one	92	92.7419	100	100.00	1
U6	RNU6-880P	ortholog_one2one	89.7196	89.7196		100.00	1
U6	RNU6-1236P	ortholog_one2one	93.9394	93.9394		100.00	1
							
TTLL7	TTLL7	ortholog_one2one	98.4323	99.0981	100	100.00	1
	ELAPOR1	ortholog_one2many	96.1988	97.4334	100	100.00	1
C2H3orf85	C3orf85	ortholog_one2one	93.3333	93.3333	100	100.00	1
ZYG11B	ZYG11B	ortholog_one2one	98.6631	99.1936	100	100.00	1
GGPS1	GGPS1	ortholog_one2one	99	99	100	100.00	1
Metazoa_SRP							
SLC2A1	SLC2A1	ortholog_one2one	72.4963	98.5772	100	100.00	1
GOLGB1	GOLGB1	ortholog_one2one	96.1138	96.2316	100	100.00	1
PER3	PER3	ortholog_one2one	92.5297	90.0826	100	100.00	1
MATN1	MATN1	ortholog_one2one	98.1818	97.9839	100	100.00	1
MORC1							
FBXO2	FBXO2	ortholog_one2one	87.156	96.2838	100	100.00	1
CFAP276	CFAP276	ortholog_one2one	89.8089	83.432	100	100.00	1
mml-mir-1262							
TAX1BP1	TAX1BP1	ortholog_one2one	94.5	95.8175	100	100.00	1
DIRAS3	DIRAS3	ortholog_one2one	91.6667	91.2664	100	100.00	1
							
							
U6	RNU6-969P	ortholog_one2one	92.381	92.381		100.00	1
EEIG2	EEIG2	ortholog_one2one	99.4444	99.4444	75	100.00	1
U4							
PSMG1	PSMG1	ortholog_one2one	97.5694	97.5694	100	100.00	1
SETD2	SETD2	ortholog_one2one	97.7388	97.7769	100	100.00	1
TMEM167B							
							
CCDC185	CCDC185	ortholog_one2one	94.8636	94.8636	100	100.00	1
							
ARID4B	ARID4B	ortholog_one2one	98.1791	98.6281	100	100.00	1
U2							
RBIS	RBIS	ortholog_one2many	93	93	0	0.00	0
GNG12							
							
Metazoa_SRP	RN7SL62P	ortholog_one2one	93.6027	93.6027		100.00	1
U3	U3	ortholog_one2one	82.9016	76.9231		100.00	1
							
							
U7	RNU7-80P	ortholog_one2one	90.1639	90.1639		100.00	1
COA7	COA7	ortholog_one2one	75.3623	90.0433	100	100.00	1
GUCA1C	GUCA1C	ortholog_one2one	93.3333	93.7799	100	100.00	1
							
							
GADD45A	GADD45A	ortholog_one2one	99.3939	99.3939	100	100.00	1
Metazoa_SRP							
USP48	USP48	ortholog_one2one	90.9519	93.2367	100	100.00	1
Metazoa_SRP							
Metazoa_SRP							
TRAT1	TRAT1	ortholog_one2one	93.5829	94.086	100	100.00	1
Metazoa_SRP	RN7SL392P	ortholog_one2one	91	91.3043		100.00	1
Metazoa_SRP							
							
							
ZNF691	ZNF691	ortholog_one2one	86.4307	93.0159	100	100.00	1
SHISAL2A	SHISAL2A	ortholog_one2one	77.6824	95.2632	100	100.00	1
							
DISP3	DISP3	ortholog_one2one	97.8433	97.773	100	100.00	1
							
U6	RNU6-1031P	ortholog_one2one	94.3925	94.3925		100.00	1
							
							
							
RETNLB	RETNLB	ortholog_one2one	87.3874	87.3874	100	100.00	1
GPX7	GPX7	ortholog_one2one	96.7391	95.1872	100	100.00	1
Metazoa_SRP							
							
							
							
							
							
SERBP1	SERBP1	ortholog_one2one	99.7455	99.7455	100	100.00	1
							
							
							
							
							
RBM34	RBM34	ortholog_one2one	93.6768	93.0233	100	100.00	1
							
							
ETS2	ETS2	ortholog_one2one	99.3603	99.3603	100	100.00	1
							
U6	RNU6-387P	ortholog_one2one	92.381	92.381		100.00	1
							
Metazoa_SRP							
							
Metazoa_SRP							
HIBADH	HIBADH	ortholog_one2one	99.4048	99.4048	100	100.00	1
NBPF6	NBPF6	ortholog_many2many	82.2047	81.8182	100	99.47	1
NBPF6	NBPF4	ortholog_many2many	82.3622	81.9749	0	78.53	1
SEC16B	SEC16B	ortholog_one2one	93.8737	93.9623	100	100.00	1
IL12RB2	IL12RB2	ortholog_one2one	93.6269	93.7355	100	100.00	1
							
UBIAD1	UBIAD1	ortholog_one2one	99.1124	99.1124	75	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	69.697	71.134		100.00	1
DZIP3	DZIP3	ortholog_one2one	94.659	95.3642	100	100.00	1
VAMP3	VAMP3	ortholog_one2one	75	84	100	100.00	1
TOMM20	TOMM20	ortholog_one2one	100	100	100	100.00	1
							
IMPG2	IMPG2	ortholog_one2one	96.9404	97.0185	100	100.00	1
							
	RIDA	ortholog_one2many	55.9211	62.0438	0	0.00	0
SNORA14B	SNORA14B	ortholog_one2one	99.2593	99.2593		100.00	1
							
Metazoa_SRP							
COL6A1	COL6A1	ortholog_one2one	98.1517	98.1517	100	100.00	1
							
IL23R	IL23R	ortholog_one2one	94.4356	94.4356	100	100.00	1
Metazoa_SRP							
							
							
ERMAP	ERMAP	ortholog_one2one	82.9222	92	100	100.00	1
Y_RNA							
							
							
ERG	ERG	ortholog_one2one	97.9424	99.3737	100	100.00	1
U6	RNU6-865P	ortholog_one2one	87.156	88.785		100.00	1
Metazoa_SRP							
HCLS1	HCLS1	ortholog_one2one	83.3031	94.4444	100	100.00	1
							
CAMTA1	CAMTA1	ortholog_one2one	99.5218	99.5218	100	100.00	1
							
Metazoa_SRP							
EVX1	EVX1	ortholog_one2one	98.7745	99.0172	100	100.00	1
							
MTOR	MTOR	ortholog_one2one	99.8819	99.5685	100	100.00	1
							
Metazoa_SRP	RN7SL668P	ortholog_one2one	91.7763	92.0792		100.00	1
							
							
CIP2A	CIP2A	ortholog_one2one	98.3444	98.453	100	100.00	1
							
HOXA13	HOXA13	ortholog_one2one	100	58.2474	100	100.00	1
KIF9	KIF9	ortholog_one2one	98.042	88.7342	100	100.00	1
SVBP	SVBP	ortholog_one2one	98.4848	98.4848	100	100.00	1
U4	RNU4-62P	ortholog_one2one	89.2562	83.0769		100.00	1
U1	RNU1-8P	ortholog_one2one	87.8788	87.8788		100.00	1
							
ADGRL2	ADGRL2	ortholog_one2one	97.9716	98.6385	100	100.00	1
Metazoa_SRP	RN7SL172P	ortholog_one2one	92.4837	93.3993		100.00	1
Metazoa_SRP							
							
							
HOXA11	HOXA11	ortholog_one2one	99.6785	99.0415	100	100.00	1
TUT4	TUT4	ortholog_one2one	98.0344	97.0213	100	100.00	1
TRIM46	TRIM46	ortholog_one2one	99.7365	99.7365	100	100.00	1
FBXO40	FBXO40	ortholog_one2one	93.6228	97.3202	100	100.00	1
KCNJ15	KCNJ15	ortholog_one2one	99.4667	99.4667	100	100.00	1
TMEM269							
SNORA70	SNORA70	ortholog_one2one	94.0741	94.7761		100.00	1
IRF2BP2	IRF2BP2	ortholog_one2one	99.4889	99.4889	100	100.00	1
HOXA10	HOXA10	ortholog_one2one	96.3415	96.3415	100	100.00	1
KLHL18	KLHL18	ortholog_one2one	99.4773	99.4773	100	100.00	1
C1H1orf141	C1orf141	ortholog_one2one	77.707	91.5	100	100.00	1
SLC25A24	SLC25A24	ortholog_one2one	99.1614	99.1614	75	100.00	1
RASAL2	RASAL2	ortholog_one2one	99.6094	99.6094	100	100.00	1
MIR196B	MIR196B	ortholog_one2one	98.8235	100		100.00	1
							
							
U8	U8	ortholog_one2one	87.5969	88.2812		100.00	1
							
HOXA9	HOXA9	ortholog_one2one	99.2647	99.2647	100	100.00	1
							
MYH15	MYH15	ortholog_one2one	95.527	96.4694	100	100.00	1
HOXA7	HOXA7	ortholog_one2one	97.8261	97.8261	100	100.00	1
KCNJ6	KCNJ6	ortholog_one2one	100	100	100	100.00	1
		ortholog_one2one	96.2963	96.2963		100.00	1
C1H1orf50	C1orf50	ortholog_one2one	78.9238	88.4422	100	100.00	1
DNAJC11	DNAJC11	ortholog_one2one	94.8893	99.6422	100	100.00	1
U7							
HOXA6	HOXA6	ortholog_one2one	71.7054	79.3991	100	100.00	1
POLQ	POLQ	ortholog_one2one	93.9727	95.7143	100	100.00	1
U6	RNU6-291P	ortholog_one2one	95.3271	95.3271		100.00	1
SLC35D1	SLC35D1	ortholog_one2one	99.3846	90.9859	100	100.00	1
KRTCAP2	KRTCAP2	ortholog_one2one	83.9506	100	100	100.00	1
HOXA5	HOXA5	ortholog_one2one	70.3412	99.2593	100	100.00	1
PTPN23	PTPN23	ortholog_one2one	97.8554	97.6161	100	100.00	1
ANGPTL7	ANGPTL7	ortholog_one2one	98.8372	98.2659	100	100.00	1
TARBP1	TARBP1	ortholog_one2one	96.7304	96.7304	100	100.00	1
U7							
U6	RNU6-948P	ortholog_one2one	95.3271	95.3271		100.00	1
							
HOXA4	HOXA4	ortholog_one2one	96.5625	96.5625	100	100.00	1
HHLA2	HHLA2	ortholog_one2one	81.2048	81.401	100	100.00	1
P3H1	P3H1	ortholog_one2one	98.0978	98.0978	100	100.00	1
HOXA3	HOXA3	ortholog_one2one	98.1941	98.1941	100	100.00	1
SLC50A1	SLC50A1	ortholog_one2one	99.095	99.095	100	100.00	1
Metazoa_SRP							
U6	RNU6-162P	ortholog_many2many	93.2039	93.2039		0.00	0
U6	RNU6-267P	ortholog_many2many	94.1748	94.1748		0.00	0
HOXA2	HOXA2	ortholog_one2one	98.3957	97.8723	100	100.00	1
							
U6	RNU6-85P	ortholog_one2one	95.3271	95.3271		100.00	1
							
HTR3D	HTR3D	ortholog_one2one	69.3182	75.495	100	100.00	1
							
							
SLC30A7	SLC30A7	ortholog_one2one	99.734	99.734	100	100.00	1
HOXA1	HOXA1	ortholog_one2one	98.806	98.806	100	100.00	1
IFT57	IFT57	ortholog_one2one	96.5831	98.8345	100	100.00	1
							
							
DYRK1A	DYRK1A	ortholog_one2one	98.2962	99.4695	100	100.00	1
							
CLDN19	CLDN19	ortholog_one2one	100	100	100	100.00	1
EFNA1	EFNA1	ortholog_one2one	97.561	97.561	100	100.00	1
							
VAV3	VAV3	ortholog_one2one	69.5922	92.68	75	100.00	1
							
							
Metazoa_SRP							
							
HTR3C	HTR3C	ortholog_one2one	87.5	84.5638	100	99.54	1
							
EXOSC10	EXOSC10	ortholog_one2one	88.4698	92.7684	75	100.00	1
							
CLEC20A	CLEC20A	ortholog_one2one	92.4812	92.25	100	100.00	1
Metazoa_SRP							
mml-mir-490	MIR490	ortholog_one2one	100	100		100.00	1
Metazoa_SRP							
							
							
Y_RNA	Y_RNA	ortholog_one2one	92.9204	92.9204		100.00	1
							
							
							
mml-mir-206	MIR206	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	94.4954	94.4954		100.00	1
YBX1							
THAP3	THAP3	ortholog_one2one	57.2993	65.6904	100	100.00	1
HTR3E	HTR3E	ortholog_one2one	85.2381	78.5088	100	100.00	1
MIER1	MIER1	ortholog_one2one	86.0696	91.8584	100	100.00	1
TEX35	TEX35	ortholog_one2one	62.6712	78.5408	100	100.00	1
Metazoa_SRP							
SCAP	SCAP	ortholog_one2one	87.2059	92.7287	100	100.00	1
							
Metazoa_SRP							
Metazoa_SRP							
							
RAP1GAP	RAP1GAP	ortholog_one2one	77.4912	99.6983	100	100.00	1
PHF13	PHF13	ortholog_one2one	93.4853	95.6667	100	100.00	1
SKAP2	SKAP2	ortholog_one2one	98.3287	98.3287	100	100.00	1
CHDH	CHDH	ortholog_one2one	96.8013	96.8013	100	100.00	1
PCBP3	PCBP3	ortholog_one2one	93.9086	99.7305	100	100.00	1
EIF2B5	EIF2B5	ortholog_one2one	98.1969	98.1969	100	100.00	1
PPIH	PPIH	ortholog_one2one	100	100	100	100.00	1
							
KLHL21	KLHL21	ortholog_one2one	99.4975	99.4975	100	100.00	1
							
SRM	SRM	ortholog_one2many	99.6689	99.6689	100	100.00	1
U3	U3	ortholog_one2one	86.6667	86.2559		100.00	1
CD1A	CD1A	ortholog_one2one	86.5443	86.5443	100	100.00	1
							
							
							
							
U6	RNU6-469P	ortholog_one2one	92.0792	92.0792		100.00	1
							
							
							
							
IL17RB	IL17RB	ortholog_one2many	95.8167	95.8167	100	100.00	1
							
Metazoa_SRP							
							
CD1D	CD1D	ortholog_one2one	92.5816	93.1343	100	100.00	1
Metazoa_SRP	RN7SL415P	ortholog_one2one	95.1557	95.1557		100.00	1
ELP6	ELP6	ortholog_one2one	93.985	93.985	100	100.00	1
							
U6	RNU6-3P	ortholog_one2one	100	100		0.00	0
CD47	CD47	ortholog_one2one	82.2222	91.6409	100	100.00	1
MASP2	MASP2	ortholog_one2one	95.3353	95.3353	100	100.00	1
COA6	COA6	ortholog_one2one	96.0784	94.8387	100	100.00	1
							
U6	RNU6-608P	ortholog_one2one	92.381	93.2692		100.00	1
ZBTB48	ZBTB48	ortholog_one2one	83.5526	92.2965	100	100.00	1
							
							
VPS26C	VPS26C	ortholog_one2one	99.3266	99.3266	100	100.00	1
							
EFNA3	EFNA3	ortholog_one2one	100	100	100	100.00	1
RALGPS2	RALGPS2	ortholog_one2one	99.6569	99.6569	100	100.00	1
							
ACTR8	ACTR8	ortholog_one2many	99.6795	99.6795	100	100.00	1
CCDC30	CCDC30	ortholog_one2one	86.2179	86.0341	100	100.00	1
							
							
							
							
Metazoa_SRP							
AKIRIN1	AKIRIN1	ortholog_one2one	99.4819	100	100	100.00	1
							
Metazoa_SRP							
ABI3BP	ABI3BP	ortholog_one2one	96.4367	95.4647	100	100.00	1
Metazoa_SRP	RN7SL366P	ortholog_one2one	87.7133	88.0137		100.00	1
DVL3	DVL3	ortholog_one2one	99.8603	99.8603	100	100.00	1
							
TARDBP	TARDBP	ortholog_one2one	99.7585	99.7585	100	100.00	1
PRPF38A	PRPF38A	ortholog_one2one	100	100	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	94.0594	94.0594		100.00	1
SNX10	SNX10	ortholog_one2one	85.9031	97.0149	100	100.00	1
KIRREL1	KIRREL1	ortholog_one2one	98.285	98.4148	100	100.00	1
SLC35F3	SLC35F3	ortholog_one2one	99.5918	99.5918	100	100.00	1
							
							
							
SELENOK	SELENOK	ortholog_one2one	100	96.8085	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	63.3803	78.9474		0.00	0
TAS1R1	TAS1R1	ortholog_one2one	93.3413	93.3413	100	100.00	1
STXBP5L	STXBP5L	ortholog_one2one	92.3333	95.3528	100	100.00	1
Y_RNA							
RHBDL2	RHBDL2	ortholog_one2one	98.3498	98.3498	100	100.00	1
							
Metazoa_SRP							
							
DNAI4	DNAI4	ortholog_one2one	95.1594	95.0472	100	100.00	1
NOL9	NOL9	ortholog_one2one	96.8571	96.5812	100	100.00	1
U6							
C1H1orf127	C1orf127	ortholog_one2one	86.4634	86.1482	100	100.00	1
ORC1	ORC1	ortholog_one2one	94.8718	94.5412	100	100.00	1
							
							
U6	RNU6-605P	ortholog_one2one	85.5856	87.963		100.00	1
SNORA70							
PPCS	PPCS	ortholog_one2one	88.6628	98.0707	100	98.27	1
ANGPTL1	ANGPTL1	ortholog_one2one	99.389	99.389	100	100.00	1
							
Metazoa_SRP	RN7SL492P	ortholog_one2one	93.2432	93.5593		100.00	1
							
U2	RNU2-18P	ortholog_one2one	42.7808	49.3827		0.00	0
							
							
							
MYCBP	MYCBP	ortholog_one2one	81.746	100	100	100.00	1
Metazoa_SRP							
							
							
U6	RNU6-731P	ortholog_one2one	79.0909	78.3784		100.00	1
INSL5	INSL5	ortholog_one2one	95.5556	95.5556	100	100.00	1
NTNG1	NTNG1	ortholog_one2one	92.7711	100	100	100.00	1
U7							
							
							
							
Metazoa_SRP							
Metazoa_SRP							
CBX3							
ZMYND12	ZMYND12	ortholog_one2one	97.5342	97.5342	100	100.00	1
							
							
Metazoa_SRP							
KCNK1	KCNK1	ortholog_one2one	99.7024	99.7024	100	100.00	1
							
AP2M1	AP2M1	ortholog_one2one	94.7712	100	100	100.00	1
DYNLT5	DYNLT5	ortholog_one2one	92.1788	92.1788	100	100.00	1
							
CD5L	CD5L	ortholog_one2one	86.7036	90.2017	100	100.00	1
RRAGC	RRAGC	ortholog_one2one	100	100	100	100.00	1
							
							
							
							
U4	RNU4-77P	ortholog_one2one	59.7701	66.6667		100.00	1
							
FAM20B	FAM20B	ortholog_one2one	98.7775	98.7775	100	100.00	1
PLEKHG5	PLEKHG5	ortholog_one2one	83.4632	95.8251	100	100.00	1
CC2D1B	CC2D1B	ortholog_one2one	96.0141	96.1268	100	100.00	1
BHLHE40	BHLHE40	ortholog_one2one	63.0745	96.6019	100	100.00	1
SLC19A1	SLC19A1	ortholog_one2one	92.1502	91.3706	100	100.00	1
RIMKLA	RIMKLA	ortholog_one2one	99.4885	99.4885	100	100.00	1
TTC3	TTC3	ortholog_one2one	95.495	95.2593	100	100.00	1
ALPL	ALPL	ortholog_one2one	97.3282	97.3282	100	100.00	1
MAP3K21	MAP3K21	ortholog_one2one	94.9038	95.2703	100	100.00	1
							
FCRL1	FCRL1	ortholog_one2one	83.5556	87.6457	100	100.00	1
							
CASZ1	CASZ1	ortholog_one2one	92.0213	98.3513	100	100.00	1
TOR3A	TOR3A	ortholog_one2one	93.7811	94.9622	100	100.00	1
							
							
							
							
ABCF3	ABCF3	ortholog_one2one	99.2515	93.512	100	100.00	1
Metazoa_SRP							
							
							
							
Y_RNA	Y_RNA	ortholog_one2one	94.1176	94.1176		100.00	1
Metazoa_SRP							
TNFRSF25	TNFRSF25	ortholog_one2one	78.5398	85.1319	100	100.00	1
HNRNPA2B1	HNRNPA2B1	ortholog_one2one	82.0163	88.2698	100	100.00	1
							
U2							
SGIP1	SGIP1	ortholog_one2one	99.1546	99.1546	100	100.00	1
FCRL2	FCRL2	ortholog_one2one	91.3215	91.1417	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	79.4872	31.1037		0.00	0
ABL2	ABL2	ortholog_one2one	99.2386	99.2386	100	100.00	1
GTF2E1	GTF2E1	ortholog_one2one	96	98.4055	100	100.00	1
ARL8B							
FOXJ3	FOXJ3	ortholog_one2one	99.6785	99.6785	100	100.00	1
PRMT6	PRMT6	ortholog_one2one	99.7333	99.7333	100	100.00	1
							
Metazoa_SRP							
PIGP	PIGP	ortholog_one2one	33.5038	97.7612	100	100.00	0
