Gene name	Mouse Lemur gene name	Mouse Lemur homology type	%id. target Mouse Lemur gene identical to query gene	%id. query gene identical to target Mouse Lemur gene	Mouse Lemur Gene-order conservation score	Mouse Lemur Whole-genome alignment coverage	Mouse Lemur orthology confidence [0 low, 1 high]
DOCK3	DOCK3	ortholog_one2one	99.1626	99.2114	100	99.99	1
MTND1P5							
YAP1P3							
CCN3	NOV	ortholog_one2one	93.2773	93.2773	100	100.00	1
KRT18P50							
EEF1A1P42							
NDUFAB1P1							
							
							
PEX3	PEX3	ortholog_one2one	98.1233	98.1233	100	100.00	1
ASXL3-DT							
DYNAPP2							
DYNAPP3							
DYNAP	DYNAP	ortholog_one2one	60.3261	58.4211	100	100.00	1
							
							
RPL5P2							
SPINT3							
							
ACTG1P19							
SRL	SRL	ortholog_one2one	95.7717	54.3818	100	100.00	1
OLFML2A	OLFML2A	ortholog_one2one	90.4908	90.9091	100	100.00	1
							
NRBF2P4							
							
SUMO2P20							
NOL4	NOL4	ortholog_one2one	98.1191	98.1191	100	100.00	1
EPPIN-WFDC6							
TMEM74							
ZCRB1P1							
Metazoa_SRP							
							
PABPN1P1							
Y_RNA	Y_RNA	ortholog_one2many	89.2157	89.2157		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	88.2353	89.1089		0.00	0
SOCS6P1							
							
CXCR3	CXCR3	ortholog_one2one	89.9457	81.1274	100	100.00	1
FBXO32	FBXO32	ortholog_one2one	99.1549	99.1549	100	100.00	1
							
							
TRIM51FP							
GRM5P1							
USP3	USP3	ortholog_one2one	98.6538	98.6538	100	100.00	1
RAC1P9							
SOCS5P1							
							
							
ASB4	ASB4	ortholog_one2one	97.4178	97.4178	100	100.00	1
CLIC2							
							
CAPN14	CAPN14	ortholog_one2one	81.4327	81.1953	100	100.00	1
GRM5P1							
							
HSPD1P21							
EPPIN		ortholog_one2one	40.6015	60	50	87.56	0
C14orf93	C3H14orf93	ortholog_one2one	94.9814	94.8052	100	100.00	1
GLIS2	GLIS2	ortholog_one2one	97.1374	97.1374	100	100.00	1
HSF2	HSF2	ortholog_one2one	97.7612	97.7612	100	100.00	1
HMGB3P21							
DDX43P3							
SF3A1	SF3A1	ortholog_one2one	99.1173	99.2424	100	100.00	1
RBM48	RBM48	ortholog_one2many	75.7493	77.8711	100	100.00	1
RBM48		ortholog_one2many	75.7493	78.0899	0	0.00	0
RNU6-123P	U6	ortholog_one2many	74.5098	66.6667		0.00	0
RNU6-926P	U6	ortholog_one2many	79.4393	79.4393		0.00	0
KRTAP10-12							
TWF1P2							
PHF10P1							
SRD5A2P1							
MIR1184-2							
LTN1	LTN1	ortholog_one2one	92.5821	92.4774	75	100.00	1
MIR1184-3							
H2AB3							
PAM16	PAM16	ortholog_one2one	95.2	83.2168	100	100.00	1
KRT18P24							
SPATA31B1P							
TMLHE	TMLHE	ortholog_one2one	60.5701	84.4371	50	87.10	1
RFC5P1							
RNA5SP485							
HNRNPA1P3							
							
WFDC3	WFDC3	ortholog_one2one	77.0563	82.7907	100	100.00	1
CAVIN4	MURC	ortholog_one2one	91.7582	91.5069	100	100.00	1
MTND2P8							
							
DDX10P2							
RPS19P6							
NFYCP2							
RNA5SP279							
TOMM22P3							
RNU6-1073P							
KL	KL	ortholog_one2one	89.2292	89.4059	100	100.00	1
MIR101-2	MIR101-2	ortholog_one2one	100	100		100.00	1
RNU2-47P	U2	ortholog_one2one	62.3656	71.6049		0.00	0
RN7SL98P							
RNU6-246P	U6	ortholog_one2one	82.243	85.4369		0.00	0
SCARNA8							
RNU6-264P	U6	ortholog_many2many	71.1538	78.7234		0.00	0
RNU6-264P	U6	ortholog_many2many	73.0769	71.028		0.00	0
RNU6-264P	U6	ortholog_many2many	75.9615	71.1712		0.00	0
RNU6-264P	U6	ortholog_many2many	71.1538	70.4762		0.00	0
							
							
Y_RNA	Y_RNA	ortholog_one2one	71.875	74.1936		0.00	0
RN7SL720P							
RNU6-14P	U6	ortholog_one2one	96.2264	95.3271		0.00	0
RN7SL849P	Metazoa_SRP	ortholog_one2one	66.4407	72.0588		0.00	0
							
Y_RNA							
Y_RNA							
Y_RNA	Y_RNA	ortholog_one2one	81.4159	81.4159		0.00	0
RPL36AP14							
FER1L6-AS1							
RNU6-677P							
GDF7	GDF7	ortholog_one2one	90.6667	91.2752	100	100.00	1
RNA5SP530							
SNORA70							
Y_RNA	Y_RNA	ortholog_one2many	73.2143	76.6355		0.00	0
							
RN7SL565P							
CTBP2P1							
MIR4477A							
RN7SL343P							
MRPS36P3							
RNU6-1293P	U6	ortholog_one2many	69.1589	72.549		0.00	0
RNA5SP285							
Y_RNA							
RN7SL422P							
STARD13	STARD13	ortholog_one2one	93.6208	93.6208	75	100.00	1
AMD1P2							
MATN2	MATN2	ortholog_one2one	90.1674	91.9957	100	100.00	1
RN7SKP59	7SK	ortholog_one2many	58.5987	68.6567		0.00	0
DPH3P2							
EEF1A1P28							
RNU6-1303P							
							
VAMP7	VAMP7	ortholog_one2one	67.7273	63.6752	0	100.00	1
							
RN7SKP242							
							
ERVW-1							
RNU2-36P							
RNU4-29P							
RN7SKP264							
RNU6-1228P							
							
MIR4290							
MIR4291							
MIR4289							
RN7SKP87	7SK	ortholog_one2many	67.7741	67.5497		0.00	0
							
RNU6-996P							
XDH	XDH	ortholog_one2one	93.8485	93.8485	100	100.00	1
RNU6-329P	U6	ortholog_one2many	81.3084	81.3084		0.00	0
TEX47							
RNA5SP291							
RN7SL659P							
RNU6-1064P	U6	ortholog_one2many	75	81.25		0.00	0
MIR7702							
RNA5SP293							
MIR3927							
RNU6-432P	U6	ortholog_one2one	70.6422	82.7957		0.00	0
RNY4P18	Y_RNA	ortholog_one2many	84.2697	78.9474		0.00	0
RNY4P18	Y_RNA	ortholog_one2many	89.8876	83.3333		0.00	0
ICE2P2							
Y_RNA	Y_RNA	ortholog_one2one	92.1569	92.1569		0.00	0
U2							
							
RNA5SP294							
							
ID2B							
TINAG	TINAG	ortholog_one2one	92.437	92.827	100	100.00	1
MIR147A							
RNU4-82P							
							
RN7SL302P							
RPEP2							
							
MIR455	MIR455	ortholog_one2one	96.875	100		100.00	1
MIR181A2	MIR181A2	ortholog_one2one	96.3636	96.3636		100.00	1
MIR181B2	MIR181B2	ortholog_one2one	98.8764	98.8764		100.00	1
NRON							
SNORD116							
RN7SL30P							
MIR4669							
							
TAC1	TAC1	ortholog_one2one	97.6744	96.9231	75	100.00	1
FRMD4B	FRMD4B	ortholog_one2one	49.8066	65.5216	50	98.91	0
SLC2A8	SLC2A8	ortholog_one2one	90.7757	90.7757	100	100.00	1
STXBP4	STXBP4	ortholog_one2one	85.3526	87.8957	100	100.00	1
RNA5SP266							
RNF215	RNF215	ortholog_one2one	95.4907	95.4907	100	100.00	1
							
							
							
HTR1E	HTR1E	ortholog_one2one	96.1644	96.1644	50	100.00	1
SPINT5P							
CORO7-PAM16							
RNU6ATAC38P							
DNTTIP1	DNTTIP1	ortholog_one2one	98.1763	98.1763	100	100.00	1
							
TBX18	TBX18	ortholog_one2one	96.5404	96.5404	50	100.00	1
ELOCP24							
TRPC6P1							
							
DDX11L16							
OPN1LW	OPN1LW	ortholog_one2many	91.2088	91.2088	75	100.00	1
SLC35E3	SLC35E3	ortholog_one2one	96.1661	96.1661	50	100.00	1
EPB41L3	EPB41L3	ortholog_one2one	67.7093	66.0682	100	100.00	1
SEC61G	SEC61G	ortholog_one2one	100	100	100	100.00	1
SEC14L2	SEC14L2	ortholog_one2one	96.2779	96.2779	100	100.00	1
HDAC2	HDAC2	ortholog_one2one	91.3934	81.685	100	100.00	1
OPN1MW	OPN1LW	ortholog_one2many	91.4835	91.4835	75	100.00	1
SPIC	SPIC	ortholog_one2one	83.4677	82.4701	100	100.00	1
RPL30P4							
CNOT10-AS1							
SUGT1P2							
RPL23AP43							
TRIM71							
RWDD2B	RWDD2B	ortholog_one2one	90.2821	90.2821	50	100.00	1
CNOT10							
							
SNRPGP20							
PPP1R12A-AS2							
VASN							
							
							
TEX28P1							
FTH1P6							
MRPS17	MRPS17	ortholog_one2one	90.7692	90.7692	75	100.00	1
							
PSMB5	PSMB5	ortholog_one2one	95.057	95.057	100	100.00	1
TEX28P3							
SNORA70							
							
							
							
PRKCE	PRKCE	ortholog_one2one	98.9145	98.9145	100	100.00	1
DUX4L52							
FAM50A	FAM50A	ortholog_one2one	98.2301	98.2301	100	100.00	1
							
MARCHF10	MARCH10	ortholog_one2one	72.0297	71.2362	100	100.00	1
HMOX2	HMOX2	ortholog_one2one	88.924	88.924	100	100.00	1
MAST4-IT1							
							
FAM186A	FAM186A	ortholog_one2one	58.826	62.0736	25	100.00	1
HCN1	HCN1	ortholog_one2one	96.8539	97.4011	100	100.00	1
FTLP18							
GJB5							
RPL7AP40							
							
PEX1	PEX1	ortholog_one2one	91.1146	91.1146	100	100.00	1
AGO4	AGO4	ortholog_one2one	99.0708	99.7661	100	100.00	1
SETP6							
UBE2C							
							
NSA2P2							
CADPS							
							
							
							
ALX1	ALX1	ortholog_one2one	98.1595	98.1595	100	100.00	1
PSMB11							
USP16	USP16	ortholog_one2one	93.9247	93.4704	100	100.00	1
C14orf119							
RHOD	RHOD	ortholog_one2one	89.5238	89.5238	100	100.00	1
CIROP							
CCER1	CCER1	ortholog_one2one	71.4286	71.2531	100	100.00	1
MRPS35P2							
							
HMGN1P15							
PPP1R3E	PPP1R3E	ortholog_one2one	96.0574	96.0574	100	100.00	1
							
							
							
							
KRT1	KRT1	ortholog_one2one	85.559	85.9594	100	100.00	1
							
EGFLAM	EGFLAM	ortholog_one2one	91.4767	90.7571	100	100.00	1
STARD13-IT1							
							
							
							
EBPL	EBPL	ortholog_one2one	84.466	84.8781	100	100.00	1
							
							
SCARNA9							
							
CHST11	CHST11	ortholog_one2one	98.2955	98.2955	100	100.00	1
							
							
							
							
							
							
EFS	EFS	ortholog_one2one	90.5526	90.5526	100	100.00	1
FBXO43	FBXO43	ortholog_one2one	82.9096	83.2624	100	100.00	1
ZBTB8B	ZBTB8B	ortholog_one2one	90.7071	85.8509	100	100.00	1
MED17		ortholog_one2many	71.8894	87.1508	0	0.00	0
MED17	MED17	ortholog_one2many	97.8495	97.8495	100	100.00	1
LINC02810							
FTH1P1							
MIR6858							
PLXNA3	PLXNA3	ortholog_one2one	94.8156	94.765	100	100.00	1
CASZ1	CASZ1	ortholog_one2one	94.3149	94.6918	100	100.00	1
CNMD	CNMD	ortholog_one2one	94.3114	94.5946	50	100.00	1
C1GALT1P1							
							
SUMO2P19							
NTAN1P3							
LINC01181							
DIP2B	DIP2B	ortholog_one2one	99.4924	99.4924	75	100.00	1
							
LINC02594							
EEF1A1P37							
NDUFS5P6							
PCTP	PCTP	ortholog_one2one	77.5701	76.1468	100	100.00	1
RPL12							
MTND1P7							
							
LHCGR	LHCGR	ortholog_one2one	90.4149	90.2857	100	100.00	1
							
							
							
CMTM5	CMTM5	ortholog_one2one	60.9865	87.1795	100	100.00	1
PTK2B	PTK2B	ortholog_one2one	96.7294	96.7294	100	100.00	1
							
LINC02836							
MIR759	MIR759	ortholog_one2one	100	100		100.00	1
PCDH8	PCDH8	ortholog_one2one	97.1963	97.1963	100	100.00	1
BCLAF1	BCLAF1	ortholog_one2one	98.8043	98.6971	100	100.00	1
LONRF2P2							
LINC00388							
FEM1AP4							
LINC00387							
TERF1P5							
FAM207BP							
GXYLT1P1							
CNN2P12							
ZNF965P							
SNX18P26							
LINC00328-2P							
RHOT1P3							
TNNC2	TNNC2	ortholog_one2one	96.875	90.6433	100	100.00	1
RNU6-55P	U6	ortholog_one2many	78.5047	78.5047		0.00	0
							
RNU6-76P							
SNX19P2							
							
RPL21P104							
							
USP24P1							
GTF2IP3							
RNA5SP24							
CENPIP1							
							
SMPD4P2							
USP15	USP15	ortholog_one2one	99.2864	99.2864	100	100.00	1
							
							
							
RNU6-564P							
							
DACH1	DACH1	ortholog_one2one	63.0312	83.0224	50	100.00	1
MTFP1	MTFP1	ortholog_one2one	96.3855	96.3855	100	100.00	1
DNALI1	DNALI1	ortholog_one2one	96.5116	96.5116	100	100.00	1
SNORA65		ortholog_one2many	95.3846	97.6378		100.00	1
SNORA65		ortholog_one2many	95.3846	97.6378		0.00	0
Y_RNA	Y_RNA	ortholog_one2one	76.1062	78.8991		0.00	0
NIBAN2	FAM129B	ortholog_one2one	91.1528	91.1528	100	100.00	1
UBL4A	UBL4A	ortholog_one2one	92.9936	85.8824	100	100.00	1
ZSWIM1							
SNAP23P1							
CASC17							
CSE1L	CSE1L	ortholog_one2one	99.5881	98.7743	100	100.00	1
							
RRAGC	RRAGC	ortholog_one2one	99.4987	99.4987	100	100.00	1
							
LINC01318							
ZFYVE9P2							
TMEM100							
							
CCT8	CCT8	ortholog_one2one	96.5328	95.4874	100	100.00	1
KCNG3	KCNG3	ortholog_one2one	98.6239	98.6239	100	100.00	1
SLC10A3	SLC10A3	ortholog_one2one	92.0335	82.5188	100	100.00	1
							
							
							
THTPA	THTPA	ortholog_one2one	82.6087	83.3333	100	100.00	1
Y_RNA							
RNU6-468P							
							
							
							
Y_RNA							
RNU6-990P							
FBXL12P1							
MIR4522							
SLC39A1P1							
SNORD63							
RNU6-1267P							
SEC14L3	SEC14L3	ortholog_one2one	97.5	97.5	100	100.00	1
MIR423							
RNU6-287P							
MIR6781							
MIR3184	MIR3184	ortholog_one2one	100	100		100.00	1
MIR8059							
Y_RNA							
MIR6129							
RNU6-928P							
RNA5SP445							
MIR634							
RN7SKP14	7SK	ortholog_one2one	62.31	65.0794		100.00	1
EFEMP1	EFEMP1	ortholog_one2one	96.5517	96.5517	100	100.00	1
RNU7-155P							
RN7SL697P							
							
ATF4P2							
							
GRIK3	GRIK3	ortholog_one2one	99.5647	99.5647	100	100.00	1
							
FMN2P1							
AARSD1	AARSD1	ortholog_one2one	80.0971	92.1788	100	100.00	1
							
RPL7P58							
HMGA1P1							
RNU1-142P	U1	ortholog_one2one	73.7931	74.3056		100.00	1
							
							
							
ZNF711		ortholog_one2many	89.0954	98.09	0	0.00	0
ZNF711	ZNF711	ortholog_one2many	98.6369	98.6369	75	100.00	1
							
SYNPO2	SYNPO2	ortholog_one2one	80.6503	81.8182	100	100.00	1
AP1G2	AP1G2	ortholog_one2one	92.1019	92.1019	100	100.00	1
H3P36							
RPL21P109							
RPL35AP31							
RPS10P21							
ARL11	ARL11	ortholog_one2one	71.9388	78.3333	100	100.00	1
FGF14	FGF14	ortholog_one2one	78.9474	77.381	100	100.00	1
							
MTCYBP22							
							
							
DUSP29							
							
HSPE1P10							
DTWD2	DTWD2	ortholog_one2one	92.2819	91.9732	50	100.00	1
							
							
							
BMI1P1							
RAB9B	RAB9B	ortholog_one2one	99.005	99.005	50	100.00	1
RNA5SP511							
H2BP9							
							
ELF2P1							
ABHD17C	ABHD17C	ortholog_one2one	94.5289	95.107	100	100.00	1
							
TMSB15B	TMSB15B	ortholog_many2many	95.5556	95.5556	0	100.00	1
TMSB15B	TMSB15A	ortholog_many2many	97.7778	97.7778	0	0.00	0
RNU1-24P							
HMGB3P7							
MIR2681							
LIPT1P1							
RNY1P2	Y_RNA	ortholog_many2many	78.6325	83.6364		0.00	0
RNY1P2	Y_RNA	ortholog_many2many	73.5043	80.3738		0.00	0
RNY1P2	Y_RNA	ortholog_many2many	75.2137	83.8095		0.00	0
MIR4705							
SNORA30	SNORA30	ortholog_one2one	90.6977	90.6977		100.00	1
RPL39P29							
FGF14-IT1							
TMEM265							
							
LYSETP1							
							
PLA2G2D	PLA2G2D	ortholog_one2one	76.5517	76.5517	100	100.00	1
BCL9P1							
POGLUT2	KDELC1	ortholog_one2one	94.4223	90.9789	100	100.00	1
PHKG2		ortholog_one2many	84.9754	90.3141	0	0.00	0
PHKG2	PHKG2	ortholog_one2many	97.0443	97.0443	100	100.00	1
							
							
KATNBL1P4							
							
							
ATP5PFP4							
HEPHL1	HEPHL1	ortholog_one2one	92.1484	91.7526	100	100.00	1
							
							
HNRNPFP1							
							
GUCA2B	GUCA2B	ortholog_one2one	75.8929	75.8929	50	100.00	1
ASS1P9							
LINC02214							
							
MTND3P19							
							
SUMO2P15							
							
RAC1P5							
							
EPB41L4A	EPB41L4A	ortholog_one2one	86.8805	89.6241	100	100.00	1
							
							
MUC7		ortholog_one2one	44.8276	54.3408	100	100.00	0
							
SLC25A53P1							
DPPA3P1							
							
RCC2		ortholog_one2many	58.6207	94.7368	50	86.20	1
RCC2		ortholog_one2many	99.2337	99.2337	50	89.00	1
MSL3-DT							
							
LIMK2P1							
STAU1	STAU1	ortholog_one2one	97.0537	96.0549	100	100.00	1
							
CEMIP	CEMIP	ortholog_one2one	85.8927	88.4936	100	100.00	1
CDYLP1							
PLCL2							
MSL3	MSL3	ortholog_one2one	96.737	96.737	100	100.00	1
							
							
							
SDC4P							
VSTM5	VSTM5	ortholog_one2one	92.5	92.5	100	100.00	1
SEC14L4							
							
PRSS12	PRSS12	ortholog_one2one	80.6857	86.6258	75	99.57	1
PTRH1	PTRH1	ortholog_one2one	89.2523	88.4259	100	100.00	1
TRIM49		ortholog_one2many	30.7522	56.0484	50	77.99	0
							
ELP5							
PTGES3L-AARSD1							
MIR3714							
PLCL2-AS1							
KATNBL1P1							
CHCHD2P8							
PAN3	PAN3	ortholog_one2one	98.1962	89.0593	100	100.00	1
FSHR	FSHR	ortholog_one2one	94.2446	94.2446	75	100.00	1
DIPK1C	DIPK1C	ortholog_one2one	69.4511	74.8072	25	100.00	1
							
NDST4	NDST4	ortholog_one2one	93.2339	95.4225	75	100.00	1
TIMM21	TIMM21	ortholog_one2one	80.2419	79.2829	100	100.00	1
HSPA5P1							
PSMB2	PSMB2	ortholog_one2one	98.5075	98.5075	100	100.00	1
TPH2	TPH2	ortholog_one2one	98.3673	98.167	100	100.00	1
							
RAB38	RAB38	ortholog_one2one	95.2607	95.2607	100	100.00	1
MIR3911							
CFAP157	CFAP157	ortholog_one2one	74.8077	74.6641	100	100.00	1
							
							
VPS50	VPS50	ortholog_one2one	98.7552	98.7552	100	100.00	1
MAP3K7CL	MAP3K7CL	ortholog_one2one	95.0704	95.0704	100	100.00	1
GAL	GAL	ortholog_one2one	73.9837	72.8	100	100.00	1
							
GZMAP1							
CFAP119	CFAP119	ortholog_one2one	80.6646	80.1802	100	100.00	1
							
LSM2P2							
EEF1A1P3							
							
RNU6-82P	U6	ortholog_one2one	72.8972	75.7282		0.00	0
TRIM36-IT1							
ACTR6P1							
FLT1	FLT1	ortholog_one2one	87.7429	89.6183	100	100.00	1
							
MSNP1							
SPOPLP3							
H3P15							
							
RPSAP12							
TTC16	TTC16	ortholog_one2one	65.9794	71.9101	75	100.00	1
RN7SL551P	Metazoa_SRP	ortholog_many2many	74.8322	78.5211		0.00	0
RN7SL551P	Metazoa_SRP	ortholog_many2many	78.8591	81.3149		0.00	0
CCDC59	CCDC59	ortholog_one2one	78.0083	77.686	100	100.00	1
C18orf63	C18orf63	ortholog_one2one	78.8321	81.203	50	100.00	1
SPOPLP2							
RAD50	RAD50	ortholog_one2one	96.6463	96.6463	100	100.00	1
							
							
SIRPAP1							
GAL3ST1	GAL3ST1	ortholog_one2one	88.1797	87.9717	100	100.00	1
							
TUBAP10							
							
RELT	RELT	ortholog_one2one	87.4419	87.4419	100	100.00	1
							
MCUB		ortholog_one2many	73.2143	78.5942	0	0.00	0
MCUB	MCUB	ortholog_one2many	82.7381	83.7349	100	100.00	1
							
RPS29P6							
							
							
							
							
FAUP1							
RPS27P9							
CYB5A	CYB5A	ortholog_one2one	91.0448	91.0448	75	100.00	1
PADI6	PADI6	ortholog_one2one	77.6657	79.1483	75	100.00	1
RPL12P9							
Y_RNA							
U3							
GAPDHP14							
TOR2A	TOR2A	ortholog_one2one	93.7695	93.7695	100	100.00	1
RPS13P3							
COL6A2	COL6A2	ortholog_one2one	85.5741	86.5079	100	100.00	1
EHD3	EHD3	ortholog_one2one	96.8224	96.8224	100	100.00	1
							
							
GAPDHP56							
EIF4A1P4							
TERF1P3							
							
PADI4	PADI4	ortholog_one2one	82.3529	76.6854	100	100.00	1
LINC02479							
CWH43	CWH43	ortholog_one2one	78.3977	81.9133	100	99.88	1
SLC4A8	SLC4A8	ortholog_one2one	98.0787	98.1685	50	100.00	1
CYP51A1P1							
							
KBTBD8	KBTBD8	ortholog_one2one	95.8403	95.8403	50	100.00	1
							
ZNF629	ZNF629	ortholog_one2one	93.2106	93.2106	100	100.00	1
Metazoa_SRP							
							
PAPOLG	PAPOLG	ortholog_one2one	96.3315	95.6815	75	100.00	1
							
							
LINC01654							
MIR4519							
							
CARD18		ortholog_one2many	68.8889	65.9574	100	0.00	1
CARD18		ortholog_one2many	70	69.2308	100	100.00	1
RHBDL2	RHBDL2	ortholog_one2one	93.3993	93.3993	100	100.00	1
MIR762							
CTF2P							
							
DTNA	DTNA	ortholog_one2one	90.9091	94.851	100	100.00	1
VTI1BP1							
ORAI3	ORAI3	ortholog_one2one	96.2712	95.6229	100	100.00	1
RPA2P3							
PPATP1							
							
TRPC6	TRPC6	ortholog_one2one	96.5628	96.5628	100	100.00	1
PDZRN3	PDZRN3	ortholog_one2one	63.6023	75.8389	75	100.00	1
SH2D3C	SH2D3C	ortholog_one2one	91.8605	92.5059	100	100.00	1
							
							
HSD3B7	HSD3B7	ortholog_one2one	91.3279	91.3279	100	100.00	1
CFAP144	FAM183A	ortholog_one2many	80.597	80	0	100.00	1
ARPC3P1							
ZMYM4	ZMYM4	ortholog_one2one	98.062	97.9355	100	100.00	1
CLDN7							
							
SLCO4A1	SLCO4A1	ortholog_one2one	79.7784	79.558	100	100.00	1
RPL5P12							
CDC42P4							
							
TECRP2							
							
NDST3	NDST3	ortholog_one2one	96.5636	96.5636	100	100.00	1
							
NOL11	NOL11	ortholog_one2one	88.3171	85.5795	100	100.00	1
STX1B	STX1B	ortholog_one2one	100	100	100	100.00	1
							
HOMER2	HOMER2	ortholog_one2one	95.6268	93.9828	100	100.00	1
PES1	PES1	ortholog_one2one	93.3673	93.5264	100	100.00	1
Y_RNA							
SLC2A4							
SLCO4A1-AS2							
TAF9P3							
							
NTSR1	NTSR1	ortholog_one2one	87.5598	89.2683	100	100.00	1
							
WTIP	WTIP	ortholog_one2one	72.5581	78	100	100.00	1
SNORA38B							
							
RPSAP67							
TMEM183AP5							
SEC24D	SEC24D	ortholog_one2one	92.6357	92.278	100	100.00	1
RPL21P41							
FAM3D-AS1							
							
RPL17P41							
UBTFL2							
							
MRGBP	MRGBP	ortholog_one2one	97.549	97.549	100	100.00	1
FAM107A	FAM107A	ortholog_one2one	95.1389	77.8409	50	100.00	1
							
							
KDM2A	KDM2A	ortholog_one2one	99.5697	99.5697	100	100.00	1
							
RN7SL622P							
FBXO36P1							
							
							
							
							
SH3GL1P3							
							
							
							
ATP6V1C1	ATP6V1C1	ortholog_one2one	98.9529	98.9529	100	100.00	1
ARHGAP27P2							
WIPI1	WIPI1	ortholog_one2one	95.7399	95.7399	100	100.00	1
OGFR	OGFR	ortholog_one2one	57.3117	73.4848	100	100.00	1
STX4	STX4	ortholog_one2one	95.2862	94.0199	100	100.00	1
DNAJC28							
							
ZNF565	ZNF565	ortholog_one2one	91.1824	87.3321	75	100.00	1
NPM1P10							
SLX9	SLX9	ortholog_one2one	75.6522	75.6522	100	100.00	1
							
							
GAPDHP73							
ADGRG6	ADGRG6	ortholog_one2one	90.64	90.7126	100	100.00	1
NUFIP1	NUFIP1	ortholog_one2one	81.8182	81.8182	100	100.00	1
							
EP400P1							
TMEM143	TMEM143	ortholog_one2one	88.671	80.754	100	100.00	1
GPALPP1	GPALPP1	ortholog_one2one	96.1765	97.0326	100	100.00	1
							
DDX51							
BRD7P1							
							
RN7SKP205							
PDE8A	PDE8A	ortholog_one2one	90.2292	90.3382	50	100.00	1
							
							
LINC00596							
DHRS4	DHRS4	ortholog_one2many	88.4892	88.172	100	99.82	1
PGAM1P6							
COL9A3							
							
PRKCE-AS1							
							
KCNJ6	KCNJ6	ortholog_one2one	98.1087	94.533	100	100.00	1
							
FEZ2	FEZ2	ortholog_one2one	95.1841	89.3617	100	100.00	1
CDK9	CDK9	ortholog_one2one	98.6559	98.6559	100	100.00	1
MIR635							
							
RN7SL49P							
PSMC1P6							
RN7SKP3	7SK	ortholog_one2one	53.6313	66.899		0.00	0
ALDH3A2	ALDH3A2	ortholog_one2one	94.0206	89.9408	50	100.00	1
WDR82P1							
DSCR4							
GTF2F2	GTF2F2	ortholog_one2one	97.992	97.992	100	100.00	1
							
OSBPL9P1							
DSCR4-IT1							
							
SRRM1P2							
DSCR10							
LINC01667							
							
NDUFA5P5							
							
RPL13AP7							
YBX2							
HYDINP1							
							
SSR4P1							
							
ADAMTS9-AS1							
							
CSTB	CSTB	ortholog_one2one	87.7551	87.7551	100	100.00	1
NCALD	NCALD	ortholog_one2one	100	100	100	100.00	1
NOC4L							
RPS4XP23							
							
							
EPHA3	EPHA3	ortholog_one2one	98.3723	98.2724	100	100.00	1
							
							
							
							
CYCSP42							
RNU6-1326P	U6	ortholog_one2many	70.0935	78.125		0.00	0
RN7SKP4							
RAD23BP3							
ZNF737							
							
RUNX1	RUNX1	ortholog_one2one	97.5	97.908	100	100.00	1
KCTD4	KCTD4	ortholog_one2one	99.2278	99.2278	75	100.00	1
LINC02661							
TPT1	TPT1	ortholog_one2one	100	77.13	75	100.00	1
HABP2	HABP2	ortholog_one2one	74.6429	76.1384	100	100.00	1
							
MAN2A1-DT							
PCBP2P3							
MIR3960							
MIR2861							
RPSAP37							
GLIPR2		ortholog_one2many	88.961	87.8205	0	0.00	0
GLIPR2	GLIPR2	ortholog_one2many	96.7533	96.7533	100	100.00	1
RPEP1							
MTCO2P24							
							
ARRDC3	ARRDC3	ortholog_one2one	99.2754	99.2754	100	100.00	1
							
							
RPS26P55							
RAB4B-EGLN2							
EIF5A							
KCNK18	KCNK18	ortholog_one2one	80.7292	81.3648	100	100.00	1
SNX6P1							
C1orf216							
CAND1	CAND1	ortholog_one2one	99.8374	99.8374	100	100.00	1
CCIN							
NKX1-2	NKX1-2	ortholog_one2one	87.0968	85.1735	100	100.00	1
URI1	URI1	ortholog_one2one	77.9439	78.828	100	100.00	1
RNU4-53P	U4	ortholog_one2one	49.2857	49.6403		0.00	0
LHPP	LHPP	ortholog_one2one	87.037	87.037	100	100.00	1
NAIF1	NAIF1	ortholog_one2one	96.6361	96.6361	100	100.00	1
SHMT1P1							
ACTL8	ACTL8	ortholog_one2one	69.9454	70.5234	100	100.00	1
PHB1P12							
							
LINC02361							
							
							
SLC25A25-AS1							
							
RLF	RLF	ortholog_one2one	95.1411	95.1411	100	100.00	1
GALNT9-AS1							
PTGES2-AS1							
LCN2	LCN2	ortholog_one2one	73.2323	73.6041	100	100.00	1
							
							
							
							
HTRA1	HTRA1	ortholog_one2one	97.0833	88.9313	100	100.00	1
							
							
							
SLC25A46	SLC25A46	ortholog_one2many	94.7368	94.7368	100	100.00	1
SLC25A46		ortholog_one2many	82.7751	88.2653	0	0.00	0
							
							
GALNT9							
							
RUNX1-AS1							
PIGP	PIGP	ortholog_one2many	94.0299	94.0299	100	100.00	1
PIGP		ortholog_one2many	71.6418	68.5714	0	0.00	0
							
LINC00997							
CLSPN	CLSPN	ortholog_one2one	87.0799	87.7351	100	100.00	1
RBM48P1							
SNRPCP9							
MOGAT3	MOGAT3	ortholog_one2one	70.6745	70.6745	75	100.00	1
							
							
RPL7AP26							
ARF1P3							
HNRNPA3P13							
PDHA2							
							
							
							
ANXA13	ANXA13	ortholog_one2one	92.0886	81.5126	100	100.00	1
KIAA1191P1							
MAD2L1	MAD2L1	ortholog_one2many	99.5122	99.5122	100	100.00	1
MAD2L1		ortholog_one2many	80.9756	93.7853	0	0.00	0
