Gene name	Macaque gene name	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	Macaque orthology confidence [0 low, 1 high]
							
LHX5	LHX5	ortholog_one2one	99.7512	99.7512	100	100.00	1
GABRA5	GABRA5	ortholog_one2one	99.1342	99.1342	100	100.00	1
	SZRD1	ortholog_one2many	100	88.7417	0	0.00	0
							
Y_RNA	Y_RNA	ortholog_one2one	93.8144	88.3495		100.00	1
IMPA2	IMPA2	ortholog_one2one	99.6094	88.5417	50	97.83	1
U6	U6	ortholog_one2one	88.3495	85.0467		100.00	1
MMP20	MMP20	ortholog_one2one	96.0663	96.0663	100	100.00	1
							
RSAD2	RSAD2	ortholog_one2one	96.9529	97.2222	50	100.00	1
							
OR2B11	OR2B11	ortholog_one2one	93.6908	93.3962	75	100.00	1
CXCL5	CXCL5	ortholog_one2one	81.5789	81.5789	100	0.00	1
	TCAF2	ortholog_one2one	96.6268	96.6268	0	100.00	1
ZC2HC1A	ZC2HC1A	ortholog_one2one	98.1424	87.3278	100	100.00	1
SNORA35	SNORA35	ortholog_one2one	99.2188	99.2188		100.00	1
GALNT11	GALNT11	ortholog_one2one	98.1908	89.1045	75	83.38	1
	ZNF555	ortholog_one2one	98.1443	75.9171	100	100.00	1
YBEY	YBEY	ortholog_one2one	79.6407	55.6485	100	100.00	1
OR3A3							
FAM181B	FAM181B	ortholog_one2one	96.2441	96.2441	100	100.00	1
MIR139	MIR139	ortholog_one2one	100	66.0194		100.00	1
ZDHHC20	ZDHHC20	ortholog_one2one	94.0653	87.0879	50	99.04	1
							
5S_rRNA							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	92.2034	91.5825		100.00	1
							
EFCAB9	EFCAB9	ortholog_one2one	84.8624	92.9648	100	100.00	1
SNORA21	SNORA21	ortholog_one2one	98.4848	96.2963		100.00	1
		ortholog_one2one	77.2436	85.7651	100	100.00	1
SNORA35B	SNORA35B	ortholog_one2one	99.2248	99.2248		100.00	1
							
7SK							
FAM181A	FAM181A	ortholog_one2one	94.0678	94.0678	100	100.00	1
CNOT6L	CNOT6L	ortholog_one2one	98.5765	92.0266	100	99.08	1
	DHRS2	ortholog_one2one	69.6667	74.6429	100	100.00	1
		ortholog_one2one	93.4959	92.7419		100.00	1
	EXOSC4	ortholog_one2many	100	100	50	0.00	0
MIR3157							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	93.9716	93.6396		100.00	1
CLDN10	CLDN10	ortholog_one2one	99.5614	99.5614	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	90.4255	90.4255		100.00	1
U5	U5	ortholog_one2one	95.6897	95.6897		100.00	1
U6	U6	ortholog_one2one	94.2857	94.2857		100.00	1
							
TBCC	TBCC	ortholog_one2one	88.5942	96.5318	100	100.00	1
AVIL	AVIL	ortholog_one2one	97.1917	97.1917	100	100.00	1
							
U6	U6	ortholog_one2one	96.0396	95.098		0.00	0
							
PCDHB15	PCDHB15	ortholog_one2one	94.6633	94.6633	100	100.00	1
U1	U1	ortholog_one2one	91.4634	91.4634		100.00	1
U6	U6	ortholog_one2one	90.2913	86.9159		100.00	1
CARD14	CARD14	ortholog_one2one	94.5219	94.5219	100	100.00	1
MIR320B1							
TP53BP1	TP53BP1	ortholog_one2one	96.7039	96.4593	100	100.00	1
							
5S_rRNA							
ABCA13	ABCA13	ortholog_one2one	91.8569	89.9308	50	100.00	1
							
	LGR5	ortholog_one2one	97.7961	39.14	100	100.00	0
Y_RNA							
U6	U6	ortholog_one2one	90.6542	90.6542		100.00	1
UNC13C	UNC13C	ortholog_one2one	98.4211	92.8249	100	100.00	1
							
RAC2	RAC2	ortholog_one2one	100	100	100	100.00	1
KLLN	KLLN	ortholog_one2one	84.8315	89.3491	100	100.00	1
MRPS9	MRPS9	ortholog_one2one	89.899	89.899	75	100.00	1
SLC37A1	SLC37A1	ortholog_one2many	93.9962	90.5967	100	99.04	1
SLC37A1		ortholog_one2many	90.4315	92.8709	0	97.74	1
7SK							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	91.6388	92.2559		100.00	1
PGBD4	PGBD4	ortholog_one2one	97.9487	98.2847	100	100.00	1
U6	U6	ortholog_one2one	94.898	87.7358		100.00	1
							
NR1D1	NR1D1	ortholog_one2one	98.2085	98.3687	100	100.00	1
							
NUAK2	NUAK2	ortholog_one2one	90.7738	97.1338	100	100.00	1
		ortholog_one2one	96.0938	29.6386	100	0.00	0
SNORA66	SNORA66	ortholog_one2one	96.2406	97.7099		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	94.2446	93.5714		100.00	1
U6							
ATP10A	ATP10A	ortholog_one2one	94.5297	97.1213	100	100.00	1
H1-8	H1-8	ortholog_one2one	87.931	91.6168	100	100.00	1
CDHR4							
ggo-mir-27a	mml-mir-27a	ortholog_one2one	100	100		100.00	1
5S_rRNA							
PYURF	PIGY	ortholog_one2one	83.3333	74.8031	100	100.00	1
KIF1A	KIF1A	ortholog_one2one	94.298	97.443	75	100.00	1
CYB5D1	CYB5D1	ortholog_one2one	98.6842	98.6842	100	100.00	1
							
RAB41	RAB41	ortholog_one2one	95.9276	94.6429	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	91.4286	92.3077		100.00	1
	DND1	ortholog_one2many	89.3939	77.2251	0	0.00	0
MIR190B	mml-mir-190b	ortholog_one2one	98.7342	98.7342		100.00	1
U5	U5	ortholog_one2one	94.8276	93.2203		100.00	1
SNORD124	SNORD124	ortholog_one2one	99.0385	99.0385		100.00	1
CCDC106	CCDC106	ortholog_one2one	98.5714	98.5714	50	100.00	1
CNNM2	CNNM2	ortholog_one2one	92.2286	92.1233	100	100.00	1
LCE2C		ortholog_many2many	94.5455	94.5455	100	100.00	1
LCE2C		ortholog_many2many	97.2727	97.2727	100	100.00	1
OR4N2	OR4N2	ortholog_one2one	93.8111	93.8111	100	100.00	1
		ortholog_one2one	88.2408	86.2397	100	100.00	1
							
	mml-mir-548e	ortholog_one2many	87.3418	71.134		0.00	0
7SK							
CIART	CIART	ortholog_one2one	96.3636	96.3636	100	100.00	1
NCAPD2	NCAPD2	ortholog_one2one	95.3605	92.7778	100	100.00	1
U6							
APLNR	APLNR	ortholog_one2one	98.6842	98.6842	100	100.00	1
5S_rRNA							
FRMD3	FRMD3	ortholog_one2one	91.2752	97.8417	100	99.96	1
Metazoa_SRP							
BCAT1	BCAT1	ortholog_one2one	89.2857	93.0521	100	100.00	1
							
							
NUP35	NUP35	ortholog_one2one	99.6933	99.6933	100	100.00	1
DPH2	DPH2	ortholog_one2one	97.546	97.546	100	100.00	1
CPNE5	CPNE5	ortholog_one2one	100	97.2131	100	100.00	1
							
U6	U6	ortholog_one2one	92.4528	92.4528		100.00	1
HIC2	HIC2	ortholog_one2one	98.5366	98.5366	25	0.00	0
Metazoa_SRP							
							
							
	GPR85	ortholog_one2one	91.8033	30.2703	100	100.00	0
Metazoa_SRP							
	GATA4	ortholog_one2one	79.235	65.4628	100	100.00	1
PAH	PAH	ortholog_one2one	87.6106	83.7209	100	100.00	1
U6	U6	ortholog_one2one	91.5094	95.098		0.00	0
							
ATOX1	ATOX1	ortholog_one2one	83.5616	89.7059	75	100.00	1
F2RL3	F2RL3	ortholog_one2one	94.026	94.026	100	100.00	1
KCNJ11							
							
OR1D2							
TOM1L2	TOM1L2	ortholog_one2one	99.6055	99.6055	100	98.70	1
							
7SK							
Y_RNA	Y_RNA	ortholog_one2one	92.0792	93		0.00	0
U6	U6	ortholog_one2one	89.4231	89.4231		100.00	1
OGFOD1	OGFOD1	ortholog_one2one	95.2029	93.4783	100	100.00	1
ACER3	ACER3	ortholog_one2one	98.4314	94.0075	100	95.14	1
							
CCR5	CCR5	ortholog_one2one	98.2955	91.2929	100	100.00	1
PADI1	PADI1	ortholog_one2one	95.0226	95.0226	100	99.17	1
GGT5	GGT5	ortholog_one2one	96.7687	97.099	75	60.63	1
	VSIG8	ortholog_one2one	94.9612	59.1787	0	0.00	0
VGLL1	VGLL1	ortholog_one2one	96.5116	96.5116	100	100.00	1
	CELF5	ortholog_one2one	76.8844	61.4458	100	100.00	1
MIR877	mml-mir-877	ortholog_one2one	96.5116	80.5825		100.00	1
UBFD1	UBFD1	ortholog_one2one	88.9968	88.9968	100	100.00	1
							
OLFML2A	OLFML2A	ortholog_one2one	97.0904	97.8395	75	100.00	1
BAIAP2L1	BAIAP2L1	ortholog_one2one	95.2191	88.0295	100	99.49	1
POLA2	POLA2	ortholog_one2one	97.9933	97.9933	100	100.00	1
IGHV5-51							
Metazoa_SRP							
U6	U6	ortholog_one2one	94.0594	95.9596		100.00	1
U6							
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	79.6992	69.7368		0.00	0
5S_rRNA	5S_rRNA	ortholog_one2many	66.3636	61.3445		0.00	0
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	83.6431	87.8906		100.00	1
7SK							
5S_rRNA							
ANO1	ANO1	ortholog_one2one	98.073	92.183	100	99.71	1
							
							
KCNK5	KCNK5	ortholog_one2one	98.627	86.3727	100	96.99	1
U6	U6	ortholog_one2many	70.2703	79.5918		100.00	1
U6	U6	ortholog_one2many	80.1802	80.1802		100.00	1
TTC21A	TTC21A	ortholog_one2one	94.9586	89.3768	100	100.00	1
SNORA80C	SNORA80C	ortholog_one2one	96.2963	95.5882		100.00	1
B3GALT1	B3GALT1	ortholog_one2one	100	100	75	100.00	1
SCGB2A1	SCGB2A1	ortholog_one2one	90.5263	94.5055	100	100.00	1
							
U6	U6	ortholog_one2one	75.7576	78.125		100.00	1
Y_RNA							
FUT10							
SUPT7L	SUPT7L	ortholog_one2one	99.7573	99.7573	0	0.00	0
FPR1	FPR1	ortholog_one2one	90	89.4886	100	100.00	1
							
							
CLEC19A	CLEC19A	ortholog_one2one	87.6344	58.4229	100	100.00	1
							
ZCCHC24	ZCCHC24	ortholog_one2one	100	100	50	100.00	1
	GREP1	ortholog_one2one	87.1747	87.5	75	100.00	1
U1	U1	ortholog_many2many	92.1212	92.1212		0.00	0
U1	U1	ortholog_many2many	87.8788	92.3567		0.00	0
ZDHHC21	ZDHHC21	ortholog_one2one	98.8679	98.8679	100	100.00	1
SETD7	SETD7	ortholog_one2one	86.612	86.376	100	100.00	1
U5	U5	ortholog_one2one	92.1053	92.1053		100.00	1
MIR6729							
							
GIMD1	GIMD1	ortholog_one2one	84.5833	93.5484	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	91.6667	92.2819		100.00	1
SNORA80A	SNORA80A	ortholog_one2one	97.0588	97.0588		100.00	1
Y_RNA	Y_RNA	ortholog_many2many	96.9697	94.1176		0.00	0
Y_RNA	Y_RNA	ortholog_many2many	95.9596	94.0594		100.00	1
							
	DUSP18	ortholog_one2one	55.5556	34.5745	100	100.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	89.557	94.3333		100.00	1
FAM81A	FAM81A	ortholog_one2one	98.6413	96.2865	75	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	78.6517	74.4681		0.00	0
U6	U6	ortholog_one2one	77.2727	49.5146		100.00	0
5S_rRNA	5S_rRNA	ortholog_one2one	90.7563	90.7563		100.00	1
							
							
							
OR5M11							
BPIFC	BPIFC	ortholog_one2one	96.5665	88.7574	100	100.00	1
LDLRAP1	LDLRAP1	ortholog_one2one	89.6104	86.25	75	100.00	1
FAM204A	FAM204A	ortholog_one2one	95.279	81.0219	100	100.00	1
							
							
		ortholog_many2many	96.875	96.875	100	100.00	1
		ortholog_many2many	96.875	96.875	100	100.00	1
		ortholog_many2many	96.875	96.875	100	100.00	1
							
	FBLN1	ortholog_one2one	78.069	80.5121	100	100.00	1
							
SNORA80B	SNORA80B	ortholog_one2one	96.3235	97.7612		100.00	1
							
							
	ZFAND2B	ortholog_one2one	96.2963	91.0506	0	0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	93.2432	92.9293		100.00	1
U6	U6	ortholog_one2one	95.1923	95.1923		100.00	1
ggo-mir-15a	MIR15A	ortholog_one2one	87.9518	76.8421		100.00	1
GK3	GK3	ortholog_many2many	91.6817	90.8602	100	0.00	1
GK3	GK	ortholog_many2many	98.1917	97.1377	0	0.00	0
Metazoa_SRP							
U6	U6	ortholog_one2one	91.5888	91.5888		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	92.9825	93.3099		100.00	1
MIR4765							
MIR8076							
Y_RNA	Y_RNA	ortholog_one2one	92.1569	92.1569		100.00	1
							
							
IL12RB1	IL12RB1	ortholog_one2one	94.2598	79.0875	100	100.00	1
							
SNRPE	SNRPE	ortholog_one2many	100	63.4483	100	100.00	1
							
ZSCAN12	ZSCAN12	ortholog_one2one	97.054	97.054	100	100.00	1
U1	U1	ortholog_one2one	90.8497	86.3354		100.00	1
TIRAP	TIRAP	ortholog_one2one	92.3077	92.7273	100	100.00	1
KIF13A	KIF13A	ortholog_one2one	96.7213	97.146	100	100.00	1
PADI3	PADI3	ortholog_one2one	96.988	96.988	100	57.15	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	83.8488	92.0755		0.00	0
							
							
PTCHD4	PTCHD4	ortholog_one2one	98.6998	92.3673	100	100.00	1
CMTM1	CMTM1	ortholog_one2one	61.0526	76.3158	100	100.00	1
U6							
	CDIP1	ortholog_one2many	99.0385	99.0385	100	100.00	1
GORASP2	GORASP2	ortholog_one2one	97.7876	97.7876	100	100.00	1
	TRBV10-1	ortholog_one2one	91.9643	91.9643	100	0.00	1
		ortholog_one2one	93.2836	93.2836		100.00	1
ARMC5	ARMC5	ortholog_one2one	96.3107	96.3107	100	100.00	1
PSMA1	PSMA1	ortholog_one2one	94.7955	84.7176	100	100.00	1
							
TESK1	TESK1	ortholog_one2one	99.0415	99.0415	50	100.00	1
HTR3B	HTR3B	ortholog_one2one	94.3311	94.3311	100	100.00	1
PSMB5	PSMB5	ortholog_one2one	95.941	98.8593	75	100.00	1
NR1H2	NR1H2	ortholog_one2one	98.9154	98.9154	100	100.00	1
DISP3							
MIR551B	mml-mir-551b	ortholog_one2one	98.9474	98.9474		100.00	1
GNL2	GNL2	ortholog_one2one	97.8112	97.8112	100	100.00	1
SNORA75							
SCN2A	SCN2A	ortholog_one2one	99.9002	99.9002	100	100.00	1
		ortholog_one2one	93.4959	93.4959		100.00	1
FAM241A	FAM241A	ortholog_one2one	95.4545	95.4545	100	100.00	1
Y_RNA							
	mml-mir-548e	ortholog_one2many	82.7586	74.2268		0.00	0
MYOC	MYOC	ortholog_one2one	94.246	96.7413	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	94.0199	93.7086		100.00	1
							
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	92.9054	91.6667		100.00	1
U6	U6	ortholog_one2one	92.233	92.233		100.00	1
U5	U5	ortholog_one2one	95.7983	95.7983		100.00	1
DOK6	DOK6	ortholog_one2one	87.9154	85.8407	100	100.00	1
		ortholog_many2many	86.4919	81.0964	0	0.00	0
		ortholog_many2many	86.6936	81.2854	0	0.00	0
		ortholog_many2many	86.4919	81.0964	0	0.00	0
							
MINDY3	MINDY3	ortholog_one2one	100	100	100	100.00	1
FSD1L	FSD1L	ortholog_one2one	98.1132	98.4848	100	100.00	1
							
							
MIR708	mml-mir-708	ortholog_one2one	100	94.6237		0.00	0
							
							
		ortholog_one2one	83.1858	51.3661	0	0.00	0
H3C2							
TRAV3	TRAV3	ortholog_one2one	94.8454	85.1852	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	94.7917	94.7917		100.00	1
MIRLET7C	MIRLET7C	ortholog_one2one	96.4286	75		100.00	1
							
							
FOSL2	FOSL2	ortholog_one2one	99.0826	99.3865	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	93.7931	93.4708		100.00	1
							
EIF2B5	EIF2B5	ortholog_one2one	98.3356	98.3356	100	100.00	1
MIR381	MIR381	ortholog_one2one	100	69.4444		100.00	1
U6	U6	ortholog_one2one	90.8257	92.5234		100.00	1
		ortholog_one2one	88.806	88.806		100.00	1
							
U6	U6	ortholog_one2one	73.4177	70.7317		100.00	1
		ortholog_one2many	92.1739	63.8554	75	0.00	1
		ortholog_one2many	93.913	75	25	0.00	0
	COMMD5	ortholog_one2many	96.875	72.5752	0	98.17	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	93.6242	93.311		100.00	1
		ortholog_one2one	98.4127	98.4127		100.00	1
7SK							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	42.1429	82.5175		0.00	0
							
BRPF3	BRPF3	ortholog_one2one	88.7967	98.2553	100	100.00	1
GNG12							
SLC5A7	SLC5A7	ortholog_one2one	98.2759	98.2759	50	100.00	1
ATF1	ATF1	ortholog_one2one	99.2593	99.2593	100	100.00	1
							
DTX2	DTX2	ortholog_one2one	98.0545	81.0289	75	0.00	1
OR7D2	OR7D2	ortholog_one2one	93.9103	93.9103	75	0.00	1
AMZ2	AMZ2	ortholog_one2one	96.9444	95.8791	75	0.00	1
SNORD125	SNORD125	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	93.75	90		100.00	1
							
							
AATK	AATK	ortholog_one2one	91.5867	78.6439	100	100.00	1
WDR82	WDR82	ortholog_one2one	100	100	100	100.00	1
SREK1IP1	SREK1IP1	ortholog_one2one	98.0645	98.7013	100	100.00	1
							
U6							
U5	U5	ortholog_one2one	96.5517	96.5517		100.00	1
TMEM33	TMEM33	ortholog_one2one	100	100	100	100.00	1
	TXNDC2	ortholog_one2one	75.9777	82.9268	100	100.00	1
7SK							
MYG1	MYG1	ortholog_one2one	96.0106	96.0106	100	100.00	1
MIR8053							
ggo-mir-28	mml-mir-28	ortholog_one2one	98.8372	98.8372		100.00	1
BANK1	BANK1	ortholog_one2one	92.7389	91.3425	100	100.00	1
NCOA2	NCOA2	ortholog_one2one	99.0437	98.7738	100	100.00	1
SLC2A14	SLC2A14	ortholog_many2many	90.7816	84.6729	50	0.00	0
SLC2A14	SLC2A3	ortholog_many2many	86.9739	82.0416	50	0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	91.8367	88.8158		100.00	1
U6	U6	ortholog_one2many	91.4286	93.2039		100.00	1
U6	U6	ortholog_one2many	93.3333	95.1456		100.00	1
U6	U6	ortholog_one2many	90.4762	92.233		0.00	0
U6	U6	ortholog_one2many	93.3333	95.1456		0.00	0
							
							
U6	U6	ortholog_one2one	89.7196	92.3077		100.00	1
GPR182	GPR182	ortholog_one2one	93.3168	93.3168	75	100.00	1
DRD1	DRD1	ortholog_one2one	99.7758	99.7758	100	100.00	1
STATH							
U6	U6	ortholog_one2one	94.3925	94.3925		100.00	1
7SK							
							
	BEX2	ortholog_one2one	95	94.4099	100	100.00	1
U1	U1	ortholog_one2one	95.7055	95.1219		100.00	1
							
SLC26A3	SLC26A3	ortholog_one2one	87.5328	87.9947	100	100.00	1
MIR4478							
							
		ortholog_one2one	94.4444	94.4444		100.00	1
MIR372	mml-mir-372	ortholog_one2one	95.5224	95.5224		100.00	1
MIR4720							
Y_RNA	Y_RNA	ortholog_one2one	90.1961	86.7924		100.00	1
DVL2	DVL2	ortholog_one2one	98.6413	94.6545	100	100.00	1
MTIF2	MTIF2	ortholog_one2one	92.7098	92.7098	100	100.00	1
IFNGR2	IFNGR2	ortholog_one2one	88.764	94.0476	100	100.00	1
BLMH	BLMH	ortholog_one2one	98.4615	98.4615	100	100.00	1
SNORA59A	SNORA59A	ortholog_one2one	91.4474	83.7349		100.00	1
U6							
							
MIR6806							
SLC22A8	SLC22A8	ortholog_one2one	96.679	96.679	100	100.00	1
7SK							
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	76.7176	77.6062		100.00	1
TAL1	PDZK1IP1	ortholog_one2one	96.9789	96.9789	75	100.00	1
U6	U6	ortholog_one2one	91.5888	91.5888		100.00	1
	MRPL36	ortholog_one2many	87.3786	87.3786	100	100.00	1
FURIN	FURIN	ortholog_one2one	98.8665	98.8665	100	100.00	1
							
							
S1PR2	S1PR2	ortholog_one2one	98.8669	98.8669	100	100.00	1
							
							
NLGN2	NLGN2	ortholog_one2one	94.2048	83.6124	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	92.9766	92.9766		100.00	1
U6	U6	ortholog_one2one	86.1702	75.7009		100.00	1
CIMAP1D	CIMAP1D	ortholog_one2one	95.8477	95.8477	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	92.0792	91.7763		100.00	1
MIR6756							
		ortholog_one2one	87.7698	89.7059		100.00	1
MIR548O2							
U5	U5	ortholog_one2one	94.8718	94.8718		100.00	1
SIRPA	SIRPA	ortholog_many2many	47.8346	42.1875	100	100.00	0
SIRPA		ortholog_many2many	59.4488	75.6892	0	0.00	0
FPR3	FPR3	ortholog_one2one	87.8187	87.8187	100	100.00	1
		ortholog_one2one	90.1099	90.1099		100.00	1
TRAPPC8	TRAPPC8	ortholog_one2one	99.1638	98.6824	100	100.00	1
CAP1							
CHCHD10	CHCHD10	ortholog_one2one	90.604	95.0704	100	100.00	1
MIR6773							
RBP4	RBP4	ortholog_one2one	99.005	75.0943	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	92.5926	90.1639		100.00	1
FADD	FADD	ortholog_one2one	94.7115	94.7115	100	100.00	1
ID3	ID3	ortholog_one2one	98.3193	98.3193	100	100.00	1
							
DDX60L	DDX60L	ortholog_one2one	91.2536	91.1473	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2many	81.7308	77.9817		100.00	1
MAGEF1	MAGEF1	ortholog_one2one	86.645	88.6667	100	100.00	1
ITLN2	ITLN2	ortholog_one2one	81.8462	85.2564	75	82.62	1
U6	U6	ortholog_one2one	96.2617	96.2617		100.00	1
7SK							
							
XPO1	XPO1	ortholog_one2one	100	100	100	100.00	1
	TRADD	ortholog_one2one	95.6175	77.9221	100	100.00	1
							
							
SNORA4	SNORA4	ortholog_one2one	97.8261	97.1223		100.00	1
SNORD88B	SNORD88B	ortholog_one2one	96.7033	96.7033		0.00	0
U6	U6	ortholog_one2one	92.381	92.381		100.00	1
U6	U6	ortholog_one2one	82.2917	73.8318		0.00	0
U6	U6	ortholog_one2one	92.4528	92.4528		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	95.302	94.6667		100.00	1
C2CD4D	C2CD4D	ortholog_one2one	96.034	96.034	100	100.00	1
HSPA1L	HSPA1L	ortholog_one2one	99.22	99.22	100	100.00	1
EIF4H	EIF4H	ortholog_one2one	98.7903	98.7903	100	100.00	1
	RUNX2	ortholog_one2one	97.4122	81.4529	100	100.00	1
FNDC3A	FNDC3A	ortholog_one2one	98.9149	98.9149	100	100.00	1
							
EXO5	EXO5	ortholog_one2one	96.7828	96.7828	100	100.00	1
							
							
ggo-mir-454	mml-mir-454	ortholog_one2one	94.8276	95.6522		100.00	1
U6	U6	ortholog_one2one	84.6154	82.243		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	96.0784	96.0784		100.00	1
		ortholog_one2one	86.5455	74.375	0	0.00	0
							
SNORD88C	SNORD88C	ortholog_one2one	96.7033	96.7033		0.00	0
EIF1AD	EIF1AD	ortholog_one2one	98.1928	98.7879	100	100.00	1
							
EMX2	EMX2	ortholog_one2one	100	100	100	100.00	1
Metazoa_SRP							
							
							
IGFBP1	IGFBP1	ortholog_one2one	84.9421	78.2918	100	100.00	1
EDNRA	EDNRA	ortholog_one2one	98.5948	98.5948	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	93.19	89.3471		100.00	1
ERAS	ERAS	ortholog_one2one	99.1416	99.1416	100	100.00	1
							
SNORD88A	SNORD88A	ortholog_one2one	92.3077	92.3077		0.00	0
7SK							
							
PSMA3	PSMA3	ortholog_one2one	95.6863	91.3858	100	100.00	1
U6	U6	ortholog_one2one	96.2617	96.2617		100.00	1
CNTN3	CNTN3	ortholog_one2one	98.3463	98.3463	50	100.00	1
U5	U5	ortholog_one2one	93.8053	94.6429		100.00	1
							
							
Y_RNA	Y_RNA	ortholog_one2one	87.619	85.1852		100.00	1
U5							
U6	U6	ortholog_one2one	94.3396	93.4579		100.00	1
U6	U6	ortholog_one2one	88.4615	87.619		100.00	1
CCT4	CCT4	ortholog_one2one	90.4192	61.4654	100	100.00	1
PKD2L2	PKD2L2	ortholog_one2one	52.0833	38.1904	100	100.00	0
							
SNORD115	SNORD115	ortholog_one2one	94.186	94.186		100.00	1
MIR3150B							
INTS14	INTS14	ortholog_one2one	93.6594	99.807	100	100.00	1
NEXN	NEXN	ortholog_one2one	98.8148	98.8148	100	100.00	1
		ortholog_one2one	92.4658	57.4468	0	0.00	0
GBP7	GBP7	ortholog_one2one	91.536	90.2627	100	0.00	1
							
POLA1	POLA1	ortholog_one2one	97.0508	96.587	100	100.00	1
MIR6861							
RCOR1	RCOR1	ortholog_one2one	99.5204	82.1782	75	99.45	1
SNORD96	SNORD96	ortholog_one2one	94.9367	94.9367		0.00	0
							
MIR138		ortholog_one2one	10.7143	6.16438		100.00	0
AGBL5	AGBL5	ortholog_one2one	97.9684	97.9684	100	100.00	1
U6	U6	ortholog_one2one	80.198	75.7009		100.00	1
							
U6	U6	ortholog_one2one	95.3271	95.3271		100.00	1
							
SPRYD4	SPRYD4	ortholog_one2one	98.0676	98.0676	100	100.00	1
U5	U5	ortholog_one2one	92.2414	92.2414		100.00	1
	AP3S1	ortholog_one2many	95.3947	69.378	0	0.00	0
KRT38	KRT38	ortholog_one2one	91.453	94.6903	100	79.21	1
VMP1	VMP1	ortholog_one2one	98.7685	98.7685	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	93.2624	92.6056		100.00	1
7SK							
PHACTR2	PHACTR2	ortholog_one2one	95.969	88.1766	100	100.00	1
MIR375	MIR375	ortholog_one2one	100	57.1429		100.00	1
ZNF319							
DPPA4	DPPA4	ortholog_one2one	95.3947	96.3455	100	100.00	1
MIPEP	MIPEP	ortholog_one2one	98.0365	98.0365	75	99.08	1
	A1BG	ortholog_one2one	89.9676	50.6375	100	100.00	1
PRDM14	PRDM14	ortholog_one2one	96.4974	96.4974	100	100.00	1
TAF2	TAF2	ortholog_one2one	99.4162	95.2838	100	100.00	1
SNORD73	SNORD73	ortholog_one2one	93.0556	98.5294		100.00	1
	MRPL23	ortholog_one2one	55.6757	56.2842	100	100.00	1
LHCGR	LHCGR	ortholog_one2one	96.8616	96.4489	100	100.00	1
U6	U6	ortholog_one2one	97.1963	97.1963		100.00	1
U6	U6	ortholog_one2one	98.1308	98.1308		100.00	1
							
	KCTD11	ortholog_one2many	97.4138	97.4138	25	100.00	1
							
	mml-mir-548e	ortholog_one2many	81.8182	74.2268		0.00	0
Y_RNA	Y_RNA	ortholog_one2one	95.0495	95.0495		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	85.9922	73.913		0.00	0
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	81.9188	75.2542		100.00	1
WDR44	WDR44	ortholog_one2one	97.9189	98.1339	100	100.00	1
U6	U6	ortholog_one2one	91.5888	91.5888		100.00	1
OAF	OAF	ortholog_one2one	94.9275	97.037	100	100.00	1
S100A7							
PRRT2	PRRT2	ortholog_one2one	82.2335	95.2941	100	100.00	1
REC8	REC8	ortholog_one2one	93.053	90.0885	100	100.00	1
LAGE3	LAGE3	ortholog_one2one	90.9091	90.9091	100	100.00	1
U6							
SNORD73	SNORD73	ortholog_one2one	95.3846	93.9394		100.00	1
UBA1	UBA1	ortholog_one2one	98.8658	98.3083	100	100.00	1
							
							
