Gene name	Chimpanzee gene name	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	Chimpanzee orthology confidence [0 low, 1 high]
							
							
HS3ST4	HS3ST4	ortholog_one2one	99.1228	99.1228	100	100.00	1
MRPL50P4							
GPN3P1							
MRPS35P3							
UBE2V2P1							
							
MYL6P3							
							
PHYHIPL	PHYHIPL	ortholog_one2one	99.734	99.734	100	100.00	1
PARVB	PARVB	ortholog_one2one	90.6593	83.1234	100	100.00	1
							
CREBBP	CREBBP	ortholog_one2one	99.9591	99.9591	100	100.00	1
FOXR2	FOXR2	ortholog_one2one	96.1415	96.1415	100	100.00	1
SLC9A7	SLC9A7	ortholog_one2one	97.1074	98.6014	100	100.00	1
GTSF1L							
							
CST9	CST9	ortholog_one2one	96.2264	96.2264	100	100.00	1
TOMM5P1							
NAMPTP1							
RPL6P18							
							
							
							
HDGFL1							
							
RBP3	RBP3	ortholog_one2one	99.7594	99.7594	75	100.00	1
SIRPB1							
RPL6P17							
							
FOXQ1	FOXQ1	ortholog_one2one	98.263	98.263	100	100.00	1
SALRNA2							
SKOR1	SKOR1	ortholog_one2one	99.3782	99.6881	100	100.00	1
RPL7AP36							
RPP40	RPP40	ortholog_one2one	97.7961	97.7961	100	100.00	1
ARHGAP12	ARHGAP12	ortholog_one2one	99.7636	99.7636	100	100.00	1
SLC10A2	SLC10A2	ortholog_one2one	99.1379	99.1379	100	100.00	1
THAP10	THAP10	ortholog_one2one	99.2218	96.5909	100	100.00	1
HNRNPDP1							
IL17D	IL17D	ortholog_one2one	100	96.6507	100	100.00	1
RBMXP5							
PHKA1-AS1							
MAGEH1	MAGEH1	ortholog_one2many	100	100	0	0.00	0
MAGEH1	MAGEH1	ortholog_one2many	100	100	100	100.00	1
SMIM15P1							
DGKK	DGKK	ortholog_one2one	99.5279	98.597	100	100.00	1
							
OTOR	OTOR	ortholog_one2one	100	100	100	100.00	1
FOXB1	FOXB1	ortholog_one2one	100	100	100	100.00	1
GGACT	GGACT	ortholog_one2one	98.6928	98.6928	100	100.00	1
							
HNRNPA1P45							
ATP11A	ATP11A	ortholog_one2one	98.1481	93.4509	100	100.00	1
MTCO3P27							
MESTP2							
							
RPS3AP17							
GCHFR	GCHFR	ortholog_one2one	100	100	100	100.00	1
RPL32P21							
SRXN1	SRXN1	ortholog_one2one	98.5401	81.8182	100	100.00	1
							
SEL1L3	SEL1L3	ortholog_one2one	99.6466	99.5587	100	100.00	1
CDCA7P2							
							
TCEA1P4							
DTD1	DTD1	ortholog_one2one	88.0383	82.5112	100	100.00	1
GNAQ	GNAQ	ortholog_one2one	100	100	100	100.00	1
CA12	CA12	ortholog_one2one	99.7175	99.7175	100	100.00	1
APBA3	APBA3	ortholog_one2one	98.4348	98.4348	100	100.00	1
DEK	DEK	ortholog_one2one	99.4667	99.7326	100	100.00	1
CYCSP1							
							
AP5M1	AP5M1	ortholog_one2one	99.7959	99.7959	100	100.00	1
OSBPL2	OSBPL2	ortholog_one2one	99.7917	99.7917	100	100.00	1
NDP-AS1							
RPL21P84							
							
							
							
HSPA8P17							
							
SPIN4-AS1							
YME1L1P1							
ARHGAP42P3							
USP10P3							
SSBP3P3							
PIR	PIR	ortholog_one2one	99.3103	99.3103	100	100.00	1
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	93.0599	93.6508		100.00	1
							
RN7SKP221	7SK	ortholog_one2many	99.0033	99.0033		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_many2many	98.125	98.125		0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_many2many	98.125	98.125		100.00	1
ZC3H7B	ZC3H7B	ortholog_one2one	96.4176	96.2206	100	100.00	1
FKBP4P6							
SLC28A3	SLC28A3	ortholog_one2one	99.1317	99.1317	100	100.00	1
TJP3	TJP3	ortholog_one2one	99.3471	98.3836	100	100.00	1
RPL21P8							
SLC35F4	SLC35F4	ortholog_one2one	94.433	87.9079	100	100.00	1
RPL23AP83							
PSMA5P1							
EDA2R	EDA2R	ortholog_one2one	98.6532	92.1384	100	100.00	1
CYSLTR2	CYSLTR2	ortholog_one2one	97.3988	97.3988	100	100.00	1
							
							
							
TEF	TEF	ortholog_one2one	99.3399	98.0456	75	100.00	1
PGM5	PGM5	ortholog_one2many	98.9418	98.9418	50	100.00	1
PGM5		ortholog_one2many	45.3263	98.4674	0	0.00	0
BMP4	BMP4	ortholog_one2many	99.7549	99.7549	0	100.00	1
BMP4	BMP4	ortholog_one2many	99.7549	99.7549	100	100.00	1
MX1							
CLEC4E	CLEC4E	ortholog_one2one	98.6301	98.6301	100	100.00	1
OXGR1	OXGR1	ortholog_one2one	95.2522	97.8659	100	100.00	1
							
MYO1E	MYO1E	ortholog_one2one	99.639	99.639	100	100.00	1
RNU6-495P	U6	ortholog_one2one	97.1963	97.1963		100.00	1
							
							
							
PHF5A	PHF5A	ortholog_one2one	100	100	100	100.00	1
MTND4P9							
RPL7P47							
COMMD6		ortholog_one2one	65.8824	80	0	0.00	0
							
RPS27P13							
							
							
CYSLTR1	CYSLTR1	ortholog_one2one	99.4065	99.4065	50	100.00	1
COMMD8	COMMD8	ortholog_one2one	100	100	100	100.00	1
LINC01195							
RGS11	RGS11	ortholog_one2one	97.4304	97.4304	0	100.00	1
PSAT1	PSAT1	ortholog_one2one	100	100	100	100.00	1
FTH1P13							
							
RPL21P11							
							
POLR3H	POLR3H	ortholog_one2one	100	100	75	100.00	1
OR7E159P							
							
							
							
EIF3LP1							
STMND1	STMND1	ortholog_one2one	96.3768	96.3768	100	100.00	1
GAPDHP31							
							
OR7E85P							
COILP1							
ATP6AP2	ATP6AP2	ortholog_one2one	99.4286	99.4286	100	100.00	1
							
SLAIN2	SLAIN2	ortholog_one2one	99.6558	95.3872	100	100.00	1
TRAJ50							
							
RIMKLB	RIMKLB	ortholog_one2one	100	100	100	100.00	1
							
FKBP1BP1							
ISG20L2P1							
							
							
RPL13P							
							
SRSF5	SRSF5	ortholog_one2one	100	100	100	100.00	1
							
							
NUP50P2							
NOP56P1							
							
							
GFOD1	GFOD1	ortholog_one2one	100	100	100	100.00	1
RPL32P14							
							
MED10	MED10	ortholog_one2one	100	100	100	100.00	1
ATP6V1G1P2							
LSM12P1							
MAPK6P4							
RPS15AP24							
							
							
							
SH2D4A	SH2D4A	ortholog_one2one	98.0176	98.0176	100	100.00	1
THSD1	THSD1	ortholog_one2one	99.5305	99.4138	50	100.00	1
NRSN1	NRSN1	ortholog_one2one	100	100	100	100.00	1
							
							
							
							
RNY4P24	Y_RNA	ortholog_one2one	100	100		100.00	1
VPS36	VPS36	ortholog_one2one	100	100	25	100.00	1
							
							
							
SDR42E1P2							
							
							
							
RASEF	RASEF	ortholog_one2one	99.0541	99.0541	100	100.00	1
ETV6	ETV6	ortholog_one2one	99.5575	99.5575	100	100.00	1
MTRR	MTRR	ortholog_one2one	98.2808	94.6207	100	100.00	1
OCIAD2	OCIAD2	ortholog_one2one	98.0519	98.0519	100	100.00	1
OR2U2P							
TFB2MP1							
JARID2	JARID2	ortholog_one2one	99.5185	99.5185	100	100.00	1
MX2	MX1	ortholog_one2one	98.7413	98.7413	100	100.00	1
NMRK1	NMRK1	ortholog_one2one	92.4623	84.0183	100	100.00	1
CLEC1A	CLEC1A	ortholog_one2one	98.9286	98.9286	100	100.00	1
PMM1	PMM1	ortholog_one2one	100	100	100	100.00	1
RPS18P8							
							
PSAT1P1							
OR2J4P							
							
RFPL4AP7							
							
GEMIN8P1							
NDUFA5P12							
TRIM27	TRIM27	ortholog_one2one	100	100	100	100.00	1
HNRNPMP1							
KRT8P9							
							
							
							
RPL6P22							
							
							
							
BUB1B-PAK6							
PNMA2	PNMA2	ortholog_one2one	99.1758	99.1758	100	100.00	1
RAB8B	RAB8B	ortholog_one2one	100	100	100	100.00	1
							
CCNB2P1							
LCA5L	LCA5L	ortholog_one2one	98.209	98.209	100	100.00	1
ELOCP28							
A2ML1-AS2							
CKAP2	CKAP2	ortholog_one2one	97.9472	97.9472	50	100.00	1
							
CLEC9A	CLEC9A	ortholog_one2one	99.1701	99.1701	100	100.00	1
							
							
JSRP1	JSRP1	ortholog_one2one	98.4894	98.4894	100	100.00	1
ICA1	ICA1	ortholog_one2one	99.3789	93.75	100	100.00	1
TATDN1P1							
SNRPEP8							
UBE2D1	UBE2D1	ortholog_one2one	100	100	100	100.00	1
MTCO3P42							
							
RELL1	RELL1	ortholog_one2one	100	100	100	100.00	1
							
							
							
LRP6	LRP6	ortholog_one2one	99.752	99.752	100	100.00	1
ZNRF4							
POLR1E	POLR1E	ortholog_one2one	95.2267	83.6478	100	100.00	1
							
							
DESI1	DESI1	ortholog_one2one	100	100	100	100.00	1
LYN	LYN	ortholog_one2one	100	100	100	100.00	1
RANBP3	RANBP3	ortholog_one2one	95.7672	96.6192	100	100.00	1
							
MTND3P24							
RPS29P11							
							
ARIH1	ARIH1	ortholog_one2one	100	100	100	100.00	1
YWHAZP3							
							
GDF10	GDF10	ortholog_one2one	98.954	99.1614	75	100.00	1
							
							
							
HS3ST1	HS3ST1	ortholog_one2one	99.6743	99.6743	100	100.00	1
ZNF33B	ZNF33B	ortholog_one2one	97.9434	94.1904	100	100.00	1
CAP2P1							
							
ZNF718	ZNF718	ortholog_one2one	98.7448	98.7448	75	100.00	1
FUT8	FUT8	ortholog_one2one	100	100	100	100.00	1
							
HNRNPA1P37							
XRCC6	XRCC6	ortholog_one2many	100	100	25	100.00	1
XRCC6	XRCC6	ortholog_one2many	100	100	100	100.00	1
ZNF90P2							
RBM24	RBM24	ortholog_one2one	100	92.9134	100	100.00	1
							
HMGN1P11							
NRP1	NRP1	ortholog_one2one	99.5666	99.5666	100	100.00	1
							
							
							
							
							
							
LINC02271							
MTND4LP22							
RPL31P31							
							
RAC1P2							
R3HDML	R3HDML	ortholog_one2one	98.8142	98.8142	100	100.00	1
GABRB1	GABRB1	ortholog_one2one	100	100	100	100.00	1
							
							
MIR124-3	MIR124-3	ortholog_one2one	100	100		100.00	1
YTHDF1	YTHDF1	ortholog_one2one	97.6744	93.4931	100	100.00	1
							
SUGT1	SUGT1	ortholog_one2one	99.6997	90.9589	50	100.00	1
CYCSP22							
							
MTCO3P40							
							
HNRNPA1P14							
							
GOLM1	GOLM1	ortholog_one2one	98.7531	98.0198	75	100.00	1
							
CFAP90	CFAP90	ortholog_one2one	98.6395	98.6395	75	100.00	1
TOLLIP	TOLLIP	ortholog_one2one	96.7153	96.3636	100	100.00	1
SNTG1	SNTG1	ortholog_one2one	99.2263	99.2263	100	100.00	1
KRT18P38							
							
							
BIRC7	BIRC7	ortholog_one2one	97.651	97.651	100	100.00	1
CORIN	CORIN	ortholog_one2one	98.8484	98.8484	100	100.00	1
DDX18P3							
SSR1	SSR1	ortholog_one2one	99.3007	95.302	100	100.00	1
							
ALG3P1							
MTCO2P30							
							
							
UBE2V1P12							
ATP5PF		ortholog_one2one	68.5185	73.2673	0	0.00	0
							
							
PLCB2	PLCB2	ortholog_one2one	99.6624	99.6624	100	100.00	1
							
							
FBXL7	FBXL7	ortholog_one2one	100	100	100	100.00	1
SCNN1G	SCNN1G	ortholog_one2one	99.5378	99.5378	100	100.00	1
HNRNPA1L2							
DAOA	DAOA	ortholog_one2one	47.0588	94.7368	100	100.00	0
RPS23P5							
							
HPRT1P2							
MARK2P5							
							
							
PTPN11P4							
RPL15P17							
PTMAP9							
SPEF2	SPEF2	ortholog_one2one	85.2909	71.679	100	100.00	0
							
OR7E148P							
SUPT16HP1							
MIR3196							
NKAIN4	NKAIN4	ortholog_one2one	96.6346	96.6346	100	100.00	1
OLR1	OLR1	ortholog_one2one	99.2674	99.2674	100	100.00	1
							
ZIC2	ZIC2	ortholog_one2one	100	99.8124	100	100.00	1
LINC00554							
CYCSP39							
NDUFA12P1							
							
ASNSP3							
HS3ST2	HS3ST2	ortholog_one2one	100	100	100	100.00	1
RPL15P18							
TOLLIP-DT							
							
							
ZIC5	ZIC5	ortholog_one2one	98.748	96.0426	100	100.00	1
							
MUC5B		ortholog_one2one	50.7116	86.5009	100	99.35	0
							
SLC28A3-AS1							
TUT7	TUT7	ortholog_one2one	99.6656	96.7533	75	100.00	1
LNX2	LNX2	ortholog_one2one	99.5652	99.5652	100	100.00	1
TMC7	TMC7	ortholog_one2one	96.8188	96.6851	100	100.00	1
NPM1P4							
GSX1	GSX1	ortholog_one2one	100	100	100	100.00	1
FLJ16779							
PLUT							
RNU6-73P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
RPA3	RPA3	ortholog_one2one	98.3471	98.3471	100	100.00	1
PDX1	PDX1	ortholog_one2one	99.2933	99.2933	100	100.00	1
ARFGAP1	ARFGAP1	ortholog_one2one	97.7832	95.8937	100	100.00	1
POLR1D	POLR1D	ortholog_one2one	100	100	100	100.00	1
FOXF2	FOXF2	ortholog_one2one	98.8739	98.8739	100	100.00	1
NXPH1	NXPH1	ortholog_one2many	94.4649	95.5224	0	100.00	1
NXPH1	NXPH1	ortholog_one2many	100	100	100	100.00	1
UQCRFS1P3							
SOX4	SOX4	ortholog_one2one	100	100	100	100.00	1
FTCD-AS1							
SPATC1L	SPATC1L	ortholog_one2one	97.3529	97.3529	75	100.00	1
RPL21P62							
OR2G1P							
							
CLEC4D	CLEC4D	ortholog_one2one	98.1395	98.1395	100	100.00	1
CDKAL1	CDKAL1	ortholog_one2one	99.8273	99.8273	100	100.00	1
							
							
PAPOLB	PAPOLB	ortholog_one2one	97.4882	90.393	100	100.00	1
							
RPL23AP52							
RPL36AP26							
							
							
C1GALT1	C1GALT1	ortholog_one2one	99.1736	97.035	100	100.00	1
LSS	LSS	ortholog_one2one	99.3169	99.3169	50	100.00	1
LIG4	LIG4	ortholog_one2one	99.4511	99.4511	100	100.00	1
DCDC2	DCDC2	ortholog_one2one	99.5798	99.5798	100	100.00	1
LINC01039							
CFL1P8							
							
							
MIR4306							
CLYBL	CLYBL	ortholog_one2one	99.4118	99.4118	100	100.00	1
							
							
BRSK2	BRSK2	ortholog_one2one	82.4728	85.014	100	100.00	1
RPL7P40							
							
SKP1P2							
							
AP5Z1	AP5Z1	ortholog_one2one	99.1326	99.1326	100	100.00	1
ID4	ID4	ortholog_one2one	100	100	100	100.00	1
ITGBL1	ITGBL1	ortholog_one2one	99.5951	99.5951	100	100.00	1
TNRC6A	TNRC6A	ortholog_one2one	97.5535	98.8126	100	100.00	1
ACCSLP1							
BOLA2P3							
RPS19P3							
RAB42P1							
ENSAP2							
UBA52P3							
CYB5AP5							
PTPRO	PTPRO	ortholog_one2one	99.7533	99.7533	100	100.00	1
NAA30	NAA30	ortholog_one2one	99.7238	99.7238	100	100.00	1
KIF13A	KIF13A	ortholog_one2one	99.2244	97.4959	100	100.00	1
SLC16A2	SLC16A2	ortholog_one2one	99.6289	100	100	100.00	1
TINF2							
							
CLEC14A	CLEC14A	ortholog_one2one	99.1837	99.1837	100	100.00	1
SARAF	SARAF	ortholog_one2one	98.8201	98.8201	100	100.00	1
TERF1P7							
LDHBP2							
MTND1P31							
TOMM20P4							
KRT8P27							
							
MAGED2	MAGED2	ortholog_one2many	99.505	99.505	100	100.00	1
MAGED2	MAGED2	ortholog_one2many	99.505	99.505	0	75.88	1
							
RGS6	RGS6	ortholog_one2one	83.8775	76.3941	100	100.00	0
RPS20P25							
TYRP1	TYRP1	ortholog_one2one	99.4413	92.3875	100	100.00	1
GNA15-DT							
GNG7	GNG7	ortholog_one2one	100	100	100	100.00	1
YJU2	YJU2	ortholog_one2one	98.7616	98.7616	100	100.00	1
SUPT20H	SUPT20H	ortholog_one2one	90.5006	86.9297	100	100.00	1
MTCYBP16							
							
							
Y_RNA	Y_RNA	ortholog_one2many	99.0196	99.0196		100.00	1
Y_RNA	Y_RNA	ortholog_one2many	99.0196	99.0196		100.00	1
SNU13	SNU13	ortholog_one2one	100	100	25	100.00	1
CLOCK	CLOCK	ortholog_one2one	100	99.8819	100	100.00	1
GNA14	GNA14	ortholog_one2one	99.7183	99.7183	100	100.00	1
							
MTND6P2							
HSPD1P15							
GNA15	GNA15	ortholog_one2one	100	100	50	100.00	1
							
LINC02146							
BUD31P1							
							
CYP7B1	CYP7B1	ortholog_one2one	99.4071	99.4071	100	100.00	1
							
KLF8	KLF8	ortholog_one2one	100	100	100	100.00	1
							
							
							
							
							
ZFAND5	ZFAND5	ortholog_one2one	100	100	100	100.00	1
							
ANKH-DT							
TGM1							
ITGA11	ITGA11	ortholog_one2one	98.064	96.6003	100	100.00	1
							
							
							
							
RNU6-476P	U6	ortholog_one2many	100	100		100.00	1
RNU6-476P	U6	ortholog_one2many	100	100		100.00	1
HMGN2P10							
RNU6ATAC22P		ortholog_one2many	100	100		0.00	0
RNU6ATAC22P		ortholog_one2many	100	100		100.00	1
RN7SL162P	Metazoa_SRP	ortholog_one2one	98.2877	98.2877		100.00	1
HSCB	HSCB	ortholog_one2one	98.2979	98.2979	100	100.00	1
ZFR	ZFR	ortholog_one2one	99.9069	99.9069	100	100.00	1
							
							
CA8	CA8	ortholog_one2one	100	100	100	100.00	1
							
							
EVA1CP3							
RBMX2P4							
NDUFA4	NDUFA4	ortholog_one2one	100	100	100	100.00	1
SAFB	SAFB	ortholog_one2one	98.4733	97.8332	100	100.00	1
SFR1P2							
HNRNPH3P1							
THAP12P1							
							
							
PLXDC2	PLXDC2	ortholog_one2one	83.1758	97.1302	100	99.16	1
PSMA1P1							
							
PCNPP4							
KCTD9P6							
							
							
RNF122	RNF122	ortholog_one2one	100	100	75	100.00	1
XAGE2	XAGE2	ortholog_one2many	98.1982	98.1982	0	97.94	1
XAGE2	XAGE2	ortholog_one2many	98.1982	98.1982	50	100.00	1
MICALL2	MICALL2	ortholog_one2one	97.677	97.4614	50	100.00	1
TPMTP4							
SAR1AP4							
FGF16	FGF16	ortholog_one2one	100	100	100	100.00	1
							
							
							
							
RPL8P5							
ZMAT4	ZMAT4	ortholog_one2one	99.5633	99.5633	100	100.00	1
COMT	COMT	ortholog_one2one	99.262	99.262	100	100.00	1
P2RY10BP							
							
CPXCR1	CPXCR1	ortholog_one2one	97.6744	97.6744	100	100.00	1
SNX29	SNX29	ortholog_one2one	97.048	97.6485	100	100.00	1
							
							
FTCD							
HMGN1P34							
RABGGTA							
HDAC8	HDAC8	ortholog_one2one	90.4509	86.1111	100	100.00	1
CRISPLD1	CRISPLD1	ortholog_one2one	99.6	99.6	100	100.00	1
							
SGSM2	SGSM2	ortholog_one2one	99.334	99.4286	100	100.00	1
							
ZBTB5	ZBTB5	ortholog_one2one	99.7046	99.7046	100	100.00	1
POLR3E	POLR3E	ortholog_one2one	99.2938	99.7163	100	100.00	1
NAA35	NAA35	ortholog_one2one	100	100	75	100.00	1
							
RPL31P44							
							
							
MRLN	MRLN	ortholog_one2one	97.8261	97.8261	100	100.00	1
NPM1P11							
GAPDHP68							
HACD3	HACD3	ortholog_one2one	100	90.5	100	100.00	1
							
							
GTF3AP5							
							
PRPS1L1							
							
							
NEK4P3							
MRPS21P5							
							
							
CPVL	CPVL	ortholog_one2one	98.3193	98.3193	100	100.00	1
PRELID1P3							
JCAD	JCAD	ortholog_one2one	98.5283	98.8922	100	100.00	1
							
FOXD4L3		ortholog_one2many	79.1367	98.5075	0	0.00	0
							
							
RPSAP6							
SPAG6	SPAG6	ortholog_one2one	92.9273	97.7273	100	100.00	1
CARD19	CARD19	ortholog_one2one	91.8033	68.2927	100	100.00	0
SLC38A9	SLC38A9	ortholog_one2one	99.1087	99.1087	100	100.00	1
ATP5F1AP7							
FAM74A7							
HLCS	HLCS	ortholog_one2one	82.5888	99.3113	100	100.00	1
RPL21P85							
							
							
							
RPL21P83							
GNA14-AS1							
OSTF1	OSTF1	ortholog_one2one	100	100	100	100.00	1
MIR4761							
ARVCF	ARVCF	ortholog_one2one	99.2723	99.2723	100	100.00	1
							
							
		ortholog_one2one	99.2188	99.2188		100.00	1
KCNE1	KCNE1	ortholog_one2one	96.8992	94.697	100	100.00	1
CENPC	CENPC	ortholog_one2one	99.0456	99.0456	100	100.00	1
MUC5B-AS1							
H3P33							
ZNF215	ZNF215	ortholog_one2one	98.2592	98.2592	100	100.00	1
MIR4326							
RNU6-994P	U6	ortholog_one2one	97.2973	97.2973		100.00	1
CHRNA4	CHRNA4	ortholog_one2one	85.9649	84.2188	100	100.00	1
R3HCC1	R3HCC1	ortholog_one2one	98.6364	90.4167	100	100.00	1
							
							
COL6A1							
MTCO1P51							
							
FRMD3	FRMD3	ortholog_one2one	99.8325	99.8325	100	100.00	1
GALNT18	GALNT18	ortholog_one2one	100	100	100	100.00	1
THAP12P3							
MARCHF8	MARCHF8	ortholog_one2one	98.4293	98.4293	100	100.00	1
							
							
DHRS1							
ANKFY1	ANKFY1	ortholog_one2one	99.059	95.6235	100	100.00	1
							
DKK1	DKK1	ortholog_one2one	99.2481	91.3495	100	100.00	1
							
NEFM	NEFM	ortholog_one2one	97.9258	99.3355	100	100.00	1
HIGD1AP15							
RPL23AP6							
PLCB2-AS1							
SDAD1P2							
MKKS	MKKS	ortholog_one2one	98.7719	98.7719	100	100.00	1
REC114	REC114	ortholog_one2one	99.2481	99.6226	100	100.00	1
CALCB	CALCB	ortholog_one2one	99.2126	91.3043	100	100.00	1
							
KIF5B	KIF5B	ortholog_one2one	99.8962	99.8962	100	100.00	1
TANGO2	TANGO2	ortholog_one2one	93.4783	81.388	100	100.00	1
NPTN-IT1							
							
NAV2-AS3							
							
TBC1D21	TBC1D21	ortholog_one2one	99.1071	99.1071	100	100.00	1
GADD45G	GADD45G	ortholog_one2one	99.3711	99.3711	100	100.00	1
ZNF214	ZNF214	ortholog_one2one	98.8449	96.9256	100	100.00	1
GSDME	GSDME	ortholog_one2one	98.7903	98.7903	100	100.00	1
TCF4-AS1							
MIR4529	MIR4529	ortholog_one2one	100	100		100.00	1
RPL21P126							
PEX2	PEX2	ortholog_one2one	98.6885	98.6885	100	100.00	1
							
U3	U3	ortholog_one2one	98.5981	98.5981		100.00	1
							
SNX18P23							
AQP4	AQP4	ortholog_one2one	99.6904	99.6904	75	100.00	1
							
PTK6	PTK6	ortholog_one2one	99.1131	99.1131	100	100.00	1
MTCO3P28							
TECRL	TECRL	ortholog_one2one	99.449	99.449	100	100.00	1
							
MUC5AC	MUC5AC	ortholog_one2one	77.768	92.5489	100	98.41	0
CDRT15P7							
							
							
FNDC11	FNDC11	ortholog_one2one	99.0566	99.0566	100	100.00	1
							
							
LINC03023							
SDR42E1P4							
OLIG2		ortholog_one2many	100	100	100	100.00	1
OLIG2		ortholog_one2many	100	100	100	100.00	1
ASS1P3							
							
PA2G4P6							
OR7E31P							
SDR42E1P3							
							
PXDNL	PXDNL	ortholog_one2one	98.838	98.838	100	100.00	1
MTND3P4							
NOP9							
RNU1-94P	U1	ortholog_one2one	90.7514	89.2045		100.00	1
							
PDRG1	PDRG1	ortholog_one2one	99.2481	99.2481	100	100.00	1
							
							
INSR	INSR	ortholog_one2one	98.1187	96.3068	100	100.00	1
LINC00583							
							
							
IL6RP1							
							
RBPJP2							
							
TEX10	TEX10	ortholog_one2one	99.8924	99.8924	100	100.00	1
OLIG1	OLIG1	ortholog_one2many	99.631	99.2647	100	100.00	1
OLIG1	OLIG1	ortholog_one2many	98.893	98.5294	100	100.00	1
TFF3	TFF3	ortholog_one2one	98.75	84.0426	100	100.00	1
CDH10	CDH10	ortholog_one2one	100	100	75	100.00	1
							
XKR7	XKR7	ortholog_one2one	99.8273	99.8273	100	100.00	1
							
							
LINC01177							
							
POTED		ortholog_one2many	93.4931	93.4931	0	0.00	0
							
							
PCMTD1P2							
							
							
							
							
							
RNA5SP481							
							
CCM2L	CCM2L	ortholog_one2one	64.2732	84.9537	100	100.00	0
DUX4L46							
PDCL3P1							
							
							
							
IGLV8OR8-1							
RPL3P9							
NPTN	NPTN	ortholog_one2one	100	100	100	100.00	1
DUX4L47							
							
NETO2	NETO2	ortholog_one2one	100	99.8099	100	100.00	1
ZFHX4	ZFHX4	ortholog_one2one	99.6405	99.6681	100	100.00	1
LINC02483							
RPL36AP40							
SNX18P24							
RBMXL2	RBMXL2	ortholog_one2one	98.7245	98.7245	100	100.00	1
							
							
							
ANO3	ANO3	ortholog_one2one	98.8787	93.0902	100	100.00	1
EXOC5P1							
							
RNA5SP482							
							
							
LDHAP1							
RSL24D1P6							
							
PLAGL2	PLAGL2	ortholog_one2one	99.7984	99.7984	100	100.00	1
SRIP1							
THAP12P9							
ONECUT2	ONECUT2	ortholog_one2one	100	100	100	100.00	1
							
							
							
SLC34A2	SLC34A2	ortholog_one2one	98.8406	98.8406	100	100.00	1
							
MIR1825	ptr-mir-1825	ortholog_one2one	100	100		100.00	1
							
NARS1	NARS1	ortholog_one2one	99.2701	97.491	100	100.00	1
CIDEB							
BAK1P1							
MAPRE1	MAPRE1	ortholog_one2one	100	100	100	100.00	1
UMODL1	UMODL1	ortholog_one2one	96.9651	88.4429	100	100.00	1
							
							
							
							
							
							
							
							
RPL21P75							
GPX8	GPX8	ortholog_one2one	99.0431	99.0431	100	100.00	1
							
PROCR	PROCR	ortholog_one2one	98.7395	98.7395	100	100.00	1
OSBPL3	OSBPL3	ortholog_one2one	97.1815	97.0721	100	100.00	1
							
GRIN3A	GRIN3A	ortholog_one2one	99.1031	99.1031	100	100.00	1
ZZEF1	ZZEF1	ortholog_one2one	99.5947	99.5611	100	100.00	1
RNA5SP483							
ISL1	ISL1	ortholog_one2one	100	100	75	100.00	1
LTB4R2							
MMP24OS							
							
							
MRPL9P1							
CLVS1	CLVS1	ortholog_one2one	100	100	100	100.00	1
LTB4R							
							
PPP1R1AP2							
CELF5	CELF5	ortholog_one2one	100	100	100	100.00	1
METTL22	METTL22	ortholog_one2one	99.0099	99.0099	100	100.00	1
NBEA	NBEA	ortholog_one2one	99.2248	99.8982	100	100.00	1
MT1P3							
RPL7AP46							
MMP24	MMP24	ortholog_one2one	100	100	100	100.00	1
CYLC2	CYLC2	ortholog_one2one	95.4023	96.793	100	100.00	1
RPL23AP39							
ADCY4							
CHL1-AS1							
PTPN21	PTPN21	ortholog_one2one	99.2334	99.2334	100	100.00	1
							
FEM1B	FEM1B	ortholog_one2one	100	100	100	100.00	1
							
SETDB2	SETDB2	ortholog_one2one	99.5757	97.9138	100	100.00	1
							
OR7E116P							
TMEM38B	TMEM38B	ortholog_one2one	94.5017	92.5926	100	100.00	1
							
							
WNT7A	WNT7A	ortholog_one2one	100	100	100	100.00	1
							
							
ANKH	ANKH	ortholog_one2one	99.7967	99.7967	100	100.00	1
ARMC1	ARMC1	ortholog_one2one	100	100	100	100.00	1
SNRPGP14							
NMT2	NMT2	ortholog_one2one	100	100	100	100.00	1
PHF11	PHF11	ortholog_one2one	99.3958	99.3958	100	100.00	1
PML	PML	ortholog_one2one	94.4444	99.6412	100	100.00	1
							
							
FAM83C	FAM83C	ortholog_one2one	99.0629	99.0629	100	100.00	1
							
BARX1	BARX1	ortholog_one2one	100	100	100	100.00	1
JARID2-AS1							
							
IMPDH1P9							
							
							
DSN1	DSN1	ortholog_one2one	99.4382	99.4382	100	100.00	1
TPMT	TPMT	ortholog_one2one	99.1837	99.1837	100	100.00	1
MESTP3							
RPS26P24							
							
							
							
ATP8B1	ATP8B1	ortholog_one2one	99.8401	99.8401	100	100.00	1
							
UGT2B10	UGT2B10	ortholog_one2one	98.2955	98.2955	100	10.34	1
ADH5P5							
							
GCSHP1							
RPL21P56							
							
							
							
LINC02578							
AK4P2							
GAPDHP26							
CLEC7A	CLEC7A	ortholog_one2one	98.3806	98.3806	100	100.00	1
CHL1	CHL1	ortholog_one2one	99.2647	99.1837	50	100.00	1
MTND2P9							
							
