Gene name	Mouse gene name	Mouse homology type	%id. target Mouse gene identical to query gene	%id. query gene identical to target Mouse gene	Mouse Gene-order conservation score	Mouse Whole-genome alignment coverage	Mouse orthology confidence [0 low, 1 high]
		ortholog_many2many	39.4515	38.8773	0	0.00	0
	Pramel7	ortholog_many2many	33.5443	33.1942	0	0.00	0
		ortholog_many2many	38.1857	37.6299	0	0.00	0
	Pramel33	ortholog_many2many	38.1857	37.6299	0	0.00	0
		ortholog_many2many	36.9198	36.4583	0	0.00	0
	Pramel12	ortholog_many2many	43.038	42.5	100	0.00	0
		ortholog_many2many	38.3966	37.8378	0	0.00	0
	Pramel37	ortholog_many2many	37.9747	37.422	0	0.00	0
	Pramel26	ortholog_many2many	34.5992	34.4538	0	0.00	0
	Pramel24	ortholog_many2many	37.9747	37.9747	100	0.00	0
	Pramel44	ortholog_many2many	36.7089	36.1746	0	0.00	0
		ortholog_many2many	33.1224	38.5749	0	0.00	0
	Pramel4	ortholog_many2many	38.3966	36.4	100	0.00	0
	Pramel5	ortholog_many2many	37.5527	35.6	0	0.00	0
	Pramel27	ortholog_many2many	33.3333	32.1792	100	0.00	0
	Pramel49	ortholog_many2many	39.4515	38.8773	0	0.00	0
	Pramel32	ortholog_many2many	37.7637	36.3083	0	0.00	0
	Pramel53	ortholog_many2many	37.1308	36.5904	0	0.00	0
		ortholog_many2many	38.3966	37.8378	0	0.00	0
	Pramel18	ortholog_many2many	36.4979	35.7438	0	0.00	0
	Pramel56	ortholog_many2many	38.3966	37.8378	0	0.00	0
	Pramel45	ortholog_many2many	37.9747	37.422	0	0.00	0
	Gm16367	ortholog_many2many	38.3966	37.8378	0	0.00	0
	Pramel28	ortholog_many2many	38.8186	38.2536	0	0.00	0
	Pramel36	ortholog_many2many	39.4515	38.8773	0	0.00	0
		ortholog_many2many	24.0506	41.0072	0	0.00	0
	Prame62	ortholog_many2many	14.346	41.4634	0	0.00	0
	Pramel20	ortholog_many2many	39.4515	38.8773	100	0.00	0
		ortholog_many2many	38.1857	37.6299	0	0.00	0
		ortholog_many2many	37.9747	36.5112	0	0.00	0
	Pramel50	ortholog_many2many	37.9747	37.422	0	0.00	0
LNP1	Lnp1	ortholog_one2one	53.8071	59.5506	100	0.00	1
PFN2	Pfn2	ortholog_one2one	68.617	92.1429	100	0.00	1
SST	Sst	ortholog_one2one	97.4138	97.4138	100	1.51	1
	Mest	ortholog_one2many	95.2532	92.3313	0	0.00	0
							
U2							
HRG	Hrg	ortholog_one2one	59.0476	57.8358	50	0.00	0
							
							
							
TNNI1	Tnni1	ortholog_one2one	97.861	97.861	100	0.00	1
							
							
Metazoa_SRP							
							
							
							
	Pramel6	ortholog_many2many	38.3648	37.732	0	0.00	0
	Pramel48	ortholog_many2many	41.2998	40.9563	0	0.00	0
		ortholog_many2many	39.413	39.0852	0	0.00	0
	Pramel38	ortholog_many2many	39.8323	39.501	0	0.00	0
	Pramel47	ortholog_many2many	38.9937	39.1579	0	0.00	0
	Pramel35	ortholog_many2many	39.8323	39.501	0	0.00	0
	Pramel43	ortholog_many2many	40.2516	39.9168	0	0.00	0
	Pramel13	ortholog_many2many	44.8637	46.2203	0	0.00	0
	Pramel34	ortholog_many2many	39.6226	39.7895	0	0.00	0
	Pramel31	ortholog_many2many	42.7673	42.4116	100	0.00	0
		ortholog_many2many	40.8805	39.0782	0	0.00	0
		ortholog_many2many	29.3501	38.9972	0	0.00	0
	Oog2	ortholog_many2many	35.6394	34.413	100	0.00	0
	Pramel57	ortholog_many2many	41.2998	40.9563	0	0.00	0
	Pramel40	ortholog_many2many	40.0419	39.7089	0	0.00	0
	Pramel22	ortholog_many2many	36.0587	37.3913	0	0.00	0
	Pramel14	ortholog_many2many	38.9937	39.1579	0	0.00	0
	Pramel61	ortholog_many2many	39.413	37.6	100	0.00	0
	Gm13040	ortholog_many2many	42.348	41.9958	100	0.00	0
	Pramel42	ortholog_many2many	39.8323	39.501	0	0.00	0
	Pramel60	ortholog_many2many	39.8323	39.501	0	0.00	0
	Pramel16	ortholog_many2many	42.9769	42.6195	0	0.00	0
	Pramel29	ortholog_many2many	38.5744	36.9478	0	0.00	0
		ortholog_many2many	26.8344	46.0432	0	0.00	0
	Pramel17	ortholog_many2many	38.1551	38.2353	0	0.00	0
	Pramel55	ortholog_many2many	41.2998	40.9563	0	0.00	0
	Pramel51	ortholog_many2many	37.3166	34.2308	0	0.00	0
	Oog4	ortholog_many2many	38.7841	36.8526	0	0.00	0
		ortholog_many2many	29.3501	38.9972	0	0.00	0
	Pramel15	ortholog_many2many	42.1384	42.1384	0	0.00	0
	Pramel30	ortholog_many2many	39.2034	39.3684	100	0.00	0
	Gm2042	ortholog_many2many	37.3166	35.8871	0	0.00	0
	Gm12790	ortholog_many2many	11.9497	28.3582	0	0.00	0
		ortholog_many2many	39.8323	39.501	0	0.00	0
		ortholog_many2many	40.0419	39.7089	0	0.00	0
	Pramel1	ortholog_many2many	38.5744	40.1747	100	0.00	0
		ortholog_many2many	34.1719	40.0491	0	0.00	0
	Oog3	ortholog_many2many	39.6226	37.8	0	0.00	0
	Pramel25	ortholog_many2many	37.3166	35.743	100	0.00	0
		ortholog_many2many	40.0419	39.7089	0	0.00	0
	Pramel11	ortholog_many2many	41.7191	41.9831	0	0.00	0
		ortholog_many2many	39.8323	39.501	0	0.00	0
	C130073F10Rik	ortholog_many2many	12.369	29.3532	0	0.00	0
		ortholog_many2many	34.8008	40.8867	0	0.00	0
	Gm13057	ortholog_many2many	42.348	41.9958	100	0.00	0
	Pramel41	ortholog_many2many	40.0419	39.7089	0	0.00	0
	Pramel54	ortholog_many2many	40.2516	39.9168	0	0.00	0
		ortholog_many2many	40.0419	39.7917	0	0.00	0
	Pramel19	ortholog_many2many	37.9455	37.4741	0	0.00	0
	Pramel46	ortholog_many2many	40.4612	40.1247	0	0.00	0
	Pramel21	ortholog_many2many	41.7191	41.2863	100	0.00	0
	Pramel23	ortholog_many2many	35.2201	36.9231	0	0.00	0
	Gm13043	ortholog_many2many	42.348	41.9958	100	0.00	0
		ortholog_many2many	41.2998	40.9563	0	0.00	0
	Oog1	ortholog_many2many	37.3166	35.8871	0	0.00	0
		ortholog_many2many	40.2516	39.9168	0	0.00	0
	Pramel7	ortholog_many2many	36.0587	35.9081	0	0.00	0
		ortholog_many2many	39.6226	39.2931	0	0.00	0
	Pramel33	ortholog_many2many	40.0419	39.7089	0	0.00	0
		ortholog_many2many	39.8323	39.5833	0	0.00	0
	Pramel12	ortholog_many2many	44.4444	44.1667	100	0.00	0
		ortholog_many2many	39.8323	39.501	0	0.00	0
	Pramel37	ortholog_many2many	39.413	39.0852	0	0.00	0
	Pramel26	ortholog_many2many	35.8491	35.9244	0	0.00	0
	Pramel24	ortholog_many2many	41.0901	41.3502	100	0.00	0
	Pramel44	ortholog_many2many	40.4612	40.1247	0	0.00	0
		ortholog_many2many	34.1719	40.0491	0	0.00	0
	Pramel4	ortholog_many2many	39.413	37.6	100	0.00	0
	Pramel5	ortholog_many2many	39.2034	37.4	0	0.00	0
	Pramel27	ortholog_many2many	36.478	35.4379	100	0.00	0
	Pramel49	ortholog_many2many	40.4612	40.1247	0	0.00	0
	Pramel32	ortholog_many2many	38.3648	37.1197	0	0.00	0
	Pramel53	ortholog_many2many	40.2516	39.9168	0	0.00	0
		ortholog_many2many	39.8323	39.501	0	0.00	0
	Pramel18	ortholog_many2many	38.3648	37.8099	0	0.00	0
	Pramel56	ortholog_many2many	39.8323	39.501	0	0.00	0
	Pramel45	ortholog_many2many	40.6709	40.3326	0	0.00	0
	Gm16367	ortholog_many2many	39.8323	39.501	0	0.00	0
	Pramel28	ortholog_many2many	42.348	41.9958	0	0.00	0
	Pramel36	ortholog_many2many	40.4612	40.1247	0	0.00	0
		ortholog_many2many	25.9958	44.6043	0	0.00	0
	Prame62	ortholog_many2many	14.2558	41.4634	0	0.00	0
	Pramel20	ortholog_many2many	42.1384	41.7879	100	0.00	0
		ortholog_many2many	39.8323	39.501	0	0.00	0
		ortholog_many2many	40.8805	39.5538	0	0.00	0
	Pramel50	ortholog_many2many	39.413	39.0852	0	0.00	0
							
RTP4	Rtp4	ortholog_one2one	43.0894	42.5703	100	0.00	0
	Bend2	ortholog_many2many	33.9623	2.47253	0	0.00	0
CLSTN1	Clstn1	ortholog_one2one	92.6606	92.8498	100	4.82	1
							
							
							
USP19	Usp19	ortholog_one2one	87.1036	88.9209	100	100.00	1
OLFM3	Olfm3	ortholog_one2one	91.6318	95.6332	100	37.23	1
							
							
U6	Gm55032	ortholog_many2many	58.9286	76.7442		0.00	0
U6	Gm54979	ortholog_many2many	64.2857	75.7895		0.00	0
Metazoa_SRP							
	Pramel6	ortholog_many2many	31.6239	15.2577	0	0.00	0
	Pramel48	ortholog_many2many	33.7607	16.4241	0	0.00	0
		ortholog_many2many	35.8974	17.4636	0	0.00	0
	Pramel38	ortholog_many2many	33.3333	16.2162	0	0.00	0
	Pramel47	ortholog_many2many	33.3333	16.4211	0	0.00	0
	Pramel35	ortholog_many2many	33.3333	16.2162	0	0.00	0
	Pramel43	ortholog_many2many	36.7521	17.8794	0	0.00	0
	Pramel13	ortholog_many2many	35.4701	17.9266	100	0.00	0
	Pramel34	ortholog_many2many	33.7607	16.6316	0	0.00	0
	Pramel31	ortholog_many2many	35.4701	17.2557	0	0.00	0
		ortholog_many2many	33.7607	15.8317	0	0.00	0
		ortholog_many2many	14.1026	9.1922	0	0.00	0
	Oog2	ortholog_many2many	32.4786	15.3846	0	0.00	0
	Pramel57	ortholog_many2many	33.7607	16.4241	0	0.00	0
	Pramel40	ortholog_many2many	34.188	16.632	0	0.00	0
	Pramel22	ortholog_many2many	29.0598	14.7826	100	0.00	0
	Pramel14	ortholog_many2many	33.7607	16.6316	100	0.00	0
	Pramel61	ortholog_many2many	35.0427	16.4	0	0.00	0
	Gm13040	ortholog_many2many	35.8974	17.4636	0	0.00	0
	Pramel42	ortholog_many2many	33.3333	16.2162	0	0.00	0
	Pramel60	ortholog_many2many	33.3333	16.2162	0	0.00	0
	Pramel16	ortholog_many2many	35.4701	17.2557	100	0.00	0
	Pramel29	ortholog_many2many	33.3333	15.6627	100	0.00	0
		ortholog_many2many	31.1966	26.259	0	0.00	0
	Pramel17	ortholog_many2many	34.188	16.8067	0	0.00	0
	Pramel55	ortholog_many2many	33.7607	16.4241	0	0.00	0
	Pramel51	ortholog_many2many	32.906	14.8077	0	0.00	0
	Oog4	ortholog_many2many	35.0427	16.3347	100	0.00	0
		ortholog_many2many	14.1026	9.1922	0	0.00	0
	Pramel15	ortholog_many2many	32.0513	15.7233	100	0.00	0
	Pramel30	ortholog_many2many	34.188	16.8421	0	0.00	0
	Gm2042	ortholog_many2many	32.906	15.5242	0	0.00	0
	Gm12790	ortholog_many2many	4.70085	5.47264	0	0.00	0
		ortholog_many2many	33.3333	16.2162	0	0.00	0
		ortholog_many2many	34.188	16.632	0	0.00	0
	Pramel1	ortholog_many2many	26.9231	13.7555	0	0.00	0
		ortholog_many2many	24.359	14.0049	0	0.00	0
	Oog3	ortholog_many2many	31.1966	14.6	100	0.00	0
	Pramel25	ortholog_many2many	32.4786	15.261	0	0.00	0
		ortholog_many2many	34.188	16.632	0	0.00	0
	Pramel11	ortholog_many2many	36.3248	17.9325	100	0.00	0
		ortholog_many2many	33.3333	16.2162	0	0.00	0
	C130073F10Rik	ortholog_many2many	5.55556	6.46766	0	0.00	0
		ortholog_many2many	23.0769	13.3005	0	0.00	0
	Gm13057	ortholog_many2many	35.8974	17.4636	0	0.00	0
	Pramel41	ortholog_many2many	34.6154	16.8399	0	0.00	0
	Pramel54	ortholog_many2many	34.6154	16.8399	0	0.00	0
		ortholog_many2many	34.6154	16.875	0	0.00	0
	Pramel19	ortholog_many2many	32.4786	15.735	0	0.00	0
	Pramel46	ortholog_many2many	36.7521	17.8794	0	0.00	0
	Pramel21	ortholog_many2many	35.4701	17.2199	0	0.00	0
	Pramel23	ortholog_many2many	27.7778	14.2857	100	0.00	0
	Gm13043	ortholog_many2many	35.8974	17.4636	0	0.00	0
		ortholog_many2many	33.7607	16.4241	0	0.00	0
	Oog1	ortholog_many2many	32.906	15.5242	0	0.00	0
		ortholog_many2many	36.7521	17.8794	0	0.00	0
	Pramel7	ortholog_many2many	32.4786	15.8664	0	0.00	0
		ortholog_many2many	33.3333	16.2162	0	0.00	0
	Pramel33	ortholog_many2many	33.3333	16.2162	0	0.00	0
		ortholog_many2many	34.6154	16.875	0	0.00	0
	Pramel12	ortholog_many2many	38.0342	18.5417	0	0.00	0
		ortholog_many2many	33.3333	16.2162	0	0.00	0
	Pramel37	ortholog_many2many	35.8974	17.4636	0	0.00	0
	Pramel26	ortholog_many2many	32.4786	15.9664	100	0.00	0
	Pramel24	ortholog_many2many	35.0427	17.2996	0	0.00	0
	Pramel44	ortholog_many2many	33.7607	16.4241	0	0.00	0
		ortholog_many2many	24.359	14.0049	0	0.00	0
	Pramel4	ortholog_many2many	35.0427	16.4	0	0.00	0
	Pramel5	ortholog_many2many	34.6154	16.2	100	0.00	0
	Pramel27	ortholog_many2many	28.2051	13.442	0	0.00	0
	Pramel49	ortholog_many2many	36.7521	17.8794	0	0.00	0
	Pramel32	ortholog_many2many	34.188	16.2272	0	0.00	0
	Pramel53	ortholog_many2many	34.6154	16.8399	0	0.00	0
		ortholog_many2many	33.3333	16.2162	0	0.00	0
	Pramel18	ortholog_many2many	32.4786	15.7025	0	0.00	0
	Pramel56	ortholog_many2many	33.3333	16.2162	0	0.00	0
	Pramel45	ortholog_many2many	34.188	16.632	0	0.00	0
	Gm16367	ortholog_many2many	33.3333	16.2162	0	0.00	0
	Pramel28	ortholog_many2many	36.3248	17.6715	100	0.00	0
	Pramel36	ortholog_many2many	36.7521	17.8794	0	0.00	0
		ortholog_many2many	29.9145	25.1799	0	0.00	0
	Prame62	ortholog_many2many	0	0	0	0.00	0
	Pramel20	ortholog_many2many	35.8974	17.4636	0	0.00	0
		ortholog_many2many	33.3333	16.2162	0	0.00	0
		ortholog_many2many	34.188	16.2272	0	0.00	0
	Pramel50	ortholog_many2many	35.8974	17.4636	0	0.00	0
							
CRYBG3	Crybg3	ortholog_one2one	61.9846	62.6355	100	0.00	1
TOMM70	Tomm70a	ortholog_one2one	93.2504	85.9247	100	0.00	1
U2							
	Mir215	ortholog_one2one	75.4545	74.1071		0.00	0
							
							
GNG4	Gng4	ortholog_one2one	88.3117	90.6667	100	0.00	1
							
							
							
Metazoa_SRP							
PRAMEF12	Pramel6	ortholog_many2many	38.7164	38.5567	0	0.00	0
PRAMEF12	Pramel48	ortholog_many2many	42.8571	43.0353	0	0.00	0
PRAMEF12		ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	Pramel38	ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	Pramel47	ortholog_many2many	39.5445	40.2105	0	0.00	0
PRAMEF12	Pramel35	ortholog_many2many	41.8219	41.9958	0	0.00	0
PRAMEF12	Pramel43	ortholog_many2many	43.4783	43.659	0	0.00	0
PRAMEF12	Pramel13	ortholog_many2many	48.6542	50.7559	100	0.00	0
PRAMEF12	Pramel34	ortholog_many2many	39.7516	40.4211	0	0.00	0
PRAMEF12	Pramel31	ortholog_many2many	44.9275	45.1143	0	0.00	0
PRAMEF12		ortholog_many2many	42.236	40.8818	0	0.00	0
PRAMEF12		ortholog_many2many	28.7785	38.7187	0	0.00	0
PRAMEF12	Oog2	ortholog_many2many	38.9234	38.0567	0	0.00	0
PRAMEF12	Pramel57	ortholog_many2many	42.8571	43.0353	0	0.00	0
PRAMEF12	Pramel40	ortholog_many2many	41.6149	41.7879	0	0.00	0
PRAMEF12	Pramel22	ortholog_many2many	37.4741	39.3478	100	0.00	0
PRAMEF12	Pramel14	ortholog_many2many	40.5797	41.2632	100	0.00	0
PRAMEF12	Pramel61	ortholog_many2many	41.8219	40.4	0	0.00	0
PRAMEF12	Gm13040	ortholog_many2many	44.5135	44.6985	0	0.00	0
PRAMEF12	Pramel42	ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	Pramel60	ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	Pramel16	ortholog_many2many	44.5135	44.6985	100	0.00	0
PRAMEF12	Pramel29	ortholog_many2many	42.4431	41.1647	100	0.00	0
PRAMEF12		ortholog_many2many	26.9151	46.7626	0	0.00	0
PRAMEF12	Pramel17	ortholog_many2many	41.2008	41.8067	0	0.00	0
PRAMEF12	Pramel55	ortholog_many2many	42.8571	43.0353	0	0.00	0
PRAMEF12	Pramel51	ortholog_many2many	41.2008	38.2692	0	0.00	0
PRAMEF12	Oog4	ortholog_many2many	40.5797	39.0438	100	0.00	0
PRAMEF12		ortholog_many2many	28.7785	38.7187	0	0.00	0
PRAMEF12	Pramel15	ortholog_many2many	40.9938	41.5094	100	0.00	0
PRAMEF12	Pramel30	ortholog_many2many	40.9938	41.6842	0	0.00	0
PRAMEF12	Gm2042	ortholog_many2many	40.9938	39.9194	0	0.00	0
PRAMEF12	Gm12790	ortholog_many2many	13.8716	33.3333	0	0.00	0
PRAMEF12		ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12		ortholog_many2many	41.4079	41.58	0	0.00	0
PRAMEF12	Pramel1	ortholog_many2many	38.7164	40.8297	0	0.00	0
PRAMEF12		ortholog_many2many	36.646	43.4889	0	0.00	0
PRAMEF12	Oog3	ortholog_many2many	40.5797	39.2	100	0.00	0
PRAMEF12	Pramel25	ortholog_many2many	41.2008	39.9598	0	0.00	0
PRAMEF12		ortholog_many2many	41.6149	41.7879	0	0.00	0
PRAMEF12	Pramel11	ortholog_many2many	42.029	42.827	100	0.00	0
PRAMEF12		ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	C130073F10Rik	ortholog_many2many	13.4576	32.3383	0	0.00	0
PRAMEF12		ortholog_many2many	34.5756	41.133	0	0.00	0
PRAMEF12	Gm13057	ortholog_many2many	44.5135	44.6985	0	0.00	0
PRAMEF12	Pramel41	ortholog_many2many	41.4079	41.58	0	0.00	0
PRAMEF12	Pramel54	ortholog_many2many	41.6149	41.7879	0	0.00	0
PRAMEF12		ortholog_many2many	41.4079	41.6667	0	0.00	0
PRAMEF12	Pramel19	ortholog_many2many	39.3375	39.3375	0	0.00	0
PRAMEF12	Pramel46	ortholog_many2many	43.6853	43.8669	0	0.00	0
PRAMEF12	Pramel21	ortholog_many2many	42.029	42.1162	0	0.00	0
PRAMEF12	Pramel23	ortholog_many2many	36.646	38.9011	100	0.00	0
PRAMEF12	Gm13043	ortholog_many2many	44.5135	44.6985	0	0.00	0
PRAMEF12		ortholog_many2many	42.8571	43.0353	0	0.00	0
PRAMEF12	Oog1	ortholog_many2many	41.2008	40.121	0	0.00	0
PRAMEF12		ortholog_many2many	43.6853	43.8669	0	0.00	0
PRAMEF12	Pramel7	ortholog_many2many	36.4389	36.7432	0	0.00	0
PRAMEF12		ortholog_many2many	42.029	42.2037	0	0.00	0
PRAMEF12	Pramel33	ortholog_many2many	42.029	42.2037	0	0.00	0
PRAMEF12		ortholog_many2many	41.2008	41.4583	0	0.00	0
PRAMEF12	Pramel12	ortholog_many2many	47.412	47.7083	0	0.00	0
PRAMEF12		ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	Pramel37	ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	Pramel26	ortholog_many2many	39.1304	39.7059	100	0.00	0
PRAMEF12	Pramel24	ortholog_many2many	42.8571	43.6709	0	0.00	0
PRAMEF12	Pramel44	ortholog_many2many	41.6149	41.7879	0	0.00	0
PRAMEF12		ortholog_many2many	36.646	43.4889	0	0.00	0
PRAMEF12	Pramel4	ortholog_many2many	41.8219	40.4	0	0.00	0
PRAMEF12	Pramel5	ortholog_many2many	41.8219	40.4	100	0.00	0
PRAMEF12	Pramel27	ortholog_many2many	38.3023	37.6782	0	0.00	0
PRAMEF12	Pramel49	ortholog_many2many	43.6853	43.8669	0	0.00	0
PRAMEF12	Pramel32	ortholog_many2many	43.0642	42.1907	0	0.00	0
PRAMEF12	Pramel53	ortholog_many2many	41.6149	41.7879	0	0.00	0
PRAMEF12		ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	Pramel18	ortholog_many2many	40.5797	40.4959	0	0.00	0
PRAMEF12	Pramel56	ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	Pramel45	ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	Gm16367	ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12	Pramel28	ortholog_many2many	43.8923	44.0748	100	0.00	0
PRAMEF12	Pramel36	ortholog_many2many	43.6853	43.8669	0	0.00	0
PRAMEF12		ortholog_many2many	25.6729	44.6043	0	0.00	0
PRAMEF12	Prame62	ortholog_many2many	14.6998	43.2927	0	0.00	0
PRAMEF12	Pramel20	ortholog_many2many	44.0994	44.2827	0	0.00	0
PRAMEF12		ortholog_many2many	42.236	42.4116	0	0.00	0
PRAMEF12		ortholog_many2many	42.236	41.3793	0	0.00	0
PRAMEF12	Pramel50	ortholog_many2many	42.236	42.4116	0	0.00	0
TSC22D2	Tsc22d2	ortholog_one2one	86.6234	86.736	100	0.00	1
U6	Gm26061	ortholog_many2many	71	65.7407		0.00	0
U6	Gm26214	ortholog_many2many	69	64.486		0.00	0
Metazoa_SRP							
							
RNU6-352P							
							
							
							
RAB3GAP2	Rab3gap2	ortholog_one2one	88.9447	89.3295	100	98.67	1
Metazoa_SRP							
DCLK3	Dclk3	ortholog_one2one	72.705	75.1899	50	19.46	0
							
SERP1	Serp1	ortholog_one2one	100	100	100	0.00	1
							
CSRP1	Csrp1	ortholog_one2one	88.5	91.7098	100	0.00	1
CFAP107	Cfap107	ortholog_one2one	75.7732	75	75	99.39	1
BAP1	Bap1	ortholog_one2one	93.9643	94.0934	75	0.00	1
MASP1	Masp1	ortholog_one2one	66.6209	68.892	100	96.27	1
B3GALNT2	B3galnt2	ortholog_one2one	89	88.2936	100	0.00	1
Metazoa_SRP							
SNORA36B	Snora36b	ortholog_one2one	89.313	88.6364		100.00	1
							
	Psph	ortholog_one2many	77.6824	80.4444	0	0.00	0
BACH1	Bach1	ortholog_one2one	77.3263	79.8376	100	3.09	1
							
							
LAMB2	Lamb2	ortholog_one2one	88.2091	88.1601	100	40.68	1
	Ldhb	ortholog_one2many	74.9164	67.0659	0	0.00	0
Metazoa_SRP							
	Xrcc6	ortholog_one2many	70.5314	24.0132	0	0.00	0
PUM1	Pum1	ortholog_one2one	98.9882	98.7384	100	0.00	1
							
							
Metazoa_SRP							
							
	Bend2	ortholog_many2many	18.3206	3.2967	0	0.00	0
U3							
AADACL3	Aadacl3	ortholog_one2one	62.4079	62.2549	50	100.00	1
S1PR1	S1pr1	ortholog_one2one	81.4059	93.9791	100	0.00	1
							
							
MAP3K7CL							
SEPTIN14	Septin14	ortholog_one2one	73.5892	75.9907	25	0.00	0
							
							
NIT2	Nit2	ortholog_one2one	62.0991	77.1739	100	0.00	1
							
Metazoa_SRP							
DHRS3	Dhrs3	ortholog_one2one	95.3642	95.3642	100	100.00	1
Y_RNA							
ARL6	Arl6	ortholog_one2one	89.6373	93.0107	100	0.00	1
PHF7	Phf7	ortholog_one2one	67.4541	83.7134	100	0.00	1
CCDC71	Ccdc71	ortholog_one2one	67.2269	73.903	100	0.00	1
							
							
RNU6-1126P	Gm55032	ortholog_many2many	59.8131	74.4186		0.00	0
RNU6-1126P	Gm54979	ortholog_many2many	66.3551	74.7368		0.00	0
							
Metazoa_SRP							
KLHDC8B	Klhdc8b	ortholog_one2one	97.7401	97.7401	100	0.00	1
EIF2A	Eif2a	ortholog_one2one	92.6496	93.2874	100	0.00	1
TRANK1	Trank1	ortholog_one2one	78.0117	80.3268	75	57.36	1
RTP1	Rtp1	ortholog_one2one	86.3118	86.3118	100	0.00	1
CIMIP7	BC048562	ortholog_one2one	80	80.3922	75	0.00	1
DPH5	Dph5	ortholog_one2one	91.5789	92.8826	100	14.33	1
MARK1	Mark1	ortholog_one2one	94.3467	94.4654	100	0.00	1
ZNF713	A430033K04Rik	ortholog_one2one	35.0446	23.0882	0	0.00	0
							
							
	Cox6a1	ortholog_one2many	78.8991	77.4775	0	0.00	0
							
SEMA3G	Sema3g	ortholog_one2one	86.5729	86.7949	100	0.00	1
							
							
Metazoa_SRP							
TBCE	Tbce	ortholog_one2one	67.474	74.4275	100	22.49	1
ST6GAL1	St6gal1	ortholog_one2one	79.5566	80.1489	100	70.72	1
CCT8	Cct8	ortholog_one2one	94.0325	94.8905	100	0.00	1
SLC37A1	Slc37a1	ortholog_one2one	86.6792	87.0057	100	0.00	1
IHO1	Iho1	ortholog_one2one	55.4257	57.8397	75	0.00	1
							
PIK3CD	Pik3cd	ortholog_one2one	88.6704	90.4489	100	7.21	1
SLC30A7	Slc30a7	ortholog_one2one	96.2766	95.7672	100	94.63	1
Metazoa_SRP							
EPHA6	Epha6	ortholog_one2one	95.3982	95.3982	100	62.88	1
							
TNNC1	Tnnc1	ortholog_one2one	100	100	100	0.00	1
NAV1	Nav1	ortholog_one2one	93.0208	83.2221	100	0.00	1
							
Y_RNA							
ADIPOQ	Adipoq	ortholog_one2one	75.5474	83.8057	100	0.00	1
NIPSNAP2	Nipsnap2	ortholog_one2one	80.3279	87.1886	75	0.00	1
RN7SL464P							
							
RSPH1	Rsph1	ortholog_one2one	77.3463	79.402	100	36.51	1
							
VPS13D	Vps13d	ortholog_one2one	92.6846	93.3012	100	80.21	1
C1orf115	C130074G19Rik	ortholog_one2one	47.5962	70.2128	100	0.00	0
EXTL2	Extl2	ortholog_one2one	86.9697	86.9697	100	98.90	1
RFC4	Rfc4	ortholog_one2one	91.1846	90.9341	75	0.00	1
							
Metazoa_SRP							
NISCH	Nisch	ortholog_one2one	88.8075	83.6786	100	0.00	1
USP4	Usp4	ortholog_one2one	90.3427	90.4366	100	0.00	1
							
							
	Psph	ortholog_one2many	93.7778	93.7778	50	0.00	0
VCAM1	Vcam1	ortholog_one2one	75.6428	75.6428	100	0.00	1
Metazoa_SRP							
MTARC2	Mtarc2	ortholog_one2one	61.244	75.7396	100	0.00	1
TMEM201	Tmem201	ortholog_one2one	68.8442	82.5301	100	100.00	1
							
							
EIF4A2	Eif4a2	ortholog_one2one	100	100	50	0.00	0
							
UBASH3A	Ubash3a	ortholog_one2one	74.7126	83.3333	100	43.91	1
SELENOT	Selenot	ortholog_one2one	98.9418	95.8974	100	0.00	1
	Snord85	ortholog_one2one	87.6712	87.6712		0.00	0
EPM2AIP1	Epm2aip1	ortholog_one2one	89.9506	90.099	100	0.00	1
	Gm23711	ortholog_many2many	88.2353	90.3614		0.00	0
	Gm24091	ortholog_many2many	88.2353	90.3614		0.00	0
	Gm23711	ortholog_many2many	84.8837	87.9518		0.00	0
	Gm24091	ortholog_many2many	84.8837	87.9518		0.00	0
C3orf62	1700102P08Rik	ortholog_one2one	74.1573	78.5714	100	0.00	1
TBC1D23	Tbc1d23	ortholog_one2one	80	89.2704	100	28.32	1
							
CCT6A	Cct6a	ortholog_one2one	96.2335	96.2335	100	0.00	1
RNU6-1094P							
SDC3	Sdc3	ortholog_one2one	85.75	77.6018	100	0.00	1
SNORA4	Gm24616	ortholog_one2one	84.1727	84.1727		0.00	0
ERICH6	Erich6	ortholog_one2one	55.1145	50.6311	100	0.00	1
							
	Bend2	ortholog_many2many	11.5646	2.33516	0	0.00	0
							
SNORA63	Gm26447	ortholog_one2one	92.4242	94.5736		0.00	0
GPX1	Gpx1	ortholog_one2one	86.2944	84.5771	75	0.00	1
							
SNORA59A							
SNORA81							
SLC25A33	Slc25a33	ortholog_one2one	66.6667	91.25	100	32.29	1
							
